,Symbol,Name,Buy,Analyst,beta,profitMargins,forwardEps,bookValue,heldPercentInstitutions,shortRatio,shortPercentOfFloat
2272,VJET,voxeljet AG American Depositary Shares,1,Strong Buy,2.192391,-0.96977997,-1.28,4.986,0.17327,1.47,
2273,VKTX,Viking Therapeutics Inc. Common Stock,1,Strong Buy,1.842391,0.0,-1.09,3.074,0.5403,10.41,0.1529
2274,VMD,Viemed Healthcare Inc. Common Shares,1,Strong Buy,0.654562,0.21315001,,1.148,0.62203,7.7,0.0514
2275,VMEO,Vimeo Inc. Common Stock,1,Strong Buy,,,,,,,
2276,VNDA,Vanda Pharmaceuticals Inc. Common Stock,1,Strong Buy,0.470652,0.124589995,1.06,8.261,1.01759,13.64,0.1122
2277,VNET,21Vianet Group Inc. American Depositary Shares,1,Strong Buy,0.17859,-0.51808,-0.55,56.261,0.81001,2.21,
2278,VNOM,Viper Energy Partners LP Common Unit,1,Strong Buy,2.800764,-0.08053,0.6,9.425,0.79280996,3.12,0.0228
2279,VOD,Vodafone Group Plc American Depositary Shares,1,Strong Buy,0.900798,0.0025600002,0.76,19.77,0.092609994,4.35,
2280,VOR,Vor Biopharma Inc. Common Stock,1,Strong Buy,,0.0,,,0.82763,11.87,0.1043
2281,VOXX,VOXX International Corporation Class A Common Stock,1,Strong Buy,1.384825,0.06005,0.15,17.027,0.50244,3.57,0.044499997
2282,VQS,VIQ Solutions Inc. Common Shares,1,Strong Buy,,,,,,,
2283,VRAY,ViewRay Inc. Common Stock,1,Strong Buy,1.033152,-1.83763,-0.62,1.017,0.95182997,9.28,0.104899995
2284,VRCA,Verrica Pharmaceuticals Inc. Common Stock,1,Strong Buy,2.269131,0.0,-1.81,2.248,0.36285,38.02,0.1576
2285,VRDN,Viridian Therapeutics Inc. Common Stock,1,Strong Buy,1.287006,0.0,,,0.80502,1.68,0.0084
2286,VRM,Vroom Inc. Common Stock,1,Strong Buy,,-0.14937,,,0.68152,4.72,0.102299996
2287,VRME,VerifyMe Inc. Common Stock,1,Strong Buy,0.267934,0.0,0.13,2.173,0.04718,0.98,0.0195
2288,VRNA,Verona Pharma plc American Depositary Share,1,Strong Buy,0.507326,0.0,-1.69,2.974,0.72002,2.57,
2289,VRNS,Varonis Systems Inc. Common Stock,1,Strong Buy,1.170851,-0.31884,0.17,5.451,1.01263,8.26,0.0584
2290,VRNT,Verint Systems Inc. Common Stock,1,Strong Buy,0.820108,-0.00035,2.54,14.263,1.07977,5.87,0.103199996
2291,VRRM,Verra Mobility Corporation Class A Common Stock,1,Strong Buy,1.624789,-0.094069995,0.43,1.908,1.01654,10.25,0.0547
2292,VRSK,Verisk Analytics Inc. Common Stock,1,Strong Buy,0.784934,0.23692,5.88,16.965,0.91723,2.11,0.0128
2293,VRSN,VeriSign Inc. Common Stock,1,Strong Buy,0.793122,0.48514998,6.16,-12.448,0.9245,2.66,0.0107
2294,VRTS,Virtus Investment Partners Inc. Common Stock,1,Strong Buy,1.537385,0.21911,36.06,95.348,0.85515,2.46,0.026500002
2295,VRTX,Vertex Pharmaceuticals Incorporated Common Stock,1,Strong Buy,0.633674,0.29799,12.43,34.696,0.91672,2.1,0.0194
2296,VS,Versus Systems Inc. Common Shares,1,Strong Buy,1.165142,0.0,,,0.07195,1.35,0.0037
2297,VSAT,ViaSat Inc. Common Stock,1,Strong Buy,1.169565,0.00164,0.07,33.847,0.84419,15.78,0.146
2298,VSEC,VSE Corporation Common Stock,1,Strong Buy,1.522306,-0.00522,3.84,32.644,0.83189005,3.38,0.0165
2299,VSTM,Verastem Inc. Common Stock,1,Strong Buy,0.915545,0.0,-0.26,0.597,0.65406,5.52,0.0423
2300,VTGN,VistaGen Therapeutics Inc. Common Stock,1,Strong Buy,0.919311,0.0,-0.29,0.676,0.6931,10.44,0.056599997
2301,VTNR,Vertex Energy Inc Common Stock,1,Strong Buy,1.810869,-0.08826999,0.14,0.338,0.16900998,0.09,0.048499998
2302,VTRU,Vitru Limited Common Shares,1,Strong Buy,,0.06379,,,0.87648004,1.49,0.0011999999
2303,VTVT,vTv Therapeutics Inc. Class A Common Stock,1,Strong Buy,-1.811413,-1.08427,-0.45,-1.482,0.07967,1.22,0.1025
2304,VVOS,Vivos Therapeutics Inc. Common Stock,1,Strong Buy,,-1.06609,,,0.10125,0.07,0.0365
2305,VWE,Vintage Wine Estates Inc. Common Stock,1,Strong Buy,,0.08211,,,0.63033,6.32,
2306,VXRT,Vaxart Inc Common Stock,1,Strong Buy,0.373944,0.0,-0.17,1.527,0.40954,1.92,0.1666
2307,VYNE,VYNE Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,,0.36783,1.23,0.0311
2308,WATT,Energous Corporation Common Stock,1,Strong Buy,3.370087,0.0,-0.3,0.691,0.14521,8.19,0.1184
2309,WB,Weibo Corporation American Depositary Share,1,Strong Buy,1.12157,0.09624,3.08,12.352,0.50007,4.42,
2310,WDAY,Workday Inc. Class A Common Stock,1,Strong Buy,1.259817,-0.0078799995,3.52,13.843,0.93143,5.29,0.0424
2311,WDC,Western Digital Corporation Common Stock,1,Strong Buy,1.600543,0.021300001,8.92,32.513,0.81428003,0.97,0.0199
2312,WEN,Wendy's Company (The) Common Stock,1,Strong Buy,0.942139,0.122779995,0.85,2.348,0.68224996,1.45,0.0229
2313,WFRD,Weatherford International plc Ordinary Shares,1,Strong Buy,,-0.16785,,,0.96019995,1.77,
2314,WIMI,WiMi Hologram Cloud Inc. American Depositary Share,1,Strong Buy,,-0.19734,,,0.03184,1.95,
2315,WING,Wingstop Inc. Common Stock,1,Strong Buy,1.32383,0.10348,1.84,-11.155,1.09085,5.54,0.090900004
2316,WINT,Windtree Therapeutics Inc. Common Stock,1,Strong Buy,-0.053493,0.0,-0.08,3.484,0.064720005,1.03,0.0668
2317,WISA,Summit Wireless Technologies Inc. Common Stock,1,Strong Buy,-0.402188,0.0,-0.73,0.891,0.08514,0.18,0.0277
2318,WIX,Wix.com Ltd. Ordinary Shares,1,Strong Buy,1.384239,-0.23006001,-0.38,3.799,0.90436995,2.52,0.0575
2319,WKEY,WISeKey International Holding AG American Depositary Shares,1,Strong Buy,1.629418,-1.9391701,,,0.00698,1.34,
2320,WKME,WalkMe Ltd. Ordinary Shares,1,Strong Buy,,-0.47786,,,0.83892,1.02,0.0058999998
2321,WLDN,Willdan Group Inc. Common Stock,1,Strong Buy,1.416847,-0.02777,2.6,13.722,0.85960996,16.83,0.104399994
2322,WMG,Warner Music Group Corp. Class A Common Stock,1,Strong Buy,,0.05444,,,0.75241995,9.47,0.0519
2323,WNEB,Western New England Bancorp Inc. Common Stock,1,Strong Buy,0.356105,0.23652,0.74,9.101,0.50817,1.18,0.0041
2324,WRAP,Wrap Technologies Inc. Common Stock,1,Strong Buy,1.798368,0.0,,,0.18563,12.49,0.12
2325,WSC,WillScot Mobile Mini Holdings Corp. Class A Common Stock,1,Strong Buy,1.791491,0.012999999,1.15,8.844,0.92478997,10.0,0.0863
2326,WTFC,Wintrust Financial Corporation Common Stock,1,Strong Buy,1.597707,0.26966998,5.32,67.341,0.93614995,5.33,0.0176
2327,XAIR,Beyond Air Inc. Common Stock,1,Strong Buy,-0.476255,0.0,-1.32,0.864,0.18709,4.53,0.0975
2328,XBIO,Xenetic Biosciences Inc. Common Stock,1,Strong Buy,2.51965,0.0,-0.35,1.397,0.04208,0.03,0.0156
2329,XCUR,Exicure Inc. Common Stock,1,Strong Buy,1.307663,0.0,-0.58,0.569,0.36777002,4.35,0.0176
2330,XELA,Exela Technologies Inc. Common Stock,1,Strong Buy,1.882191,-0.14494,0.04,-18.816,0.23693001,0.16,0.0425
2331,XENE,Xenon Pharmaceuticals Inc. Common Shares,1,Strong Buy,1.361353,0.0,-1.49,4.673,0.87731004,2.71,0.013200001
2332,XERS,Xeris Pharmaceuticals Inc. Common Stock,1,Strong Buy,1.83438,-2.48459,-0.56,0.669,0.48061,3.34,0.081999995
2333,XFOR,X4 Pharmaceuticals Inc. Common Stock,1,Strong Buy,0.184389,0.0,-2.84,4.485,0.67741996,6.62,0.044
2334,XGN,Exagen Inc. Common Stock,1,Strong Buy,,-0.40330002,-1.48,4.67,0.74117,4.82,0.0482
2335,XLRN,Acceleron Pharma Inc. Common Stock,1,Strong Buy,0.354733,-1.58108,-2.55,13.372,0.90599,6.39,0.0395
2336,XM,Qualtrics International Inc. Class A Common Stock,1,Strong Buy,,-0.63003,-0.07,-0.194,1.1025801,2.79,0.0456
2337,XMTR,Xometry Inc. Class A Common Stock,1,Strong Buy,,,,,,,
2338,XNCR,Xencor Inc. Common Stock,1,Strong Buy,0.639673,-0.51295,-2.53,10.024,1.02084,14.81,0.0842
2339,XOS,Xos Inc. Common Stock,1,Strong Buy,,0.0,,,0.18745,1.74,
2340,XPEL,XPEL Inc. Common Stock,1,Strong Buy,1.590611,0.13806,0.49,1.095,0.3505,3.94,0.062800005
2341,XPER,Xperi Holding Corporation Common Stock,1,Strong Buy,0.716703,0.14271,0.82,13.905,0.92603993,10.71,0.0547
2342,XRAY,DENTSPLY SIRONA Inc. Common Stock,1,Strong Buy,0.930359,0.049790002,3.21,22.58,0.97051,2.07,0.0117
2343,XSPA,XpresSpa Group Inc. Common Stock,1,Strong Buy,2.444868,-1.5069001,0.02,0.893,0.11875,2.52,0.0836
2344,XXII,22nd Century Group Inc. Common Stock,1,Strong Buy,1.832423,-0.66551,-0.12,0.344,0.36376,5.05,0.0598
2345,YI,111 Inc. American Depositary Shares,1,Strong Buy,0.799177,-0.05128,-0.06,3.036,0.13179,4.35,
2346,YMAB,Y-mAbs Therapeutics Inc. Common Stock,1,Strong Buy,1.174524,-1.14036,-1.81,2.601,0.67684,9.94,0.0765
2347,YMTX,Yumanity Therapeutics Inc. Common Stock,1,Strong Buy,,0.0,,,0.44641,7.25,0.052199997
2348,YNDX,Yandex N.V. Class A Ordinary Shares,1,Strong Buy,1.339429,0.05716,1.92,926.716,0.83597,5.52,0.0187
2349,YTEN,Yield10 Bioscience Inc. Common Stock,1,Strong Buy,1.113043,0.0,-2.15,4.747,0.24636,0.77,0.0175
2350,YTRA,Yatra Online Inc. Ordinary Shares,1,Strong Buy,1.977611,-0.12043,-0.09,31.335,0.66470003,0.19,0.002
2351,YY,JOYY Inc. American Depositary Shares,1,Strong Buy,0.836471,0.58588004,2.85,508.932,0.87287,5.64,
2352,ZG,Zillow Group Inc. Class A Common Stock,1,Strong Buy,1.299623,0.03704,1.46,22.28,0.9178,4.43,0.0514
2353,ZGNX,Zogenix Inc. Common Stock,1,Strong Buy,1.344432,0.0,-1.83,5.756,1.09789,9.9,0.1353
2354,ZI,ZoomInfo Technologies Inc. Class A Common Stock,1,Strong Buy,,0.0,,,1.0164601,3.12,0.0734
2355,ZIXI,Zix Corporation Common Stock,1,Strong Buy,1.133152,-0.03553,0.69,0.54,0.74918,3.46,0.0448
2356,ZLAB,Zai Lab Limited American Depositary Shares,1,Strong Buy,1.10487,0.0,-3.73,11.406,0.80662,3.77,
2357,ZNGA,Zynga Inc. Class A Common Stock,1,Strong Buy,0.019104,-0.06763,0.47,2.72,0.84294,3.13,0.0715
2358,ZNTL,Zentalis Pharmaceuticals Inc. Common Stock,1,Strong Buy,,0.0,,,0.90994,10.58,0.0734
2359,ZS,Zscaler Inc. Common Stock,1,Strong Buy,0.797497,-0.38304,0.56,3.712,0.41897,2.79,0.0832
2360,ZSAN,Zosano Pharma Corporation Common Stock,1,Strong Buy,3.620633,0.0,-0.26,0.406,0.14402,6.55,0.0584
2361,ZUMZ,Zumiez Inc. Common Stock,1,Strong Buy,1.780434,0.10929,4.17,22.567,0.81807,4.65,0.060900003
2362,ZVO,Zovio Inc. Common Stock,1,Strong Buy,1.358624,-0.20402001,0.4,1.528,0.62089,8.26,0.0299
2363,ZYNE,Zynerba Pharmaceuticals Inc. Common Stock,1,Strong Buy,2.507608,0.0,-1.14,2.389,0.32242,1.3,0.0583
2364,ZYXI,Zynex Inc. Common Stock,1,Strong Buy,0.821195,0.06101,0.79,1.611,0.32549998,18.07,0.18360001
2365,AAL,American Airlines Group Inc. Common Stock,1,Buy,1.77893,-0.31082,-0.07,-12.387,0.54548,2.56,0.15689999
2366,AAOI,Applied Optoelectronics Inc. Common Stock,1,Buy,1.806347,-0.20135,-0.2,10.396,0.49045,7.32,0.1742
2367,ABCM,Abcam plc American Depositary Shares,1,Buy,0.555742,-0.0070599997,,,0.09446,0.33,
2368,ABSI,Absci Corporation Common Stock,1,Buy,,0.0,,,0.18337,1.31,0.010299999
2369,ABST,Absolute Software Corporation Common Stock,1,Buy,0.796844,0.07707,,,0.71538,3.56,
2370,ABUS,Arbutus Biopharma Corporation Common Stock,1,Buy,2.871974,0.0,-0.67,-0.529,0.31660998,3.13,0.051799998
2371,ACAD,ACADIA Pharmaceuticals Inc. Common Stock,1,Buy,0.736956,-0.56741,-0.84,3.631,0.93084,3.84,0.060500003
2372,ACBI,Atlantic Capital Bancshares Inc. Common Stock,1,Buy,0.919565,0.35217997,1.95,16.72,0.86791,5.2,0.0174
2373,ACER,Acer Therapeutics Inc. Common Stock (DE),1,Buy,1.181443,0.0,-1.43,0.727,0.30304,1.58,0.0143
2374,ACGL,Arch Capital Group Ltd. Common Stock,1,Buy,0.856521,0.18341999,3.87,30.663,0.9943,3.69,0.0148
2375,ACHC,Acadia Healthcare Company Inc. Common Stock,1,Buy,1.552985,-0.31155002,2.8,25.899,1.02636,7.84,0.0401
2376,ADAP,Adaptimmune Therapeutics plc American Depositary Shares,1,Buy,2.17663,0.0,-1.01,1.989,0.77314,3.99,
2377,ADV,Advantage Solutions Inc. Class A Common Stock,1,Buy,,-0.04592,,,0.27291,15.61,0.059899997
2378,ADVM,Adverum Biotechnologies Inc. Common Stock,1,Buy,1.129101,0.0,-1.63,4.236,0.81819,5.29,0.1342
2379,AEIS,Advanced Energy Industries Inc. Common Stock,1,Buy,1.773369,0.10694,6.52,22.03,0.98500997,4.54,0.0373
2380,AFIB,Acutus Medical Inc. Common Stock,1,Buy,,0.0,,,0.90060997,10.24,0.26229998
2381,AFIN,American Finance Trust Inc. Class A Common Stock,1,Buy,1.419175,-0.10439,-0.2,15.391,0.52574,5.86,0.0396
2382,AFRM,Affirm Holdings Inc. Class A Common Stock,1,Buy,,-0.31876,,,0.71946,2.68,0.0754
2383,AINV,Apollo Investment Corporation Common Stock,1,Buy,2.085152,0.66946,1.43,15.88,0.34804,8.04,0.032
2384,AKBA,Akebia Therapeutics Inc. Common Stock,1,Buy,1.754891,-1.51386,-0.78,1.349,0.66650003,5.52,0.1183
2385,AKU,Akumin Inc. Common Shares,1,Buy,1.318972,-0.09078,,,0.38407,0.35,
2386,ALKS,Alkermes plc Ordinary Shares,1,Buy,0.975543,-0.09064,0.93,6.562,1.02465,5.02,0.0915
2387,AMAL,Amalgamated Financial Corp. Common Stock (DE),1,Buy,0.874306,0.24377,1.78,17.328,0.50727004,3.94,0.0107
2388,AMEH,Apollo Medical Holdings Inc. Common Stock,1,Buy,0.589826,0.074200004,1.28,8.187,0.19263001,2.53,0.0563
2389,AMGN,Amgen Inc. Common Stock,1,Buy,0.672489,0.22547,17.83,16.225,0.77835,4.3,0.0198
2390,AMNB,American National Bankshares Inc. Common Stock,1,Buy,1.151746,0.3607,2.63,31.191,0.38678002,6.28,0.0109
2391,AMPH,Amphastar Pharmaceuticals Inc. Common Stock,1,Buy,0.713586,0.00678,1.39,8.499,0.55955005,15.65,0.0673
2392,AMSF,AMERISAFE Inc. Common Stock,1,Buy,0.349344,0.28264,3.03,23.162,0.99119,3.52,0.0147
2393,AMTB,Amerant Bancorp Inc. Class A Common Stock,1,Buy,1.372224,0.16725,1.66,20.701,0.34272,4.69,0.0094
2394,ANAB,AnaptysBio Inc. Common Stock,1,Buy,0.063706,-0.41871,-3.22,13.956,1.1387401,15.73,0.19770001
2395,ANDE,Andersons Inc. (The) Common Stock,1,Buy,0.696953,0.0067299996,2.0,29.722,0.79447,1.88,0.0153
2396,ANGO,AngioDynamics Inc. Common Stock,1,Buy,0.851468,-0.10840999,0.07,11.814,0.98057,3.32,0.0291
2397,ANIK,Anika Therapeutics Inc. Common Stock,1,Buy,1.216304,-0.20825,0.5,19.258,0.9515,18.55,0.1522
2398,ANIP,ANI Pharmaceuticals Inc.,1,Buy,1.285869,-0.072459996,4.14,16.94,0.78342,8.28,0.061100002
2399,ANSS,ANSYS Inc. Common Stock,1,Buy,1.210869,0.26455998,7.86,47.189,0.94212997,1.77,0.01
2400,APOG,Apogee Enterprises Inc. Common Stock,1,Buy,1.117519,0.01844,2.79,19.163,0.93492997,5.82,0.0626
2401,APPN,Appian Corporation Class A Common Stock,1,Buy,1.731217,-0.14331001,-0.49,4.173,0.71124,13.31,0.1596
2402,AQB,AquaBounty Technologies Inc. Common Stock,1,Buy,1.08054,0.0,-0.6,2.07,0.56308,6.26,0.1228
2403,ARDX,Ardelyx Inc. Common Stock,1,Buy,1.836471,0.0,-0.71,1.347,0.84174,0.52,0.1263
2404,ARRY,Array Technologies Inc. Common Stock,1,Buy,,-0.01839,0.81,-0.552,1.03493,2.13,0.0641
2405,ASMB,Assembly Biosciences Inc. Common Stock,1,Buy,0.328133,-2.62461,-2.78,6.165,0.60548997,3.28,0.0627
2406,ASPS,Altisource Portfolio Solutions S.A. Common Stock,1,Buy,1.380978,-0.26312,0.49,-6.658,0.46311,2.12,0.112799995
2407,ATNX,Athenex Inc. Common Stock,1,Buy,0.593386,-1.21118,-0.99,1.691,0.55113,8.27,0.120799996
2408,ATRO,Astronics Corporation Common Stock,1,Buy,2.187534,-0.23037,0.67,8.752,0.791,6.06,0.0574
2409,AUB,Atlantic Union Bankshares Corporation Common Stock,1,Buy,1.357181,0.35679,2.92,31.413,0.70424,3.7,0.016
2410,AUDC,AudioCodes Ltd. Common Stock,1,Buy,0.604626,0.14310001,1.68,6.239,0.40258,2.35,0.0124
2411,AVAV,AeroVironment Inc. Common Stock,1,Buy,0.338411,0.05908,2.64,21.974,0.82136,4.17,0.0625
2412,AVT,Avnet Inc. Common Stock,1,Buy,1.54076,0.00866,3.62,39.581,0.99389,2.62,0.0311
2413,AXTI,AXT Inc Common Stock,1,Buy,2.263582,0.0924,0.42,4.673,0.6049,6.07,0.0427
2414,AY,Atlantica Sustainable Infrastructure plc Ordinary Shares,1,Buy,0.652292,0.027780002,1.22,14.731,0.46594003,6.24,0.0507
2415,AZPN,Aspen Technology Inc. Common Stock,1,Buy,1.302813,0.44702998,4.92,10.776,1.00456,2.55,0.0152
2416,BANR,Banner Corporation Common Stock,1,Buy,1.116847,0.26611,4.09,46.604,0.87868,5.46,0.0292
2417,BATRK,Liberty Media Corporation Series C Liberty Braves Common Stock,1,Buy,0.948369,-1.10465,-0.24,4.477,0.84406996,5.47,0.016900001
2418,BCLI,Brainstorm Cell Therapeutics Inc. Common Stock,1,Buy,0.011296,0.0,-0.53,0.997,0.15527001,5.27,0.033
2419,BCPC,Balchem Corporation Common Stock,1,Buy,0.582571,0.12082,4.02,26.177,0.89606005,5.28,0.0174
2420,BECN,Beacon Roofing Supply Inc. Common Stock,1,Buy,2.024206,-0.01038,4.12,22.254,1.04502,6.82,0.0388
2421,BEEM,Beam Global Common Stock,1,Buy,0.917697,-0.8812,,,0.38864,7.66,0.39209998
2422,BFIN,BankFinancial Corporation Common Stock,1,Buy,0.645108,0.16273001,0.65,11.723,0.64716005,8.04,0.0321
2423,BGCP,BGC Partners Inc Class A Common Stock,1,Buy,2.222162,0.03541,0.72,2.085,0.65643996,5.64,0.0341
2424,BGRY,Berkshire Grey Inc. Class A Common Stock,1,Buy,,,,,,,
2425,BIGC,BigCommerce Holdings Inc. Series 1 Common Stock,1,Buy,,-0.25663,,,0.74139,7.15,0.1549
2426,BIIB,Biogen Inc. Common Stock,1,Buy,0.385691,0.16397,20.76,70.931,0.8631,1.36,0.0135
2427,BKNG,Booking Holdings Inc. Common Stock,1,Buy,1.259279,0.05767,92.62,116.051,0.94183,2.4,0.017
2428,BLDP,Ballard Power Systems Inc. Common Shares,1,Buy,1.535294,-0.68181,-0.15,4.735,0.33443,8.54,
2429,BLIN,Bridgeline Digital Inc. Common Stock,1,Buy,3.131791,-0.35911,-0.12,1.0,0.13812,0.1,0.0553
2430,BLKB,Blackbaud Inc. Common Stock,1,Buy,1.13448,-0.0023999999,2.99,8.751,1.0197799,12.41,0.0596
2431,BLNK,Blink Charging Co. Common Stock,1,Buy,4.23561,0.0,-0.55,5.797,0.40308,8.23,0.33740002
2432,BLUE,bluebird bio Inc. Common Stock,1,Buy,1.646046,0.0,-10.26,17.803,0.80804,7.33,0.1173
2433,BMBL,Bumble Inc. Class A Common Stock,1,Buy,,0.45215,,,1.26283,2.11,0.0748
2434,BMRA,Biomerica Inc. Common Stock,1,Buy,-0.706563,-0.61561,0.2,0.862,0.24675,6.7,0.1004
2435,BMRC,Bank of Marin Bancorp Common Stock,1,Buy,0.820333,0.31563,2.31,26.407,0.40133,1.89,0.0109
2436,BMTC,Bryn Mawr Bank Corporation Common Stock,1,Buy,0.954814,0.28816998,2.99,31.383,0.82036,5.44,0.018
2437,BNFT,Benefitfocus Inc. Common Stock,1,Buy,1.721355,-0.06929,-0.13,-1.557,0.83204,6.56,0.0776
2438,BNTX,BioNTech SE American Depositary Share,1,Buy,,0.5241,-0.89,,0.16700001,0.48,
2439,BOKF,BOK Financial Corporation Common Stock,1,Buy,1.480434,0.28035998,6.42,75.325,0.41674998,7.14,0.0344
2440,BRKL,Brookline Bancorp Inc. Common Stock,1,Buy,0.76172,0.32394,1.16,12.098,0.84349,6.1,0.0343
2441,BRKR,Bruker Corporation Common Stock,1,Buy,1.270742,0.10488,2.07,6.324,0.70752,2.05,0.020299999
2442,BRY,Berry Corporation (bry) Common Stock,1,Buy,514.41235,-0.23152,0.8,8.597,0.96112,2.51,0.0198
2443,BSRR,Sierra Bancorp Common Stock,1,Buy,1.243141,0.30849,2.62,22.828,0.55847,3.83,0.011
2444,BSVN,Bank7 Corp. Common stock,1,Buy,2.134338,0.44465,2.3,12.347,0.19384001,1.56,0.01
2445,BUSE,First Busey Corporation Class A Common Stock,1,Buy,1.076385,0.31702998,2.15,23.292,0.48923,2.86,0.0086
2446,BWEN,Broadwind Inc. Common Stock,1,Buy,1.330434,-0.02,0.14,2.482,0.42108002,4.21,0.096099995
2447,BYND,Beyond Meat Inc. Common Stock,1,Buy,1.592636,-0.20107001,-0.22,4.191,0.53938997,6.34,0.2391
2448,CAC,Camden National Corporation Common Stock,1,Buy,0.983324,0.37686002,4.01,35.645,0.67294997,8.66,0.0238
2449,CAKE,Cheesecake Factory Incorporated (The) Common Stock,1,Buy,1.756858,-0.00935,3.15,6.82,0.813,3.88,0.1367
2450,CALM,Cal-Maine Foods Inc. Common Stock,1,Buy,-0.175935,0.04597,1.03,20.805,0.91683,22.27,0.2178
2451,CAR,Avis Budget Group Inc. Common Stock,1,Buy,2.341043,0.027590001,5.2,-4.521,1.0455999,6.04,0.1708
2452,CASA,Casa Systems Inc. Common Stock,1,Buy,1.077873,0.06904,0.44,0.953,0.69521004,4.59,0.0378
2453,CASY,Casey's General Stores Inc. Common Stock,1,Buy,0.870108,0.035940003,9.19,52.069,0.89319,2.41,0.0162
2454,CATY,Cathay General Bancorp Common Stock,1,Buy,1.498362,0.44437,3.52,30.948,0.71669,6.43,0.0232
2455,CCAP,Crescent Capital BDC Inc. Common stock,1,Buy,,1.5325799,,,0.56129,0.92,0.0032
2456,CCMP,CMC Materials Inc. Common Stock,1,Buy,1.174646,-0.0416,8.17,32.782,1.01633,1.8,0.017
2457,CCOI,Cogent Communications Holdings Inc.,1,Buy,0.107584,0.00849,1.22,-6.676,0.86130995,4.43,0.0257
2458,CCRN,Cross Country Healthcare Inc. Common Stock $0.0001 Par Value,1,Buy,1.150618,0.03201,0.66,4.744,0.93463,2.46,0.0202
2459,CCXI,ChemoCentryx Inc. Common Stock,1,Buy,1.43913,-0.91542,-1.79,5.176,0.72450995,0.53,0.066599995
2460,CDEV,Centennial Resource Development Inc. Class A Common Stock,1,Buy,6.577717,-0.2922,0.51,9.168,0.63869,2.83,0.1373
2461,CDLX,Cardlytics Inc. Common Stock,1,Buy,,-0.41881,-0.52,23.446,0.98664004,11.41,0.1354
2462,CDW,CDW Corporation Common Stock,1,Buy,1.110807,0.04763,8.05,8.335,0.94462997,2.29,0.0128
2463,CEMI,Chembio Diagnostics Inc. Common Stock,1,Buy,1.867934,-0.72876,-0.77,1.15,0.36426997,5.42,0.113299996
2464,CFB,CrossFirst Bankshares Inc. Common Stock,1,Buy,1.392705,0.29830998,1.24,11.804,0.47884,6.37,0.0093
2465,CFLT,Confluent Inc. Class A Common Stock,1,Buy,,,,,,,
2466,CFMS,Conformis Inc. Common Stock,1,Buy,1.248369,-0.39995998,-0.22,0.479,0.50663,0.62,0.0109
2467,CGC,Canopy Growth Corporation Common Shares,1,Buy,2.077025,-2.17315,,9.094,0.16791001,8.32,0.097200006
2468,CGNX,Cognex Corporation Common Stock,1,Buy,1.629347,0.2555,1.82,7.684,0.90592,3.64,0.0154
2469,CHEK,Check-Cap Ltd. Ordinary Share,1,Buy,0.249456,0.0,-0.21,0.456,0.0538,2.82,0.053600002
2470,CHKP,Check Point Software Technologies Ltd. Ordinary Shares,1,Buy,0.645652,0.40785998,7.21,24.774,0.75369,6.18,0.0598
2471,CHMG,Chemung Financial Corp Common Stock,1,Buy,0.089295,0.27883,4.0,41.603,0.36391997,2.7,0.0074
2472,CHNG,Change Healthcare Inc. Common Stock,1,Buy,1.492835,-0.0175,1.49,15.598,0.97077006,7.28,0.060100004
2473,CHRW,C.H. Robinson Worldwide Inc. Common Stock,1,Buy,0.710326,0.03496,5.05,14.021,0.93891,8.86,0.1058
2474,CHUY,Chuy's Holdings Inc. Common Stock,1,Buy,2.193478,0.050180003,1.54,12.501,1.06811,7.17,0.111
2475,CINF,Cincinnati Financial Corporation Common Stock,1,Buy,0.667573,0.31048,4.51,69.18,0.70237,10.47,0.0437
2476,CLMT,Calumet Specialty Products Partners L.P. Common Units,1,Buy,2.706521,-0.12642999,0.34,-3.554,0.18054001,0.49,0.0013
2477,CLSN,Celsion Corporation Common Stock,1,Buy,1.97149,0.0,-0.29,0.733,0.15560001,1.84,0.0221
2478,CLVR,Clever Leaves Holdings Inc. Common Shares,1,Buy,,-2.39574,,,0.28285,5.0,0.0962
2479,CME,CME Group Inc. Class A Common Stock,1,Buy,0.43286,0.41746,7.36,74.05,0.88064003,3.61,0.013200001
2480,CMPI,Checkmate Pharmaceuticals Inc. Common Stock,1,Buy,,0.0,,,0.88392997,10.92,0.044
2481,CNSL,Consolidated Communications Holdings Inc. Common Stock,1,Buy,1.37663,-0.03121,0.05,4.073,0.79051,7.97,0.061100002
2482,CODX,Co-Diagnostics Inc. Common Stock,1,Buy,-1.955625,0.47974998,0.58,2.335,0.25414,1.94,0.105
2483,CONN,Conn's Inc. Common Stock,1,Buy,2.583242,0.068730004,2.43,20.565,0.51932,5.02,0.10479999
2484,COOP,Mr. Cooper Group Inc. Common Stock,1,Buy,1.647122,0.38002,5.15,33.703,0.7482,8.23,0.0992
2485,CORT,Corcept Therapeutics Incorporated Common Stock,1,Buy,0.708378,0.2845,1.07,4.483,0.72002,12.1,0.0994
2486,COUP,Coupa Software Incorporated Common Stock,1,Buy,1.441056,-0.45076,0.61,14.298,1.04786,5.02,0.0994
2487,CPSI,Computer Programs and Systems Inc. Common Stock,1,Buy,0.691769,0.06874,2.86,14.234,0.8547,5.75,0.0256
2488,CRAI,CRA International Inc. Common Stock,1,Buy,1.572826,0.053979997,4.53,27.706,0.94511,5.0,0.027999999
