,Recent headlines and conversations for MDT,Polarity
506,https://seekingalpha.com/news/3638988-new-product-launches-drive-recovery-in-medtronic-fiscal-q2-sales-and-margins?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-new-product-launches-drive-recovery-in-medtronic-fiscal-q2-sales-and-margins&utm_campaign=rta-stock-news&utm_content=link-3,0.0
507,Great job guys! Down 9+ from your high? You are really giving confidence to us longs!!,0.9047
508,Leadless Micra AV pacemaker from MDT approved by FDA. This should propel the stock higher.,0.9178
509,how can people ditch medtronic like that grrrr,0.3998
510,Does anyone have a solid argument as to whether MDT could be held liable (meaning a lawsuit) for the recalled stents? Thoughts?,-0.4857
511,I can see this up $5 on Monday morning pre market...even tho it dont mean dog doo doo without high volume to back it up,0.757
512,Volatility and volume have gone down while MDT has gained back about $1.50 from the lows and is now back to about late May levels. The build up to an adjusted close of $88.99 didn't last long. No doubt some float came out after it bounced back from $90. Hopefully the Q2 earnings report will be good and that some of the revenue missed during Q2 because of the IT crash will be realized in Q3. They were converting everything to SAP when the crash happened. Hopefully they were able to get back to clean data quickly. I read the CFO's statements that way by repeating the prior FYE 2018 revenue growth target.,0.8895
513,"Can't try to play this game day-to-day. Algos, high frequency traders, options , hedgers....and another 100 trading schemes control the daily movements. BUT.....the facts are the facts and those don't change. MDT beat on EPS, Revenue, raised guidance for the next quarter, are in the right ""macro environment"" (aging population), have an excellent product pipeline, are not affected by trade or interest rates. I am not going to worry about the price going down on a down market day. Too much going for this company. Go ahead drive it way down I got some dry powder to use.",0.7427
514,You better believe I'm not waiting until the last second for the price movement I offered.,0.6207
515,we'll finish in red again...,-0.3781
516,Looks like the Barron's article has prompted some buying today..,0.7363
517,"There is a Motley Fool article that says the recent MDT upgrade was ""wrong"". The section about the balance sheet showing about $14 bil of net debt and the author states for that reason alone indicates financial weakness is in my opinion misleading. It's misleading because it's acquisition debt incurred when MDT had to get past the new road blocks set up by Mr Lew at Mr Obama's behest. The COV acquisition added about $10 bil of revenue to MDT's run rate of about $20 bil so it was a 50% revenue pop in obviously a one-off transformation transaction. As announced the next $5 bil of maturities will be retired from the apx. $6 bil of cash from the sale to Cardinal Health. And given the remainder total Gross margin shifting from the mid to high 60% - 68% range it should be close to 75% this fiscal year started 5/1. That means a pop in the Operating Margin and better net free cash flow brought down from sales. From the article:""Balance sheetMind you, that's still a pretty good number. Medtronic only reported GAAP earnings of $2.8 billion over the last 12 months, so free cash flow is rolling in at a rate appreciably faster than reported income.But now let's see what the balance sheet tells us. With a $109.2 billion market capitalization, Medtronic has $14.4 billion in cash and $28.8 billion in debt on its balance sheet -- thus $14.4 billion in net debt. That's not exactly something I would characterize as a ""strong balance sheet."" Nor does it yield a particularly appealing valuation. Medtronic stock is trading for an enterprise value-to-free-cash-flow ratio of 28.7 -- which is far from cheap.""I'll add that there is no reason for MDT to be cheap. The statement is a straw man. At about $78.50 MDT is trading around 15x this year's analyst estimated Operating EPS. Buffett should be buying MDT with its big moat. If you follow the stock you know Edward's just said they have lost share in Europe in TAVR -- I'll add that I've heard the head of CVG say MDT was taking share. And MDT's TMVR for mitral valve replacement had a very successful pilot trial with successful implant of 98% - 49/50 - which led to the Apollo trial which started 10/2017 and is an FDA approved pivotal trial to test the safety and efficacy of MDT's TMVR. Mitral valve disease is more common than aortic valve disease. With the kind of resources devoted to CVG there is a good chance the TMVR will be approved for high risk patients when the 1200 patient trial is completed. We will shortly see what Omar has to say about MDT's first robotic surgical devices. The delay hurt the stock last Q. Apparently it's software so Omar pretty much said better safe than sorry...",0.9983
518,I am so relieved to see MDT going up some. I was getting really worried for awhile even though they have leading products.,0.5857
519,"Oh, the power of words on a simple yahoo finance page the algo's will bend with...To the real people, look at what the company really offers compared to what others may or may not be doing. Call them.",0.695
520,I guess that Coviden deal doesn't seem so great now forcing all of us to pay tax on the capital gains when we had to sell MDT so they could get hold of Cov's cash. Now the cost basis of MDT is a loss for all of us. Thanks MDT for nothing. I had a nice gain in MDT but was forced to pay tax on it so you could acquire COV (which I also owned and had to pay tax on),0.3939
521,Might have something to do with the ceo buying a million dollars worth of stock,0.7115
522,"Im bullish, here’s why. MDT offers a complete suite of products and services for the entire medical ecosystem. COVID-19 cut off core revenue streams by forcing hospitals to focus on treating C-19, stopping elective procedures, stopping clinical research, a profit center. The improved treatment of C-19 allows hospitals to allow elective procedures and restart clinical research. The future is a slow and unsexy return to higer revenues and margins. MDT is sitting on $$$ reserves that is used for acquisition as we have seen, leading to stronger future growth.",0.9803
523,Good time to pick up another thousand?,0.6444
524,Medtronic is a dog stock. Under performs its competition and the market. I sold all and moved on to better opportunities.,0.734
525,Nice interview! CNBC,0.6864
526,"Now, assuming some of whom might be here, get in line if you want the price to move ok ne way or the other and tell me so I can add some help and hopefully add to any Karma I may be lacking.",0.9149
527,$MDT will reveal remarks on its strategies for creating long-term value for its shareholders. Here is the link for more info http://crweworld.com/article/news-provided-by-globenewswire/302809/medtronic-announces-2018-institutional-investor-and-analyst-meeting-and-webcast,0.7363
528,INO to $50 or buyout? New HIV vaccine 100% response! Love MDT long term.,0.9604
529,Wonder when they just pull the trigger and take out MZOR. That one is a gem.,0.7529
530,the second half of the yr alot of powerful initiative's will start to kick in,0.4497
531,"Another milestone today :Best Stocks: Medtronic plc (NYSE:MDT), Azure Midstream Partners, LP (NYSE:AZUR), WMIH Corp. (NASDAQ:WMIH), Cisco Systems, Inc. (NASDAQ:CSCO) Medtronic plc (NYSE:MDT) announced the launch of Medtronic Orthopedic Solutions, a comprehensive program for total joint replacement episodes of care designed to reduce system costs and improve patient satisfaction and outcomes, according to a company press release. Medtronic Orthopedic Solutions was created to address the rising costs of hip and knee replacements, specifically addressing the Comprehensive Care for Joint Replacement (CJR) model implemented by CMS by offering a consultative program to assist providers in meeting CJR requirements",0.989
532,https://seekingalpha.com/news/3628108-fda-clears-medtronic-next-gen-nerve-monitoring-system,0.0
533,MDT reached a 52 Week low at 75.45,-0.1464
534,"From 02/17Morgan Stanley Expects Medtronic, Inc. (MDT) To Miss Consenus Revenuea day agoHe stated ""Based on peer results and management commentary, we expect Medtronic to miss Cns revenues by ~50-250 bps given December-to-January resurgence (i.e., we expect a ~flat to -2% organic quarter), still positioning Medtronic toward the high-end of C4Q Device averages (see Exhibit 2 for peer 2-year stack analysis). Absolute results matter less, while evidence that Medtronic may be weathering resurgence better than peers matters more. We remain comfortable with the risk/reward into the quarter and continue to favor Medtronic as one of the best names in our coverage to play 2021 Device recovery.""",0.9838
535,"J&J down big on another scare about trace asbestos found in baby powder. Gives plaintiff attorneys more ammunition if true and more distraction and cover if it's false. Product liability is a big issue for MDT. Since I have been following the stock - 2014 - there have been several recalls. Fortunately, nothing material to MDT's stock price although I do recall reading about some deaths associated with MDT devices. It seems to be that MDT has a hair trigger when it comes to recalls. I don't believe I've seen an FDA recall announced for MDT without reading that it was well underway. It's a credit to MDT to have engineered feedback loops that seem to work.",0.6044
536,"I like this sell off, lets stay in the $95 handle for a while please.",0.7745
537,"MBOT is a low float stock with only 9 million shares outstanding.The co-founder was the founder of MZOR and MZOR was bought out by Medtronic last year for $58 per share!The demonstration of surgery tool is coming on Jan. 13, 2020.The sample device is easy to use and disposable! It prevents the re-use of surgery tool causing infection of patients.The feedback from surgeons are good in overall!The stock is good to own! I am buying more shares!",0.9755
538,Premarket at 80... lets hope this starts taking a more positive turn here in this down market,0.6709
539,"cant wait to see earning this quarters,it will be big",-0.0359
540,"ventilators needed..more,more,more..hopefully tesla starts cranking them out and help medtronic more.",0.5232
541,And the only reason I would do that is that you all can talk the talk but go silent when it's time to walk the walk.,0.298
542,HACKING MEDTRONIC PACEMAKERS IS ON CNBC..... WOW...,0.0273
543,"Super quick take here. I own ISRG. SYK, IMUX, CRMD , and a couple of other medical stock. MDT is tailing the market bad. Look at the chart for SYK for the same time frame or even ISRG or ....MDT is flat as heck.",0.7188
544,AND NOW!!,0.1979
545,"MDT had a good report but it does look like it will take better growth to pull the share price to $100. An EPS growth rate of 10% is good in a low rate world but it's not exciting. This year's Operating EPS target of $5.15 gives MDT a multiple of 16.5 on this year's earnings. In my view the stock probably has good downside protection at 15x or about $77.25. The current outlook will be adjusted by Investor Day next Tuesday June, 5. There will no doubt be impressive new products to talk about and If the market sees potential in robotics it will probably improve MDT's profile. It's a Buffett stock, he says he wants to own stocks who treat investors with reverence. I assume MDT's 50% of cash flow to investors qualifies MDT. I expect that robotics will be exciting but as with the 670G device we saw a delay for commercial sale of robotic surgical devices, except for Mazor. I'm sure they will get it right and I hope to hear good news on the 5th",0.9962
546,ok here in s a thought Charles river labs bought ge s division th as t makes equipment Charles river probably is a stronger competitor than ge was,0.6628
547,Only thing I could find:https://seekingalpha.com/symbol/MDT/stocktalk,0.1353
548,Broke the triple top from the last couple of days! Roll baby roll!,-0.3966
549,"What a piece of krap stock, what was it beginning of year.115? Now 9 months later at 103? Lol",0.7003
550,i blame it on investors lack of discipline,-0.5252
551,From Seeking Alpha just nowMedtronic (NYSE:MDT): Q3 Non-GAAP EPS of $1.29 beats by $0.14; GAAP EPS of $0.94 beats by $0.22.,0.2632
552,"I'll repeat, this is just plain sad. You can make SO much money with one move whether it be up or down depending on your position.",0.1551
553,When does MDT determine dividend increase/decrease?,0.0104
554,The amount of equipment MDT provides to hospitals is amazing. This along with KR for food are solid,0.7515
555,"I was so mad last year for MDT forcing shareholders to sell and then reissuing stock because it cause much tax pain for long term holders like me. I sent the company an email expressing my displeasure and told them I hated them. I got an email back and they said something like the stock is up (ever so slightly from the sale) and that hate was a very strong word. Well, it looks like I was the one who was right. Now anyone who has held the stock from the reissuing until now has a loss. So much for the smart management.",0.8177
556,"Will we see 120.00 by the end of the week,stay long .",0.3506
557,DZ Bank is second largest bank in Germany:https://seekingalpha.com/news/3554954-dz-bank-likes-medtronic-in-premarket-analyst-action?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-dz-bank-likes-medtronic-in-premarket-analyst-action&utm_campaign=rta-stock-news&utm_content=link-3,-0.0344
558,Anyone see a split coming?,0.2062
559,"Just remember that if the ex-div date is 12/26, you have to own the stock on 12/25. Since that is Christmas day, you will need to own the stock by the 1:00 pm close on 12/24 (Christmas eve). Trading volume will be very lite in 12/24, so if you should try to buy it on (or before) Monday 12/23 if you want the dividend.",0.9336
560,"So far, I like it today. MDT doesn't go up $10 in a day very often, if ever.It was a good long term hold yesterday so no different today. Traders help as well, enjoy the ride.",0.9434
561,so undervalued,0.0
562,So here is the question. Do you buy both TRXC and MDT with the MZOR money? A lot less leverage here with MDT.SYK has done really well with MAKO so...…...MDT is very tempting.,0.2741
563,Somebody please wake me up at $109/share for MDT. Thanks. Insiders STILL buying.,0.8686
564,MDT is up 6.87% to 100.55,0.1818
565,Added 25 @ $99.40 today for a 2.6% position.. Hope I'm happy in 5y.,0.7776
566,"imp i think next er it will go to $120.00 ,.",0.1621
567,All good news today for MDT except for the drop in price.,0.3517
568,"They confirmed ER on Nov 11,2016 premarket. I predict a gap up.",0.6115
569,My biggest complaint about MDT is that the dividend yield keeps dropping. ,0.1129
570,"FYI – Guided Therapeutics, Inc. (GTHP), makes LuViva, a non-invasive cervical cancer detection device that identifies cervical cancers and pre-cancers painlessly, non-invasively, and at the point-of-care.Just today, Guided Therapeutics announced that it has achieved regulatory approval for sale in India. I have bought a few hundred thousand GTHP shares post news. Please do your own due diligence.",0.8985
571,https://finance.yahoo.com/m/48df75a1-5201-3881-808b-6d74935974df/medtronic%E2%80%99s-strong-4q17.htmlTomorrow will be a good day for MDT 's pps gain.,0.7324
572,I am very confused why this trading bellow$100 it should be$110-$115 maybe after earnings it would be trading above $110. But i am bullish,0.5245
573,"""Analyst Actions: Raymond James Raises Medtronic's Price Target to $122 From $121, Keeps Outperform RatingMT Newswires - 10:53 AM ET10:53 AM EST, 02/19/2020 (MT Newswires) -- Medtronic (MDT) has an average analyst rating of buy, with an average price target of $121. Analyst Actions: BTIG Research Cuts Medtronic Price Target to $124 From $126, Maintains Buy Rating""",0.9093
574,700 million dollars of this traded today. something is up with this stock.,0.5763
575,"II must admit I like Medtronic's latest target a small, but revolutionary Company named Nephros. Even bigger things are in our future!",-0.3267
576,i rarely read seeking alpha I find it more opinion than facts,0.2249
577,MDT is up $1 today in a down market. The tuff news from BSX that they are retiring from TAVR because of continuing problems with their delivery system may be driving money into MDT. Recently MDT started a comparison of the latest version of TAVR head to head with Edwards' valve. We could see MDT taking share. The next old rock star should go with MDT Intrepid -- I hear Jagger got an Edwards valve in NY. MDT also has a dual TMVR for Mitral valve replacement studies going on which should lead to FDA acceptance over time. That could generate big revenue . Stay the course.,0.9323
578,sec.gov 10 K filed annual report.,0.4479
579,When will the dividend be payed?,0.0756
580,"Demand for their products will only increase for Medtronic, Stryker and Hill-Rom. Companies will have earnings releases in the months to come and I would assume these will surpass estimates. How much are we hearing the hospitals ""don't have enough beds, equipment, etc"". Might be a falling knife but I'm averaging in on these three in the weeks to come.",0.2528
581,Sinking with the market. Something is wrong here. Nov & Dec will be the selling month!!,-0.6105
582,"Nice to see a little strength on a down day. The next planned events will be the Annual Shareholders meeting, Q4 & YE results and outlook, ant he next dividend declaration.Medtronics big three product announcements, TAVR, MICRA and the 670G are all expected to see robust demand. If the 670G improves the lives Type 1 diabetes patients then Medicare approval could follow. Were I Type 1, I would buy it and pay monthly fees. This looks good for revenue growth. The destruction of the 630G to the 670G product bridge when the 670G was approved less than 2 months after the 630G hurt Q2 revenues and knocked the stock down to the low $70's. We'll see shortly if 6 months has turned that around from a drag to a revenue boost Q4.A dark horse catalyst is the possible sale of medical supply products. A $500 mil per year revenue number was mentioned as the base for a possible 10x revenue sale price of $5 bil. They may be able to use sale cash to buy back stock or pay down debt. The Puerto Rico tax case settlement could also be finalized -- pending lawsuits are always 50-50.I hope today is followed by some good news.",0.9886
583,73 / 4.55 = 16 = forward p/e16 is a very low p/e ratio for this company unless patients no longer need cardiac care and other medical products.,0.463
584,104 next,-0.0083
585,"WARREN BUFFET SHOULD HAVE JUMP IN LAST WEEK,MAYBE HE DID?",0.5114
586,"I averaged in to i/2 my position Jan 2015 - March 2018. I suffered thru lagging profitability, market meltdowns, the 670G sensor shortage, the IT mess converting to SAP, the Puerto Rico storm manufacturing shortages -- but looking back I'm so glad I bought on weakness giving me about a $75 av cost. It looks like, market willing, that I will see a $25 per share gain after Q2 is reported in about 3 months. The $2 dividend is a current yield of 2.7% on cost. I'm long here for the foreseeable future.",0.9657
587,MDT could be buying Mazor Robotics. Stay tuned.,0.2811
588,"MDT Stock: Medtronic PLC Oozes Long-Term Strength | InvestorPlaceinvestorplace.com › Stock Picks › Hot StocksNov 2, 2016 - Medtronic has an early lead on the competition with the approval of the artificial pancreas. This also sets MDT stock up for long-term growth. Look at the price drop today. It is insane.",0.873
589,U have NEWS NOW.....,0.2968
590,"When I read $MDT press release about updating their product the first word I see is ""Dublin"". Shame on our healthcare providers if they continue to support $MDT which is possibly the largest recipient of medicare dollars in the world and circumvents its US Federal Tax obligation.",0.487
591,"MDT is one of the most loved stocks by analysts, but buyers apparently do not believe in these guys doing their ratings. This stock should be close to $90 right now and in a distinct uptrend.",0.8835
592,"I keep hoping this company will get some footing and go up. Earnings come soon. With so many great products, I can't imagine why it doesn't go up.",0.8883
593,"Ahhh, it's Monday, still tapering down...no contracts yet? Is leadership collapsing everywhere?",0.0983
594,News this morning just out on FDA approval of world's best defirilator by MDT. Look for the end of pullback !,0.9344
595,"Sorta good news for MDT within EW's earnings report - MDT seems to be taking TAVR share:""Chief Executive Michael Mussallem noted Edwards' transcatheter heart-valve replacement system, Sapien 3, recently proved superior to surgery over a yearlong study. TAVR, for short, is a method of replacing a faulty heart-valve using a catheter rather than resorting to open-heart surgery.""This marks a turning point in the advancement of a therapy that transforms the lives of patients suffering from aortic stenosis,"" he said in a written statement.During the first quarter, TAVR sales advanced 8% to $598 million. On an underlying basis, revenue from TAVR grew 10%. But the medical device company acknowledged Edwards grew at a lower rate than the estimated global TAVR procedure growth ""due to a modest year-over-year share decline.""Edwards challenges Medtronic (MDT) with a TAVR system. And Boston Scientific (BSX) also is nearing U.S. approval.Edwards Raises Adjusted Earnings OutlookFor the year, Edwards raised its adjusted earnings guidance by a nickel to $5.10-$5.35 per share, up from its prior forecast for $5.05-$5.30. At the midpoint, that was in line with analyst views for Edwards earnings of $5.22 per share.""",0.9752
596,Perhaps now the most useless message board system on the web.,-0.1727
597,This dip is due to dividend distribution drop all is normal. BUY BUY BUY into this dip for a sunup back to the highs. MDT is a no brainer solid medical device company with growing revenues and dividends.,0.8474
598,imo stents work well i know how good since i have had the procedure,0.6936
599,Anyone heard anything about buying Titan Medical?,0.6882
600,one of the best stocks to own.diversified portfolio of medical devices products in need globally.low debtgrowing dividendsgrowing book valuehidden value represented in spending in research spendingbuy and keep almost similar to J&J,0.8997
601,$SPHS $MNKD $GERN $MDT $LLY $ZGNX $REGN Alert: add $SPHS to your profolio because is @.66 very dirt cheap with turn around huge pretty soon ...,0.8038
602,Medtronic already involved with major. teaching with CVRS,0.1201
603,"Either which way, up or down girls.",-0.0702
604,"Mazor believes future is robotic surgery. Better precision, less radiation, saves personnel",0.5009
605,proud of mdt,0.4713
606,Hi! Anyone know when is the dvd payout date? Thanks.,0.775
607,rel. strngth index is 55.14 - therefore we may even see some upside on MDT but perhaps a short-term pull back is more likely prior to the next rally. I don't know exactly how lionstacka#lerts could predict this - lol I should have listened to them.,0.6758
608,i dont own this any longer i sols to early but i do believe the mazor division will bring much growth here,0.6459
609,It appears I am the only one holding shares here! Is anyone angry on the trend of this stock?,0.7144
610,Google MDT stock news for today : Medtronic (MDT) Reports FDA Approval of New Recaptureable TAVR System,0.8384
611,"Why SENS NOW? This is very important statement from Founder and CEO of FibroGEN INC. A company 3 times bigger then Sense with MC of 5 billion dollars.“ I have to say I have been a long time believer in this Company and have been dumbfounded on why it has taken till now to finally be realized for its value. I am a Biomedical Scientist who helped to found FibroGen, Inc and I feel SENS has more to offer in the long run. Very important technology and an enormous market that needs this type of continuous monitoring. I was a speaker at a Juvenile Diabetes Medical Meeting in Dallas Tx in 1981 and the physicians were praying for something like the SENS technology to help Diabetics become healthier and safer. Now it is here and with future work to couple the sensors with a pump to deliver the correct amount of insulin you will have the dream that has been the Holy Grail for Diabetic Therapy for 45 years. I am happy to have found such a great company and I think they should go to $100 and beyond.",0.995
612,Hang onto this one...these guys are going to be taking some serious market share away from their main competitor in some segments. Look into Puerto Rico and who has a plant down there destroyed...I happen to know for a fact this company has the potential to add 1 billion dollars in additional revenue nobody knows about just yet,0.7583
613,MDT is down 5.63% to 73.10,-0.2462
614,This has done well since they hired the new person to help the stock price. I guess just the fact they are trying to get the stock up is actually helping before he has even done anything.,0.9297
615,MDT is the Latest Pick at STOCKTRADEVIDEO (Google them),0.1715
616,$SPHS $mdt $JnJ $REGN $3 Billions BO on $SPHS soon...,0.537
617,"It's not like it doesn't show some of you viewing the posts on here. So, what's up? I'm going to make it move before the bell just to show you all.",0.663
618,"MDT acquires Titan Spine - an add on for the Mazor X -- a textbook acquisition for the razor/razor blade model...""Medtronic to acquire Titan SpineMay 9, 2019 7:13 PM ET|About: Medtronic plc (MDT)|By: Jason Aycock, SA News Editor Medtronic (NYSE:MDT) has a definitive deal to acquire privately held Titan Spine, makers of titanium interbody implant and surface technology.Financial terms weren't disclosed, but Medtronic says it's expected to be immaterial to fiscal 2020 EPS and will meet long-term metrics for acquisitions.Wisconsin-based Titan Spine markets a full line of Endoskeleton interbody devices featuring a proprietary textured surface to the U.S., Europe and Australia.Both boards have unanimously approved of the deal.""",0.8663
619,The only thing negative I see in the news is the potential pressure from US health reform. It looks like both parties will be focused on material revisions and of course cost controls. I see Stryker is down too - I figured it was pharma under the most pressure but it may be catching up to device makers.,0.6464
620,Medtronic !!!!!,0.0
621,"I noticed the Cardinal Health sale resulted In MDT's Plant & Equipment Asset total being reduced from $10,387,000 to $4,441,000 or a reduction of about $6 billion which is about a 60% write down due to the sale accounting. The revenue sold was about $2.6 billion out of close to a $30 billion annual run rate or about 8.7%. So the brands and production sold is very fixed (P&E) asset intensive. I believe 17 factories transferred to Cardinal. I can see why those products were sold - $2.6 billion of revenue sold required $6 billion of assets while the remaining $28 billion or so of MDT revenue flows with the remaining $4.4 billion of Plant & Equipment assets. I'll wager the higher remaining gross margins will start to show thru in FY 2019 which starts in two weeks.",0.864
622,I have never seen in 40 years any company get so many FDA approvals on new products as MDT has lately.,0.7121
623,MTD announced FDA approval of their new aortic valve replacement. Stock price is down ?,0.7619
624,Nice day up $3 - Stryker is also up 3% so there is a bid in for med devices today. Hopefully the deferral of elective procedures will produce a steady recovery of delayed Q4 revenues. I think it will take another 90 days to be at full speed. If we and the world avoids a second wave this winter it should stay strong.,0.9272
625,Great report - the item I didn't expect was the $1.1b transfer pricing payment to the IRS. The must have lost on appeal to the IRS.,0.9039
626,I like mdt buyout for mazor i owned mazor and i know that division will be huge,0.687
627,MDT: lots of call BUYING for OCT 115VERY BULLISH indication,0.5652
628,Better to buy Medtronics or Intuive Surgical?,0.5218
629,"Over valued, shorting at 94.50",0.3529
630,MDT is up 5.12% to 88.72,0.1818
631,"""Needham lifts its view on Medtronic (MDT +0.4%) to Strong Buy from Buy and raises its price target to $119 (31% upside) from $103 citing a strong product cycle, valuation and potential to beat consensus F2019 consensus. The company is currently exchanging hands at ~20% discount to its large cap med tech peers.""",0.8113
632,"Looking for the lift off to $115.00 to 120,00",0.2264
633,Buy all you can today. This stock is going over $100 per share. Earnings will be terrific.Remember you told you this !!!! Today is a GREAT buying opportunity !!!!!!!,0.9527
634,Should be $115 ! Players playing it down!!,0.2492
635,"Another huge FDA approval for MDT:--------------------------------------------------------------------------------Medtronic (NYSE: MDT) has received U.S. Food and Drug Administration (FDA) approval for the Claria MRI Quad Cardiac Resynchronization Therapy Defibrillator (CRT-D) SureScan device for patients with heart failure. The Claria MRI CRT-D is approved for scanning in both 1.5 and 3 Tesla (T) magnetic resonance imaging (MRI) machines, and features EffectivCRT(TM), a new algorithm that automatically tailors the therapy to individual patients by adjusting pacing rates.""Until now, CRT devices have shown only whether a pacing pulse was sent, but we haven't been able to determine if that stimulation actually improves the heart's pumping ability,"" said Suneet Mittal, M.D., director, Electrophysiology Laboratory, Arrhythmia Institute of the Valley Health System, Ridgewood, N.J. ""With the Claria device, physicians are now able to verify the effectiveness of left ventricular pacing, which is especially beneficial for improving outcomes in patients with atrial fibrillation, who have been difficult to treat because this irregular and rapid heartbeat often interferes with the delivery of effective CRT.""ADVERTISING",0.9877
636,"5/31/18""Medtronic (NYSE:MDT) initiated with Outperform rating and $96 (12% upside) price target at Raymond James.""",0.5096
637,getting walloped,0.0
638,I am long on mdt but this has to be slowest gainer in all of the stock market at the moment. Even Exxon is outperforming MDT since coronavirus LOL. What a trd,0.925
639,MDT is up 6.08% to 91.51,0.1818
640,Answer what you want to see happen,0.2542
641,Mute Geddes. He can justify cluttering up the forum all he wants. But 5 word posts seconds apart is way too much!!!!!!!!!!,0.3105
642,"Down on news , delayed reaction and it’s FDA approval!",0.6322
643,A great healthcare company down 25% in 6 months during a pandemic. Sheesh.,0.7763
644,Take profits but this will pop tomorrow,0.3216
645,A favorite Medtronic PRhttp://newsroom.medtronic.com/phoenix.zhtml?c=251324&p=irol-newsArticle&ID=2313389,0.4588
646,"MDT again called a top health care stock :As for health-care stocks, Jonas said “one area that is pretty interesting is the physicians-services industry — the people who operate and staff the emergency room, the anesthesia suite and the neonatal unit of hospitals.”You have no doubt noticed how administrative staffs at doctors’ offices and hospitals have grown by leaps and bounds over the years. That represents a major portion of increased health-care costs, and two companies recommended by Jonas that are addressing that problem by improving efficiency are Envision Healthcare Holdings Inc. EVHC, +4.37% and Amsurg Corp. AMSG, +4.26% The companies are in the process of merging, with the deal expected to close in November. The combined company will be called Envision Healthcare Corp., and Envision is the stock Jonas thinks investors should buy now. He expects “a lot of cost savings” for the combined company.Jonas also mentioned another outsourcing company he likes: Integer Holdings Corp. ITGR, +6.70% which makes medical devices for other companies, including Johnson and Johnson JNJ, +0.35% and Medtronic PLC MDT, +1.51%",0.9817
647,Closed at $12.06 which is 9 cents off the all time high. Hopefully we see good results on the morning of Nov 19 - next Tuesday morning. During the last 4 Q reports MDT has beaten between 4% to 6.8%. They probably target 4% - 5% with the strength opf the dollar tipping it to either side. I expect good results. MDT needs to get its revenue growth rate up to get a bigger p/e. I hope to see further reductions of SG&A ratio to revenue -- improved nicely Q2.,0.9594
648,"I have other things to do but thought I'd help if someone asked. My other positions need a look at too...So, the early bird gets the worm from here on out.",0.7877
649,Why is this stock getting so hammered? I thought it was more of a defensive stock...,0.2463
650,when mdt bought mazor it leapfrogged all other med device companies,0.1929
651,"EX. div. today gives us shareholders opportunity to buy more shares of this fast growing great company, just buy what we can all afford as you'll see large mutual funds buying and just put aside for long term",0.972
652,Read this interesting report $MDT http://bit.ly/2eAo89p,0.5916
653,I'm done trying to understand the stock market! Seemingly great news on trial and trades down today. SMH,0.8159
654,"2/14/19 ""Medtronic (MDT) upgraded to Buy at Redburn.""",0.122
655,in 6 mnths mazor should be earning booster to Medtronic s,0.0112
656,MDT's Outcome Based contracts -- Omar thinks this is the way to go -- seems to me something that will insulate MDT from becoming a political target during the runup to the 2020 election:https://www.beckersspine.com/orthopedic-a-spine-device-a-implant-news/item/40540-medtronic-continues-to-push-outcome-based-contracts-5-things-to-know.html,-0.1235
657,Apparently US hospitals have been told to delay elective procedures. That will hurt revenue. I don't think it will last long. I'm now back to where I accumulated the stock over 2015 - 2017. I do expect a recovery after Corona washes thru the US hopefully within weeks.Good luck...,0.2351
658,MDT will recover and shine again sooner or later.Don't miss MDT dividend by the end of this week.,0.395
659,The 600 series pump problem is a setback. Sorry to hear that people were injured and one death. The 670G has been jinxed -- first it got FDA approval but MDT was 6-9 months away from having enough sensor capacity to be able to sell the pumps. MDT lost position in the market and DEXCOM and Tandem et.al. leapt ahead. Now these manufacturing problems. In the past MDT has done a recall at the drop of a hat -- over 20k complaints so they must have started a while ago. I assume and hope to see a PR from MDT -- could cost a few hundred million to resolve.,0.7849
660,Good day to all have invested hereGood luck to all who need there products,0.7556
661,Sell MDT!!! With reports of thousands of death affiliated in many countries; fall out could be serious!!! May cut price to half in the termoil!,-0.7977
662,"Right now U.S. Dollar is in appreciation mode. But just in case U.S. Dollar start to be in depreciation mode, buy U.S. Dollar base Gold and observe which foreign currency is on appreciation mode again, then sell U.S. Dollar base Gold and sell Gold and exchange them in the foreign currencies that you think it is going to appreciate.",0.9115
663,"hey, what do you think? I think Bullish",0.5109
664,Way oversold on good earnings and revenue report. This will go back to $80 by the end of the week.,0.6207
665,https://seekingalpha.com/news/3556315-medtronic-shares-ventilator-design-specs-to-help-boost-supply-amid-covidminus-19?utm_medium=email&utm_source=seeking_alpha&mail_subject=mdt-medtronic-shares-ventilator-design-specs-to-help-boost-supply-amid-covid-19&utm_campaign=rta-stock-news&utm_content=link-3,0.0
666,1/2/20 - Medtronic (NYSE:MDT) upgraded to Buy with a $135 (19% upside) price target at Guggenheim. Shares up 1% premarket.,0.5591
667,"I don't see any public news from or about MDT. But down big on big volume says there must be something out there. I can't imagine why a Trump Admin would be bad for MDT per se. I have no reason to believe that the earnings report due next week is the reason, the revenue and eps targets seem obtainable. Neither J&J or STJ are down big, some med stocks are down big. So what gives?",-0.3011
668,I know I haven't missed a beat. Get your stuff together and I'll be your huckleberry.,0.3179
669,Medtronic is up 5.12% to 88.72,0.1818
670,go go .. thank God it Friday,0.5974
