,Recent headlines and conversations for SBUX,Polarity
2292,"if our supply comes from china, and tariffs are coming, shouldn't buyers be worried that Starbucks will be more expensive then it already is??",0.5579
2293,dam this forum is toxic.,-0.5658
2294,College is FREE!!!!,0.3397
2295,SBUX will bounce higher. Strong Buy at 50.,0.6388
2296,"We the small investors are here to try to make some money. If you are a business that is more worried about PC and not making money, regardless of what company it is, I am out, because the priorities are not right for me to make money. Best thing I read was to not get emotional in investing. It stands true today.",0.8923
2297,when do you sell is the question - no way these levels last......,-0.3473
2298,"I don't understand why there are no updates. And this thing isn't over. Has anyone looked at the map where infections are present. All 1st world countries. Why is Africa, Latin America, and the Middle East immune. Hmmmmm. Perhaps not quite reporting stats yet. Someone sneezes in these countries and everyone has Malaria. SBUX stores are shutdown across China and that doesn't massively delay there growth and bottom line prospects? If the stock were trading at a 15pe maybe it doesn't move but it is priced to take over the world and is priced for perfection. And if you look at the chart it has dropped only 2% since the virus and store closures were announced. As of today, it has not dropped at all. Wow. talk about bullish sentiment. Never seen it higher. hope that doesnt change.",0.9809
2299,What time is the party?,0.4308
2300,SBUX reached a 52 Week low at 53.07,-0.1464
2301,DUNKIN,0.0
2302,Starbucks reached an all time high at 100.72,0.3228
2303,Thanks democrat we showed up last night now we get to see Trumps tax returns going to help bring him down in 2020.,0.6022
2304,Tomorrow we gona see 60$+++ after conference call its going to turn green,0.5436
2305,Dunkin up .15 cents.starshits up .03 cents.Big deal 3 pennies.,0.4378
2306,Buying some shares today,0.6155
2307,Lots of negativity. Buy,-0.4234
2308,"I Am Glad To See , Starbuck's , Close , The 400 , Store's That Lose Money , Because They Have No Drivethru , Service , Starbuck's Other , 31,000 , Store's Are Doing Great , With Huge Profit's , And , Starbuck's , Will Be Adding Hundred's , Of New Store's , Very Soon , With Their Building Program ;",0.8282
2309,"Yo Spic (rhymes with #$%$) - did you delete this post?""That funny, does that Shultz idiot ever run any of his brilliant ideas through a focus group first? The latest thing is that they are going to hire immigrants, then they later stated that they will hire veterans also. How nice of them""Deleted it when you realized they announced the veteran hiring target of 10,000 (which they've now hit and upped to 25,000) more than 2 years before the announcement about hiring immigrants? Probably shouldn't get your news from Russian TV",0.966
2310,"COMPARE kings stock: SBUX, ko, mcd, MSFT, AAPL, ORCL, INTC, V, AXP, VRSN, CAT, BA ,Google, FB and AMZN, SBUX stock price too low, SBUX worth $75 per share, SBUX coffee taste worth $75 per share, all people said SBUX coffee is very good coffee,",0.9175
2311,Sell as soon as you can. Look the graphics 6 months ago. Good luck!!!,0.8146
2312,Restaurants do not allow people to stay in if not ordering something. Now you know why,0.5295
2313,"Quit knocking, I,m trying to bathe in the washroom,I got my rights!",-0.3454
2314,Wow! $84Maybe what to cover at $80,0.6022
2315,They want to give us politics for breakfast but how can we return the favor?,0.7138
2316,￼BUSINESS News. Starbucks Creates Policy on Nonpaying Guests like 2 Blacks arrested last week. Starbucks tells employees in a letter that everyone is “considered a customer” even if it is blacks using bathrooms and free Wi-Fi. I guess I’ll get my coffee elsewhere.,0.7659
2317,Over 80 tom,-0.1344
2318,"Today it reached a high (60.70) that ""closed the window"" (gap fill). We'll see what it wants to do now. There is some resistance above.",0.5753
2319,"Recent study out of University of Oslo concludes that caffeine is as addictive as illegal narcotics. The study, helmed by Prof. Fridjof Nansen, went on to write that sales should be restricted to over age 21 consumers.",0.0791
2320,Is it possible that China management from Starbucks has been reporting inflated numbers like the management of Luckin Coffee?,0.7664
2321,http://money.cnn.com/2018/05/24/news/companies/starbucks-bias-training/index.html,0.0
2322,This will probably move more next week on the JNJ vaccine news over earnings numbers,0.7853
2323,Asia Markets Down 1.5-2.0. position yourself wisely,0.5379
2324,"I think it will fall from here, I am unloading all my shares.....",-0.2547
2325,Wal-Mart has tons of left over starsucks junk.People tired of paying high price for starsucks junk.,-0.5775
2326,Dont be tricked. This dip is a short sell. Hold on for earnings.,-0.1443
2327,$SBUX Maintains Stephens & Co. Equal-Weight USD 86 » USD 100 Maintains Wedbush Neutral USD 101 » USD 105Maintains Cowen Outperform USD 110 » USD 112Target Raised by Telsey Advisory Group Market Perform USD 94 » USD 102,-0.9143
2328,Maybe Schultz sees himself as a future Commerce Secretary. LOLOLOL,0.2352
2329,It just keeps dropping. YESSSSSS,0.1158
2330,SBUX has discounted their coffee by about 30% at COSTCO; SBUX is trying to increase their top line revenue. I believe this quarter earnings will be below expectation. Margins will be hurt.,-0.1277
2331,Is Starbucks gonna let everyone hold hands and run to a safe space provided in all sites next?,0.6448
2332,OPEN UP MORE LGBTQABCDEF BATHROOMS THATS THE TRICK TO GAIN VOTES ON SOCIAL MEDIA OUTLETS,0.6837
2333,"Well, I actually visited two StarBucks stores today. For so many boycotting, I must say I didn't see any evidence of a drop in traffic. I suppose I will have to wait for the this Qs earnings report for evidence that this apparent boycott was effective. As an investor holding shares in SBUX it is ALL about China. A store being opened every day in a market that dwarfs the USA. The CEO should know that business and politics rarely mix. My respect for him as dropped significantly, however, my interest in SBUX share has not been diminished because unlike the lemmings on this board who are SO insulted that Shultz has some stupid affinity for refugees, I recognize the fact that the USA is no longer the center of the ""consumption"" universe. Besides, I hate to profile, but much of the traffic in the stores looks like it leans left anyway. Many of those on this board complaining about Shultz throwing a few bones to refugees probably prefer truck stop coffee and conversation anyway. If SBUX can convince 2 billion Chinese to drink coffee and/or high priced tea then I will continue to be rewarded holding this CASH FLOW ENGINE !!",0.9854
2334,SBUX not going anywhere. The shops will be filled again when Things get back to normal.Buy the stock at discounted prices. Hold for 2-3 years and you’ll be happy.Divided staying in place.,0.2925
2335,"Vending machines to replace all SBUX stores. A million machines. Huge profits. But, are competitors secretly ready to roll this out and crush SBUX? Stay tuned.",0.594
2336,Overall market is down and this is up premarket? Sounds fishy seems a sell off,-0.2142
2337,"Woohoo! The buck stop here, it keeps going up and up!",0.7575
2338,"Price drop today from the news. Welp, so much for hoping that I would get some profits off of my call option expiring tomorrow.",0.8159
2339,Walk up window locations already exist. Let this be the new model along with double drive thru windows. K. Fleet,0.7528
2340,is $SBUX splitting 2:1 @the end of this month???,0.1563
2341,"I hate SBUX. Too much political drivel, too expensive.",-0.6074
2342,"Tarnishes the Starbucks name then flees. Shame on you Shultz. I like most of the workers I have dealt with at Starbucks. In fact I can't recall any bad experiences with any of the workers over the last two decades. The issue at hand here is not a worker issue but a leadership issue. Its always possible in any business to have a few bad apples but to turn it into a corporate issue was wrong. Can you imagine if the police did what you just did because of a single bad officer? You handled this wrong, your PR was a disaster, your threw your employee under the bus, and you tarnished the Starbucks brand name.",0.7066
2343,"For SBUX, the current 2020 consensus estimate is for EPS of $1.37. The stock currently trades near $74 per share. So, that would be a PE of 54. Um, Red Flag???",0.6824
2344,the relationship between customers and baristas is the reason to stop buy at starbux. I do put my money on the theory and it does happens in most of the stores in South Korea. Do not underestimate starbux. It is a still great long-term stocks snd company.,-0.3684
2345,shorting this junk right here. 1k shares,-0.0975
2346,Fonz you are hilarious you said you didn't vote for Trump but you sound like fox news never a fault with our lazy egomaniac in your eyes he is the greatest thing since bread now that is too funny.,0.9085
2347,"Enjoying my coffee and breakfast sandwich with egg whites only at home! The sandwich doesn’t taste like toilet paper and the coffee is way better! Anchor farms Carmel macchiato.,. Oh and paid way less! No homeless people here in my house and it doesn’t stink! Also doesn’t have a bunch of WiFi freeloaders here either... ",0.9034
2348,I'm sure the BOD was in the process of giving him an ultimatum.,0.7931
2349,Nice drop. I love it when a plan comes together.,0.7938
2350,I drink better coffee at home and this is overextended,0.657
2351,Where is my dividend? i thought it was aug 5th?,0.2275
2352,drove by a starbucks near my house this morning 0 people waiting in line in a normally busy location .... couple hippies using the free internet... hahaha so funny.,0.8946
2353,Expecting a pullback on earnings !,0.4196
2354,Bounced big time on the 200 day SMA,-0.0607
2355,broke the 200ma now. will break up once the economy crashes. $$ flows into low beta stocks then,-0.7388
2356,hong kongers are starting to boycott Starbucks because the chain is being managed by a company that is anti democracy....this issue has been escalated to Washington dc by hk democracy activists,-0.6904
2357,is this good? i can't see it....,0.4577
2358,Kind of gross how you have to put your own lids on the cups....3 times now i have seen people either sneezing or blowing their nose at these little lid/cream stations,-0.4733
2359,It is funny to see shares of a company that consistently increases its revenue and earning over long-term keeps getting hit over and over. I am a buyer when I see this kind of insanity.,0.399
2360,sugar water,-0.0766
2361,haven't looked at this stock for a while. Did this get hit by tariffs? I was curious why the 20-point downtrend? have cash on hand looking for a buy. :+),0.7437
2362,The worst coffee ever. Go to DUNKIN.,-0.6035
2363,Lots of room to raise divy. This is a buy,0.6891
2364,"Shorting SBUX when the economy is about to reopen, which will restore same store sales, revenue, and cash flow, makes as much sense as lighting a match when there is a gas leak. You WILL get burned...if the latest run up hasn't convinced you this company is dangerous to bet against wait until all of its stores reopen. Sure it is expensive from a PE standpoint but it also has a gigantic earnings growth rate projected out over the next 5 years. If it had no growth then valuation would be a concern to me but rising rates have not impacted it that much as this a stock has a beta below 1. So this is not going to get punished the way the profit less stocks will. PE is not the end all be all reason to sell a stock. I think selling right now is extremely dumb and short sighted. The company is rallying like mad and it's got one hand tied behind its back. Imagine when both hands are free.",0.9465
2365,China,0.2701
2366,Love the coffee but no way am I buying this stock with a p/e of 200!! Insane. And people cry about Nvida's 80 p/e?? Seriously?,-0.7276
2367,Trulieve Cannibus gained $1.10 today closing at $22.40. They have a crack executive management team. SBUX SUX!,-0.1057
2368,Get in the 100 billion dollar business #HIKUCOFFEESHOPShttps://www.bnnbloomberg.ca/when-the-recreational-market-opens-up-who-will-emerge-as-the-starbucks-of-the-cannabis-industry-1.992495,-0.1457
2369,"If he wants to be President, Schultz should sell his SBUX shares. Otherwise, people will ask if China is giving favors to SBUX in allowing its expansion there . Otherwise, voters will fear Schultz is to China as Trump is to Russia.",0.8619
2370,"C'mon Starbucks, we need a cannabis infused latte to get us going in the morning.",0.3078
2371,"Any Crooked Hillary supporters, Millennial crybabies, and LGBTQ weirdos still hanging onto this dog stock?I told you last week that this stock would be tanking..hahahaha.. Soon there will be no place for the snowflakes to socialize...",0.3718
2372,Stock has gone no-where in 2-3 years...now a policy that every shareholder does not want to see. Fleeing soon!,0.147
2373,"SBUX earnings number in 2 weeks will increase EPS, and lower P/E, which is why their stock price is rising to the occasion.",0.7105
2374,Doesn’t the debt to equity ratio scare anyone? It’s negative right now. Isn’t that a sign of bankruptcy is coming down the road?,-0.9178
2375,Think I might sell my DIS profits and load up 300-400 shares of SBUX,0.8301
2376,They gave bad guidance. Why is it not bellow $50 yet?,-0.685
2377,The selling is far from over,-0.005
2378,The new Bernie!lol,0.1474
2379,fools r selling ...sbux is a cheap stock and already down 20 percent since few months ....so this er is a boost to price back to above 90,0.8261
2380,One day this bad news will eventually sink in. Starbuck is a luxury not a necessity. People think some pent up demand for $6 coffee is what people want. They compared it Chipolte. Chipoltle is not a luxury and is cheaper than hamburgers at Wendys.,-0.14
2381,I’m a long term SBUX investor but tomorrow is looking horrid. Hope it can hold 64$,0.0979
2382,"SBUX is pontificating two year's out. That is the problem with today's market: it is too far forward looking. Stating what might happen a quarter or two out is one thing, but two years? A lot can happen between now and then. Even with the rosy numbers SBUX is grossly overpriced.",-0.0405
2383,"Stock market fear is here. Buy SRTY. It is 3x Bear on small caps.And, Blue Note to Place in the 5th at Del Mar. It's a lock.",-0.6188
2384,Can we stop talking about ex ceo? Is sbux hold or sell?,0.3516
2385,LEFT WING CEO's POLITICAL Bull.Shyt. doesn't fly with AMERICANS !!,-0.7494
2386,Dunkin store are being built.starshits in run down slums.Thats why Dunkin stock aheadof loser starshits.,-0.4359
2387,"#SBUX down, #LK up. #SBUX up, #LK down. And volume is very low. I think most of trading is by computers.",-0.0985
2388,No more orders of blac coffee are allowed,-0.2684
2389,"My $3,000 in SBUX is now $140,000. Any others?",0.0506
2390,Rewarding to see! They deserve everything they get,0.6746
2391,Sorry for your loss Miss Manson.,-0.4872
2392,"THIS STOCK IS ONLY UP BECAUSE OF SHORTS. 7 BILLION IN DEBT AND 2 BILLION IN CASH. THIS STOCK IS AT 27X NEXT YEARS EARNINGS, IF EVERYTHING GOES WELL. WHO IN THEIR RIGHT MIND WOULD PAY THESE PRICES FOR THE STOCK. BY FEBRUARY NEXT YEAR THE STOCK WILL BE BACK DOWN TO 50 WHERE IT BELONGS.",0.7598
2393,"Put this into perspective . Buffett says this about See's Candy. Think about Starbucks mega-vast spoiled inventory.Buffett: ""But we have a lot of Easter candy [left over]... and we won’t sell it. We produced a good bit of it, and we couldn’t ship it, and we couldn’t put it in stores.”",0.9052
2394,Looks cheap. Will buy 53,0.3831
2395,"I did my D.D. (similar to what I did with NIO around $3) and ended up buying 1,000 shares today under $5.00 and I have to say I'm looking forward to buying more. I think Luckin' has great potential, their tea products are set to be huge profit puppies, but 'introducing' China to coffee is going to be huge, super cheap costs, lots of stores, and a ginormous market! That final point I cannot stress enough.I'll be loading every red day until I have a couple thousand shares. I'm most interested to see what their new audited financials show, I know some people are weary, but this company reminds me of $SBUX back in '08, after it got beat down on worries about profitability following restructuring and expansion. Post the 75% drop in SP $SBUX jumped 2000% to present day. It's good to see the board being restructured and it gives me hope we'll see LK back on the NASDAQ some day.Right now I'm thinking there's a similar consolidation period of massive institutions looking into and buying LKNCY, very similar to NIO after it got hammered down thanks to bankruptcy worries. Barclays & BlackRock both own ~1,000,000 shares, and I expect more major institutions to buy in shortly following some major red days. This is a long hold IMO, and I'm super excited to see the mid and long term growth prospects of the company.All M.O., hope this helped nudge some people in the bullish direction!",0.9974
2396,"Starbux is done,why pay $5. for a coffee you can make at home! The status symbol is over and done with,buh bye starbucks!",0.2524
2397,"our fight with China will hurt SBUX, just sold all my shares after years of buying, China will assuredly will have general population boycott, with no growth in US China was their only big hope, may even a great short",0.8736
2398,Very poor business decision.,-0.2977
2399,What a come back!! Fully recovered. In a down economy people are buying more $6.00 coffees,-0.2059
2400,"Any hungry lawyers out there? I’m looking for class action status. Starbucks coffee sold at grocery stores used to offer a free cup of coffee at a Starbucks when you purchased a bag of coffee at the grocery store. These bags had no expiration date. Now, Starbucks will no longer honor them.",0.9373
2401,Starbucks expects second-quarter adjusted earnings of 32 cents per share,0.455
2402,"It’s already started. A teen was found dead in a Starbuck’s restroom in Downers Grove, Il. Race or if he was a paying customer wasn’t discussed in the article.",-0.0956
2403,sbux i own ..but wait for major sell.of again.....end of april is best time to buy,0.7526
2404,"Starbucks (SBUX) Opens Store in Bali, Expands Global Presence https://finance.yahoo.com/news/starbucks-sbux-opens-store-bali-132501078.html",-0.04
2405,When will Starbucks open their restrooms in California? Remember when they told the public anyone can use them whether a customer or not. They lied! How does one get the wuhan flu from a bathroom? I miss the days of watching the junkies take bird baths in the sink and using the bathrooms as injection sights.,-0.816
2406,"I sometimes go to Starbucks, but this company is dead in the water now. For how badly HRB was punished, I am surprised Starbucks is only down 4% pmt",-0.9365
2407,It’s uglier than expected....https://amp.cnn.com/cnn/2020/01/29/business/lunar-new-year-coronavirus-economy/index.html,-0.4521
2408,Nice day for the bulls on low volume. That makes it suspect. However SBUX moved back above the 15 DMA as did SPX. I have not covered. Today was just out of hand.,0.7836
2409,Dont invest in Coffee shops that double as Homeless Encampments.Be careful using those toilets! I wouldn't want to sit on those seats ewwwww,0.6253
2410,SBUX is up 7.09% to 69.48,0.1818
2411,One concern to be aware of here is that SBUX is exposed if Beijing decides to rile nationalist fervor as trade tensions rise. They have done this before (vs. Japan over disputed islands and vs. South Korea over installation of missile defense). If Beijing starts using stronger nationalist rhetoric against the US high visibility American brands like SBUX can be hit hard.SBUX has 3300 stores in China and aims to grow that to 6000 by 2022. That growth could be in jeopardy if they get in Beijing's crosshairs.,-0.7357
2412,"a recession is coming and no one can stop it. The FED has to raise rates (recession) if not, yield curve inverts (recession) trade war (recession) end of basically 10 year bull (recession) better to prepare now then after the dow sinks 3000-5000 points, S&P migt hit 3000 then it falls to 2300-2400. SBUX will get hit hard. if I am wrong, the bubble only gets bigger",-0.9091
2413,"MACD ticked up, & closed above 10 day moving average. Start of upleg.",0.1443
2414,will this ZURD move today?...what a drag!,-0.2829
2415,"7 reasons buy SBUX: 1#1) SBUX coffee 10 oz sell $2.34, DNKN coffee 10 oz sell $2.29, that means SBUX coffee have more room to rise, #2) SBUX sales continue growth, #3) SBUX have high profit margin and low p/e, #4)SBUX coffee taste are lot more better than anyone, #5) SBUX can open more New store, #6)tax cut and low unemployment rate will add SBUX sales growth in American #7) people who afford SBUX coffee growth very fast on out of American, SBUX worth $75 per share now.",0.9428
2416,WHY DOES THE PERV CRY????????????? PERV HAS A LOT TO CRY ABOUT!!!!!!!!!!!!!,-0.731
2417,Live updates: China reports highest number of new coronavirus cases in nearly six weeks; U.S. weighs risks of May 1 restart,0.1612
2418,"in USA:mcd and deli stores $1 coffee didn't hurt sbux, opposite: their $1 coffee boost sbux sales growth,why???? because their $1 coffee only get more people drinking coffee,but these people indirectly to sbux, , because sbux coffee better than them, so mcd and deli stores $1 coffee get more customers for sbux,so LK will be as same as mcd and deli stores $1 coffee, LK will get more customers for sbux,because sbux coffee better than LK,LK will be temporary stores.",0.9292
2419,Today is Thanksgiving. I am thankful for coffee that is much more superior than scarscux. Any coffee is better than a 5 buck o cup. Happy Thanks giving. This stock is a turd.,0.9751
2420,"SBUX has a loyal customer base but, I just don't like going there anymore and having to wait 15 for my order. For coffee? Whatever. Good luck, longs.",0.9358
2421,GE in the making. It’s called mismanagement at the executive level,-0.1205
2422,Wow. Down $30 since July high...30%. Might be buying call options soon.,0.6928
2423,"I'm sick of liberal CEOs talking politics. Why would you alienate ANY friggin customers??!!! I've had my son and his group of high school friends just say their done drinking Starbucks...one of them is going into the marines...nice. Don't say anything about any group. Not even the 1/2 percent communist party for christ sake. #$%$. I'm out, done owning and done drinking SBUX!! This isn't your own privately owned company moron!!!",0.8887
2424,You guys are so amusing. Long Starbucks!,0.7599
2425,Great move by sbux getting this out of the way on a strong gain. Every company will take a hit. Hopefully when sbux reports this news will be built in.,0.9405
2426,I was waiting to buy sbux but it went up too fast! Hehe good for you guys who got in at 52's or 53's.,0.7767
2427,"""Now, the company also offers coverage for procedures that were previously considered cosmetic, like breast reduction or augmentation surgery, hair transplants, facial feminization and more. Starbucks worked with the World Professional Association for Transgender Health on the new benefits. ""Making my latte without sterile gloves? NO THANK YOU.",0.9399
2428,"As the economy opens and more people are out and traveling, SBUX will take off. If anything, this is undervalued.",0.1217
2429,Break out ahead !,-0.3328
2430,"OH, OH more great newth frum tharbuck, oh, oh NEW FLAVOUR clled URIN-IT",0.5608
2431,Staged. To marvelous effect.,0.649
2432,Pull back coming soon then another move to the upside,0.514
2433,"There is a degree from Univ of Minnesota is Sewage Management. When you need an internship, you apply at $SBUX.",0.3995
2434,$150 stock,0.1899
2435,love my Starbucks!!!!,0.7588
2436,"Starbucks has played politics too long. So now they want to hire 1,000 refugees? Why refugees over us citizens? I am done shelling over $5 for their coffee. I'm sure others are too.",0.8848
2437,We're pretty saturated in locations (150 stores is nothing). They still do tons of business. This will recover soon.,0.4842
2438,"Starbucks is a good coffee house but,.... i have never had such bitter caffeinated coffee or seen drinks loaded with that much sugar.... like drug den!",0.6258
2439,Looks like many traders took their profits and ran. The company is still solid and this may be the one to hold a bit longer.,0.8149
2440,I will be buying in shortly for a two year commitment. They are way ahead of this. There are not prescription drug strung out bums in China and if Trump does his job there won’t be in the USA,0.8728
2441,"It’s time for NBEV. It’s a unique opportunity. Increased revenue YOY, millions... and the stock is < $2. 2020-2021 will be huge. GLTA",0.9191
2442,will this stock every be in the green?,0.1078
2443,No ceo should ever take sides in a political side . You are here to sell coffee and make money for the stock holders. That is why you work for the stockholders!!,0.2676
2444,"Expansion into Asia will recreate the growth of the 90s. This shouldn't be trending down for even 5min. Too many US store? They said the same thing when the stock was in the 20s. This company knows how to reallocate resources and comes out ahead. Up up up, if you're long.",0.931
2445,"Market and SBUX continue to defy gravity. After the last two days bears have little to hold on to. I did not cover. For bulls SBUX fell early, quickly challenged the 15 DMA, bounced and never looked back. Despite two very strong days it is not close to being overbought. The bears really have nothing except the SPX is getting close to recent highs and perhaps there will be a little profit taking. News? What difference does it make. According to the market just about all bad news is baked it. Some kind of Corona spike? If it happens it is at least two weeks away. Will see what happens Monday",0.5015
2446,"here we go again, 3 more months to regain losses, earnings report loss, stock drops, rinse and repeat.",0.4016
2447,"Buy McDonalds, cheaper and faster.",0.1648
2448,"I’m glad I snatched up those $67 calls at close. Please no negative surprises on the conference call, Kevin",0.6763
2449,"The stock went up after the diversity training. I guess they should do more of those, eh? But, no, totally unrelated. Getting ahead of a PR disaster is just smart business. People are reacting (or over-reacting) to Schultz, Maw and technical downgrades. The company is on track to decent earnings (improved in the future by cutting underperforming stores). I sold at 54 and bought back in at 50, so I'm ahead on price and have money in the bank. Every two weeks should be so bad. Maybe people should learn about stop-limit orders and quit making up stupid political/racist fear-mongering so they can make their puts pay off.",-0.8556
2450,"Definitely a buying opportunity. As much as I hate Starbucks, I can't deny how strong of a company and product they have",0.5069
2451,"Here is another fake stock (SBUX), I bet you that there isn't 1 Starbucks coffee shop that is making enough $$$ to pay the rent since Covid 19, and the stock is trading more than 50 X all of last year earnings ,a real huge disconnect from all the jungle bunnies of wall street,Booyah.",-0.2208
2452,Why the relative weakness in SBUX stock price the last few days?,-0.0878
2453,We'll see $90+ next week!!!,0.2477
2454,WTRH is the only listed online food delivery company. Restaurants are ordered to close again in many states. WTRH will do very well in 2020 and beyond in this long-lasting pandemic era. $JACK $MCD $LOCO $PLAY $RUTH $SBUX $TXRH $WEN,0.7225
2455,Shorting from $97 to now has been astonishing!Fiona,0.1563
2456,"At this point, look for a 50% gain 2 quarters from now.",0.5248
2457,sbux going to 100 all stocks do as soon as they get close,0.0581
2458,1.2 million shares last 10 mins,0.3256
2459,"Starbucks brand perceptions took a 50% hit, earnings will be down significantly... Start shorting this garbage stock.",-0.0185
2460,Just joining the sbux trade. Buying March and a April call options. I always know where to make money when I see bear cheerleaders pumping propaganda to sell. I LOVE TAKING MONEY AND HONEY FROM BEARS.,0.9458
2461,"Do they wear mask and gloves to serve you ? If not, watch out virus",0.663
2462,SBUX is approching a 40 pe,0.0593
2463,"Looks like we may be headed down tomorrow, hope 50 holds",0.5817
2464,This company should be red.. $40’s coming soon! More negative media attention will drag it down!,-0.7095
2465,Liberal Starbucks.. you get what you deserve,0.3286
2466,Clearly funds buying and we could be back on track,0.6399
2467,"why it is down with good earning, 4 days in a row",0.2876
2468,buy at 60,0.1266
2469,"I tried to tip a SBUX employee and they said they couldn't take tips, not very egalitarian fora Seattle company.",-0.0094
2470,"I own SBUX, NIO, NEE, AMZN, GOOG, GOCO, ZINGA, PEPand VYM, VYG for dividends if you want to become rich, think of stocks with long term potential like these. There are part of my portfolio forever. Change your world by buying great companies with future to grow.",0.9604
2471,"Sonic and Starbucks would be a great merger. Tell me where I am wrong ?Also, Inspire Brands owns Arbys. I would put Arby's menu in Sonic along w/ Starbucks. You will not be able to get a parking space some hours.",0.8276
2472,Cant believe short interest near seven percent they are getting murdered.,-0.5014
2473,He is prob selling all his stock because he sees what a mess he has made,0.1541
2474,I think Starbucks will do do good. Stores are always busy. Overseas expansion good..,0.7596
2475,"WOW. REALLY a bad choice to use funds for a buyback right now, especially this early in the crisis. If there's excess money for buybacks, right now, used it for the employees, first, to make sure they are taken care of, BEFORE buying back stock. This is exactly what's wrong with som many of these companies.",0.813
2476,"http://www.sparkbystarbucks.comA billion dollar idea I pitched to SB in 2016. They almost pulled the trigger but ultimately nixed the idea. Maybe the public will see the idea differently. Spread the word, or don't. Thank you! - Duff",-0.3166
2477,The stock ran too much too quickly. It drops in September. I think we will see below 80 this month.,0.018
2478,"Until Starbucks improves the quality of their coffee I cannot be a buyer of this brand any longer. I used to be a daily customer until I realized how over roasted, burnt, and ashy their bean roast is. And all drinks are just laden with sugar and cream to hide it. After visiting a local coffee shop I realized how poor the quality of Starbucks coffee is, now I can't drink it anymore. Tastes like watery fireplace ashes to me now.",0.8419
2479,"only SBUX coffee can make American great again, KO PEP and MCD sales decline in worldwide, iPhone sales slow down in worldwide too,only SBUX coffee sales increase in worldwide, SO please support SBUX make American great again.",0.9562
2480,"They will not perform for another quarter and it will go down, but will do better after that and probably for the next 15 years. Wait for $50, then buy",0.7073
2481,Buy point coming in about a week I think,0.2137
2482,Close Below $103.,-0.277
2483,Grande decaf soy latte.....$5.36.I think thats the last one of those for me. Probably 10% goes to their messed up social causes or BLM. No thank you.,0.3124
2484,I love SBUX... I enjoy sitting there using the WIFI and drinking my Pete's coffee and taking dumps in their bathrooms....,0.762
2485,Closing stores for a day of ‘white bashing’ has consequences. Next time remember who your paying customers are!,-0.1977
2486,The slowing US COMP SALES the issue,-0.4955
2487,SBUX - Just remember who your paying customers are,0.1778
2488,DNKN rolls on.....like a donut downhill...,0.448
2489,Well Schultz just basically said he would divest if he runs for president. Time to pullback for a while,0.6936
2490,This is how crooked wall st rolls are you learning anything yet ?,0.3736
2491,#AlexandriaOcasioSmollett,0.0
2492,"A vote for $SBUX is a vote for Howard Schultz, which means a vote for Trump! SHORT!",0.6288
2493,LOL...analyst win again by giving their foolish and dumb opinions that usually turn out to be wrong. This is a dividend company in still its growth phase. Just beginning in China and Indonesia. Then you have India. Think Internationally that is what this stock will be considered. The Coca Cola of Coffee.,0.8445
2494,the numbers don't lie Starbucks is on the rise and I believe $90 is coming soon,0.2762
2495,broken company same range for three years your not making money owning Starbucks,-0.4956
2496,Bought on sale today ... great recovery stock!,0.8247
2497,What a load. No way in hell SBUX returns to pre-Covid levels. Probably half the work force that used to go to the office will return to the office after Covid. They are the ones who bought coffee everyday. When thay stay home it going to hurt everyone including SBUX. CEO on CNBC right now. He's full of )(*&^(&^%GO&^,0.2041
2498,Can anybody think of a better company to own?,0.5687
2499,sbux needs to let people in the stores,0.0784
2500,"Okay, it’s not good enough to turn around but it is a nice try in my opinion. Let’s see how it works for the long haul.",0.9448
2501,Starbucks UK gross profits fall 21% in 2018. China gross profits probably fall worse in fiscal year 2018 in China due to strong competition from Luckin.,0.1608
2502,SBUX been going sideways/down ever since Howard proclaimed his political support for the DARK SIDE!,0.1126
2503,Pain for Pain!!!,-0.8145
2504,SBUX reached a new All Time High at $68.89,0.3954
2505,"why SBUX sales can keeping continue growth???because SBUX customers are young people and high school students, these people's life have long way to go, SO SBUX sales never decline forever, it's sales will continue growth forever, strong buy SBUX, you will make a lot of money and get dividend, it's stock price long-term up,",0.9508
2506,"Just less than 1 month ago 12 million shares of SBUX trade it hands at an average price of over $95.00 a share , same SBUX is trading today under $84.00 which bring us to where did the $132 million went ? most of money came from the hard working people 401 K",0.7362
2507,Ahhhhh anther drop.,-0.2732
2508,Hey Red SBUX up $.19. DNKN down .49. You’re probably at DNKN getting free coffee due to EAGLES victory and the Indians and Mexicans are looking down on you.,0.7537
2509,"I was not paying attention, but how did SBUX go from almost 100 to 85? The China trade issue has been going for a long time now and the stock was not affected. And now it has declined so much? Thank you for your answer!",0.9169
2510,"Most paid bashers on this board are unaware that Starbucks sales in China are up! And they wrongly suggest that Schultz is still with the company. Shultz left months ago, which is why this stock is sky rocketing. Great earnings, good forward guidance, analysts project additional growth and share buy backs continue, which is always a sign of company confidence in its future growth. Starbucks Runs Ahead of its Peers: Surges 33% in 6 Months https://finance.yahoo.com/news/starbucks-runs-ahead-peers-surges-163904097.html",0.9789
2511,SBUX reached an all time high at 71.32,0.3228
2512,I just took a huge position in Facebook. It is the next Apple. Zuckerberg is young and eager to rule the World.,0.865
2513,We pay CEOs millions to sit there and give lame interviews; The present Starbucks management will not be able to turn around the company; China is a difficult market to grow and Starbucks is not growing in Europe because they have a lot of local beautiful cafes ( I am from Greece and the Starbucks are empty because those countries have excellent local coffee shops,0.9196
