,Recent headlines and conversations for LOW,Polarity
1046,I guess we will get 4-5% today. sounds good to me. this stock is way oversold.,0.6679
1047,SHORT DONT BUY U MORONS SHORT U MAKE MORE MONEY,-0.7557
1048,Down goes the roller coaster,0.158
1049,"lowe's is just a cash cow for the executives and large investors, they don't need to grow the business because their only competitor is HD and if you don't like HD you have to go to lowe's.They know all you have to do is put something on saaale really cheap and the customers will come running in, other then that they have no significant strategy, but to cut cost and employees",0.0259
1050,How does $LOW have a 40 PE ratio? $HD is is only in the 20's. Ripe for a pullback. only thing going for LOW is the stock buybacks.,0.432
1051,Local Lowe's still no generators. Truckload that was supposedly coming last Wednesday still not here. No lumber or plywood with no eta on when it will arrive. People flocking to HD stores to get those items. Tell me more about Lowe's great logistics.,0.5828
1052,LOW reached a 52 Week low at 85.00,-0.5277
1053,Look out below today. LOW and TGT way too high. I have both and I am out at open. GLTA,0.5731
1054,"Lowe's is not only setup nicely for the next few quarters, but for the next few years. Lowe's market valuation is half that of HD. Lowe's has MUCH more upside potential than HD. HD is fully valued and needs to execute flawlessly to maintain its multiples that are nearly 2x that of Lowe's.",0.9418
1055,split that stock so young investors will buy and add it to their portfolios. Most of them can't afford it at this price.,0.6885
1056,"Lowe’s, Home Depot, Ace and True Value all hopping busy = $$$$s.",0.7832
1057,WONT TELL U HOW MANY SHARES IM COVERING ANYYMORE EITHER,0.4779
1058,AS IM COVERING U GUYS CAN BUY U CAN PROFIT WITH US,0.6827
1059,interest rate hikes usually mean people buy more homes before rates go higher. Economy is booming 4 th qtr will be huge,0.8473
1060,"I like Lowes. but sometimes they goof up. Like today, you now have to enter on a keypad, how you want you receipt.Print, Email, Both. Jeezum, even if you pay cash, you have to enter print.Its a terrible idea. Hey Lowes, instead of holding up EVERY SINGLE TRANSACTION, just ask MyLowe customers how they want their sales receipt. They can set it online. at their home. Not while there is a line of 20 people trying to check out.",0.9788
1061,LOW is up 4.92% to $90.19,-0.2771
1062,"Lowe's is stupid ,very stupid to hire that guy from JCP. Very stupid. This stock will go to 50 as time passes under this snake charmer.",-0.5195
1063,TRYING MAKEUS PAY HIGHER PRICE TO COVER BASTERED,0.0851
1064,My Lowe's is packed every time I go there. It appears to be more crowded than before CV-19 hit. I can't travel so I have been fixing all the deferred maintenance and upgrading around my home and my daughters home.,0.5436
1065,Lowes Lumber Sale Going Well Today:TIMMMMM BAHHHHHHHH !,0.1804
1066,If Lowes is giving delivery drivers obamabucks who is making the deliveries? Some cheaply paid vatos? ,0.7554
1067,Cramer says buy because it is in his Trust Fund. Seriously the Quarter was #$%$!And I don't see it getting any better..,0.5743
1068,I have also started adding lowes to my Roth IRA. Will eventually catch up to HD. $100+ this year me thinks.,0.8525
1069,looks like this trash is going all the way down to $150,-0.1335
1070,climbing back to 52 week high.,0.6241
1071,Up up up baby,0.6373
1072,"Lucky me I bought in yesterday, our lows in hot springs is always packed. How could I go wrong? Lol",0.2675
1073,"I told LOW longs to take advantage when the stock price dropped into the 140s. I said these levels would be back eventually and I was right. Expecting 200 by the midpoint of this year maybe earlier. The yield curve is steepening so further rallying should take place. As long as interest rates remain low the housing market will continue to boom and that means more home improvement projects will be taking place even after the economy reopens. LOW's business may take a small hit but there will still be high demand for LOW, HD, and SHW's products regardless.",0.4781
1074,LOW is rallying!!! GO LOW GO!!!,-0.8522
1075,"LoL anyone that sells early is a fool. This will only go up, the longer you buy and hold. #Low float privileges",0.6561
1076,LOW goes low,-0.6037
1077,HERE IS ANOTHER FAKE V SHAPE COME ON,-0.2715
1078,"Prediction may be a little ways out, but GDP will be OK tomorrow. There was some pull through dollars spent because of tariffs. Lowes basically guided to the middle of analyst estimates for 2019, but demand is going to drop. Demand is going to drop because of the pull thru and that was biggest on big ticket items like appliances as customers feared increased input prices for steel and general import tariffs. Then the housing recession/dip whatever you want to call it is going to cause people to scrap improving their houses. No need to put lipstick on the real estate deals via paint, appliances, backsplashes, vanities etc. In addition, Sears is going to exit bankruptcy with fewer stores but that is going to provide additional supply and they are going to partner with Amazon in appliances. Lastly Amazon will continue to chip away at home improvement stores with their 2-day and same-day Prime shipping. I'll check back in six months.",0.984
1079,Why is Lowes so overvalued?,-0.2709
1080,Will this ever stop going down????,-0.5128
1081,Just because HD beat means that Lowe's will aswell. Also they released that all Orchard stores will close literally the night before earnings.....interesting.,0.1085
1082,Markets aare 1 big joke here. So over bought here. Nasdaq needs 20 to 30 sell off.,0.3032
1083,biggest miss ever.....tanks a million,0.035
1084,Let’s see how many more shares idiots will keep on buying.Follow the lead of Bill Ackman so you can have negative returns year after year.,-0.4641
1085,"If you're a shareholder, you need to visit the stores to see the truth. Many of the shelves are empty. Go to the Lumber department and check inventory. Go to Outside Garden and check inventory.That quarter was a unicorn. Those days, and those lines are long gone.",0.5773
1086,Holly sssssht !! Ackman invested in Lowe’s?? Sell as fast as you can .. remember valiant remember Herbalife?? He’s the worst performing hedge fund! Do the opposite and you will make money!,-0.7562
1087,"HD or LOW? I own both. I want to add more, which one do you recommend and why?",0.6184
1088,"I hope the HD Earnings release is ""bad"", and LOW follows it down into the FV buy zone.. how many times have we seen that in the past?",0.1296
1089,"I don't understand if someone thinks that HD is better than Lowe's, I wonder why are they posting in here?",0.3782
1090,LOW reached an all time high at 119.50,-0.131
1091,ALLOW IT COME DOWN TOLD WHEN IT WAS IN 119 U DID ALLOW IT COME DOWN MORE NOW,0.7696
1092,SELL SELL SELL!!!,0.4012
1093,bot at 118.2!!!,0.5053
1094,end of day fade. here it comes with out fail.,-0.5092
1095,"Lordy, the triple 1's in LOW price are set up like parallel 4x4 posts on a new low deck project...",0.4574
1096,Guys. Lowe’s company will be 180 plus lowest support will be like I said 163.50 not less than 180 plus soon this year forSure 200 plus wait patience,0.8961
1097,Bought yesterday @110,0.0246
1098,Getting a little nervous with all the Jc penny people. Not exactly a stellar company.,0.4132
1099,Crushed it,-0.4151
1100,I GOT 100K SHARES TO COVER THATS ALOT OF SHARES TO COVER,0.6235
1101,another down day and where is Joe?,0.5089
1102,getting crushed! hopeful recover later today?,0.3565
1103,"Sell Short now, it will close RED",-0.7253
1104,Should have looked further for their CEO.,0.274
1105,Is the ACLU going to sue them now for all the Hispanics their VP slanderd over new DeWalt tool tiny drill grips!!!???,-0.4522
1106,Selling my shares here. This upward move is weak. Low volume in up day. When selling pressure is present.. higher volume. so this moment is ok for me to get out. Good luck longs.,0.8824
1107,What’s the rationale that this is down 7% while HD is down only 3%?,-0.2021
1108,"yowza, can you say all-time high in LOW !!??",0.5403
1109,Again the MM's drive the price down. Nothing to do with real investors. Just means price is manipulated down ahead of good results for manipulated trading. For those looking for a quick 5 to 10 % gain take advantage now. GLT,0.619
1110,Icon buying,0.181
1111,$200 this year,0.0259
1112,"Sold all LOW. Good Profit. Now I'm buying Anab as much as I can. Anab got no debts, $16/share cash, good pipeline, 2 deals with Big pharma and thé best thing is...I am buying it now at $11!!!!",0.9693
1113,"Depot crushed it, Walmart beat, Target will beat, Lowe’s will absolutely crush it. Good day tomorrow, time to load up!",0.6681
1114,This crooked CEO you got will drain your shareholder values like he did at JCP and elsewhere before. Time to reign in on these self-serving CEO's...,0.739
1115,"So who’s the one who bought on Sep. 1st of ‘18 and just broke even? Bahaha. Anyway, short position initiated at 118. Let’s see how it goes.",-0.3672
1116,this ceo has a track record of ruining companies.. his theory is not to increase sales but to close stores and save expenses.. um with no stores comes no revenue.. pathetic,-0.7023
1117,Time for the rebound! Hope you bought some on the dip! GLTA!,0.8943
1118,LET ME DO SOME COVERING A LITTLE,0.2427
1119,Greenworks Pro lawn mower..with a 60 Volt Lithium battery. i bought one a year ago at Lowe's and it's one SWEET lawn mower....oh yea....,0.7581
1120,Ok I was bearish and now I’m bullish Just bought some calls We should see a rise to 102’s,-0.1308
1121,130 comin,0.2028
1122,Lol made just another great call,0.8346
1123,DONT COVER DONT COVER,0.0953
1124,So I don't get it who the Heck is SANP Mining.. Or Canoe Mining...,-0.08
1125,DONT COVER IT WILL COME DOWN PROMISE U,0.0808
1126,Lowe's is closing 20-40 stores today. You'll see it in the news soon.,-0.1188
1127,Is Lowe’s a tech stock? It always moves with NASDAQ...,0.304
1128,"Home Depot and Lowes over the last 5 years have earned 1.67% and 1.60% respectively on their stock value increase. So, from a stock value investment basis there is very little difference in the last 5 years between these companies. I like Lowes stock value to increase on a greater percentage basis than Home Depot but not dramatically. Granted that interests remains with in a quarter basis points over the next 6 months. Historically low interest rates will continue to spur home repairs on the families greatest asset, their home. .",0.9844
1129,ITS AMAZING HOW FAST THIG THING COMES DOWN,0.4381
1130,Both HD and LOW will report great earnings in May. Traffic in both stores will be huge this summer and beyond. I visited both stores Saturday morning and big lines in both. Great sign!!!!,0.9272
1131,Why my posts are deleted?,0.0784
1132,who all bought call option of this expiring tomorrow? lol,0.5628
1133,"As Iv posted before I'm an employee at one of the top performing stores in the northeast in terms of sales, credit, installs, business accounts. There is no way this stock is worth $100 + and instead should be values between 75-85. The only reason this stock is pumped so much is because lowes sells stocks to their employees at a 15% discount to prop up the price, CEO change which has no real track record of success in any company, Bill Ackman money(need I say more) and of course the general state of the markets being close to the ATH. The fundamentals of this company do not warrant the current price.* The company refuses to put people on the floor. We had one of the best years in retail in the past decade and you know what lowes did recently? Cut the hours of full time/part time/ and seasonal employees. They have 1 person in lumber covering hardware and millwork. You need 2 people bare minimum to operate the lumber department which is why contractors are waiting 30min to an hour for a bunk of lumber to be dropped and loaded up. This is also why the stores are dirty and inventory is mismanaged. Nobody but 1 overworked employee covering mutltiple departments!* The only thing Proservice cares about is getting credit and getting business accounts. After that they couldn't be bothered to help you with anything else.* We got rid of our inhouse delivery people which did a hell of a lot of extra things for the customers(brought old refrigerators to peoples garage, hooked people up with free hoses and wires if they needed them and showed older people how to operate the newer machines). Now we have sub contractors of contractors who are basicially ex cons from NY and who couldn't care less about the quality of service that they provide. Literally everyday we get complaints from custumers about how rude they are and that they're not doing business with Lowes anymore.* Buildings are falling apart and roofs leak. Saw in lumber has been out for 2 months. Fork lifts are about to fall apart. * New hirees are part time millennials with no home improvement knowledge that are just thrown into a department with poor improper training*Merchandise that comes off the trailer from the warehouse is just tossed in and usually broken like light bulbs and appliancesIn short good knowledgeable people are leaving and what you have left are resentful and over worked employees. To the investors that just dismis my opinions why don't you take a walk around the company you put your money into? Does it look like a well functioning organization at the ground floor?",0.9546
1134,"I just bought some shares on auto-pilot, @96. I had a limit order in for awhile and forgot all about it. lol, works for me, that might be about the bottom.",0.7726
1135,I added some more shares today on this silly down day!,0.4057
1136,"We're getting closer to the undervalued zone. The blended 5 yr. average P/E is 20.8. This has been consistant over the last 20 yrs., right at 20-21. So FV is ~105. The projections for end of FY earnings at current P/E would be >$123. So I would start easing in some at ~100, $95 would be sweet. I'd like to catch it before the div increase, I estimate high teens% or better. I likes to buy LOW low.",0.8427
1137,WAS UP $6 NO UP ONLY 2.30 LOL YES YES SHORT MORE,0.8646
1138,Don was DSC. Sam was zer0t0l. DSC has aisle 12 ...still. Yahoo cannot change the aisles. Some things are IMPOSSIBLE.,-0.1587
1139,Incredible buying opportunity.,0.7095
1140,IM MAKIG SO MUCH MONEY DAMN LAMBORGANI TODAY,-0.1597
1141,"It's a nice time to load up. We're at the 50 day moving average. Digital is fully on, while people are staying at home with the COVID spikes, colder weather, and Christmas. That means it's that time of year where we're all ""playing house"" while we wait for the vaccine. I expect a nice spike by the end of Q1.",0.9768
1142,Is the news about Lowe’s offering a cash’s dividend it’s first time offering a dividend ?,0.4459
1143,"Where oh where is Joe Don't Know? Guess I was right again Joe Don't Know. Niblock leaving, pushed out by activist investors that woke up Niblock's rubber stamp board.",0.8672
1144,758 k shares kills this,-0.2985
1145,HE IS FLUSHING SOME WEAK HANDS THEN HE TAKE SIT UP IM COVERING WHILE HE DOES WHATEVER,0.59
1146,Lowe's Lawsuit. Something I complained for years and lost thousands.. Cheap #$%$ Lowe's screwing me without giving me an option..https://www.wsoctv.com/news/local/cl#$%$-action-lawsuit-filed-against-lowes-over-401k-investment-funds/741884907,-0.3722
1147,Go baby go,0.2482
1148,People are saying the price of a 2X4X8 has gone up $ 3.00 in the last 2 weeks. The fires in timber country will be bad on the lumber business for a while.,-0.726
1149,Throw back to when people thumbed me down for buying in the 60s.,0.0126
1150,"All the housing data pointed to a continuous downturn in housing market. Weather, gov shut down, delays of projects translate to an EPS and revenue miss by LOW.HD missed! So will LOW!See you at 97 if not 87.",-0.8371
1151,Better go down a lot more than what is showing in pre right now. HD at the TOP! Lowes sucks,0.4951
1152,COVER COVER COVER FAST TAKE YOUR PRFOIT GUYS,-0.2288
1153,THOSE WHO SHORTED AT 123 COVER FAST IM TELLLING U,0.4359
1154,I do not recommend shorting this i will be selling my tech and placing a nice bet on them :) looked over the financials way undervalued,0.8042
1155,Lowes is going to go away like circuit city did. Their new management structure is crippling the company from the inside out. I know of at least 10 employees that left and the rest hate the place. They either need to make a big change or their business model will fail,0.262
1156,I GOT MILLION SHARES I SHORTED,0.4386
1157,COVERING WE WIL MAKE MORE MONEY TRUST ME,0.5103
1158,SHORTS COVER NOW TRUST ME BEFORE END OF DAY THIS BE IN GREEN AND HIGHER,0.6667
1159,"This seems to happen to LOW at every earnings release, no matter how good earnings are. Target blows out and people love it. I've owned this since March of 2009, so long term it is good, but I hate to see it lose.",-0.5428
1160,TWO hurricanes enough said,0.0348
1161,HOME DEPOT SHORTINGLOWE WE ALL SHORTING LOL CEO IS IDITIO,0.6137
1162,"Load up $ma $low, $se and $nio go toMoon",0.4514
1163,So why is LOW flat to down?,-0.6028
1164,I have played this stock prior​ to earnings just as I do with Home Depot and usually clean up.I do believe is a great deal stronger than the manipulators pretend. Good Luck ! ,0.972
1165,HD over 300 a share projected to earn 11.94 a share this year. In 2023 Low will be earnings over 12.70 a share and likely more since they beat most of the time.,0.6043
1166,I see 175 by the end of September actually.,-0.0105
1167,It is time to buy puts,0.1567
1168,BOOM!,0.3164
1169,The $low tick up! Then BOOM#$%$,-0.2047
1170,What I have noticed is some of the longest lines ever at Lowes it's like Christmas time. People are spending more time at home. They are accommodating their homes for spending more time there. Having more time at home I have also been working on projects that I've been needing to do.,0.8373
1171,Do we got to $85 or $75? Thought this stock would be hitting new highs buy now. I bought about $82 so hope it headed to $90,0.7489
1172,In at $149 :) GLTA!,0.7461
1173,Shorts got burned big time,-0.0361
1174,"I have finally realized why people go to Home Depot rather than to Lowes. I wanted to send a fax to current President and CEO Marvin Ellison today, but no one knows what it is. Perhaps they are into money laundering and avoiding indictments as well as legal notice of intention to sue.",-0.5298
1175,You' would think this guy is the Messiah the way this stock went up,0.5249
1176,Lowe's Companies reached an all time high at 128.00,0.3228
1177,U GUYS BOUGHT IN 121 FORGOT IT SORRY GUYS,-0.2855
1178,"New Yahoo Finance format very poor. Go back to Old format. Yahoo now sticks ads, junk articles on Finance page now yahoo ""Conversations"" = rumor mill by anybody. LOWS = $200 by 2018 !!",0.5347
1179,LOWES IS ABOVE THE 50-Day Moving Average 3 100.64200-Day Moving Average 3 109.43THIS IS BULLISH SO WATCH THIS STOCK TO KEEP GOING HIGHER,0.9544
1180,wonder why today it's taking a hit but yesterday got through unscathed,0.1505
1181,what's the chances of another down day tomorrow?,0.0345
1182,"Lowes/Rona has new competiton in Canada.Some prices at Canac are 50% and more cheaper.Electric wire 14/2 26.95, Canac 10.59. Most of the product are like that.",0.4069
1183,Easily 100 plus. When will it split ?,0.6735
1184,How has lowes done on previous positive earnings?,0.6018
1185,low will be purchased by wmt or amzn,-0.3399
1186,WONT WONT WONT WONT,0.0
1187,That’s Ellisons style. He can care less about the Associates in the stores. He’s way over his head as a CEO,0.5931
1188,...Sold 1/2 my shares last time LOW hit 100...Holding the rest for probably 5+ years..I rate LOW as a ..Hold.,0.3454
1189,How many Lowes could Rob Lowe rob if Rob Lowe could Rob Lowes?,-0.9241
1190,Whats driving this stock up did they leak something to the analysts?,0.1892
1191,This is a monster of a stock. I bought LOW at the bottom of the Coronavirus dip and now have a 57 percent gain. It's even higher than it was prior to the Coronavirus. Very bullish on LOW and HD. Good stocks to own during and post Coronavirus.,0.8267
1192,LOW is up 8.48% to 73.55,-0.2771
1193,"Mr. Ellison will have to be fearless about repairing the broken Lowe's culture in the home office. LOW was a once great retailer but they have acted like they lost complete touch with what matters, which is delighting paying customers. Talk to the store associates - they will tell you - Lowe's home office culture of self congratulating failures with force pushing convoluted program after program to the field has cost Lowe's billions in lost market cap. Niblock ran a great balance sheet - but it takes more than that to win in retail and Lowe's is disliked more than it is liked by consumers now. The home office is now filled with bad actors from top to bottom and he is going to have to wipe it out.",0.9073
1194,Major red day coming We will test the 100 levelsNot safe at all,0.048
1195,"Lowe’s has been upgraded and will see $150 after Q2 earnings are published if not sooner. They crushed Q1, especially April. May blew April away and June is doing the same!",-0.2461
1196,Long term ROTH holder. Just bought for 159. Going strong over the holidays!,0.9171
1197,DAMN LOWES DOES THAT TO THEIR BUYERS,-0.4045
1198,"Another outstanding miss by #2,,,",0.5666
1199,GREEN NEXT THEN UP WE GO,0.2097
1200,"Lowe is a cleaaner than HD, with less dust. Trump will slap digital sales tax on Amazon, it is avoiding tax probably. Housing is increasing, home reno on the rise.",0.2724
1201,why is this down almost 5%? What a joke! Why did I ever buy this #$%$?,0.4828
1202,U SEE WHEN IT JUMP UP,0.4275
1203,CEO HAS O CONTROL OVER HIS STOCKS,-0.0402
1204,"Looking for day and swing trade alerts? LionStockAlerts has got you covered. No fluff or BS, just pure technical trade alerts.",-0.0439
1205,Who made mistake of buying before earnings? I did.,0.0589
1206,I HAVE MADE OVER 300K ALREADY SO FAR,0.0785
1207,"Once again, I am a small business owner, I do not work for Lowes or ever have, do not work for the government, except when I was in the Navy in my 20's. And I wish I was 49. All my (LOW) shares are in a Roth IRA. Please do not be out smarted by a impersonator.",0.955
1208,"Sold for a nice profit, from a medium term position, gtla",0.7664
1209,Is DSC still collecting shopping carts in the Lowes parking lot all day? ,0.4274
1210,IM COVERING AT LEAST 50K MORE SHARE HERE I GO,0.3892
1211,COVERING COVERING FAST AS I CAN,0.0148
1212,Watch out! A lackluster dividend announcement will be another catalyst for a selloff.,0.4876
1213,What a nice lawnmower....Greenworks Pro with 60 volt lithium battery. Excellent at picking up grass and leaves. Makes your job easy...oh yea....,0.8309
1214,"Pro Tip. Don't sleep on $TBL Taiga, it's where lowes and hd get supplies.. on another 30% comp year. You're Welcome.",0.2148
1215,"This stock reminds of me IBM at $210. Trying to shrink the float to goose earnings by taking on debt. This game never works out for shareholders in the long run. Just a lipstick on a pig. The jig is up, not best-of-breed, closing stores, pulled out of mexico. You know who isn't closing stores or pulling out of mexico. Home Depot.",0.5236
1216,Spring real estate market looks to be very strong as we lap last March start of covid lock down....,0.6856
1217,why does yahoo show a crazy debt/ equity anyone?,-0.336
1218,"Thank you, we did not receive good service in flooring! Went somewhere else.",0.7539
1219,This stock should be 190 -200 Dont understand why a company reports great earnings off the chart then stock drops 20 points . Tired of hearing the #$%$ guidance story. Should you sell your stock before every earning report?,0.9203
1220,"I got calls on 500 shares, so climb lowes climb",0.7492
1221,Most products last 2 months. Now that Lowe's changed return policy to 30 days. Why pay $130. at Lowe's air conditioner when you can pay $99. from Walmart then throw it away. I see a trend developing in retail and I do not think it will be air conditioner manufacturers making products that last longer.,-0.2554
1222,I own both HD and LOW. Based of financials I am leaning towards liquidating LOW and buying high dividend ETFs with profits. No plans to sell HD. it's been GOOD for me. Comments?,0.5081
1223,I BOUGHT COMING DOWN NOW BUYING GOING UP WATCH,0.4303
1224,OKAY GUYS ENOUGHT LETS DO SOME COVERING IM DOING IT NOW BEFORE 10:30 I HAVE BAD FEELING 1030 SOMETHING GONNA HAPPEN,0.8618
1225,I see $135 within 30 days....,0.0153
1226,"Don't worry, Sears will be out of business soon.",0.5006
1227,Took a small position today in Low. like the upside. Just saying I would pay their people more on Easter but not close while HD remains open. Business is about making money.,0.3817
1228,Why is LOW getting hammered today?,-0.3332
1229,Loosing $1100 I am getting out on dead cat bounce tommarow,-0.5481
1230,Bought LOW at 22 + change in 2012 when I worked there. Not just with employee discount but threw in for 1000 at $23+. Wish I bought more.,0.5162
1231,How much will the dividend be raised for July? I say to at least .60/qtr,0.0478
1232,"If not for lower tax rate, earnings would be flat or down.",-0.4594
1233,I might buy more puts before 3pm today,0.2798
1234,LOL MARKET UP WE BROUGHT LOWES DOWN GUYS GOOD JOB,0.676
1235,NOT TAKING ANY CHANCE TAKING MY PROFIT NOW,0.7141
1236,"^ up scope today, like a lowes 2x4 wall frame being stood up and plumbed!",0.6807
1237,Sold out my HD and purchased lowes. I think it has more upward potential.,0.6018
1238,By Home Depot instead!!!,0.5271
1239,I M DOING 110K SHARE COVER,0.2365
1240,SF you spamming so' of a b'. I'm short but you're just another robinhood trader with $500 portfolio.,0.5036
1241,"Went to Low’s to buy washer, dryer, & refrigerator, but their inventory was spread out over different local stores with no way for the sales associate to write up all & have them delivered at the same time. She said she would have to call each store to verify inventory, but could only do so if that stores dept answered the call. She said often they didn’t. In this day of computerized intensity tied in with delivery, Lowe’s clearly isn’t up to speed. We then went to a independent dealer & he had all units in stock, and set them up for immediate delivery. There is nothing as good as a independent, knowledgble, stocking dealer.",0.9948
1242,Earnings will be great. Not sure how much potential though for uptick after. I am thinking this one isn't so burned up. I predict 5% gains tomorrow.,0.9108
1243,"Lowe's Canada is going nowhere.Will probably write off Rona like the chain of stores in Australia, 581 millions few years ago.Good luck !",0.8101
1244,it does not take Marvin Ellison long before company goes BK. Home Depot must be laughing.,0.7359
1245,"$LOW has been showing support at 90.28 and resistance at 101.59. Buy rating: 7, target: 121.32, according to 9trading. http://www.foxchart.com/share/374054742.png",0.4249
1246,$55 I'll buy some.,0.2361
1247,U CNAT MAKE THISJUMP WATCH I CAN I BUY SHARE BUY BACK BY SHORT COVER,0.2502
1248,you all dont think that the Wall street king pins are not loading up right now?...of course they are ....holiday sales are always huge for LOWE's...,0.7068
1249,Hurricane rebuild show benefit Lowe. The few hundred billions rebuilt efforts will lift the stock. I will buy it while it is cheap.,0.8322
1250,what an over reaction...........short this spike!,0.1292
1251,There is nothing like an excellent earning report to bring out all the degenerate short selling gamblers!,0.7217
1252,My target here is $150 after earnings release. Sell buy puts folks,0.2448
1253,horrific,-0.6597
1254,"Yay, going up on weak volume. The drop is coming! Fxxk you Ackhole for propping up this POS on a poor ER",0.5795
1255,what happened to Joe? Joe Don't Know where are you?,0.8508
1256,Not sure why anyone would believe Lowes pricing would be affected any differently than what happened after Home Depots earnings call. I'm sure Lowes has to pay out extra too keep their employees working too... just saying.,0.8736
1257,SHORT SHORT NOW STILLL CAN SHORT OW STILL CAN SHORT,-0.9038
1258,This stock will be back strong very soon!!,0.6837
1259,"DSC, maybe you should take up using marijuana? It sounds like there really isn't any other solution to your issues. ",0.7394
1260,Soon an inflow of disappointed WMT investors into LOW.,-0.7379
1261,I JUST HAVE FEELING HE IS GOING TO DO THAT,0.3702
1262,Lowes will close more store by year end in Canada.They are good for big box store but does not know anything about small store.,0.5339
1263,when will lowes start sharing the wealth ........ tax cut money and profits are here lets use it ............time to increase dividends and or a stock split ......... do something right for the workers,0.8829
1264,"My question yesterday that received zero replies.""Will Lowes follow HD and so many other stocks recently with great earningsand then dip in share price? Why not is the question?""",0.8529
1265,LOW up 9.20 today!! LOL,0.5143
1266,Lowes will split do not sell,0.2039
1267,NOW IN GREEN NOW ITS GOING UP $1.25,0.7172
1268,#$%$ all garbage,-0.1202
1269,"did someone say overreaction... and 3b in #$%$. cmon folks.. do the math.. 3hours ago, BAC came out with their updated pt of $205. buy, collect a div, and see this grow to new highs.",0.6191
1270,Did they post a loss or a profit? Hard to find any info,0.4088
1271,"Lowe’s has gotten so much of my money through purchases already this year, it’s hard for me to sell this stock... I can’t help but think I’m just one of millions of people who have emptied their bank accounts into the Lowe’s cash registers!",0.4918
1272,"Walk into Lowe's and things are being changed around again. Go to Cust Service on say a matter regarding a specific order , they tell you to go to the department. Appears CS is good for returns only. Noticed new 15 min parking near door for Pick up your placed order. Go past new desk, no one there... I shop around say about 1/2 hour , buy some stuff, same cars in spots. I see they just rotate old vendors for new low cost items. People don't appear happy there. They did away with a special group of people that just dealt with customers that knew the store. See man just focused on putting stuff away on pallets. I guess no night stocking! Is Lowe's interested in looking pretty or selling product and service? I have stock and concerned!",0.9802
1273,TAKE YOUR PROFIT SHORT AGAIN LATER WHEN GOES UP,0.3023
1274,So I wonder. Do today's earnings include the sales from Niblock's 2 recent over priced acquisitions? Do the same store sales reflect the addition of the revenue from the IRIS security monitoring that Lowe's now divides among the stores? If so what are the true sales growth numbers before those changes.,0.928
1275,"And the Lowes - HD gap grows again today. 1.86 today, every day it grows and Lowes falls further behind.",0.2316
1276,Believe spring real estate market will be huge and home reno/investment will continue......the PEG ratio on this is below 1 which is amazing.....if they are continuing to gain share from HD then their stock will soar post ER. Great inflation hedge and way to play real estate boom!,0.9681
1277,no late day fade....let's go. people are getting those stimulus checks and will unload on appliances and home improvements. share buybacks too.,0.1987
1278,"Well another bankrupt JCP executive gets a job at Lowe’s as “Executive Vice President”. Amazing. Hahah, what next? Anyone from Enron looking for a job at Lowe’s?",0.4514
1279,WAIT LET IT COME DOWN,0.0184
1280,I los so much money in this what the heck good ER and this goes down,0.6015
1281,"Taking profits, but she'll be up tomorrow.",0.5273
1282,Lowe’s said Wednesday it repurchased $621 million in stock in the third quarter after not purchasing any in the second quarter. The company expects to buy back $3 billion of its stock in the fourth quarter.,0.4705
1283,THIS STOCK SHOULD BE 130 NOT AT 117,0.734
1284,Always remember in the stock market Brave are rewarded greedy are slaughtered. By when everybody is selling and sell when everybody is buying. Be patient and you will be rewarded . Don't you ever lose money on the stock market patience is everything if you hold a good stock. And Lowe's is a good stock,0.98
1285,Do they have money to announce buy back?,0.491
1286,What are the chances this will touch at least $100 by Friday?,0.0542
1287,"Looking forward, when they report Q4 earnings in Feb 2021, we are expecting $1.20. That is amazing. That is awesome. Don’t let analyst’s expectations bring you down. Focus only on the numbers. This is a buy and hold with solid growth, and relatively happy employees, great buybacks, great dividends and less competitors than a year ago.",0.9828
1288,When this squeeze is over it possibly could look very ugly,-0.5238
1289,Tons of great news! Will be going much higher!,0.7557
1290,"gonna be a slow steady drip back to mid to low 80's, wish it was fast so that I did not have to watch the stock",0.6838
1291,Buying opportunity.,0.5993
1292,HOME DEPOT GREEN. THIS WILL FOLLOW,0.239
1293,Next stop 105,-0.3031
1294,wow BIG miss!,0.6888
1295,You can't go wrong by shorting companies operated by ex-JCP employees. Lowe's isn't the only victim here.,0.4851
1296,Major run tomorrow,0.1517
1297,Why is this down $2 loll makes no sense,-0.5018
1298,Almost 5 months of gains wiped out in 4 days. Gotta love the stock market. Stairways up and elevator crash down. At support here Have to buy here and hope thing with virus don't get a whole lot worse.,0.8858
1299,"Went in a Lowes yesterday, and Ellison has definitely put a lift kit and giant chrome wheels on the stores.POINTLESS! How is that going to make it compete with Home Depot? How about just giving people a raise or hiring actual talent in the stores????",0.9415
1300,Home Depot is about to smoke Lowe’s now that Marvin Ellison is coming aboard. Time to ruin Lowes’s just as he did J.C. Penney. Sorry for your loss. Could have done much better.,-0.2184
1301,Hold both call and long. Consider adding HD. Any thought?,0.5766
1302,Papa Johns is losing money because of their affiliation with the NFL and their disrespect of the country and their fans. Or is it a case of making #$%$ pizza? eye do not know.,0.5081
1303,WOW earnings beat by $3 BILLION..... but still no boost on the dividend. Cheap cheap cheap,0.9415
1304,Bill Ackman top holding correct?,0.4656
1305,lowe has been consistently losing the contractor business for 15 years. they need a marketing plan or discount/loyalty program OR SOME INCENTIVE to gain back the contractor business they've lost. some mgmt/ marketing heads should roll as well. HD caters to both DIY'er and contractors. WHY CAN'T LOWE???,0.9268
