,Recent headlines and conversations for NFLX,Polarity
3017,Shorts better cover now,0.4716
3018,Retails and big holders are getting antsy with the valuation and will start trimming position.,0.3158
3019,break-out soon,0.3738
3020,Is this going higher? Good time to enter for long? Or is there a potential for correction to say 500-550?,0.8012
3021,Any technical traders confirm based off 6/26 chart open and 6/27 close that next level support is $380,0.5832
3022,I think the only way it will go up is if they are integrating online gaming onto the platform.I don't see the catalyst for it to go up more. More catalysts for it to drop actually.,0.5519
3023,$400 by Friday?,0.0812
3024,$1000 target in 3 months//,-0.114
3025,Disney has reached over 10M subscriptions since yesterday. That's why the drop.,-0.2024
3026,What is this about AMZN ER having effect on Netflix stock prices? Do you watch Netflix while ordering online on Amazon? Or do you put Netflix on hold while rush out to front door to pick up amazon delivery? If you do any of these activities multitasking then there is nothing to worry about either one!,0.9635
3027,"Major timber tomorrow, another 9%!",-0.5373
3028,Everyone on tik Tok is cancelling Netflix because of the subscription increase ..,0.1553
3029,"Looking for a $250 entry, when will it happen?",0.0558
3030,This Stock will approach $305 soon,0.1292
3031,Not a horrible drop. Horrible I mean by Apple losing 30%.,-0.8687
3032,LMAO....I bet NFLX bought back much of their stock when everyone else panic and sold.,-0.1698
3033,bought 200 shares at 352...little scare but ended up easy money,0.6884
3034,Can’t even close at 525 when the market up 300 plus points. Very disappointing move today.,0.1208
3035,"I am thinking about buying today , what do you think?",0.5265
3036,$370 coming,0.0537
3037,pre-earnings run is starting,0.0968
3038,"AXXA, check out market cap vs revs. It's a diamond of a stock",0.1172
3039,I told you it was a buy at $500.00Now look it's up over $59.00,0.2227
3040,"RIP to whoever bought at 580, she be droppin soon",0.6494
3041,Doctors in stocks try to organize competition between NFLX and DIS....But in facts both companies are complementary.....Content is not the same and most of subscribers will have both......Still cheaper than a movie theater per month.....For thousands of top series and films.....,0.4063
3042,"This will go over $400 , now a days DISH is not doing good due to that everyone is streaming",0.3903
3043,"Futures are way up, so much for predictions of WW3 and a big drop in the market, Nflx will open up +10 tomorrow and climb from there. Congratulations to all you Longs that bought on Friday!!",0.8415
3044,410 close today.,0.0058
3045,Are we going to rock it out tomorrow afternoon?,0.6876
3046,walmart starting streaming service at $6 to compete with prime and Netflix,0.3184
3047,333 today,0.0783
3048,"Disney starting streaming service by end of this year, Good competition to prime and netflix with even lower subscription prices",0.1569
3049,"https://seekingalpha.com/article/4208174-netflix-shareholders-price?utm_source=partner_investingcom_feedI have read this article a few times. He makes a lot of good points, that seem indisputable. He's saying NFLX is overvalued.",0.6448
3050,BE CAREFUL SHORT. STAY AT HOME STOCKS HEATING UP AGAIN,0.2768
3051,This stock is like Cisco circa March 2000,0.5116
3052,"Here is three very negative news that impacting dow to drop 700+ point and one of most impacted stock for each is Amazon and yet it's stock drop only 2.34% after recovering quickly.1.> Tariffs:- China tariffs going to hurt Amazon most. Trade war will hurt Amazon as well because Amazon has lot of global seller and lot of Amazon brand created by putting their label on top of Chinese manufactured stuff. So This should drop as much as $CAT drop.2.> Internet Regulation:- This again impact most to Amazon. Amazon is E-commerce giant and regulation means it will not able to do lot of thing it currently doing.3.> Internet Privacy:- This is third item:- When people think about Privacy most matter is their blogging/personal post (FB), Their Shopping ($AMZN) , Listening their home conversation ($AMZN/$GOOGL), Ability to let anyone one ($AMZN recent doorbell idea to let package deliver inside),Their TV Watching Pattern ($AMZN, $NFLX, $GOOGL).So each item has major negative impact for $AMZN and yet Amazon is least impact stock even after so much run up.This is call way over optimism. This stock should below 1500, may be even near 1400. Only thing going great is technical but it going to break down at 1525. So I guess after that only it will drop like rock. After all entire rally build on top of technical.",0.9316
3053,Thanks to Sony for acquiring Crunchyroll from WarnerMedia. Goku is going to land on Netflix. Just my opinion.,0.5735
3054,All analyst are increasing price target by $10-$20. What a coordinated effort by analyst to pump.,0.2294
3055,"Geez, what a run!Time for a pullback",0.386
3056,"Real Money contributor and former NYSE trader Stephen ""Sarge"" Guilfoyle noted that Netflix remains a favored short position of his due to longer term problems that persist in the stock.""The fact is that for many firms engaged in the business of streaming television, costs are only going higher, perhaps much higher as the field becomes ever more competitive,"" he explained.",0.66
3057,The shorts are on the run...scared money don't make money...baby going over 400 post earnings. Z,0.0612
3058,Wall st telling u to sell wake up $zm $nflx tech is doa for now,0.2054
3059,Robinhoodlums will pile in tomorrow. Let's go !,-0.0799
3060,"So according to my research again, this is my research (my opinion). Netflix should meet its subscriber goal this quarter. How you may ask? Look for Netflix google trends, traffic analysis, and mobile app ranking overtake. In conclusion, I found that October wasn?t a smacking hot month for unique visitors. November got better. I will pause here and let you know that story changes from here. December was Netflix?s best traffic month ever in history thanks to the holidays and yes i have to give credit to bird box and bundersnatch for making that happen. Few days back a moron analyst price cut netflix from SunTrust who said it will miss. Now yes, October and November wasn?t as hot as i hoped it would be but the dude based his full conclusion from google trends. Thats the biggest mistake he made as there is a lot that google trends misses and did I point out he didn?t check December #$%$! He should be fired in my opinion or at least investigated. His words can have an impact as we live in an age of computers trading and crowd following traders we saw a 4% drop that day but later closed neutral. Google trends does not know how many people are visiting netflix domain without a G search secondly if you log in from an app it wont be able to catch that. So I also checked traffic analysis for the domain as well as app downloads. October and November again showed decent progress but nothing out of the ordinary as 9.4 million subscribers is a huge ask. Which i was worried at first but after December we might actually make it and it still could fall short. I recommend you buy here not only because of sub meet but also we are currently in a technical breakout..",0.9821
3061,Lots of folks still stuck in using old models to think about new companies. TSLA is a good example of why old models don't work. AMZN took years to turn profitable. NFLX is no exception. Can't use what worked for GE on the new economy. Plus GE is half dead in case you are not following the news.,0.3743
3062,It is time to make a move in the markets. If you are looking for a free newsletter that can help you choose the right stocks check out (http://newlife-stockalerts.tech),0.8907
3063,Everybody relax. The market will be back up as big tomorrow as it was down today. Where is all the cash going to go? Right back in. The best thing you can do is nothing if your sitting on cash.,0.8737
3064,Pps bloated beyond belief.HBO Max far superior!!After Queens Gambit nothingreally great added.Mediocrity at best!!!,0.8359
3065,bubble always bursts,-0.128
3066,I lost 95K,-0.3182
3067,Good day to have 70% of your portfolio NFLX,0.5508
3068,"After testing out Disney+, I just laughed and bought a bit more Netflix.",0.5712
3069,When Netflix does nothing but win.,0.7699
3070,Beware of ER and EPS missed,0.1545
3071,Setting up nicely for mid-week rally after big tech earning announcements AH on Wed.,0.8226
3072,All I see is declining earnings estimates - the rest is just Wall Street pump of a cash burning bubble.,0.5352
3073,Here comes the evening buyback.,-0.1913
3074,"Reed Hastings is smiling all day today, I wonder why ?",0.5601
3075,Price target just lifted to US$440 :Ohttps://www.zacks.com/stock/news/322785/why-is-netflix-nflx-stock-up-again,0.1096
3076,Close @365,-0.0726
3077,Chances are Netflix added 12 million new subscribers last quarter which is 2.6 million more than they forecast.,0.4104
3078,https://www.google.com/amp/s/www.cnbc.com/amp/2019/01/11/netflix-shares-are-popping-after-multiple-upgrades-bullish-commentary-from-wall-street.html,0.0
3079,"If you guys are looking to put your money elsewhere, look out for Rapture Tech IPO. They have developed a prosthetic arm that has the crushing power of 1,000,000,000,000 lbs/sq inch. CEO name Gil Hanscomb$mnkd $hmny $arna $vrx",0.8699
3080,22 trading days before earning. If their is no disaster like worldwar or simular this terribly stock will climb meaby 80% of the trading days of them.,-0.6202
3081,Some gains will be taken next week (new tax year) and this should push price lower.,0.1346
3082,Sea of green in a sea of red tech today.,-0.0076
3083,Me before the earnings,0.092
3084,The great picks don’t drop right in your lap every week unless you have the right access. The only place I know that gives winning access is (http://Fairstox.com). Get your access now.,0.7437
3085,"Bought calls. Feels like it is trying to bottom and when it reverses it will be swift. But, I've been wrong before.",-0.0905
3086,10am 385.00 here we come,0.0098
3087,"when I make money , I say that it is mine , If I lose , It is the Grand Daughter money in the future",0.5035
3088,I see $360.00 today no problem. Big boys are coming in today and buying big blocks. Kaboom,-0.0522
3089,This is a 600$ stock! Go!,0.3437
3090,"man I have to tell you, just when you think you're about to make up some ground, this stock starts to sell off. We are definitely in for the long haul. NFLX is officially a day trading stock. They are selling on any kind of jump.",0.9522
3091,Took 1/2 off of the table. I don't understand how they can keep going forever with negative cash flow.,-0.5493
3092,I would say the final hour of trading will be volatile. Where it finishes is anyone’s guess,0.1407
3093,"You heard the CEO say it, bonds are cheaper than equity, however interest rates are rising. Here's the template; issue bonds, issue bonds, issue bonds,... Stock dilution to ""pay down debt."" Who benefits? Investment banks, all at stockholder expense.",0.9036
3094,"NFLX will have to pay dividends to be competitive with Disney. you get value and growth and dividends with Disney. Sell NFLX, buy Disney.",0.7514
3095,This really is too easy. I had 220 last week nd 230 this week and looks like we will exceed that. I am wondering if my call for 250 post ER is too conservative. This just keeps running and may pop well over 10% when the subscriber growth comes in.,0.954
3096,"Someone just bought my remaining share over 563... I'm out, good luck everyone!",0.869
3097,"Why is this still down doesn’t make any sense NFLX beat ER all FANGS are up, whoever that selling or shorting this will regret it badly come after hours.",-0.3708
3098,400+ on the way congratulations !!!,0.6985
3099,just sadness ........,-0.3573
3100,I think investors are panicking without even looking into what Disney+ is. It's not the same service at all. Not even close to be. It's kids content. I'll keep my Netflix subscription.,-0.3977
3101,Netflix is down 5.36% to 518.45,-0.2462
3102,setting up for a nice start tomorrow!,0.7346
3103,"strong up move toda, up 2",0.7246
3104,$360 opening tom morning,-0.0405
3105,"Look here, Cramer stating the obvious: “And, remember, thanks to Disney's acquisition of Twenty-First Century Fox's entertainment assets, the combined company's going to have perhaps the best library of content in the world,"" Cramer said.""In the end, when it comes to streaming platforms, I believe the best content will win, and Disney's got amazing content,"" he continued. ""The stock actually remains cheap; it sells for 15 times earnings. [...] I think it's a buy ahead of what I believe will be a very compelling April analyst meeting.""",0.982
3106,"Plenty of studies on it, too....Mathematically, one has a far better chance to make money in stocks by taking long positions....Shorting stocks has a far less success rate...And, I have seen very little in terms of acumen and ability on stock message boards by people who claim that they are short a stock....",0.9406
3107,in a swift move of a hand we have recovered..... up only 199% now....,0.7534
3108,why is it going up all of a sudden?,0.2084
3109,Netflix is so far ahead of the curve I am doubting that Disney’s position and current business model and capabilities can effectively compete with the new landscape of competitors. Great to have your thoughts.,0.7243
3110,resume the pump,-0.0137
3111,Nflx is no longer a one trick pony streaming service. It's also a movies producer aka pocket Hollywood.,-0.07
3112,"Netflix subscriber by countryUSA:- 54.75M ( 126.22M total house hold) = 1 in 2.5 has netflix (With Sharing this likely 1 in 1.5)UK:- 8M+ ( based on 7.5M in 3Q2017 (27M house hold) = 1 in 3.5 has netflixAustralia:- 2.5M+ ( 1 in 3 based on 7M house holds)My point is NFLX is quickly reaching very high penetration in developed countries. In developing country scope of such service is never significant. For example in India, Netflix still struggling.While it admire how quickly NFLX gone international, valuation can't justified given not as much growth left in market where it popular and affordable.",0.8964
3113,"The content on Netflix is dreadful. With the exception of Narcos and Ozarks, the content is extremely poor. The company is just a vehicle for transferring billions from shareholders' pockets to the bank accounts of Hollywood/NYC producers, celebrities, actors, writers, production assistants, movie/TV crews, and everyone in the entertainment food chain. Colossal waste of money on original content with no financial returns whatsoever.",-0.4253
3114,"This quarter is already off to a very strong start. From Netflix Twitter:""THE OLD GUARD is breaking records! The Charlize Theron blockbuster is already among the top 10 most popular Netflix films ever. The film is currently on track to reach 72M households in its first 4 weeks! ""Now next week The Umbrella Academy Season 2 (one of their top global series)https://deadline.com/2020/07/charlize-theron-netflix-movie-the-old-guard-record-viewership-top-10-netflix-movies-1202988858/amp/",0.9206
3115,OH YEAH! also support at 209The 200 DMA,0.5783
3116,Why didn’t Netflix wait until earnings call to announce the raise in subscription prices? Is it a warning the sub numbers are low?,-0.3879
3117,"My stock forecast does show higher highs for the next 4 days... Let this bull push up... Slight burn out by July 30th and July 31st, but good for long holds. Highs of 390$ early Augest.",0.887
3118,"the hits just keep on coming. Netflix dropped a first teaser for its blockbuster ""The Irishman"" during a commercial for the Oscars. Epic.https://www.youtube.com/watch?v=gfr44G1KJmc",0.4416
3119,"I'm a long term holder of NFLX with an over 300% gain. I continue to believe that streaming is the future. If you are a long term holder, I want to know your thoughts.",0.8527
3120,one day before earning it would be 450 or 460.,0.299
3121,https://www.polygon.com/2018/2/7/16982030/disney-leaving-netflix-marvel-lucasfilm-pixar-streaming-rightsthey are going to lose a lot of content here - may be a reason for the decline - they need accretive acquisitions to make up for ithttp://www.dhxmedia.com/,-0.4527
3122,buy more,0.1332
3123,https://deadline.com/2019/06/when-they-see-us-watched-by-more-than-23-million-netflix-accounts-worldwide-1202638036/,0.0
3124,It looks topped out for at least today.,0.2208
3125,too much volatility .... um out till August....,-0.0736
3126,wow NFLX decides to stabilize after i buy a 600c,0.7244
3127,Crossed 575 resistance to 650 now. Keep adding..,0.1095
3128,"EPS misses , read ER",0.4206
3129,"As a die-hard long, I live for days like this!",0.7227
3130,550 by Friday,0.0812
3131,Where can I go online to get the earnings as soon as they are released?,0.3507
3132,"I have owned netflix for quite a while, and it has been the biggest DUD in my portfolio. Ive sold others that had a great run, and take profits, and kept others that are growing nicely. But this one: neither. Ugh...",0.9261
3133,it’s too much early to confirm the efficacy even though doesn’t stop infection All is politics and manipulation to open up the Economy! The timing is not a co incidence https://www.nejm.org/doi/full/10.1056/NEJMoa2007016?query=featured_home,-0.713
3134,Hey @BD it's a green day for Netflix and I still think it's a bad investment due to competition growth and over inflated PE. My opinion has nothing to do with Netflix having a red or green day. I won't touch the stock either way. https://www.forbes.com/sites/ianmorris/2018/05/04/hulus-incredible-growth-is-bad-news-for-netflix/,0.5799
3135,"strap in, here we go again!!!!!",0.3266
3136,Anyone worried NFLX is not in the sports realm?Disney got espn comcast got sky (premier league is bigger than all NBA NFL and MLB combined),0.5745
3137,Sold for 327. Will wait to buy at 300,0.1618
3138,This is what you get if you buy tulips,0.3524
3139,anyone buying calls here into the close?,0.1541
3140,"GOEV August calls,..........CCIV pick a month, all months exploding! (lucid air commercial on CNBC) GSAT 20 bagger 5 g direct and flying satellites.FWDG FUTURE WORLD,, rumors on the dark web..... .002 suppose to be a lock. pot genuis management",0.3792
3141,good luck tomorrow hope up 10,0.8605
3142,$350 today,0.0783
3143,Earnings today. NFLX ROCKETS BACK ABOVE $351.00,0.6876
3144,I wonder how shorty is feeling right now.,0.3038
3145,This could pop and turn positive today! Anything is possible with Netflix!,0.75
3146,If we hit 3% on ten year you will see more heavy trading down.,-0.4055
3147,"Just added Netflix to my portfolio today, feeling pretty confident long term",0.9019
3148,Michelle Obama's new NFLX series will explain how to short NFLX and profit like Hillary did with uranium one. Lots of money to be made.,0.6559
3149,So if credit markets seize up where does that leave a company with negative cash flow and negative equity if you include off balance sheet obligations,-0.7022
3150,i bought a few 550 call options to day at 3.75 strike is 1-22-2021 any idea what they might be tomorrow if it can hold after hours gains,0.4579
3151,Thanks for pushing entire market up.,0.586
3152,"I wonder if Disney will stream anything rated higher this PG. I love their family/kid focus. I see people adding it, but most will keep their Netflix",0.5879
3153,450 within 1 week.,0.0566
3154,"Nflx $7.96 feb 7th, call 327.50 ++++UP++++",0.0592
3155,HBO Max is better in my opinion.,0.1361
3156,Did nflx sell user data. This question needs to be answered.,-0.2279
3157,"Futures higher, boost to $350",0.5222
3158,"3Q is going to be Epic! Train leaving now, get on board for $500",0.396
3159,"Get ready for profit taking the next two days, down we go, testing $300 level.",0.7066
3160,Annie(Animation) Awards 2020: Netflix Dominates as ‘Klaus’ and ‘I Lost My Body’ Take Top Animation Honorshttps://www.indiewire.com/2020/01/annie-awards-2020-netflix-klaus-i-lost-my-body-top-animation-honors-1202205685/,0.4792
3161,HeyOn what platform can I trade this stock??,0.4572
3162,I think there is more damage to come from the subscriber growth miss.https://www.hollywoodreporter.com/thr-esq/netflix-hit-shareholder-lawsuit-missing-growth-projections-1226089,-0.0607
3163,It will stop at $373 today!!!,-0.478
3164,?????? Good to know that there is some sanity in the market. FB has nothing to do with NFLX period. I am keeping the faith especially that one tiny positive announcement from NFLX will turn things around and if AMZN beats then it will even be better.,0.9478
3165,Before earnings last quarter the stock was 400 on the day of the report. These 330s a gift I accept!,0.8222
3166,STA research raised PT to 571,0.0016
3167,https://www.google.com/amp/s/investorplace.com/2019/02/netflix-stock-is-all-about-the-innovators-dilemma-simg/amp/,0.0
3168,NFLX real advantage in the streaming wars is a ultra wide genre spectrum. No other platform will have content from and for so many countries,0.5942
3169,"when news came that some resolution of trade with eu was imminent the smart traders sold INTO the rally. this market is NOT a buy it is strong sell...it is not how much growth USA has, it is why are not salaries going up? if corporate profits were sustainable AND debt was under control, salaries would rise...this is why stocks are falling and will continue weakening....what will precipitate a total market collapse will be a fed raising rates into the instability you see in the market today...growth is weak and problematic elsewhere in other countries...you buy at your own risk, it takes years to recover stock losses.",-0.3946
3170,of course drop of 1-2 usd in the morning tomorrow then up to 380 the same on monday.,-0.232
3171,"When it hits $225, I'm selling. OK, $275.Oh, I mean, $300. When it hits $350, I'm definitely getting out. OK, $400 is my top. ...When will the split happen?",0.8887
3172,"All NFLX movies showing in China through partnership with IQ, IQiyi is the next giant",0.7155
3173,"DIP BUYERS WILL LOAD any weakness on NFLX. Pick up the June 19th CALLS cheaper on any weakness tomorrow/this week. Also, CMG Knocked it out the park. Upgraded to $1,000AND FORGET juggernaut AMZN reports earnings next week. BUY THE AMZN MAY 15 CALLS on discount before earnings.",0.7664
3174,can anyone suggest what would the good price to purchase 100 shares?,0.7537
3175,Let’s go!!!,-0.2216
3176,"just sold 1/3 at 331, hope I don't regret",0.6833
3177,"After market guys (day traders) who don't post all day long are in to try and drive the price down with panic nonsense. Then, they'll swoop in premarket and sell within the hour. It happens every day, watch the early morning volume, and quick sell within 30 mins of the opening bell.",0.008
3178,"gunna grab a SIDETRADE on NFLX short here at 367, cover at 363 for quick $4 intraday gain. We still have base short swing positons, but we also LIFO trade (last-in-first-out), its very effective to use while in a base swing, we also get side trades.....its more difficult then it sounds...for now watch and learn.",0.8991
3179,Always remember if your short what your looking at 126 P/E 10 billion in debt after a keep the lights on junk bond sale of 2 billion. Its pump and dump manipulation there is no value here long term only endless hype with a massive debt reality topped with aging technology that every tech entertainment co is now throwing their hat in mix.,-0.86
3180,Get me to $380 and I’m done. I can’t handle his anymore.,0.2792
3181,"The whole tech sector has been squashed, not just NFLX. There is nothing wrong with the company, they beat last earnings and are continuing to grow. If you own, hold. If you don't own, BUY. Netflix is always exaggerated in it's movement, when the market goes back to an uptrend this will soar very quickly and erase the losses. The ONLY losers are those who sold their shares for a loss out of fear. Fear, makes some men poor, and others rich.",-0.2421
3182,Even if it had 300million subscribers that would only be just 3 billion revenue a month... price just doesn’t make sense,0.3803
3183,time to take profit on long trades and prepare to go short.,0.4358
3184,"Huge buying volume, huge call option volume. Shorts beware. As Jimmy Z says, you have been warned!",0.7999
3185,"Nflx is a day trade stock; It is not for long term investment. It pays no dividend, high P/e, a lot of competitors and debts. If you want to short, then wait after ER. If you are long, then sell and take profit before ER. A lot of unemployed people, they need to cut back expenses, not adding more expenses on unnecessary as Nflx, DIS. Plenty of free movies on YouTube. Why pay?",0.9596
3186,April Calls on NFLX are through the roof.,0.0488
3187,$NFLX partnership should sky rocket this to multi pennies,0.8869
3188,CIDM stock is a better streaming play right now!! they just aquired the indian version of NETFLIX and have annouced a new streaming app,0.7893
3189,what is going on? It wend down after bought it and went up after i sold it.,-0.0684
3190,Tomorrow 350$ Friday 400$,0.0695
3191,"The stock has been ahead of the analysts with a -8% return this year. Citi and others who late last week said free cash flow will not be black in 2021, and a bad Disney comparison. I guess up after a beat Tuesday, since there have been 3 misses, -5, -11, -19% last three quarters",-0.0307
3192,Nflx has very little to do with the overall economy,-0.0328
3193,NFLX never dies because money makers favorite just like Bitcoin. $340 this week.,0.8109
3194,LOL Goldman seriously reiterating $400?! NFLX has $8 billion debt and only $500 million annual income with slowing growth in a saturated market. So obvious Goldman is pumping and dumping before next earnings.,0.4689
3195,Market hoping NFLX earnings will reverse the market correction. God help us all.,0.5799
3196,I’m out,0.1486
3197,Maybe not today maybe not tomorrow but this market all FOMO now and about to implode,-0.3671
3198,"I hope to see $350 ---- Earnings, Earnings, Earnings :)",0.7805
3199,Was a good day. Now i go watch another episode of El Chapo on Netflix. That guy made almost as much money as the people that go long on Netflix :)! Cheers and hope tomorrow will be as good as today.,0.9558
3200,The ticker looks like it’s gonna explode lol,0.7874
3201,Don't you love watching the stock and this board. Better than Netflix content. Right?,0.1882
3202,Like Amazon but movies. Cinema dead.,-0.6881
3203,"Netflix, Inc. (NASDAQ:NFLX) price target set to $450.00 by Goldman Sachs Group -- 01/21/2019",0.3699
3204,Tune out the noise and get paid.,0.0654
3205,"If there is trade deal on Monday, we will see 320.",0.1935
3206,"I'm just sayin'......Needham Sees Roku as Better Buy Following Netflix Earnings; Maintains Underperform Rating to Netflix, Cites Overvaluation in Comparison to Streaming Peers.",0.4074
3207,and here we go!,0.0816
3208,"My wife and Grand daughter still watched 2 movies last night , they did not know the stock went down ====problem is Trump fighting with everyone , like Warren Buffet says , where will it be in 15-20 years",0.8045
3209,what the h. is going in Netflix... why does it keep going down and down.... ?,-0.0451
3210,Thumbs up for ER Puts / Thumbs down for ER Calls,0.7499
3211,"Netflix Inc.'s (NFLX) 12-month price target was increased to $245 from $230 at MKM Partners on Thursday. MKM analyst Rob Sanderson raised his subscriber outlook for Netflix for 2018, saying the company has yet to reach its peak year for total subscriber additions. ""We continue to view Netflix as the large cap with the most potential for market cap appreciation over the next three to four years,"" Sanderson wrote in a note to investors. Sanderson said he expects Netflix to add 20.6 million subscribers next year, which is roughly in line with FactSet consensus of 20.9 million, but would be down from 2017 consensus of 22.0 million subscriber additions. This year was expected to be the streaming service's peak for subscriber additions, but Sanderson said it's more likely to come in 2019 or 2020. ""We think Netflix has a large first mover advantage, expecting to spend $7 billion to $8 billion next year, far more than any other programmer,"" Sanderson wrote.",0.7932
3212,Nearly 300 PE...Seems legit.,-0.003
3213,"O bama’s show should be at 3 am to cure insomniacs. What’s next, Liz Warren playing Chuckie, the psycho doll?",0.8585
3214,A heavy Correction is imminent!US Stocks are INSANELY OVERVALUED and OVERBOUGHT!The Valuations are impossible to justify! The US Stock indexes must fall by 65-70% to come down reasonable valuations.$TSLA $NFLX,-0.9095
3215,The reason Netflix has been stalling out the last few days might be because of the massive inflows into $IQ . Just buy both and you will be very rich!,0.6782
3216,"revenue growth yoy 30%FPE (maybe hype) 91so it looks to be worth about a third of what it is trading at, based on that420/3 = $140now look at a long term chart, 5 years, 130 sticks out as supportgive it time, it may go there",0.8821
3217,Stocks typically drop on day 2 after a selloff like today. Let's see if NFLX holds true to that. My guess is it will be off 2-3% tomorrow then resume the run to $450.,0.6983
3218,No competition whatsoever will hit 500B soon as it becomes the world go to For contents I see 1000K/shr 2020.,-0.4027
3219,Just remember all these new streaming service are in it not by choice but are force into it due to Netflix success. Profitability for any of these new players is at least 5 years away,0.83
3220,"Ohhhh Cramer said he likes $DIS better, no wonder $NFLX rebounded",0.7379
3221,short of the day... starbucks,-0.5019
3222,I smell 270..,-0.1077
3223,I shorted 100 shares at 466. Did I make mistake?....,0.4003
3224,time to bail,-0.2357
3225,amazon is next!,0.2406
3226,"NFLX subs are up, earnings are up, missing projections was taken way out of context by bias articles. NFLX 4 EVER.",0.3192
3227,think of it as a slingshot,0.0649
3228,$NFLX is going below $300 in a week or two.,-0.2189
3229,The Queen’s Gambit is an unexpected big hit. It should help Netflix beat subscriber expectations and show pricing power.,0.7718
3230,"Well I’m having fun today, is everyone having fun? Sure hope so",0.9257
3231,"Great article. The important point in it is how NFLX has to keep borrowing at high costs to compete with AMZN, APPL, and DIS, with the first two sitting on piles of cash and can outspend NFLX. NFLX cannot and will not outspend AMZN without borrowing. That is an unsustainable model. https://www.forbes.com/sites/stephenmcbride1/2018/12/10/netflixs-worst-nightmare-is-coming-true/#d9788f86efce",0.8463
3232,All time high before end of the month,0.2428
3233,See you guys at $406 in hour,0.0828
3234,420 todayalso Netflix will hit $420,-0.1062
3235,"wow.... Goldman just manipulated this stock . They cut the price so that they can buy back with cheap prices..But everybody knows NFLX earning will be huge tomorrow. So, stock will go up again....",0.7483
3236,"who is buying nflx at this price? shorts are, thanks",0.7119
3237,It looks like It is finally starting..,0.4351
3238,Goldman bullish on nflx? why?,0.3335
3239,Wow,0.5859
3240,Any idea why an $8.00 drop today. No real news to speak of.,-0.3886
3241,"Wow, all the earnings gains are gone.",0.7491
3242,https://www.investopedia.com/news/why-credit-suisse-sees-nflx-climbing-470/?partner=YahooSA&yptr=yahoo,0.0
3243,I’m buying more tomorrow I believe in the company.,0.3213
3244,bought back in todaygood move or bad?,-0.4872
3245,9% drop over past few days without any news and without major volume... analysts and fans/foes all over the place with price targets. Q3 results one week away. Looks like a trade setup to me... sell the rumor and buy the news! NFLX should fall a bit more and then recover back to 380+ post earnings... nice opportunity!!,0.9143
3246,Where have all the haters gone? And the short side Disney pumping media analysts?,-0.7453
3247,It’s waiting to run again,0.2314
3248,If you think TSLA earnings is impressive wait till you see AMZN today. I would load up before market closes today. Thank me later.,0.9086
3249,"If you call your broker at lunch and he tells you to buy this dip, ask him how many shares of nflx he's bought today.",0.7648
3250,"Should I cut my losses and sell all? Bought at 521 a share,",-0.241
3251,3 TO 1 SPLIT,0.1429
3252,275 soon enough Keep shorting,0.1534
3253,"Just by thumbs up or thumbs down, what do you think will happen with earnings?Whatever gets more votes, will not happen....",0.1388
3254,bankers take profit today in Nflx and use $ to pump up Amzn,0.6276
3255,Look out below....,0.082
3256,Sio glad I finally jumped aboard this baby last month. What a machine.,0.7226
3257,great buying opportunity before earnings release.,0.8701
3258,You know who's not buying; management!,0.5589
3259,AMZN will sell off on earnings cause its been on monster run. It ran up and sold last time even though report was awesome.,0.8962
3260,"because of the compeition, folks will cancel Netflix, if even for a few months, to try the otherswhich represents a push against their revenue, a drop perhaps, less growth, probably a drop",-0.579
3261,I've been saying it for months. This had to happen. 800 is next stop.,-0.271
3262,"Raising prices now? Not committed to growth anymore? Investors are looking at this the wrong way lmao. In my view, this actually hints at sub growth not meeting expectations come earnings. Why else would you stunt your growth right now just as more competitors are ramping up their offerings?",0.9343
3263,NFLX priced to perfection. Any miss or even not beating expectations is going to be a huge drop.,0.1162
3264,im realy going to feel sorry for the longs who bought above $150 next week,0.4471
3265,BMO upgrade to 580$,0.4028
3266,How do you justify a 130 PE ratio? When will those earnings meterialize? I'm a big fan of Netflix but this is to much! Other streaming platforms are coming and netflix will have to spend much more to be competitve! I'm sorry but this is a $120 stock (being optimistic),0.7731
3267,"One out of every ten people in the world survives on less than $2 per day. If you make over $35,000 per year, you are in the top 1% of earners in the world. And some people think ""the entire world population"" is going to have a Netflix subscription?",0.8105
3268,I just watched Netflix again last night. Didn’t even bother looking up Disney app yet.,-0.097
3269,"Netflix price target raised to $700 from $650 at Morgan Stanley, OverweightMorgan Stanley analyst Benjamin Swinburne raised the firm's price target on Netflix to $700 from $650 and keeps an Overweight rating on the shares, stating that the ""moment has arrived"" that he has long believed would come when the company moves to ""sustained and substantial"" annual free cash flow. His new forecast for Netflix to begin share repurchases later this year, and assumption for $2B in share repurchases during the second half of 2021, compares to his prior estimate of buybacks coming in 2023, Swinburne noted.",0.9622
3270,"Analyst Guggenheim raised price from $285 to $360, maintains buy rating.",0.3528
3271,MS netflix to hit 700. Covid is skyrocketing back. People will go back to staying home all day.PT upgraded to 700.,0.4011
3272,"I just wish, I'd bought more calls towards close.",0.3914
3273,"Once AO was the 'first mover and leader' of the internet... once Yahoo was the 'first mover and leader' of email and search.Netflix does not have a huge selection of content, many Netflix investors are going to learn very quickly when Disney, Marvel, Star Wars, Pixar, Fox, etc. is pulled from Netflix just how sparse their content is. It will be worse when Warner/HBO follows suit.",0.9271
3274,"Up day on big volume, don’t sell",0.5231
