,Recent headlines and conversations for CI,Polarity
467,"lol, this is going back above $176 quickly...is cramer really pumping it? If so, then it is good for a few dollars up to like $176",0.8982
468,Ouch,-0.5371
469,"I like CI at this price, I don't know what happens to the health care providers sale off. UNH will report the earnings on Wednesday morning which I expect UNH will beat the estimate as usual. I think it is the cheapest among DOW at this price.",0.9328
470,about,0.052
471,Only Cigna can go from a 5 day high to a 5 day low in less than 24 hours .,0.2503
472,I would now surmise that we will see no more meaningful moves here until ER,0.4857
473,"IRS Form 8937 related to the ""Cigna - Express Scripts Transaction"" is available on the Cigna website under, Investor Relations, Financial Releases and Filings. Link: https://www.cigna.com/about-us/investors/",0.7196
474,What about the opportunity cost? I took some loss and invested in banking and airline stocks a couple weeks ago.,0.2882
475,good fn earnings report don't matter anymore,0.5789
476,I saw this I 164 and knew just knew I even had the 11/3 167.5 call in September ended up selling for good profit but I checked that td the same contract is going for almost 500% more than what I bought it at #sadtraderhours,0.149
477,"$167.5 is resistance....single, if we get through that then we are in the clear.",0.3688
478,What’s going on with this? I can’t even find any news.. that maybe contributing to this,0.2808
479,who the heck is selling today?,0.0552
480,At least there short squeeze on BA ZM MNRA today :),0.2706
481,"Holy Jumping, you know who!Blew right past 206 !",0.2971
482,"wait for the upside analyst upgrades, could be in the $260 share price target easily",0.7537
483,"start the bull run at July, always",0.2629
484,Cigna is bad investment from really simple reason: its customers - me included- hate it (read US Today “Most Hated Companies In US 2019”) As well it’s employees who has also their management and especially their CEO who paid millions while they struggle for each penny.,-0.6747
485,what happened?!!!!!!,0.3179
486,Yay! Nice Xmas present trade. $4-$5 share on 1500 shares. Ho Ho Ho.,0.9671
487,Cigna is down 7.43% to 181.00,-0.2462
488,cigna loses 1.8b fee bid from anthem... Delaware Supreme Court... probably not a surprise. may move the stock,0.7329
489,If we see Humana turn out a strong beat on its ER Nov 6 I’d think it’ll lift the entire sector 5-8% . It’s way undervalued and oversold . Upgrades galore .,0.8768
490,"Look at the bright side. The stock is now down 23% in 40 days, who could ask for more from a CEO.",0.5516
491,"@cigna is an evil company, hated by both customers and employees and it’s all documented: check US Today recent “Most hated companies in America@ survey and Glassdoor employees opinions on the CEO (who takes millions of dollars while they get pennies) and the company. Doesn’t sound like a good investment.",-0.3145
492,"last ER bought this and lost bunch of money, so be careful",0.4489
493,Esrx earns 5 billion a year which is twice what Cigna earns. Doesn’t this make sense for Cigna shareholders to vote yes? Or am I wrong?,0.2149
494,FWIW-Earnings blowout coming here to Cigna holders in a week . Locked and loaded .,0.1336
495,"MDLIVE—-brilliant move: congrats guys & girls. Could be in response to several things: multiple clients/patients asking about it, maybe a State added the tele-MD as a requirement to conduct business in the particular state, or in response to a very large RFP.",0.6296
496,Crazy action today. Day traders making a killing,-0.7667
497,"Looking for 175-185 on Oct 31. PE is around 10 right now. The EARNINGS IS AROUND $17 for 2019. I believe that US economy will slow down next year because of the slow down global economy. We will have to find the bunker because the index nears new high. You miss estimate, they drag you out and shoot, no question ask. The health care providers are still around 20% of the high, that i have to scratch my head.",-0.8304
498,this has got to be the worst stock to hold from an investor's perspective. No leadership at all......,-0.5544
499,Worst experience so far.. I don’t know why this can’t get up with all the solid credentials under the belt,-0.4131
500,does anyone know why ci is dropping today,0.165
501,Every time I add to my position goes down not adding anymore so it’s safe to buy,0.6706
502,Very confident in this one. $185ish by end of year. Trump impeachment ain’t happening FOOLS and he will be re-elected bigly,0.0142
503,"Big money is now pushing the stock. Level 2 is zooming, we are at twice the volume of yesterday at this time and moving up...very good sign.",0.8883
504,I sold mine @185.30 and good luck to all. Bought @176.CI is good!!!,0.8874
505,"Funny thing the reason why all the health care providers tank today because ABMD's disappoint earnings which has nothing to do with the big health care providers like UNH, ANTM and CI at all. I just don't believe all the news come out.",0.899
506,"earnings growth is 25%, PE is only 10. I think when the market gets better today, CI will move up higher.",0.8754
507,$CI RBC boosts target to $304www.stocktargetadvisor.com/blog/rbc-capital-raises-the-target-on-cigna-corporationcinye-to-304-from-265/,0.248
508,"Sorry but Cordani is a self driven fool that the BOD has followed and negated its responsibilities to the shareholders letting this fool dictate the direction of the company. He personally drove away the ANTM deal because he would lose power. He's all in here as he will be the CEO of the combined entity. Express loses 30% of its business in 2020 from ANTM yet this fool is paying a 36% premium for it and assumes 15B in debt! He claims immediate accretion at a time when PBM's are being assailed for their pricing practices and are being targeted by state attorney generals. Faber hit it on the head, telling Cordani the market doesn't agree with his thesis that the combined company will be accretive as the stock at the time was down 6% which is now 10%. Cordani response, I don't care about the stock price I know it will be accretive. In other words screw the shareholders I'm the king. His assertion that in 18 - 24 months the company will have eliminated most of the debt is at best absurd. We'll see what Moody has to say when the process their review of the company debt and their subsequent rating which will impact borrowing costs. When CVS bought AET their stock dropped a whopping 4.5% and their current debt load is huge compared to CI's even after the purchase which goes to show what the market really thinks about this deal. I own 1k shares of this company and I'm not a happy camper with Cordani and I don't like seeing my investment falling 23% from the high while the idiot at the top is seeing his salary and options increasing for steering the company recklessly.",0.8442
509,"Just buy the health care stocks that has low PE like CNC which has EPG under 1.00, The candidate for next week will be CI, which has EPG under 1.00. ESPX will help CI fly to 200. The revenue growth is over 100 %, and the earnings growth will decimate the PE down under 10. So I think it is the best stock that I like to bet for next week. I will get the tail wind from the Fed Jay Powell, who may have to do something in order to stop the slow down economy in the second half of this year.",0.9411
510,206 is the number we have to overcome. It is the price at the time of the ESRX acquisition. Any price below 206 doesn’t show the tremendous value Express brought to Cigna,0.5627
511,@Chewdog - Really cleaned up today . $$$$$$$$$$$$$$$$$$,0.259
512,So which hedge fund is trying to manipulate the stock today. Any guesses,-0.0621
513,CI is down 7.44% to 143.55,-0.2462
514,Why won't my messages show?,0.0204
515,"Big Gaining NASDAQ, NYSE, & OTCMarket Alerts ---> www.PennyStock101.org",0.5031
516,CI is down 7.43% to 181.00,-0.2462
517,"I keep buying morE CI and ANTM because I bet that ANTM will beat estimate earnings. Don't forget ANTM number TWO after UNH, and CI is number Three in rank, but CI just bought ESPX last Dec, ESPX help CI beat the earnings last quarter, and CEO came out to explain his plan, one of them CI put health care in China. It will be great for this quarter for sure because CEO both UNH and CI came out to push the stock since July.",0.9898
518,Looks like $150's soon...,0.3612
519,Cigna is up 6.13% to 195.16,0.1818
520,Zacks—-please go away!,-0.0969
521,$160's soon,0.0011
522,CI is down 4.97% to 206.39,-0.2462
523,Dang what a run !,0.3051
524,Selling off prior to earnings ??? Ummmmmm,0.1845
525,deep cleaning made for stop lost's,-0.3893
526,"Cigna is a great company, if you are a long - do not sell at least until end of 2022",0.8329
527,"QUESTION: WHY DOES CVS CONTINUE TO UNDER-PERFORM ITS PEERS WHENEVER THERE IS APPLICABLE, POSITIVE NEWS: Yesterday, three entities were the prime beneficiaries of the rebate juxtaposition- UNH, CI and CVS CVS WAS WORSTToday, look for UNH and CI to move up some more based on RSI BUT CVS TO BEGIN IT'S FOUR YEAR PATTERN OF ""GIVING ALL IT GAINED BACK, MORE AND FASTER.""",0.9429
528,"More and more unpredictable, so many more better places to invest...",0.2398
529,Carl Icahn is no saint but he is a sharp businessman and he has this deal pegged right. Don’t think that Cigna can deliver additional volume to pharmaceutical companies and this will not give better prices to the hospitals and other facilities. Cigna will loose customers as their competitors would switch as soon as they can ( Carl is right). I ran a Group Purchasing organization so I understand where he is coming from. The new kid on the block in this business ( Amazon) must be happy at the foolishness of Cigna.,0.9005
530,"So as a small investor in CI, am I hoping for the merger to go through or does it benefit CI if it falls through. I sold ESRX @ $82",0.7034
531,I just keep buying CI when UNH and ANTM are in green.,0.4983
532,There are 1000’s of stocks to choose from and this 1 free service helps you narrow it down and select the best one. Just go to https://getstockdorks.blogspot.com/ .,0.92
533,why the landslide on all healthcare stocks this morning?,0.4339
534,It's great seeing this stock rebound.,0.7868
535,"This morning I thought CI went down to the toilet, but miracle is out there, the investors have faith in CI that is why CI came back so strong. ESPX can help a lot for the earnings in the next two weeks.",0.9682
536,Cigna to buy Express Scripts for $67B,0.1586
537,Bottom to this free fall...,0.3695
538,Dang what a snap back today !,0.1591
539,Lawsuit is dead with the Obama appointed judge taking over while the Bush appointed judge takes the Aetna case. Had he decided the reverse the lawsuit would have prevailed. ANTH might as well pack up and go home fight another day.,0.4239
540,We could easily see $205-$210 tomorrow with a blowout ER .,0.7839
541,This stock is still undervalued however it’s definitely taking a pause .,0.6273
542,Toxic...,0.0
543,LOUSY EARNINGS - SELL!,-0.4936
544,yes we didcan't understand this sucker,-0.3654
545,now,0.0264
546,let's go $$200 plusss,-0.0011
547,Now this is an interesting development. Should I buy in again and take the ride once more?,0.7819
548,Cigna is down 6.17% to 190.88,-0.2462
549,CI is down 16.40% to 150.37,-0.2462
550,"Great strategy continuing to expand into Medicare Advantage markets. Big money there if you price the plans correctly. Cigna will draw from the huge Express Scripts talent pool for excellent client service and i dare say, excluding a black swan event we could be looking at $260 next quarter.",0.9592
551,"If there’s anyway Cigna expect to add more gains, it is precisely making an acquisition like this. Vertical integration is the only way to grow now. Especially in healthcare/insurance sector.",0.8404
552,Good time to buy CI when it is red. I can't believe that CI will be in red before earnings report. The mutual funds all gang up in health care sector for the last two weeks.,0.8776
553,CI is up 4.91% to 203.88,0.1818
554,down on a value rotation rally day... its tough to be a value investor.,0.342
555,I bought a few shares at $173 and have set a limit sell at $220. Should I keep the limit sell price or wait for it to keep going up?,0.7592
556,"Yesterday after the earnings perfect chance to buy first time, I am very happy to be on this board!",0.9025
557,since June this underperformed UNH and HUM by 20%... wondering why...,-0.14
558,I am all in today @176 - love to see CI does like AMZN and TSLA today,0.7989
559,Way too cheap bought a lot,0.3706
560,Great buying opportunity. Joe Biden will be the Dem nominee and he is NOT doing Medicare 4 All.,0.9275
561,People are crazy or robots trading but the DOJ is not the US supreme court. Until 9 justices take on ACA then can rule constitutional or not. DOJ is part of executive branch not judicial,-0.6042
562,"September around the corner, Then October business will pickup for insurance, open enrollment ect.",-0.1604
563,whats the breakup fee?,0.2898
564,"Digitizing vaccine records idea—-? Hmmm will be medically useful, but as we know Big Data can be seen by the public as overreaching private info. I guess premarket doesn’t like it",0.9195
565,The time to make a move is now because the markets are headed for a crash. Do you know what stocks you should be in when the bottom falls out? If not check out this free newsletter that sends one stock a week. Just go to https://mystockdorks.blogspot.com/ to join for free! .,0.9409
566,Need to buy WBA for cheap and vertically integrate to compete...get ready to be an option for single payer when biden wins,0.8743
567,it's not finished to rise!,0.0858
568,"lets all remember when it was 186 cramer said it was a buy,,,it drops to 170 instantly,,,,so now its up and he hypes it now again,,, caution when he talks,,",0.4073
569,"I heard CNBC's bozos talking about relocate to the value stocks, I don't know CI that has PE 10 is the value stock or not. The other one, ABBV low PE and dividends over 6%.",0.8614
570,Nice move by CIGNA—-putting the pedal to the metal in areas where there are significant opportunities for growth in the MA field. There’s big money (honest money ) to be made in government plans.,0.7989
571,I think this is is probably stuck in trading range of 204 to 220 (with 210 median) next catalyst either way is the senate GA run offs. A rep win in either being positive and a Democratic win in both resulting in senate majority would be negative.,0.8567
572,When is this gonna take off?,0.0911
573,Go go GO baby !!!,0.2803
574,$CI Target Raised by Deutsche Bank Buy USD 253 » USD 280 Target Raised by Piper Sandler Overweight USD 234 » USD 236,-0.8338
575,Cigna is an evil company. The employees hates it. The customers hates it. Do the math.,-0.8391
576,CI is up 7.17% to 161.49,0.1818
577,CI is up 7.99% to 158.96,0.1818
578,A good day here . It didn’t escape my notice that we saw a new 52 week high . This May inch up as we approach ER . I think it flies with ER this time .,0.9587
579,"From the PR News: for MA plan participants CIGNA will provide free transportation to vaccination sites up to 60 miles each way for 4 visits. Includes an extra adult for those who need help. Another example of CIGNA’s commitment to lower costs and improve clinical outcomes for their MA population. Should be very helpful in your State, eh Jeff?",0.9627
580,This will get hammered once they lose the DOJ investigation for Medicare Advantage fraud.,-0.7247
581,"I loaded at $116.70, and will add more if it drops further.",0.0306
582,"someone sold 1.5 million dollars in put options to buy call options? That is some big monies and that means they are willing to take 500,000 shares of stock if the price goes down. This is obviously a large fund/hedge because that comes out to a 75 million dollar trade and they have to have the monies in the account to be able to make that trade.",0.841
583,"Hey J Saik, what do think about a sale of CGI ?",0.4234
584,"Some big boys drop almost half a billion dollars to load up two million shares of Cigna at the close. They are very aggressive, otherwise the front runners don't push the stock up to 7 points at the close.",0.4447
585,Pathetic !!!!!,-0.7067
586,Expect bigger growth next 2 years.,0.3108
587,"lots of news this week. Iowa caucuses followed by an acquitall on wednesday. will this affect earnings. Will bernies momentum rattle the health care sector? Or will trump's acquitall bring new life to the market? Chinas market will finally open tomorrow and they are pumping their market with a boatload of yen. Scary week ahead, nothings for sure",0.4562
588,getting completely wacked... for what?,0.0439
589,What to look for as Big Pharma and Biotech Stocks head into earnings season. Are These Biotech Names On Your October Watch List? https://stocksheadline.com/equ7e,0.8018
590,Leon Cooperman is one of the most respected investors on Wall Street. Only two weeks ago he had CI as one of his top seven value stock holdings. And that's when CI was 227. So even with the miss CI is still a good stock to hold. It's more likely to see 225 then 185.,0.9333
591,TIme to step up to the plate. Bought @ $172.22. Over reaction.,0.021
592,"Day 41th of my claim wth @cigna: it took 20+ days to respond to the claim, 8 hours on the phone, multiple email and they claim they got what they need. That was 15 days, the claim is not listed on the website. If you feeling comfortable you’re insured with them, you shouldn’t.",0.7872
593,The market is pretty boring right now. Want stocks that are actually moving? Join THESTOCKDORK (search them),0.7192
594,This #$%$ will continue down until after the GA election. If dems win the senate we are screwed.,-0.3637
595,$260 target price,0.0069
596,#$%$ bernie,0.0
597,Some are saying that a big investor wants the ESRX deal called off.,0.3247
598,JUST BUY IT.,0.2434
599,Help me! I’m falling.........,0.4574
600,Two year low = way oversold.,-0.2375
601,sell at this price. democrats will announce new drug price restriction proposal as soon as this week.,0.5147
602,"Fake BS Medicare for all is why they are telling people healthcare is down. Bunch of lies. Look at Target prices, some lousy bankers are buying today bet your bottom dollar.",-0.7841
603,CI has just seen the last of the selling. Looks like a potential push higher is in store. have you guys heard of https://myawesomestocks.blogspot.com/. i started receiving their allerts and so far i am happy.,0.837
604,"Don't know a thing about Cigna. Got sucked in when they took over my Express Scripts for cash and stock. So far Fed and NJ tax cost me $20K on the cash and I am down about 20% on the new Cigna stock. Boy, did I get screwed!!!! For followers of this dog is there any legit. support level on the way down?",0.6942
605,same thing happened with anthem. took a few hours before it took off,0.1506
606,"Obviously a poor decision and a despicable PR move by not having advised the thought process to the shareholders as to the benefits of the purchase thus resulting in today’s “crash” while insiders recently selling there “butts” off, how about an announcement or investigation? What is the SEC’s position?",0.8193
607,I’m really struggling with trying to fully understand why Cigna is so much more impacted by the weakness in this sector than the other names . Yes the Pharmacy business issues are part of the answer but the Co is none the less outperforming all the rest % wise with revenue and earnings and trading at a much lower PE .,0.9421
608,I hope they burn in hell,-0.36
609,CI is up 4.93% to 206.57,0.1818
610,"CHEAP, UNDERVALUE, and NO-BRAINER STOCK, at this moment. CI with ESPX under the wing, can be second only UNH, which is the top dog in the health care sector. I guess CI which has PE around 11-12 and EPG less than 1, should go higher when it reports earnings on Aug 1.",0.964
611,what's happening to CI? can we sue weiss for the investigation that cause CI/ESRX to drop today?,-0.5748
612,"upward potential of 219.36. buy everyone, upwards is the only way to go",0.7943
613,2020 can be not a good years for stocks if you look at Bush and Clinton on their second term....,0.5641
614,CI is up 6.04% to 174.19,0.1818
615,Like I said @ $148. Flawless financials. and Elizabeth Warren WILL NOT be president. Happy I added a few down there. $185 by thanksgiving. We are already halfway there!,0.8978
616,Would seem to me that Cigna is dead in the water for now .,-0.6585
617,this stuff trades like dogsh!t in a hot summer day...,0.5607
618,Shorts and day traders will control this stock for a while.,0.45
619,"Just as I thought! ""The CNBC report also said Icahn’s stake was likely less than three million shares or an ownership of one percent or less."" So the multiple media reports about ""sizable stake"" was nothing more than fake news.",0.9166
620,Buy Buy Buy !!!,0.5326
621,Cigna is up 6.61% to 214.79,0.1818
622,CI is down 4.95% to 190.99,-0.2462
623,I still can't find the news why CI goes up this much.,0.2105
624,Amazing how the stock continues to flounder yet no comments from the management. Management and board need to be changed. They've had the heads in the sand long enough.,0.8302
625,"Centene is going to pull us down today, but we’ll be back tomorrow",0.1035
626,"By Abinaya Vijayaraghavan(Reuters) - U.S. health insurer Cigna Corp (CI.N) is close to buying pharmacy benefit manager Express Scripts Holding Co (ESRX.O), the Wall Street Journal reported on Wednesday, citing people familiar with the matter.The terms of the potential deal were not known, but a deal could be announced as soon as Thursday, the newspaper said. http://on.wsj.com/2IdidFs",0.7234
627,CI is down 5.06% to 187.76,-0.2462
628,"180 is the resistance for this Thursday, if we can break out, we will see 190 as another resistance. By the way the support is 170.I will buy it up to 190 call , Jan 31.",0.6189
629,Heading to above 170 today.,0.39
630,Cigna Shares Spike Lower After Axios Publishes Report Titled 'Cigna hit with federal lawsuit alleging Medicare Advantage fraud',-0.6236
631,I bought yesterday @176 and hope to see $240,0.4706
632,This company is a pathetic disgrace. CEO should be in a prison cell !!!!!!,-0.8611
633,"Wonder when they flip the switch and the BOT'S start buying? I thought it was around this level...when it bounced, but then it went back down.",-0.2166
634,"130 by this Friday and $150 by earnings report time. Looks UNH and learn folks, UNH is almost $10 up. CI PE ratio is lower than UNH UnitedHealth Group Incorporated.Don't sell Cigna at these low levels, buy as much as you can, don't miss this blue light sale. Anything below $135 is a steal.",0.5114
635,CI should have gone up today. There is no reason/negative news for it to be down. I picked up 2000 shares this morning at $170.62.,0.4833
636,"I'm not sure why this is dropping 30% on the release of the merger. Expected drop, sure - but 30% seems a bit excessive. I can find NO combination of math, debt load, earnings, etc. on the negative side that supports THIS MUCH of a drop. Look at the historical chart, I see no real level of support - but I also see more than a year of steady growth. While I think they are overpaying for ExpressScripts, there is some advantage to the debt. Trust me, that will never be paid, they will write it off and reorganize - that is typical what is done. Continued growth in this sector is vertical integration, everyone sees that - that's why all the players have moved, or are moving, to that model. Even if this a poorly negotiated deal, it's not 30% bad. The only supporting math on this indicates more like a maximum of 20% (and that's iffy) after the dust settles. Me thinks the price is being manipulated by institutions.",0.9852
637,Smart money are going into beat up stocks.,0.645
638,Do you really think this continues? I bought Puts and will see where this is after the New Year,0.125
639,"Think about this: The market cap at the close of business was $61 billion. Cigna paid $67 billion for Express Scripts. Not only has Cordani lost $6 billion from the merger, he lost all of the market cap from the old Cigna, which was close to $40 billion! Heck of a job David and board. When do the law suits start?",-0.8265
640,I loaded up at 209-210. Wish I could undo it.,0.4436
641,There's my bounce!,0.1308
642,forward pe is around 7... am I missing something?,-0.2595
643,"I just bot ESRX at $62 in November, and sold it yesterday morning at $85. Can't believe CI is paying such a price for a questionable asset. They talk about cutting prices for the consumer, but that is near impossible when you pay so much on the front end.",0.1678
644,Sell sell. Gaps get filled.,0.1507
645,And along came Zacks—IMO—-the kiss of death for any stock,0.3118
646,Is this company the next GE?,0.0533
647,Looks like big gain coming....,0.7472
648,CI reached a 52 Week low at 149.00,-0.1464
649,"It seems the market makers shorts CI for some big boys today. This scene I did see it so many times, at the end of the day, CI will pop back.",0.2455
650,How’s the Express Scripts deal looking now ?? Sad,-0.4443
651,Every body is waiting for Fed. I believe the market is still going up.,-0.0954
652,Down $18 per share in a couple of weeks. Time to stop these shenanigans!!!,-0.3831
653,"Ker ap. Now we’ve got Zacks & Motley Fool on our backs. Never a good sign IMO when either one shows up, even with a positive spin",0.9229
654,Who can catch the fish today? CI round trip is over 5 points. It is very fluctuate this morning. I probably have to wait until Fed cuts the rate.,-0.4656
655,Why going down?,-0.2037
656,https://finance.yahoo.com/news/corporate-insiders-pull-trigger-3-202218495.htmlThis insider bought in at $168 . I agree we are squarely in bargain territory here but no idea how long the wait will be for value to be evident .,0.7567
657,market is pricing in potential GA senate runoff to Dems.,-0.0264
658,great healthcare stock to own,0.8324
659,IMO this is ready to pop to $190 - just waiting on the move,0.6741
660,Hugely undervalued stock here Forward PE of just 8.5,0.4641
661,this thing is like a old Ford pickup clunker stuck in the mud... can't even rally when the market pops.,0.6067
662,Cigna is down 4.90% to 208.67,-0.2462
663,why is the price kept diving?,0.1819
664,Why call option 185 July 19 premium is so expensive. the market makers asks for $0.45. It is just another two days which I guess it is really hard to go up another 4 points.,0.4949
665,:-) Go CI !!,0.4366
666,"Use Logic and Common sense that ABMD has nothing to do to the health care providers at all. ABMD has only 8 billion dollars sales. It is an ant compare to the big UNH, ANTM, CI. I HOPE YOU ARE NOT MISLED BY THE MARKET MAKERS.",0.8301
667,It's over. This thing could settle in the 80's.,0.1687
668,Tomorrow is the moment of truth !,0.3838
669,I gave in and sold for profits today. Too big to pass up in a short 2 months of owning it. I’ll look for a pull pack back to jump back in. Good news for all you holders. Usually when I try that it back fires and the price just keeps going up. Lol,0.9536
670,why????↧,0.0
671,Has anybody heard of these government subsidies for health insurers?,0.0076
672,will this stock ever be worth holding?,0.6244
673,JUST BUY IT!. I have no doubt that CI will beat the estimate both top line and bottom line.,0.3392
674,This will be the lowest you can purchase (167) it before it starts going back up. Making money the rest of the week on CI. Cheers.,0.838
675,cant catch a break,0.169
676,short this pig till 120!!,-0.6997
677,Good Move Today,0.5435
678,a run to $200 in the cards?,0.1495
679,CI is up 4.97% to 159.12,0.1818
680,"come on baby, keep up the consistent climbing. little bit each day",0.75
681,"no feet, keeps falling like its going bankrupt. just stupid",-0.7763
682,https://finance.yahoo.com/news/unitedhealth-good-buy-despite-recent-151803028.html,0.0
683,Wow !!!! If it wasn’t so painful it would be funny.,0.7449
684,Even CVS and Walgreens didn’t want Express Scripts. That tells u something.,0.1755
685,what's wrong with this stock,-0.2679
686,does anyone know what would be break out fee for this merger?,0.0268
687,i hate universal care,-0.128
688,"can anyone tell me , what's wrong with this stock???",-0.3707
689,"Well CI coulda, shouda, gone up but it didn't. The only stock I own in the red today. I bought 1K shares in 7/15 and checking my acct it has gone up 13.7% a whopping 4.6% annual gain. Checking the report on ESRX earning:For 2018, adjusted earnings are estimated in the band of $9 to $9.14, significantly below the previous range of $9.27-$9.47 per share. This is because of suspension of share-repurchase program. Notably, the Zacks Consensus Estimate for earnings is currently peged at $9.32, which lies significantly above the guidance.",0.9439
690,Big ouch . Absolutely got my head handed to me .,-0.5301
691,Cigna stock price target raised to $250 from $230 at SunTrust RH https://research.tdameritrade.com/grid/public/markets/news/story.asp?docKey=1-SN20191118005160&cid=1-SN20191118005160-MIP,0.2426
692,Cigna announces a quarterly dividend . $ 4.00 annually . Didn’t see that coming .,0.1517
693,Uninspiring trading today,0.1583
694,CI beats estimates good buy,0.53
695,"Earnings didn't matter, it's all about policy risk, a different word for man made disaster...",-0.238
696,Tip-Toe Thru the Tulips—-trader Jeff knows exactly what I’m talking about ,0.4566
697,"CI is way over sold. Medicare for ALL is simply not an easy thing to pass and neither is it a viable preferred option from the people who demand quality and reliability in the medical care. Not wait for days, months to get approval on critical procedures and a bureaucratic medicare for all system. Bernie is a nutcase.",0.8918
698,I cannot understand how this stock works,0.1082
699,2000 more july 165 puts just bought. I guess this thing isn't going rebound anytime soon.,0.1214
700,"I was there when Ed Hanway led the stock down to $7 per share, after selling of the pension business to Prudential and using the $7 billion to buy back stock at $55 per share. He basically gave the Pension business away. This dwarfs this by far. Where do they get these guys? Cordani's ego wrote checks his company couldn't cash. Shareholders pay the price. Next year, if the stock goes back to $180, he and his management losers will pat themselves on the back and take stock grants as a reward for having a great year. I live in Vermont and hate Bernie, but maybe he is right, for once.....",0.8861
701,QQQ tech section is pulling down the whole market with it. Be patient.,0.2603
702,komol i do agree that it is a good time to buy CI. let's make some money!!,0.8082
703,"The market makers did the best job to prevent CI running up. I have to give them the big hands today. I see CI up over 2 points premarket, then tank.",0.7128
704,CI is up 8.30% to 174.68,0.1818
705,Pathetic,-0.5719
706,for a rare co that reaffirms 2020 guidance this thing is trading so poorly its not even funny... while Nikola haven't made a truck yet has a $20B market cap... #$%$..,-0.1021
707,"UNH is trading around $145 and CI is trading at $123+, we have an easy $20 gain in next few weeks. Earnings coming out in Nov and CI is going to beat the estimates like UNH or even better. Anything below $135 is a steal imo.",0.8732
708,184 coming,0.0537
709,One of the most hated companies by customers and more important- by its own employees!!! And the CEO is taking huge check for nothing. It will fall like any other evil company,0.2422
710,"Today’s press release on “integrated care” is the perfect storm. It’s been what I have been touting as the benefit from buying Express Scripts:When you have ONE view of the COMPLETE patient; rx’s filled or sometimes more importantly, maintenance meds for high blood pressure etc late to be refilled, or not filled at all, and the complete medical history of the patient, there is no one else better to assess the current condition of the patient. Traditional pharmacies only see pharmacy claims. Doctors only see what THEY ALONE prescribed. CIGNA’s integrated care model brings all this data under one roof, in one place, where sophisticated algorithms and teams of pharmacists and nurses identify patients most likely to have an adverse medical event. These patients or their prescribers are contacted to try and avoid that ‘upcoming adverse event’. Avoiding the cost of even one visit to the ER or even a fall leading to an ER visit with a hip fracture and orthopedic surgery and a protracted recovery in a rehab center is incredible is directly measurable in dollars saved. Take for example, the patient above who falls, goes to ER, hip replacement, extended stay in rehab center (think Covid now)—-> how do you measure the psychological toll this takes on the patient and their families ?This happening to a grandparent can directly impact easily 100 members of their families with worry, days taken off from work, transportation, etc. The psychological costs can never be measured. How do you place a $ value on grief?Disclaimer: I do not work for CIGNA, but do own the stock.",0.9815
711,"The hit to managed care stocks based on Democratic plans for 2021 and beyond seems premature.While Democrats are currently favored to win the White House, they'd also have to take control of the Senate to have any hope of passing universal health care. Currently, the PredictIt betting market gives Democrats about 40% odds of winning the Senate. A full-fledged government takeover of health care would surely require at least 60 Senate votes.",0.9767
712,Healthcare system worldwide will be in trouble due to costly to treat number of infected patients with coronavirus. Initial cost can be more than $2000 each on the first day of treatment in the hospital,0.6765
713,"I lost a bunch after last ER with the hope, I don't have a position now. This stock was my biggest mistake when entering and when exiting.",0.5578
714,"after holding this thing for like a month a finally sold for modest gain at 174.23. of course after selling, it's off to the races... good luck all it's probably a great buy now that I'm out",0.9643
715,So much manipulation.,-0.289
716,"IS IT LEGAL TO SELL BEFORE ANNOUNCEMENT?CI CEO Recent Trades: • President & CEO David Cordanisold 36,769 shares of CI stock on 03/05/2018 at the average price of $191.68. The price of the stock has increased by 1.28% since.CI Directors and Officers Recent Trades: • EVP, General Counsel Nicole S Jones sold 5,856 shares of CI stock on 03/05/2018 at the average price of $190.68. The price of the stock has increased by 1.81% since. • Pres. Strat Segmts & Solutions Christopher J Hocevar sold 2,759 shares of CI stock on 03/05/2018 at the average price of $191.84. The price of the stock has increased by 1.19% since.",0.9831
717,"What’s up with the dividend? I mean, that payout ratio is pathetic.",0.1616
718,It will be back up over 170 tomorrow,0.0685
719,What a disgrace. The market has spoken and this deal needs to be killed. Cordani will do anything to protect himself and his job.,-0.6325
720,This has sold off a bit today . I think it’s still due for a nice pop - the timing of which is the question ....,0.4186
721,Up $4 today but if we look back over the last week it’s the same range .,-0.0543
722,"CI is a good bet for next week, the revenue doubles Y/Y, The PE will be under 10 this year. The panic is screaming JUST BUY IT.",0.4246
723,"Big mutual finds keep buying CI because it's PE is so low under 10. CI just completes EXPX acquisition on Dec 2018. The number of the revenue and earnings growth already shines since last quarter. It will be even higher this quarter, because ESPX dominates the medicare advantage plan. I am looking for CI going higher 175-180 by November. It is one of the best risk off stock, low PE under 10, Earnings is over $17 this year and revenue growth is over70%.",0.9705
724,"I tried to buy after-hours @ $165, so happy it didn't fill.",0.5804
725,"Obama spent last three years on Obama care and still didn't do proper homework. Imagine the loss this country had to go through, leave alone the side effects and flaws of Obama care. Obama screwed it big time. On the other hand Obama supported Hillary just to make sure Obamacare is not repealed. Obama didn't even think that Bernie Sanders was much better than Hillary and Trump. Obama was and is more cruel than any other president.",0.5623
726,Down on low volume no big deal,-0.3923
727,Government program membership declined?! What is sales doing?!,-0.2655
728,If we can’t control the Chinese virus the healthcare sector will collapse so the banking sector,0.3446
729,Hope it's going back up to $180 when the news of this bad proposal fades,0.1393
