,Recent headlines and conversations for GRUB,Polarity
1500,Here we go......liftoff!,-0.0921
1501,SEL SEL SEL GRUB!!!,0.0
1502,This stock will be going under $10 over the next several weeks.,-0.0665
1503,Mr Maloney I’ve always seen the prophecy but it makes a great deal for two,0.8291
1504,I cannot believe that the share price remains above $50,0.5445
1505,They ‘re not hiring. Uber is eating from the market share.,0.3934
1506,"uber is best company to acquire this , Lets gooo!",0.7692
1507,"Over 60 million voters voted for Trump.That's 60 million! And tens of millions of them were verystrong believers in Trump's message which is why they voted for him.So a boycott WILL happen and it WILL affect this business.That I can tell you.And the boycott against grubhub will be HUUUUUUUGE!Matt Maloney, you stupid stupid idiot!",-0.9596
1508,sold another 1000 shares short at 47.43. Love it. Keep buying at the top folks.,0.774
1509,Sub $10 soon and eventually trade in pink sheets then Vanished !,-0.4781
1510,This is all HFT. Won’t know real price until about 9am,-0.0912
1511,Just saw grubhub ad on MSNBC at 2:42pm. Trying to see who they are targeting with $30 million ad campaign,0.5372
1512,CEO sounds dismissive and arrogant as well as defensive. I frankly don't trust him.,-0.3562
1513,Amazed at how expensive the out of the money Puts are for January. What do the big boys know?,0.6494
1514,Groupon and GrubHub going to merge?,0.0624
1515,I was seriously thinking of buying the low; now I’m realizing after doing some due diligence that this Chanos guy may be on to something here. I’ll catch the bounce when it dies around $12 ish and ride the dead cat bounce off $12!and up ton$15 - $16. Maybe take a short position along the way; we’ll see. I sure wouldn’t hold this here. And I know! Shorted PCG from $38 down to $8 and then from $23 down to $11. Most money I ever made next to BYND from $68 to $187. Cheers and happy trading,0.8244
1516,"Market says, ""No"".",-0.0187
1517,This company is a rockstar!,0.151
1518,Today is forever called money day,0.1083
1519,The CEO of this company is so dumb. Maybe he should've deleted his emails like his best friend Hillary.,0.8649
1520,Really a shame that Maloney is not out defending his company against these lawsuits and claims of impropriety. Stock keeps dropping in spite of recent positive news. I guess he’ll buy some more as soon as it’s driven further into oblivion.,-0.5487
1521,"Like I said yesterday, if you were short and didn’t cover you apparently can’t even tell what a bottom is and need to go back an relearn TA...",-0.0121
1522,"The alt left, America Hating, libs, prog, and nutcase pooppackers are taking this pooppacking business down, starting with the #$%$ CEO",-0.4979
1523,Grub hub is good stock... Will be up again. Good for long run .Just relax and wait.,0.9326
1524,What about Groupon?,0.0855
1525,"Grubhub shafts drivers. Easter Sunday. 1/2 the restaurants are closed. GRUB still taking and sending orders to closed restaurants. Driver drives over to a closed restaurant. GRUB offers no compensation for drivers time, mileage or gas. Driver care says ""you don't get paid to drive to the restaurant"". What an absolute joke GRUB is. Moral of the story, call every restaurant on holidays to make sure they are open before driving an inch.",0.9165
1526,Buying more this stock will not be below 100$ for a long time cheap day :),0.8633
1527,The current price action and volume for both GRUB and UBER means the deal is on and those betting on other possible offers are getting out...,0.5934
1528,tkayf. the stock is halted.,-0.0802
1529,"Biggest news of the day for Grubhub is that Uber is laying off 1/3 of its marketing force. This after losing the McDs exclusivity. That should give you a better sense of where things are heading long term. Hang in there Grub longs, company is executing the right way.",0.7882
1530,This will fade after the market determines that the universe of potential acquirers is composed of close to zero companies.,-0.1273
1531,Time for Matt Maloney to resign. If that is his mentality he is not CEO material. The board of directors should remove him immediately. Inexcusable to threaten half your employees and customers. A tiny little liberal loser that never learned to keep his mouth shut and not threaten people he does not like. Boycott GrubHub until Matt Maloney is terminated or resigns. Short GrubHub stock. The damage has already been done.,-0.9123
1532,GRUB is up 5.97% to 74.35,0.1818
1533,Walmart Invested 10 percent in $DADA get in before it to goes to $70,0.343
1534,every nov 1 put is in the money now,-0.0265
1535,ITS A PUBLIC COMPANY AND HE IS JUST AN EMPLOYEE. WE SHAREHOLDERS SHOULD FIRE HIM AND THE NEW DOJ SHOULD IMPRISON HIM,0.1298
1536,GRUB has been under pressure since AMZN entered its business: now AMZN recognized it cannot compete with GRUB:SHort squeeze:$90 target!,-0.3668
1537,Shall we buy? ,0.1474
1538,Just bought a ton of $30 put options this morning. Paying off big time. Might buy some more. Backlash is huge it seems.,0.7271
1539,the CEO is a moron from a family of morons. He is also a traitor to the USA AND he is in favor of the riots and burniing down cities and destroying someone else's cars and property and he is anti-TRUMP. I hope that Maloney gets mugged soon and is disabled and has to watch his friends and family die horrible deaths and see his fortune go to hell before he meets his good friend SATAN.,-0.1038
1540,Edith in. Let's go! Yeah!,0.3871
1541,It should be around 85$,-0.0449
1542,Deal yet?,0.0898
1543,GRUB will be back 75$ by the end of day 80$ next weekBuy Opportune,0.3736
1544,GRUB reached a new All Time High at 111.47,0.3954
1545,evaluation gonna be 70 a share for grub hub,0.3097
1546,"It’s at those moment when you compare doordash and grubhub stock, you understand the market is not always making sense",0.461
1547,27.6 mm,0.1585
1548,I work for GrubHub and I voted for Trump - so hunt me down Maloney or go hump some baloney.,-0.2323
1549,I don't get what people thinking if you believe in the business model so it worth over $100 if you don't believe and the business model so do not touch that stock or any other company with that business model.. because out of all this companies they are the only one who makes profit,0.8515
1550,I was a frequent user of this service. Those comments the CEO made are anti-american and have no place in our great country. Either that CEO should resign and or company should be boycotted.,0.5216
1551,"If UBER wanted out of the ""deal"" - this is a great opportunity for Dara to back out, even though market gave UBER more than $6B increase in valuation, making GRUB purchase in stock essentially ""free"" - for a while at least - market giveth and market taketh away.",0.9313
1552,SOCK PUPPET SOCK PUPPET SOCK PUPPET !!!!,0.0
1553,It seems like their is a nonstop pumping of grubhub into earnings,0.423
1554,Sold half @ 72.00 let the rest ride until FEB earnings.,0.7803
1555,Matthew Maloney - unbelievable email - you're FIRED!Also note that he holds zero shares - he sells them as soon as they vest!,0.7106
1556,This stock will go above 75$ by tomorrow,0.442
1557,GRUB will be bought out by Amazon,0.2537
1558,"What a waste of money waiting around for a month for a potential piddly 10% gain, while every other stock on the market has gone up 30% in the last two weeks. Hard lesson learned.",0.6294
1559,"wtrh, all you can till 11",0.0595
1560,Uber will be 40 so GH will go up to 80$ next Monday if deal is announced,0.1081
1561,TIMBER,-0.4871
1562,Smells like a dead cat to me...... Buy WATR instead when it IPO's. They're killing Grub's market share. This company will be out of business by next year.,-0.5296
1563,"Since Aug 23, the support level of $135/share has held. If it holds up through this week, I think it's safe to bet we're going to sustain this support level until earnings release (Note: I consider a support only broken if the stock closes below the support price for two consecutive trading days). For my part, I'm going to sell my puts by the end of this week (assuming support holds). And then have a naked long position through earnings.",0.9746
1564,Oh my market is getting slammed,0.0128
1565,pump it pump it,0.0756
1566,Pure garbage company. I ordered take out but the restaurant was closed when I went to pick up. GrubHub charged my credit card anyway and now I have to dispute it.,0.244
1567,Oh wow! Look at us now. The fun here has no limits,0.6953
1568,these stocks still overvalued instead? it may the share holders need to adjusting and my opinion could below 40 to 35 what do ya think guys?,0.2724
1569,Like GRUB and IQ rocket,0.6157
1570,GRUB afterhour got the WUHAN LOL,0.5381
1571,"Market will collapse again, and grub will drop below 60. I will buy then, as home delivery is here to stay and grown",-0.1873
1572,deal today option contracts r skyrocketing,0.2708
1573,IBD funds buying today.nice,0.4827
1574,If deal is $75.15 why is this $62.50 right now?,0.2012
1575,"Food for thought, GRUB is beaten down even after a good quarter. Grub is currently the only exclusive food delivery company. Yes I hear all the talk of DoorDash coming after them, even UberEats is fighting for the market. The difference here is GRUB is profitable and has the largest market share. That said GRUB has a proven profitable business of DELIVERY, which I feel makes them a great buyout target for a company who is looking to deliver that last mile. I'd like to hear opinions on the pros and cons for Amazon to make a play and buy out GRUB. Yes I understand AMZN is also trying food delivery, however they've had little to no traction, yet with GRUB they could own yet another market.",0.9868
1576,"Food delivery services 's just temporarily during this pandemic, then when vaccine available to everyone, then no ones want to have that delivery services anymore, they 'd rather drive buy themselves for self pickup....",0.9307
1577,I know everyone wants AMZN to buy everything but amazon should REALLY buy grubhub. $10 billion to get the #1 food delivery service in the country. Why not?!,0.8975
1578,Short this to ZERO,-0.4741
1579,What price anyone that's actually an owner of shares thinking of selling on? Will Grub hit $73? That's about the number Edith hoping on. Which would be a nice profit for ol Edith. Yeah!,0.932
1580,"Lol from buy to under perform.stock is dead. Baggies are done, recession from all the billions lost this year from iPo, Investor’s looking for brokerage offices amd tall building to jump. Homeless, divorced, and feelin*bad. Shoulda bought uber stock. Not grub hub. Baggies never Learn",-0.0944
1581,"I guess, many drivers in CA and NYC wait for NOV 4. then unemployment or strikes will KILL this co.",-0.9172
1582,"The rice offered $75.15 based on 0.67 shares of TKWY’s June 9th closing price of 98.60 euros (~ $112.16). Breakup fee $144million. Don’t worry, it will skyrocket tomorrow.https://www.cnbc.com/2020/06/10/grubhub-to-merge-with-european-delivery-company-just-eat-takeawaycom.html",0.632
1583,Ha ha,0.5859
1584,Longs!,0.0
1585,"Going lower, just look at chart.",-0.1182
1586,"Believe it or not, I have never used GrubHub in my life",0.3233
1587,"rumor that grub orders are down 60% YOY, looks like UBER eats is killing them.",0.0339
1588,short squze scam...No one will buy this mOney losing company ..UBER can buy this in bankruptcy court at $1,-0.3197
1589,"With the recent haircut, how much does the rumored AMZN buyout of GRUB drop? Prior to earnings, expectations were an offer in the $7.5-$8 billion range with a final number closer to $10 billion. I would guess the odds of the buyout have increased substantially with a $5-$6 billion offer and a final number around $8 billion.",0.6543
1590,"Matt Harrigan of CEO of Cyber Security Company Resigns After Threatening To Kill TrumpThe start company Sled something CEO is gone after the election eve threat. Wow! No one HATES like the Democratic Party and the LeftImagine if a Republican or a conservative, or a Libertarian made the same threat. Where's the NYT with the coverage, Where's the LA Times, Where's San Diego Union Tribune?For those not in the know, on the West Coast all the newspapers were purchased by the Tribune Co. in 2014 in advance of the election. The LA Timea and the SDUT now owned by same company, the Trilaterist Tribune Co.Daily, during the election process, it was a full on assault against Trump. This should scare everyone as these newspapers spin the truth and the public's perceptions.",-0.7852
1591,Double upgrade from BOA and Roth double downgrade but with $108 price for oppenhiemr and sasquehana,0.6682
1592,"GRUB will go down eventually because it never makes money, and there are too many competitors in the new industry. It is the same like the weeds industry that the companies keep hyping and dump when there is no new feeds.",0.4592
1593,What is going on?,0.061
1594,Broader market bleeding is keeping this stock down. I can’t see why this is at least not @65.,-0.2455
1595,"This is a STRONG SELL here. No company is paying 5 billion for them, it's more likely that GRUB buys another company which would SINK it's current valuation.",0.3597
1596,DEAL OR NO DEAL ?,-0.1023
1597,This is such a sneaky stock never talked about,0.1359
1598,Omg what happen now?,0.0477
1599,"better trade it other than hold it, but follow close to MM's step",0.1342
1600,"BS about AMZN buy out is OVER folks... lock in your profits before they vanish.... Otherwise, buy at the TOP! LOL....",0.7418
1601,Short GRUB. CFO Dewitt has liquidate his entire position very recently. Rats jumping off ship. Time to get out of this dog. Someone inside knows something we don't. Sentiment: Sell now.,0.3812
1602,well that rally waa short lived.... I'm getting out now. For a fawning loss. I hope I learned my lesson with these potential up-and-comers,0.228
1603,GRUB reached a 52 Week low at 38.75,-0.1464
1604,This will take off yet again,-0.0213
1605,It’s halted for news,-0.1391
1606,how many crazy people here .it was crazy at 140 $ now its even more crazy at 33$ ...the world is going to delivery on everything maybe 10 years everything will be delivered,-0.3662
1607,I said it was going to be up big by friday from $60. yall tip my gofund me Ill tell you when to get out lol,0.5646
1608,These analyst are about 8 months late with their down grades ! Pigs get fat hogs get slaughtered,-0.2689
1609,"Sorry hit the wrong key. I don't own the stock but frankly I am appalled and offended by some of the ads. Doesn't anyone find it offensive that the gluttonous characters in these ads are buying hundred's of times what they can eat - all brought (mostly) by brown skinned driving delivery people. Why not a simple ad showing quick, spur of the moment delivery? Maybe I am over sensitive but this is like a gasoline company showing someone overfilling a tank and being proud of it.Reply",0.7648
1610,GRUB to get Worthless shares (Merger),-0.1715
1611,Guys if the deal is accepted what will happen ?,0.3223
1612,$76 by Friday,0.0812
1613,GRUB reached a 52 Week low at 56.75,-0.1464
1614,GRUB is one of the biggest FRAUD of the stock market. Expect another 40% drop at ER.,-0.1548
1615,"Meat shortages hitting restaurants, increased competition, many small and medium sized restaurants closed due to the COVID-19, and localities capping fees for takeout delivery services all add up to a guaranteed negative outlook for GRUB's stock. I actually thought the stock would've sold off prior to now but hope springs eternally.",0.7482
1616,"WTRH is serving 18,000 restaurants in 640 cities. Only 200mm market cap.https://waitrapp.com/",0.0501
1617,Picked up a little,0.1862
1618,Cheers to the buyers that bought on fear at $33/34/$35. BIG gains.,0.5414
1619,Short covering will take this over $40 soon,-0.5839
1620,Uber is up. Now Dhara just needs to pay.,0.2112
1621,damn i shoulda sold when it was up 8,-0.1573
1622,"Never invested in GRUB before, but this does seem like an overreaction. I'm in for Jan 2021 $35 Calls.",0.4559
1623,GRUB is down 6.24% to $120.43,-0.2462
1624,"Won't be long before they sign on McD's and/or Starbucks. That'll make it even more compelling for Amazon to #$%$ them up. Being at anearly 50% discount to Door Dash is absurd. We are looking at $100 again pretty quickly. And if Uber loses its court battle with ""employees"", look out, we're looking at $150 next. Hang on.",0.8066
1625,Nice run up on the close,0.6267
1626,"Where does Grubhub get the millions tv ads budget?! Constant commercials on nbc networks, etc",0.5043
1627,30% increase in orderding for the quarter in just the last 2 weeks of March.,0.2887
1628,"On October 29, 1929, known as ''Black Tuesday,'' the United States Stock Market crashed and sent the US spiraling into the Great Depression. 29th Oct, 2019 after 90 yrs later $90 value stock is only $33, Black Tuesday for GH",0.8103
1629,Congrats to all the long!,0.7557
1630,Just watch. LYFT will offer 2 for 1 shares plus $1 billion cash.,0.7317
1631,Why big up pm?,0.476
1632,Volatile city here today. Spazzy moves,-0.1607
1633,Mmm 100 share buy every 2 cents it goes down according to lvl 2 data lol makes you wonder what is the buyers motive,0.6042
1634,What an unamerican move. GrubHub will soon be snubbed out and will no longer exist.,-0.4807
1635,Uber isnt going to get into a bidding war and the two European companies aren't serious. all 3 will walk away in the end.. Imho,-0.4605
1636,"I’ve seen a lot of buy outs, not quit understanding this one, price is confusing",0.0615
1637,time to steal some cheap shares off the weak hands.,-0.2418
1638,"Nice close. Imagine what would have been if it was a blow out day. It would have screwed all shorts. It will squeeze day by day. Feel the pain,that iscoming yo shorts. GL",0.8032
1639,https://investors.grubhub.com/investors/press-releases/press-release-details/2018/Grubhub-Reports-Record-First-Quarter-Results/default.aspx,0.0
1640,Should test the major resistance at 56.40 (minor resistance at 55.00).,-0.2119
1641,"I love this set up for GRUB going into earnings (likely October 24) . The stock is now at the same $110-to-$115 per share levels where it was prior to the earnings release and guidance on July 25. And then it shot up to $135/share. Nothing has changed since then. Yes Grubhub faces market competition from multiple players including Uber Eats and Doordash. But the overall addressable market is $150 billion so enough highway for growth for multiple players in the near term. I would have been more worried if the stock had been $146/share (Sep 14 high) going into earnings. But at the current price, there is the ability for management to reconfirm Grub Hub's bright prospects and for this stock to rally up. From a technical perspective, Grub Hub is way oversold: The 7-day RSI is 15, the 14-day CMO is a negative 55, and the 14-day ADX is 27. I've never lost money going long with such a technical set-up (over any 200-day period).",0.9853
1642,60 million people voted for Trump. (can the 60 million who voted for Hillary keep GRUB afloat?) It is now time for the voters to vote with their wallet. This is how businesses succeed or fail. People use the business or they don't. And their vote counts.,0.7956
1643,Done DEAL!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,0.0
1644,when will people realize this is a HUGE bubble stock set only to disappoint investors,0.4274
1645,Heavy Advertising and Giveaway Coupons will surely hurt the income statement this quarter. Revenue Increases are meaningless if you lose money on every sale,-0.6189
1646,showed consistent growth/revenue the last few quarters. hoping for a repeat Wednesday !,0.47
1647,it looks like another great shorting opportunity,0.8638
1648,No brainer,-0.1679
1649,SHorts love to prop this stock up afterhours when it not liquid markets and see how this pops & drop in the morning,0.4358
1650,saw the c.e.o. on squawk this morning... seemed like a D-Bag.... will not use them for my delivery,0.7622
1651,Trip and GrubOH MY,0.1558
1652,"Who needs middlemen? The future of delivery is almost here and now:Walmart teams up with GM's Cruise to test grocery delivery with SELF-DRIVING CARS. Under the program, customers in Scottsdale will be able to order from their local Walmart store and have it delivered via one of Cruise's all-electric self-driving cars beginning early next year. Walmart's latest test program allows the retailer to further tap into the on-demand food delivery market, a service that has surged since the onset of the coronavirus pandemic. It also gives the company the ability to effectively compete with rival Amazon as they race to increase their market share in one of the fastest-growing e-commerce sectors.Last year, Walmart partnered with Silicon Valley autonomous vehicle startup Nuro to assist with grocery deliveries.$UBER $GRUB $LYFT $WMT $AMZN $GOOGL $GM",0.9918
1653,Cramer just started other buyers possible.,0.2877
1654,Let's see if UBER tries a hostile takeover.,-0.0619
1655,Ouch 25% haircut,-0.6705
1656, CNBC. -  NO DEAL To far apart on the priceAND DOWN SHE GOES Uber offered $40!?,-0.078
1657,BREAKING NEWS !!!!!!!!!!https://finance.yahoo.com/news/uber-rejects-grubhub-stock-proposal-071251812.htmlIt's a bad new...it's time to sell....,-0.7344
1658,Hit 80S on way to 90S.,-0.0062
1659,Down 5% in pre-market. Can't find news.,-0.3649
1660,"Wow what a childish CEO... Isn't the main job for a public company to increase shareholder value? I'd say he has failed his primary task. I can see the shareholders and Board taking action. Stock price is a bit low now isn't it? Glad I'm not a shareholder, or I'd be really bitter and demand a change. Definitely no longer a customer!",0.1685
1661,"Tons of restaurants will be out of business. Yelp is getting killed today because of it. Same theory applies to Grubhub. Can't deliver food from restaurants that don't exist. Seriously, what the heck is Uber thinking to even consider paying a premium for this?",-0.6129
1662,Was overeaction! There is a good potential for this business! After all is a very profitable business and steady increase of revenue and profits,0.9435
1663,36 tomorrow,0.0024
1664,"If GH has to have its business listed on liquor licenses, could this potentially open up the opportunity to deliver from independent liquor shops as well?",0.694
1665,"The truth always comes out, in time. GRUB tried to drum up a buyer with the Wall St journal article, resulting in headlines but not actual realized benefit. Still too much competition, no business plan, no profitability in sight. Why would any intelligent investor put their money in this stock? there are so many PROFITABLE companies to invest in, or ones that atleast have a PLAN.",0.9744
1666,Think it will be $120 tomorrow,-0.044
1667,The more negative people are about GRUB the higher it goes. Isn't that an oddity?,-0.4219
1668,Maybe the snowflake CEO can go scream at the sky. By the way isn’t his carbon footprint for a delivery service against his beliefs? Ahhh. Hypocrisy at its finest. Hope it goes to zero.,0.8655
1669,100 soon,0.0011
1670,GRUB is down 6.03% to 46.72,-0.2462
1671,"dirty dirty stuff going on. desperation and greed all around. big money caught in the grub crummy business spiral, what can we do to salvage this? Let's have these two companies that lose billions of dollars merge for a spike and exit...",-0.9077
1672,Many many getting muted today. Quiet the herd,0.7022
1673,Here we go weeeeeeee,-0.0182
1674,"This company is a Strong Sell and I will do whatever I can to take them out of business. The exec, matthew maloney is most likely a pedophile.",0.6687
1675,"PEOPLE / INVESTORS HAVE FINALLY GOT-ON-TO REVENUE POTENTIAL HERE : - THIS COMPANY ""NOW"" PROVIDES NOT JUST A SERVICE - IT IS TO VERY MANY PEOPLE AN ABSOLUTE NECESSITY ............ - AND - IN THE COMING DAYS ........ IT WILL BE[COME] BOTH - A LIFE-LINE - AND - A LINK WITH THE OUTSIDE WORLD FOR HUGE NUMBERS WITHIN THE U.S. POPULATION!!!!",0.9748
1676,"Come on GRUB, it's time right now for a delicious downside move to exactly $44.00. Thank you in advance for your cooperation.",0.8007
1677,SOME ONE WILL GET HURT IF YOU STILL BELIEVE THAT GRUB WILL REBOUND. THERE IS NO REBOUND OR RECOVER WHAT SOEVER AT ALL. THE STOCK WILL SINK EVEN DEEPER.,-0.279
1678,"Excellent quarter and the Yum! deal is only going to raise brand awareness. Reminds me a little of Amazon in the early days. As more and more millennials and baby boomers start to order take out the whole industry should soar for years and years. IMHO, this could double or maybe even triple in the next five years. Time will tell",0.9633
1679,"Grub is not overvalued, but doordash is. 6+ billion for little market share and less competitive pricing.",0.5613
1680,I can setup online app better than GRUB in one week. GRUB will go go bankrupt in few days,0.2867
1681,"What do you expect from GRUB. it faces big boy like UBER. I don't think GRUB will have a chance to survive within two years. GRUB keeps losing more money and I expect it will never make money AT ALL. It is tough business when the middle guy like GRUB, UBER, DOOR DASH, POSTMATE wants the cut 20-30% from the restaurant. i pretty well understand about the restaurant. It is possible that GRUB, POSTMATE and DOOR DASH will fight each other and still don't make any money in the next few years.",0.7492
1682,From -20%+ to green? Crazy!,-0.3217
1683,back to 123-126.... monday.,0.0302
1684,"GRUB is the biggest bubble in the stock market. No income, no growth, terrible business model and 50billion in debt.... B U S T....",-0.6322
1685,Day traders had a ball yesterday heading to WARMER CLIMATE-SOUTH,0.5265
1686,SHORT SHORT NO SHORT SQUEEZE LOL,-0.81
1687,No deal tomorrow but hopefully by end of week. CEO’s met today and Uber raised offer = to $62.50. Needs to be $65 or higher. Shall see what happens,0.8019
1688,80$$$$$+++++ offer. Definitely.,0.5365
1689,Tough day ahead.,-0.2461
1690,Yikes. An ugly day to be in GrubHub land. Maybe it's cheap enough now for a takeout suitor to swoop in.,0.5722
1691,"One of the problems is that the few large markets that don't already have cheaper and more efficient local delivery options (like most pizzerias and Asian food businesses do) are already SATURATED with end-users who are considering or now using delivery, so more partners / restaurants don't really give you more of the market - i.e., ""market"" is not restaurants, it's a finite percentage of population that accepts ""delivery at a cost"" - some might try ""delivery for free"" but otherwise delivery is just an app of dining options people may look through to choose from, given generally unsatisfying experience with the food delivered via Big Four / Big Three - ""cold"" / ""takes too long"" / ""order mistakes"" / ""expensive"" etc.IOW all the partnership pronouncements are great, but the number / percentage of end-users is not going to grow much from here, and might even start shrinking soon. So it's one of those UNSCALABLE business models where the more you sell the more money you lose... unless of course, nobody (WS ""influencers"" / boosters in the finmedia / sell-side analysts) cares about profitability, i.e. it's a ""hope trade"" like WeWork and bunch of other ""growth"" companies that EVENTUALLY went bankrupt but enriched insiders and WS investment banks in the process.=== 07-06-2020 There is a cartoon version of certain gig-economy startup industries that goes like this. SEVERAL COMPANIES GET INTO THE MARKET FOR, SAY, CAR SERVICES OR FOOD DELIVERY OR WHATEVER. They compete for MARKET SHARE BY LOSING A LOT OF MONEY: You pay drivers $20 per trip, which is more than they could get elsewhere; you charge riders $5 per trip, which is less than they'd pay elsewhere; you MAKE UP THE DIFFERENCE BY RAISING MONEY FROM VENTURE CAPITALISTS OR SOFTBANK. YOUR COMPETITORS DO THE SAME THING, AND YOU COLLECTIVELY SPEND BILLIONS OF DOLLARS OF VENTURE MONEY DELIVERING PEOPLE CHEAP BURRITOS. You promise your investors ""don't worry, after a few more cheap burritos we will drive our competitors out of business and we'll be able to jack up the burrito prices to cover our expenses,"" but YOUR COMPETITORS ARE PROMISING THEIR INVESTORS THE SAME THING — SOMETIMES IT'S THE SAME INVESTORS! — so they all keep hanging around.EVENTUALLY everyone does get tired of this, but RATHER THAN GOING OUT OF BUSINESS with nothing to show for it, the LESS VIABLE COMPETITORS GET ACQUIRED by the more viable ones. If you are a leading player in this sort of viciously competitive business, it can be worth a few billion dollars to you to get rid of a competitor: With less competition, maybe you can charge a bit more to deliver burritos and can REDUCE THE PAIN A LITTLE BIT.If you believe this model ... then 1 + 1 = 3, water flows uphill, you can be your own grandfather, anything is possible. It is a PERPETUAL-MOTION MACHINE OF IMPLAUSIBLE CONSEQUENCES.You can LOSE MONEY EVERY STEP OF THE WAY, AND NEVER CONVINCE ANYONE THAT YOU'LL EVER MAKE MONEY, AND STILL EXIT WITH MORE MONEY THAN YOU STARTED WITH. PRESENT PROFITABILITY DOESN'T MATTER, FUTURE PROFITABILITY DOESN'T MATTER, all that matters is harming the profitability of an even more lavishly funded money-losing competitor.That is: In the short term, it might be in your interest to acquire competitors and reduce the pain. But in the LONG TERM, WHEN YOU DO THAT, YOU ARE DEMONSTRATING THAT ""LOSE MONEY UNTIL WE GET ACQUIRED AT A PREMIUM"" IS A VIABLE BUSINESS MODEL, SO YOU'LL BE ENCOURAGING OTHER PEOPLE TO JUMP INTO THE SECTOR WITHOUT A PLAN TO MAKE MONEY, AND YOU'LL HAVE TO KEEP BUYING THEM.You CAN'T REALLY BELIEVE THE MODEL. Venture capitalists MIGHT SUBSIDIZE LOSSES for 10 years, but not for 100; EVENTUALLY there has to be some sort of endgame.Possibly the endgame is ""people come to their senses, the INDUSTRY CONSOLIDATES, and the REMAINING PLAYERS FIND A WAY TO MAKE MONEY."" Possibly the endgame is ""people come to their senses, ALL THESE COMPANIES SHUT DOWN, AND WE GO BACK TO PICKING UP OUR OWN BURRITOS."" Obviously if you're invested in the space you are telling the former story, not the latter.Uber Technologies is acquiring Postmates for about $2.65 billion in stock, combining two U.S. FOOD-DELIVERY services. Pretty much everyone takes the view, well, Uber Eats loses money, and Postmates loses money, but IF THEY COMBINE THEY'LL LOSE A LITTLE BIT LESS MONEY.This view is so much the CONSENSUS that I half-expected Uber's announcement to be like ""this acquisition will LESSEN COMPETITION IN THE SECTOR SO WE CAN STOP LOSING SO MUCH MONEY."" Obviously you can't SAY ""WE ARE DOING THIS DEAL TO REDUCE COMPETITION BECAUSE OUR BUSINESS IS NOT REALLY VIABLE,"" even if it's what everyone thinks.This made me want to get into the food delivery business. Postmates has raised about $900 million of venture capital and DOESN'T SEEM TO BE PROFITABLE, BUT A LOT OF PEOPLE MADE A LOT OF MONEY OFF OF IT ANYWAY. Maybe there's room for more of that. ===The big word and big question of course is, when is EVENTUALLY?$UBER $GRUB",0.9995
1692,Do not patronize this company.,0.1526
1693,HERE WE GOOOOO,-0.0171
1694,"I said here a year ago, Maloney is no material for tech CEO.",-0.0752
1695,Shut them down! Boycott any place that does business with them!,-0.6793
1696,not gonna happen huh u see that spike,0.1492
1697,Buy Puts.,0.1332
1698,Closing in on new highs. Told ya so,-0.1642
1699,$25 puts .. who else is coming with?,0.1361
1700,You can’t club this!,0.2132
1701,"Fees go up? Few weeks ago I was charged $2 delivery fee.Last night $2.99 plus I gave a $6 tip (20%). $9 in delivery fees for a $30 food order.I’ll pick it up next time, 3 miles away.",0.898
1702,Wtrh up 5% and rising. That dude was correct. Good thing Edith own Wtrh too. ha. Yeah! Now let's get Grub into green!,0.9338
1703,The Square (SQ) effect.,0.0489
1704,"Short this POS tomorrow. This is a Co.with an intolerant, divisive, liberal son of a b%^&ch CEO!This is going to 31-32 SOON and hopefully MUCH LOWER!",0.2455
1705,Is the P/E ratio really 867x? Is that the most recent does anyone know?,-0.3042
1706,"Investors are continuing to lighten up on high P/E stocks given rising interest rates.. However, the right results and guidance in the earnings report by Grub Hub will trump the interest-rate impact - and take this stock to $150/share before year end. Here's why I'm bullish: (1) Grub Hub has little debt and doesn't need to raise material debt in the foreseeable future (2) There is no recession in sight for 2019, so consumer spending will remain strong (3) The addressable market for food delivery is conservatively at least $100 billion in the US - to date, Grub Hub has penetrated barely 1% of this market so there is a long runway for growth. Grub Hub can easily grow revenue by 40-to-50% next year (the analyst consensus for 2019 revenue growth is ~30%). That doesn't mean you shouldn't hedge the near term with puts (I have puts protecting my long position). But the prospects for this company and the stock are bright through 2019 (I say ""2019"" because a possible recession showing up in 2020 could result in consumers cutting back on discretionary spending and creating a temporary hiccup during a recession and related bear market).",0.7605
1707,They got me. I thought too logically. The only way to make money is to think like a person who is trying to trick people. They tricked us good with this stock. Worst delivery company is worth 15x $grub even though they have the same sales numbers and profits.,0.8986
1708,if u continue to day dreaming in this stock u will lose all ur money 4 sure ...,0.2063
1709,"If you're long and don't have a stop loss, set one. This could tank very rapidly and bad news could come out over the weekend. Play it safe.",0.8233
1710,Watch for positive news over the three-day weekend. Next week should be VERY good.,0.8387
1711,P/E 300 on this. nice.,0.3762
