,Recent headlines and conversations for CMCSA,Polarity
1281,any comments about comcast being built on fraudulent billing and anti-competitive business practces,-0.4002
1282,Company has a long term focus very rare in corporate America.,0.4045
1283,"Megyn Kelly, like so much of her ilk, used her feminine influence to win men over as she grappled her way up the ladder, but once she got where she was going and could climb no higher, she's crying foul? Where was this fat mouthed (and behind) woman when she was trampling her honorable female counterparts who were passed over for promotion because Megyn and women like her were all to willing to bend over if it meant a career advancement? As far as Im concerned these allegations should have been made BEFORE she accepted the appointments and career opportunities that she so obviously did take.",0.9843
1284,I bought today. I realize its near a 52 week high but its still very expensive and should trade at $75 by years end.,0.4848
1285,"The CNBC idiots bring on a bigger bunch of idiots and they talk about the same thing everyday. If they have 20 people on, 20 people tell you one stupid thing after the other. It is time to cash them in along with Cramer. Start showing all their dumb ideas when they turn out incorrectly which is about 99% of the time. The only one I see that makes sense is Josh. He tells it like it is and he puts his money there. They should start allowing the regulars to buy stocks on their own as they will pay more attention to what they are doing. I still cannot believe how many people call each day and tell Cramer they love him because he made them so much money? Today they were talking about a great rebound when the Dow was plus 150? They are too stupid to remember the last 2 days when it was down 1000? As of now, the Dow has almost lost the ity bitty gain. P.S. I hate Comcast because I live in an over 55 community and we are forced to use them? The word is monopoly. I pay $130 a month for phone, internet, and TV. If I could get Fios, it would be $90, including taxes?",0.9593
1286,"This stock is like an elevator up huge one day and then down huge the next day. There is no positive or negative news for either swing. I guess the play is to day trade it, holding long term is just like treading water. Great earnings report and the stock got crushed the very next day.",0.9704
1287,Buying FOX is like buying pure garbage thatis not recyclable,0.5446
1288,This stock has done nothing back go down for the past 10 days...,0.1872
1289,It looks like sellers gave everyone an opportunity to buy shares yesterday.,0.8129
1290,"Just buy put away ,it'll be over $50 before end of year, too many large buyers starting to but, watch the trading, as they let shorts and retail sell , then professional buyers steeping in to buy, pull away as it shorts then buy again Simple ""watch""",0.8703
1291,That green was a tease..Just to make fun of the stock..,0.5413
1292,How will pps be affected by the Sky bid? Thoughts?,0.4308
1293,"Good catch William. Here is a link showing the link between comcast and china. Now we see why TCM gets dropped, we get charged a sports fee for no live sports. All so comcast can get into china, where almost certainly the Chinese government will control it, and limit any profits comcast might make.https://www.forbes.com/sites/greatspeculations/2014/10/24/comcast-to-build-a-3-3-billion-theme-park-in-beijing/#74c1b3c27564",0.8232
1294,Looks like we will be in this trading range between $35-38 for a while.,0.4787
1295,"Trumps doctor said he is overweight. And we all can see that. And the doctor was right to say that. Its for his own benefit.Will Hillarys doctor tell her that she is obese ?Since we can all see that she looks like Jabba the Hut, from Star Wars.",-0.103
1296,"Comcast (CMCSA) has been moving down over the past several weeks and is down sharply for the YTD. From a technical perspective, the stock looks oversold and due for a rebound that may already have started as the stock bounced off the 30.50 level. This setup would be made more certain if there were more confirming signs, such as a double-bottom, The stock has come down toward a long-term trading support level, ie. a level at which the stock traded for a long period of time in the past. The 'theory' behind that support level is simple: there were many investors in the stock (any stock with a similar chart), who had bought and then sold during that period only to later see the stock move up from the 20s to low 30s range to over 40. The reasons for having sold during that period may have been similar to now: the 'utility' stock had run out of growth in its core cable broadband service platform and investors were uncertain about spending tens of billions on media companies or decisions of regulators. Despite a relatively stable performance record, the company lacked 'internal engines of growth'. Blah, blah, blah: that is to say that the picture looks much the same today. There are real threats over the horizon. 5G wireless will become capable of up to gigabit speeds. Even though delivering that on a consistent basis makes the grand vision of the wireless industry a challenging pursuit, the technology and huge amount of spectrum that has been plopped into MNOs laps allow the BORG Empire (mobile wireless) to go on a multi-year quest to embrace and extend their marketshare to include assimilation of home broadband and become the media pipe for both premium plans and OTT content delivery. If it sounds scary for Comcast, then you have it right... it should keep Comcast execs up at night figuring out how to unwire their brains, er HFC network. (or, rather, create the hybrid Fiber-cable+5G wireless metro-scale networks that combine with nationwide MVNO service from Verizon.The CMCSA chart looks like this is a level to accumulate for longer-term bounce back toward the mean. There will remain a lot of things for shareholders to be worried about in coming years but the multiples and the stock price are at lows, leading the down-trend likely to reverse IMO.",0.991
1297,Oh NO.....looks like bidding war shaping up......comcast is going to have to bid more and more if they really want sky and its old antiquated technology....... pathetic,0.2577
1298,Mike let me see a little smile.,0.5692
1299,Definite cat & witch handle forming ..Pauline ,0.1457
1300,"Finally Comcast fixed the audio on the Sundance Channel. And tonight, april 15, around 8pm, I'm watching Star trek Next gen, and the BBC channel now has audio problems. Sound good for 5 to 9 seconds, then silence, then another brief silence, then good for a bit. Over and over and over.Comcast is either cutting power to save money, or they have an bad employee, or they have a quality engineer who is useless and worthless. Comcast, look at my last post, and this post, and give a lie detector test whoever is controlling or monitoring signals. And terminate them. Every time it happens, I feel like applying for a comcast job, and finding the person who is doing it, or ordering it to be done, myself. cripes, we're all shut down with the virus, and comcast can't even help us through these bad times .",-0.7576
1301,CMCSA is down 6.36% to 32.19,-0.2462
1302,"Damn, this stock stinks..",-0.2173
1303,Strong Day,0.5382
1304,"Mike, party over we are RED we both saw this coming",0.3143
1305,NBC Fake News is a bias liberal joke. Trump is correct your reporters are all liberal brain-washed Bias angry reporters. I think they should travel with security since many Americans are sick of you nasty bias reporting. You idiots just don't get it. I Remember your lying Brian Williams caught in a lies and how you gave lying Obama a free pass after lying so much I lost count. Your a joke and I am working at boycott that will get advertising pulled from your network. The pen is mightier than the sword. Keep bias reporting see where it gets you losers. Could be why Fox News is #1 and your not.,-0.9509
1306,The federal reserve is now buying everything except junk bonds and stocks but that will be coming soon America is headed towards a debt bomb.,-0.8555
1307,Does your Spectrum internet service slow to a crawl when you miss a payment? I notice about a week after bill was due it slows down so much movies keep getting interupted.Is that fair as they charge a late fee and full service charge for month including when they slow service down? pls pay attention,0.8627
1308,rare to buy iconic gem at this low price. could be $50 now,0.4212
1309,"Maxine says its ok to kick Sarah off the bus. I thought Maxine wanted equal rights for all ? How much money does comast donate to this bigots campaign, and others like her ? This isn't diversity.",0.7353
1310,"Universal CEO was very arrogant with his comment. Does he think after this stat a home is over people will rent $20 for movies to watch at home. Not all family have 75 inch screen with state of the art sound system. And lets see with sports, outdoor, movie theaters, shopping and travel don’t see how next release will make money like Trolls. And without amc no more blockbuster.",0.9429
1311,"Mike, Thank God I own Chewys stock if I run out of money and food I can order from them and it is delivered in a day my dog won't let me eat her chicken, she is to nasty, Akita",0.8796
1312,CMCSA is a leader in 5G development and they will be rewarded once this CV madness is over and companies big and small will migrate to the 5G backbone,0.7927
1313,You legal analyst needs disbarred for comments made on NBC,0.3184
1314,The question is how much do we give back today?,-0.0484
1315,"Knee jerk reactions, hope it will be back as it was one day before.",0.3522
1316,Just jumped back in,0.125
1317,I'm in!!! Layeth the smackdown on candya** donnie dump!!!,-0.5963
1318,"Yesterday, Obama told Trump to be careful with classified information.Yet the person he should have told, Hillary, he said nothing to.The FBI told us Hillary was careless with classified information.Why in the world would they continue to give her more information ?",0.3762
1319,Mist it,0.0086
1320,44 is right there,0.0899
1321,"Comcast tells us they are going to be spending 100 million on various Black programs.Comcast has been fighting the wall, and fighting to bring in millions of low cost workers.This DIRECTLY IMPACTS PAY FOR THEIR LOWER WAGE EARNERS, many of which are Black. When they invented the word hypocrit, it was for a company like comcast, and verizon. Your investment in comcast says you are alright with flooding the country with workers to help keep people already here from earning a decent wage. Comcast is part of the problem and so are you. and how about the Supreme Court which is helping DACA people stay, and helping to keep wages low for people who were born here",0.933
1322,"If you think the TPP is bad, look at the TiSA. Its going to control most of the trade in the world. The US doesn't want an appealmechanism. So if the appointed (not elected) judges make a ruling, there is no way to appeal. Even the EU had an appealmechanism. These unelected judges can make almost any affect on social issues, environment issues, cultural and economicissues. These judges will be like dictators, and can change a country, or inflict it with some serious economic damage.These deals are all part of the one world society. I don't want a TiSA judge panel saying we can't celebrate Thanksgiving anymore.We need trade deals that regulate trade. Not deals that subvert our government. Thank you wiki.",0.647
1323,"My coworker just received his layoff notice from Universal Hollywood . Will be a long time before we see theme parks open, especially in California.",0.3402
1324,Comcast ruined a beautiful day.,0.2438
1325,"Joe,You may be right about closing at $40 or above..Hope so",-0.1752
1326,CMCSA could buy Sprint; the leader in 5G spectrum for 30B and be the biggest cable /telco in the world!,0.8807
1327,If stock closes green..I'm going to NYC tonight and have me a filet mignon..If it closes red..I'll be having Franks & Beans..,0.007
1328,"Why the slaughter today when we had such great earnings yesterday? Oh well, this puppy will be in 40 land by next month!",0.7774
1329,when this thing moves it really moves,0.0987
1330,Green..Won't last,0.034
1331,bawahaha commie cable news sinking non binary millennial investments into the toilet,-0.3492
1332,"Joe, Happy Birthday..Hope it last..",0.8191
1333,its not the news but how a stock reacts to the news - Charter had a great reaction,0.8568
1334,"Mike, Are you still with me Brother or are you holding your heart right now. Watch it FLY.",0.8721
1335,Want to lose money in the market? Vote for Joe.,0.5142
1336,"This selling is creating a good time to add or get in . I’m keeping my eyes on the prize and that is down the for a couple year drive, good luck longs",0.9333
1337,CMCSA reached a 52 Week high at 41.75,0.3561
1338,Anyone wanna c new company rising Luna ..!!,0.6947
1339,why the **** is this stock going down since great earning reports???it makes no sense,0.5337
1340,Can Comcast buy Fox’s regional sports that Disney needs to divest?,0.0043
1341,Lets go.....buy long stay strong!!,0.7808
1342,"Continue to subjugate the meek with your occult mechanisms and practitioners of witchcraft. They like to criticize people for being "" black "" when they are averse to interacting with people into the occult, but they have no problem leveling black magic or witchcraft against them in return.",-0.794
1343,Still couldn't hold it's high..,0.046
1344,LOL! At Joy blowhard going into a total liberal meltdown. I thought she was moving out of the country with will Whoopi Goldberg if Trump won.https://m.youtube.com/watch?v=UtJvYdX4GKM,0.9072
1345,Comcast too much debt load cable cutting new movies postpone Parks postponed football postponed Olympics postponed baseball postponed soccer postponed Comcast $25 bye,-0.7971
1346,"Joe, you still with us?",0.6648
1347,Will close under 30/share tomorrow,-0.2154
1348,Hey spineless Senator Chuck Schumer when Incompetent Obama and John Kerry did the Iran deal you where on CNN and NBC TV saying you did not like it and where against it. Chuck now your a hypocrite after President Trump cancelled Iran deal you love it. Your the reason voters like me don’t trust politicians and why we need term limits. I will never vote for a spineless two faced person like you. Your a liberal democrat joke.,0.9601
1349,looks like the death spiral continues......Disney will have to bid for sky if the want fox......maybe comcast can get it all....fox and sky.......wow..that would be a lot of debt but at least they could finally shut-up Hannity and his ilk,0.0855
1350,"I'm bout to sell at a loss, if they don't change how the media wants USA to die",-0.3188
1351,Would enjoy seeing $50 before 1st qtr er,0.7874
1352,"Forbes is saying the public is against tariffs. Yet Forbes doesn't bother to note that every country we have deficit trade with imposes tariffs and other methods to keep our products from being imported by them. Then you look at Forbes, and you see that they are half owned by an Asian investor group. Are you getting the picture ? Are you waking up ?",0.6167
1353,Goldman PT is $54,-0.231
1354,Thought about your phone service but do not know if I can depend on having Xfinity with all the pricing games y'all play. Do not want to commit to a greedy Corporate America company.,0.7014
1355,"BBC is now experiencing audio problems during their Dr No broadcast just after 3 pm . Comcast, BBC and Sundance are from the same company. You should ask for a refund of what you pay AMCX. if you figure half the cost is for audio, then you should demand a 25% refund, since you aren't getting the audio about half the time. And you should refund part to us of what you are paying to AMCX, because they aren't delivering.",0.7413
1356,fn pos,0.0
1357,Barron's likes Comcast....,0.4215
1358,Trump and Biden will not fix anything the election is a smoke screen.,-0.1281
1359,Mike we can forget about today and probably tomorrow,0.2059
1360,We're getting there. Soon above 40! Woo!!!,0.792
1361,"Joe, I maybe eating dog food tonight..",0.6671
1362,how much does the CEO of this company,0.2697
1363,MSNBC IS VERY CORRUPT NEWS THE ANTI GOD ANTI POLICE NEWS!! OUR FINE PRESIDENT IS BEING CHEATED!! SIDNEY POWELL ON LOU DOBBS SAID AT LEAST 3% OF THE VOTE WAS TAKEN FROM TRUMP!! COMPUTER FRAUD IN MANY KEY STATES PLUS THE HAMMER AND SCORECARD PROGRAM!! YOU ARE A VERY EVIL GODLESS NETWORK TO BACK RIGGING THE ELECTION!! CAN CLEAN AND COMEBACK TO CHRIST OUR LORD!,-0.9318
1364,"Hey Comcast, please have a word with the Golf Channel. The liberal douches who run it are trying to create controversy by saying some female layers would like to say things about playing at Bedminster, but don't want to get fined. Politics in sports is killing the NFL, and if it starts getting into the LPGA, then innocent players like Stacy Lewis, and many others, who long for equal pay, will never get it. And I'll stop watching the golf channel , and demand Comcast take it off my list.",0.8544
1365,Ouch. aTT deal approves kills Comcast short term now they will try to over pay for Fox,-0.8156
1366,CMCSA reached a 52 Week low at 35.58,-0.1464
1367,"Donald Trump said Hillary Clinton didn’t lose the election because of the F.B.I. probe into her emails, but because she neglected crucial states during her campaign and showed “no enthusiasm.”In a series of tweets Friday morning, the president-elect railed against the fake dossier claiming the Russian government is blackmailing him, the F.B.I. probe into Hillary Clinton’s emails and the Affordable Care Act.President-elect Donald Trump answers journalists' questions during a press conference on January 11, 2017 in New York. (DON EMMERT/AFP/Getty Images)(Photo: DON EMMERT/AFP/Getty Images)First he tweeted about his cabinet selections.“All of my Cabinet nominee are looking good and doing a great job. I want them to be themselves and express their own thoughts, not mine!” (RELATED: A Comprehensive List Of Everyone Donald Trump Has Appointed To His Cabinet So Far)Read more: http://dailycaller.com/2017/01/13/trump-clinton-lost-because-she-campaigned-in-wrong-states-had-no-enthusiasm/#ixzz4VgDZ6jML",0.924
1368,"Now, lets not count our chickens yet..The day has just begun..",0.2959
1369,"Democrats and liberal media Fake news beside themselves—Duped, dumb, or just dishonest?https://townhall.com/tipsheet/mattvespa/2019/02/12/shove-it-democrats-senate-intelligence-committee-finds-no-direct-evidence-of-trumprussia-collusion-n2541224Mueller “Witch-Hunt” striking out—“Big waste of time and money”—Senate Intel",-0.7521
1370,"Any one watching NFL or the NBA today.....if you are, you are supporting America haters and enemies.News Flash: YOU ARE NOT AN AMERICAN.BoycottNFL&NBA now.",0.7453
1371,If sky bid dropped shares are $40 in a NY minute. If sky bid goes through shares go up too as shares are now priced for recession.,0.8802
1372,CMCSA is one of my favorite dividend growth stocks. I talk about dividend growth stocks on my youtube channel. The channel is really focused on new and beginner investors looking to invest in dividend growth stocks and ETFs. https://www.youtube.com/channel/UCrg6IDPf4a7pUKTN90n6syg=,0.9566
1373,Mike we did have the surge and the last 2 minutes it dropped,0.2454
1374,"Wow. Great earning and fizzle out, very familiar in today's wacked market.",0.8435
1375,"blm has targeted amazon and starbucks. thats what bad groups do to those who help. they betray them.no doubt we'll see them target comcast, and all those glass windows in Philly, and maybe get a few hundred nice cable boxes. maybe don't let them leave the building after a long day of work. you fund violence, and you should pay for it.",0.0047
1376,Looking to buy this tomorrow at $30 or below.,-0.0758
1377,CMCSA is up 5.09% to 36.72,0.1818
1378,"Narcisstic Trump calls Comcast, ""Con Cast""",-0.0034
1379,so many people distracted by the media on both sides its the Titanic boys and both parties just shuffle the chairs each election,-0.0731
1380,"Do you really believe in social injustice ? I do. Why is it fair that many people work for 7.25 an hour, yet Oprah is worth 2.8 billion, Lebron James 440 million, Obama 40 million, and Gayle King 20 million. That is social injustice.",-0.6107
1381,"Its good to see the President pull the plug on the California Bullet Train. With ludicrous ridership estimates, costs soaring, and completion after 2033, the Federal money is better spent on other things. O, do you like to see the homeless and hungry go without heat and food, while Californians can go from San Fran to LA in 3 hours ? I hope not. By the way, there are only 291 flights per Week between the 2 cities. There would never be enough riders to even pay off the debt interest. I'm for going green. But I'm not for stupidity, and helping officials on the left reward the people who donated to them. How long will it take for 1 million passengers a year, assuming everyone flying now takes that train, to pay off 10.6 billion, plus daily costs, and debt ? Incorrect. It will never pay off the debt and interest. NEVER.",0.9634
1382,"Apparently the two tone obnoxious artificial background noise during ESPN football games has been going on for 6 years.How much will comcast be held responsible for, when a humongous class action lawsuit will be filed against ESPN and CMCSA for subjecting us to unwanted noise, and the resulting high blood pressure and induced anger.http://forum.saiga-12.com/index.php?/topic/91113-weird-electronic-noise-on-football-tv-broadcasts/",-0.6579
1383,CMCSA is down 5.83% to 32.62,-0.2462
1384,"Hillary ads showing up in Pennsylvania about every 15 minutes. Using money from Saudi, China, and Soros.So if elected, she'll be subservient to every whim they have. Like she has been for years.",0.7805
1385,"Have you seen the weather channel recently. Every day they say , No its not wild fires, its climate change fires.They neglect to talk about having too many people, drilling too many wells, taking too much moisture out, and forcing too much rain water into creeks and rivers, and not funding needed forest fire prevention and harvesting, that would drastically cut down on the number and size of fires.The channel sends dozens of people to hurricanes. Recently Mike Seidel warned us that the fallen leaves of a hurricane can make a road slippery. One time he showed us a snow hill from plows on a parking lot. Cantore was on top of it, with exciting video of a casino parking lot, after the water drained out. And today, Abrams informed us that if you receive direct sunlight, you warm up, and so does the temperature. wow. I never knew that. you guys are soooo smart. If the channel really cared about the environment, they'd stop sending people to storms, and use local coverage. if they really cared. Now you might say they take commercial flights. So. Their added weight uses more jet fuel. Don't go, or take a train, like AOC wants to do. Stop the climate mongering. me, and millions others stopped watching the NFL, and NBA, with their mongering, and it wont take much to turn you out. You stop warming the planet, then maybe you are qualified to make your point of view. And comcast has the tv modems that are hot to the touch. if comcast cared, they'd order modems that don't waste electricity. You've got a lot of nerve comcast. but if you can bait people into packages, then take away the 2 best channels, and then take away internet security, during high unemployment and a pandemic, then perhaps you'd sell out your mom too, if it pushed profits up, to make rich people even richer. .",0.9907
1386,CMCSA is down 5.55% to 36.10,-0.2462
1387,The Federal Reserve is printing more money now then during the financial crisis 2009.,-0.6415
1388,"Mike, we are going green we can't have you eat dog food two days in a row.",0.1892
1389,"How about equal rights for women. Seems fair and reasonable. And how about equal rights for female athletes ?Well yeah. The US soccer team, playing against Thailand, proved female athletes can be just as classless as male athletes when scorers counted goals on their hands, and celebrated each of their 13 goals like they were 4 year old girls in pre school.",0.9488
1390,Believe the recent news of the Thanksgiving Parade being exclusively broadcasted on NBC will cause some excitement in the next coming weeks due to the potential massive increase in ratings. Believe it is currently undervalued as it is. Expect it to pass it's all time high within the coming months,0.9014
1391,"The Mayor of Phladelphia wants to have different gun regulations than the STate.Truth, THEY ALREADY DO. Truth, THEY WANT TO LET PEOPLE OUT WITHOUT POSTING BAIL.Truth. If PHILLY locked bad people up, murders by gun would drop tommorrow.Truth, the virus killed 1,844 people in Philly. many of them nurisng home patients deliberately infected by the gov. Truth, only 300 people have been murderred, mainly due to not enforcing the death penalty.Truth. Liberals are willing to send covid patients to infect elderly in nursing homes, and they let monsters back on the street. Truth, the left will sacrifice as many people as they need, to change to socialism.This country isnt perfect, and will never be, but the hate, the lies, the violence , the deaths all come from the left.",-0.9491
1392,most stocks are still down considerably look at the value line index it measures 5000 stocks,-0.2527
1393,"This company is basically BANKRUPT! Look at the balance sheet. No cash. All debt. Negative tangible book value. Seriously, the financial fundamentals are putrid.",-0.8983
1394,"Move over Washington monument, Lincoln and Jefferson memorials, and all other historic sights in Washington. Here's the new Tronald Dump memorial that will grace the D.C. area.",-0.0741
1395,.Hillary for prison Her lost emails will prove she was responsible for 4 Americans killed in Benghzi,-0.7933
1396,Nice article on seeking alpha just Confirms this is a good investment ￼￼,0.8819
1397,con cast is starting to look attractive..,-0.0632
1398,"1. There are Millions upon Millions of households who would rather live without out food and medicine, rather than have their cable and internet shut off.2. Their are millions upon millions of SMB's that could never find a faster cheaper more reliable internet connection. 3. NBC/UNIV will be back with a vengeance. 4. VZ Mobile re-sale, SKY, Peacock,.....Olympics.....This is a buy and hold forever!",0.8337
1399,"Mike, I am still here everything is good. I have to mute all of these annoying people.",0.2329
1400,"I'm watching the sixers tonight, and they may be better without Embiid, than with him.Anyway, during half time, the Billionaire hypocrite Bloomberg has 2 ads to say he wants the Senate to impeach the President.I appeal to the FEC to not allow him to consider that a political ad, since he is not using it to advance his cause, but to hurt another politician. I appeal to the FEC to force comcast to run equal time ads for conservatives for every Bloomberg impeachment ad. And I want the sixers advertisers to know I didn't watch the 2nd half. If we took bloombergs 60 billion, we would have almost 1,000 for every American family.",0.8626
1401,"York County Pennsylvania has a population of 69,000. Currently, 20 people a day are getting the virus. Many of them in nursing homes. Yet tyrant Tom Wolf sends storm troopers to keep diners closed. But his plumbing business continues to do business. There is a great benefit from this. We all see how socialism will be in the future, and it should be scaring anyone with half a brain.",0.9229
1402,What tf does it take to get this turd off the ground. I bought some. It went down. Bought more. It went down. Bought more. It went down. Bought more. It went down. I’m out of free cash.... have not made a penny off this stock. *%@!+ go upward!,-0.1669
1403,Think I’ll sell...,0.0279
1404,"When there has been numerous reports of fraud in online voting for small areas, the press keeps asking why it wont work for the nation. Over and over, they ask, why do you think its flawed. Yet the evidence is there. And now, the game plan for democrats is if they lose the election, they will claim voter fraud. After pushing mail in voting, they plan on using it as the excuse for them having candidates and policies that stink. Roberts has been updated on the plan. No doubt Comcast is preparing free emergency commercials to rile up the militant left after the election.",-0.8536
1405,Anyone's guess what tomorrow is going to look like.,0.4328
1406,"Usanews reports over 18 million cases of voter fraud. And 2 million of them are for dead people.If the views of the left are so good, why do they have to lie and cheat to get votes ?",-0.8863
1407,CMCSA is up 5.95% to 34.35,0.1818
1408,"Congratulations for comcast reimbursing customers who were bilked for sports fees for months.when no live games were played, and only re broadcasts of games, some of them decades ago. comcast should not have had to pay for these fees, if indeed they are being charged, and its not a bogus made up fee. Sadly, Comcast should have stopped paying the fee, and charging us, the day the new sports events stopped. Maybe comcast can look into not only getting their/our money back, but look into collecting penalty payments, perhaps treble damages from these sports sources that were collecting all along, and not delivering what they had agreed to. No, its not their fault sports wasn't available, but they should have stopped billing comcast immediately. Anyway, comcast is doing the right thing, so you wonder if they wanted to reimburse us when they got money back, or a judge ordered them to.",-0.4816
1409,Value trap at work.,0.0271
1410,"Hey FCC. I believe you guys periodically review rate increases for cable companies. Comcast recently had some modestrate increases, in terms of money. But I believe you should consider the extra commercials that have been added to much of its programming It started with adding 8 minutes to half hour sitcoms. Now they have 3 hour movies, that used to take 2 hours. With all that extra revenue, THEY SHOULD BE PAYING US TO WATCH. Please consider commercial limits, because Comcast is ruining the tv experience for many people. and when they buy other cable companies, many more people will also suffer. I do encourage you to attract competitors to Comcast. They are boinking us.",0.9738
1411,"Folks remember the host of celebrities that said they would ""pack their bags” if Trump won. Now Trump supporters are urging them to move out and keep their promise.Celebrities including Miley Cyrus, Cher, Whoopi Goldberg, Jon Stewart and Samuel L Jackson to name a few are already being bombarded with tweets insisting they fulfil their promises. I bet none of the above will move out of the USA. They are just a bunch of big mouth cry baby liberals who lost and thank God Trump won or we would get 4 more years of Obama lies and utter failure like his Obamacare and record National Debt of $19.4 Trillion under his 8 years of record deficit spending and pathetic GDP under 3% seven straight years.",0.9601
1412,How about all the corruption in Government and Federal Reserve.,-0.4296
1413,So many free streaming services. Why do you need to pay for cable?,0.418
1414,another boring reaction to earnings will need higher market to move up,0.0699
1415,disney is going to end up buying universal studios if they dont watch their debt to spending ratio,0.1201
1416,5G will be the end for cable. Buy ATT now while you can still afford it and get a 6% dividend to boot!,0.6998
1417,Per @waltBTIG Q1 Post-paid phone net additions$TMUS +656k$CHTR +176k$CMCSA +170k$VZ -44k$T -55k$S -189k,0.1632
1418,"lack lives matters paid protestors now changing tactics, and using more aggressive language to get arrested, in order to getarrested, and earn a bonus from convicted felon Soros.Only now they are threatening Officers lives, and the lives of their families.How much does Comcast contribute to this band of paid thugs ?",-0.4727
1419,"Houston knew about Harvey for days. Why in the world didn't they draw down Lake Conroe before the storm hit ?Note that this Texas dam is intact. While the California dam failed. This is why you need to take care of us, before you start bringing in millions of other people to spend money on.",0.8741
1420,MSNBC NEWS IS CORRUPT AND A DISGRACE!! GOD IS WATCHING REPENT OR SOMEDAY FACE THE FIRES OF HELL! LOOK AT THE SMOKE FROM 9/11 IN THE TWIN TOWERS AND SEE THE FACE OF SATAN! NO MATTER WHERE THE NEWS TAKES US BE FAIR!!,-0.9718
1421,I am so glad Comcast to an early position in Peloton. Their interactive system opens them up to all kinds of selling and additional revenue streams. While you are using it you are a captive audience.Very very smart.,0.862
1422,do not get distracted by liberals or both parties the elephant in the room can not be fixed.,0.2808
1423,"$39, and change around the corner",-0.1669
1424,"151,000 jobs were created last month.Approximately 200,000 people came across the border.Therefore another 49,000 inner City Blacks will have lost their jobs to immigrants.And its happening month after month after month.Why do some people in our country encourage immigration, when we alreadydon't have enough jobs for our own citizens ?",0.8525
1425,IMPRESSIVE she finely admits she cheated and lied. CNN had to fire her. When will they clean house on the rest of bias liberal liars?http://www.dailystormer.com/unruly-negroid-donna-brazile-finally-admits-to-forwarding-cnn-questions-to-hillary/,0.8484
1426,Fake News CBS - I bet you will not cover this real story on your bias liberal Fake news network-  Vegas shooting victim stands for the president of the United States out of-respect. Something you lack at your bias liberal Fake News network. https://100percentfedup.com/watch-victim-las-vegas-killer-gets-visit-melania-president-trump-hospitalwhat-said-melania-told-not-stand-injured-leg-going-viral/,-0.733
1427,CNBC down in my area,0.0595
1428,"NBC News why don't you investigate Congresswoman Nancy Pelosi, one of biggest lying hypocrites in Congress. She is the women who said you have to pass Obamacare bill before you can read it. And Obamacare turned out to be a disaster for millions of Americans like me. Pelosi also told a fellow black congressman at rally in February 2017 to lie and say he is a Muslim. I cannot stand liars and hypocrites. Here are some more facts on you I found out.According to the Center for Responsive Politics, in San Francisco your are the ninth wealthiest member of Congress and have a colossal net worth of $196,299,990. To quote Herself during a recent speech about economic inequality: ""Something is wrong with this picture."" Dec 29, 2011. Nancy Pelosi Vacations proves she is not part of the 99% and I would like to see her tax returns to see how she became so filthy rich .I also wonder if she uses illegal aliens to pick her grapes on her California wine property or cut the grass and maintain the property at her large estate and home? Nancy Pelosi as a Roman Catholic needs to protect the unborn child from baby killing abortion but does not. Also she looked foolish on camera at the State of the Union excellent speech that President Trump made. Stop looking foolish, stop lying, stop being a hypocrite or you won't get reelected as dogcatcher. She is up there in age needs to start enjoying her millions before she drops over dead.",0.3609
1429,"I keep getting ""Xfinity page not responding. Would you like to recover web page ?"", over and over when I am looking at my Comcast email.And whenever you go to the log in page, the page shows for a split second, then disappears, the reappears again. Like its going to a rogue server. With all the money Comcast gets, these systems should always be working.",0.8243
1430,not good...looks like new 52 week low soon......,0.2703
1431,CMCSA is breaking out. Sum of the parts way undervalued!,-0.1916
1432,"They are looking to finance the acquisition of Fox with all cash, they must be pretty undervalued if they are not including some sort of stock component for a fee of 62 billion. It would make it the largest cash acquisition ever",0.8662
1433,"Bernie and Kamala like the Cuban form of government, but most working Cubans earn $20 to $70 a month (on top of free education, health care, food and shelter allowances). If you need more money, prostitution remains one of a very few viable options, and Cubans will admit it is commonplace. No wonder Kamala wants to legalize prostitution in the US.",0.9457
1434,Ok CNBC Are you editing kernan interview?,0.6204
1435,If the DOJ is trying to block ATT what is Comcast thinking trying to get SKY or FOX?? They never should have been allowed to get NBC if ATT is getting so much push back from Time Warner.......,0.735
1436,"Saudi Arabia and many other nations banded together, and are trying to put pressure on Qatar to oust their bad people.Yet Bloomberg, apparently a lover of Iran, like Kerry and Obama, ran a story bragging about shipping cows there. Like maybe Bloomberg is proud to tell us how people are trying to help the people who explode nail bombs in 8 year old girls faces.",0.9561
1437,Should be $39 soon..,0.0653
1438,Boycott Commucast,-0.3182
1439,Down -4.8%,-0.242
1440,DROP DEAD CRAMER OF NATURAL CAUSES!! CONTINUE BASHING FOOD STOCKS!! A SCHILL IMO 4 GS!! JON STEWART EXPOSED U AS FOOL! CNBC IS A JOKE FOR HIRING YOU. SOLD THEIR SOUL TO THE DEVIL FOR A BUFFOON 4 RATINGS. KEEP PLUGGING YOUR WORTHLESS BOOKS!!,-0.9077
1441,"I'm glad we got a heads up about football players disrespecting those who served. I have time to find alternatives to comcasts sports fee, and frankly no longer have any desire to watch games played by people who stand for rioters rather than stand for those who gave their life. besides, if the nfl ends, we no longer have multi millionaire athletes and we are closer to equal pay for all, which is what these people allegedly want. under socialism, athletes get free meals, a small apartment, and plenty of performance enhancing drugs, but none of them are wealthy. None of them.",0.9096
