,Recent headlines and conversations for PG,Polarity
1563,Will this go back down? and how far?,-0.2347
1564,74$ !!!!!! Hopefully this will continue. Hopefully PG MIS-management is reading this board!!!,0.7901
1565,IF IT DOES WONT GO TOO HIGH,-0.18
1566,PG products are pretty much made locally around the globe. No worry about tariff..PG continues to move up. (cheaper than Costco..),-0.0016
1567,"takes two years of cutting unpeforming assets, now PG is ready to grow like P&G",0.6642
1568,"Unfortunately those that professed to being upset over PG's ""We Believe"" ad are mostly long gone, onto their next troll target.I'd be interested in what they, and others, think of a petition that is circulating to have PG cancel its stadium naming rights contract with the Patriots based on Kraft's legal issues. The current contract is valid through the 2031 season. Who knows how effective having Gillette's name on the stadium etc. is, but I'm thinking given how GREAT the PATS have been for the many years they have played at Gillette, that PG got a decent deal. Think how many times Gillette stadium is on television compared to less competitive teams. Lots of exposure. On the flip side, I imagine if PG bailed, Kraft would be able to command MORE dollars for the naming rights for the next 12 years (unintended consequence of the petition LOFL!).https://www.cincinnati.com/story/money/2019/03/05/should-gillette-take-its-name-off-bob-krafts-stadium/3070723002/",0.9763
1569,Why is this down again when the market is rebounding?,0.1072
1570,"Just added PG to my list of companies I will never buy from the rest of my life, along with Nike, and Ben and Jerks ice cream. Too bad, I'll start buying my razors from the dollar store from now on. I refuse to support liberals...",0.8648
1571,I should of jumped into this 100 years ago....,0.0706
1572,87.40 at close,-0.0793
1573,So do people/investment companies tend to sell shares of PG when the market goes up so they can buy shares elsewhere? Really been noticing an inverse trend here between PG and the market.,0.7017
1574,Peltz has a nose for this type of thing. He smells blood in the water here.,-0.3594
1575,PG with a PE of 27 compared to a company such as Pepsi with a PE of 15.,0.5935
1576,Want the best trade tips? Just Goooogle ULTIMATSTOKCALERTS .,0.7144
1577,"This run is heading to 140.. ( after split, it will be 75)",0.2372
1578,So when is Peltz going to kick the PG BOD bozos in the rear to get them to move off the dime.,0.6435
1579,WHAT A COMEBACK!,0.335
1580,Bye bye PG. I really liked your razors too,0.1045
1581,this pig should blast to 84 after earnings,0.1832
1582,higher and higher interest rates but lower and lower quarterly earnings is going to knock PG down to where it belongs. Low $70s levels.,-0.7235
1583,Obviously pg will be back up just like any company of this quality in consumer goods but it could easily go down to main support at $126/share.,0.7651
1584,"Thinking about buying, but then again go woke go broke :-)",0.0306
1585,"Ok so this is such a huge problem that P&G needs to address it, they just can't help themselves but take the moral high ground. Will they be addressing the federal deficit? war? the opioid crisis? anything else? anything?",-0.9445
1586,When will be the DIVIDEND announcement?,0.3387
1587,Procter & Gamble is down 7.76% to 102.93,-0.1915
1588,"At least with tariffs, PG has a new excuse to justify another year of under performance.",0.1572
1589,"It's the old Bear, Bull. Pig cliché: Peltz made a bundle and is getting out. That doesn't mean the fundamentals for PG have changed any. Tide and Downey still are big sellers. Maybe 160 by 12/31/2021",-0.0927
1590,$PG is testing the bottom 100 day ma. Time to buy in even more.,-0.2132
1591,Well someone with big money thinks this is going north of $80. 20k order for jan 2019 options filled today. That is a 4.5 million dollar investment that will only be profitable above $80 a share in january,0.956
1592,"Biggest analyst calls of the day: Procter & Gamble, Tesla, AutoZone & more https://www.cnbc.com/2019/06/28/calls-of-the-day-procter-gamble-tesla-autozone-more.html?__source=iosappshare%7Ccom.apple.UIKit.activity.CopyToPasteboard",0.2709
1593,glad I got in at $70,0.4253
1594,UH OH...XLP selling off quietly now...COST at daily low.,-0.4427
1595,everytime that idiot Jester appears here bashing away it goes up !!! it's the same everywhere he goes....he's a great hedging 'tool' - just always do the opposite - no doubt the clown will be back here again shortly humiliating himself yet again...,-0.3889
1596,INTV smile....,0.0
1597,"guys, #$%$?",0.0
1598,this is one of my I don't worry about stocks though it is confusing as to why the price is down when it should be climbing but I think the next quarterly results will look really good and overall annual will continue to be a steady performer,0.9475
1599,Andrew... I'll be honest-I bought for earnings. we'll see what happens.,0.1294
1600,Will thr big mutual funds keep this horrid board and CEO employed or will they vote to get rid of them?,0.3106
1601,Trian selling?,-0.0296
1602,(PG) is dropping faster -->> target US$7.50 - US$25.00,-0.2147
1603,Amazing this stock continues it's negative beta action. Sooner or later it will get hammered. Generic branding from competition will prevail as consumers continue tightening their belts as with the restaurant indexes.,0.3213
1604,"if you have noticed, PG's last report was very positive ... just to cheat and attract more investors....eversince pg has reported its forth quarter, its been dropping like a rock. U guys please tell me... cnsidering corona virus (which has help pg tremendously for its cleaning products), plus a positive report, how ome every damn day its dropping ???!!!!!please get out of this garbage before it is too late.good luck 2 all",0.983
1605,The daily chart is indicating bull flag. I’m long!,0.5435
1606,Shall see 100,-0.0154
1607,$100 then stock split for the first time since the great recession.,0.5646
1608,Great buying opportunity !!!,0.8713
1609,Going to 77 by end of week!,0.0782
1610,Silence in the face of evil is itself evil. God will not hold us guiltless. Not to speak is to speak. Not to act is to act.,-0.8147
1611,Not agreeing with market action but the reason PG is down is because growth slowed from last qtr.,0.3997
1612,s week ago when I see PnG at $79 I would cry but today when I see it at $79 I laugh.,0.7143
1613,This is like watching paint dry.,0.2061
1614,Peltz has helped PG see the future which it is now embracing. Buy.,0.1868
1615,Is 123$ good to invest for a year expecting 138$ at the end of the period?,0.4479
1616,It is going to hit $140,-0.0144
1617,"Split! Split! One more split would make life super comfortable! It’s possible if it keeps holding near/over $100. Plus, we’re about due for a split",0.9633
1618,This is a beat down!!!!!! To lose Principal to get a Dividend. Is that a fair trade? Its almost as dumb as getting a 30 year Mortgage.,-0.3742
1619,"Well here comes earnings for the 57th time since 2004 and with Cramer say buy PG, probably for the 57th time as usual he changes his mind like he changes his you know what,PG is at a loss as usual last two days, and when they paid a decent dividend for the first time in many years guess what is coming, ya thats right they will make numbers, Moller will say were on the right track like he has for many years and PG will be down again. PG will go into 2019 as it has been Dog of Dow do not think it wont",0.9327
1620,When is the next dividend payable? Thanks,0.6159
1621,"All my razors went in the trash this morning as soon as I seen this stroke of brilliance, call me names and expect my business.......think again.",0.6339
1622,"Why aren't PG historical prices available? Any hint? I can download for any other tick but not PG, which only goes back to April",0.4792
1623,Red sea rising. The only wave Gillette will surf this quarter.,0.0875
1624,Target 112.00,-0.0748
1625,Crazy - you have to go back to 2013 to find a sustained period of share prices around $70. Results are not great but hardly merit a slide undoing 5 years of price gains!!,0.8144
1626,SELLING the RIPPS here today !do not trust markets !,0.5272
1627,"New cases of COVIS-19 could break out over weekend in places like Georgia, which could send sentiment back to safety, and plays like PG to hide out as comes clear sumemr is going to be a wash",0.8602
1628,Outstanding Performance!,0.7008
1629,"The street is going to punish P&G a bit to get them off their high horse, The street wanted Peltz on the board and are not going to cut P&G any slack. After a decade of being basically flat they want results not more talk about their great plan.",0.758
1630,"Risking Capital just to get a Dividend is not very smart. I sold at mid $93s....I go from P&G to Money Market Fund, I never lose Capital (MAYBE POTENTIAL) When P&G dwindles back to low 80s I trickle buy back in. I get lucky on $10 swings or more. Better than a measly Dividend. The last trade I made, I would have to have over a Million Dollars worth P&G Stock to have the Dividend pay what I made in P&Gs price swing. Buy and Hold, no thank you.",0.8732
1631,Breaking*** P&G releasing a robot assistant that will do laundry and with zero noise pollution****,0.0099
1632,Nelson Peltz strikes again!,-0.3961
1633,Harry's seems to be SJW feminist radicals too. I need to find a list. Be careful and do your research.,0.6529
1634,All the report shows PG beats on stock repurchasing.,0.3276
1635,I exit except profit part which turn out 125 stock. Not selling those for years.,0.6019
1636,"when the junk stock , like GameStop goes up, good company like PG kept falling. Why?",0.778
1637,why down so much is it mexico tariff?,-0.172
1638,"I took their Metamucil for years and ended up with osteoporosis. They deny the connection, but it removes the calcium from your body. They advertise it like crazy.",0.0147
1639,"Because PG is repurchase? Then of course the company want to buy back at a lower price. After, every share will get more equity, and the price bounces up.",0.6896
1640,83 by Friday!,0.155
1641,Its a toss up whether to hold or sell,-0.0506
1642,Up 30+% in 2019. Check out the beautiful annual chart...,0.8242
1643,We broke 96 if it holds here we could see a break out into the 100s,-0.4866
1644,market is crazy while this should be at all time highs they are buying oil stocks that losing as oil continues to fall perhaps it is because stupid machines running market.,-0.7773
1645,"Probably not a screaming buy at current high of range...but PAR is right around the corner. Guessing we'll hit $100 before $90 again, imho. GL longs, shorts and in-betweeners.",0.1386
1646,"We have to cut back, maybe sell some stock..not looking good",0.5277
1647,split already!,0.296
1648,"Snowcats ; where's you ""Dog of the DOW today?PG 92.41+1.05 (+1.15%)S&P 500 2,781.0-25.82(-0.92%)Nasdaq 7,406.90, -123.98(-1.65%)Russell 2000 1,549.49, -28.72(-1.82%)",0.1048
1649,PG is down 5.54% to 96.76,-0.2462
1650,I would like the board to release a statement to the share holders of how they justified giving Taylor and his minions a 25% pay raise last fall after the dismal performance of this company for the past decade.,0.783
1651,"I'm brand new at this, trying to learn on my own.... is this the place to be for starters. Appreciative of any advice or input!",0.7719
1652,Buy! 118 after earnings!!,0.3578
1653,New high for last 30 days - melt up continues,0.371
1654,I will have to average way down to get out of this without losing money. I been holding for months and it just keeps dropping.,0.1063
1655,"ATH again, good or bad?",0.7268
1656,"AWWWW, PG finished going up?",0.1862
1657,come on $80,0.0541
1658,Total loser company!,-0.4763
1659,"Prepare the poor average 401k holder distracted with Election, Covid, and holloween will wake up in a month to a portfolio down 50%",-0.5191
1660,PG reached a new 52 Week Low at 75.04,-0.0585
1661,"The case for ""PG""Procter & Gamble(Safe & Stable)A good hedge with upside potential?Current Price $127.6252 Week High $146.00Target $151.05(20% upside)Category: Defensive(Household & Personal Products)This is a value stock.Expected GrowthYear over Year (YOY) 2021 2022Q4 $1.20. Q4 $1.32Q3 $1.19. Q3 $1.30Q2 $1.64. Q2 $1.74Q1 $1.63. Q1 $1.68P/E Ratio(Price to Earnings)Current P/E24.125 Year Average P/E 32.94Paying a Dividend 2.48%Current BETA (.41)Low BETA(less risk, lower return)High BETA(More risk, higher return.Pros: Procter & Gamble is a slow and steady growing stock, non volatile and pays a dividend.Procter & Gamble could be a good addition to a diverse portfolio as a defensive player.Cons:Although sales revenue has been increasing profits have been declining the last years 2917, 2018, 2019 but 2020 profit increased substantially over 2019(could this be a turnaround?)",0.93
1662,Still a little pricey for my taste. Let her come down just a little more,-0.0018
1663,"Thank goodness sno didn't exchange its PG shares for COTY--nor did I.Total Return 10/3/16 - 3/7/17COTY (20.69%)PG 3.57%S&P500 Consumer Staples Index 4.79%Of course, a five month period is a rather short time frame....where will COTY, or PG for that matter, be in five years?",0.4838
1664,PG is under its 200 day MA ... very bearish. If this stock takes a significant hit over the next year there will be a small window to pick up a great company cheap. BUY ON FEAR !!!!,0.5959
1665,How much is PG reverse factored?,-0.1328
1666,"Strong quarter, and conservative set-up for next quarter. For us longs, the caution is that we're nearing 52 week highs, and we'll likely see resistance at $128, which is where people have been taking profits. Ex-div day is next week, so people will be thinking twice about selling their shares so they don't lose the .79/share div. Soooooo, I'm gonna sell covered calls in the $126-128 range that expire on 4/24. Importantly, the limit will need to be above the dividend price. This way, I'll essentially capture the dividend immediately, and I'll take profits if the shares get assigned. Then when the shares drop back down to low 120's... I buy again!!! :-)",0.9759
1667,"My concerns about PG exactly. I have held onto it for 10 years and it is still hovering in the low 80's. Does anybody think it is at its all time high, peaked, so should be sold. What other consumer stocks might I consider - Clorox, Colgate, or Unilever? I thought maybe Yahoo as well which is being taken over by Verizon. Am open to suggestions here regarding Buy/Sell/Hold PG.",0.6868
1668,Dividend raised to $0.7907https://www.pginvestor.com/file/Index?KeyFile=403608237,0.1306
1669,"The overall market is really hot this month, which is why $PG is trading sideways. A lot of support at this level, so no need to panic.",0.2048
1670,splits?,0.0
1671,You know the market has lost bearing on reality when PG trades like a silicon valley startup.,0.1904
1672,everything and everyone in my house uses a P&G product,0.0324
1673,I SHORTED AT 119.10 AND ITS GOING DOWN HELL YEAH,-0.472
1674,"GREAT EPS, wait a day or two and buy, these silly hedge funds havent a clue, or simply buy today as I am",0.8204
1675,"I'm using my handout to buy the latest iPhone. Im so far in debt, I'm going to dump that on the Tax Payers and get a FREE Iphone.",0.5147
1676,They should work on improving the taste of the Tide pods.,0.4036
1677,Great report on cnbc.,0.7628
1678,"So, if the markets are eventually going back to pre-Covid ""normal"" does it mean that PG will be going back to the early 2020 range in the middle-120s ?",-0.0612
1679,I don't see any report of their guidance for 2019 on the report. Any info on this?,0.1469
1680,Can someone check on @snowcats today - getting worried .. ,0.006
1681,Can’t imagine why anyone would short sell PG...with over 30 million unemployed and growing. In addition to strong demand for consumer staples...PG is a solid LT investment. Shorts would be better off trading cruise lines,0.9166
1682,"No revenue growth -- same revenue 2016-today. No earnings growth -- actually lower earnings today than 2016 and 2017.. PG overpriced. Deserves a PE closer to 15, not 25. Dividend is nice, 3% -- I guess that explains the lofty valuation.PG at new 52-wk high -- usually triggers selling the next day.",0.8237
1683,"Wooglin great idea you have, hard to believe Why not donate ALL the 92 shares you own of PG and we won't have to ever listen to you again, just don't tell your buddy Lafley and keep cutting his lawn",0.8414
1684,Cramer actually laughed at how overvalued PG was the another night.,0.3818
1685,"I don't listen to Cramer at all. Now, overall portfolio $ value is up 10.5% over 2018.",0.4752
1686,"Due to inflation, we've had to switch to generics. Maybe PG makes them too?",0.0409
1687,"All the chatter about change at P&G is an indication that the year will be another year of lower earnings and market share loss. You haft to wonder where would the P.E.be without share buybacks. If Nelson Peltz thinks Taylor and Moeller would be receptive to his ideas he is mistaken. These guys always believe they have all the answers even with all the disappointing earnings loss and market share loss they fail to recognize it is their failed lack of understudying consumers want and demand lower prices, that has hurt P&G. Way too much overhead and no new inovative products from R&D .",-0.942
1688,citi downgrade is kicking our tail,-0.3664
1689,"Decent men don't wear Nike, and they don't shave with Gillette.",0.1442
1690,"About time PG... I'm what they call a real long-term holder. Bought this in the '90s. Collected years of dividends, now some real capital appreciation. GL longs.",0.7841
1691,this stock is starting to feel like pfe,0.5075
1692,"Our Division at P&G had its busiest month in history, in April.",0.0492
1693,SHORT 1000 shares at $108.5....it WILL retrace to the 50 day average.,-0.5486
1694,"All other Staples selling off....the LEADER goes last...PG is SCREAMING sell right now.....over bought, over valued, over owned, MACD line crossing down, money rotating OUT of safety stocks......I SAY $!!) before $117!!!!",0.774
1695,"Oral B wen to garbage among other PG products. Sonic Toothbrush is a better product anyway. No more PG for me. Bye, bye!",0.2108
1696,Procter & Gamble is down 4.91% to 114.64,-0.1915
1697,OMG have you seen how fast the spam posts can be eliminated? Just as Olivia and Anna!,-0.3994
1698,Easy to beat earning with low expectations.,0.4095
1699,"It appears that boycotting something has become a national pastime.I'm wondering whether any of those who have recently stated their intent to boycott PG products are new to the boycotting movement or if they are seasoned boycotters. Specifically, were they boycotting (and presumably still?--or was a ""settlement"" announced?) the NFL and its sponsors? If so, there's no need to initiate a boycott of PG, since they already were doing so!It would be pretty challenging to have (and to continue to?) boycott ALL products from the following""Anheuser-BuschBarclaycardUS BoseBridgestoneCampbell’s Soup CompanyCastrolCourtyard MarriottDairy Management, Inc. (Fuel Up to Play 60)DannonExtreme NetworksFedExFrito-LayGatoradeHyundai Motor AmericaKrispy KremeMars SnackfoodMcDonald’sMicrosoftNationwideNews AmericaPapa John’s PizzaPepsiProcter & GambleQuakerVerizonVisaUSAA InsuranceXfinity ComcastObviously it's easier to boycott the products from just one company.But again, did any of you boycott the NFL and ALL products from the companies listed above? Are you still or why did you stop? If you haven't caved, presumably you have been boycotting PG, right?What is the shelf life of a boycott?Are you using an Apple computer?IMO, this will pass.Cheers!",0.8291
1700,"instead of mindkessly blathering about stock split, I suggest those doing so layout the logical reasons as to why this is so paramount. PROVIDE sound rationale. and when you do be prepared to be dismantled because of your ""sound"" rationale.",0.5593
1701,Still think it’s a good purchase price as it nears its 52wk Low.,0.5683
1702,Short it and get paid for their stupidity.,-0.7045
1703,what a POS today. beat and they drop the stock. Someone needs to be shot.,0.4473
1704,This is actually quite comical..... Read about half way down this article and see what chief brand officer Marc Pritchard says about WPP. Now why on earth can’t MARC PRITCHARD see this when looking in the mirror while using his 17 blade Gillette razor????https://www.cnbc.com/2018/05/16/sir-martin-sorrell-what-the-former-wpp-chief-plans-to-do-next.html,0.4962
1705,"I’m a relatively new shareholder. Bought the February dip, sub $80. But after the last few months if this doesn’t pop after earnings, Adios...",0.1845
1706,"NEOS (MC $91 M) $60 M Cash / 1 Drug approved /2 Drugs awaiting FDA approval (2Q & 4Q) targeting Billion Dollar Markets .Very attractive and unknown low float FDA play with HUGE upside Potential i see the fair value around $20 per share .GLNEOS Therapeutics (NEOS)Market Cap: $91 MCash: $60 MPrice $5.90Shares Out: 16.06 MPresentationhttp://investors.neostx.com/phoenix.zhtml?c=254075&p=irol-presentations•Adzenys XR-ODT launched May, 2016•Robust prescription growth since launch•22,797 total TRx through December 2, 2016•Pipeline includes two late-stage product candidates for the treatment of ADHD•Amphetamine XR-Oral Suspension —NDA Submitted Nov 15, 2016•Cotempla (methylphenidate) XR-ODT —NDA resubmitted Dec 20, 2016",0.9841
1707,All time high.. It is about time that PG breaks 100 for the first time since my fair lady bought 25 years ago..,0.3398
1708,Welcome $68 and bye bye $80,0.1388
1709,will PG split anytime soon?,0.0417
1710,"looks like straight line to 140 to me... (perhaps, splits at that time)",0.5446
1711,Covered half of Costco shorts.,0.0382
1712,i told ya it would drop below 92.... cashing out now.... merry x to those that listen.... n a happy new yr.... washout for pumpers... lol,0.8341
1713,"Well, that just fell off a cliff.",0.3188
1714,ULTIMETE STOCK ALERTSQ is the real deal! . They only alert small cap nas and nyse stocks and many of them have doubled for me!,0.5093
1715,"Typically, PG is the only safe stock to invest in.",0.6593
1716,very good price to buy at IF you’re in it for the long term.,0.8032
1717,"This is a stock you buy and forget about it. If you watch it, the volatility will drive you nuts!",0.2293
1718,"$100 Oil coming...Up, Up and away.",0.021
1719,It’s funny how people who supported the Gillette ad last week are bullying teenagers on twitter a week later.,0.3958
1720,Anyone shave today or wash themselves?,-0.033
1721,I bought more PG shares today via div reinvestment (only in my ROTH; I take my taxable divs in cash and redeploy elsewhere).,0.7467
1722,LOOK AT THAT V SHAPE,0.1231
1723,I get the idea of the price increase but if the commodity price hike is temporary would they lower prices? And wht would the generic to proctor price difference be after the price hike?,-0.3504
1724,"Are you going to vote Republican this November? If so, THINK about this ...The Chump signed some things today ... among them - he ended benefits for the National Guard“Intentionally ending orders ONE day short of a deadline for National Guard soldiers to receive benefits for their heroic sacrifices ... is the definition of heartless."" The baby in the day care center did it ~",0.9688
1725,"I am sure Mr. Peltz is smiling. If he wants changes made, all he has to do is send in his suggestions.",0.7423
1726,PG should change its name to PGBlockchain.DO SOMETHING!!!!,0.4529
1727,DONT GO OVER 119 PLEASE STAY DOWN,0.0976
1728,"SevenNmEpic pumping PE of 150 AMD stock and coming here to bash P&G. and talking recession. Ha, ha. shiattyMan",0.7309
1729,PG and KO are trading like growth stocks because this is a bubble. Investing at these levels are a guaranteed way to lose money over the next year.,0.2045
1730,How the hell is this stock IMMUNE from the senseless market free fall? Is it from another planet??,0.3737
1731,She’ll bounce off the 100 dma at $122.,0.0063
1732,small short covering,-0.4511
1733,what happened to the dividend,0.1482
1734,Gutted - I sold most of my PG stock at 133 and now its 140! Seems over valued now,0.6158
1735,Looks like a triple bottom in the $131.65 range. Should move up from here,0.5694
1736,"Money is flowing out of consumer staples and into chips, banks, and oil.PG is a slow grower in comparison.You get more safety and an OK dividend with OG.Good for retirees over 70.",0.7054
1737,Over last 5 years Dow is over 60%. Pg. 25%. Get it yet pg has not split since 2004 15 years and now dividends are only reason to buy and not much o a reason!,0.3668
1738,"Front page of Cincinnati Enquirer features a large photo of David Taylor and has a full page article about P&G,s stock price drop. Evidently the company will soon be a position where they will make job cuts in Cincinnati where they have about 10,000 office workers. Articles states Taylor will most likely have until December to get things turned around before the board cans him. No mention sadly of getting rid of Gillette . Hope there is anything left by December !",0.7526
1739,Told you that COSTCO makes PG looking cheap... I wish that PG has PE of 33 too..,0.605
1740,I spotted uptrend when this was $90 but I did not act on it. when I do act on my instincts I end up losing big. Story of my life.,0.8455
1741,PG will split for the first time since Snowcats whine about global warming..,-0.288
1742,Hopping aboard for the dividend today.,0.229
1743,"QUIZ: If you had $10,000.00 to invest six months ago, would you have been better off buying P & G stock, or hiding it in your mattress? Charts are out there for all to see. Imagine a cleaning product company during the world's greatest pandemic, and during the world's greatest stock market bull run ever going DOWN during this period? Certainly raises the ""If not now, WHEN?"" question, no? Better question: How do the lardasses at the top of this company keep their jobs?",0.9664
1744,HMNY........do your DD and make lots of $$$$$$$,0.5597
1745,I love this company!!! Buy and hold forever!!!,0.8004
1746,Split coming at end of year.,0.1513
1747,"im happy fo US today, remember that Apple had their event last week, they mentioned LIDAR and 5G... the AR sector is ready to do big things, NEXCF and IPNFF are the only two companies selling Augmented Reality as a product..this is Billions in revenue for anyone who understands this tech, GLTA and know what you own.",0.943
1748,Watch for big changes after earnings,0.3072
1749,Comeback,0.2393
1750,"If you shop on Amazon, you deserve to lose money on PG. Now that Amazon is about to be a grocer, they will develop their own brands leaving national brands out in the cold. It will also hurt your 401k. Think about the ramifications of Amazon in the grocery business---own store brands, get into pharma, also reits that own mall properties will suffer. There will be so many touched by Amazon in the grocery business. Start shopping somewhere else or you deserve to lose money.",0.8206
1751,"Gillette is deleting negative comments like no tomorrow on social media, when newspapers pick up on that they will have a whole new round of backlash. Puts are looking pretty nice atm, think Jester has the right idea about waiting until earnings but couldn't help but nibble yesterday.",-0.0432
1752,Consumer stapless. Love this.,0.6505
1753,"As usual the China decides not to buy 120 products from us. WHO CARES really we sell all products to rest of world, if China wants to put tariffs on these products than USA sell so high they eat it big time, or DO NOT SELL at all to China, we all know they have been beating us in trade for years and all the CROOKS on wall st did it to all of us today, PG which climb last week the crooks ran it in to the toilet today",0.9786
1754,"Man this stock is already down over 7 percent this year and with the Dow up close to 500 points today this stock falls 18cents, what horrible performance.",0.1262
1755,CHINA said its now IMPOSSIBLE to deal with trade as long as Trump is president !he just lost all credibility.,0.6583
1756,what is going on? makes no sense.,-0.3167
1757,"As the US moves from Quad 2 to Quad 4 consumer stocks like PG ,CL, should do well. HOWEVER, Quad 4 should happen late 3 or 4th quarter 2021.Is it too early to buy?",0.7417
1758,"July 25 2019 YIELD GROWTH Signs $800K LOI for Worldwide Licence to 8 Products for Men’s Hemp and CBD Line to Antler Retail $PG,JNJ,BOSQF https://seekingalpha.com/pr/17582271",0.8155
1759,"We're set to open up this morning, but we're also nearing the next support level of $115.85 (100 day moving average). She hasn't touched that line for a year. I'm watching $PG closely today.",0.9334
1760,"127.33 after hours (likely pinned in regular session) On this V shaped - super tight 6month consolidation, where everything and the kitchen sink has been thrown into the stock.Dont think they can get any tighter.",0.8837
1761,on the way to 90!,-0.0787
1762,"It's OFFICIAL:PG is not among the 2017 ""Dogs of the Dow"" list of the top ten dividend yielding stocks in the DOW.(condolences to sno!)",0.5997
1763,"Will P & G follow suit with some of the other blue chip companies and pay the front line employees a little more money  during this time for showing up to work in factories with 1,000 people?",0.5193
1764,"I am a long time holder of P & G. I can't complain too much. Growth is static, which is understandable the the philosophy of the current Management, which for 15 yrs has been an extension of Lafley. They need new Ideals and a need direction. But I don""t see it with this very conservative board. Take a chance make or loose money. Change is not alway good. I will ride it awhile .....",0.9347
1765,Every stock bubbles worst nightmare... reality. It is about to smack you fools where the sun don't shine.,-0.8816
1766,"People are crazy if they think this won’t recover. It would be awesome if people stayed him more due to the virus. They’ll be using more tp, paper towels, soap etc...",0.6029
1767,I find it imperative to hide gillette products in the shops that I buy from to save others from getting diseases from tainted razor blades.,0.1631
1768,"Be sure to add these P&G products to your no-buy list: Pringles, Crest, Head & Shoulders, Scope, Vicks, Swiffer, Old Spice.More complete list is here: https://en.wikipedia.org/wiki/List_of_Procter_%26_Gamble_brands",0.6646
1769,"Goldman Sachs raised their target on P&G to $150 yesterday and Deutsche Bank raised to $150 also today , Argus price is $155, etc. Earnings on the 20th. will be exceptional.",0.6463
1770,"The real reason that PG is surging today was completely missed by the main stream analysts! A little over a decade ago, I was retiring from GE and fortunately made the decision to diversify away from a very nice chunk of GE stock! One of my investments in that process was 500 shares of PG. It did fine over that period, however in recent years it was underperforming most of my portfolio. I stuck with it because of it had always been a conservative and defensive position. What ever possessed me yesterday afternoon is unknown, however, I sold my entire PG position after holding for over a decade! Headline today....PG HAS BEST ONE DAY PERFORMANCE IN OVER A DECADE....LOL! This is absolutely a true story. I hope all of you who reading this are happy PG longs! Have a great day and good luck in your investments!",0.9931
1771,"Will hold my PG. Now, overall portfolio $ value is up 8% over 2018.Early retirement over the last three years has been...sweet.",0.384
1772,"I hold profit only part of PG but I regret as one point have 4000 long when this go 72 (average was 73.5) and i slowly sell into rally and exit other profit part by 78. Should have waited more. My main reason is, it does not do promotion to pickup sale even when P&G brand still strongest. 3 week ago I saw Costco promotion and that exactly what I hoping P&G do. But i didn't start invest again because against my principle to buy above my sell prices.Wish I sell more slowly, I could made 1000's with such low risk stock.",0.9716
1773,Nelson Peltz on @CNBC right now. Not one mention of $ACB or Cannabis at all. $MDLZ $PG $WEN all got a shoutout. RFLMAO u delusional snowflakes r screwed,-0.5252
1774,VIRUSPROOF,0.0
1775,"WTH? Down over $3 in a session? Red Alert, Red Alert.....Woooo. Wooooo. Wood......Ole Grandma and Grandpa get duped again?",-0.8912
1776,Earnings look good....,0.0148
1777,Any chance of stock split,0.5266
1778,Hey ya'll. Curious Investor Smittens here. Hows Procter n Gambles Q1 2019 predictions? U think they will beat?,0.612
1779,Trump's acceleration of debt will bankrupt the USA.,-0.68
1780,What’s the news on this loser,-0.431
1781,this ceo needs to held accountable!!,0.1949
1782,Retreating slowly to fill the gap at ~82's...It will get there soon or later..,-0.3035
1783,down down down this stock sucks down 8.00 since i bought it this company stinks,-0.7862
1784,Should I take my $400 profit in 2 hours or let the SHORT RIDE???,0.5091
1785,Are we expected for a divy increase next quarter ???,0.7235
1786,Anyone have a clue on what price/share Peltz paid ?????,0.3168
1787,"Hows everyone voting on the Trian thing? I've read all I could find, but still trying to get a sense on how all of us individual guys feel about it.. Or if it matters at all.",0.1448
1788,Still won’t see 85 today,0.1188
1789,Looks like another new high day,0.6342
1790,"Gillette razor cut my soft face , will change it for a reliable razor today ",-0.5177
1791,Definitely banging on the wall at $140 today. Good luck,0.8347
1792,"When was ""the ad"" released?Bonus point question: Was ""the ad"" ever broadcast on television?Where are all of the posters that felt as if they were being singled out by ""the ad""?As far as ""when"", I'm going with Jan 14.Total Return since 1/14:PG 18.68%S&P 500 Consumer Index 13.07%S&P 500 11.25%Boys WILL BE boys!:https://www.boston.com/news/crime/2019/05/14/bruins-fans-mbta-assault",0.3278
1793,what a POS stock. can't get back to 90. Just pure junk.,-0.1148
1794,THE MANAGEMENT TEAM at GILLETTE who approved the HATE FILLED ATTACK ON MEN MUST BE FIRED !!!,-0.7844
1795,Management signaled all is well and it was .. surprised? I’m not,0.5889
1796,Off comes the froth,0.0064
1797,just another down day again again again,0.0511
1798,"As I said months ago, steadily going back to $125 where it belongs without COVID panic buying.",0.0027
1799,"My understanding is that Trian uses different tactics; sometimes it plays ""nice"" and it communicates with management while it is accumulating shares. From what I read, PG had no clue that Trian was building a position......",0.7627
1800,A little panic selling going on due to Peltz. This will be back to above 125 in no time.,-0.4819
1801,"any gamblers here at procter and gamblesuppose you had great product and beat up really bad like gbsnsomething pg could buy for little of nothing now trading at .20 cents down from 10,000 a sharemight want to check it outway I see it a few bucks could equal few thousand but you decide looking is free and 200 gets you 1000 shareskind of a bargain when rewards far out way risk",0.9512
1802,Any sight of a split in the future? It's getting expensive.,0.0161
