,Recent headlines and conversations for PEP,Polarity
732,"Earings in july, this is make or break",-0.2404
733,Aurora EU GMP CERTIFIED PRODUCTIONS,-0.3298
734,$129.87 New all time high!!!!,0.3638
735,pearl milling company rolls rights off the tongue,0.0491
736,"PepsiCo shares pop premarket after company blows past Q3 estimatesPepsiCo Inc. shares PEP, +1.05% rose 2% in premarket trade Thursday, after the drinks and snacks company beat earnings estimates for the third quarter. The company said it had net income of $2.291 billion, or $1.65 a share, in the quarter, up from $2.100 billion, or $1.49 a share, in the year-earlier period. Adjusted per-share earnings came to $1.66, ahead of the $1.49 FactSet consensus. Revenue rose to $18.091 billion from $17.188 billion, also ahead of the FactSet consensus of $17.226 billion. The results, coming during the pandemic, reflect the strength of the company's snacks and food business, ""and a significant improvement in our global beverage business,"" Chief Executive Ramon Laguarta said in a statement. The company is now expecting full-year core EPS of about $5.50, compared with a FactSet consensus of $5.36.https://www.marketwatch.com/story/pepsico-shares-pop-premarket-after-company-blows-past-q3-estimates-2020-10-01?siteid=yhoof2&yptr=yahoo",0.9392
737,"Thank God that Yum has split away from PepsiCo. I can still enjoy my Taco Bell, Pizza Hut and KFC.",0.8173
738,PE over 24 with this basic div... pep has opex on a few brands that’s weighing on the bottom line. They lost one of the best CEO’s to every exist. They may have a few week qtrs ahead esp as Kellogg’s Gen mills coke and khc get more aggressive,0.6649
739,"Really don?t understand... solid fundamentals, increased dividend and is struggling... some analysts said target price $152, but short term bearish, #$%$! Probably a long term buy and hold bet?",-0.7059
740,"$TSLA $PLUG $NBEV or $AMZN ????If you had $100,000 in PROFIT from your SMART investing in $AMZN or $TSLA, if you started today, and measured in a YEAR """"""""Percentage Gain"""""", which would be the winner ?????$TSLA clearly has been a winner.......but would you SINK a $100,000 into $TSLA from your ridiculously successful Amazon from $500 ????$AMZN is equipping 17 Distribution Centers with 400 $PLUG units at each site......#Unmanned #Robotic #Hydrogen #Fuelcells running 24/7/365 using $PLUG technology.......oh, you haven't heard of $PLUG ???? They also will be a MAJOR player in China just like $TSLAIn the meantime, there is tiny tiny $NBEV with Denver based office delivering ORGANIC green teas and NON SODA #HealthyHydration ...... #XingTea at 7-11 and ConocoPhillips gas stations the most prevalent......in Safeway and Kroger and Sprouts and Whole Foods........the TREND is #EV electric vehicles  and $TSLA and $PLUG in 2024 will be the leaders........ will $NBEV ramp and scale and be sold out to $PEP or Coke or Anheiser Busch ??????Where will that $100,000 go for PROFITS in 2024 ?????",0.9852
741,"PEP IS RUN BY BARNUM & BAILEY A THREE RING CIRCUS,JUST A BUNCH OF CLOWNS,WORST RUN COMPANY ON THE PLANET*!!!!!!!!",0.6103
742,Why is $BUD going 800 Hydrogen Trucks ???,0.1779
743,A bit disappointing to see the share price decline so much recently.... Ugh.... Come on PEP ((been long for 20+ years!)),0.1878
744,What happened to cash flow? Why is it negative. I’m still bullish on the stock,-0.1367
745,People you should check out Utz foods merging with CCH SPAC going live on Monday. Utz aims to be the second largest snacks company by revenue after PepsiCo in the US and it has been profitable for the last 100 years. It starts paying a dividend right after listing as well.I think FMCG food companies are a great recession proof hold no matter what!,0.7673
746,"SELL ALL US STOCKS AT THESE INSANE VALUATIONS, PEAKED PRICES!More FAKE recovery hopes and Money Printing TO PUMP The Stock Prices to new record prices! NOBODY CARES ABOUT ABSURD VALUATIONS, and COLLAPSING ECONOMY!The US Government is Printing Money and PUMPING the Stock prices Artificially, despite Collapsing Economy, Spreading Pandemic Coronavirus, Huge Corporate Loss, Skyrocketing Corporate and National Debt, Skyrocketing Unemployment, Parabolically rising inflation, Absurd stock Valuation, and the Cold War between the US and the Rest of the World.US Stocks must be DOWN by 90% from their current ABSURD levels.Look at the US Stock Valuation Multiples!!! Check out P/S, P/B, P/E, P/CF, D/E and other Ratios. US Stock Market is a COMPLETE SCAM! You see how easily they are PUMPING the Stock prices on FAKE Speculations, but they don't let the stock prices to go down on TERRIBLE DATA and FACTS!Even BANKRUPT Boeing, Cruise and Airline stocks are getting PUMPED like crazy!It is all about PUMPING the US Stock prices and quick and Free Capital Gains!American made Coronavirus was a tool to make quick and massive Capital gains in the US Stock Casino!I am up $50 Million today alone! Valuations are INSANE!NO NEED TO WORK! Only fools would work, while there is a FREE MONEY GIVEAWAY in the US Stock Market!Ignore COLLAPSING ECONOMY! It is all about Quick and FREE CAPITAL Gains through Artificial Stock PUMPING!Sell your home, furniture and food, buy random stocks in the US Stock Market and you will be a BILLIONAIRE in a few days!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP",0.9792
747,next week is ex dividend day September 6,0.3329
748,I spend about 2.5 million dollars per year buying their products and I hate doing business with them. I am focused on replacing their products this year where ever I can. They treat me like $hit. Sorry.,0.7897
749,This could be another bayer.,0.0802
750,Another push? Was hoping to add more at last weeks levels.. oh well,0.6783
751,"HI, IF I BUY PEPSI TODAY WILL I STILL BE GETTING DIVIDENDS? I ALREADY HAVE 550 NOW ADDING WOULD HLEP OR NOT? THANK YOU",0.9504
752,"Here is what I don't understand. The left like Bloomberg would ban soda, so why support banning your product out of business. Just seems like people do not think.",0.7768
753,yeah baby!,0.5412
754,Morning dump,-0.3666
755,That was a great report let's go,0.6937
756,"The CDC advises that the coronavirus can live in plastic for days, and we still haven't heard from PepsiCo regarding them sourcing products from several manufacturering plants in China, including the Wuhan province where the outbreak began.",0.3437
757,Looks like were stuck between $117.00 - $125.00 .Pepsi need to sell more 32 oz Pepsi Wild Cherry,0.1913
758,more serious re PEP in 2021: it's time for split. way overdue since last split.,0.0725
759,"zeev:I just read your post re how your long term investment in PEP has fared--well done!Your post got me thinking. I have kept accurate total returns for my holdings for MANY years (I didn't use a Beardstown Ladies' calculator LOL). Some years I've beaten VTSAX (Vanguard Total Market Index fund) and some years not; the variance hadn't been that great either way. While I enjoy investing in individual equities, a handful of years ago I opted to primarily invest new cash into VTSAX, besides my 401K. VTSAX is very tax efficient to boot. As it turns out, the past two years, the variance of returns was greater; in favor of VTSAX. Presently VTSAX (or equivalent) represents ~60 of my equity holdings.Back to my ""thinking""...I wondered how PEP had fared compared to VTSAX, since ""since the early 90's"".I used my initial VTSAX (VTSMX at the time, for those keeping score) buy date, 8/7/92.Total Return since 8/7/92PEP 1107%VTSAX 1040%S&P500 Consumer Index 1009%S&P500 1039%I scanned a Kiplinger article this AM re X number of dividend aristocrats that were on deep discount.It noted how aristocrats, as a whole, outperformed last year and over the long term (10 years); about a 150 bp annual difference compared to the S & P 500. (Curiously, I'm long five or so of the 18 ""deep discount"" aristocrats--CL,CVX, XOM, SWK, TROW (PEP may have been listed as well)--partially why my return was bested by VTSAX last year, but some of those names have rallied YTD).In your post, you had some great advice, although, I prefer to limit my exposure so as not to be too concentrated in one issue. I've had my share of huge gainers turn south. I'm not as disciplined, as I should be, when it comes to selling. Fortunately you didn't wait for PEP to split; you bought a few shares; you WON while those who were less educated....I remember when my father told me he was long a major industrial stock with a cost of around a buck (shares were, I don't know, 70 times or so greater at the time). Well with the years passing by, I've got a few issues with ridiculous cost baseis/bases (I just Googled ""plural of basis""). Buy ""good"" companies at ""good"" prices and add when you can. Bonus if the stock increases its dividend annually. Reinvest dividends.Not easy to do, but not that difficult either.Cheers",0.9952
760,this could be a takeover candidate for #KO. to go against #PEP,0.0359
761,Now is the time to buy Pepsi,0.1588
762,Pepsi is literally fighting the markets to stay red. Extremely disappointing.,-0.7967
763,"Low volume. Wear boxers, will help.",0.2056
764,$PEP....... Take a deep breath because I am about to tell you how I made A LOT of cash in the market recently. Google “Loin Stock AlertsQ........” and see for yourself…They have killed it for me,-0.6852
765,I'm already happen they got rid of that Indian woman. Now we have much better growth.,0.7608
766,boycott pepsi #bds,-0.3182
767,"I'm looking to buy more with a 3.25% fwd yield, which with the div hike would be $132.40..almost there.",0.299
768,"When is this stock going to split, it is long overdue!!!",0.6585
769,I feel like we can pop up or down 10% at any moment.,0.4458
770,"Big fan of both Coke and Pepsi. While I don't drink soda, I'm a big fan of both stocks. I own PEP at $100 a share, meaning I have a 45.6% return. I foresee this stock continuing its rise upwards. While the dividend isn't quite as good as Coke's, it's still ok for income but I like this stock much more for the capital gains. I recommend owning both stocks for the long haul.",0.9807
771,How much higher do you think we can go? $125 be years end?,0.3945
772,"Go to the AMERICAN side ----DROP the NFl-----NO COMPANY can do battle with AMERICA and WIN------------------IF you fight , thousands will loose their JOBS --THATS unAmerican----CHANGE -Be AMERICAN -",-0.7391
773,buy MO. sure tobacco kills but so does sugar and fatty snacks,0.0902
774,"Shareholders want to keep Aunt Jemima!So how do we do that?Pressure the BOD. Some fool at PepsiCo came up with the idea to dump this iconic lady in order to cow tow to miscreants who intend to abolish our cultural heritage. Well, let’s not let them get away with it.Let’s show Ramon what he can expect if he doesn’t put the Lady back on the bottle. We, a collection of shareholders will vote Shona Brown, Michelle Gass and Dina Dublin off of the Board in protest. IF THE LADY LEAVES THE BOTTLE- THE LADIES LEAVE THE BAORD. To add the number of shares you are willing to vote to save the Lady email me. So far friends have added 30,000 to y 25,000 for a starting point of 55,000 shares in favor of the lady.",0.9759
775,Dividend needs to be up to $1.00 A share.,0.5344
776,Confirmed CCP conglomerates working within PepsiCo how will the stock react to this,0.2975
777,"Just got clouted, any clues ?",0.1335
778,"So last day before ex-dividend date stock is trading low, and the day it should be selling off is trading higher.. anyone want to explain the logic behind that",0.6012
779,"Can’t understand why Pepsi’s been going down, didn’t they beat earnings?",0.2135
780,"$Reed needs to be bought out, by $KOq or $PEP, $DPS . REED is a great co. Yet it will not make it on its own. It has been in business since 1987. There's something wrong with product or marketing.",0.7088
781,Nice reaction to the last few upgrades?,0.3395
782,New pep high coming soon!!!!,0.5677
783,I wonder if you breed it with a Zebra what would you get?,0.768
784,earnings call transcript http://alph.st/t182344,0.6012
785,This stock sucks,-0.1685
786,Still can’t see why Pepsi bought out Soda Stream. Even Cramer brought up that they might have bought it last year at half the price. Doing what Pepsi did would be like me buying a new car at sticker price.,0.8632
787,come on PEP,0.0541
788,R,0.0
789,Pepsi is really playing limbo right now and I am sitting on the side wondering how much lower can it go,-0.0641
790,undervalued at $80,-0.0068
791,"DOW at 25K, means buy.",0.1101
792,Pepsi a day keeps me happy.,0.5958
793,My dog died of Parvo....At the Dog Beach. This is serious stuff. My opinion Sell it all and go to cash. This is not good and everyone includes Warren Buffett said I would go to cash now.,0.7533
794,"PEP will be interesting this next year. The company continues to press acquisitions and extra marketing funds to push the product. What was a loyal following in the past appears to be an anti-big-brand exit among the 30 and below generation. The CEO exit should be a big sign. Most CEOs struggle to exit when the company is at a record growth and EBITDA. Pepsi had continued to have executive exits at many of their brands. One should expect more exits in the next quarter, if not a complete shuffle of the executive team. This should not be a surprise as Al Carey was passed over for the CEO role. IT may not be bad to have a fleet of exits at Pepsi and Frito-Lay as the company has a strange set of executives over in-country operations. Normally, a company at the maturity of PEP has developed in-country nationals to lead the geographic areas. Ramon has a between 6 to 24 months to make a difference in local country revenue acceleration. 6-months if nothing is changed in the executive team and 24-months if he guts the team and places top talent, nationals in each of the operating markets. While Soda Stream is an interesting acquisition, it is not a game changer in the natural drinks, coffee, and extreme caffeine millennial markets, nor in the superfoods natural snacks. The company is uniquely worried to offend its Starbuck partnership by breaking into the warm drinks and cafe markets. Internationally, some countries have moved to warm Pepsi with dairy as a drink. Time to spinoff the snack divisions and start the innovation in caffeinated beverages again. Eliminate 50% of the executive and management layers to get innovation moving. PEP will be the next Sears if they continue to believe they can impose products on people and they are too big to fail. KO continues to innovate, time for PEP to get off the hamster wheel!",0.9935
795,mixed report allready peaked,0.1044
796,They need to fire non essential personnel down grade to the primary profit making segment of the business and stop with experiments. The price rise so over priced right now with this profitability.,-0.13
797,Why aren’t we going back up then????,0.4916
798,"with A pe of 14, it is not over valued",0.4754
799,"5 year steady climb, it’s okay.",0.7629
800,"For Karen et al:PEP was initiated by Credit Suisse, with an Underperform rating with a price target of $100, as the company ""endures multiple stepped-up investment years"".There's more, but for the sake of brevity, I'll...",0.1689
801,They Just signed a national distribution agreement with Bang Energy. This is about to blow,0.672
802,Pepsi succumbing like the cowards they are to identity politics and the systemtic racism fraud narrative. Complete losers like the rest of corporate America that have bought into the sham.,-0.6331
803,It’s suck yo see it again and again . We are talking about Pepsi here. What the heck?,0.0136
804,PEP being boycotted due to the JLo super-bowl half time show...Many complaints to FCC will ecselerate boycott and network consequences as well....BOYCOTT,-0.7049
805,See news on AMRS. Finaly a safe sweetner !,0.5729
806,What date do we get the 1.21 paid,0.0845
807,PEP all the way cannot wait to see chip sales skyrocket!,0.6627
808,"HERE IS ANOTHER GOOD REASON NOT TO SPLIT THE STOCK!!!!THE LIKES OF APPLE, AMAZON, ETC... REALLY UNDERSTAND THIS!!!When a private individual buys or sell stock we pay a flat fee of around $4 or $5, depending on the brokerage company and this cost is for 1 share or 1000 shares or more.......but when an institutional investor (e.g. The retirement fund for New York City Fire Department) they pay a fee for each share that they buy or sell.So, if you want the big boys (e.g. Mutual Funds, etc...) to consider owning your stock then hopefully the fee for buying $100 Million worth of Pepsi is lower because they have to buy ~787k shares versus 2.36 Million shares if it had split into 3 for 1 share. Hopefully this puts to bed the folks that want a split.........if you don't get it by now, then you will never get it.",0.9891
809,Goldman has a history of upgrading shares right before they dive and vice versa. It's gotten to a point I'm convinced they talk down a company so they can buy cheap and praise a company so they can dump their shares. It's almost freaky how anecdotally fraudulent they look at times.,0.3522
810,Pepsi 32 oz every day !!!!,0.3185
811,When Will Pepsi Join the Marijuana Stocks?,0.6109
812,PepsiCo stock price target raised to $133 from $125 at J.P. MorganMARKETWATCH – 7:30 AM ET 07/12/2017,0.3989
813,NO more Pepsi products for this household.PC incorrect. 13.4 % dictating policy to the majority.,-0.689
814,Pepsi taste good flavored.CherryLemonOrangeWatermelon,0.3713
815,It amazes me that Pepsi and coca cola along with Dr.pepper and Mountain Dew can be logo on the same plastic cups at the gas stations .I thought they were competition.,0.5738
816,That pearl milling junk will never touch my pancakes! This short position today is for you Aunt Jemima ,-0.6226
817,these guys need to do a 3 for 1 stock split !!! what the hell are they waiting for ?,-0.5731
818,Just drank my last Pepsi ! Pepsi wants to kiss #$%$ of some dumb liberals so be it !!! Boycot Pepsi people do not pepsi products period,0.4677
819,"PEP drink one for me :Now, for the average investor, pursuing returns in a passive low-cost index fund is an acceptable way to invest for the long term. But that doesn't mean that 100% of an investor's funds should be invested this way. Investors should put a portion of their savings into more speculative investments – investments with the potential to return many times their initial investment.And lest you think that finding the next Microsoft (Nasdaq: MSFT) is impossible in today's environment, let me assure you, it isn't. There are plenty of potential ""10-baggers"" available for investors to purchase today.One such company is Omeros Corporation (Nasdaq: OMER). The company is a small-cap biopharma headquartered in Seattle, Washington. The company develops small-molecule and protein therapeutics for application against inflammation, coagulopathies, and disorders of the central nervous system.Now, this is not a stock for investors seeking safety. The stock is volatile -- just as you might expect for a company developing cutting-edge drug therapies. But if you can stomach the volatility, OMER is a company that has the potential to deliver substantial profits over the next decade and longer. And now is a good time to consider grabbing a few shares of this company.You see, share prices dipped a few weeks ago on fears that Medicare wouldn't renew reimbursements for its Omeros' drug, Omidria. Omidria helps maintain pupil size in cataract surgeries or intraocular replacements. The recent omnibus bill eliminated those fears, and the stock is back on track to move higher.This is an important development because the continued sales and profits generated by Omidria are needed to power research into Omeros' new drug -- OMS721. Researchers at the University of Leicester discovered mannan-binding lectin-associated serine protease-2 (MASP-2). MASP-2 is a protein involved in activation of the immune system and plays a role in the inflammatory response. It is activated after tissue damage from trauma or infection. OMS721 has great potential to treat patients with lectin pathway activation.OMS721 is in Phase II and Phase III trials with four different potential uses. The FDA granted breakthrough therapy designation to OMS721 for treatment on patients with high-risk hematopoietic stem cell transplant-associated thrombotic microangiopathy. This rare but deadly condition damages the smallest blood vessels inside many of the body's vital organs – most commonly the kidneys.Coincident to this designation, OMS721 also received breakthrough status for Berger's Disease (IgA nephropathy), a kidney disease caused when Immunoglobulin A lodges in the kidneys. Two other treatments for OMS721 are looking at other kidney problems associated with atypical hemolytic uremic syndrome and lupus nephritis.What all this means is that OMS721 is highly likely to deliver blockbuster revenues for years to come -- if approved. And that's enough to kick this stock into the stratosphere. On the other hand, the stock could tank if the clinical trials don't pan out as expected. And should that happen, expect to see about 75% of its value evaporate overnight.The NumbersNow, like most explosive growth stocks, Omeros has no earnings, so traditional fundamental analysis won't help determine a fair value for OMER. That's not to say we can't look at the company's financials, though.Last year, the company reported sales of $64.8 million -- a 55% increase over the previous period. Losses from operations totaled $44 million in 2017 -- a decrease of 19% against 2016. On a per share basis, the company lost $1.17 against $1.65 in 2016.And while there is reason to expect to see additional improvement in the fundamentals in 2018, that's not a certainty. But that's the nature of these kinds of stocks. The company will release its 1Q2018 results on May 10, 2018 -- so we'll get another taste of volatility then. But for long-term investors, Omeros has a potential cure for lackluster returns.Risks To Consider: Omeros is a small cap biopharma stock that is subject to wild volatility as it proceeds through the FDA approval process. And should the company be unsuccessful in getting its drugs approved, or if the FDA wants more data, the stock could experience an existential crisis for lack of access to capital.Action To Take: Buy shares up to $20. Mitigate risk by limiting your exposure to OMER of no more than 2% of your risk capital. This stock is speculative, and as such, is not suitable for short-term needs. Expect to hold the stock for at least 5-10 years. And during that time, expect greater than average volatility. It is not recommended to use a stop loss on this stock due to its volatility. Should the stock break out in the future, place a 25% trailing stop on your position.",0.9993
820,if you're looking for Pepsi to get into the CBD business you're a fool. With a CEOs conservative as she is she's already said absolutely not. Coke would be a better bat and they're not getting into it.,0.6876
821,Happy pay day everyone! Those dividends sure are nice. Great time to reinvest them too,0.9305
822,Sell this swine,0.0931
823,"Oct 31 (Reuters) - PepsiCo Inc(PEP) has bought nutritional food company Health Warrior Inc, it said on Wednesday, the latest move in its efforts to target consumers who are ditching processed and sugary foods for healthier options.Founded in 2010, Richmond, Virginia-based Health Warrior makes protein powder, bars and muffins rich in plant-based nutrients and so-called ""superfoods"" such as chia seeds.Health Warrior will become part of PepsiCo's(PEP) HIVE division, created to house small and emerging brands. The beverage and snack giant did not disclose the price of the acquisition.fyi",0.7963
824,Can someone explain to me why this stock keeps going down? What the heck? Who are selling? I don’t think the shortie are interested in this stock.,0.8744
825,ab looking at pep. spin off soda better and cheaper than ko. let lays run,0.7146
826,Using sleazy Cardi B in a pepsi ad is a joke. I'm glad we have coke.,0.7314
827,"YES, IT IS ALL CAPS BECAUSE I AM SCREAMING AT PEPSI SNOWFLAKE IDIOTS.50+ YEARS I'M A PEPSI DRINKER AND INVESTOR...50 YEARS!NOW THAT IS ALL OVER...SHARES ARE SOLD ALL THE CANS AND BOTTLES EMPTY OR NOT HAVE BEEN TRASHED.COKE HAS A FAMILY APPROACH TO THEIR POSITIONING CAMPAIGNS.THEIR ADS ARE FILLED WITH FRIENDS, FAMILIES, CHEER, FOOD, TOGETHERNESS, ETC NOT HATE AND SNOWFLAKE #$%$.SO, ALLEZ VOUS FEH FOUTRE PEPSI",0.6826
828,Someone loaded 200k at close ,-0.1084
829,Coca-Cola!!!!!,0.0
830,Timber! Look out below! I own this one now.,-0.4397
831,Can Pep beat the ER tomorrow guys,0.627
832,SUGAR water supports the total company --if sugar goes down 10 others will go down-----AMERICA is your foe------GIVE up------go to the AMERICAN side ----why DESTROY a great company fora few ###$%$------,-0.1285
833,"Way oversdold boys, rare opportunity here.",0.4137
834,"Prices up, number of ounces down again.",0.041
835,All it's done since strong earnings is dump.,0.2854
836,Pepsi needs more 32 oz. WILD CHERRY Pepsi in stores.Many stores don't carry that size.,-0.1115
837,One night I was eating a bag of cheddar flavored rold gold pretzels did some research to learn Pepsi owns them suckers.. seems they own everything in snacks,0.5769
838,pep move to esg/woke not well liked today it seems. wto guy :(,0.4767
839,"Anyone remember the Frito Bandito?He was axed, for a similar reason, almost fifty years ago!",-0.3799
840,Do you think anyone didn’t buy Aunt Jemima because of the name? Wanna bet some won’t buy now because they changed it? Dumb decision.,0.4109
841,Bubly! Bubly! Bubly! The future of Pepsi is here. La Croix see ya later.,-0.2504
842,Pepsi to the moon,0.0923
843,opens right under 138...jeez...,-0.074
844,"PEP has pretty clear resistance at 134. When it finally manages to touch its breakout point at 134.50, though, don't be surprised to see it run up to 136-137 as it challenges the 200-day exponential moving average (i.e. the top of its downtrend band).",0.9276
845,"""So What If Trump Supporters Are Mad? Buy Pepsi""Good article,Bing/goog it.",0.1054
846,"At 131 dollars PEP is a buy... Whoever has money to invest, this an amazing stock.",0.6752
847,Down .17 from 52 week high.Needs to go back up.,0.0923
848,"Solid quarter,but probably will be beaten down. Only stocks to rise after earnings this quarter seem to be NFLX and NVDA. Maybe it is a n thing. I have a number in mind if it falls that I will get in , so we'll see. Stay strong longs",0.4041
849,glad to see Pepsi rise and shine again,0.6291
850,"Last split in '96. Now, way overdue.",-0.1761
851,time for me to take profits been loyal since 2005 good luck longs,0.9052
852,Good earnings,0.4974
853,nope,-0.0183
854,Thank you Pepsi!!!,0.5684
855,"Gotta luv GS, it's common knowledge that W. Buffet is seeking a mega acquisition for the Berkshire portfolio. Pepsi is the perfect candidate to fill that slot. I know, I know he luvs Cherry Coke, it's that snack business that Americans just can't get enough of, I'm not referring to the sugar water business:)) Blankfein may retire by the end of the year, Warren's not getting any younger and this could be the deal to got out on bang too. Great company, great CEO!",0.9745
856,get in before 03/31 dividend payout date. safe heaven PEP!,0.8824
857,Most boring food stock ever.selling this the minute it gets to 148. Never buying it again.,0.101
858,Altria will trounce Pepsi over the next decades,-0.2141
859,just buy $KO,0.2356
860,$PEP If you own #CALLS you need to exercise today to get the DIV 0.7525. Always keep abreast of up coming dividends https://marketchameleon.com/Calendar/Dividend,0.518
861,"I agree. Indra has done a good job and needs to keep her opinions on the election to herself. Otherwise, she can move on if she is that unhappy with our new president elect. Politics need to stay out of CEO's radar, period.",0.8642
862,Seems to be concern re margin deflation. I just hope Indra doesn’t comment on negative impact from tariffs in the cc. Always scary going into earnings,-0.8357
863,Pepsi send free Pepsi to the soldiers going to iran!!!!,0.6501
864,You’re basically buying at discount here,0.3932
865,PepsiCo Tops Q2 Earnings Forecasts as Snack Sales Impress During Coronavirus Pandemichttps://www.thestreet.com/investing/pepsico-tops-q2-earnings-forecasts-as-snack-sales-impress?puc=yahoo&cm_ven=YAHOO&yptr=yahoo,0.7725
866,Another one of these stocks that crushed and then the stock trades lower for some unknown reason. It will break $140 next week after the fools sell today. Saw this with COST last week and look at it now.,-0.6556
867,Great buying opportunity! Forming a position here,0.8727
868,Looks to me like 1.47 adjusted eps vs 1.45 estimates.,0.3061
869,"Indra, no worries. Only 60 million voters voted for Trump. Counting their families, you only #$%$ off 110 million or so Americans. Don't worry, it won't be that hard for 100+ million consumers to switch to Coke. Good Luck with the INTOLERANT marketing campaign - they usually work out well.",0.914
870,why dropppng?,0.0413
871,Silly me I thought this was a steady safe stock and we are down $10 in 2 weeks. So much for safety.,0.8444
872,No Bueno !!,-0.696
873,"Pep looks like bargain at these prices, all indications are Bubbly will be massive success. Look at it's equivalent, Le Croix, which has helped double National Beverage share price.",0.9048
874,When they pay dividend ?,0.113
875,Low volumes and deeply discoubted,-0.251
876,what happens is that institutions that pay ---- dont pay for total cost of shares they pay per shareso the more expensive a stock is the lower the fee to buy it,0.326
877,Split this stock NOW!!!,0.6281
878,will buy back at $115 next year,0.0912
879,People never learn... they hear covid spike and lockdown talk picking up and they sell pepsi,0.6484
880,So glad I bought at $103 today!,0.5529
881,"I always liked the Aunt Jemima brand and would not have renamed it if it were up to me. Having said that, I find it amazing that it lasted this long until 2020. That is really unbelievable considering everything else that has changed in recent years. Ultimately though this will not change much at all, Pepsi will still sell massive boatloads full of this #$%$ to all the poor blacks. My only question is what is a fair price per share to pay in the throes of Wall St panic ?",0.9301
882,Wow...great entry in to a beautiful stock ,0.7021
883,Have patience Pepsi grasshoppers - cream rises to the top!,0.5912
884,"When she loses the purchasing power of the every day consumer and the stock holders, it is time for her to find another company to haunt.The stock holders do not need a ""Home Depot"" type melt down.",0.8071
885,This is going back up. I just bought 6 packs of cheetos popcorners la croix,0.2045
886,Welcome sellers of Coca Cola!!,0.5504
887,Not sure why Pepsi still believes they can compete with National Beverage Corp when it comes to the sparkling water market. It's sad to see Pepsi struggling.,0.1934
888,It’s become clear to me that Pepsi gets an extra benefit from buying into a Hemp company. Not only can they obtain CBD oil to infuse their snacks and beverages but maybe even more important is the fiber from Hemp can bu used to make biodegradable plastic bottles. Environmentalists would love that.,0.9426
889,"Day before ex-div date and this is down? Sure, why not grab some shares. Keep in mind, this was in the $140's before the crash last March.",0.6989
890,New 52 week high today!,0.4668
891,"Come on DT make it dip!!!!!!he isn't mean enough, not much dip from that speech.",0.6642
892,Credit Suisse placed PEP target at $144,0.2695
893,"Thought about buying but then one look at the books...FCF dropping, debt, no thanks.",-0.002
894,"Tried Bubly, Pepsi's sparking water. I will never drink another Le Croix as long as I live. Coke's sparkling waters are likely to be of good quality too. So my stance right now is long Coke and Pepsi, short National Beverage. When Coke and Pepsi penetrate into a new market, they are like sharks while all the other companies are tuna. Look out or you will get eaten.",0.9449
895,PEP is one of my favorite stocks. Very stable. You're lucky if you get a couple dips a year to add.,0.8749
896,Shelf space in the supermarket is the most contested turf since the Battle of the Somme.That's what makes Frito-Lays apparently carte blanche reign in the snack aisle quite impressive.,0.1762
897,PEP appears to be a bad trade ... but a good investment.,0.7015
898,"Fire politically correct ceo Shei will destroy pep just like Meg did to yahoo,Carley did to HP and rometty did to IBM. Vote your shares!!!",-0.754
899,"probably a good time to vote on a back up board in case buyer of Y!'s core biz shutters finance mbs later this year, this one is free & you can post links, charts, etc., fwiw http://www.investorvillage.com/smbd.asp?mb=4650",0.9424
900,"Northwest Indiana probably a foot of snow today and more following. I feel sorry for the people who have to drive to and from work. Happily retired. Go Amazon. Sold my PepsiCo stock for Amazon about 6 months ago and never felt better. PepsiCo is a great company with great food and beverage products,just not in my opinion worth the stock price. Good luck all.",0.9848
901,what is she doing!,0.3236
902,Its been smoke and mirrors for several years at PEP. There is a stripping of investments in the field. Indra likes to call that productivity. Any CEO can make cuts. The BOD has been a huge disappointment. She should have been replaced years ago and there is no clear succession plan today.,0.895
903,"Pep getting oh so close to breaking up through the 200 day. Personally, I'm getting defensive here, and that includes more PEP. The 10yr-yield is rolling over, and looks to be putting in a Head/Shoulders top. If it breaks 2.75% look out!",-0.5665
904,Rockstar: 100% privately held; 85% by founder and 15% held by his mother!,0.3547
905,Love this company. Excited for it to continue to go down to add to my position.,0.8272
906,BUY COKE.,0.3097
907,This is soooo over valued....time to SHORT IT!!!,-0.6532
908,How about colesteral tax? The list could go on and on,0.3057
909,Great steady investment with nice dividend.,0.9241
910,Buying today at $96.50. Hard to pass up the value in this long term hold. Will continue to purchase more on a monthly basis.,0.8088
911,Time to turn around. Hopefully we will see 145 today,0.3265
