,Recent headlines and conversations for WMT,Polarity
1706,"I won't be here to irritate you for the next 4 days. OSU is having the dedication of the O'Brate stadium and Geo. Bush is supposed to be there since he is a good friend of Mr. O'Brate who donated the money to build a fantastic baseball stadium. I figure with all the extras it is probably the best college field in the nation. There is suppose to be a fly over, too. If a lefty starts the game my grandson probably will not start at 2nd since he is a left handed batter but with 3 games this week they won't always have a left handed pitcher. Anyway, save my seat. Camping out on beautiful Lake Carl Blackwell for 4 days. Life is good. Think positive and grow wealthy investing in the best of America.",0.9939
1707,"SHEP. HERE.................... To me we must be at a top with the SPAC's and the cryptocurrency stuff. From last week to this week, we are up 42k. That is more than I made working the last year I had a job. I figure this must be a top and I can't imagine what is going to trigger the market to fall. But I don't believe in Crypto and I did buy one of the spac's but I am not getting rich on it. It is up maybe a point or two. But, too many people aren't working and are enjoying the unemployment checks.",0.9452
1708,"Whenever you feel like going to work harris. I guess when Obumer tells you to.Officials apprehended nearly 19,000 unaccompanied migrant minors, around 53,600 family units, and over 99,000 single adults. Encounters were up 71% in March from February.",0.5801
1709,AMZN coming after WMT grocery business losses will be piling up fast here,-0.2029
1710,"Kushner continued his WH business with MBS after everyone, including US Intel knew thatMBS ordered the murder...... even offered him advice “about how to weather the storm”",0.1013
1711,There’s a technical theory that says all gaps get filled. this one at 143.54 seems obvious,0.088
1712,"Even if I wanted to work, with what the government is paying me to stay home, I still couldn't afford gas to go on a job interview. The government needs to send me more.",0.1072
1713,"The poverty rate for 2020 was 9.2 percent, with the rate for white, non-Hispanic people at 6.6 percent; the rate for Black, non-Hispanic people at 15.2 percent; and the rate for Hispanic people at 13.8 percent",0.1363
1714,drip..drip...drip...........................................,0.0
1715,"SHEP. HERE...................... Penynostoc, don't you own any stocks for long term? If you don't your wife should leave you because you are breaking the family.",-0.304
1716,Amazon Apologizes for Denying Workers Urinate in BottlesA LOT of people here who promote Amazon must not care much about their workers.,0.7763
1717,"John, you do know the difference in those who work hard and those who don't work and live on mail box money?",0.2816
1718,"colorado shooter got memory holed pretty fast after they released the guys full name, but theyre still talking about how a sex addict was racist because some of his victims were asian. what about all the other mass shootings in chicago every weekend.wheres the news coverage???",0.7741
1719,Well that sure was quick.,0.5524
1720,technically at the precipice of a water fall decline--GET OUT,-0.1255
1721,Crack Iives matter.,-0.293
1722,"""During the pandemic 20 million Americans lost jobs.. "" At the same time, roughly 650 billionaires in America saw their net worth increase by more than $1 trillion, in the same exact period. ""....."". My fellow Americans, trickle-down economics has never worked. It's time to grow the economy from the bottom and the middle out... said Joe and he is right.",0.8851
1723,"April jobs report:Expected: 1,000,000Actual: 266,000",0.0
1724,I swear I can’t wait for all the Pride Parades this summer!!!,0.5276
1725,Everyone says tech stocks are in a bubble... so tell me this... WHY IS WALMART DROPPING?!,0.6246
1726,Anyone else think Walmart is under valued ? I feel like it should be a 1000 per share stock .,0.8776
1727,"Warren Buffett says U.S.-China trade war would be 'bad for the whole world'Warren Buffett: Tariffs will 'aggravate' inflation “The tariff situation will aggravate it significantly.”just last month the WSJ asked why are ""home prices soaring?"" and answered Canada lumber tariffs...Heck, you all were all for higher prices not long ago... even blew off WMT's warning of how tariffs were bad",-0.7533
1728,"The greenhouse industry is hot and fresh produce keeps increasing in demand. I’ve been adding to my $GRF position, Greenrise Foods and $APPH. They own almost 100 acres of greenhouses in Leamington. They bought all of Mastronardi Produce (Sunset Brand) greenhouses as well as another 30 acres last month. They have Major distribution channels like $WMT & $KR $COST .Their peers are trading around $30 while this stock is still at ground level. Time to load up!",0.9141
1729,"Actually, ALL I post is FACTS. And another thing....FACTS and Statistics are NOT racist.",-0.504
1730,Let me check.Yep. He won and the other guy retired to Florida.,0.8707
1731,Wal-Mart wants that Tik Tok data folksBut at least it wont be in the hands of communists I guess,0.1453
1732,"America's civil engineers , the ASCE say the USA needs to spend $2.59 trillion on infrastructure,& not doing so will cost the nation FAR more in lost jobs, lost trade.....GOP came up with a low ball counter offering 20% of what is needed.. Joe is the real deal for USA progress",0.7488
1733,"Following the “defund the police” movement and the “abolish the police” movement, constant negative coverage of law enforcement by the media, anti-police sentiment becoming mainstream, and the threat of riots have contributed to a police shortage across the country.The Philadelphia Police Department currently has 268 vacancies and is expecting even more shortages in the near future.“From Jan. 1 through Thursday, 79 Philadelphia officers have been accepted into the city’s Deferred Retirement Option Program, meaning they intend to retire within four years, according to Mayor Jim Kenney’s office,” the Philadelphia Inquirer reported. “During the same time period last year, just 13 officers had been accepted into the program, the office said.”",-0.078
1734,"Good news, interest rates not likely to rise until 2023.",0.7252
1735,"I got a call today wanting to sell me extended warranty on my car.When I told him I drove a 1977 Ford Pinto, somehow we got",0.5426
1736,"Naturally, the religious right has lost its mind over Lil Nas X's music video & his ""satan shoes"" or whatever.Once it was Elvis's hips....... & Music, Art, Literature, Philosophy in general;and Science comes from the devil.",-0.7025
1737,Karmala Harris: Americans breathe easier with the Biden administration.The nasty vicious wench needs to just speak for herself instead of trying to speak for all Americans.,-0.0802
1738,SO FAR 90 MILLION STIMULUS CHECKS WORTH 242 BILLION HAVE BEEN SENT OUT IN THE FIRST WEEK.,0.513
1739,"SHEP. HERE.................... Since WMT has many leased spaces to banks inside its supercenters, when and if they get into doing some form of banking, the customers who were going to the banks inside WMT, will possibly keep going to that location to do their banking. So it will be like built in customers. It was smart to lease space to banks, but it may be to the detriment of those branches.",0.264
1740,Walmart downgrade. What a surprise! Some big buyers want to buy your shares lower. One of the safest best performing long term holdings ever. Strong hands are pushing this down today.,0.954
1741,very weak stock RSI trending down MACD heading south BB's heading south --get out,-0.8542
1742,anyone catch tucker last night? i forgot to record it.fritz?,0.2524
1743,"It doesn't look like a good day to be short. Penynostoc, you only have a short time left to cover because Thur. is the ex div. day. But if you hold the short positions (and you did say you had 2 ) thanks in advance for the div. I do appreciate it.",0.4462
1744,Tomorrow morning many people will wake up and go to work. But there will be many now hiring signs up with companies desperately needing people and can’t get them because the unemployed people are getting too much money.,-0.1574
1745,Can anyone here give me just ONE reason why I shouldn’t be allowed to complete in women’s sports?,0.2987
1746,"Walmart is a steal at this price, Ex Div next week and then earning, plus and of month, buy now if you can",0.5973
1747,Has Joe broken Amazon up yet like he promised?,0.8193
1748,Early Reports are Business is Extremely Good this weekend as Stimulus dollars are arriving in shoppers checking accounts,0.4686
1749,Another one who decided he can't live with them anymore.https://www.yahoo.com/news/gop-strategist-quits-apos-corrupt-135557288.html,0.3424
1750,WALMART STOCK NOT GOING TO MOVE MUCH UNTIL NEXT QUARTERLY EARNINGS. INVESTORS SHOULD TAKE ADVANTAGE OF THE DOWNTURN.,0.5528
1751,With so many people today that have lost all their self respect and personal pride thanks to the rise of despicable socialism they feel they are entitled to be supported by somebody else .Give them an inch they will try to take a yard every single time.,0.9177
1752,"If the stock market does a real correction, as it should, to 24,000 or so, then we'll see how loyal the Cleetuses (Cleeti?) of the world are.",0.4035
1753,This doesn't look like a good day to be short.,-0.736
1754,Inflation and payroll taxes will MORE than eat anything you gained from $15 an hour.,0.2194
1755,Futures are up and looking green on the markets today. WMT probably flat until third quarter Flipkart IPO. Great time now to add more WMT stock to your portfolios.,0.8691
1756,I know where I live I have never had to call the poIice.,0.1538
1757,Star Power can have a big affect at times. https://www.cnbc.com/2018/10/09/voter-registrations-skyrocket-after-taylor-swift-instagram-post.html,0.5651
1758,"Four long term leaders of Online Retail Amazon, Shopify, WalMart, FedEx. $wmt and $fdx valuations are a fraction of the first two...yet are executing well and have huge scale and strategic position in same growing market.....I am long all 4 but believe WMT and FedEx have more upside in 2021.",0.8888
1759,"Maybe shorter is still waiting of WMT to break out to cover, huh? We haven't really seen short squeeze yet?",0.7806
1760,WMT looking good today.,0.4946
1761,"Shorty McshortBear, investing vs shorting is very different-- shorting is gambling. Investing for the long term is an educated way to wealth. There aren't many ways to get wealthy, but investing in the stock market is one. You buy the best and hold on for long term. You ride the stocks up and down, but the stock market always has a propensity to go up. So that is the advantage. How many more railroads do you think they will build in America? How many more large plane builders do you think will be around? How many more large defense firms will there be? Sure stocks go up and down, but if you also collect dividends, those come no matter what the stock price does. How many electric utilities will there be around the major cities?",0.9886
1762,"If you follow the money you find CNN incomparable to Fox or any other media source. AT&T Comcast Corp owns CNN and makes BILLIONS in govt awarded contracts. $3.3 Billion NSA contract awarded to AT&T despite being outbid by $760,000,000 by DXC Technology. The owner of CNN is a certified communications monopoly with a gargantuan amount of power that is essentially an arm of the government and can go as far as removing your internet and phone service and all communication. They have infinitely more vectors for corruption, a staggering amount of money on the line / reasons to constantly pander and lobby the current regime or whichever political party they can lobby most effectively to keep their monopoly in place and govt contracts flowing. Given the ownership structure of CNN there is no way anyone could ever conceive them as honest journalism and not in any way comparable to Fox.",0.9816
1763,Nice! Another Record Dow High. Futures are green. It’s becoming the norm,0.7074
1764,"WMT....In Lynnwood, Washington. Prices are good, but it's hard to get out of thereunder 150-200 bucks. That store ROCKS....",0.2658
1765,multi ID schizo downvoter has returned!,0.7289
1766,Cuomo fondIes an employees bresteses under her shirt without permission?,0.0405
1767,"I constantly need to mute those political discussions. lets talk about WMT stock and the market, not politics.",0.541
1768,Unemployment rate rising and inflation is rampant!Anyone know what that means?,0.2303
1769,"Good News! Lumber prices fall for a 5th straight day! From a high of $1,670.50 per thousand board feet to $1400.",0.6958
1770,"If you have not, please vote in Ford's annual shareholder meeting FOR ""Relating to Consideration of a Recapitalization Plan to Provide That All of the Company's Outstanding Stock Have One Vote Per Share"" if you care about shareholder representation. We need to make moves to move $F away from the circle of large family owned businesses that retain too much power, like $WMT",0.9829
1771,"New York set to legalize recreational marijuana, the 15 state to do so.",0.6831
1772,"WHEN FILLING OUT YOUR MARCH MADNESS BRACKET, DON'T TAKE 2 MANY #1 SEEDS TO MAKE THE FINAL 4, MORE THAN 1 # 1 SEED HAPPENS ONLY HAPPENS 28%.",0.444
1773,Will this affect your stock performance? Joe sets another new low for new unemployment claims. The destruction to our country is scary to think about if Joe hadn't won.,-0.4485
1774,How much more proof do you need to know Joe’s policies or job kiIIers?,0.1723
1775,"SHEP. HERE..................... Think about this. If the Waltons never sold any shares and the company kept buying back shares. All of us who own shares own a bigger portion of the company. Of course, we are all small investors but the family are huge investors. They would keep having a bigger portion of the company. There was a time when they owned about 30%. They are keeping it right at 51%. Did it ever occur to anyone that if they family really really wanted to, they could buy the other 49% and take the company private? After all, they are all billionaires and one of them owns a chain of banks that are in at least 3 states. (ARVEST).",0.9619
1776,"Walmart is a great company with long track records of success. Considering the current down turn as Walmart go on sale. Amazon is leasing closed Retail locations to get to a physical location. Walmart already has locations everywhere. Have you check the price difference of the same merchandise from Walmart vs Amazon? In two to three months, it is going back to $150~ range. Walmart is not Amazon and won’t have the same return or growth rate. It is a hyper retail with significant global presence.",0.9776
1777,Is anybody else fed up with the people of color and the never ending problems they are constantly creating in our country?,0.3327
1778,"subsidy only kicks in for premium costs above 8.5% of income.....so.... the rich get ZERO benefit.......ie. $500K income , no subsidy for premiums BELOW $42.5K.........lol.... best aca polices for a family 4would not even be half of that or so.",-0.399
1779,Xiden to waive IPs for vaccines....... i wonder if fraudci and the rest of the crony dems already cashed out their $PFE $JJ and $MRNA in anticipation of a crash???? probably,0.8372
1780,Joe is sending billions of taxpayer dollars to central America countries to determine the root cause of why people are fleeing those countries. Maybe he should commission a study as to the root cause as to why criminals' keep getting shot by the poIice?,0.5509
1781,HAPPY EASTER to all-=Stay Safe-God Bless,0.8028
1782,"Yes, Joe learn a lot about massive spending on shovel ready jobs from his old boss.",0.8788
1783,"SHEP. HERE..................... Peny, how much do you have to lose before you cover a short.",-0.6417
1784,"still waiting for my shovel ready job, its only been 12 years......... joe been cashing govt checks for 45 years, hasnt done a thing!",0.7906
1785,"he hated John McCain but""me and Kim are such pals"" 'He wrote me beautiful letters and we fell in love"" Donald . 'We fell in love' - BBC News 'We fell in love'",0.9445
1786,Maybe those living in one of hundreds of your liberal ghettos should pay a $1000 per year fee for all the damage and deaths they cause. I'm fine with that.,0.3635
1787,Shorts have made a lot of money on WMTThis you cannot deny - and being up .03% in pre-markets is not exactly taking off,0.6631
1788,IT'S RAINING FREE MONEY! THANK YOU!!!!!!,0.7911
1789,"JUST LEFT THE SWAP SHOP, BOUGHT A 125LB. BRASS DEER 4 $ 210.",-0.3638
1790,SHEP. HERE. .................. I can't imagine why Congress can't pass a little stimulus bill then later pass another. People need money.,-0.0436
1791,"oh my Wally World E-Commerce dropped 32% QTR over QTR , and what they have this QTR was due to Pandemic , but now that is fading fast ...............last QTR ...""Walmart U.S. eCommerce sales increased 69% with strong results across all channels...........................this QTR ..... ""eCommerce sales grew 37% with strong results across all channels"",.................YOY down .....last year , $1.41 1rst QTR .........this year $0.97 ....with the Pandemic Plus sales ...?????",0.9727
1792,There will probably Be a shortage of materials to do that too,-0.1377
1793,"Let's get going on infrastructure, that's the way forward.What do the builders and engineers say?This stimulus is far better than the tax cuts of previous, The tax hikes on the very rich will also dampen inflation.",0.4176
1794,"like VZ service/network... eyes on ACRX today, up 38% at the high, ACRX Volume crazy... another stellar $wmt earnings report....",0.8129
1795,Steady climbing to 147. It will test and move higher.,0.7572
1796,"Half of trumpers refuse to get the vaccine, so we won’t get to herd immunity. This fall expect another huge surge in coronavirus.",0.789
1797,Never buy a stock at the open. The hype needs to settle down. WMT should rise to new highs since it has taken on AMZN is many areas and Christmas sales 7 months from now should propel this stock to a new 52 week high but don't chase it.,0.4986
1798,I told you Joe's failed policies were good for WMT stock.,0.175
1799,So you liberals want to delete the names of people in our history because you think they are racist? Ever stop to think the Chinese are racist against Americans. After all they turned the virus loose on the world to profit from it. Are you going to wait a 100 plus years to blame them for it?,-0.7228
1800,"After seeing inflation is hitting, I think I will stock up on paper products to avoid the coming price increases.",-0.0449
1801,"Judge in Chauvin trial: Maxine Waters despicable ""remarks encouraging violence may result in the entire trial being overturned"".Get that nasty disgusting creature censored and removed from congress.",0.144
1802,I know you are all excited to hear that my Chaco shoes have already arrived. Great find! :-),0.8924
1803,I'll bet Trump supporters in this district can't wait to get to the polls to vote for their favorite candidate. I suppose those Trump supporters are feeling like the world has passed them by. https://www.yahoo.com/news/hampshire-set-history-open-us-house-race-043415320--election.html,0.9192
1804,"SHEP. HERE................... If you are not in the age group to get the vaccine yet, don't let that stop you from trying to get it. My daughter-in-law and grandson called a local drug store a few weeks ago that if they had any left over vaccine and no appointments for it, to call them and they called yesterday and told them to come in early today. They will then reserve for them the 2nd shot when the time comes.",0.9561
1805,"Planned Parenthood:22,500,000 is the number you're good with, right fritz?",0.5066
1806,"Irony is I drove by $WMT on Sunday and parking lot was full. Out of curiosity, I turned around to look what was going on. There was line of 40 people, waiting to get in. People were coming out with carts full of merchandise. Seem like Walmart is in a full swing. People go there instead of disney world. I am surprised price is sinking.",0.9431
1807,It takes an extreme lowlife to abandon your kids and then send them illegally over the border into our country expecting our country and taxpayers are going to take care of them.Its actually quite bizarre that anybody would ever do that to their own kids.,-0.4821
1808,Looks like another great day today.,0.8066
1809,How many tariffs DT enacted have been rolled back by JB? oh yeah.,0.5757
1810,"WEARING DA BRING, 2009 CANADIAN FOOTBALL CHAMPIONSHIP RING, WORTH 26 K. AT THE TRACK 2 DAY",0.8142
1811,I wonder what people will do with their current gas powered vehicles? Will Tesla take them on trade?,0.1664
1812,"The summit is being described as ""A REALIY TV HANDSHAKE"" with Kim Jong-un walking away with exactly what he wanted without making any concessions. Kim Jong-un should write a book, The Real Art Of The Deal.",0.5466
1813,SHEP. HERE............................ Even though no one probably cares what I buy I tell what I buy and when I buy it. I just bought some PLTR in my Roth. It isn't a long term one for me. But I figure I can make a few dollars on it and in a Roth it isn't taxed.,0.917
1814,Algos get reprogramed this weekend -- with a little bit of that employment beauty mixed in -- should be great fun on Monday -- you realize the institutions and the algos count for 98 percent of the volume --,0.9437
1815,"Well, Penynostoc made a couple dollars today, but he is still behind on the next to the last short.",-0.4269
1816,SHEP. HERE........................ Retail sales numbers up nicely!!!,0.6425
1817,HOME DEPOT BACK 2 BACK DAYS AT A 52 WEEK HIGH.,0.7775
1818,It's not really a crisis. The border has been like this for decades.Take some medimucil old timer,-0.2262
1819,Stock will be at 200 before the end of the year,0.0549
1820,"Tx covid cases Feb 10th 2021........Mar 2nd 7240.......mar 10th 5350.......mar 14 2729...............10th was ""liberate"" day......",0.3374
1821,$AMZN up $20 this morningAgain.,0.2078
1822,"The stock market going up is great for the 20% who own 80% of the stocks, but for the rest of us it’s meaningless.",0.7858
1823,The penystoc inverse reaction ,-0.2519
1824,Doubt you’re going to get much sympathy on a stock message board.,0.2985
1825,It never ceases to amaze me how those with instant gratification needs turn the stock market a proven longterm moneymaker into a short term casino.,0.6741
1826,CAN'T BELIEVE THAT IN THIS PANDEMIC THAT THE STOCK MARKET HAS REALLY HELD UP WELL WITH CERTAIN STOCKS HITTING NEW HIGHS. STILL UNBELIEVABLE.,0.7956
1827,"It looks to be another dart day with the most money being made on other stocks if you are shorting. If you have tunnel vision, you lose. WMT isn't going down that much and possibly not going down today.",0.6108
1828,"With futures up, it won't be a good day to be short tomorrow.",-0.5831
1829,"'The Dominion servers in Germany WERE grabbed by ‘the good guys’ in Germany… PROOF is coming!! the voting machine company, Dominion, had ties to “communist Venezuela” and Hugo Chavez! & China! !!'see: Election auditor wrote ‘election fraud facts’ report for GOP senators who tried to overturn the 2020 election",-0.4577
1830,.08% is 9.6% annualized,0.0
1831,"If you were going to put new money in the market, what would be your very best idea if you were telling your mother where to put her money?",0.7714
1832,SHEP. HERE............................ The Dr. who piloted the company through the pandemic is leaving. During his time there WMT opened a medicare insurance brokerage and was in charge of the WMT clinics opening. Dr. Cheryl Pegus will be taking over that.,0.5639
1833,Marjorie Greene compares mask wearing in the House to the holocaust. Does she have your vote? How about a hefty donation.,0.358
1834,"1st qtr 2021 GDP expanded at 6.4% following a 4.3% pace in the fourth quarter,",-0.1186
1835,$150 coming,0.0537
1836,Billion with a B? LOS ANGELES (Reuters) - California Governor Gavin Newsom on Tuesday said he was committing $12 billion toward the state's seemingly intractable homeless problem in what he said was the largest amount of money spent at one time to get individuals and families off the streets.,-0.0382
1837,"Nice guy! According to investigators, Floyd had entered an apartment by impersonating a water department worker and barging in, and he pointed a pistol at a woman.",0.4962
1838,"Follow me here, Walmart announced they just acquired MeMD. Here’s the link to the acquisition news: https://corporate.walmart.com/newsroom/2021/05/06/walmart-health-to-acquire-telehealth-provider-memdTeleheath is an absolutely huge sector right now. People didn’t make the connection here because MeMD in instead isn’t a publicly traded company, but it turns out MeMD entered into a big partnership with MediXall Group last year! Hello $MDXL ! Here’s the PR from last year when they announced this:https://www.globenewswire.com/news-release/2020/06/09/2045793/0/en/MediXall-Group-Announces-Expansion-Into-Telehealth-With-Upcoming-Launch-of-the-Next-Generation-of-MediXall-com.htmlI would expect that when this news gets out, and people catch on to this DD, this stock is going to explode in response to the news. The stock very little volume on Friday ... clearly, no one made this connection yet and that’s going to change next week as this news gets out. An acquisition and partnership with Walmart for an OTC stock is some of the biggest news an OTC stock can get!Walmart gets a company that is perfect for the space that they are jumping in and can expand quickly. Something to discuss and think about. I am just trying to connect the dots...",0.9975
1839,How many people are shot and killed in Chicago every weekend? Chicago has some of the strictest gun laws in the country. Trouble is criminals don’t obey laws.,-0.8974
1840,"Khan-Cullors, 37, signed a multi-platform deal with Warner Bros in October, although it is not clear how much she is paid by BLM since their finances flow through a complex web of for-profit and nonprofit corporate entities.sounds pretty fishy",0.7141
1841,Shep tells us all what super smart stock pick you are going to buy next...really curious what is your criteria,0.9063
1842,10 Year Holding nicely under 1.6%.,0.643
1843,the way WMT is sinking it will have a disastrous earnings report,-0.5118
1844,"""We're rounding the turn. Our numbers are incredible."" ....""That's all I hear about now. Turn on TV, 'Covid, Covid, Covid Covid Covid.' A plane goes down, 500 people dead, they don't talk about it. 'Covid Covid Covid Covid.'""",-0.5636
1845,right at the top of the B Bands with a sloping down line-- very bad news-- selling into every rally feeding the retail longs all they want,-0.7603
1846,How much of a dent in Joe's $6 Trillion plan would Jeff Bezos entire fortune make if Joe taxed him 100% of his entire net worth?,0.7519
1847,"Republicans LITERALLY tried TO OVERTHROW THE 2020 ELECTION.""There has never been a greater betrayal by a President of the United States of his office and his oath to the Constitution. "" Liz Cheney",0.3938
1848,"Fact: if you can’t breathe, you can’t talk.",0.5021
1849,Target price for WMT ?,0.0171
1850,"Any idea what Joe Xiden was trying to say. “The best way to get something done, if you hold near and dear to you that you, uh, um, like to be able to, uh, anyway. I’m, we’re ready to get a lot done.”",0.9534
1851,Worst stock forum ever . Both sides,-0.4756
1852,"“Social Security has been law of the land for 85 years, Medicare for 55,” Sen. Bernie Sanders (I-Vt.) said in response to Barrett’s comments. “Tens of millions are dependent upon these programs for retirement security and healthcare. And Judge Barrett doesn’t know if they are constitutional. Really? That’s what right-wing extremism is all about.”",0.8024
1853,Wall Street Journal: Obama’s Bad Stimulus ExampleDemocrats want to repeat the 2009 strategy of paying Americans not to work.,-0.406
1854,APPL strong!!,0.6994
1855,there is no institutional buy interest prior to earnings-- bad sign-- they are all in --next progression --try to get out -- exit door is very small-- crowds very large --selling stampid on the horizon even knocking on the door,-0.3047
1856,If he had only simply listened.,0.2798
1857,"If the bond yield subsides then gains could be huge in the coming month. With a new stimulus package for 1.9T, it's difficult to imagine yields staying low.",0.335
1858,I wish more companies would step up like this. There are a lot of underprivileged young people out there who have a lot of talent that will never be realized because they come from a background that doesn't allow them to realize that talent without some help. I love good corporate citizens and it helps those companies in the long run. https://finance.yahoo.com/news/amazon-future-engineer-brings-computer-143000558.html,0.9843
1859,"47 percent of Bone spurs voters say they don’t want a vaccination.you know, no need for masks or any precautions....they have the hyroxy, lysol and MyPillow guy's Oleander oil, though.",-0.1295
1860,Reminder: Raising the minimum wage would lift wages for nearly 8 million mothers.,0.2288
1861,Is the epidemic of unpublishable theft under $1000 in SF a dividend? They are simply breaking your car window and “distributing” your personal belongings as “dividends” to the black market. I’m glad CA has the highest taxes in the US!,0.8281
1862,I don't think that guy took drugs or had heart disease either. Or had Covid-19,0.5713
1863,Walmart leadership appears to be trying to make everybody happy except it’s stock holders,0.8493
1864,"Lowes is a strong buy based on the parking lot indicator. Today, I went to Lowes to buy one little item. I was going to park at the garden center area and there were no spots-- NONE. And the best place I could find to park was at the lumber door. I have never seen the parking lot so full. I do own the stock, but if I didn't, I would be a buyer. In this area, Lowes tend to be in a better location that Home Depot.",0.9334
1865,"DJT increased the deficit by 6T over 4 years. Joe Xiden will increase the deficit by 6T over 4 MONTHS. wow, thats a lot of dough!",0.759
1866,"""Cut military spending 50%."" JohnShould we learn to speak Russian or Chinese?",-0.3222
1867,"Holding my shares, stock is great in long term.Bought more SKIN today.",0.9278
1868,"looks like the results are in, the republicans are just all around better than the dems. smarter, wealthier, more attractive!",0.927
1869,Walmart has to close 6 stores in  whoops,0.1641
1870,longs about to be schooled here -- stock crash coming and there will be no safe place to hide except gold shorts puts and futures- hiding here is a joke,-0.1962
1871,Shorts getting burnt today.,-0.0636
1872,"@shep You see this?Apple ( AAPL ) remains No. 1 in the entire stock market. The iPhone maker repurchased $19 billion of stock in the March quarter, bringing the total for the past fourth quarters to $77 billion.Apple ( AAPL ) added $90 billion to its repurchase authorization. Luca Maestri, the company's chief financial officer, said on a conference call on Wednesday that ""we continue to believe there is great value in our stock and maintain our target of reaching a net cash neutral position over time.""",0.944
1873,"SHEP. HERE.......................... Even though WMT is showing down premarket, with the stimulus being spent, WMT is raking in its share of that and with ARVEST vacating inside my WMT store, I feel fintech is on its way. How nice it would be for people who already know WMT to be able to walk into an office in WMT and get a mortgage, a car loan or whatever. WMT is a trusted company and since they are there shopping anyway, it isn't like they have to call up a bank and get an appointment. They could walk in and on their shopping trip stop by and ask, ""Could I come by sometime soon about getting a mortgage?"" That sounds really good to me. This can be a great revenue source.",0.9784
1874,Have Joe’s walking lessons started yet?,-0.0037
1875,"If everyone went to school, they would know what the word ""stop"" means.",0.4448
1876,If the capital gains tax rate is likely to double of course it makes sense to take your gains while the rate is still low.Unless of course you have no problem paying double taxes on your gains.,0.7453
1877,Even CNN’s Jake Tapper made fun of Joeys so called press conference.,0.7922
1878,"Joe Manchin D-WV is a true American hero in drawing a line in the sand by not allowing the despicable and corrupt socialists to turn our country and government into a one party rule to ramrod their socialist agenda through congress, into law and upon the American people.""Under no circumstances will I ever vote to eliminate the filibuster"" said the respectable Joe Manchin today.",0.9647
1879,Walmart has a 20BILLION buyback program in place!!!! Any day now!!!! Lolll,0.6873
1880,short term we will see 104,-0.5377
1881,https://www.independent.co.uk/news/world/americas/us-politics/donald-trump-adolf-hitler-books-bedside-cabinet-ex-wife-ivana-trump-vanity-fair-1990-a7639041.htmlDonald Trump 'kept book of H i t l e r 's speeches in his bedside cabinet and may have read it for inspiration',0.6144
1882,"""The mental and physical condition of the Commander in Chief cannot be ignored. He must be able to quickly make accurate national security decisions involving life and limb anywhere, day or night,"" the letter said.",0.8206
1883,Listen up boy!,0.5791
1884,"TOM BRADY ROOKIE CARD SOLD FOR $ 2,250,000.",0.1689
1885,"Well the good news is, everyone still shops at WMT. After I do yard work today, I will make a trip. I have got to get fertilizer for the yard. My neighbor's house is going to be on HGTV. They are doing a huge remodel on it so when that is finished and aired on TV people will be driving by to see it, so I need to have my yard looking good and I have a big yard that is more work than I ever intended when we planted it, but I always have something blooming.",0.8547
1886,"for people earning more than $1 million, your capital gains tax rate goes back to what is was before 2017, a max rate of 39.6%, this is per Joe's promise to raise taxes on the wealthy but not on households earning less than $400K. the American Family Plan, will reduce child care costs for families, make prekindergarten and community college free to all, among other things",0.9718
1887,"Just because some lowlife abandons their baby at your door step does that mean that you are then obligated to take the baby in and raise the baby as of it were your own?Of course not.You do the right thing and turn the baby over to the proper authorities .Where they then track down the lowlife parents or parent that committed such a heinous act, charge them with child abandonment and then put them in prison for their despicable crime.",-0.6199
1888,In 27 states the maximum unemployment benefit is $750 a week or $19 and hour and tax free in some cases.,0.5585
1889,WMT reports in 8 days,-0.0397
1890,"WEAR YOUR MASK !!!!!Don’t give no guff about taking your freedom for saving peoples lives!!!!We have a chance to beat this, don’t blow it!!!!",0.8101
1891,Going to be adding to this position. Currently WMT sits at about 2% of my portfolio. I’m going to add through the year until it’s around 10%,0.4059
1892,"thoughtless people demean sensible people of the world who are transitioning to green power... & the thoughtless work to prevent that transition. ie the Loser's ""coal is beautiful"" hooey.Sensible people in the US see it as good news that WE have reduced coal power by 60% since 2008, and others have done even better....actually achieving ZERO coal power...& many more have pledged the same.",0.9038
1893,Maybe she should do the same for VP harris.Marjorie Taylor Greene says she will be introducing legislation to remove Maxine Waters from the House for inciting the rioters in Minnesota. Just hours after Waters told the crowd that they needed to step up confrontation in the Minneapolis area a white SUV drove by National Guardsmen and opened fire. Two members of the Guard were slightly wounded. One went to the hospital after he was hit by flying glass.,0.7249
1894,Only 3 months in and Joe’s policies are kiIIing America and Americans jobs. How in the world did the unemployment go UP when everyone is in desperate need of employees?,-0.3449
1895,this is a grocery store with a forward PE of 29 in direct competition with AMZN- maybe worth 86 bucks,0.593
1896,Did anyone here get a tax bill last year for corporations they own stock in? Axin for John/fritz “A corporate tax is a tax on the profits of a corporation... so the shareholders pay it.“ John,-0.0548
1897,Joe said he’s going to hold Russia accountable!,0.6192
1898,I think WMT has turned into the Apple of retail... price will just stagnate for the next 6-9 months. This dog is dead,-0.6133
1899,MARCH 18 EX DIVIDEND DAY.... 8 DAYS OF GOING UP YES INDEED - WALMART BANK ANNOUNCEMENT PLEASE PLEASE HOPEFULLY SOON,0.9692
