,Recent headlines and conversations for HD,Polarity
2255,run to 300 then split runup few days later?,0.4407
2256,Analyst comments triggered the selloff,-0.1039
2257,Lumber prices are up today.,-0.0433
2258,come on 220 EOD,-0.1402
2259,Stock split?,0.324
2260,Would all the cheerleaders just go away.,0.3788
2261,NOT GOING ANY HIGHER,0.2455
2262,"Why is HD down so much, I've read some of your opinions on this forum relating to vaccine and Covid impact on home builders and home improvements....which counter-intuitive says a better/open economy will increase home market.I have another take, it has been announced by AOC and Buttegieg that they will create a sort of blacklist of Trump supporters to enact a cancel and ostracize action against them. Both Bernie Marcus and Langone are major supporters....possible?",0.9291
2263,Govt has made it clear....homeowners gonna be flush with cash to improve their home. ISM number thru the roof. They're trying to bring economy down. America is too strong. Dem's can't stand it. Look for new troubles to arise. They want Pres Trump to look bad. They'de sacrifice anything to regain the POWER! Trump 2020. imo,0.2925
2264,"Employee purschase plan this week, that will probably boost the price a bit.",0.5727
2265,did lowes not payout extra to their employees like HD?,0.7629
2266,Make you a bet this thing will come back and barely be down at the end of day.,-0.0432
2267,"compare lumber prices, lol",0.159
2268,This stock sucks. I love the company. But when I get out of this one I will not buy HD again.,0.7681
2269,Nice!! Very nice. 179 incoming !!,0.7696
2270,EVERY TIME I GO TO HD. IS EMPTY HERE IN NEW YORK,-0.0739
2271,"The market is a casino, no longer about fundamentals.",-0.1084
2272,"HD PT raised to $265. Analyst points to booming housing mkt, consumer confidence and ""its a BRAND people trust! I always looked at LOW, however, after doing much DD I've discovered LOW is a ""left"" leaning company. I love Ken Langone' and his commitment to America. HD is a conservative company. Yes, HD is brutal on Little merchants etc, however, isn't that spirit that made America great? My values, as a Patriot, coincide with HD's values! Thank you, President Trump! Trump 2020",0.9829
2273,Div announcement usually around 2/20. On basis of coming year's expected earnings and historical payout ratio I expect div to be raised to 1.06-1.09 range.,0.5523
2274,crash and burn time again. ONly few of companies doing well. Rest very little traffic period.,0.761
2275,"Great for me I will buy from Home Depot, who cares about what the co founder did.....",0.9042
2276,"Don't understand today's decline....I'm long term holder, love the 2.5%+div....I'm buying....still think long term it goes to $310 - $320",0.8596
2277,Per CNBC options market is anticipating a move to $230 for 12/6,0.4953
2278,Chart looks like we are headed back to $150 level. I hope that's wrong. I'm in at much higher levels.,0.7199
2279,Yes- got my 220. Taking some profit. Holding a bit for a possible run up to 225.,0.8868
2280,"wheres christoph, lol those lumber prices...lol",0.244
2281,"Look at $HD, a crazy chart",-0.2685
2282,"This is freaking nuts. If HD continues to dive, the ball game is over. We could be looking at a crash. If no improvement in HD price by days' end I am bailing out completely.",-0.7895
2283,need 90,-0.0005
2284,Credit Suisse is no longer a credible source,0.2224
2285,check GBT.,0.0832
2286,Tommorow over $200,-0.2215
2287,Hd sells hardware. Not shirts and video games. How and the hell can amazon really compete with a brick and mortar store like that?,-0.4769
2288,"Easy money - Sell at open, buy back at closingTons of longs are trapped over 166",-0.057
2289,Buy 250 calls for this week. You won’t regret it. Flip flop,-0.5592
2290,"Reportedly, HD bought dogecoin at .05",-0.0068
2291,Stanley black and decker falling ah..,0.0585
2292,Not sure if this is the place to ask...but I've been wondering why HD's book value has fallen so low? What am I missing?,-0.2888
2293,just purchased a pile on the dip. good luck to us!,0.8412
2294,Taking a little profit today so to avoid decay. I’ll buy back in on Monday 225 calls,0.0387
2295,I can't wait till earnings again May 16. The numbers will show how strong HD is . $ 160.00 before earnings.,0.3642
2296,"Hurry buy HD before Wall Street down grades it tomorrow or next week , You know it's coming after they down graded CAT and DE LOLThat's got to really suck buying today at all time highs and getting down graded tomorrow or next week LOL",0.2409
2297,It is so nice to see home depot over $200.00.I am afraid the future will knock us back down. The institutions who own many 10s of thousands of shares will sell and take there profits. When this happens HD will nose dive back to 180s. I have been long with HD for over 30 years. It is honestly the best investment. I would love to see HD stay over $200.00 for quite some time. Go HD !!!!!,0.9739
2298,....tough times in the market and I don't see a short term rebound...important not to trade out of panic...maintain a long term view...,0.7408
2299,The only up stock in my portfolio ie: appl and cat as examples we need more positive days to make up the losses from last quarter report stay long hold long,0.9246
2300,Will easily pass 300 next week.,0.3063
2301,nice to see HD holding green with such a red market,0.6039
2302,They always lead you up to the sell off just before what should be a great call but will be back before hand.,0.8479
2303,"my original $7,000 investment is now worth over $50k. dividend reinvestment and not touching this stock for 25 years.",0.7854
2304,"buy home improvement things must be buy in stores, you can't buy online, because you must be seen it and checking it, so Amazon didn't affect HD, there are lot of buildings and house need improvement now, the gardens need improvement too, American too broken, need change, so HD stores very busy now, covid-19 didn't hurt HD, so strong buy HD can make a lot of money, target price $500,",0.956
2305,Don't let these people scare you out of HD long-term looks good. With massive gains why pay taxes. Traders like R lose money 90% of the time. He tries from what I see to time the market in falling knife stocks like BBBY!!!...LOL,0.5461
2306,How we feeling about earnings report?,0.4133
2307,300 by next week,0.0454
2308,"HD remodels 1600 kitchens and bathrooms per day with their subcontractor network. Just saying, most remodels range from $15k-$35k",0.4701
2309,#$%$ is it down????,0.2484
2310,don't know but tomorrow's opening looks red,-0.4267
2311,HD up $3.31 - LOW down $.28,-0.4704
2312,Is everyone on this board scared to come out and laying low you’d think the opposite but what do I know,0.0405
2313,not good,0.4746
2314,"https://finance.yahoo.com/news/home-depot-donates-half-million-120000959.htmlYeah, karma is a boomerang. Look for continued consistent price support even at new highs.",0.5124
2315,Hopefully the idiots are buying back some stock at least.,0.7227
2316,Followed by a same source buy back,0.3568
2317,I’m long as in retirement long!,0.7099
2318,"financial statements on yahooooes don't make sense in many cases.....""revenue"" on the balance sheet? stockholders equity doesn't balance,,,,c'mon fellas....get your""minds"" out of bed",-0.3153
2319,Home Depot is down 4.90% to 273.13,0.0214
2320,woohoo way up in AH,0.7615
2321,DId you see this home depot longs !http://www.newsobserver.com/news/business/article156062299.html,0.4098
2322,MOON IT HD. OR DUMP IT?,-0.28
2323,Susan...why don’t you go see Dr Phil...maybe he can fix your brain,0.5802
2324,MANIPULATION SHAME SHAME,-0.8126
2325,"Good stock, however, retail industry is in for deep deep pain this year.",0.1364
2326,"Hire Marines, I am proud of them for taking on the Confederates, and it looks like the newer nra stickers are no longer designed to copy our Marines. Thank you.",0.8883
2327,what happened to all the gloat?,-0.0073
2328,here we go up,0.1689
2329,"The East Coast Winter freezing, causing power outages, Snow & Ice accumulation, busted pipes everywhere, which causes structural damage. All these will be good for HD.",0.7411
2330,Stocks and roller coasters.....weeeeeeeee!!!! All in!,0.4475
2331,Low PEG growth rate of 1.3 is much better than HD 1.75. Both are growing very well but Lowe is faster. I have seen Lowe seems to position with higher end product than HD. Is my observation correct? It is following HD and implemented self servicing check out now. Lowe is less dusty than Home depot when I compare the store. Location wide HD seems to have picked better location. Which one you will go to and which one you buy>? .,0.9607
2332,"Tomorrow opens at $174, then $176",-0.0389
2333,my 12 month target $245,0.0042
2334,"it won't be long before a large buyback is announced, to good a company to be at this price, over $250 before end of year",0.3568
2335,"Started a position today. If it never gets passed this again, we are doomed....",0.3967
2336,selling of HD is grossly overdone,-0.2606
2337,R boy with all the stinkers u buy no wonder u still trade at 70 plus!..lol,-0.1614
2338,Home Depot to not go up waiting for a Lowe's earnings report tomorrow,0.6078
2339,Lowes taking market share? I've been told by more than one,0.5332
2340,"LOWE's should be at 70 not 90, they miss on earnings, bought 90 puts.",0.1045
2341,Go LOW and HD. New highs for the summer and a great stock in a down market. $ 160.00 coming fast.,0.3078
2342,Why has HD been so weak the last 3 days while the market has run up over 600 points?,-0.1948
2343,**ALERT**Mammoth Appliance maker WHIRLPOOL tanking on Earnings !Whirlpool Corporation (WHR) 177.38-12.81 (-6.74%)Follows 3M and US Gypsum from sandpaper to particle masks to masking tape to roofing materials to plastic wall hangers to electrical connectors from 3MDrywall from US gypsumAppliances from Whirlpool beware home depot is hugely ovepriced for any disappointment !,-0.2072
2344,unreal what happened today,0.1191
2345,Glad I'm not shot HD,0.5609
2346,A lot of support around 211.75,0.2975
2347,"It's good to hold on this price. But a guy said to buy at 205, I suggest under 198.",0.3895
2348,Do we sell later today or hold over the weekend ?In other words is all the hurricane damage priced in ?,-0.1958
2349,"Bought at $171.42 450 shares, good luck guys",0.7949
2350,Long term buying opportunity. I have been wanting to buy Home Depot last year or so and haven’t found a good entry point. A little father drop and I’m in.,0.8799
2351,HD is up 5.09% to 200.29,0.1818
2352,sell now and take your profits this will not hold much,0.5053
2353,why can't HD hold in the green today not complaining with having added from March lows,-0.0862
2354,More downgrades coming. Lookout below.,-0.657
2355,"climbing very confident ,tomorrow morning around $295 easily",0.7911
2356,Low's taking it on the chin like HD yesterday. Earnings don't count.,0.4616
2357,Analysts expect 45.9% earnings growth in 3 years from $HD https://simplywall.st/NYSE:HD/home-depot,0.439
2358,Looks this will close red today.,-0.2977
2359,as property and other taxes rise in blue states home construction suffers..corona cant be blamed,0.7281
2360,why is HD falling?,-0.1129
2361,Hearing of issues at Indy stores,0.2928
2362,"What a ride!! Stay in your lane HD, stay out of politics whether blue or red, black or white. I purchase my stock as a home improvement machine not a political nightmare. For employee morale and wise investors, SPLIT!!!!!",0.8987
2363,this is the perfect time for a two-for-one split. this will allow more small investors to buy Home Depot stock.,0.8591
2364,Panic sellers and shorts played today....Home Depo is just a massive money maker..Now at this price you'll see the money fly back in,0.2691
2365,just wondering whether it can hit 290 or 300 next friday?,0.1437
2366,Depression has started! Food lines are starting to begin. Vaccine is at least 12 - 18 months away. The question now for HD is: how many stores will be shuttered over the next 1 - 2 years?,-0.2322
2367,R is old and senile and has to KEEP WORKING!! Me I retired young on stocks like HD. Best of breed. Housing market looking good .,0.9557
2368,"General Motors to cut 4,000 jobs..Our finances are starting to see a squeeze...",-0.2428
2369,HD really needs to get their share price in line with with LOW . A logical way to do this is a split. Remember institutions take notice of share price especially in the quantities they buy. HD needs to listen to shareholders who by the way are customers as well.,0.7846
2370,Notice LOW rebound today but is not in the dow,-0.0077
2371,EPS carrying the economy. Carrying it. Don’t mess with that. EPS Down future recession.,-0.7653
2372,"Big Joe slayed HD again, can't wait for tomorrow to do it all over again $$$$$$$$$",0.5786
2373,This stock is pure example of huge run up before earnings and will fall tomorrow. Been doing this for years,0.573
2374,"Strong housing market, hurricanes galore (unfortunately) should bode well for HD. Why is HD below $278? This is nonsense, HD should be over $300 or at least it needs to hold in the $290's.....cant seem to break out from resistance.THis is all about the shutdowns and election worries..........and once the political #$%$ weaponizing Covid.....HD will go back up. Pain for a few more weeks until election settles down.",-0.6522
2375,When hit over 200.00 or more split time,0.0733
2376,"Another 8 shares, thanks HD! Keep the dividends coming!",0.7581
2377,Always BUY HD at the end of June.....Just look back at 5-10 year charts and you will see lows right around end of June early July then its off to the races. Waiting here to BUY,0.2172
2378,"if we beat more than 10%, we will see 310-320 tomorrow.",0.25
2379,"Relax. Once Trump is started on medication for his personality disorder and cognitive loss, this stock will go higher.",0.2389
2380,HD is down 4.90% to 214.63,-0.2462
2381,Big new high @ 339.72 pre-market.,0.4117
2382,Eric is looser,0.0
2383,want to wake up tomorrow with the hurricane not doing a lot of damage and HD up 1% from wherever it closes,0.3691
2384,AMZN just crossed $1600.,0.1074
2385,"Keep averaging down bag holder loser, I shorted 277 will not cover 245, thank you bag holder",-0.4893
2386,Just had a very bad experience with the delivery team the HD chose. And later found out it's really the problem with the upper management. I had much better experience with Lowes for accommodating the customer. I will never come back to HD. They will not learn until customers are getting divorced with them.,0.6632
2387,250.00 by eoy...,0.0141
2388,Can we think SPLIT FOR home DEPOT.,0.5748
2389,Home Depot will keep raising prices.People will keep buying Everything is great Buy Buy Buy,0.8747
2390,Good to see that insiders and some of the big players were able to buy uber cheap shares and now can sit back and watch this thing go to 310. Bravo! Well done!,0.9391
2391,The best short in the house now! Make 50K easy,0.5869
2392,"stock will be down today 100%, no guidance, so Trump administration put moratorium on eviction, everyone went to home depo buying furniture with the check. AHAHAHAH",-0.2467
2393,HD fake news evolving. Sounds like some big short player is losing his #$%$!,-0.6193
2394,Just sold my 200 shares of US STEEL and increased my HD position. How'd I do??? I just think HD benefits on either end of the tarrif issue.,0.8992
2395,".001% below the all time high! Chooo, Choooo!",0.162
2396,when does new dividend get announced?,0.265
2397,But they don’t go down on great company with good numbers unless it’s being manipulated. since Jan every time this stock goes up 3 -5 they sell and force it back down,0.8178
2398,"I guess It is going to bounce back very soonIf you use BB (20,2%) 1 yearYou will see it is about to touch the bottom line",0.1679
2399,what a loser stock stuck in the muck,-0.5768
2400,How about Home Depot stock high quality products instead of their brand labels made specifically for them. They sell more junk it that store then Dollar Tree !!!!,0.7115
2401,More like trash depot,0.1307
2402,You guys enjoy. Off to Menards.,0.5525
2403,"if this does not hold 127.50 today I will be stuned, my stop is set.",-0.0582
2404,"OK, this looks like increased worker costs...and what is with the thumb downing? How dare you! I could cast a pox on you and cause you to lose all your $.",0.678
2405,"With all the splits over the past years, not recently, my cost is now $16/share. Great company for long haul.",0.9039
2406,we reached new ATH and people are still bashing HD buy and hold long,0.9074
2407,"Guys let me ask you something, how did you learn about investing? I am new to this iv read a few books and am still reading more..teach me please, give me some advice",0.7925
2408,HD was trading at 207.23 on 1-22-18 and 171.28 on 3-19-18 (a 17% drop).212.39 on 9-17-18 and 179.87 on 10-19-18 (only a 15% drop).It recovered nicely after March and can recover again.,0.5828
2409,"CONSUMERThe Time to Buy Home Depot Stock Is Now, Analysts Say By Lisa BeilfussUpdated Dec. 9, 2019 11:42 am ET / Original Dec. 9, 2019 10:26 am ET Order Reprints Print Article It’s time to build a position in Home Depot stock, analysts at Wells Fargo say.",0.918
2410,"Sherwin Williams missed earnings by a huge amount !It reported a 16% drop in year over year profit !""Diluted net income per common share in the quarter decreased to $3.36 per share from $3.99 per share in 2016""Sherwin William Tanking AH !Home depot will be rocked by this today !",0.9101
2411,No guidance fluke quarter,-0.2522
2412,slow and steady great dividends what else can you ask for,0.8151
2413,The market is acting ridiculous lately. HD could have announced a cure for cancer and a buyout by Buffett and probably still would have gone down.,0.0077
2414,"Yes HD beat. However, those numbers are primarily the result of the stimulus. This entire market is riding on the coattails of the $1.5T bill. Correction is imminent this quarter. However, infrastructure package could be the saving grace...",0.6996
2415,"not good for HD business in Texas.. most of contraction , remodeling done by Mexican in Texas. legal or illegal.. lets see how will effect HD and Low's business. I think too much hype for coming earnings, HD may miss it and drop big time..chart shows needs correction or go side ways.. will seehttps://www.usatoday.com/story/news/nation/2017/05/08/texas-law-sanctuary-cities-protests/101435602/",-0.6224
2416,"yes , agreed this is crazy ..Low is up 2 days in the row and I thought Friday was the bottom sell off ..:(..very frustrated",-0.1634
2417,"Ouch what happened today, any ideas?",-0.4456
2418,HD WILL SHOOT TO $300 IN MORNING,-0.7218
2419,Bye Bye Home Depot. Any business associated with Trump I will not patronize.,-0.1024
2420,at least at my store which is in a hot zone.,-0.0959
2421,Home Depot going to get hit hard,0.1584
2422,"While I still believe HD has better business model at this point in time than LOW, HD should not discount LOW performance they have made great progress and have outperformed HD. I don't understand why HD has not split the stock . The shareholders should definitely push for this. Plus the stock would go back up in short order and surpass LOW.",0.9508
2423,green day tomorrow??,0.1779
2424,Don't get me wrong. Good company. But way out over its skis here.,0.4748
2425,C’mon nasty weather!! Bust up more of those houses!!!,-0.5375
2426,Lowes CEO gets paid 15 million to close stores and he is not even qualified to be a CEO...51 store closings after seeing that i will shop at home depot,0.5886
2427,Love  Home Depot stores,0.7404
2428,"home depot is trying to make up for lost garden sales from last qtr, but that wont happen. nobody plants new flowers in this heat. they missed and cant blame anything but themselves and not the weather.",0.741
2429,"Another good one. The Home Depot is called to install a staircase in Northglenn, CO. They completely screw over the customer. $1200 for a simple staircase.The lady calls me and says she asked the installers to restretch the basement.A poorly installed job by guess who, The Depot, installed a couple of years earlier. A terrible installation.She says, can you stretch the basement. It was a simple job. I charged her $60 to tighten up carpet with the power stretcher at the base of a staircase.She says, ""I need to pay you more than that, The Home Depot wanted $700 dollars to fix this.""Seven hundred dollars to fix a job that they screwed up in the first place.And, the best part. You know they aren't going to fix it correctly. Some dummy with a kicker will make the bubbles go away for a few months.This is the power of The Home Depot. Never do it right and never come back and fix it.And, The Home Depot, ""installers,"" are instructed to never, ever, ever, ever, ever sell side work. And, yet, they did and this customer is completely screwed. Not once, not twice, but three times, because there are still monkeys coming over to mess up her staircase.",0.9007
2430,Bought 200 before the close,-0.063
2431,239 to 212 hardly a bloodbath..150 is a bloodbath and where hd will be in a few months imo..,-0.2424
2432,"“Baird states Outperform On Home Depot, As Firm Notes In light of potential demand improvement in H2, we believe there are opportunities within building products given also reasonable valuation“",0.945
2433,"Forgot if I asked anything, just checking",0.2129
2434,"junk stock hyped up on cheap money/buybacks, I knew for the last 6 months that HD day of reckoning would come , down the #$%$ with it. $$$",0.2525
2435,could we get a new 52 WH by today or tomorrow?,0.2086
2436,Home Depot stock price target raised to $250 from $240 at UBS,0.4652
2437,will go under 260 today,-0.0726
2438,IS HOME DEPOT FILING FOR CHAPTER 11. OH NOOOOOOOOOOOOO,0.3757
2439,LOW is soaring! Go figure!,-0.3806
2440,who thinks we see 195 to 200 by Friday,0.1382
2441,"https://finance.yahoo.com/news/home-depot-is-spending-1-billion-to-give-thousands-of-its-workers-a-raise-125112440.htmlContinuing to build loyalty in their talent pool will only benefit #HD shareholders for the long haul. An employee who feels valued and relevant is more likely to show up, deliver optimal performance, and identify with the larger HD team culture. Although #HD does not disclose specifics on employee pay, bear in mind they offer an exceptional benefits package and stock options(unlike their competitors). Loyalty pays. And any buy on dips will pay as well for the long term. Fundamentals are sound, P/E is reasonable, option vol allows for an added kick in return.",0.9898
2442,"That might be all she has for today, sorry no 218.00. At least it is green...so far.",0.0469
2443,Seems like Lowes is catered more toward women just my opinion,0.4829
2444,"I can think of no company that deserves this shellacking more than The Depot. The company has used more illegals in its history than any company in America, including meat packing houses.",-0.1953
2445,Anybody have some insight why the sell of today ? You’d think this be rallying hard ?,0.3032
2446,SO EXPECT HD TO SHOOT TO $300 BY MORNING HD IS VERY BUSY STORE RIGHT NOW WITH BUILDERS VERY BUSY,-0.0182
2447,SELL it to the greedy idiots chasing.,-0.0241
2448,SEL SEL SEL!!!,0.0
2449,What time is it HD SLAUGHTER time,-0.2623
2450,Needs to split,0.1429
2451,Aint nobody going to flock to Sears to buy Amazon enabled appliances.,0.5124
2452,Taking my profit.,0.5107
2453,Don't sleep on $TBL Taiga. it's where hd and lowes buy materials from. another 30% comp year so far. You're welcome.,0.5054
2454,Existing Sales missed by a big margin.This indicates rising rates are already biting into housing demand with the fed on track to raise more this year.And Nike had very bad news to say about future orders and inventory levelswill be interesting to see if HD can retain it's lofty stock levels..,0.5304
2455,HD is killing Lowes,-0.6597
2456,M BBBY KSS RCL DRI DIN SPG LK!! GO AHEAD BUY A COMPANY NOT BEST OF BREED LIKE THESE INVESTORS DID AT MUCH HIGHER LEVELS AND LET ME KNOW HOW THAT WORKS OUT. THOSE PORTFOLIO MANAGERS ARE PROBABLY OUT OF A JOB!!! YOU NEVER GET FIRED FOR OWNING HD!,0.9424
2457,"Enjoy the boom now, when the infection rate hits 800K Americans the depression begins. This time next year HD will be shuttering stores. If you don't recognize the situation then its too late.",0.0515
2458,"Hurry Buy, Buy, Buy so I can sell the next rip LOL,LOL,LOL the down cycle has started and it is now time to sell the rips and not buy the dips or you will be the one stuck holding all the way over priced stocks",0.7212
2459,"Did you see Lumber Liquidators today ?""[$$] Lumber Liquidators Shares Plunge as Higher Costs Weigh on Margins""Lumber Liquidators Holdings, Inc. (LL\20.01-4.36 (-17.89%) <---- YIKES is home depot in jeopardy ?",-0.8737
2460,"Credit Suisse upgrades HD to a buy, price target 235",0.446
2461,More new highs,0.089
2462,what is holding this up? I expect dividend to be cut to zero...stay short and cover when trump is voted out in November...easy money,0.0688
2463,I'm buying the 700.00 July calls to the moon.,0.3394
2464,Those same crooks are looking to buy back at the lows they created,0.3339
2465,"what is the anticipation for Labor day sales, a side for the Independence Day weekend, Labor is the second biggest promotional period, from what my ProDesk rep tells me.",0.1573
2466,We have caught a bottom. In just under 173. Now HD 177!!! Nice. We said that April Low was the bottom and we were right .,-0.3261
2467,"I got in at $19/share via the ESPP for the 13 months I worked there as a teen, maxed the contribution at 20%. Timing is everything as they say",0.0946
2468,Im sorry but it’s troublesome to me when they make money to mislead .into making bad business decisions when nothing at all has changed,-0.8893
2469,IRA's and 401k's to CASH before the CRASH. Winter is going to the markets,-0.6601
2470,Down $5 bucks at 9 am Eastern,-0.2558
2471,Double bottom from April 17 lows. Both Wm%r and rsi show oversold condition,0.4377
2472,"I would just wait to buy any shares of HD, A massive drop is now coming and you just might get shares of HD under $100 by the time this massive drop is over LOL, LOL, LOL It is now time to just wait to buy anything .",0.9525
2473,"HoeMoe Depot longs go on and on and on and on about being pro-America and pro-jobs, and pro-kkkkristianity and pro this and pro that and bicycle races and a few people who received college money.The truth is much different. They are pro-Mexican and pro-illegal. This company hires billions of illegals every single day. If you are a long, you need to man up and admit that this company rides on the back of non-English speaking illegals",0.8931
2474,Now Just 12 days and the worst president in modern times vacates the White House. What a mess Trump has to clean up.  pray for Trump.,-0.2096
2475,Why is Yahoo so far behind in conversations !,0.3007
2476,futures heading up let's hold gains into tomorrow,0.4787
2477,Incredible buying opportunity. Poor earnings and virtually NO price movement. VONTOSTIK!!!!,0.5371
2478,we had good gains considering the overall market,0.6908
2479,just remember Home Depot raised their prices during a pandemic and screwed their customers and employees in the process cutting their pandemic bonus just as the virus was killing more people than ever while raising prices to screw their customers at the same time.,0.2723
2480,Wonderful...I bought 1000 shares at 210. What do I tell the wife ?,0.5364
2481,"The Home Depot is the consummate reason that America is in decline. It claims to be all this and all that and all American, when in fact, it buys most of its products from China and then hires illegal Mexicans through questionable labor shops to install the products.If you deny these facts, you are part of the problem. You are a disillusioned Trumper. The Home Depot donates millions to The Trump Depot in order to keep these inconvenient truths quiet.Go ahead and vote for this loser again and watch more of your true Americans get kicked to the curb.If you buy anything from The Home Depot, you are not only part of the problem, you are MOST of the problem.",-0.595
2482,Some idiots out there keep saying that after the pandemic ends Home Depot sales will suffer. That's a bunch of bull.If it drops below 250 I'll add more to my position.,0.2745
2483,Oh boy we'll see 300 in march!,0.3124
2484,"Tomorrow Fri, short will have a feast here",-0.5489
2485,I cannot and will not advise a Client to Hold this. I am saying take profits quickly.,0.0515
2486,This is a God send for anyone wanting to buy stock in one of the best Companies out there financially. Plus another 10% Dividend increase. Huge Uptrend coming! Buy while it's still under 270.,0.9707
2487,If Lowes is closing some stores is this good for HD?,0.4586
2488,"HD reported phenomenal sales & earnings in the 4th quarter and guided higher for the year 2018. They also increased their annual dividend- This is certainly a ""bullish: sign!",0.9013
2489,Most long winded post are slightly annoying but I give you credit short seller. Your points were well said and made good sense but the mkt does what it does so we shall see in the morning,0.7255
2490,When’s earnings?,0.0824
2491,Went to he today. As always Mexicans are lining up trying to get work. As always Lines are all the ways full. Business as crazy as ever and 15 years of going to Home Depot. The stock in only go higher.￼￼,0.7815
2492,I bought this one back in 08 at around $40/share and sold at $60. Ugh. Learned my lesson. Got back in a couple of years ago at around $120/share and do not plan on selling this time as long as the company stays best in class. Go HD!,0.8339
2493,This stock sucks,-0.1685
2494,I have a feeling HD will see a pullback now. What yall think? google aw-esomeSTOCKS - they offer pretty good trade alerrts. you dont have to trade their tickers but it definetly helps you recognize possible patterns for stocks you're trading.,0.8872
2495,This stock will be up to the moon !!,0.493
2496,There was no business or financial reason for this drop it had something to with the Street Analyst saying his Charts looked like a selloff coming and he got paid to say that,0.3552
2497,I thought low ball buy at 160 lost tons,-0.4229
2498,HD record earnings and performed well with great growth... why does this stock drop price? very strange,0.7777
2499,My HD is always busy.,0.2489
2500,Last quarter HD stock dropped after ER so I am a bit skeptical this ER too! Plus it have had good run already!!,0.9125
2501,I bought HD when it was $40 and Lowes was crushing it. Hard to believe it's still at $190 after the latest correction.,-0.537
2502,Wrong direction,-0.5385
2503,What is the likelihood of a dividend reduction??? or worse?,-0.5847
2504,"Analyst Actions: Stifel Nicolaus Lifts Price Target for Home Depot to $255 From $230, Maintains Buy Rating",0.6375
2505,Buy $HD NOW! Their next earnings will beat from surge of rope sales by $NIO investors ,0.7097
2506,100% disagree w/owner- call me never home depot- not stock not customer- headed to lowres,0.0982
2507,"Recently, Trump's tax reform plan was approved. Do you think people will be willing to spend more money on house decoration or related? So $HD stock price will increase soon? I just checked Finstead website, it indicates that IT and supply chain improvements face implementation risks, which could affect profit growth if peers surpass Home Depot’s capabilities. How do you think?",0.9579
2508,CGC up 35% in 2 days bc they’re being sued,-0.1529
2509,"New housing starts are lower and AMZN effect hurt investors. Too many unknowns at the moment and no one is willing to buy at these inflated levels. HD is too volatile at the moment and with the market topping out and traders talking about August and Sept market collapse....well, HD will head lower probably in the $130's before any buying comes in. Goos short candidate.",-0.7304
2510,Home depot is a cult stock like a Apple. Sell it regret it later because long-term it always trends higher! portfolio managers have to keep it for their core clients who want to own it. Make a mistake thinking OUTSIDE the herd and you get FIRED!! HD is safe earnings and dividends trend up! R wants you to buy stocks like bbby that LOST 85% of its value in 5yrs. BTW how is bbby doing today boy!!..lol Sleep well owning long-term imo great company.,0.9747
2511,That's why it's not a good idea to post the price of your short on this board,0.2748
2512,Virus will have no effect on hd earnings imho if anything we beat. One of the few essential retailers open. Place is packed and people are loading up on paint. The lines are deep.,0.5792
2513,"Can't fight the FED when the printing press is on. HD typically does great when the rest of the market is down which was the case yesterday too. You can actually see into the close as the markets were finally turning green is when you saw this drop from 243 to 239.33 and it still was way overbought. Made some good $ riding this up,but reality is it's already trading higher than what most have their price targets set at.",0.9727
2514,let's start the upgrades,0.0226
2515,"HD has a free cash flow yield above 4 percent, making it a decent income stock, and when you look at free cash flow since 2012, it has risen every year since then. That is the kind of stock I like. More free cash flow every year is a very good thing.",0.9687
2516,Hurricane Michael winds ramping up. Probably will be 125 at landfall and with a much larger wind field than Florence and a much faster forward movement stormesurge and inland wind damage will be unprecedented.,0.2755
2517,I sure bought this falling knife,-0.1284
2518,Back in my day if a washer or dryer got wet you let them sit for a day and dry out. Same with a lawnmower and a weed whacker. You didn't put them on the curb and expect the gubmint and the insurance people to replaced everything. No wonder it's going to cost $180B billion dollars to fix that mess. What have we turned into when everything has to be replaced by the gubmint just because it got a little wet.,-0.0075
2519,"Holding, getting paid!",0.4349
2520,"IF YOUY LISTEN THE WASHINGTON YOU'LL KEEP GOING CRAZY LIKE THEM TRUMP WILL REMOVE THE TERUFFS SO THAT A F1 DEAL WILL BE IN PLACE,,,,,,, THIS IS JUST DUMMER FROM WASHINGTON WE WILL GET A DEAL THIS YEAR NOT..… NEXT YEAR BUT THIS YEAR......YOU HEARD IT FRST HERE...……………...",0.1946
2521,https://finance.yahoo.com/news/home-depot-inc-hd-evp-061503525.html,0.0
2522,Lol all you longs holding out for conference call hoping for split are losing money,0.888
2523,"What Bill The Excuse Machine failed to mention in his tear jerking, heart rending testimonial to the kind hearted Home Depot company is that when you buy flooring there, not only do you get some of the lowest paid illegals around, you also pay through the nose for the flooring. Pay the most, get the least. In the construction world, HD is considered the place to go when you absolutely cannot find work anywhere else.",0.7083
2524,"Good reports from CAT, MCD and GM. If HD closes down today I'll eat my hat! Then again in this market anything is possible!",0.6041
2525,"Be careful if you buy Ridgid tools. My drill stopped working and went to HD. They charged me a diagnostic fee, supposedly reimbursed if cover by lifetime warranty, and then sent it off. It has been over two months and no resolution. Although the lifetime warranty may sound attractive but if it takes 2-4 months for resolution it is pretty much useless IMO. When it was diagnosed as not repairable HD should have went and pulled one off the shelf as a replacement that day.",0.8899
2526,Buy at Home Depot. - Send a message to the Left. - Pete,0.2318
2527,Sales,0.0
2528,This is very bad news for Home depot you will see !https://www.cnbc.com/2017/08/31/july-pending-homes-sales.html,-0.3028
