,Recent headlines and conversations for ADBE,Polarity
1020,Just covered the Dec 105 calls shorted yesterday.Now ready for leg up to test all time 111.00 high (I think we'll take it out this time),0.705
1021,"Sell this stagnating garbage and buy AMC. Once AMC squeezes, you may buy back ABDE x10, if you are THAT attached to this stock. AMC FOMO!",0.9157
1022,ADBE reached a new All Time High at 211.90,0.3954
1023,Do the Mueller report comes out in a few hours and we just had the Barr press conference. Can we get off the sell the news cycle and get back to trading based on the economy and individual company performance?,0.8222
1024,"now there are no Friends left........... stable genius, where are you?",0.6588
1025,monyet...,0.0
1026,Looks like we are out of the woods!... FINALLY the worst is behind us. Ahhhh.,-0.0782
1027,Kalpesh bhai !,0.0
1028,The run looks over for now.,0.1244
1029,"Will end up red today, big drop is coming",-0.218
1030,Such boring products from a boring company. Can't believe it was a darling stock for a long time.,0.6765
1031,Quiet board,0.4527
1032,Buy FB Nflx to make the adbe loss back,-0.1268
1033,"Still Long 190 shares of ADBE at $305.80. I am really liking how this stock has acted today, I think there is more upside potential than downside risk, so I will hold this for Monday. Already have really nice profit on my earnings play here, but want more and there is nothing really grabbing me among the Monday morning earnings releases. I see this baby consolidating at the $320 level today, and there is a good chance she will break through and go higher, to $325+, on Monday. Will definitely close this position sometime on Monday, and do my next Earnings play, which I will be researching over the weekend. Best of Luck to All!",0.9926
1034,can someone post CC highlights here? i'm at work and can't listen to it. thanks in advance,0.6728
1035,Nose dive?,-0.6382
1036,"Adobe crushes earnings, goes down four dollars. I smell a rat. bye bye.",-0.7676
1037,330 today,0.0783
1038,"Almost there... almost there. Patience Luke. Let go of your emotions. Don't be hating. Use the Force. Buy @ $235-237. Its the way of the Jedi, and the smart investor/trader.",0.8754
1039,Blowout!!,0.3639
1040,ADBE is up 4.91% to 290.37,0.1818
1041,Go manipulated,-0.3827
1042,It’s gonna be at 185 tomorrow. Earnings were awesome. Solid company we have here.,0.7371
1043,Nice to see the ramp up today. Adobe is such a crafty company. I wonder what they could accomplish with a workplace collaboration suite and what opportunities await.,0.9435
1044,Tomorrow’s this willDrop to 470 only holding at 483 cause of the volume once everyone sells and moves there money into other securities this will go down,0.7801
1045,but will rocket if earnings are good,0.8049
1046,"pure manipulations. call volume like this. ADBE200918C00480000 2020-09-16 1:24PM EDT 480.00 9.45 9.45 10.00 -16.61 -63.74% 1,198 2,122",0.1234
1047,This is a beast of a stock. I am a designer and have used it for 20 years now. My yearly subscription keeps going up but I hedged that with stock :) LOL Now my kids are teens and getting into it to create careers. Generational MOAT people. IT IS THE MOAT GOAT!!!!!!!!,0.9381
1048,Buy before earnings or no? I want to take a position here buy wondering if I should wait until after earnings are released this week. Thanks,0.7273
1049,Oracle just Crashed big time,0.2472
1050,is this stock boring or what?,-0.0938
1051,Here comes the greed.,-0.4471
1052,still trading in the mid 80s bit surprised we didnt see a stronger rebound after yesterday especially since raised guidance is still fresh news guess we have to wait until march for confirmation of better outlook?,0.8965
1053,"Small beat on revs, big beat on bottom line, RAISED GUIDANCE",0.5678
1054,Jim Cramer gave solid positive outlook at the end of the show for ADBE and CEO is coming on tomorrow. Stop all downgrades rumor guys!! He actually mentioned UPGRADES for this stock!!!,0.8469
1055,Broke through $180! Let's keep churning.,-0.3993
1056,"man i have should buy put, so bad",-0.3277
1057,"460s is reasonable price for adbe . not gonna add here , not bearish either",-0.4569
1058,This is definitely hitting 400 in the next week or so,0.3943
1059,Why was ADBE down 11 dollars and 8 cents today?,-0.1042
1060,Hey  all$ADBE LONG - via Long Call Options Nice EPS BEAT today.Noticed that this board doesn’t have much convos concerning $ADBE.Anyways . Congrats to all longs .,0.9529
1061,Adobe is down 4.93% to 507.51,-0.2744
1062,"Adobe should cut underperforming orgs. Like DX, e-sign, e-commerce engineering, etc.",-0.5772
1063,man I just hope it goes to $ 40 by earning day.,0.572
1064,Struggling to stay above $440... should see $444 tm at open,-0.1351
1065,It ripped up like we all knew it would! enjoy them gains folks.,0.8561
1066,"Had a funny feeling this would happen, glad I got my puts",0.7798
1067,Crush into 120.. not good,0.3555
1068,earnINGS are TOMORROW MORNINg. adobe ir website says so.,0.7032
1069,sell adbe buy msft,0.2008
1070,Roasted! Longs got cooked- major selloff coming tomorrow- YES PLEASE show me the money! This was very weak earnings for the stock price and the selloff will be brutal- good for shorts and put buyers and well.....lube up longs,0.7319
1071,im riding this short into earings banking on lower guidance and the fact that wall street hasn't cared about good earnings. Any kind of miss in ANY way this thing is dropping big. The upside reward is much lower,-0.1992
1072,I think it goes up Monday after the options expire Friday at closing Bell,-0.0477
1073,"dancing back n forrh for now, until analysts come out with upgrades, tomorrow should see some movement, on the technical side avoiding the death cross and a significant price drop is already a win, raised guidances will take adone higher. glta joe out",0.8084
1074,300 today?,0.0783
1075,Adobe is #$%$,-0.0313
1076,"As coronavirus stockpiling catches up to itself, the big run up in stocks like WMT and CSTO is going to come to an end as people stop and take hold of the notion that they have time on their hands to do something other than EAT. For starters, they are going to be thinking, how can I best socialize with my loved ones and friends from from at home and engage in business communications? (ZM) or (TEAM), and then just as importantly, how can I earn money and, using what tools from at home? (ADBE, ADSK, EBAY, CRM, SQ, AVID) and lastly, how can I educate myself on how to use those tools to improve my saleable skills for now and on the other side of the tunnel when this is all over and the world is forever changed? (LRN,BEAM, CHGG, MSFT (which owns Lynda.com) through purchase of LinkedIn)",0.9897
1077,wow.,0.5859
1078,called it :*,0.5474
1079,"Good to see ADBE coming back. I hope you took advantage of the drop. Unless the Nasdaq crashes again, I don't think Adobe will see $450 again for a long time.",0.8486
1080,My cost basis is 96. Happy to buy more on the dip. ADBE is unstoppable.,0.6718
1081,ADBE is up 4.92% to 225.59,0.1818
1082,285.37 is the bottom band. That is a HUGE downside potential. ALWAYS TAKE PROFITS and never chase.,0.8652
1083,Finally some upward momentum pre-market,0.454
1084,https://www.tradingview.com/chart/GTEH/lykZGEaV-Put-GTEH-back-on-your-radar-Over-200pct-In-Upside-Potential/,0.0
1085,"Sure looks like business is back. +20% revenue growth next quarter. Should be at all time highs, by end of year.",0.7786
1086,can you imagine the size of regret of those who are selling right now?,-0.1472
1087,At this rate I would be happy with $485 tomorrow.Congress sure knows how to screw with the markets.,0.7447
1088,Adobe cooking the books since 2K like a well-oiled engine,0.6572
1089,should I buy?,0.1905
1090,garbage==ADBE==laggard!,0.0
1091,looking for at least 550 max after the earnings release.,0.0131
1092,Adobe the day after earnings have a 5% to 10% Pop history if beating earning by single digit. In tgis case double digit beat,0.0311
1093,look like ADBE would over 200 very sooni expect 250 target.,0.1569
1094,"I am loading up more at this price. Adobe is the work-from-home, do-everything multimedia software. There's just no competition.",-0.0453
1095,give me 170 for adobe...wkwkwkwkwk i still waiting LoL,0.4772
1096,GO ADBE GO!!!!,-0.2897
1097,We are on the move. Enjoy the ride to $500+ sometime next week.,0.725
1098,ADBE is down 5.27% to $208.11,-0.2462
1099,buying 200 tomorrow and wish myself merry Christmas.,0.8723
1100,looks like the SEC didn't want ADBE to anounce their earnings miss on a day the nasdaq dived. Bad news for longs,-0.0019
1101,How high it might go?,0.2917
1102,"SELL ALL US STOCKS AT THESE INSANE VALUATIONS, PEAKED PRICES!More FAKE recovery hopes and Money Printing TO PUMP The Stock Prices to new record prices! NOBODY CARES ABOUT ABSURD VALUATIONS, and COLLAPSING ECONOMY!The US Government is Printing Money and PUMPING the Stock prices Artificially, despite Collapsing Economy, Spreading Pandemic Coronavirus, Huge Corporate Loss, Skyrocketing Corporate and National Debt, Skyrocketing Unemployment, Parabolically rising inflation, Absurd stock Valuation, and the Cold War between the US and the Rest of the World.US Stocks must be DOWN by 90% from their current ABSURD levels.Look at the US Stock Valuation Multiples!!! Check out P/S, P/B, P/E, P/CF, D/E and other Ratios. US Stock Market is a COMPLETE SCAM! You see how easily they are PUMPING the Stock prices on FAKE Speculations, but they don't let the stock prices to go down on TERRIBLE DATA and FACTS!Even BANKRUPT Boeing, Cruise and Airline stocks are getting PUMPED like crazy!It is all about PUMPING the US Stock prices and quick and Free Capital Gains!American made Coronavirus was a tool to make quick and massive Capital gains in the US Stock Casino!I am up $50 Million today alone! Valuations are INSANE!NO NEED TO WORK! Only fools would work, while there is a FREE MONEY GIVEAWAY in the US Stock Market!Ignore COLLAPSING ECONOMY! It is all about Quick and FREE CAPITAL Gains through Artificial Stock PUMPING!Sell your home, furniture and food, buy random stocks in the US Stock Market and you will be a BILLIONAIRE in a few days!https://edition.cnn.com/2020/05/01/investing/stock-market-recession-coronavirus/index.html$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP",0.9792
1103,"well, now the 5 day is red as well but you see what I'm getting at. the overall trend is up",0.8005
1104,if its undervalue why CEO insider are selling tons of shares???,0.8564
1105,$150 tomorrow,0.0024
1106,"strongly overvalued, short",-0.4689
1107,Red,-0.2444
1108,"Unfortunately, earnings are good, which means a huge sell of tomorrow :(",0.0744
1109,Why do you sell this stock #$%$ ? shame on you ?,-0.0958
1110,"Still pricy, huge bubble for ALL STOCKS",-0.0161
1111,"if you notice that every time ADBE moves upward, huge sell volumes push it down lower than previous price",0.3973
1112,Watching adbe try to eek up is like watching a glacier move.,0.5858
1113,ADBE might close at 154$-155$,-0.0264
1114,No brainer at this price,-0.0721
1115,why is this barely moving pm,0.5467
1116,"I have seen fading the day before ER, which doesn't mean the ER will miss. I doubt it here.",0.0675
1117,It looks like a big day for ADBE.,0.494
1118,ADBE should beat 300$ less than a year imo.,0.3426
1119,ADBE Beats 3.14 versus 2.78 estimate on earnings. HUGE!,0.5895
1120,Load time guys,0.2988
1121,"Adobe killed, only going to get better from here as we get back to normal! ADBE going to $700!!!",-0.3559
1122,500+lets go babe,0.3441
1123,looking to get back in around 140....,-0.094
1124,"For 15% growth, you are paying P/S of 15, P/E of more than 60, it is an expensive investment. Just Be careful and research more before you invest.",0.7935
1125,Adobe is up 4.93% to 320.87,0.1518
1126,premarket down $5!! Need to buy more!,-0.3295
1127,"Once again I learn the differences between investors than invest in normal shares, and the kind of investors that invest in tesla.If tesla reported these kind of earnings, they would be up 15% min",0.748
1128,https://seekingalpha.com/news/3394493-goldman-sachs-buy-adobe-vmware-ride-trade-war,0.0
1129,"rode the wave from 110-145, thinking on getting back in on this pullback.",-0.0027
1130,330 by close.,-0.0586
1131,Unbelievable. I'm in shock at the market reaction. What's a company to do? Excellent earnings. I expected the opposite of what happened.,0.4521
1132,BULLISH COMPRESSION - open - 359-361 (area) - no sellers - test the 52. week,-0.2739
1133,"Garbage, Im deleting my photoshop",0.1164
1134,"Honestly, this is an absolute joke of a market....why are Palantir and Tesla up today and this isn't?!?!",0.8815
1135,Lower guidance again...,-0.2705
1136,"Software investors. Easy 10 bagger with breakthrough new proprietary software that is quickly being discovered by Fortune 500 companies. In July of 2017 FSSN signed a Master Licensing Agreement with a $20 billion global financial services company with more than 20,000 employees and advisors nationwide, which manages more than $700 billion in assets. FSSN offers AI software to increase sales, marketing and compliance.CEO Mike Brown was instrumental in taking Lifestyle Fitness to $4 Billion dollar buyout. Now he is leading FSSN. Unreported sales are growing rapidly and profit margins are 87%. Small float with only $7 million valuation with same growth potential as Lifetime Fitness. Hockey stick growth from ‘land and expand” strategy.https://www.accesswire.com/499898/FSSN-Sales-to-FORTUNE-500-Companies-Multiply-Fast-With-Land--Expand-Model",0.9837
1137,Im feeling sorry for the stoopidputz that bought the fat premium PUTS I sold today.,0.3455
1138,"Nice earnings, -0.20% AH",0.7033
1139,ADBE: buy when it's on sales - Uptrend resume soon...,0.5393
1140,ADBE is down 4.96% to $233.60,-0.2462
1141,We are closer to 300s than to 500s. Adobe should start cutting costs by letting go their management. They can easily cut dead wood.,-0.5438
1142,Market hates this purchase. Just look at the stock today. What ajoke.,0.0943
1143,This looks good,0.4568
1144,"Adobe Digital Marketing had lost the battle to SAP and Salesforce. Adobe Sign is loosing to DocuSign. Anything Adobe is touching turns to rubbish. Cut the costs, lay off useless management and contractors. Stop hiring only Indians. There are tons of 100% Indian teams in eCommerce, Adobe Sign, Adobe Experience (ex. Data platform) at Adobe HQ.",-0.7867
1145,@mel slaughtered really missed by a penny but beat ecerywhere else. record quarter and yearly with raised guidance and you thinknits going to get slaughtered?!? i remember shorting my first stock lmao,0.9071
1146,This has been going back and forth all day nobody is sure what to do,0.5042
1147,Buy the dip.,0.3345
1148,like the stock but at a PE of 57 hard to justify buying here; its not growing that fast.,0.6978
1149,"Remind me again... why did ADBE buy Fotolia?-------Shutterstock, Inc. (SSTK), a leading global provider of commercial imagery and music, today announced that its vast collection of high-quality photos and illustrations is now accessible within Adobe Photoshop software through its new custom built plugin. With more than 100,000 new images added every day, the Shutterstock plugin boasts the largest collection of photos and illustrations that can be licensed directly within the Creative Cloud desktop application.",0.9368
1150,Also the massive cash currently saved abroad will be brought in to be used for further expansion and acquiring other companies.,0.6945
1151,Why is it not rising ffs???????,0.7098
1152,Was 200 months ago wake up,0.4061
1153,ADBE will reach 578$ possibly.,-0.1098
1154,this stock is an unstoppable beast :-D,0.8043
1155,Shantanu Narayen (and all his Indian friends - board members) should go.,0.588
1156,"Adobe looking strong here! Saw, Shantanu on CNBC last week and thought to myself, Adobe must be killing it!",0.3079
1157,What in tarnations is going on AH?,0.4203
1158,anything above $312 and i'll be happy.,0.7595
1159,"just wanted to state I lost 95% on my Put, taking the loss from buying it yesterday, crushed",-0.3997
1160,"Lots of people with rose colored glasses on this board, its like they don't even want to think the market, or this stock, could go down at some stage, despite the fact that this is the 10th year of the bull market, earnings are peaking or in some industry sectors like cyclicals have peaked, interest rates are going up, wages are going up reducing profitability, we are at a serious risk for a trade war with China and everyone else, NAFTA could collapse, Iran is soon going to become a threat again now that we've pulled out of the treaty, stock valuations are factoring in growth in earnings that are highly unlikely to materialize, Paul Manafort went to jail today and may soon be joined by Michael Cohen, and we are entering the traditionally weak months in the market. Of course, Adobe is going to 300 next week!! Cheers.",0.8912
1161,With everything going on with IRAN I can't help but believe you'd have to be a total nut job leaving profits on the table over the weekend especially after such a solid run. Suspect major sell off tomorrow.,0.6655
1162,Well at least ADBE is a good holding to carry over into next year not much risk to it. Them Bitcoin fanatics are running for the hills today.,0.8144
1163,new 52 week high,0.3502
1164,One of Cramer's favorites. Hmmm... That can be tragic.,0.1654
1165,Adobe bubble? Tread lightly through earnings... https://www.ethz.ch/content/dam/ethz/special-interest/mtec/chair-of-entrepreneurial-risks-dam/documents/FCO/FCO_Cockpit_April_2018.pdf,-0.3032
1166,Hoping it would pull a salesforce or zoom jump but not complaining!,0.1659
1167,What is going on?,0.061
1168,2.29/share beats 2.26/share and 2.99B beats 2.97B estimates.,0.0247
1169,"I called the bottom of the 2008-9 financial crisis the day after it happened. I’ll tentatively call this one, the selloff is over. Almost all signs point north now. Unlike 2009, though, we do have some big problems brewing (indictments, impeachment), but it was trade that was really scaring the markets and things are now looking very good on that front. Trump just has to make nice now that he’s won, rather than gloat. Kind comments toward president Xi, etc, about a constructive trade relationship, will cement this rally.I’m betting on big gains.$NVDA $FB $ADBE $MU $GOOGL $MSFT $NFLX $AMZN $AAPL $IBKR",0.9706
1170,ADBE reached a new All Time High at 251.08,0.3954
1171,200 cap for a software that everyone can use for free LOL,0.6136
1172,"The bot spammers on this board are ridiculous. mute and mute and mute. Anyways folks, looks like futures is strong for tomorrow. looking for a strong movement up. perhaps next week we can cut into our recent downward thrend.",0.7642
1173,The DAILY ATR for this stock is around 10.00 - meaning - don't sell your shares today unless you see over 407.00. Very nice picture on the horizon. Great results and forecasts coming from company tomorrow and don't forget the United Bank of Switzerland price target of 450 still looms - it's waiting for us.,0.2334
1174,This is BIG MONEY MOVING - Institutional Cash - millions of shares,0.8254
1175,beat!!! we're going up boys.,0.5299
1176,"one of the executives sold some shares... that being said people sell their shares for many different reasosns, but something to consider. although i think it will still do great",0.8623
1177,"Up over 100% ! Want to capture 300% movers? For FREE subscribe to VIP Trade Alerts from a Wall Street Veteran by texting the word "" VIP "" to 1-833-847-7376$X $ADBE $CLVS",0.9449
1178,Don't think I've gone a day without using Adobe one way or another.,0.2155
1179,Just bought a sh%t load of Adobe stock. This is going to hit big making us all money. I should be able to hit $10k or more in profit on all the stock.,0.8297
1180,ADBE is ready for a big breakout!!! GO ADBE GO!!!,0.8001
1181,Weak outlook!!!,-0.6457
1182,guess wall street really wanted to burn options players? lol,0.583
1183,"I was pretty impressed with guidance and results, thinking this would finish December $510 to $515. Digital Docs and Creative content along with partnerships and marketing should pad the numbers and exceed them in 2021.",0.9119
1184,http://newsfile.refinitiv.com/getnewsfile/v1/story?guid=urn:newsml:reuters.com:20210323:nBwbD9vCsa&default-theme=trueBEAT,0.0
1185,@Rick are you not entertained!!!!!,0.3931
1186,Down 20 tomorrow,-0.2398
1187,"I believe in ADOBE as I use their products myself , but is this at the peak right now? Wait for a dip?",0.4826
1188,"If you buy back now you save over 3% or be greedy and wait for 5%...,,,up to u",0.5537
1189,Timbrrrrrr,0.0
1190,It will be green tomorrow at open and during the day. Bear trap right now in AH.,-0.2599
1191,"ADBE: breakout of 5 years HIGH, this indicates it will move to above 500ssooon",0.8607
1192,Worth 200 max get out while u can all of tech a bubble,0.2707
1193,What happened with earnings?,0.1621
1194,When will earnings be announced?????,0.2747
1195,"Great company, great business, but definitely overvalued like the rest of the market.",0.9483
1196,"Wow Trollville here, must be going higher soon",0.6376
1197,"Good earning but I don’t thing it justifies super high valuation, stock is going to struggle all week... hoping it holds 480",0.9143
1198,Uh doby ,-0.2631
1199,Dang out of no where right before 8 big $3 drop off? I know the more tariffs news came out but still did not see that coming,0.2434
1200,"There are no serious alternatives to Adobe Photoshop, Acrobat, Premiere, Lightroom, InDesign. Professionals are using them and will be using them for a long, long time.",0.6729
1201,"P/C is almost 1.5 for ADBE , a very bearish sign.",-0.6073
1202,expectations are low,-0.2732
1203,"thank u, friend Powell, we'll take it from here",0.703
1204,Does ADBE have any exposure to China and the potential trade war?,-0.2572
1205,@ michael - current low P/E does not mean much if earning expectations go down.,-0.5799
1206,-6% to +3%...not buying it...it's goin red!,-0.2708
1207,"P/S of 12.3, PEG Ratio at 1,85, little cash, and a sky high pe. Couple this with a chart tha is INCREDIBLY bearish. Strong Sell folks.....",0.4331
1208,I'm going to take a quick nap. Wake me up when we hit green.,0.3762
1209,I am so scared,-0.4404
1210,something's up...ADBE never reports in the morning before the market opens.......,-0.0182
1211,$300 open tomorrow,-0.0704
1212,1.71/share,0.0
1213,Sorry....Earnings are on the 13th....This Thursday after the close. ADBE looking good going into earnings. Charts are positive.,0.7411
1214,Tis garbage stocks: ADBE/NTES/KLAC/ROKU...SQ,-0.0998
1215,"Goldman predicts Adobe will experience explosive growth this year, will outperform its competitor's and be the #1 company/stock in its category. Their current price target is $291.00...",0.7825
1216,600 tomorrow watch p,0.1723
1217,"When see prices like this, think: ""Hell, the market still has a lot of room for downside"".",0.4886
1218,Free and easy money.,0.7458
1219,"Top takeaways;Creative Cloud, rose 29 percent to $1.21 billion.Subscription revenue rose nearly 37 percent to $1.48 billion in the three months.Revenue jumped 26.7 percent to $1.77 billion.",0.3461
1220,It is beyond belief that this solid stock is going down for the last one week after excellent quarterly results.,0.8136
1221,I almost bought in at $491. The big boys may know something about this steady decline...,0.6781
1222,"The options bet could’ve been completed today also , selling in the AH , will sometimes cause more selling pressure , He made a good profit.Maybe the goal was to take the profits n buy it back at a cheaper price .so many variables. I’m still long/ BULLISH on $ADBE ... think there will be a bounce soon.Avgd the price of my long calls lol. GTLA",0.9583
1223,sold this junk !,-0.3915
1224,Walgreens and other companies ramping up to help America with the items and medical supplies need to help CDC and America with assisting the public. $WBA $TGT $WMT $FDA $CDC DOW $SAVE $NCLH $BA $ADBE $GOOGL $UNH $TLT $CLX,0.9049
1225,"Wow, WOW, WOW this is not a good report, Adobe what are you doing? This was very, very weak - and guidance was stupid bad",0.8583
1226,ADBE ==forced liquidation by index fund==!,-0.4346
1227,Love the Ceo Shantanu. Awesome person. Co. is great. 5 Star Co.,0.9177
1228,ADBE issues strong guidance for the balance of 2021!!! GO ADBE GO!!!,0.4634
1229,"Hi fellow investors! I just bought into ADBE today. I chose Adobe for many reasons. Adobe has greatly outperformed the index in the last few years. Adobe is rated by Morningstar as a Wide Moat company. Adobe has a low debt to equity ratio of 43% indicating they should whether any future big debt economic crisis They have a A rated credit rating. They are held in two Ark Invest funds of ARKW and ARKF indicating that ARK Invest believes Adobe has deep growth value. Adobe is heavily held by many hedge funds. Lastly, Adobe is an iconic brand, whose software is being taught to university students. Long Adobe!!!",0.5768
1230,Come on: it is really boring tiny up/down !,-0.209
1231,"Adobe needed a major positive surprise to move higher. It did not get that and price is going back down to test support at the 50 day moving average. Adobe is overvalued, and expected good earnings was not good enough. Earnings hit the whisper numbers, no surprises. Great company, great earnings but the price is too high. Now we will find out what the efficient market price is. After hours is not very efficient. Buy backs also make for inefficient pricing. I expect we will see some of that on the open",0.9776
1232,"C'mon folks, who can possibly deny that ADBE is in a huge bubble with numbers like those:- PEG Ratio (5 yr expected) 11.10 - Price/Sales (ttm): 14.22 - Price/Book (mrq): 13.78 ADBE and MSFT will be the last companies to come down to earth, but they will, it is only a matter of time. Better get those stop-losses in place if you haven't already done so.",0.7212
1233,Even MSFT can up 2% today: ADBE moves too slow!,0.1246
1234,ADBE will touch $530 soon.,-0.2448
1235,should be at 550$,0.0586
1236,Lvs or travel stocks better buy as technology sector getting hit..,0.6246
1237,What happened to softwares? Most if not all are tanking this morning.,-0.4388
1238,ya dumping it ....2m shares traded 1m less than average day. nobody dumping maybe few taking profits out of the unknown I say solid beat and guidance. $185-190 AH and possibly $190+ open,0.872
1239,I trust the UBS algo. They've simply been right too many times. And this is a very big fish....,0.6073
1240,ADBE is up 7.23% to 315.91,0.1818
1241,Target raised to 550,-0.0794
1242,"You can bet there will be an effort to drop the price to protect the option trader who bet, and is now losing, 6 milly. Bet his household is quiet right about now.",0.4547
1243,I sold BAR and bought more ADBE and VTI.,0.2526
1244,will open at 350,-0.1659
1245,yep plus dow is under 50 day weekly moving average....oh boi glta,0.8315
1246,When you are a growth company. You gotta have massive growth to push the stock up the hill,0.7415
1247,"This Eddy is like Waldo, he is on every board imaginable, even RiteAid...",0.559
1248,"ADBE's main focus seems to be security in images/media, whilst this is a nice to have it doesn't provide new products or features. They have already gone for the rent model and they don't seem to be offering anything innovated to the content creators. Not sure where the upside is at this point. I'm out.",0.9017
1249,Owned since $259. It would be foolish to sell now. I’m expecting a big run up to earnings as other tech companies benefiting from work-at-home measures are beating earnings expectations.,0.531
1250,beat big time,0.3278
1251,"Bridgeline Digital (BLIN), my top holding, is making transition to SaaS model, like Adobe did in 2013 – 2014 (ADBE CFO Mark Garrett did a super job navigating thru SaaS shift). BLIN stock is beaten up, shows multiple insider purchases and worth consideration.",0.898
1252,Should I buy into this? Someone let me know...,0.3951
1253,$ADBE stock annual report available from SEC thoughts/analysis?,0.7005
1254,Can buy now at -5% or be greedy wait for -8%.....up to u,-0.0373
1255,Yikes.....those aren’t good numbers. $400 soon,0.4412
1256,"I sold all, holding 2",0.3608
1257,STAY AWAY FROM THE MOST OVERVALUED AND OVERBOUGHT BUBBLES: $AMD $NVDA $SQ $SHOP $AMZN $AAPL $MU $FB $BABA $TWTR $TSLA $NFLX $ROKU $NKE $PFE $PYPL $CAT $IBM $MMM $INTC $TXN $PYPL $CSCO $TWLO $CRM $ADBE $SNAP $MSFT $GOOG !!!! US EQUITY PRICES HAVE PEAKED! Buyers will get destroyed! REMEMBER 2000 and 2008!,-0.6511
1258,Looks like updated guidance and tax rate,0.3257
1259,This is a traders market .... in and out ... have done well doing this so far !,0.5409
1260,"Market can bounce back hard tomorrow... if it does, this can go over 150 tomorrow... might want to take a look at playing options here..",0.2051
1261,Adobe reached an all time high at 406.33,0.2959
1262,"This stock has soo much potential, if you don’t get in now you are stupid",0.1239
1263,DIgital Art sells for 69 million! Adobe is worth a LOT MORE than anyone can IMAGINE!,0.4742
1264,Does any stock down with earnings go green next day?,0.1746
1265,SELL SHORT it will open $160,-0.5384
1266,420 tomorrow at closing!!!,-0.4391
1267,"Shopify will eat Ecommerce platform ""Magento"" left ,and right then spit it out like nothing.",0.5524
1268,Getting pretty overpriced now. Looking for a short soon.,0.049
1269,Futures not looking good. Thu & Friday might be great opertunities to buy. Like you all said. Options got killed today! I have faith in this company. It will definetly go up.,0.8864
1270,I think the JPMorgan downgrade is fake news can't find any details on it other than it being briefly mentioned in a few obscure articles.,-0.2292
1271,greed push the stock to greater heights at the cost of the peril in other stocks in any sector,-0.2232
1272,Could smb pls explain how come the analysts expect 3.76B revenue? I mean thats about 10% QoQ growth. I dont recall Adobe revenue increase that fast ,0.6229
1273,fairly price at 460 imo,0.0924
1274,Lol stock is going down so far it lowered $10 in after hours,0.2837
1275,yes but VDRM also looking good for whole eyar,0.7689
1276,"When is next ER date? before Chirstmas, right? how do you think about the new ER?",0.8499
1277,why is going negative now?,-0.5327
1278,"Well, now we know why the bear raid today. Lots of people covered and accumulated in preparation for this move up.",0.6678
1279,EXIT BEFORE THIS WEEK,-0.0642
1280,ADBE to 150,-0.0046
1281,"Thank you adbe, really needed that after today. Just hope market recovers tomorrow, then this will be at $425 easy",0.8243
1282,All the options will be worthless tommorrow.Thats the game...earnings don't matter.,-0.5418
1283,This stock is so strong it's on a path to 200.,0.6286
1284,"ZI looks like a take out target, who will get it first? Hoping CRM",0.6647
1285,"ADBE market cap is 2,000% more than stockholders equity. BEAR to $125.00/share.",-0.7696
1286,U DUMB LONGS,-0.5106
1287,ADBE is down 4.93% to 333.71,-0.2462
1288,NASDAQ gonna drop like a ROCK tomorrow due to FED disappointed market today...and so does ADBE...Just sold 5.3k shares to secure my account !,0.5701
1289,Predictions for today’s earning?,0.0003
1290,"The Good — This is one profitable company. Apple's continued forced obsolescence will propel people into an Adobe subscription plan. I imagine they will have a great earnings report coming up. I think there's a huge opportunity for Adobe if they can find a way to bring an NFT art market to life.The Bad — I want to see what's coming next. As a user, I see Adobe blundering in how they treat their customers, such as dropping support for XD on marginally older macOS. Insider sales are indeed signaling danger. The Adobe stock price is strongly correlated to AAPL, which is not too happy right now.Overall I'm feeling neutral, but leaning bullish. I can see the stock price trading in a range between $475 and $525 until there's news.",0.9615
1291,CRM delivered strong earnings and guidance after the close; ADBE up in sympathy. Should be a big day for software sector tomorrow.,0.81
1292,New competitor entering the ring soon. ADBE is still as rock solid of an investment that you can get.,0.7487
1293,Is it good enough?,0.471
1294,150 next week!,0.1061
1295,Time to load this on dip,0.5113
1296,Close at 385. tomorrow open at 330. Gluck to long. ,0.3204
1297,Big news with the acquisition should be going above $520 even if market isn't good . If all else was equal this stock with Acquisition should position it to at least $550$600,0.8021
1298,250 by end of month,0.0101
1299,"I recall, it was hugs and thugs last night on mad dash. You were ordered to Buy at $250. How's that working out",0.1184
1300,"ADBE reports phenomenal earnings/sales growth and guides higher. The market punishes this stock???? I do not understand. The same thing happened to MU in the last quarter. ADBE and MU are 2 excellent companies which are both ""Strong Buys"". This is easy money for those who buy on this ""dip"" this morning!!!",0.953
