,Recent headlines and conversations for KHC,Polarity
2877,Opens at 32.46 tomorrow. Will it recover on drop more?,-0.3373
2878,"Hedge Fund ActivityMichael W. VranosEllington Management Group LLCNew+100.00%$677.94KPhilippe LaffontCoatue Management, LLCNew+100.00%$4.9MJoel GreenblattGotham Asset Management LLCAdded+37.87%$34.99MMario GabelliGamco Investors, Inc. ET ALAdded+22.87%$3.03MJean Marie EveillardFirst Eagle Investment Management LLCAdded+0.77%$176.86MWarren BuffettBerkshire Hathaway IncNo Change0.00%$10.46B",0.7472
2879,Options point higher!!,0.2693
2880,MARKET MORNINGS on youtube just released a good video on kraft and its breakout potential.,0.8447
2881,"Been watching this for about 6 months now, always considered the valuation too pricey for consumer staple, but when it dropped to 53-55, It became more compelling, so last week I entered a position at 55. Surprising to see a company this size and with this reach nearly 8% down per-market, so today will certainly be interesting. I would not have touched it back at 90, 80, 70 nor in the 60’s, so I thought I was getting a ‘deal’. LolIt’s quite the spectacle what the market is doing to these food producers, GIS, K,CPB, etc. price per share are dropping with valuations lower than 3 years ago, yet consumer eating habits have not changed that much. Instead of buying some organic meal or product, you just get the organic version of it made by KHC now.",0.9745
2882,Rangebound 32 to 35,-0.0046
2883,So that's how recovery looks?,0.1452
2884,So maybe putting profit ahead of people doesn't actually work so well in the long run?,0.8105
2885,"Rising with good volume. Stochastic oscillator and RSI are triggering bullish signal, according to stoxline. A break of 64.75 could move it up to 75.63.",0.8877
2886,WOW the guidance is,0.6792
2887,Why is this trading at 127 P/E? It's a food company....,0.1202
2888,mindful: ex div date November 14. Pay date: December 13. You reinvest your thousands of div pay outs during Dec.,0.2342
2889,Heading over $40 by months end! ,-0.2018
2890,"Buffet and 3G are 100% to blame for this. Corporate greed. They are pirates. They combined these and just took the money. They had to know this was going to happen. They both have people on the board. This is so corrupt. They have so much debt because of them, they may never get out. The pirates already took the money. Buffet can only redeem finals by buying this company. Maybe he wants it bankrupt so he can but it even cheaper. I'm now Bag holder. Unsure if I should take my losses and get the hell out, or wait to see what is done. This is so far below book value. Buffet is not the upstanding man he tries to be. A lot of people were paid off so he could make money.",-0.4703
2891,NEW CFO!!!!!!! Super happy!,0.8967
2892,Options are showing that many are betting big this will jump to $37.5 - $39.00. Lets keep our fingers cross. Tomorrow will be a positive day. Just be patience !!,0.8038
2893,This has really done well since the onset of this mess. I started buying before it hit the fan and the price has recovered already and then some.,0.611
2894,Every dog has its day.,0.1139
2895,"So the vandamme buy was actually not a buy ?Stock looks cheap, 4 billion free cash flow this year, 12 percent free cash flow yield",0.9227
2896,Khc products are constantly sold out in the 3 supermarkets around me. Tried a few products and were impressed enough to buy more off the shelf and buy the stock.,0.8257
2897,woweeeeee; pass me the 57,0.0018
2898,Maybe KHC can hold $36 next time..meanwhile happy with div,0.666
2899,Just no one who owns shares ever sell and then it’ll have to go up,0.5309
2900,"All buffet has to do is go on TV and say how he is buying more and how KHC is a deal at this price and boom, a gain of 10%.",0.8878
2901,Their strategy seems to be to panic and reformulate their products to be cheaper. Tried new formula Mac and cheese. I will never buy it again. This stock has further to fall.,-0.022
2902,Kraft Heinz has new ceo and buffet is would buy this stock at cheaper price .,0.6671
2903,Warren Buffett needs to do something,0.5027
2904,"This breakout from 32.17 is clean and cleared, march towards the higher higher seems to be certain that supports by technical and fundamental strong tail winds !!!",0.955
2905,First close above $40 since Feb 2019!,0.3425
2906,Wow if your cheese is unpasteurized it could have listeria in it only but KHC cheese it’s pasteurized. KHC saving America one cheese stick at a time.  thanks for not poisoning our food like the other cheese brands thank you.,0.8735
2907,There is only 20 million shares shorted.About $600 million today.But a squeeze could happen Monday.,0.6204
2908,Lot of volume today.,0.2281
2909,This will do what $GIS did. $55 Soon!,-0.0774
2910,Is Warren buying everything? Nice little run,0.7285
2911,"only vultures with lawsuits in the news feed so far , is there anything else going on in the company ?",-0.1071
2912,$90 Soon!,0.0763
2913,Buy CHD and replace current management at KHC with the management of CHD. Two problems solved at once.,0.3514
2914,"KHC still has about 30 billion in goodwill it still needs to write off. LOL,LOL and you were thinking it can't get any worse LOL, LOL,LOL",0.8212
2915,PE as of yesterday was 11.48 while the average in this industry is 22. Can't believe people are selling today when the ex div date is Wed. at over 5%. Maybe they are chasing TSLA and BYND,0.7718
2916,Looks like many shorts are trapped !! These will continues to gap up for days ..,-0.1961
2917,"In Buffet's letter to Berkshire investors , he acknowledged the loss from KHC - then he said they like to buy stocks ' when the company is on the operating table ( wounded ) "" . Based on that comment , he may buy some shares next week at a discount - he said "" companies that offer value 5 ,10 years down the road "". Let's hope he pumps the share price based on this discount -",0.964
2918,KHC is leading the vintage flavor trend comeback with General Mills together. The Super Bowl ad is so touching and just the start of this retro flavor campaign!,0.9235
2919,"""Buy,, When there is Ketchup in the Streets"" Warren Buffet",0.3145
2920,I think ketchup should be a commodity like orange juice or pork bellies.We could measure it as frozen concentrated ketchup per pound and sell futures contracts.,0.4906
2921,40 is bottom,-0.2097
2922,Will be up a few dollars next week but a long road back the noise is deafening.,0.3958
2923,KFC looking good. Buying tomorrow.,0.6135
2924,"WOW look at that rates are dropping like a rock. That got to be really good for KHC, Plus KHC pieces are going higher just like everyone else. Now that has to be really good for KHC also. WOW I think KHC is going to be going HIGHER.",0.9838
2925,KHC will be worth $42 a share by April.,0.428
2926,I picked some up to add to my div folder,0.4808
2927,Be careful comparing this with Apple getting hit and rebounding. Apple didn't cut dividend. That is a significant difference. Let the dust settle before buying back in....,0.8812
2928,Cramer on CNBC this am gives it a buy! He said they need to buy somebody. Could CHD be that somebody?,0.6865
2929,Bottom line is valuation is now attractive...buying opportunity I wonder if 3g and /or BRK decide to double down here?Or maybe someone else comes in to drive a turnaround?,0.8099
2930,This proxy against buying Campbell’s international in a logical world is super bullish. Focus on fixing what you have and lower debt.,0.6253
2931,"Buffett will not sell KHC imo I have followed him for decades. Even if he did he once sold hd, mcd, wmt, over the years and those stocks over time went up way higher! my point is do your own dd and don't follow the herd which is a ticket to the poor house. One thing however that you can take from Buffett is to buy with a margin of safety.",0.9247
2932,Very bullish now...,0.1972
2933,insider trading strikes again this was going up before the news came out this is bs,0.3475
2934,Sure looks like Heinz made out on this deal. Perfect timing,0.8642
2935,Deutsche Bank analyst Steve Powers upgrades Kraft Heinz (NASDAQ: KHC) from Hold to Buy and announces $38 price target.,0.3186
2936,the currently high dividend is not sustainable. change my mind.....,0.077
2937,"Not really sure who had a bigger ""BLOW OUT"" Nike or KHC? Great buy at $35.00.",0.8888
2938,Glad to see KHC is keeping pace again today i sure don't want to be let down.,0.6514
2939,going to go buy kraft ranch and shedded cheese to go on my salad some ketchup for my kids fries...almost forgot the Philadelphia cream cheese for my chips.,0.5599
2940,"@Baron... I don't know who is more annoying--UrMoney, or YOU. TAKE IT EASY ON THE ALL CAPS!And please stop referring to us as ""BOYS.""",0.7717
2941,"The amount of debt over FCF is really scaring me off this stock, comments?",-0.5364
2942,"KHC conversations are useless. WS continues to lack any long term confidence in KHC. Higher sales and earnings, but non cash write down of brand takes precedent. WS looks for negative in KHC while pumping less value equities with higher debt and lower earnings. KHC PE a is much lower than market. What will propel KHC higher? Consistent quarter to quarter earnings and cash flow improvements with out special writedowns, along with new brand strategies to push healthy products.",0.9386
2943,ur money guy is a rabbit. he's run off now. just know that he won't back up a word he says. he hides in his wife's home and talks smack. he met the wrong guy to do that with. now ur money just hides and talks. will ultimately state: next time ur money talks smack about my family i will meet up with him and have lemonade.,0.0241
2944,"It will go to $40 soon because I said so.Yeah, that's my justification.Also because they produce at least 100 products of all types, 20 which I buy.You know it, I know it, it will go up.Just not today.Maybe next week.Count on it.",-0.0061
2945,They are supposed to announce earnings today after the market close,0.2985
2946,Looking to dip my toe in this at some point today. Volume has decline each of the last 3 days and I think most of the sellers have already sold if they were going to sell.,0.4215
2947,looking at the chart looks like khc is going back down to the twenties,0.2963
2948,"With earnings a week from Thursday, I like $KHC. Has a 5% dividend yield, Buffet owns a big chunk. Investors expect horrible news (expectations low). Stock trading at multi-year lows. Chart in extreme oversold area. It has all the makings of a bounce.",0.4065
2949,Can you say $5? How do you know WB is not shorting?,0.3734
2950,lock down extensions will do well for khc sales in 2q,-0.0799
2951,When they downgraded the credit rating it goes down 2$ when they upgrade it it goes up .12c,0.3941
2952,What time does WB speak tomorrow?,0.0221
2953,price means nothing without understanding the company.,0.278
2954,Very attractive PE,0.5945
2955,"This stock was valued at 98 $ a year ago , now at 32 has no buyers what a joke . This is a plot to take over the company ... me think .",0.602
2956,"sold all my shares, no sense being greedy , it had a great move ,, picnic season is over which gave the good news.",0.7014
2957,Bought at $60. Love it. This baby is $70 by end of July.,0.733
2958,KHC products sold out everywhere! Nothing to do at home but eat,0.4675
2959,"Warren Buffet was the kid who dated the ugly girl in middle school because he knew she would eventually lose weight, acne would clear up, braces would eventually comes off, and her melons would be big. He knew this by doing the research, in this metaphor it was looking at her mothers physical features. He buys garbage 10 years before it becomes profitable.",0.8781
2960,why is cfo still in his position..David knopt..29 year old punk should have been fired long ago,-0.0306
2961,Morgan Stanley upgraded to $35 this morning...,0.2522
2962,Congrats to all longs on a stellar 1 day move!,0.7106
2963,see how those ppl chasing yield on that mickey mouse stock SIX are doing today? khc needs one of those days to wake ppl up here.,0.8036
2964,obvious winner of corona virus,0.7542
2965,"monster day, congrats finally back over $30!",0.742
2966,Analysts upgrade as ttm numbers ate showing dramatic increase of free cash,0.6533
2967,"POLL: Do you think this will go down further at opening and for the rest of the day, or up?",0.8168
2968,Buy Buy Buy,0.3739
2969,"The sale is great news, more debt repayment + possibility of acquiring something worthwhile (hopefully)... Next Q reporting will be great!",0.8908
2970,"35 soon, here's to all the longs that cost averaged during this period.",0.0484
2971,"i really don't understand this one. even if they sell everything, everything 2x 3 or 4 they still wouldn't put a dent in the $28 BILLION debt. this stock being flat is crazier than webr's or baron's crazy posts.",-0.413
2972,Seeing a prolonged rescission as unemployment will stay elevated next 12 months. Expect defensive stocks like khc GIS pep tsn to be the safe place when a vaccine is distributed. Optimism will see money being rotated out of these stocks but also a portion sidelined money will be put into these same stocks. Not much downside here,0.66
2973,Buy KHC for long term investors get a good dividend. Company will turn around for next report optimistic during the pandemic more products been sold than expected.,0.8569
2974,Obviously holders of KHC are pumping this stock. They HOPE they didn't make a bad decision. They want you to join them in this stagnant stock. KHC failed to recognize changes in consumer tastes. This is not just a momentary anomaly. Nothing will change until management takes steps to modernize their vision for the future of their products. But I do happen to like KHC products and often select them over generics or new organic fads. But then I did grow up with them.,0.9064
2975,Buying heavily here,0.2346
2976,"So if nothing else changes, we had a double bottom around 31. And from here we rise. For a stock like this, no news is good news! Please no more news......",0.79
2977,Does anyone know when they will announce earnings? is it on May 23rd? Thanks,0.7315
2978,KHC now down 50% in less than two years. So much for safe food stocks.,0.2777
2979,KRAFT foods can't make products fast enough for their demand ! Mac and Cheese flying off the shelves.,0.2482
2980,Company is in a JAM and needs to Preserve the balance sheet.,-0.1957
2981,"With bond yields crashing and the market looking toppy, investors will be looking for stocks with good yield that have not run up recently (and therefore might not drop) during this next downturn. I think holding KHC here will prove to be very smart.",0.7521
2982,BOYS.....BUFFETT IS THE BACK STOP. NO NEED TO WORRY. BUFFETT IS SITTING ON OVER 100 BILLION IN CASH. BUFFETT AINT GOIN TO LET THIS DROP FAR....BANK IT !!!,-0.9
2983,listen to @Stock Trader at your peril,-0.2448
2984,of course buffet was told a few days ago what was going to happenhe certainly couldnt sell but then he didnt buy anymore did he?,0.732
2985,I keep seeing comments about selling now and taking tax loss...If that’s your game then now may be the time for one reason...you have over 30 days before year and typically fund managers sometimes sell before Xmas holidays in order to lock in there profits for year end...This helps fund manager insure their performance bonus...Thus you may be able to buy the few days after in a dip and have your tax loss...,0.9634
2986,YOURMONEYNOTMINE.....AINT REAL SMART. DOES ANYONE THINK BUFFETT WILL LET HIS 25% EVAPORATE. THIS IS NOW ABOUT PRIDE. BUFFET TURNS THIS AROUND IF ITS THE LAST THING HE DOES. BELIEVE ME.....HE WILL PUT THE PEOPLE IN POSITIONS TO MAKE IT HAPPEN....BANK IT!!!!,0.9602
2987,look at that chart. you're basically the same place you were before last quarters pop. while you had your money in this mess those months you coulda had it in something else. wow. no point in buying khc when bgs and cag have better balance sheets.,0.8322
2988,"NO WORRIES.....UP IN AH TRADING !Alas, ONLY A Nickel !Snicker @",0.4995
2989,Really is a different company than just 1 year ago. Concept of the change to work at home post pandemic is really a strong macro trend. Large investors getting in right now.,0.6938
2990,"I own long term call options out to 2021, thought for sure I’d be selling those after the earnings report would lift it over 50, looked at buying puts to protect my long position, but they seemed pricey, and I did not believe it would drop below 42, well, as usual I was wrong. Will load up on more calls......and for those reading about Robert Krafts troubles....he hasn’t nothing to do with KHC, he made his fortune with paper, just happens to have the same last name.",0.9497
2991,Best brands in the world,0.6083
2992,With the dividend cut I just dont see this going anywhere but lower. Think I will sell and put the money to work elsewhere...,-0.2739
2993,Expect 30+ today or within the week,0.0819
2994,wow not only 52 week low ah but 5 year low how buffet will react tomorrow?,0.4015
2995,Tender the offer already before the market pops the stock and shareholders don’t want to sell. We all know it’s coming. The worst kept secret on Wall Street. $40/share or 24 billion. Pennies to you guys at 3G and Berkshire. Clean it up and refloat it at $100/share.,0.8086
2996,"Campbell's soup, Conagra and Kraft is where you want to be in a market like this.",0.4668
2997,Slow grind to $48 short term,-0.6326
2998,Tomorrow will be 35$,-0.0802
2999,buffet last seen wasting away again in margaritaville,-0.3641
3000,CAG is also ready to move up. World gotta eat.,0.6212
3001,it takes but a few seconds a day to mute the annoying spam from China.,-0.5836
3002,I wonder what really is going to happen to the stock price when they do finally report earnings. For their sake I hope that somehow when the report comes that it exceeds everyone's expectations. Otherwise its going to be a horror show......Makes me want to own some puts.,0.6995
3003,"I think Buffet is averaging down and getting ready for a big surprise !! Folks this is a food company, if they improve their merchandise and get into healthy foods the stock will pop to $45 in a week.",0.9057
3004,see if it holds gain...usually fades down stretch..like my horses,-0.1829
3005,Thinking about buying a starter looks like it’s settling now. Do you think they will keep any dividend going forward ?,0.863
3006,"Walter Kerr, a Canadian investor, is increasing hisposition; Mr. Kerr feels with strong convictionthe dividend yield makes KHC a Buying Opportunity.",0.8639
3007,23 cents from losing an entire year dividend in 1 day and no news.,-0.3164
3008,What I got from WB interview is that he would be a buyer at these levels,0.0775
3009,Power bottom action today!,0.5883
3010,"june 14. divi. All short left this position. AI robots buying ov every dip. Slow recovery. We should close gap 48$ somewhere in next 6 month. Same story as with chipotle, when went down from 750 to 275 and after back to 700. My prediction: early 2020 $48-51 and may/june 2021 - 78-91$",0.5828
3011,Relief rally sooner than later. May be today? Who knows. Stay optimistic guys.,0.7975
3012,This will creep up to $45 until the earnings are released. $55 soon!,0.3918
3013,"mindful May 2, 9 am CDT brk meetup starts, continues 'til noon. no audience questions: good. all questions fielded by cable news ostensibly. no khc div news allegedly as div already slated pay june 26. khc/mgt will be showcased as example of stellar stewardship during ""virus"" constraint. although khc is on back burner re 3g/brk governance, i expect div suspension language or similar later half of year.",0.0544
3014,"KHC Tanking Big Time This AM As Buffet says on CNBC 'I WILL NOT BUY MORE HKC' Stock Was UP Big PM, Now Tanking on Buffet Basically Saying 'SELLLLLLLLLL' !!",0.7766
3015,should I wait or buy now? any thoughts?,0.4109
3016,"If you like it at $34, you will love it at $33 tomorrow, and $20s by end of March. $25 by summer. Management is not serious about debt. Remove dividend, sell off underperforming assets, pay down debt, improve product line. That would make is stock go up. Anything less is just buying time to dump more insider shares.",0.9006
3017,I Don't understand this stock being that low. Everything with a Kraft or Heinz logo is almost sold out here.,-0.0013
3018,"Some say this is going higher, others say it will crash lower.But as near as I can tell this thing is stuck at 32.",-0.1611
3019,Come on KHC.. You’re lagging! Let’s go!,-0.3567
3020,"Bernardo HeesLavery, it's Bernardo again. Look, I think, if you see the second half performance of our commercial initiatives and returns of our investment, it's going to see a very positive scenario in that sense, right? We're having volumes, consumption and market share gains in the vast majority of our categories. Even categories that have been declining for quite some time are seeing a momentum, right? And we do know there is more to come. Not only that, even with the miss of the fourth quarter, we continue to operate at industry-leading margins, and we think the 2019 base that David just highlight is a base we can grow sales and EBITDA going forward. With the actions we're taking on dividend and the work we're doing in portfolio, it remains to be successful and we are confident we can be. We will have a balance sheet that's more flexible and more prepared for future consolidation. So in that sense, I think the commercial momentum is happening. In that sense, I think even with the miss in U.S. operations, we still have the base of the margin here that allows us from this base to build 2020 and beyond and the balance sheet flexibility for future consolidation for us to be a consolidator if the industry goes our way.",0.9892
3021,Bagz ! Let's See......Ond Analyst a Generous $31 PT< The Other $27 Recently.....Wow ! How is this Still $32 !,0.7514
3022,Small long position started in KHC today. More Buys on any further dips. Either a value trap or a great opp. Time will tell.,0.8643
3023,when people scared they go to safety. khc is safety.,0.4747
3024,Any surprise on Thursday and this will be up big time!,0.5642
3025,Only up from here. Nice div too. What's not to like. Kraft will never fail.,0.4764
3026,In at 240 shares !,0.3209
3027,In four to six weeks KHC @$39 - $40 per share. Watch and learn.,0.6215
3028,"Any thoughts regarding acquisition/disposal of shares by insiders during the last few days ? I've looked at the Form 4 submittals at the SEC website. - IMO, the transactions seem to involve relativel small amounts for these insiders, at least compared to their overall holdings.",0.7754
3029,baron article says may for new plan details..but.they clearly state dividend will survive,0.7843
3030,OVER REACTION!!! Lets see what old Buffet has to say.,-0.5137
3031,I think this stock is a good pick and the prospects are good for more upside to come!,0.906
3032,"Buffett bought KHC at 70-80. It’s at 29 now. Absolute steal at current price. People are coming back to their brands, which will be a boon long term because we are creatures of habit.",0.6286
3033,"Its trading water hard ,, time to go SHORT ,, bigtime !!",-0.6807
3034,Don’t care if they pay 0 on divs . I’m khc long in nyc baby !,0.7942
3035,"Everyone, turn-off your phones and restart tomorrow",0.0978
3036,"The SEC subpoena is for minor$25 million added to Cost of goods soldMaterially it may not equal 4 cents perShare. This is wrong but it’s minor.As for drop in sales, all food items like cereals, crackers, soups-canned are declining. Examples include Campbell Soups, and General Mills. WAy too many generic foods and stiff online delivery competitors are causing shifts, lastly the divvy cut to 40 cents per quarter from 62 cents. The net yield is at nearly 4.65% even after cut at 36 and change for stock.Maybe 34$ is where we go. I doubt we see 30 and possibly as high as testing $40/ share is possible. Interesting to note 2/3 of all outstanding shares are owned by Berkshire and one other fund. Only 1/3 shares exist in open market.",0.9768
3037,"BOYS....KHC HAS ALL THE PIECES IN PLACE TO TURN THIS AROUND QUICKLY. SOME LESS PROFITABLE BRANDS WILL BE SOLD [DEBT REDUCTION] AND THEN THEY WILL BUY AN UP AND COMER. I SAID THIS A MONTH AGO, AND FRANKLY YOU CAN BET YOUR LIFE ON IT. I SEE 50 BY YEAR END. I CAN LIVE WITH THAT AN THE 5% DIVIDEND IS NOW SAFE!!!",0.9775
3038,"CEO made all kind of excuses. Hiring, marketing, new products? Aren’t all the companies doing the same things?",0.444
3039,"The pandemic shows the power of the KHC brand, people empty the shelf for their trusted and loved products from KHC.",0.9085
3040,I will wait until tax loss selling is at the peak and have decided to double down at that time. It may test the 52 week low again with all the selling that will possibly occur. I am willing to hold this position for 1-2 years.,-0.554
3041,$40 next week,0.0313
3042,Needs to go down another 20%.,-0.1974
3043,This is $40 value with just the real estate alone.,0.2804
3044,I'm scared Boys! I wish Warren Buffet would have lunch with me at Dairy Queen in Omaha to comfort me and to coddle me. I'm on the brink of tears. Anyone want to buy my shares? Would love to unload them. I'll give U a good deal.,0.9073
3045,"This is madness... All others companies sales will decrease by 50% because of the covid... KHC sales increased... Minus 4%, what I don't understand? Last year, we missed earnings by 2 cents, minus 10$ a share... Now we beat by 16 cents, minus 4%... Seriously...",0.302
3046,loaded more calls,-0.1322
3047,"What are the New acquisition target for KHC. Here is an article i readSummaryThe Kraft Heinz Company is one of the largest global players in the food and beverage space and has paved its road to growth through mergers and acquisitions.The management has struggled with generating organic growth, product innovation, changing consumer demands, and competition from young brands.While the stock is trading at a low, it is evident that the management is getting ready for a big acquisition which has the potential to unlock value.The recent insider buying is a strong green signal and our analysis indicates that the stock could be an interesting investment for a 12-month horizon expected to reach USD 80",0.9812
3048,"It's free cash flow in Trailing Twelve month (TTM) has increased to 3.8 vs. 2.7 billions comparing in 2019, and reduce 2.1 billions debt with excellent traction! A hugh run up will occur. i have re-rated it to out perform",0.8831
3049,this will easily go up tomorrow,0.4376
3050,Conagra up 5 bucks in 10 days. KHC next. I own both. Buy now and be patient. Collect fat divvys. World gotta eat.,0.5308
3051,"Look at GE was down so much , today up 15 % almost touching 12 . Same with KHC , just needs some time to recover .",0.1765
3052,"Oscar Mayer.. I work in walmart as a dept manager on meat/deli... and i got around 35-40 price changes for oscar mayer brand, or exactly on ""Oscar Mayer Deli Fresh"" (turkeys, chicken, ham etc (all different sizes etc) and prices increased, like from $3.48 to 3.98. and some from $5.48 to 5.98.. But only on that category. Bacon, sausages, hot dogs, lunch meats and few others same.Don't know it is a good sign or bad.Just some ""who cares"" news.",0.9734
3053,It bodes ill when a company cuts dividend.,-0.4733
3054,going to 40 its a great opportunity right now,0.7934
3055,"Very close to a gap fill here. And if you think there hasn't been news, you haven't been paying attention.",0.0655
3056,"Barrons says Fair value is $60, buyout is $88",0.6396
3057,"Naysayers. Ideally they can turn this pantry burst into debt reduction, and have a better balance sheet when this is all over. This stock doesn’t have to “grow” it can just continue paying an outsized dividend. Less debt= bigger div",0.591
3058,"Autopilot is collecting, looks like the computer are in the mood.So somebody is collecting.Have a good day",0.6242
3059,So how does KHC compete when Walmart and Target provide same product and undercuts KHC price points?,0.0849
3060,Supply issues fixed. Planters and other brands revamped already with new products. selling good from what i see.,0.6944
3061,I'm going to have Kraft Heinz Mac & Cheese and Champagne tonight. Finally landed me a chunk of this baby at a knock-down price!,0.6775
3062,"I will loose all respect for Buffet if he comes out Monday and defends this no-talent CEO and their strategy. And if he does, sell your Berkshire stock because he is clearly out of touch. The evidence on KHC was in front of us all along...just a ticking time bomb. A very happy day - vindication - for all those ex Kraft Heinz employees that didn't drink the Kool-Aid and tried to stop the madness.",0.7163
3063,"1ChartMill03:32 AMMeasured over the past 5 years, $KHC shows a quite strong growth in Revenue: 18.33% on average per year. chartmill.com/stock/analyze...",0.7646
3064,Sounds #$%$ they may a buyer for breakstone...that would be a couple hundred mil in cash,0.1789
3065,volume is really light----thars is what is contributing to the severity of decline,-0.3276
3066,Kraft KHC OUT WHITTED BUFFETT AT THE NEGOTIATING TABLE,0.2338
3067,Who is buying here?,0.2651
3068,Why would anyone still follow any analyst on Wall Street they are always 100% of the time wrong over time. They NEVER EVER tell you to sell at the top in the 40 years of investing and always tell you to sell after it has dropped $50 when they should be telling you to buy. The only reason they are there is so the Wall Street firms can try and manipulate the stock movement. Fact.,0.8136
3069,Shorting this here. My generation has zero interest in KHC products. Sales numbers reflect this. Turning around this big dinosaur is gonna be very hard given their debt burden atm,-0.3411
3070,most people on these boards I think are short term traders using pump or scare tactics..ignore,-0.7184
3071,"vultures keep suing and want some free scraps ,lol",0.6096
3072,Omg . Another down day,-0.1607
3073,Bought sub-$25. Nice pipeline. Just need new product line.,0.8518
3074,Oscar meyer worth several billion alone. I dont wanna hear that its impossible to get out of this...its actually easy.. Sell off your underperforming assets,0.1854
3075,"The problem with Kraft is they tried to have products in the niche categories, which people purposely avoid getting from big name brands, salad dressing for one, people want something organic/local, no way do people want kraft, except for classic flavours only. This trend is going to continue, kraft should focus on what people already love about kraft, ditch everything else, stop innovating. If im buying kraft it is peanut butter, kraft macaroni, heinz ketchup, nothing else. They could also go big, maybe too big for berkshire, with WBs, blessing and start a grocery franchise and use their brands as private label. Or sign a massive equity partnership with amazon to use kraft heinz as their private brand.",0.9786
3076,Finished the day close to the high and did not give back much. I like it!,0.6324
3077,"ok, with sales dramatically increasing due to mass hoarding, interest rates going to zero (debt no longer a problem) and the juicy dividend khc seems like a hard to resist opportunity during a the present bear market imo...",0.8104
3078,Buffett should have added on the weakness...looking for $40 by year-end,0.423
3079,"Unfortunately, KHC buying CPB is still rumored to be in play. I just don't see the synergy between two slow(n)-growth companies struggling with traditional brands trying to reinvent themselves for evolving tastes. If KHC had some proven traction with that at this point then it might make sense. But they don't yet: https://seekingalpha.com/news/3367729-campbell-soup-pushed-explore-sale",0.0651
3080,The share price is sick.,-0.2128
3081,Good buy at this price,0.5859
3082,"I can't believe ""the article"" is the reason for today's drop. It's either profit taking from last week's runup or news that hasn't hit the wires yet. My guess is profit taking.",0.677
3083,"you gotta love analyst...... goldman just reversed on hershey from sell to hold.....and lifted its price target to 142 from 82 great call g s!!! also saw a research report on hsy....13 analyst following...10 holds, 3 sells, and 3 buys..??? i think that adds up to 16?Ten of the 13 analysts covering Hershey have given it “hold” ratings, three have given it “buy” ratings, and three have given it “sells.”they will prob be just as wrong on wrong on kraft!",0.9386
3084,Well here you go: Warren Buffett's Kraft Heinz investment might still be in the money https://finance.yahoo.com/news/warren-buffett-berkshire-hathaway-kraft-heinz-loss-161853570.html?soc_src=social-sh&soc_trk=ma,0.6416
3085,"Lets all look at KHC at an investment. Do they have good products? No, they have great products. Do they have good revenue? Yes. Do they have a good track record of sales? Yes. Do they have a good P/E (anything under 20 is good IMO)? Yes. Do they pay a good dividend? yes. Overall is KHC a good investment? Yes. Now, to tackle another question asked on here. NO! There is absolutely no way Warren B or anyone else will buy this co. Buying shares for the divi is one thing but buying the whole co. with all that debt? NO WAY! In my opinion, KHC is a good stock to buy for the divi and I believe KHC will be $80/share by the end of 2021. So I did buy shares today and will buy more if, only if, the share price drops to $48. If it doesn't drop to $48 I'll just keep what I bought this morning and sell it at $80 and collect my divi until then. Good luck longs.",0.9948
3086,I am liking the dividend without much volatility it can just sit here and I will collect till Wall Street decides this is to low priced and its in play. I bought near low and added as it went down more.,0.0787
3087,"I will buy more the ex-dividend date. Chaos, chaos, let’s go to chaos. Chaos is fair. Then everyone has a chance to be rich . Let’s flip the coin. Head or tail.",-0.8144
3088,"I would look for a lot of new money to start flowing back into KHC , Why no more dividend cut and the cash flow is more than enough to pay the dividend and pay debt and rates are now going lower and lower and the debt is going to start looking smaller and smaller , The FED is going to force money back into the market. For sure the next time they go to renew their CD they are going to be look at stocks to put their money back in that gets them a lot better yield. Boomers need yield to live on FACT.",-0.7113
3089,They are thinking of selling a very small part of the business. Will not amount to didly.,0.1355
3090,Booom !!! Breakout 52 week high      ,0.8154
3091,"""Kraft Heinz continues to own a large number of well-known products and brands that we believe will produce considerable earnings in the future""Berkshire Hathaway to the SEC, 24th July 2019",0.4056
3092,https://finance.yahoo.com/news/kraft-heinz-names-cfo-replace-131851572.html,0.0
3093,Time to accumulate like Buffett (325.6 plus million shs) at 15.6 plus Billion dollars. Called Value investing.,0.9222
3094,"dividend cut back in news today and thursday. if just a rumor, regardless. be mindful.",0.7008
3095,"the lowest short interest I can find is in khc, smart shorts avoiding this , means buy , golden cross , 40 january",0.1887
3096,At these levels it's a good opportunity for someone to split the company up into parts or even for someone like Buffet to come in and add it to their long term portfolio. I think the problem was with 3G and their cost cutting which didn't produce long term results. It's still a good solid company.,0.9629
3097,"Don't sell your shares as a deal could be announced.On the other hand,dont buy shares at this price.I am holding my shares with a buy order to double up at the $52 area.",0.758
3098,Stock will go back to 40 end of year .laugh all you want remember what I said,0.7033
3099,SHOW US THE REPORT,0.1364
3100,#KHC has been showing support 58.24 and resistance 62.41. Bullish indication in Stochastic oscillator and RSI at stoxline.,0.7191
3101,"This past Memorial Day weekend, was an eating frenzy for most Americans! Went into a Walmart and who held the COVETED end-aisle display section? KHC's, ketchup and its ""new"" mustard and mayonnaise offerings and Americans will still gobble-them-up unless they all go on a diet (not happening).!",0.43
3102,40c dividend for a stock at this price. That's actually a good investment. I expect the dividend will rise again from here on in.,0.7958
