,Recent headlines and conversations for PCG,Polarity
2558,I liked the smile and nod that Ms. Batjer gave to the last PCG plan supporter's email when they said that supporting the bankruptcy plan is important as it will help wildfire victims heal and move on with their lives.,0.84
2559,"This looks like a good setup. Long as of 10.82 to target 11.09. Let’s see what happens! ideally I would of like to get in at 10.78 Have a look at the pivot points provided. Many always ask how I do it, i’m always willing to help others. I do get a few pennies thrown my way as a referral. https://news.stocktradersdaily.com/news_release/89/Pg%26e+PCG+Technical+Update_042821115630.html",0.9547
2560,this will be back up to $18 before you know it,0.3148
2561,Why did they file for Bankruptsy? Being held liable for fires... credit agency downgraded them and now they can’t access credit. Keep in mind largest utility company in California. They had no chance. What else can they do? There is a flaw here.... they will fix this issue hopefully. If not say goodbye to your money ,0.8731
2562,"PG&E bankruptcy judge just said he plans to issue decision on restructuring plan confirmation ""early next week."" Extremely likely he will approve, but key issues still unresolved and plan amended again. ""I can't keep up,"" Montali said.",0.1032
2563,"And Johnson just showed up a month after bankruptcy was filed. 129 miles won’t be the average. Especially when leadership is in the middle of battling courts and a particular dictator bent on legacy over victims. Johnson hasn’t even had an opportunity to push his practice on his company sitting in courtrooms more than his own office since he was hired. He has an exceptional resume and I have heard many of his safety interviews. This guy doesn’t need to be here for any financial benefit. He’s here because he has integrity, transparency (not going to tell you sugar filled dreams like a politician) and business sense. All of which is a Warren Buffett CEO ￼potential. This company has had multiple presidents and CEOs I just the past 15 years so no this is not the same old PGE. Granted the last CEO, as soon as she took the position she hired a consultant firm that has had numerous lawsuits for insider trading (McKenzie) as her first act to tell her how to do her job #Unqualified. My point is every time leadership has changed ￼it has become a new company and with 23000 employees it takes time to have change from these transitions. From everything I’ve seen and heard from this man he’s no BS. Maybe that’s what PG&E needs and yes has needed for a little while, but give the Legally Obligated opportunity. The mileage will increase dramatically. Keep the lobbying going for increased right of way on trimming trees(more than the MAXIMUM 4’ away from powerlines; Ridiculous). And maybe rethink the contracts on renewable energy because hydro damns aren’t renewable apparently￼. It’s freakin water turning a turbine!!! Sorry just had to get a little frustration out.",0.9809
2564,We going to hold 18 tomorrow?,0.0217
2565,Energy seems to be the soup du jour:Duke 13 week highPCG macd crossed above signal line,0.4659
2566,Another good day.,0.5076
2567,TOTAL DEBT & LIABILITIES: Nets > $100bPG&E listed $71.4 billion in assets and nearly $51.7 billion in debts. Plus more than $30 billion in liabilities pending even more claims,-0.5235
2568,This stock is primarily institutional owned with 401K money going in every month be it at a high or low price. The state is bankrupt and PCG is way too Capitalist. I say we break 16 today,-0.2755
2569,Good News! The options tell the tell.. Buy buy buy,0.7179
2570,"Wow, I’m back in positive territory. Hold and rise!!!",0.8458
2571,"WOW; GUESS WHERE TMZ JUST SPOTTED JUDGE ASLOP? That's Right: Home Depot buying the strongest COFFIN nails, money can buy for PGE's COFFIN he's having measured as we type.",0.9492
2572,i used to be long until i realized day trading this is the money maker.,0.5651
2573,OH GOOD LORD; be careful what you ask forHere's the link. FUNDING REJECTED BK ONhttps://www.zerohedge.com/news/2019-01-28/pge-tumbles-report-rejecting-debt-deal-will-proceed-bankruptcy,-0.5558
2574,Bunch of ($10B) Credit News: 1. PG&E: Pacific Gas and Electric Co Enters Into Commitment Letter for $3.5B Revolving Credit Facility2. PG&E: Pacific Gas and Electric Co Enters Into Commitment Letter For Up to $6B Term Loan Credit Facility3. PG&E: PG&E Corp. Entered into Commitment Letter for $500M Revolving Credit Facility,0.9816
2575,"If anybody's read the restructuring documents, they mention that the rights offering will be for shares at a fixed price of somewhere around 12-13X 2021 earnings. But, why would big institutional investors pay those prices ($20+) when they can buy cheaper shares on the market? Doesn't make a lot of sense to me.",0.8299
2576,"for most people, being invested six months in a flat would be a complete waste.... but not for Valerian",0.0383
2577,"Now, shareholders should think about right strategies for pcg to emerge as a strong, resilient company and revamp its century old infrastructure. I am NOT worried about Newsome NOT approving the RSA. It is right thing for him to endorse and move forward.",0.9069
2578,I'm waiting on California to announce they've figured out how to blame and sue evil yet essential corporations for every fire by tying them to globe warming.,-0.783
2579,"If investors didn't believe that bankruptcy was imminent on Monday, they should believe it now, because PG&E missed an interest payment of $21.6 million that caused its $18 billion of debt to fall on the bond market.",0.032
2580,I don't think Farmers Insurance has seen this lol,0.5445
2581,"#$%$!!The majority of that money ? more than $5 million ? was spent for lobbying on proposals involving wildfire safety and response, including whether to reduce the strict liability utilities face when their equipment sparks wildfires.Pacific Gas & Electric Corp. spent nearly $10 million on California lobbying efforts in the year before the utility giant declared bankruptcy, spending more than any other entity seeking to influence California government in 2018.",0.7631
2582,WHERE ARE THE PEOPLE WHO SAID THIS WOULD NOT EXIT BANKRUPTCY?,-0.2402
2583,that was the case pre-market at sub $8...….was it not?,-0.1258
2584,Publicly owned utility model will work fine if confined within a small region - say a city or municipal area. Even then the entity has to be wired to a grid. It’s not a viable model to cover a vast territory like PCG’s service area. Let’s say PCG is split into multiple publicly owned utilities. Then who will pay for transmission to remote regions. Who will pay for the next fire that’s sure to occur?,0.3052
2585,that judge is not going to turn around and start favoring the victims now all of a sudden when he's been approving pcg's progress for the past several months... that victim should have been complaining about all the issues a long time back... not just now...,0.7284
2586,"Whole new Crop of PCG bag holders here! Well,well,well...Care to explain to us what will drive the shares above $20? Did you read page 22 bk filing?",0.83
2587,"It's gonna fly again tomorrow! Once the Kincade fire is contained, then it will fly again! Today's gains had little to do with the Kincade fire and much to do with the news regarding the mediator. So once the fear of the Kincade is removed, pcg will just continue the uptrend. Am I Bullish right now on pcg? Oh yes, you better believe I am.",0.8628
2588,Why is there no news about the IRS ruling that was due to come out on May 6?,0.7064
2589,"The way PG&E is rebuilding all of it’s distribution systems to make it more resistant to failure and prevent fires is huge. The scope of this endeavor is huge and will ultimately limit fire risk to a negligible amount. Faster restoration times, faster shut down times in the event of a fire, and a re-working of the grid to limit the size of outages. This is the ‘New PG&E Design standard’. Here is the information in case you have not read abiut Company is on Target as Installation of Stronger Poles, Thicker Power Lines Reach Half-Way Point for 2020Mile-by-mile, Pacific Gas and Electric Company (PG&E) is transforming its electric system in high fire-threat areas to make it more resilient and resistant to wildfires. Known as system hardening, this work will benefit customers directly in terms of improved reliability and increased safety.The ongoing work will happen every day over the next several years as 7,100 miles of PG&E’s distribution circuits are hardened. That’s nearly the distance from San Francisco to Sydney, Australia. PG&E crews and contractors will remove existing poles and install stronger poles, often made of composite materials. Thin, bare power lines are being are replaced with thicker, insulated lines that are more resistant to weather, wind and broken branches. And, in some locations, the electric infrastructure is being buried underground, completely avoiding issues with wind and trees.""The steps PG&E is taking to address the growing wildfire threat in our state is unlike any effort in the company’s history. While there is no single solution, both immediate actions to minimize wildfire risks today, as well as longer-term efforts to rebuild our electric system for the future are necessary and underway,"" said Matt Pender, PG&E’s director of the Community Wildfire Safety Program. ""We will continue until these hardening upgrades are complete for both the safety and reliability of our customers and communities facing the highest risk of wildfire.""This is heavy construction work that requires extensive advanced planning, customer engagement in various languages and then the use of trucks, cranes and bulldozers to get the job done. Through late July, more than half of the hardening work planned for this year has been completed.That includes: • In Mt. Diablo State Park (in Contra Costa and Alameda counties), PG&E recently completed a project that included more than six miles of overhead hardening work and the replacement of 112 poles. • On a project spanning from Oakland to Orinda (also in Alameda and Contra Costa counties), PG&E successfully replaced 2.8 miles of line and 80 poles. • In Pollock Pines (in El Dorado County), a project is currently underway that will replace 1,025 poles and 38 miles of wire on one circuit. Nearly three miles of power line will be buried underground as part of the overall circuit work. This work will continue throughout the year.In total, through late July, PG&E has hardened 138 miles and remains on track to reinforce infrastructure across 241 miles this year. That follows the 171 miles that were hardened in 2019, which surpassed the company’s target of 150 miles last year.System hardening is just one small slice of the comprehensive work being done as part of PG&E’s Community Wildfire Safety Program, which includes doing more work to keep trees away from power lines, adding high-definition cameras and weather stations to provide more detailed real-time information on conditions and adding microgrids that will be able to provide temporary power when and where needed.",0.9918
2590,"I do not care if this dips. The company is going nowhere. I started buying in the $8s and will continue to add. Yes other stocks are booming but if and when the bubble bursts they will come flying down and this company will be fine. I have noticed on many larger down days this stock goes up as people look for safer money. Right now EVs are the rage but nobody stops and considers that those will take electricity which means more money in PCGs future. I am 50 with another 15 years of work ahead of me sigh because I did not plan for the future but I am pumping 14% of my salary now into my 401k and part of it goes in this stock. Someday, maybe not soon but someday, this will be back to dividends.",0.9037
2591,I'm starting to rethink my safe plays with my utility stocks. PCG is an eye opener. Nothing's safe in this world,0.8926
2592,"Well have fun and a happy holiday everyone!!! Looks like nothing interesting is going to happen anytime soon. Those who short good luck and those who long, just sit back til June. Pcg complete take over won’t happen, Newsom over played his hands, no one person is above the law. Even if there is, in the eye of the court they must at least appear to be fair to the public. So no matter how much pull Newsom might have or think he has, he’s just another man infront of the court. It’s scare tactics and stock manipulations.The current price already includes the scare tactics. So plus $1-2, depending which way the wind blow. But pcg seems to have strong backings so I wouldn’t worry too much especially when there’s still so many investors looking to jump in at a good price. :)",0.9862
2593,24.50 was a good getting off number and now looking for a nice number to jump in again. More profit to be made before this afternoon. Watch the spike again and then some sell off to buy some first class seats for summer vacation.,0.9446
2594,"I asked this question before, because who decides what is an act of God and who pays for this liability. If a tree climb hits a PCG pole and starts a fire, these politicians are blaming PCG for vegetation management and holding them liable for damages. May be Kincaid fire because of the weather conditions was an act of GodGetty Fire caused by tree branch hitting power lineThe Getty Fire began when a tree branch was blown into a power line, Los Angeles Mayor Eric Garcetti said at a Tuesday afternoon press conference. Garcetti emphasized that the fire was accidental, and not caused by faulty equipment.""We have concluded ... that this fire started when a tree branch fell on power lines, causing them to spark and begin this fire,"" Garcetti said. Garcetti added that he saw dashcam footage showing what he believes to be the moment the fire began.""This was, simply put, in plain parlance, an act of God,"" Garcetti said. ""The wind broke off the tree branch, threw that tree branch, because of the strong winds, far enough to cause a spark off a line that's still intact there.""Investigators from the Los Angeles Fire Department's (LAFD) Arson-Counterterrorism Section analyzed burn patterns, interviewed witnesses, and gathered physical evidence. The group determined that the fire likely originated on the 1800 block of North Sepulveda Boulevard",0.9386
2595,"So let me get this straight. Everyone, including entire cities, hate PG&E for removing and trimming their trees, but when fires break out, they're first in line to sue PG&E for money, even if a fire has been deemed by CalFire's investigation that PG&E's equipment was NOT to blame, as in the Tubbs fire?https://www.paloaltoonline.com/news/2015/11/07/city-to-residents-dont-sign-pge-tree-removal-contracts",-0.8165
2596,"PG&E Rejects San Francisco's $2.5 Billion Offer to Buy Electrical Assets04:39 AM EDT, 10/14/2019 (MT Newswires) -- California-based PG&E(PCG) turned down San Francisco's$2.5 billion offer to purchase the bankrupt utility company's electrical assets within the city, such as power lines and other infrastructure, Reuters reported Saturday.In an Oct. 7 letter to San Francisco Mayor London Breed and City Attorney Dennis Herrera, PG&E(PCG) CEO Bill Johnson wrote that the city's offer significantly undervalued the assets and that a sale would not be in customers' best interest, Reuters added.Breed and Herrera responded on Oct. 11 saying that San Francisco would continue to push forward its offer, according to the report.(Market Chatter news is derived from conversations with market professionals globally. This information is believed to be from reliable sources but may include rumor and speculation. Accuracy is not guaranteed.)",0.9696
2597,"Ugh $17 is getting boring, cant wait for $20’s",-0.6674
2598,Of the 21 major fires of 2017 they are on the hook for 18 of them. Tubb's victory was very small in comparison of whats to come.,0.5574
2599,$20 stock once dust settles this summer. then sell before fire season begins lol,0.4654
2600,Judge Won’t Let PG&E Investors File One Massive Securities Fraud Claim in Bankruptcy Case.,0.5374
2601,buy and hold. climb that greeeeen mountain!!!!!!,0.6127
2602,"I know that this is a long term play, and I've been waiting, but I'm just saying that I've done better in one day using RBLX to teach my son about the stock market that I have done with PCG in 2 years!!! I know. Value stock. But still...Let's go!!! Rockets, diamond hands, the moon, etc.",0.9822
2603,Yeah! Let CA find a way to sue PGE for lightning strikes. This way they can approve wilderness home building with one road in and no fire abatement prevention or regulation of the residences. The survivors will make bank.,-0.1515
2604,"Today PCG went down a little but it's still at the same price as earlier this week. We can't see an increase everyday and look at today's volume, people are buying up all those shares for cheap otherwise the price would have tanked way harder. We hit some resistance people but the company is being proactive in their efforts to combat the wildfire season and business is going as usual which is good. Things are holding out strong , let's see $10 per share by next week",0.9833
2605,"PG&E Corp. (NYSE: PCG) ; Fire-Relief Bill to be Introduced in January, Holden Says; Has Goal of Passing Bill in First Quarter - Bloomberg",0.2033
2606,"Patience, more accumulation under way. Next announcement or quarterly report will start the climb to 20.00. GLTA",0.86
2607,This is just churn. bots trading back and forth with each other to show volume and activity. No one is buying this except the retailers that fall for the churn.,0.6359
2608,"""Approaches that ignore the fact that the climate is changing and the odds that these kinds of hazards like wildfires, like heat waves, like heavy rainfall, like extreme storm surge flooding -- not acknowledging that these hazards are changing is a recipe for continuing to be exposed to these kinds of unprecedented conditions,” Noah Diffenbaugh, a climate researcher and earth system science professor at Stanford University, told ABC News.https://www.foxnews.com/science/nasa-satelite-australia-wildfires-seen-from-spaceGovernor Newsom better understand, turning power off was the right thing to do, otherwise, this maybe California. Time to put politics aside and approve PG&E plan so they can start working on safety features to prevent future fires",0.9733
2609,"The judge is having connectivity issues, which is a shame given how close we are. Hopefully it gets better.",0.4085
2610,"hold on to your shares people! short squeeze, wait for all the analysts to keep upgrading the stocks nonstop every other week, for the rest of the year.",0.7878
2611,HMMMM $64 down to $5 Then $5 to $17's then to $24 = PUMPED DEAD CAT BOUNCE and short covering: NOW NOTHING OF VALUE.  Bankruptcy = CANT PAY = Common gets cancelled to pay liabilities. just a matter of time.,-0.859
2612,Could someone tell Gov. Newsom to turn on the street lights in LA at night ?,-0.1943
2613,Hoping to see 13+ this week. should be a good week for all of us!,0.7611
2614,I wouldn’t sell till 100,0.0509
2615,It went up with an upgrade from $8 to $11. Then if we are trading at $13.8 then we are over bought. Price target $11 !!! Short it more,-0.3218
2616,"There's a lot of Experts in this room who keep saying this company will go bankrupt ,but it hasn't happened yet and until it does .I guess you simply don't know what you're talking about ...THE STOCK IS GOING UP !",0.8707
2617,"Anyone get my warning earlier to buy at or below $7??? lol Good trade. I'm not sure if we'll revisit below $7 again, but I suspect we might only because we need to form a strong base to truly go much higher without a massive sell off.",0.9462
2618,"Newsome ? How about the common?If they JUST treated the common, like 99% of Bankruptcy cases out there and paid for the repairs needed; and funded it with new common contributions then all would be fine. DEAL WITH IT.",0.9086
2619,"Buy on the dip, once it is out of bankruptcy you’ll have missed your opportunity. My expectation is you’ll never see it this low again! There are a lot of companies you can buy now at bargain price that will rebound, but not very many utility companies! Take advantage of dog days like today!!!",0.899
2620,PG&E will be 100% all debt. Accounts frozen.,-0.4406
2621,12 is coming soon,0.0548
2622,My only regret is that I didn't buy more last week @ that $4.17 PPS.. GLTA true longs here !!!!!!!!!,0.6903
2623,"Weekend bankrupt would be great, so all the holders can't bail. They just wake up to tears....",0.6105
2624,"The 4 month long Lower Lows and Lower Highs chart trend is still intact, despite the rising Dow, so those shareholders that are underwater will still be drowning",0.8093
2625,it's about to skyrocket to 11.85 ....,0.5926
2626,"Bought 500 shares at $9.48. Love this stock, grinding churning cash machine.",0.8092
2627,"Just FYI: the number of short shares today were: 2,254,205; this accounts for 41.27% of the shares traded today .... i think in the next couple days, majority will be short ",0.1228
2628,"hile chapter 11 can spare a company from declaring total bankruptcy, the company's bondholders and shareholders are usually in for a rough ride. When a company files for chapter 11 protection, its share value typically drops significantly as investors sell their positions. Furthermore, filing for bankruptcy protection means that the company is in such rough shape that it would probably be de-listed from the major exchanges such as the Nasdaq or the New York Stock Exchange and relisted on the pink sheets or the Over-The-Counter Bulletin Board (OTCBB).",0.8984
2629,Farmers are happy cuz they would rather work for it than take handouts! God Bless our farmers and President Trump!! BILL JOHNSON ROCKS!!! Go PCG!!! :),0.8878
2630,Could Blackrock (or someone else) buy 50.1% of the shares and force a board change right away?,0.3646
2631,I just bought more actually. So here we go for the ride. ,0.4377
2632,"The Kincade wildfire in California's wine country last October that forced some 2,000 people to flee homes was caused by PG&E Corp's(PCG) electrical transmission lines, the state's Department of Forestry and Fire Protection (Cal Fire) said on Thursday.",-0.51
2633,I told you this would happen. Too big ti fail.,-0.0579
2634,I have a feeling once we here the CPUC vote come in PGE stock price is going to make HUGE gains... that IS the NEWS we need votes don’t mean anything if the Judge/Newless (CPUC) doesn’t sign off on it that’s why this hasn’t taken off into light speed because investors and institutions want to see pen on paper rather than votes. I am not discrediting the votes approving the plan but it is at the discretion of the bankruptcy judge and CPUC to APPROVE the PLAN.,0.9186
2635,Oh well if you sue your power company for 30 billion dollars don't be surprised when they they don't want to give you power.,0.8452
2636,wilbur,0.0
2637,And after tomorrow it will continue to go up. So happy I bought this stuff back at 5-6. :),0.8351
2638,Company confirms bankruptcy stock goes up. Makes no sense.,-0.2109
2639,"Public comments on the CPUC call are just brutal and quite ignorant of a lot of things. The last caller stated PG&E generates power from fossil fuels, when in fact PG&E is the cleanest utility in the country, by power mix (only 15% of power mix is nat gas). And don't even get started on solar and renewables as PG&E is light years ahead of every other utility in the country. https://www.google.com/url?sa=t&rct=j&q=&esrc=s&source=web&cd=&ved=2ahUKEwix66OwiNfpAhXHsJ4KHWnlBlcQFjAAegQIBBAB&url=https%3A%2F%2Fwww.pge.com%2Fpge_global%2Fcommon%2Fpdfs%2Fyour-account%2Fyour-bill%2Funderstand-your-bill%2Fbill-inserts%2F2019%2F1019-Power-Content-Label.pdf&usg=AOvVaw1jrlD261-epvfNMgXsalgA Just approve it already!",0.9594
2640,"Steve,I live in CA and am in the PG&E grid. We will not lose power. The company will continue to function as an electric and gas service provider while in bankruptcy. All common shares will be wiped out. That is normal SOP for bankruptcy. They will restructure themselves and emerge with a new ticker symbol and fresh common stock.",0.8669
2641,"Tomorrow we are going to have a monster Run and it will be followed by another Friday Sell at your own risk, the games have just started",0.5538
2642,"Judge Says PG&E Uninsulated Power Conductors Pose 'Extreme Danger of Igniting Wildfire'-- 1/17/2019 -MT NewswiresPacific Gas & Electric Co. (PCG) had uninsulated power conductors in its electrical grid that were a factor in the recent wildfires, according to a tentative ruling on Thursday by a judge in the US District Court in California, Bloomberg reported.In a one-page order seeking comment from the company and prosecutors by Jan. 23, Judge William Alsup said power lines of the utility company that could face some $30 billion in damages if courts establish its responsibility in the fires are susceptible to trees or branches falling onto them because of high winds, the news report said on Thursday.That would result in ""electrical sparks dropping into the vegetation below,"" risking an extreme danger of igniting a wildfire.""",0.948
2643,"https://www.utilitydive.com/news/pge-gets-initial-approval-to-securitize-75b-of-wildfire-costs-despite-r/598909/Dive Brief:• California regulators on Thursday gave Pacific Gas & Electric (PG&E) an initial green light to securitize $7.5 billion in costs related to a series of wildfires that occurred in its service territory in 2017, despite concerns from some groups about the impact to the utility's customers.• If regulators similarly approve a financing order slated for a vote next month, PG&E can issue up to $7.5 billion of recovery bonds, which will result in a ratepayer charge of more than $394 million per year for the next 30 years. PG&E intends to reimburse customers through a shareholder-funded trust, but some groups are skeptical of that strategy.• The securitization stems from the ""stress test"" process, adopted by California lawmakers before PG&E filed for bankruptcy in early 2019, which essentially allows the CPUC to consider a utility's financial position in deciding the amount of wildfire costs it can bear without harming ratepayers.• Dive Insight:• PG&E last year filed an application with the California Public Utilities Commission (CPUC) seeking authority to recover the $7.5 billion in wildfire costs by issuing ratepayer-backed bonds. • According to PG&E, securitizing the costs would allow it to retire $6 billion of debt and accelerate compensation promised to fire victims as part of its bankruptcy reorganization plan. The CPUC decision directs the utility to establish a ""customer credit trust"" to reimburse ratepayers, which shareholders would fund with $1 billion in 2021, $1 billion before March 31, 2024, and nearly $7.6 billion down the line.• That last requirement, however, has drawn concerns from ratepayer advocates. PG&E intends to get the money from certain shareholder-owned tax deductions or net operating losses. But consumer advocate The Utility Reform Network (TURN) has pointed out that the utility's most recent 10-K filing with the Securities and Exchange Commission states its ability to tap into those net operating loss carryforwards could be limited — although PG&E does not think it will face that issue.",-0.6784
2644,https://www.bakersfield.com/news/pg-e-defends-controversial-rate-increases-that-took-effect-monday/article_d38f348a-7ad5-11eb-ae0c-a78d88877965.html,0.0
2645,"*News*""99.75% of the time, shareholders get nothing when a company goes bankrupt,"" Anyone holding this stock is banking on .25%",0.6549
2646,It's been a long time coming. Finally reached average of 11.54. Initial buy in was at 20+. Started buying again after fire season.,0.6701
2647,"After hours it was trading in the 5.40's for a few trades. If tomorrow they make progress in the Kincaid fire, and not any more structures are damaged. I expect to see some 6's tomorrow.",-0.1573
2648,"Bagholders, our patience is paying off! Enjoy the ride!",0.7736
2649,"Hopefully people are not trading the common up based upon the Alfac article and them saying they are holding their position. Aflac took a credit impairment charge which most likely means they are holding pcg bonds and not pcg common. The debt holders will be in control of this show, next to the judges in the cases",0.9004
2650,Seriously? Who is BUYING at these levels. PCG is almost certainly headed for bankruptcy.,0.4065
2651,we have some ￼upward support as nonretail investors buy up these inexpensive shares. they know earnings will likely exceed expectations a little. ￼ is very little likelihood that there's any significant manipulation of this stock at this time￼￼. I think what's more likely is that the downward stock fall￼ is ￼related to the trust selling shares to meet disbursement obligations￼.... but we will find that out next month when the trust reports￼,0.918
2652,"Nothing has changed.This is going to get halted,Then delisted and then Canceled.It's all over boys & Girls.",-0.2644
2653,"Argus...LOL.. told you to buy from $47-$54 a share.. then told you to sell at $7.70...now it's a hold @ $18 while going through BK.?! yeah, they offer great investment advice !!",0.9256
2654,"JP.Morgan and Morgan Stanley raised their price targets. So if they are going to zero, why would they both raise their price targets.https://www.barrons.com/articles/pg-e-falls-back-to-earth-and-bankruptcy-is-still-on-the-table-51548450178?siteid=yhoof2&yptr=yahoo",0.6625
2655,"$PCG Looks like CPUC waiving statutory requirements to obtaining DIP financing, clearing the path to BK. Per agenda: “Proposed Outcome: Grants the requested exemptions to allow Pacific Gas and Electric Company (PG&E) the ability to pursue Debtor in Possession financing.” https://t.co/qGBoK6CvXT",0.9194
2656,"new positions started by these companies.... i have not heard of them, but all buyers are welcomedSamson RockCapital LLPKeebeck Alpha, LPScott& Selber, Inc.",0.2014
2657,2 years in bankruptcy I think you should buy then but right now I would think investors should make money elsewhere.,0.0157
2658,Governor will announce bill to shield utilities from liability tomorrow rumor has it Problem solved can’t have a bankrupt electric gridQuick run to 15,-0.2242
2659,Someone doing big mistake selling off now,-0.1203
2660,hope we see $8.00.,0.4592
2661,"PCG should blame Global warming if they are found at fault, say global warming has increased the strength of winds and that the extreme heat has added fuel to any fire that would normally not be so big in a non global warming setting, they should sue the state for not managing global warming ",0.5638
2662,I am sure we will have a stellar earning,0.4248
2663,So you all realize that ANY FEDERAL JUDGE can have the Argus and Citi analyst arrested That would make a nice headline.,0.5224
2664,"PG&E Launches EV Fast Charge Program to Help Accelerate Electric Vehicle Adoption in CaliforniaBY Business WireFour New Electric Vehicle Fast Chargers are Now Open to the Public at 7-Eleven in West SacramentoSAN FRANCISCO--(BUSINESS WIRE)-- Today, Pacific Gas and Electric Company (PG&E (PCG)) announced that the first public, electric vehicle (EV) fast chargers installed through its EV Fast Charge program are now open at the 7-Eleven store in West Sacramento at 4010 Lake Road.Drivers can charge their vehicles at the four new advanced 125kW-capable EV fast chargers. This 7-Eleven store operates 24 hours a day and supports the fueling needs of both EVs and conventional cars, both options owned and operated by 7-Eleven. PG&E (PCG) is also working with 7-Eleven to install fast chargers at additional locations.“7-Eleven has been around for over 90 years, providing customers with convenient and innovative products and services,” said Ann Scott, Sr. Director of Energy Engineering & Store Planning. “We are always trying to think about new ways to add better service to our customers. With more electric vehicles on the road, installing the fast charging stations was an obvious way to offer convenient charging to customers who need it while also taking strides to reduce our impact on the environment. 7-Eleven prides itself in collaborating with other companies who have the same vision to find mutually beneficial solutions for our customers, our business, and the environment. We look forward to adding more EV charging stations to more 7-Eleven stores over the next few years.”",0.9811
2665,Economics is something I just don't get. So PCG is declaring bankruptcy because they are facing $30 Billion of wildfire liability. So they are asking for a $6 Billion loan? They only have a half Billion cash. How is this going to solve anything? Is $24 Billion liability going to stave off a bankruptcy. It will be interesting what tomorrow brings. I will be confused no matter what happens.,-0.5236
2666,"Will open at a tad over $5 tomorrow. will be in $4 all day.This should be trading in $2's by now, Total manuplation So the Funds can dump their shares, The longer this goesOn, The more I can short. So I am Good with it.",-0.1793
2667,It's good to see this Holding strong even with the Markets down Big.,0.8108
2668,I have to sell my calls and buy more put no way this holds unless some kind of bail out,-0.1359
2669,This company is not a deal even at these prices. Dividend is suspended for a couple of quarters to save up money for the incoming liability lawsuits. They could probably save around $1 billion per year. Liabilities are currently estimated at $9-12b with their insurance covering $800m. The divs would have to be on hold for 4-6 years to have good coverage. While you money is dead here in PG&E the rest of the market will leave you in the dust.,0.8531
2670,"“The company fully intends to comply with the provisions of AB 1054 and will continue to address the concerns in the letter to the company from the Governor dated December 13, 2019,” PG&E said in response to Newsom. “PG&E has been engaged in constructive dialogue to address those concerns with the common objectives of having PG&E be safe, sound and financially stable upon emergence from Chapter 11. PG&E expects this dialogue to continue.”",0.7949
2671,"With fire season over, PG&E doesn't get into the Fire Fund (AB 1054). This will save them $5B. The judge and CPUC will approve the deal and PG&E will exit bankruptcy (they only need Newsome to approve the Fire Fund and not bankruptcy). Once they exit bankruptcy, Newsome will be voted out and PG&E negotiates a deal with the new governor (one with common sense) to get into the Fire Fund.",-0.1324
2672,First day since March 12 that I haven't cried.,0.3591
2673,Below 20,-0.2106
2674,"PG &E is finally cutting loose. It has been held down too long after it's the exit from Bankruptcy. It has been on the ball this Fire season. With rain forecast this weekend,it is going to go through the peak fire season unscathed.",-0.7647
2675,Someone bought 1 million shares in the last 15 minutes of trading.,0.423
2676,im just a regular guy with less than a year experience in investing. didnt panic on the drop today because is very easy to understand CA cant run this company and its already cashflowing. people will ways need electricity and northern CA has at least 10 million people living up there,0.6109
2677,"don't look at the daily moves, just come back in 6 monthsTRUST ME",0.1371
2678,"It’s been a hell of a haul folks. Almost a year and a half of bankruptcy and non-stop twists and turns along the way, but it’s all over. The pandemic hit and lowered stock values and there was far more dilution than there should have been. But, as she sits, it’s still a $15+ stock with room to run as the rate base grows significantly, operations improve, the dividend comes back, and institutions resume buying the stock. In 5 years, this could be a $30 stock.",0.9813
2679,"To longs who had the intestinal fortitude to hold this stock over the past year or more, I salute you. You are a true investor that does not respond emotionally. I think it’s going much higher, $20-40, depending on the details of the bankruptcy exit.",0.4454
2680,"Wow that's a lot of shares to sell in the next trading days.A number of hedge funds have recently made changes to their positions in the stock. Vanguard Group Inc. boosted its position in shares of PG&E by 1.7% in the 3rd quarter. Vanguard Group Inc. now owns 37,970,163 shares of the utilities provider’s stock valued at $1,747,007,000 after purchasing an additional 639,656 shares during the period. Vanguard Group Inc boosted its position in shares of PG&E by 1.7% in the 3rd quarter. Vanguard Group Inc now owns 37,970,163 shares of the utilities provider’s stock valued at $1,747,007,000 after purchasing an additional 639,656 shares during the period. Baupost Group LLC MA boosted its position in shares of PG&E by 321.8% in the 3rd quarter. Baupost Group LLC MA now owns 18,979,790 shares of the utilities provider’s stock valued at $873,260,000 after purchasing an additional 14,479,790 shares during the period. FMR LLC boosted its position in shares of PG&E by 57.1% in the 3rd quarter. FMR LLC now owns 12,270,405 shares of the utilities provider’s stock valued at $564,561,000 after purchasing an additional 4,459,321 shares during the period. Finally, Hound Partners LLC acquired a new position in shares of PG&E in the 3rd quarter valued at $307,087,000. 82.57% of the stock is owned by institutional investors and hedge funds.",0.9976
2681,PCGQ IS THE SYMBOL ON MONDAY.,0.0021
2682,Very good rebound from yesterday. Looking good!,0.8138
2683,"i missed the pre market gap down to $8, that was a gift to shake out the weak hands....This will keep on running.",-0.2084
2684,there will be better daysjust be patient,0.6146
