,Recent headlines and conversations for BIIB,Polarity
1289,Let's be smart. No sell market orders,0.1835
1290,It’s the end,-0.0537
1291,Biogen employees are dangerous to the Middlesex county of MA. They are spreading coronoavirus in community. That is so stupid of them. How a biotech company can held meeting like this amid the cornoavirus threat? That is very irresponsible and disturbing to the community!! As a biotech company they suppose to be role model. Shame on all of them!!,-0.95
1292,ABT is down as well. Since the PFE news came out all the companies involved in testing and antibody therapeutics get slammed!,0.3384
1293,"Moving back to 28.50 shortly with our $35 target price solid. Best best in chip sector. $MU still drifting away from the ship with sharks circling. Dubious balance sheet at $INTC makes analysis difficult. Staying with Dr. Su a no brainer.$TVIX is the playground of fools and my friends. Very difficult plays experienced. Advise all to stay away from energy as a general rule. It is even difficult for pros like myself.$SNAP under Evan's leadership continues to impress. I want to say buy $TSLA at its current lows but I am just holding.Remain positive on $BIIB. Excellent buy price and fundamentals solid.Good luck and as always, do your own due diligence. It's a Costco lunch day for me and my little d. I think it is a slice and soda for 3.58 on the agenda.Ring a Ding Ding!!",0.9862
1294,Would not bet on Anacanumab to get approval from the FDA so fast. Believe Cassava Sciences' (SAVA) Simufilam is a far more advanced treatment.An outside panel of scientists that the FDA convened in November to advise it—none of whom specialize in treating Alzheimer’s patients—lambasted Biogen for massaging the data. They said the positive results from the one trial could be a fluke and urged the FDA to require Biogen to conduct another—which could take five or more years to complete.,0.9749
1295,ISRG just had a nice beat and hopefully will help the sector tomorrow. BIIB is absurdly undervalued,0.8534
1296,I can’t believe it lost one-third of it’s value in one day. That just tells us that all the eggs where in one basket. Institutional investors are going to bail before March 31. There’s just no catalyst to propel this stock. Shorts heaven for this stock. What a shame!,0.8294
1297,"When you have patient advocates behind you, always a good sign.",0.7716
1298,"Immune from trade talks difficulty, AMD will rocket forward on successful talks and move gradually higher if a tariff war. I suspect. Chip sector anchors $INTC and the chip sector barnacle $MU will suffer in either case.$SNAP meteoric 2019 rise continuing under Evan's leadership - some suggesting he should run for high office in 2024. $TSLA steady but the explosions must decrease.My friends @raybans and sweet @soso have been hit hard at $TVIX. Losses substantial. Hoping my average down works out for me and my followers this week.$BIIB is early for me but like it as a long term value play.As always, conduct your own due diligence to validate guidance.",0.9874
1299,From everything I've read the likelihood of Mylan prevailing in the patent dispute is nil. They would have to beat on all 20 challenges whereas Biogen only has to beat on one. Even if Mylan were to beat they would not be able to produce their generics until well into the future. Some saying 2028! This gave us a good buying opportunity yesterday!,0.9638
1300,BIIB is the only game in town right now===My quant model says BIIB will abe approved with the drug in 70%+ Chance,0.5481
1301,"Well... cr.... the CFO leaving to Alexion took the stock down AH -3.41 on solid volume. Looked like this stock was headed to recovery. It's off the lows in AH which was 255. Honestly, to use a trumpism, this feels like a big nothing burger. Who cares if the CFO leaves? Not like he invents the drugs or does anything useful. Of course Chevy freaked out, but he freaks out about everything lol. I'm only exposed to biotechs through a MF and this particular MF has 1.3M shares of BIIB and 3.5M shares of ALXN... soo... if Biogen is going -$4 or more tomorrow... no better place for it to go then Alexion with 2.7x the shares :).",0.974
1302,LOLOLOL,0.0
1303,TEVA getting nosebleed on MS drug sales. Should be a big plus for BIIB. This makes no sense.,0.5138
1304,"6 hours later, still feeling it.",0.2842
1305,"I am calling for 250 (+ 5%, - 10% ) by End of Month; One more bad day on Wall Street and shorts will pound the stock knowing that nothing is happening with the drug until next year, while the economy is in tatters too.",0.1196
1306,This site just sent me a 68% winner. (https:// www.tradenow.xyz),0.6361
1307,"CAMBRIDGE, Mass.--(BUSINESS WIRE)-- Biogen Inc. ( BIIB) announced today that it will present at the 35th Annual J.P. Morgan Healthcare Conference. The webcast will be live on Monday, January 9, 2017 at 4:30 p.m. PST, 7:30 p.m. EST. Generally, the biotechs should see some upside around this event.",0.9775
1308,Morgan Stanley did a great job with the double upgrade before today's surge. I have a feeling a bunch of other analyst are going to jump on the bandwagon pretty soon.,0.9588
1309,Shut your thinking process and like a cave man buy BIIB.,0.4171
1310,down 5 in after hours????,-0.5126
1311,Good company! Excellent finacial results! I sold CVS and bought some Biogen on $229.9.,0.8409
1312,"If the patients drink enough water each day, it can slow the alzheimer disease significantly.",0.1774
1313,So it seems that BIIB is taking it on the chin from the PTCT successful drug trial in SMA (a possible threat to Biogen's Spinraza). Kind of sucks for me as a long but at least I now understand why I'm being hit.,0.6353
1314,"375 or 380 sounds likely on friday,,,,,or depending on tomorrow's annonce",0.001
1315,Mike et al. - Below is a mouse that has been fed NAD+............................LOLZ,-0.3184
1316,Can someone tell me what is the prediction for this stock? I bought it when it is reached the highest price $400 so hard to get rid of....Thanks,0.5546
1317,Spinraza biosimilars outstanding sales numbers. Stock should push up to '15 levels long-term. http://alph.st/b321c80b,0.7607
1318,"Locked in some profit, and adding more TGTX.... This bio, just recently received FDA approval. BIIB & TGTX >>>>>>> Strong Buys/Strong Holds.",0.9632
1319,"I understand that FDA may go against the panel of experts and approve the drug in March but near term the stock will take a significant hit. Let's see the action tomorrow. Holding March calls and November 13th puts. Will add to my calls if I'm able to profit from my puts.Good luck,",0.9749
1320,"I still see this time as an opportunity for Biogen to buy back their stock. Biogen still have a lot of drugs in their pipeline that can potentially earn them big bucks. Buying back $5B in value will really help them increase the EPS and lower their PE. Failing one drug will not really hurt them. Biogen have not had a failure in a long time. No drug company is batting 100%, The fail drug did yield a lot of data and can be re position into another purpose. Biogen is far from being a one or two drug company. I am still a buyer and bullish on Biogen. At the way the stock is moving a slight downward trend i may wait till the first quarter earnings report is released. EPS maybe slightly down due to write off of the fail test. If there is a $B dollar write off, the stock may be down to around $210 -215 if so, i will buy even more. I feel that anything below $220 a share is a very good buy. I will not be surprise if Biogen have already spent at least $2-2.5B of the shares buyback. JMHO",0.9838
1321,whats happening??? whats the news???????????????????,-0.2549
1322,72% profit increase,0.6369
1323,downgraded because it's not going to move up enough for our liking? gyms,0.4647
1324,Why is it down after market? Any bad news?,-0.6617
1325,those of you wanting to buy 200 area or lower are dreaming now. buy back will put a bottom in the stock.,0.01
1326,$BIIB very nice,0.4215
1327,Hog wash. We will see sub 200 Monday.,-0.4802
1328,"I noticed roughly 10 analyst comments.they were all negative.When I start seeing a more positive analyst environment,then I""ll know it's time to start considering BIIB.By the way, they too know what the projected earnings are for next year.nt",0.792
1329,"You should buy ACIU (AC IMMUNE) if you want Alzheimer drug exposure, with among the best risk/rewards I have ever seen. ACIU has the broadest portfolio of development stage Azlheimer's drugs with top partners such as Biogen, Eli Lilly, Roche and AbbVie. ACIU has the potential to earn $15 bil in revenues from royalties and payments The market cap of the company is only $400 mil, with $316 mil of net cash, resulting of an enterprise value of only $87 mil. If even one of ACIU's drugs go into commercial production, the stock could go up 10x or more, with limited near-term downside due to the company's strong cash position. ACIU has several drugs in its development pipeline in both stage 1 and stage 2 development, so investors have many shots at goal. There is a huge catalyst coming up on Nov 7th when the company will host a conference on the progress of their drug candidates. Investors have not started paying attention yet, but I think that will happen shortly. I have attached a recent positive recommendation on the stock from Value Investors, which is among the most reputable investors club. https://www.valueinvestorsclub.com/idea/AC_IMMUNE_SA/9888338509",0.9865
1330,Anyone else hear buyout?,0.2783
1331,"Sorry longs, I now expect this to drop tomorrow given the strong run up today. $227 should hold.",0.61
1332,Imagine what BIIB would be at if the Nasdaq wasn't up 100 points today,0.1207
1333,Jumped back in today... Was waiting for a downturn and got it... Alzheimer's drug is a lottery ticket although you would think they wouldn't have formally applied for approval if they knew this was likely to be rejected... Good luck to all...,0.8699
1334,"AC Immune Initiates Phase 1 Study of ACI-3024 Small Molecule Tau Morphomer, an Investigational Treatment for Alzheimer’s Disease...Tau Morphomer is the focus of a partnership with Eli Lilly and Company $LLY, $BIIB, $JNJ, $PFELAUSANNE, Switzerland, July 17, 2019 (GLOBE NEWSWIRE) -- AC Immune SA (ACIU), a Swiss-based, clinical-stage biopharmaceutical company, today announced dosing of the first subject in a Phase 1 study of ACI-3024, a first-in-class investigational oral small molecule Tau Morphomer inhibitor that will be studied in neurodegenerative diseases that are characterized by the presence of pathological Tau aggregates. This is the first significant advancement in AC Immune’s collaboration with Eli Lilly and Company (LLY). https://finance.yahoo.com/news/ac-immune-initiates-phase-1-110000092.html",0.9716
1335,"I looked up the FDA situation on the alz drug, the market reaction, and mostly Biogen’s own current repertoire on other drug formulations. Looking thereafter at it’s PE multiple and the usual market creep back, I’m taking the plunge! Am prepared to hold over a five year horizon! This is a dividend paying company. Am I wrong! Biotech is a new sector for me, but there are strong elements of future success here!",0.9529
1336,Nope not trading yet,0.0939
1337,I heard China was introducing an alzheimer's drug as well but don't know any specifics on it.,0.4346
1338,"BIoB: bought at $324 yesterday. So, tomorrow will be crucial. Does panel vote tomorrow to approve or not?. When will we know (what time?). Will stock be halted before a decision. Anyone provide insights please ",0.7882
1339,Sava is know the big winner.Buy it.,0.1463
1340,Emergence data were replicated by Engage data!!!,0.5156
1341,"I'm expecting BIIB to go back up above $350 soon ...This is the biggest news that came out in the last few months for BIIB ,with a PE of 8 this is the bargain in all of biotech.",0.8188
1342,"Proving to be the cream of sector, Dr. Su has AMD positioned to remain in the leadership role for foreseeable future. 6 month charts for $INTC and $MU difficult to watch. No disrespect to those who held INTC last year - I was one of them. Troubling fall. MU was more obvious of a concern to most in the investment community.$TSLA dropping again and I continue to HOLD as speculative pick. Evan Speigel remains a powerhouse of innovation at $SNAP. A remarkable 2019.$BIIB proving to be another winner of late and see a strong 2020 on the horizon.My friends continue to get beaten down at $TVIX. I remain on the sidelines of all energy picks this week. Unpredictable.Good luck to all and thank you for your feedback!Ring a Ding Ding!!",0.9521
1343,BIIB is down 4.94% to $297.64,-0.2462
1344,Halted now. When will it open to trading?.,-0.3316
1345,"Eisai and Biogen have had their hands full defending their data on a different drug, BAN2401, after a changeup in the study design drew a host of critics suggesting that they had tilted the trial toward a positive outcome. And the critics haven’t backed off after a recent attempt to defend those results.https://endpts.com/eli-lilly-sweeps-the-rest-of-the-bace-work-out-of-the-pipeline-following-their-latest-major-setback-on-alzheimers/?utm_medium=email&utm_campaign=604%20Thu%2011818%20AbbVie%20blueprints%20major%20RD%20campus%20plans%20Biotech%20vets%20recruited%20for%20new%20300M%20fund&utm_content=604%20Thu%2011818%20AbbVie%20blueprints%20major%20RD%20campus%20plans%20Biotech%20vets%20recruited%20for%20new%20300M%20fund+CID_217ed9cccd1044227a36632fff8abca1&utm_source=ENDPOINTS%20emails&utm_term=Eli%20Lilly%20sweeps%20the%20rest%20of%20the%20BACE%20work%20out%20of%20the%20pipeline%20following%20their%20latest%20major%20setback%20on%20Alzheimers",0.8411
1346,"stock trading is halted, not sure, obviously pending news",0.4718
1347,"if this gets approved,, there no one out there who can accurately predict the future rev/earnings/cashflow from this,, so with baby boomers (a large population) this disease is both fiancially crippling and health wise crippling and no amount of money would matter,, the alternative is ,,a persons resourses gets ate up in home/ health care",0.9326
1348,Hope and pray we don't follow CELG's lead tomorrow. Down 9.00 on the FDA refusing submittal of one of their MS drugs!,0.7599
1349,I had bought 10 Jan 225 calls a few weeks ago. Sold them today 74K in profits. I think I will take the rest of the week off. Looking for the next options to buy. I hope everyone made a killing today!,0.8302
1350,"ATTN BIOGEN SHAREHOLDERS: AMAZON IS HAVING A 24 HOUR SALE ON ALL KY JELLY PRODUCTS. TO RECEIVE YOUR DISCOUNT, USE COUPON CODE: ""BIIB BAGHOLDER"" AT CHECKOUT.",0.6583
1351,BIIB not down $20. You got 1 BIVV for every 2 BIIB. BIVV is approx. $40/shr - that's $20 for each BIIB you own. Your holding didn't drop $20/shr in value. What happens from here out is anyone's guess. Will MRK takeout BIIB?,0.8349
1352,"Folks about to lose big on here, you have my empathy.",-0.1612
1353,why is biib down 7.5%,-0.2037
1354,Will Gilead buy BIIB?,0.0458
1355,as of 3/11/2020 morning. there are 92 corona virus cases in Massachusetts. 70 of them were Biogen related.Here is the number from Boston.comExposureBiogen employees/contacts: 70Travel related: 4Under investigation: 18,0.4027
1356,"Buy without thought. The drop is a noise. Don't look at noise. Look at trend, EPS trend, growth trend. Noise is when someone is taking advantage of buying now. Buy Buy Buy",0.9229
1357,Over 40% undervalued! Definitely a good time to buy and hold at least until after FDA approval in June 2021,0.8982
1358,this is not a reasonable 30% drop within a week !!!,-0.3259
1359,$450 on approval?,0.4949
1360,Like major ouchies baby.,0.5054
1361,Alzheimer's drug approved??,0.6544
1362,Any one here know someone who is in the aducanumab phase 3b trials. Would love to hear if anyone has feedback on it at this point.,0.874
1363,BIIB comes thru once again.... My 2nd most profitable stock....,0.6107
1364,Either some one has inside information is buying shares of BIIB knowing the FDA is going to grant approval of their Alzheimer's or pumping the stock to buy a large numbers of puts knowing its going to get slammed. Downside to $180 in worse case and $500+ in best case. Thoughts?,0.9522
1365,Gotta wait until Monday its gonna be a long weekend,0.583
1366,"man, this stock sucks today. they bought junk and the stock is reacting.",-0.1718
1367,we're down today cause the head janitor resigned.,-0.453
1368,Three hundred around the corner!!!!!!!!!!!!!!!!,-0.403
1369,"I hope BIIB will close at 304,I got it at 304",0.3085
1370,I hate insiders,-0.5719
1371,Seems like some recent negative news has been digested at this point.,-0.0754
1372,"really Hillary goes after Mylan and they all go down, we are sheep.",-0.3041
1373,FYI - A couple of weeks old update on OCREVUS.https://www.roche.com/media/store/releases/med-cor-2018-04-23.htm Salthnacho,0.3508
1374,The $300 MARCH 2021 calls $800@ 10:15 am...$1400 end of day...and green after hours THank YOU!,0.411
1375,https://finance.yahoo.com/video/biotech-company-offering-alzheimer-disease-154652449.html,0.0
1376,"NEW DRUG DELIVERY SYSTEM!REMOVE COLD CHAIN, NO NEEDLES, USE LESS DRUG!MOUNTAIN VALLEY MD",0.7466
1377,"Other company's script results for week ending 8/12 have been reported. Afrezza is MIAMS Weekly Download: $GILD, $BIIB, $ICPT, $AMGN,$REGN, $CELGEvent: Reporting week 7 of Q3:16 IMS scripts ending 8/12/16.GILD: Harvoni+Sovaldi+Epclusa TRx is 6894 (+4% wk/wk and -12% QTD); NRx is 2941 (+8%wk/wk)• We estimate 2016 USA HCV revenue of $7.9B, below pre-Q2 consensus of $8.7B. Scripts are trackingtowards $8.4B USA for 2016.• Scripts appeared to have flattened in H1:16 but are beginning to trend down again in general duringQ3.• MRK Zepatier TRx is 584 (-6% wk/wk and +57% QTD), and NRx is 242 (-5% wk/wk); Zepatier controlsa 7.4% share of the NRx market, down from 8.3% wk/wk. We believe it can maintain 8-10% shareover time.• ABBV Viekira Pak TRx is 241 (-10% wk/wk and -20% QTD), and NRx is 79 (-19% wk/wk).• BMY Daklinza TRx is 680 (-5% wk/wk and -20% QTD), and NRx 151 (-14% wk/wk).BIIB: Tecfidera's TRx is 8582 (+1% wk/wk and -5% QTD), while ""true"" NRx is 296, -2% wk/wk(reported NRx is 2054, +8% wk/wk)• Q2 US Tecfidera revenue grew by 8% Y/Y to $780M, exceeding consensus of $773M. US revenuebenefited from a Q/Q inventory rebalancing in the wholesale channel.ICPT: Ocaliva's TRx is 53, down from 71 wk/wk; NRx is 35, down from 57 wk/wk• On May 27th, the FDA approved Ocaliva (obeticholic acid) for the treatment of primary biliarycholangitis (PBC). Ocaliva has a gross price of $69,350 (30-day supply of $5,700).• Q2 Ocaliva sales were $75K and ICPT recorded $2.7M deferred revenue on the balance sheet (refersto product shipped to distributors but not sold).• Ocaliva sales should grow modestly in 2016 (consensus estimates are low at $5M in Q3 and $10Min Q4).• Our PBC US sales are $12M in 2016 and $75M in 2017.AMGN: Repatha's TRx is 2345 (-6% wk/wk and +30% QTD); NRx is 684 (-11% wk/wk)• We expect Repatha sales to grow modestly, even with the ""outcomes"" data readout in Q1:17 thatshould remove some uncertainty and open up the long-term market. We caution that, in our view, theStreet has Repatha estimates too high for 2017 and 2018, and these numbers need to come down.• REGN Praluent TRx is 2422 (-3% wk/wk and +40% QTD), and NRx is 681 (+3% wk/wk).CELG: Otezla's TRx is 7343 (flat wk/wk and +2% QTD); NRx is 2828 (-3% wk/wk)• Q2 Otezla sales were $217M in the U.S. and WW sales are approaching a $1B annualized run rate.• Otezla sales have generally exceeded expectations. CELG is preparing for launch in four majorEuropean markets and Japan in the next 6-12 months, providing additional upside.per RBC",0.965
1378,Looking at the options on this stock. We go out into the 6/28 strike date and the thing jumps from 2.5 to 19 per option for 290 strike. I have a feeling that we are seriously underpriced at this point. Do your own research.,0.6291
1379,"What is going on here? Earnings were beat, guidance was raised... stock was up $14 pre-market and dropped like a rock at the open. UNBELIEAVABLE.",0.8286
1380,do you think it builds back 5% today?,0.2683
1381,http://www.barrons.com/articles/biogen-lets-start-all-over-again-1508948658?mod=yahoobarrons&ru=yahoo&yptr=yahoo,0.0
1382,Look for a rebound tomorrow Panic sellers great opportunity for new buyers,0.6976
1383,https://www.statnews.com/2019/11/21/biogen-al-sandrock-alzheimers/,0.0
1384,"Let’s be reasonable, this drug that they lost the court case on provides 40% of their revenues, that’s extremely significant. They’ll appeal next year and lose, but that’s a year away. In the meantime, it’ll be a negative but won’t kill the company. They’ll adapt and continue on. There’ll be a negative affect and it’ll linger, until/unless they come up with something new. It hurts the stock though, when you’re a big company, and your main drug that provides 40% of your revenue is not going to be providing all of that revenue any more, well, you’ve gotta figure something out. IMHO this stock in the rest of 2020 should fluctuate between $180-$300 which will be quite volatile for this stock...",0.1581
1385,look for 50%+ drop on Monday,-0.3195
1386,315 to 320 by Friday's close. 10% run in a good day.,0.5412
1387,If todays reaction is positive. Would share price rocket today or on FDA approval?,0.9361
1388,Aducanumab will get approved whether you like it or not !,0.6888
1389,Shorts in full strength on the board want you to sell. 300@230 and holding,0.8785
1390,"""Eli Lilly is presenting data Saturday that bolsters its claims that its experimental Alzheimer’s antibody therapy slows down the disease in early-stage patients, results that the company’s top scientist says can only be attributed to a “successful drug.”What’s more, the top scientist, Dr. Daniel Skovronsky, maintains that the trial validates the once-battered theory known as the amyloid hypothesis—a theory that was the foundation for a string of disappointing Alzheimer’s drugs...""Barrons",0.9433
1391,"Biogen didn't hold above $259 but that was largely market forces rather than the stock itself .. Technically and on daily frame, $255 is an important threshold to establish now to be followed by $260 but more critical is to hold above $268-270 price .. The Money Flow index, crucial indicator, is showing ""signs"" that the worst is behind us and its well supported by both Wm%R and CCI .. MACD & Full STO still didn't confirm positive signals although seem close",-0.8969
1392,"Biogen (BIIB) Or ABBVBiogen received a major setback when it lost a patent dispute with Mylan (MYL) for blockbuster multiple sclerosis drug Tecfidera. This means that Tecfidera might now face competition from generics. Tecfidera accounted for 40% of Biogen’s product revenues in 2019 and 42% in the second quarter of 2020.On August 19, Mylan announced the launch of its first generic to Biogen’s Tecfidera. However, it is a launch-at-risk since the litigation between Mylan and Biogen is ongoing.Piper Sandler analyst Christopher Raymond said that he is ""incrementally cautious"" on Biogen following the launch of Mylan’s generic version to Tecfidera. Raymond has a Hold rating for Biogen with a $270 price target.There has also been controversy with regard to Biogen’s potential Alzheimer's drug aducanumab. The company had discontinued the development of this drug in March 2019 as it failed to prove effective in treating Alzheimer’s in phase 3 clinical trial. However, Biogen changed its stance on aducanumab in October 2019 and said that the earlier analysis was incorrect as it was based on a smaller dataset.On August 7, the company announced that the FDA has accepted Biogen and Eisai’s license application for aducanumab with priority review.Meanwhile, Biogen delivered better-than-anticipated results for the second quarter. Biogen’s second-quarter revenue rose 2% Y/Y $3.68 billion. The quarter’s adjusted EPS rose 12% to $10.26.Tecfidera revenue increased 3% Y/Y to $1.18 billion. Sales from spinal muscular atrophy Spinraza rose only 1% to $495 million perhaps due to increased competition as Novartis’s Zolgensma was approved last year. Overall, Biogen’s total product revenues declined 3% to $2.80 billion, including a 7% fall in biosimilar revenues.But, Biogen’s second-quarter top-line benefited from $208 million in Ocrevus royalties from Roche, which increased 14% Y/Y. Also, other revenues rose 155% to $408 million mainly driven by revenue from the licensing of certain manufacturing-related intellectual property to one of the company’s corporate partners. Biogen stock has declined 6.0% year-to-date. An average price target of $316.05 indicates an upside potential of 13.3% in Biogen stock. The Street has a Hold consensus that breaks down into 10 buys, 16 Holds, and 3 Sells.So, AbbVie or Biogen?AbbVie’s higher debt levels and lower operating margin compared to Biogen go against it. But, it is notable that AbbVie rewards shareholders through dividends while Biogen makes no dividend payments. AbbVie has an impressive dividend yield of 5.0%.Overall, dividends, strong sales growth prospects supported by Allergan acquisition, analysts’ bullish stance and higher upside potential makes us choose AbbVie over Biogen.",0.9957
1393,All those shorts just to ask about CEO salary and compensation reasonable to ignore how profit the company is right now??? Noob funds,0.6563
1394,"BIIB longs unfortunately are on the wrong horse:Current NASDAQ estimates:BIIB 329.65/sh (19) 25.19 (20) 26.37TXMD. 6.40/sh. (19) .08 (20) .53*BIIB has a staggering $6.5B in debt***TXMD has..... ZERO debt and $148M in cashBIIB is estimated to grow earnings a meager 4.7% from 2019-2020 and trades for 12x forward estimatesOn the other hand, TXMD is estimated to grow earnings.....389%... from 2019-2020, according to current NASDAQ data and also trades at just 12x forward estimates.....TXMD has a better balance sheet than BIIB, a significantly higher forward growth rate than BIIB and is currently an acquisition candidate because of TX-001 and TX-004 which have peak revenue potential of $2-$3B....... Get on the right horseTXMD",0.6968
1395,I like the collaboration. That will be key for BIIB moving forward.,0.6699
1396,Interesting,0.4019
1397,"So...according to consensus, if Biib doesn’t buy someone fast it’s not worth investing in. Should I stay or should I go now...any ideas who they should buy?",0.6534
1398,"If Biogen gets eventual approval for its AD drug, does that mean that the months of advertisements posted as news about the hyped class action lawsuits is only fake news meant to manipulate the markets and us?",0.7337
1399,"Mylan in a statement that it has received final approval from the Food and Drug Administration for its ""abbreviated new drug application"" (ANDA) for this product, which is indicated for the treatment of dementia associated with Alzheimer's disease and the treatment of mild to moderate dementia associated with Parkinson's disease.",0.9629
1400,Is it a good buy now or wait ?,0.6103
1401,BIIB making a very good day out of what would have been lousy.... I'll buy back in after the euphoria plays out...,0.8807
1402,Welcome to dumb and dumber stock market. Technology stocks with PE 50 is good. Bio and medical stocks with PE 8 is not good. Dohhhhhh.. adohh... adohhhh.... laugh at this stupid market,0.9533
1403,Congrats Investors! France and UK APPROVE and on Board with #SPINRAZA... https://www.treatsma.uk/2019/04/france-decides-to-offer-spinraza-to-all/,0.8216
1404,"I bought 67 shares at 222.28 per share. Idk if its a mistake or not, but it looks like a stable company with an overreaction selling. Should bounce to atleast 230 per share within a week or so.",0.8857
1405,"guys you wouldn't believe BIIB shares trade here in Russia listed on a local exchange while halted in US, I just sold some, by the way they trade for $360 now , there was a spike 30 min ago lol",0.6463
1406,"I think this Alzheimer's drug works. They gave it to sleepy Joe. Noeone find it strange he's alive again??! I think they wanna just make sure the general public will never get the treatment, they'll reserve it for VIPs. Or it has strong side effects, in Joe's case, meaningless, since Harris will soon take over.",0.9164
1407,BIIB is up 38.54% to 309.64,0.1818
1408,Well Dementia is similar to ADHD it is a Gift from Jesus.,0.6495
1409,"""IF APPROVED, WE SHOULD SEE $700+.""I agree.However, as I write, I'm behind over 10K.IF BIIB were a company with fewer than 100 employees,I wouldn't have done what I did.But it's one of the major ones.They've been working on this for some time.It's not inconceivable that they've developed a meaningful drug.I've put down a fairly significant wad of dough on this one.nt",0.8968
1410,"Celgene buying Biogen, load up.",0.6082
1411,Biib to 400 in two months,-0.0443
1412,Alzheimer drugs don’t not favorable coverage in Europe regardless and they are more stricter in approving medicines that will not improve significant quality of life but add financial burden on already strained healthcare system! It is true already for current medicines for he Alzheimer medicines! So what makes so different for this one while studies don’t support the benefits unanimously!,0.9676
1413,huge volume on the downside Wait until it flags green on big volume,0.5755
1414,Is it at bottom or not yet ?,-0.1872
1415,AH is crazy,0.0801
1416,"Please explain what banana pricing on this stock is doing?????? EPS high, PE low, growth great, STOCK DROP DEAD???????????",0.9142
1417,"If you read the FDA report, you'll find that they have a strong case in favor of drug approval that totally disagrees with ADCOM.It is true that the FDA generally follows the committee's recommendation, but based on historical cases where the agency strongly disagrees with the panel advisor, they rarely follow his recommendation.See what happened to Tarceva, a lung cancer drug, in 2010. The advisory panel voted 12-1 against recommending approval for the wider use of Tarceva, but the FDA, as in this case, had a very positive position on the Tarceva and approved the drug anyway ... guess what ... FDA was right because today Tarceva is a successful drug that makes billions each year.",0.9947
1418,RVPH = takeover target for BIIB ?(RVPH) MCap $75 million /Float 2 m / Blockbuster in Phase 3 and many more in Phase 2 = 2000%++ upside Gem like SAVA its has even much better pipeline than SAVA ...GLTA,0.9727
1419,"300 holds nicely. By the time trump is sworn in, Expect higher. IMHO.",0.3775
1420,I have owned BIIB for years based upon the MS drugs. These drugs work and have improved many lives that deal with this illness. The stock has sold at a discount based upon earnings (PE 12) but when and if the Alz. drug is availiable this would add to earnings tremendously. This company knows how to price and market their drugs. For disclosure I sold a few shares yesterday at the higher prices and bought all of those shares back at the reduced share price today. The stock price will be dependent upon the upcoming results but if passed $400/share maybe low as the revenue stream would become very large with a buyout from a large phama also in the cards. JMO GLTA,0.9883
1421,"Biogen (Nasdaq: BIIB) and Eisai Co., Ltd. (Tokyo, Japan) today announced that the U.S. Food and Drug Administration (FDA) has extended the review period by three months for the Biologics License Application (BLA) for aducanumab, an investigational treatment for Alzheimer’s disease. The updated Prescription Drug User Fee Act (PDUFA) action date is June 7, 2021.",0.8685
1422,Bag holders mass exit begins Monday. By the time the big institutions finish dumping their stock pre-market this stock will be down to 125 or more. A new entry point of 75 is about right.,-0.3302
1423,Biogen (BIIB) Q1 Earnings & Sales Beat Estimateshttps://finance.yahoo.com/news/biogen-biib-q1-earnings-sales-123612797.html,0.2802
1424,"Outrageous, in-logical, chaos stock pricing",-0.715
1425,We have seen good results from the medical devices side of the sector first from MDT and today from ISRG. Surgical procedures that were put on hold due to covid are returning strongly.,0.858
1426,I sold $300 call for todays expiration..11/6 what happens to that contact,0.1124
1427,"A $44b market cap with net $4b in tangible assets. So, book value of 10% of equity. And a patent cliff that is already behind them (meaning that when biosimilars are finally sanctioned, Biogen loses most of its revenues. And they have a very poor pipeline. BIIB should be trading at 50% or less of current.",0.7479
1428,Only red in my portfolio is alxn and this one. Weird!.,0.328
1429,$500 load up ! The drug works imo,0.6612
1430,The rug is going to get pulled. In consistencies in the FDA documents.,0.2358
1431,Fusion moderna and biogen,0.6193
1432,I think this can be helpful for some people on this message board.https://www.fda.gov/patients/about-patient-affairs-staff/learn-about-fda-advisory-committees,0.5552
1433,Hope to see great Earnings and guidance on July 24 and Positive data on AD data on July 25 then 400 May within reach.,0.9284
1434,https://www.biotecnika.org/2019/10/first-alzheimers-disease-treatment-aducanumab-by-biogen/,0.0
1435,this is why they call the stock market the greatest legal scam ever developed.....but NOW IS WHEN YOU BUY...wait for ONE HOUR FROM NOW....and I would say that his the BUY...let 2 hours pass and then BUY,0.9337
1436,Muting all the spammers and shorts sending them into the vastness of nothingness. They hate that. Gonna ride this all the way to the FDA Approval meeting.,0.4048
1437,Spotting Alzheimer’s Early Could Save America $7.9 Trillionhttps://www.bloomberg.com/news/articles/2018-03-20/spotting-alzheimer-s-early-could-save-america-7-9-trillion Alzheimer's Detected 20 Years before Symptoms Showhttps://www.technologyreview.com/s/424752/alzheimers-detected-20-years-before-symptoms-show/,0.5067
1438,Very confusing news is it approved or not...almost feels like presidential election results,0.5637
1439,Biogen reached a 52 Week low at 251.03,-0.1464
1440,"support is 543 or somoving averages 580 and 520goes below them eventuallyPE stupid highpumpedmanipulated, be careful",-0.2145
1441,Can't seem to hold the nice gain but hopefully we bottomed at the 247 area last week.,0.7514
1442,nobody wants this junk,-0.3335
