,Recent headlines and conversations for MMM,Polarity
1065,Why do you like a tariff war and support this Presidency?,0.2627
1066,"Market Makers are setting up value for the stock prices again! Building on solid Us corporate earnings, and positive US economic growth! Keep buying stocks! You will learn that shorts are idiots spreading fake NEW$ $AMZN $AMD $NVDA $AAPL $SQ $SHOP $TWTR $CAT $MMM $IBM $PYPL $SNAP $BABA $FB#FRANKTHETANK",0.9387
1067,Down 2X the Dow average.,-0.1415
1068,Dump 3m it has finally gone toxic. The last 3 weeks it starts strong and and at the end of the day it's a bust.,-0.6268
1069,DO NOT BUY ANYTHING IN THIS BUBBLE! US STOCK PRICES ARE INSANELY OVERVALUED and OVERBOUGHT! Stock prices HAVE PEAKED! REMEMBER 2000 & 2008! See what happened to the PEAK buyers! $AMD $NVDA $SQ $SHOP $NFLX $ROKU $CRM $ADBE $MSFT $AAPL $AMZN $CAT $IBM $MMM $TXN $ADBE $TWTR $FB $BABA $INTC $TSLA $ATVI,0.765
1070,"Slammed again. Anytime this stock broaches $170 a share, it retracts. This is true again as the stock is down about $9 a share the last few days. Tough to defend this company’s leadership. They structure and manage this company very similarly to companies that actually grow. They need to shed a lot of high priced, non-essential management. VP here, VP there, that have little to no impact on results. This has to stop. 3M should manage their company for what it is. A portfolio of good products that are by in large commodities. Companies that have such an offering can be quite successful but cannot afford a bunch of non essential overhead. Don’t think 3M has ever come to this realization due to it being counter to their own claim that they are innovative. Let’s face it, what have they invented and actually commercialized that has made much of a difference in the last 20 years? Not a whole lot to my knowledge.",0.9531
1071,"It is very puzzling. Who gets on national television to talk about spending a billion dollars to combat global warming when you are three weeks into sub zero temperatures, when much of the nation is too suffering through an extensive arctic blast, and when your company has nearly $20B in debt? And when you add in the fact that global warming is just another hoax put in by the syndicate, it gets even more puzzling. You wouldn’t catch me doing such a thing. There’s these things called honor, dignity, love for your country, reputation, honesty, backbone, and decency. You just can’t let the monetary syndicate destroy you like that.",0.9331
1072,3M chose profits over the health of the soldiers of the United States.,0.6581
1073,"MMM is undervalued but will soar as soon as trump introduced infrastructure plan, along with big dogs like BA, MMM, AND CAT they will raise the markets to new highs.",0.9413
1074,"I am going to buy my 100 shares now, always goes lower after I buy , Here goes my government covad 19 check !",0.3624
1075,The Goodyear Tire & Rubber Company (GT) 31.95-3.53 (-9.95%)As of 10:03AM EDT. Market open.,-0.4781
1076,So the junk also got pumped bigly due to Trump? 28PE,-0.2603
1077,Nice rally today!,0.4655
1078,That's a HERO,0.6523
1079,"By the way, I loaded up on NYT when Trump called said it was going out of business. It was an easy triple! Once again, Trump is a great contrarian signal.",0.8785
1080,Your products appear as life saving on basically every newscast daily. Couldn’t ask for better exposure. And yet.... they managed to look horrible. SMH....,0.0489
1081,Agree oversold. Missed income by 1 cent.,0.2871
1082,What happen to the shares of 3m?,0.3004
1083,"“GE's CEO warns of negative industrial cash flow in 2019, shares drop”General Electric Company (GE)NYSE - Nasdaq Real Time Price. Currency in USDAdd to watchlist9.89-0.49 (-4.72%)<—- yowsaReuters ReutersMarch 5, 2019",-0.3484
1084,"The Rockefellers no doubt have an interest in JPM. Fox News says the company manages the family’s fortunes:“The trusts are, to this day, controlled by the male heirs to the fortune, as well as other powerful trustees who dole out annual stipends to the many Rockefeller heirs. Today, much of this wealth is pooled and managed at Rockefeller & Co. (of which David Rockefeller, Jr. is the chairman). But don't be fooled into thinking this is where the buck stops: There are hundreds of trusts and corporations, many of which have JPMorgan Chase as a trustee (unsurprising, as David Rockefeller ran Chase Manhattan Bank for several decades).“Now look at JPM’s splendid earnings quarter. You are witnessing the 24/7 wealth transfer from Main Street to Wall Street, compliments of the Federal Reserve system that they created:https://www.zerohedge.com/markets/dimon-signals-all-clear-jpmorgan-earnings-smash-expectations-loss-provisions-plummet-94Do you think Jamie will now repay all the free money JPM got from the US Treasury and from the Federal Reserve via all the QEs?",0.994
1085,J.P. Morgan red again being sold into the rally and housing starts fake data they adjusted the previous month from positive to negative  to make it look  like this month was higher and single family homes  collapsed..The devils in the details ....,-0.3653
1086,"Somebody blew it. May 12 (Reuters) *SHAREHOLDERS DID NOT APPROVE SHAREHOLDER PROPOSAL TO SET TARGET AMOUNTS FOR CEO COMPENSATION*After the absolutely miserable performance of the past 2.5 years, it seems like everyone except the CEO would've been motivated to vote yes on that proposal. I did. Apparently a lot of you didn't. Lazy !@#$!@#$",0.9499
1087,The Defense Production Act. Research it.,0.5893
1088,Amazon tanking againWalmArt tanking againFacebook tanking again Nvidia tanking hugeHome Depot tanking againGe tanking againMmm on deck again...,-0.9613
1089,New Low Coming Today...Yahoo you can delete me OVER AND OVER AGAIN!!!!!!,-0.5977
1090,"Someone needs to explain this one: how can you contend that there is a virus out there called covid 19 that is causing respiratory illnesses when the experts say that the virus has never been isolated or structurally identified?Where’s the publication of the isolated product? I mean, it’s been a year for goodness sake.",0.8651
1091,will this close red or green today what are your thoughts?,-0.239
1092,All the companies that abandon American needs for profit should pay dearly.,0.3684
1093,going to 150 next week,0.0266
1094,Seems to have regained favor. How long that will last is anybody's guess.,0.7687
1095,"Three idiots:1. “I’m encouraging the vaccines, as one of the priority groups after elderly and some of our front-line workers, that we think about the people that have to be essential at the Capitol,” Senate Majority Leader Paul Gazelka, R-East Gull Lake, said at a forum with other legislative leaders.2. House Minority Leader Kurt Daudt, R-Crown, reiterated the idea that many legislators may well be among the elderly or medically vulnerable populations vaccinated early, thereby possibly allowing the Legislature to resume some business.“At some point, if we need to vaccinate anybody in the Legislature who is themselves high risk or has someone high risk living in their household — employees, whatever — if that helps us get back in person sooner, I would support that,” said Daudt, R-Crown. “The Legislature is a relationship business and relationships cultivate much better in person.”3. Senate Minority Leader Susan Kent, DFL-Woodbury, said lawmakers have an obligation to themselves and their staff as well as the people of Minnesota. “I appreciate what Sen. Gazelka is saying in terms of if we could get the essential folks vaccinated at the Legislature, but we have an obligation to our own communities,” Kent said. “If we come together and if people come to the Legislature and intermingle and then go back all over the state of Minnesota, that’s how spread happens.”These people are not paid to tell others what kind of medicines they should put in their bodies. They are paid to pass laws that protect the liberty and property of Minnesota residents. If they believe this covid nonsense, then they can go get the vaccine. Since they will then be protected, they need not worry whether someone feels otherwise about the risk v. reward of vaccine injection into the bloodstream.",0.9935
1096,Having a hard time holding below 160. Hard to say if that line will break or not. People want that dividend!,0.0935
1097,I think 3M will some share in EV market in my cents .,0.092
1098,"Stock has gotten way ahead of itself. Even JPM analyst said PFAS is $50B potential liability. When news flow really starts, stock will be back to $140",0.3339
1099,"So, they lied to us about:1. JFK being killed by Oswald;2. The Tonkin Gulf incident to start the Vietnam War;3. The moon landings to distract Americans from Vietnam;4. Nine eleven to start multiple wars and to pass Patriot Act etc. 5. Waco, Ruby Ridge, and OKC bombing;6. Sandy Hook and other “shootings” in their endless attempts to curtail 2nd Amendment rights;7. Russiagate;8. The Federal Reserve bank bailouts via QE again.But now they’ve stopped lying. Covid 19 is real people. And our central banking system and its debt based currency is awesome. Now, stay in your homes and watch the news. We’ll keep you up to date with all of our honest reports.",-0.843
1100,mmm is the best investment ever a lot of demands,0.7601
1101,This morning's selloff is beyond ridiculous. 3m shares deserves a giant bounce uptrend after the short sellers enjoy their grins.,0.6635
1102,$MMM Target Raised by Credit Suisse Outperform USD 197 » USD 202,-0.0607
1103,Loves sitting at 170... are the options players playing games? I am afraid it will stay here until next earnings.. and then we will know if mmm is still in the game,0.7107
1104,"All business units up, across the board. This is a really good CC.",0.7399
1105,Money coming out of the Mighty BA could partially go into winners like MMM!!,0.7753
1106,Voters will re-elect President Trump in 2020. Democrats have nobody that can beat President Trump. They have 2 dozen clowns running.$BAC $NYT $PFE $AMZN $GE $MMM,0.1521
1107,"Probably gonna buy 1,000 shares when it gets into the 125-128 per share zone.",0.6451
1108,Sitting at 170 is ok. Keep loading up until it time to fly. Business is strong. China is only a temporary holding pattern. Long wins the day,0.9566
1109,"If any of you funds have AMZN in them better get to CASH before the CRASH, Most IRA and 401k funds do. Get oto cash before the crash, The funds are stuffed with all the way over priced stocks and you will be left holding the junk",-0.1279
1110,"BUY NEE, CRSP, NFLX, BLNK",0.1332
1111,I feel bad for those employees. You think you are going in to work to make a difference right here. Only your employer is so corrupt that they sold out the whole country.,-0.239
1112,"MMM Jan 15, 2021 calls are relatively cheap. IMO action will pick up considerably Monday.",0.7095
1113,I’m done... lost way too much here. GLTA.,0.2268
1114,Up over 2% pretty good day for MMM. Was trying to get more shares cheaper but oh well. GLTA longs.,0.9074
1115,company man anyone?,0.1094
1116,"Article 2 Section 4 of the United States Constitution is clear: the President can only be impeached when removing him from office. Since DJT has already left office, he cannot be removed from office, and therefore he cannot be impeached. Just another instance where Nancy Pelosi has exhibited her inability to read. Along with dozens of other legislators.",0.9462
1117,"New orders plunge TOL - Toll Brothers, Inc.NYSE - Nasdaq Real Time Price. Currency in USD36.65-0.62 (-1.66%)As of 12:21PM EST. Market open.Red Green Area",0.2452
1118,will 3m gonna rise again?I think 3m is underperforming right now,-0.3203
1119,Good earnings,0.4974
1120,"If this company is prepared to execute, there is no reason they shouldn’t come out of this much better than other companies. They have so many things that their customers need right now.",0.782
1121,You done screwed up bigtime 3m. Now make us some masks. cracking whip sound.....,-0.2155
1122,This garbage should be taken to BK or shut down for abandoning support during a time of most need. They would probably rather sell a mask then give one to their own mother. That type of garbage company. Take this trash out and shut it down,-0.6243
1123,3M is up 6.28% to 147.40,0.1818
1124,The market is rigged with day traders and program trading. The little investor,-0.2023
1125,"All the Freemasons gathering for their 300 year anniversary. Look for the all-seeing eye at the 8 minute mark, which is in the back of the Federal Reserve note:https://m.youtube.com/watch?v=-PdUqqCtz90",0.2772
1126,Are you awaiting the next autocratic mandate to be handed down from above coupled to some scam repeated ad nauseam in the media or are you doing something to reclaim your country?,0.411
1127,Wow....the Dotard really hates MMM. What did management do to anger him? Just pretend to do what he wants.....just the way he does it. Perception is everything in the world of Trump. Say yes and do whatever and find someone to blame......,0.0457
1128,"The plan is now very clear to see: they wanted to carry out a military occupation exercise to be ready for a collapsing currency. The pretext for the occupation would be riots and arson caused by a fake, completely unjust death.",-0.826
1129,Uh ohDid not meet earnings! Not surprised,0.1428
1130,What do you think it will go up to?? Are all the shorts covering?,0.4169
1131,The word at the 3M center in austin is that they are going to sell the existing center and build a smaller one to accommodate the smaller work force that now exists in austin. What is the business case for remaining in Austin?,0.8733
1132,Load up the truck! Trump is on board.,0.7366
1133,Home depot is red !Amazon is red !Goldman is tanking huge as is JP Morgan !,0.3012
1134,did the warnings come out?,-0.1468
1135,Giving lip to the Commander In Chief during war is a court martial offense.,-0.4718
1136,"Mr. Roman, be innovative and do something bold. The world needs your company’s products now, not in the next 12 months. Doubling production was expected. It’s not bold. Quadrupling production in a short period of time is what is needed and with all your so-called science, figure a way to get it done.",0.8781
1137,"This is Donald Trump's tariffs stock market, he owns it.",0.312
1138,"The penalty for knowingly producing a faulty product the 3M company should be forced to donate an annual budget of $100,000,000.00 for hearing related research until one if found!12 years! Appears they(3M) knew it was defective ! 'We have filed several 3M defective combat earplug lawsuits after whistleblower allegations were revealed stating that defense contractor 3M sold defective Combat Arms Earplugs, Version 2 (CAEv2) to the U.S. military from 2003 to 2015.The now-discontinued “combat earplugs” were reportedly standard-issue for military service members from 2003 to 2015. Current and former Army, Navy, Air Force, and Reserves personnel may be entitled to compensation from 3M for any hearing loss or tinnitus from their service.'",-0.9493
1139,Dividend history of 61 years,0.0962
1140,"Without clocks, employees wont know when it is break time. Then tehy will sue for millions for not being able to take breaks on time.",-0.4919
1141,Justin Trudeau: We’re working to make sure health care workers have the personal protective equipment they need to stay safe and keep you healthy. Premier @FordNation and I are announcing an agreement with @3MCanada that will help us do that - tune in now for details:,0.9633
1142,Who is the useless idiot acting under multile names berating Trump and monetary policy -- should not the mediator act to get all these useless messages blocked?,-0.9104
1143,"when plane crashes, you put your mask on first before helping other people... same here",0.5452
1144,I hope my other holdings have terrible earnings so they can jump.,0.491
1145,"this company is really cheap now. Good PER, good dividends, ahead of competitors= good future ahead, I just bought 1000 stocks",0.9021
1146,Dow dragger. Up 1% while the Dow is up 4%.,0.4742
1147,PE still 21? Does Yahoo adjust the PE???,0.6368
1148,"EOD = 8% down, still has some way to go.",-0.2961
1149,CEO needs to take a pay cut for the miserable stock performance over the past 24 months. His salary has only increased over that time frame.,-0.2036
1150,At 5 year low. Total anti American company. Nobody wants this garbage.,-0.4827
1151,i figured it out took me like 2 days of searching most these idiots posting spam are paid and or people that short stocks and get butt hurt when they lose... too funny me this is a dividend hold for 10 years or more gl2u longs and strongs,-0.1617
1152,"And here it goes ... like I said, no bright site in the near future",0.5628
1153,Earn will be superb and this stock will sky rocket!,0.8937
1154,Is Jeff Immelt the new CEO of MM? The stock sure looks like Immelt is in charge!What a train wreak!!,0.8717
1155,"consistent earnings beat, great EPS, good PE, great dividend, 40% off recent ATH. some environment issues/lawsuits to deal with, but seems like a good LTI near this price.",0.9688
1156,Fx and production hedges to minimize impact of negative Fx and tariffs... Solid business plan...,-0.7351
1157,Amazing...http://abcnews.go.com/Health/wireStory/presidents-tweet-sends-nordstrom-shares-tumbling-45349446,0.0
1158,Got me some MMM today on this pullback. Scary catching those falling knives. Tell you if I lost any fingers later this week.,-0.1469
1159,I like it around 150,0.2669
1160,"With the repurchase of shares by the company and the announcement of the dividend increase, this should be a rocket these days ... 211 for today",0.901
1161,The pre market is going crazy lol,0.2745
1162,"Grown men wearing masks to comply with a government scam. These men are nothing like their ancestors who came here with nothing and only for freedom. And if you can't figure out a scam as simple as this one, how in the heck are you ever going to be even close to a decent investor. If you don't know how money is created -- and who created the money-creation system -- well then you don't have a chance. Total frecking poosays who will end up with nothing but may be a pee pee in their hand.You poosays should go watch the Jesuit Secretary of State who formerly ran the Central Intelligence Agency tell you that the whole covid operation is just ""en exercise"". His words. The President is standing next to his Jesuit appointee while he makes this revelation, and what does the President say to him with the microphone just two feet away? ""You could have told us this beforehand"" -- says Trump.You can't make this stuff up!",0.9495
1163,"6 month performance of this stock has been awful. I own in my retirement account and I got in around 155 but anyone telling me this is a great stock is delusional. Of all the dividend stocks I own, this is near the bottom of my list of ones I'd recommend. The yield is low and the total return is below average.",0.8969
1164,"note a little company they've befriended in Miramar, Florida just got a huge $50 million dollar contract with the Chinese. And more are right around the corner. They have some mega things happening with their patients on peptides breast cancer, FDA approved wound care product now in all VA hospital's in ",0.9238
1165,"Keep hearing a lot from 3M executives on the call about business transformation. is that their new ERP system? If so, they talked a lot about operational efficiency and the financial gains they expect from it but curious how much it is costing them to implement? The system itself, the people involved in the switch from old to new and those in place to maintain? I have to believe it must have been needed but these generally are extremely expensive, time consuming and cause major disruption within the business. Not hearing much about this and the drain it is creating within the company?",0.9161
1166,These corporations have too big of a conflict of interest in this situation. They have artificially manipulated the available supply to control the price. Business ethics are dead just like journalism ethics.,-0.5626
1167,beat rev and earnings and it is down,0.2446
1168,POTUS just said President of China Xi will be coming to DC. Wow the deal may be a lot closer than you think.,0.7412
1169,"Expect Timmy Walz to start coming clean on the Minnesota election fraud. If he does not, he’s in big trouble along with Keith Ellison and Stevie Simon. Gitmo is waiting for them. 330,000 extra voters in 2020!! That’s about all the registered regular voters Minneapolis and St Paul combined!!",0.3213
1170,"All these people posting in caps saying the market is overvalued don't understand anything. The market is not overvalued. It is that the Federal Reserve Note is overvalued. People do not want to own dollars. They want hard assets. Trouble is, when the Federal Reserve Note (FRN) collapses, it takes the bond market with it because all Federal Reserve notes actually represent debt because every FRN enters circulation as a debt. And when the bond market goes so too does the stock market. So the stock market is over valued, but it is not as bad as the Federal Reserve note. The safest place is gold and silver. You can expect the DJIA to gold ratio to go 1 or lower. It has been there twice already: once in the early 30s and once in the early 80s.",-0.8124
1171,When I worked at 3M they had a promotion freeze unless you were a minority or woman... This company sucks!,-0.326
1172,"Face masks/surgical masks are really sold out as I tried to buy from CVS, Walgreen in my town. This is such a crisis situation that 3M can take advantage by meeting the demands for masks world wide. https://www.businessinsider.com/amazon-sold-out-sellers-warn-counterfeit-masks-coronavirus-2020-1",-0.4475
1173,"US market needs nothing. Corporate earnings are declining, Massive National debt is rising exponentially, there is a massive equity and housing BUBBLE. BUT US stock has nothing to do with supply and demand, state of economy or corporate fundamentals. US stock prices keep going up since 2008 because of never ending fake ""Optimism"", and ""Hopes"". 99.999% of all publicly trading US companies pay NO DIVIDENDS, buy NO SHARES BACK, and MAKE NO MONEY! But their stock prices keep going up keep going up because of ""OPTIMISM"" and ""HOPES"". I cannot find optimism in $AMD and $NVDA financial statements or in their guidance. I cannot find hope in $CAT $MMM or $IBM balance sheet, can you?",-0.2786
1174,"If you wanted to buy it at 150, you will get your chance soon. Talk about a bum stock...",-0.2434
1175,3M filed for chapter 11 bankruptcy also start with layoff,-0.4356
1176,This stock is going to soar in the coming weeks with government funding to mass produce the N95 mask don’t be surprised if it reaches $200 a share,0.7397
1177,People that are saying this is the next GE don’t understand why GE failed,-0.3986
1178,"The earning is good. But nowadays 's market, beat the expectation, it is other way round. maybe becoz so many options.",0.6097
1179,Stewpyd trade battle! Put an end to it and may milk and honey flow throughout the land.,0.1048
1180,"Mr. Kraft the Patriots owner sent his jet to china to get 1.2 million masks for his state's healthcare workers and gave another 300,000 to NYC. That's awesome.",0.8644
1181,We are back to 100B market cap! It's been...what? 7 to 8 months?,-0.5698
1182,"From glancing at this chat board, for a moment I thought this was the Luckin message board. Just saying",0.4326
1183,"Heading to 180's soon, greedy shorts roaming the prairies scaring the weak",-0.7851
1184,I wonder if MMM is overbought their PE used to be mid teens and now it is at 32,0.2078
1185,Glad 3 M Back over $200 $$$ ,0.4234
1186,Sell MMM. They are probably responsible for Americans dying.,0.4471
1187,Anybody contacting the numerous law firms that are soliciting MMM investors for class-action lawsuits?,-0.0654
1188,"M stock price target cut to $158 from $178 at J.P. Morgan7:46 am ET January 15, 2019 (MarketWatch)Share Print",0.108
1189,Looks like there will be a 3M sale today...,0.477
1190,Down 21% over the past 2 years and down 18% over the past year. Long term decline for MMM while the market has performed well. What is the company doing about this?,0.2008
1191,"What a nightmare! Trading at levels last seen in October 2014.Having a hard time understanding how things went so bad, so quickly ?It seems like only yesterday, this thing was well above $200.00, they were raising the dividend double digits every year, & one year (2016 ?) they raised it by around 30.00%At the peak, around $260.00, on this very message board, someone asked if it would be a good time to initiate a position. I replied that ultimately only you can make that decision, but I wouldn't recommend it at this price.Wish I would have listened to myself and took a little off the table, and/or bought some put options.Oh well, we all know what they say about hindsight :)",0.9295
1192,"These legal estimates are always overblown. Litigation and appeals drag out for years.As a huge multinational with inflammation looming and Dems in a spend mode, I regard this pullback as a buying opportunity. Certainly a dinosaur and not a growth stick but a good inflation hedge and reliable dividend payer.",0.8639
1193,"What happens now, 3M having over 50% of its business outside IS?",0.0066
1194,Down she goes,-0.0166
1195,"The new tax law has to favor companies like 3M. With the majority of their revenue generated outside the US, can only imagine they are holding a bundle of cash elsewhere. This could be brought back but feel it is a pipe dream to think any of these companies will increase their workforce as a result of the new laws. They will buy back stock to increase share value which doesn’t do a lot other than favor investors.",0.9779
1196,"3M does have a strong medical care division. It has a good profit margin. They also have manufacturing lines in various regions, that can supply globally.",0.9424
1197,I read one article that 200 million masks PER DAY were needed....Quite as crickets from 3M....!,0.8206
1198,"Forward PE is 16. Too high under global trade tension and economic slowdown. If PE goes down to 14 (reasonable), the price will drop to $144. In bad market condition, forward PE can easily goes to 12. The price is $124. That assumes earning will maintain the same. If earning revised down, it will be a bad news.",-0.8511
1199,"Scotch tape and Post-Its being made thinner to the point tapes are breaking and consumers are rejecting their products. be careful investing in 3M, there must be a reason they have to resort to cutting costs, business probably doing poorly.",-0.5285
1200,165.20 USD - i like this price,0.1792
1201,"The great industrialist American, Henry Ford, once said “[i]t is well enough that people of the nation do not understand our banking and monetary system, for if they did, I believe there would be a revolution before tomorrow morning.”Well ... Let me just tell you how it works in a few clauses: (1) all money today enters circulation as a debt; (2) member banks of the Federal Reserve system get to create the money out of thin air to loan it out to citizens and entities; (3) member banks of the Federal Reserve system also get to buy the nation’s debt instruments using money created out of thin air; (4) because the Fed uses a debt-based currency, there never is enough money in circulation to pay off all debts; more debts must therefore be issued so outstanding loans can be satisfied; (5) more debts are also needed by member banks so that they can buy more treasuries with free money to increase their earnings per share and their share prices; (6) war is a good way to increase debts fast; (7) more monet can also be made by the boom/bust cycle coincident with the Fed’s monetary expansions and contractions; (8) the IRS and income taxes were created at the same time as the Fed to provide the revenue to fund its debt based currency; social security taxes, estate taxes, and increased tariffs would be added later for this purpose, and carbon and wealth taxes and increased income taxes are now being proposed to keep the debt based currency alive. In short, the American worker pays for the wealth transfers through income, social security, estate, and inflation taxes. And then they get creamed in the markets because they do not have the understanding nor the foreknowledge of when the boom will begin or when the bust will happen.",0.9896
1202,MMM: Doing a fine imitation of GE. The last 90 days has been dismal. What a train wreak.,-0.4233
1203,Why is Proctor and Gamble Tanking ?,-0.4374
1204,#UnredactedUnBarredReportNow,0.0
1205,Frustrated as soon as it hits 70 it goes in reverse. Dump this garbage there are better deals out there.,-0.3309
1206,Like what?!,0.4199
1207,Well that settles it. I'm never ever buying a stock that Tusa is bearish on.,-0.1054
1208,Looking at 4 year chart indicates target downside now at 152 and change (lowest low on the 4 year chart). lf it gets down there I'll add more shares to my very small current position. If it breaks that downside could be as low as 120 and change!!,-0.5016
1209,"Massive PACKAGING company GREIF is tanking HUGE AH on Earnings report !Greif, Inc. (GEF) 54.60 -5.15 (-8.62%)Pre-Market: 8:16AM EDTGreif, Inc. produces and sells industrial packaging products. It operates in five segments: Rigid Industrial Packaging & Services; Paper Packaging & Services; Flexible Products & Services; and Land Management. The Rigid Industrial Packaging & Services segment offers rigid industrial packaging products, including steel, fiber, and plastic drums; rigid intermediate bulk containers; closure systems for industrial packaging products; transit protection products; water bottles, and remanufactured and reconditioned industrial containers; and services, such as container life cycle management, filling, logistics, warehousing, and other packaging services. This segment sells its products to customers in the chemicals, paints and pigments, food and beverage, petroleum, industrial coatings, agricultural, pharmaceutical and mineral products, and others industries. The Paper Packaging & Services segment provides containerboards, corrugated sheets, corrugated containers, and other corrugated products to customers in the packaging, automotive, food, and building products industries. This segments corrugated container products are used to ship various products, such as home appliances, small machinery, grocery products, automotive components, books, and furniture, as well as for various other applications. The Flexible Products & Services segment offers flexible intermediate bulk containers comprising polypropylene-based woven fabric, as well as related services to the agricultural, food, and other industries.",0.979
1210,225 seems very expensive. I’d like to see how long before we get to 190,0.669
1211,"US first, MAGA",-0.0139
1212,An Oregon judge shut down the Governor’s shut down order. Also an IL judge says he’ll shut down fat boy Pritzer’s shut down order by Friday. https://www.zerohedge.com/political/null-and-void-judge-tosses-oregon-governors-covid-19-lockdown,-0.3536
1213,The Most Outstanding Engineering Staffing Company In The World!Find Out About Our Engineers Holding High Level Clearances For Direct Hire!www.aeroworxglobal.com,0.9222
1214,Finished strong today.,0.558
1215,Holiday gifs??,0.4696
1216,I think the CEO will be on CNBC this morning.,0.5121
1217,We are six weeks into this crisis and there is no excuse for face mask shortages. It has to be corruption,-0.8705
1218,"One another product category where 3M plays big is in commercial cleaning. This is also front and center right now along with safety, medical, filtration, just to name a few.",0.9332
1219,Not only masks. they also produce hand sanitizers...,0.6622
1220,Are you looking forward to a completely unnecessary covid 19 vaccine? Look what William Gates has in store for you:https://www.naturalnews.com/2020-09-17-quantum-dot-tattoos-bill-gates-invisibly-embedded-coronavirus-vaccines.html,0.6675
1221,"If 3M can figure out how to get into the sensor technology application, e.g., mems, as it pertains to the industrial and medical fields AI, the potential for organic growth will be immense.",0.8711
1222,$FB is the MOST UNDERVALUED and OVERSOLD stock in the US Market. Opportunities are endless! This cash cow has 43B in cash and has NO DEBT! BUY $FB with confidence. SELL BUBBLES like $AMZN $AAPL $MSFT $CRM $AMD $NVDA $TWLO $ADBE $CSCO $SHOP $SQ $BABA $BA $MMM $CAT $IBM $MU $AMAT,0.8338
1223,"It's amazing to see so many day traders here trying to make a quick buck by trying to hype the orders for $2 face masks by the government. You do know that the government got a price discount on large volume. Then if things do get worse, other segments of 3m will take earnings and revenue drops. So for the rest of us that are investors, go hype some other board. Most on this board are savvy to not follow your childish unsupported claims and to the moon hype!",-0.5451
1224,Supreme Court Justice Chief John Roberts has been told that he must resign. Two reasons were cited: (1) his ruling on a lawsuit involving the election while privately making statements concerning how he’d do everything in his power to “make sure that mother $u@&er never gets re-elected”; and (2) his repeated trips to Epstein’s island.,0.9268
1225,"internal company documents show that 3M was making an absolute killing. Earplugs sold to the military made up 5% of the company revenue in the United States and 20% of its operating income. How were these earplugs so lucrative? Well, when it costs you 85 cents to make but you sell them for $7.63, you need not be an economics major to figure it out. 3M chose profits over the health of our soldiers.",0.888
1226,glad I'm not holding any of this ....how do they sleep at night,0.8031
1227,#$%$ junk,-0.3495
1228,Should MMM spin off its healthcare business!!!!?,0.6938
1229,Great valuation imo. I am adding here.,0.6064
1230,"One smallest correction and youre at 140$ and lower , watch out",0.2099
1231,Mmm must increase 10times production of n95 mask. Mask protect us. Everyone must have n95 mask .,0.6828
1232,"If the MMM CEO doesn’t immediately get in front of the bad press, this company will drop 25% very quickly. Sorry but poor leadership is a death nail to companies.",-0.8913
1233,I think the mafia pumped this with BA,0.0944
1234,At almost 6m lows from the last gap down. Will it bounce?,-0.4722
1235,"Coronavirus live updates: South Africa confirms first case, US to order more masks - https://www.cnbc.com/2020/03/05/coronavirus-latest-updates-outbreak.html",-0.0061
1236,Not making the mistakes of my past. Buying 3M as long as we are at these rare lows on PE.,0.5342
1237,Beat earnings and will continue to do so,0.2327
1238,Aldis is coming and they are all about PRIVATE Label stuffMore importantly the shift of customers from Walmart to ALDI is sure to have a very detrimental effect on MMM sales to Walmart which is their largest customer I believe..This is huge you will see I already went to their stores and they blow away Walmart prices !https://finance.yahoo.com/video/why-walmart-nervous-aldi-3-144546564.html,0.9034
1239,"In a statement, Michigan Attorney General Dana Nessell said “We will not tolerate these poisons in our environment and our drinking water, and we will not tolerate a corporation like 3M putting its dollars ahead of our health and our water,” she said.Once again 3M is putting its greedy above the safety of human lives. ￼",0.7503
1240,"So Cramer kissed Roman?s #$%$ in his interview, and did not ask him the $64,000 question about the distributors, and how 3M has allowed distributors to control sales in a time of National crisis.",-0.1821
1241,fasten ypur seatbelt we are ready to go,0.3359
1242,"If it looks like a  bear market..Feels like a bear  market..,Acts like a bear  market...Well you know the rest !Or DO YOU ????Can you see that mmm and this market Is being pumped and dumped every day ?Are you learning anything ?",0.8877
1243,"Apparently 3M CEO is a copycat, he loves to follow other CEOs moves.",0.8033
1244,Racing back to 150.,0.2389
1245,Dow is green and this stock is down 5% - 6.73. What is going on with the market?,0.1062
1246,"3M is a disgrace to America, they refuse to make more machines to produce N-95 masks. People are dying and they sit on their #$%$! Joe Biden will use the National Defense Act to force 3M to produce more Mask machines, it is coming. Trump would not use the Defense Act, he does not believe in Masks. Coming soon 3M will have to get their butt in gear!! 10 months of waiting on a disgraceful Company. Mr. CEO look at yourself in the mirror, you will see a inept coward!! Joe will safe the day!!",0.9067
1247,"Thank President Trump as my 3M stock heads to $200 in Booming US economy, Republicans get my November mid term elections. Bam",0.7141
1248,"hi, im new to this board. i bought it last week 5k in shares....should i buy more or wait?",0.5461
1249,dump dump dump,-0.7783
1250,"If you believe that Lee Harvey Oswald murdered JFK, or that three WTC buildings came down on nine eleven because of jet fuel and office fires, then you likely wear a mask or a respirator. In other words, you are easily fooled into believing in the latest gubbermint conspiracy nonsense like covid 19. You probably also own FANG stock and who knows what other bubble investments you’ve made. Good luck with all that: fools.",0.1012
1251,"Minnesota radical democrat Omar apologizes for her anti Semitic rant—Democrats, you voted in a radical https://www.cnn.com/2019/02/11/politics/ilhan-omar-aipac-backlash/index.html—Trump calling for Omar to Step Down—",-0.009
