,Recent headlines and conversations for MCD,Polarity
2380,Looks like $183 is new support.,0.6753
2381,Who was dumb enough to pay the premarket price this morning?,-0.4649
2382,lets make some money,0.1533
2383,"MCD GREEN, AND my DPZ Calls looking good as well.",0.7908
2384,4Big Macs 2 large French fries and a small coke.,-0.4095
2385,MCD is quick in their turn out rates at the drive through. They don’t need dine in anymore.,0.3231
2386,"I'm telling you folks, the buttermilk chicken tenders are scrumptious.. theyre addictive! And you know damn well the Q will be great, you can see the cars lined up and restaurants full. 1-2-3, can you say $200 is coming?...",0.9175
2387,I hate all these typos. Lol,-0.2367
2388,MCD beats SBUX in every metric value div earnings,0.2557
2389,Fail to make new 52 week high this morning. Chart looks terrible. We will test $210 late this week.,-0.6942
2390,The force is strong here at $180,0.2588
2391,"Still not sure if i want to buy the stock, but the Smokehouse Burger was surprisingly delicious. When did they start serving real hamburgers???",0.9125
2392,"time to deal with this company on the health issues, look at all these wales in America, Americans are the fattest on planet earth, they kill they own people with this kind of food",-0.4328
2393,new news just came out McDonald's is coming with a new sandwich which is called Tandoori chicken sandwiches Whooo hooo,0.6005
2394,"Howdy girls...sorry, been busy shorting PG...just like MCD chart was sooo far above the 50 day average it was a GOLDEN short!! Cramer says wait until 1-2pm to see margin calls and selling in PG MCD and KO. I see money going back into tech now and these ""safe"" trades getting killed.",0.5806
2395,CEO got fired thoughts on stock price? like for it going up dislike it going down,-0.2037
2396,$it’s going up,0.1862
2397,"This morning when I was on my way to Burger King for breakfast, I saw there were only three cars in near by McDonald's parking lot. This is a McDonald's flagship. Last year it had about 100 cars in the time of the morning. MCD needs to update their menu soon.",0.7148
2398,"BOJA sure flat line since IPO, should have stayed private... SRNE up 2x in 30 days... EGLT 9x upside potential within 12 months... $MCD breakfast all day, game changer..",0.8817
2399,Stock stinks.,-0.0646
2400,MCD being hammered for no good reason.,0.165
2401,learn to not trust the analystsaverage price target it 195big sell off going into earnings,0.7117
2402,"It usually do better in the afternoon, maybe it close over $195",0.5454
2403,As if Mickey ds situation couldn’t get any worse ... poor judgement and timing ... ,-0.6668
2404,a pe of 23 on a stock that is barely growing if at all is fundamentally ridiculous. the real price is around 100 if that only because of the dividend.,0.1838
2405,I'm expecting a pretty nice run from here into earnings in the next few weeks.,0.792
2406,"Even after the firing of Easterbrook, it appears this new CEO is quite competent. I am looking forward to riding MCD's journey to $300 a share.",0.4686
2407,Are we expecting any big announcements in the next couple days? The implied volatility of the options premiums seems pretty high.,0.5025
2408,Hold tight!!!,0.4776
2409,Automation at the sales counter will decrease cost and increase efficiency throughout the entire operation.,0.2937
2410,MCD worth $120 in this market.,0.1887
2411,"Interesting how this is up 6.4% on a day where the broader market was down 1.5%. I think the sell off helped MCD. I think people will be rotating out of this into other products very soon. Not saying this is going down, but its probably not going much higher.",0.5867
2412,ouch..last few days gain. all gone..,0.5275
2413,Today it crossed the 61.8% .Next stop the 50% level on the Fibonacci will be around $152.50,0.0132
2414,"Firing a CEO over a ""consenual relationship"" with an employee seems a bit rediculous to me. It is their freedom to have such a relationship. I suspect the true reason for the board's decision is much bigger than that..",0.6593
2415,"Hilary Clinton, loves her Quarter Pounder with cheese.",0.5951
2416,"WoW, could $200 come today, on a down market day?...",0.5054
2417,"Good old political correctness in action here today doing what it always does - cause pain for ""everyone"".",-0.0057
2418,"Investors sold shares of McDonald's Co. (NYSE:MCD) on strength during trading hours on Friday following insider selling activity. $116.59 million flowed into the stock on the tick-up and $163.67 million flowed out of the stock on the tick-down, for a money net flow of $47.08 million out of the stock. Of all stocks tracked, McDonald's had the 0th highest net out-flow for the day. McDonald's traded up $4.95 for the day and closed at $165.03it goes up 3.09%, is up .59% more in premarketbut 47 million more shares were sold then boughtinsiders were sellingof course there was no manipulationTreasuries are being sold all week. As so much new debt is being issued, it seems likely that rates will jump, since everyone knows it will be happening week after week and bonds will fall as a result. Maybe Wall Street wants to get ahead of the market selll off.Big GS upgrade. I wonder if GS was a big seller on Friday, I really wonder.",0.9646
2419,possible Bit coin will be able to buy hamburgers by 2027,0.2552
2420,"the chart looks parabolic and p/e of 25 for a fast food chain? granted MCD is the best, but valuation is scary/ goodluck",0.3776
2421,Go MCD ! A great performer. this is the market until next year. roller coaster,0.8476
2422,Predict the date McD's touches $160... closest guess will win a new Signature Select sandwhich of your choice.,0.8327
2423,MCD was up around 220what caused it to crash to 210 or so?thanks in advance,-0.2627
2424,MCD is an easy stock to own.,0.6173
2425,Better go up tomorrow McDonald’s fxxxx list a lot of money today,0.7421
2426,"If MCD touches $150 today, I will buy kevin a fish sandwhich. He spent all his pretend money buying puts. I like to pay forward some of my MCD gains to less fortunate.",0.8594
2427,"Warning Liberal democrat voters here is what 8- years of incompetent Obama golfing gets you. Under Obama failed leadership the Democrats lost 986 state legislature seats, 12 governors, 69 House seats, 13 Senate seats. Oh, Democrats lost the White House, too. Democrat party slow shelf distracting.",-0.92
2428,BRING BACK CASHIERS!! #$%$ SYSTEM..AND STOP BEING STINGY ON NAPKINS!! Dammit!! ?,-0.7514
2429,Ex dividend on 2/28/19. MCD headed to $185 by 2/27,0.2994
2430,Price 145 billions. Revenue 20 billions and declining. Explain me the thesis here!?,-0.2458
2431,"Fast food drive-thru, the person orders in front of you has COVID-19, the virus can stay suspended in air for a time, You come along and order, now you sucked in the virus.",0.32
2432,Speak easy very busy in ny,0.5106
2433,"https://www.fool.com/investing/2018/05/10/was-mcdonalds-massive-share-repurchase-program-wor.aspxone year articlegreat article -> Motley Foolseems stll true only the debt is more substantialCurrent operations won't pay for the latest share recapture and dividend program. The global chain is enjoying higher margins due to refranchising efforts, yet selling restaurants to franchisees has resulted in lower free cash flow. For example, free cash flow totaled just $3.7 billion last year.;;;;;;;;;;;;;;;;;;;;;;;;;;;;long term debt $31Btotal liabilities $39BI looked up th einterest ontheir debt. It's about $1B per year, check that number;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;50 dma is around 192http://bigcharts.marketwatch.com/advchart/frames/frames.asp?show=&insttype=Stock&symb=mcd&time=8&startdate=1%2F4%2F1999&enddate=6%2F2%2F2019&freq=1&compidx=aaaaa%3A0&comptemptext=&comp=none&ma=3&maval=50&uf=0&lf=1&lf2=2&lf3=4&type=2&style=320&size=4&x=59&y=6&timeFrameToggle=false&compareToToggle=false&indicatorsToggle=false&chartStyleToggle=false&state=11I can't post it, as it doesn't carry over, but there are two divergences. https://www.investing.com/charts/live-chartsone on the rsi, which is over 70one on the MACD$200 per share might be the first supporthttp://bigcharts.marketwatch.com/advchart/frames/frames.asp?show=&insttype=&symb=mcd&x=0&y=0&time=18&startdate=1%2F4%2F1999&enddate=6%2F2%2F2019&freq=6&compidx=aaaaa%3A0&comptemptext=&comp=none&ma=0&maval=9&uf=0&lf=1&lf2=2&lf3=4&type=2&style=320&size=4&timeFrameToggle=false&compareToToggle=false&indicatorsToggle=false&chartStyleToggle=false&state=11fundamentalsits to high, I thinkthey are talking like things worked out with Mexico, but also some negative talk on China and activity with Taiwan and all,",0.9812
2434,"Corna may be slowing down their business, but people still need to eat .",-0.0135
2435,"Buy on dips and hold forever. That's what restaurant stocks like MCD, SBUX are all about.",0.557
2436,"Anyone else feel like most of Goldman Sachs picks are picks to try and help build buyer base so Goldman can offload? That and the return of nacho fries from taco bell, MCD is not looking good now. And to end all that, the lawsuit ofc.",0.8078
2437,Mcdonalds wrecked me,0.0
2438,"The market is up 200 points and MCD is down close to $1.50, something is out of step with this equation. A lot of people are getting their checks from the govt. and a lot of people are still working so what is the reason for the latest down turn?",-0.2786
2439,"they missed$1.72 vs $1.75 expectedbeat revenue, very slightlysame store sales is up pretty strongly$200 is pretty expensive for this stockshorted $203, covered already around $202.5, should have waited 10 minutes more, would have made $900, danggot nervous about the same store sales. Good same store sales tends to push stocks higher.PE 26.78 in the premarket; quite high, time for a sell off, was 173 just a short while ago",0.8313
2440,"Adding MCD, BAT, JNJ here",-0.4113
2441,"Its stock price of 147 should be cut in half as the assumtion on growth of 25% is now proven wrong. In contrast, the sales will be shrink or close to zero for next few weeks or could be months.",-0.5834
2442,MCD is a great buy and will gradually come back. When it went over $220 then came down quickly many investors then questioned the stock's value. It's earnings will continue to improve each year and the stock will go up 10 to 20% I predict in 2020.,0.8026
2443,Went to Hardee’s today. Sandwiches were top notch.,0.6287
2444,Mcd has had 12 stock splits.,0.1899
2445,Thanks for giving MCD,0.653
2446,This stock is a straight line 6 months.,0.4423
2447,This stock needs a good kick to get it going or better yet a split!,0.8118
2448,Will see 50 DMA bef Thanksgiving115-116,-0.2804
2449,CMG is eating MCD lunch. Move over for the new king of fast food.,0.0247
2450,What's the deal? Went to MCD to get McRib and they are already sold out. Oh well Arbys is across the street. Will spend my MCD dividend at Arbys.,0.6647
2451,"My data shows the 52 week low as $149.8 per sharegrowth is 3 or 4 or 5 %, I believeso it went up 33% with such low growth due to buybacks and of course manipulation100 dma 184due for a correction",0.2336
2452,Wonder how many insiders unloaded,0.0098
2453,Consumers are trading down from fast casual to fast food as fast food traffic increased 5% faster in 1H. McDonald's has 36% share $MCD,0.4521
2454,$184.50 and $180 are the support pivots. As long as it stays above that for at least 5 days this will probably jump about 8% from where it is now.,0.8653
2455,when is ER date?,0.5288
2456,Don’t be afraid of McDonald; this is the best food company; long term this stock is a 200 dollar stock,0.8802
2457,investors should have social responsibilities,-0.089
2458,"I buy at 212, it tanks instantly. fml",0.1349
2459,it's sector shift and will bounce back soon.,0.0389
2460,"Looks like $175 before Christmas arrives will be a reality, by golly! With a Dec 15 div bonus, hiked 7% from last year- truly Christmas cheer!",0.9336
2461,McD will be very strong in a recovery as weaker competitors will no longer exist.,-0.0725
2462,All stocks making new highs are being sold off.,-0.0124
2463,good to see green. now onto 170,0.5998
2464,"How do they make money on $1.00 McDoubles , just look at MZOR today",0.2483
2465,• Earnings: $1.99 per share vs. $1.92 per share expected • Revenue: $5.35 billion vs. $5.32 billion expected,0.6305
2466,No direction trading sideways,-0.2864
2467,"After hearing all this bad news, i feel like taking a big McDump.",0.2748
2468,MCD pumped so high,0.2928
2469,"Apparently there was a selloff today. Somehow, I didn’t notice. $FB, $NVDA, $MU, $MCD",0.343
2470,This is #$%$ junk a hightech company with such a high PE?,0.3047
2471,30 billion in debt? balance sheet seems weird,-0.6428
2472,nobody like McDonalds,0.3581
2473,A little overbought now. Time to take a little profits.,0.4792
2474,"Thinking about taking my first bite of the Clown right here, right now...",0.1117
2475,MCD is up 4.91% to 166.08,0.1818
2476,Think they are gonna teach those dipshits that want $15 dollars a lesson.,0.3532
2477,Is it too late to get in?,-0.2348
2478,$1.25 Dividend in 30 days!,0.1696
2479,I am betting grandma’s rent money on MCD and SPY,0.0623
2480,"Take a good look https://www.yahoo.com/lifestyle/state-where-most-mcdonald-apos-175749030.htmlMcD's has closed some 2,000 stores over the past two years. CONTRACTION or is it NEGATIVE GROWTH?So difficult to say NOT.",-0.7816
2481,i contributed to junk food,-0.368
2482,Let’s see what mcd does with 13% less tax cost.,-0.0603
2483,McRib will save us,0.4324
2484,Support is either $154 or $160. Hope it is the latter.,0.6738
2485,"Total Liabilities37,071,70033,228,200 most recent year30,850,80021,374,000 last yearNet Tangible Assets-5,647,700-4,540,8004,571,60010,118,100",0.4361
2486,"3 steps forward, 5 back.",0.0805
2487,This stock should at least be at $210,0.2461
2488,Messages on this board remind me of 2000 when I hung on too long just before the first bubble burst and lost a ton of moneyyou bulls should do well to take a look at this chart and ask yourself where is this sales increase the scam analysts are touting In 2008/9 MCD only had 4 quarters of shrinking sales in the last 4 years it now has 19 quarters of shrinking sales https://ca.finance.yahoo.com/quote/MCD/key-statistics/,0.3854
2489,"Investors sold shares of Mcdonald’s Corp (NYSE:MCD) on strength during trading on Monday after an insider sold shares in the company. $78.42 million flowed into the stock on the tick-up and $151.78 million flowed out of the stock on the tick-down, for a money net flow of $73.36 million out of the stock. Of all equities tracked, Mcdonald’s had the 0th highest net out-flow for the day. Mcdonald’s traded up $1.38 for the day and closed at $198.90Specifically, CFO Kevin M. Ozan sold 40,930 shares of the firm’s stock in a transaction dated Wednesday, May 1st. The stock was sold at an average price of $195.90, for a total value of $8,018,187.00",0.9771
2490,$7 drop..this thing cant get traction at all,-0.039
2491,https://finance.yahoo.com/news/low-book-value-misleading-154750285.htmlMCD would be like Qualcom in 1. Why does it have negative book value?,0.1388
2492,203 hit.,-0.0183
2493,This stock deserves better treatment,0.6957
2494,"I am up 515% on my MCD position, yeuhoo! I worked there as a teenager, my first job flipping and searing burgers. I made $3.15 an hour and felt amazingly independent. It’s good to know MCD is still going strong and has gone global. Just make sure to not over eat and get plenty of excercise.",0.9494
2495,"SHAM, stock is dropping for no reason",-0.1287
2496,"in terms of earnings MCD might be 6.5 times too high of a priceearnings x 4 / price = .044% returnPE 26I don't care about same store sales, besides they weren't up 26%",-0.1275
2497,We have been in a slump the past few weeks. Time for some upward movement.,0.5462
2498,balance sheet suckslike us balance sheet,-0.4006
2499,I Have watched MCD stock for years. It's definitely on sale so I am starting a position Monday morning.,0.7154
2500,"$3.00 dollars down in one DAY-- out for drive--stop at Mcd --no we went to B.K.----2 for $6.00 add 2 shakes---no fat fries , Mothers dont let dad take your child to a NFL game -not safe--- when its gone -its gone , no come back---",0.7913
2501,Starbucks forecast EPS 0.32$ in Q2 vs avg 0.70$ last year. Ouch,-0.4024
2502,I hate that I'm considering buying this company,-0.3057
2503,"its a fake nonsustainable economy20% of the us economy is used to pay the national debt, special interest #$%$ caused it30 trillion GDP3 trillion income600 billion national debt600 billion military spendingand a lot moredebt went up 1.1 trillion, 5% to get 3% ""growth""it ain't growth, its new debt and more interestthey never pay down the debt",-0.747
2504,220 this summer according to technical analysis,-0.0391
2505,Showing strong support at $181,0.7103
2506,Anonymous is a moron ,-0.4939
2507,"Most Americans who don't use food stamps will buy necessary grocery, cook by themselves to conserve their cash at hand. They won't go to McDonald's even the drive thru is open. That is the cruel reality in America. And it will become much more clear in the end of April. People need to stretch their cash to cover their food until the end of summer if not beyond 2020. Death toll will reach 100,000 or 240,000 as President Trump predicted. If you haven't given Uncle Sam your saving account number already through IRS refund process before, the emergency $1,200 check will arrive after five weeks from now. Those came to McDonald's drive thru won't come back again because they cannot afford it.",-0.4687
2508,Stock was a strong sell at $226.65,0.6482
2509,just picked up 50 shares. This is looking oversold,0.5608
2510,oil stocks are cheaper,-0.0194
2511,long term debt and liabilities growing out of controllooks like netflix,0.5282
2512,McDonald's is going nowhere and by that I mean they're here to stay It pays a two and a half percent dividend. this is a stock to hold for your children and your grandkids,0.4218
2513,When is the dividend?,0.1566
2514,and down she goes,0.0081
2515,"Company buffet today included $MCD McDoubles and also blue and yellow milkshakes for the Brewer playoff game here in Wisconsin again today. Tried the mobile order on the app, wonder if biggest mobile order in history?",0.843
2516,Is any client going to stop going to MCD because........... ?I don't think so...........They have clients like Warren Buffet and Bill Gates......,0.2943
2517,"Down again, and it even got an upgrade today",0.0204
2518,MCD has no real competitors on a global scale,-0.4372
2519,"5% pretty good2.78% dividend/3.12% 10 year yield * $175.9 = $156.7 per share based on thatlow was $144 on the year50 dma is 164100 dma 160 ishrecession to be a downward force on them, recession may have begun",0.2292
2520,"My office is staying at home but I sent a courier to deliver our monthly third Monday $MCD lunch to their homes. Today’s menu includes the Double Big Mac, McChicken, fries and 4 apple pies, so that kids get a snack if needed. Thanks Speedy Delivery for your efforts and thanks to $MCD for getting this out on time.",0.973
2521,To the stock it really dosen't matter if the CEO had sex or a relationship neither of them have anything to do with investing the news will just help but I will invest where he goes.,0.5435
2522,$106 valuedon't buywait for the PE to be reasonablePE 384.5% growth or so,0.5498
2523,I bought on the ceo sex scandal. It worked lol. Same with JD a while back.,0.2886
2524,https://finance.yahoo.com/news/buy-rating-maintained-on-mc-donalds-corp-mcd-155358518.html,0.0
2525,Be fearful when others are greedy,-0.6521
2526,wouldn’t feed this trash to my dog,-0.2584
2527,MCD downtrend is inevitable and if the DOW falls in the afternoon watch out below.,-0.4343
2528,I think I can see MCD doing great for many centuries.,0.6493
2529,Sold,0.0
2530,"This is opening back up, even news said customers flooding in, now just watch in a week after it opens",0.4746
2531,Might close -.40 today after all the good news. Go figure.,0.6116
2532,shorts picking up their chips...slowly. They know the gig may be up for now. We'll see. MCD can do some serious damage once it gets its mojo back,0.3629
2533,Tweet/Twitter boy is active. He won't let anything go up for a while...,0.6771
2534,Looking at $180.00 soon.,-0.0057
2535,Clean energy,0.5859
2536,McChickens can burn your johnson if you spill them when naked. Be careful out there.,0.3818
2537,I'll take a McRib and a strawberry shake please!,0.2549
2538,when are we going to see 200 again ?,0.0905
2539,I played for a collapse today....I was wrong.,-0.5941
2540,seriously they made $1.5 B last quaterthe price just went up $1B in 30 minutes,0.1539
2541,"Great buying opportunity.....coming up! In the words of the great Andrew Dice Clay, it was either ""little miss muffet, sat on a tuffit...or little boy blew, he needed the money!!!""",0.9273
2542,Stock headed for $200+ and finally a split,0.415
2543,"the dividend and yield on the 10 year treasury note are about equal all of a suddenthe 10 year is fed tax freeMCD is about to #$%$ outearnings is July 26, I think, debt bubble, the consumer is burned out on interest expenses",-0.0347
2544,"I take your point and appreciate (always) contrarian views?. The dopamine rush from us ?geniuses? who predicted the Bull following the Covid collapse of 2020, seems to have hypnotized most of us into the belief that the party will continue ad infinitum. This has occurred despite $ 30 trillion in debt (over 100% of gdp) & markets expecting companies to beat market expectations & dropping value if they only beat market expectations by 10% or less. I get that some increase in markets is due because companies are thriving yada blah blah blah blah blah. I remember reading the Intelligent Investor (a book worth reading) and thinking ? holy #$%$ is picking stocks like gambling?? Of course it is. Two things I have learned (some the hard way). Predicting markets based on technical indicators is BS, mainly because predicting markets based upon retrospective data, particularly using small data, is hypothesis generating at best and must be tested prospectively to hypothesis test. Second, the assumption that any combination of variables can reliably predict performance of a stock assumes that historically situations like those occurring now have happened before. Since stock markets have been around for ~300 years and conditions have changed so much over that time. conclusions are ludicrous",0.9708
2545,"lots of issues in china, esp food safety issues..good strategy to get out before their equity gets slammed again... chicken flu is starting to spread in china, before you know they will ban chickens again like in 2013",0.4615
2546,Trump will prove McDonald's French fries can save him from Covid 19. Then everybody wants to buy McDonald's French fries because of its secret ingredients which not cure baldness but also Covid 19.,0.5021
2547,those that do not sell a stock with a real or tangible book value of just $1.47 per share when despite all hype that MCD has had both sales growth and earnings growth is show to be just a pack of lies according to figures on yahoo finance will lose their shirt when it crashes under heavy selling volume,0.8963
2548,And when the bubble pops MCD will be dishing it up to the longs!,-0.1273
2549,is this a growth stock? Why such a HIGH pe?,0.7996
2550,I am having a craving for Big Mac today :),0.6982
2551,ex-dividend date 2/28 also.,0.5305
2552,"I use to eat at McDonalds five or six times a week. Now maybe 4. And my friend use to eat the same but, he just died of a heart attach last week so he is down to near zero.",0.1711
2553,My advanced Modigliani technical analysis is still indicating McDonald’s to 255,0.2937
2554,"They should use Dragontail systems in order to improve their deliveries like Yum brands, Dominos, and Burger king (soon). As well they can monitor Covid 19 stuff safety.",0.9186
2555,"With a lot of investors predicting an up ward swing to close to $200.00 dollar,s it sure would be nice to see a 2 for 1 split an double that upward swing in real dollars.",0.8757
2556,"all MCD needs to do is cut prices about 10 percent, and the competition will look expensive. Fast food is a thin margin business.",-0.1234
2557,If some corporations are trading at 100x EPS. like amazon. Then Mcdonald’s should be valued at over $700 a share.,0.8301
2558,"CONGRATS IF YOU BOUGHT THE MARCH 2020 $195 CALLS ON DISCOUNT WHEN THEY WERE IN THE $5s. They are over $7 now. Continue to accumulate cheaper on dips, AHEAD OF THE JANUARY EARNINGS release.",0.8264
2559,I blame the McRib for this drop.,-0.573
2560,MCD UPGRADED to $235.00 !!!!,-0.2928
2561,"Are those of you so strongly bearish here trying to get the price lower and lower so you can get in, or you truly believe it's going to go under 160?",-0.4157
2562,"Shorted 1030 shares of $SBUX starbucks at $78.40. Why?? Think about it, In US who drink starbucks? White collar workers in west and east coasts.. midwest fly over ststes farmers do not drink starbucks. W and E coast cities work from home orders started in March, how like would someone goes out of house to get starbucks or would you rather brew your own at home. Starbucks in US is white social and lunch habit, white collar staying at home 1/3 of Q1 is wiping out starbucks sales. China stores were completely shut down since late January. I SHORTED STARBUCKS WITH CONFIDENT !!$TVIX$MCD$sdow",0.9724
2563,I agree with Jack. Good opportunity to buy.,0.8505
2564,It’s showing really defensive in this current market,-0.0447
2565,I bought more :) now,0.4771
2566,The most crowded McDonald's in town reopened in May. Used to have more than 10 people in line then became 2 or 3. Last week the store is shut down again. McDonald's and most restaurants are dead because people now only want to eat meals self-made.,-0.8092
2567,folks take a look at shrimp (SHMP) today !! Market loving shrimp !!,0.7222
2568,Companies like McDonald's and American Airline that used debt to buy back shares in the past three years will be the most vulnerable. Analysts will point fingers in the next few weeks to identify these irresponsible companies. The top managers hiked their share prices by deep into debt. Now they will pay the price. American Airlines has been cut in half. McDonald's will be the next.,-0.7058
2569,Breaking news. Another CEO Easterbrook's defeat. He will phase out Signature Craft Burgers because very few people pay $6 for a burger at McDonald's. He has been trying all different ways to boost McDonald's revenue by forcing customers to pay more. So far his success rate is 0%.,0.7839
2570,Why the big hit on MCD today?,0.2247
2571,"All time MCD high again unfolds, it pays to recall why we holdIn bull markets and when the sky is falling, 43+ years of increasing divs keep calling.",0.6765
2572,Analysts upgrades $240-$250,0.0
2573,"great Seeking Alpha article Kody's Dividends11% overvalued -> $178 per share52 week range $153 to $201;;;;;;;;;;;;;;;;;;;;;;;;7 to 8% yield to me says PE 16 is double and the PE is 2616/26 * 200 per share => $123 per share, not considering the dividendthe 10 year treasury yield is in the dirt, so suddenly MCD has something to offer, but only starting from a fair price like $178 per share",0.9663
2574,"Most people in drive thru drove away before ordering. Did the headquarters try to solve the problem? Even you mobile order, you still need to wait the long line to get your food. Because you already paid so you have to wait in line, but they will never come back the second time.Drive thru is not working.",0.7997
2575,there will be no chance to invest in such a cool company for another 20 years. I'm buying,0.6139
2576,Up $8.12. I'm lovin it!,0.5116
2577,Howwwww. Lowwwwww can you goooooooo,0.0995
2578,Fish Filet is tiny vs. BK.,-0.3593
2579,On the news white people stopped eating at McDonalds because of McDonalds RACIST policies,-0.7244
2580,"Stock should be at $5. I stopped at a McDonalds this past weekend after not eating there in 2 years. No I know why, food was #$%$, way overpriced with #$%$ service to boot. You can have this dog.......",0.2086
2581,"Recently, I was told Mc Donalds is going back to using fresh beef for their quarter pounders. That's a good thing.No if we can get them to use beef that wasn't fed using GMO Frankenstein grain, or beef that didn't use growth hormones or antibiotics, then we would really have something.",0.2304
2582,I have never seen McDonald's so empty before. They need to reverse $1 $2 $3 Dollar Menu. People hate the new Dollar Menu so they stop visiting McD.,-0.8013
2583,Nobody eats McDonald’s anymore it’s chick fil a now !!,0.1794
2584,"MCD is the best all weather stock to own. I am glad I’ve not sold this gem over the years, and reinvested the dividends. At some point, I will start dividend payouts and buy toys and travel more... I worked there as a young man, my first job, have good memories!",0.962
2585,"Time to burn the day shorts , they are frustrating this stock and keep it from going higher. PUNKS !!",0.4741
2586,People have to eat somewhere.. and why not at a place you can trust,0.6589
2587,Is it time to make a move on MCD? It certainly looks like it based on a EPS estimate for next year of 6.62. if you guys have questions you should ask awesome-STOCKS. They often respond to my emails which is helpful.,0.8391
2588,Please mute anonymous he keeps posting nonsense and McDonald’s is doing great and it will hit 200 dollars per share before not very long,0.8719
2589,Did you say 200? Hahaha!,0.6442
2590,"10 year yield 2.799%mcd dividend 2.67%2.67/2/799 * 177.2 => $169 per share valueand its worsethey seem to be borrowing money to give it away (dividends)don't borrow to pay dividends, duhand buybacks push the PE to look lower, but its really high",0.6527
2591,"The food blows, but stock has done great since I. Ought it in 2011",0.8748
2592,"I find that if I sleep in the $MCD dumpster near my house, I get some nice warm food for free occasionally, which is nice,",0.9001
2593,"market cap plus $39B debt = $195B5.9B incomePE adding in the debt is 33operating income up 2.2% yoyborrowing money for buybacks and dividends is sick, working harder ot push their stock prices up than running the business",-0.7191
2594,Taking the entire office to $MCD for breakfast and coffee in the morning to tell them we are selling the company. Called the manager and he will have cherry pies ready as well. All employees are owners and now millionaires. Go long on Mickey D,0.9
2595,Why would anybody short the best restaurant company before their dividend? This stock will hit 190 very very soon,0.5929
2596,The only bag i hold in my dividend portfolio,0.2568
2597,"10 year forecast for one year 10 Year Treasury Note Interest Rate Forecast Target Month:Forecast:HDTFA:November, 20193.31%+ 0.51%https://www.forecast-chart.com/year-treasury-10.html2.63 MCD dividend/ 3.31 * 184.57 per share at the moment = $146.65That's the one year low52 Week Range:146.84 to 190.88",0.8235
2598,Free pumpkin spiced latte for all MCD shorts if we reach $175 before Christmas arrives. I also left some hot chocolates at the Salvation Army for you.,0.8399
2599,sales down and the stock is up...,-0.0469
2600,This has been so stuck and level. Time for someUpward action! May the longs be with you!!!,0.4957
2601,"5%, 7% seems more like the average for the 10 year treasury yieldMCD is paying $1.26B a year now, I believe, based on 2.63% interest rateshttps://www.cnbc.com/quotes/?symbol=US10Ywhat if the 10 year goes to 4%5%If MCD has to renew their loan arrangements in the 10 year is twice as high, they may have to pay 5% a year or so interest, $2.5B per year or so interestThings got crazy in the debt departmentThere was a three year period (or so) when the debt doubled.The national debt may see the straw that broke the camels back some day as the debt keeps going up, and they keep letting the debt ceiling get broke. Foreigners are turning away from the dollar, and will turn hard. Its feasible to see interest rated go north in a big way, like back to the 15% years, as the dollar gets rebuffed.",0.7252
2602,why did it go up today. same with chipotle.,0.3398
2603,"so far, so goodmaybe sell before earningsbuy a week beforewatch the ex dividend date",0.4338
2604,"Time for a class action lawsuit, not only against management, but any organization that handles this stock.This stock has been dropping for weeks, which tells me that this was known by insiders et. al. well before they made it public yesterday.It's not coincidence, and it's not ""disappointing"" earnings that has caused this to drop so far recently, this was well known in advance by anyone on the inside, which includes financial companies, company insiders, etc...Furthermore, Easterbrook, in servicing his pickle, violated the fiduciary duty owed to shareholders, and compensation should be paid to anyone who sustained a loss.",0.0497
2605,"A substantial break below 208, gets you down in the 190 area... not acting well for some time now...fyi",-0.0227
2606,"Never thought I would buy MCD, $187.61, only 132 shares. Technology advancements to improve the brand still in place, one man's infidelity is irrelevant.",0.8914
2607,just went to a chicfila today that line was so long we waited 1 hour in the drive through. Mcdonalds is barely busy.,0.7445
2608,Uxin online sales and car delivery in China Uxin is the one!,0.8127
2609,MCD is down 6.28% to 186.37,-0.2462
2610,What’s going on AH?,0.4248
2611,Anyone with high cholesterol or trying to have a healthier fast food breakfast will have to go else where to eat.No more Egg White Delights at my local McDonald’s,0.8073
2612,NEXT WEEK MORE FUN___,0.0313
2613,"CNBC is a bunch of losers,, now they play the worry game, MCD has run tremendously",0.5453
2614,am i correct to say that this stock has nothing to do with mcd in china?,0.5312
2615,Time to sell.,0.086
2616,"20:23. The LORD detest differing weights , and dishonest scales do not please him . Thank you Lord Jesus that you hate dishonest scales . You detest those that use dishonest weights for ill gotten gain . Thank you Jesus that you see it all no matter how small . The wicked are never satisfied with their wickedness . They love the darkness dear Lord Jesus and they make a mockery out of goodness . Please Father , in the name of your Son Jesus I ask you send them thick darkness and gloom . Cover them with the darkness of pestilence and trembling . Let them not get away with their evil schemes . In Jesus name I pray.",-0.8789
2617,McDonald’s will never be the most tasty food or the best service restaurant; if that’s what you want go somewhere else. But it will be good food at reasonable price with a company with huge economies of scale; and also the fastest service,0.9331
2618,Wish $MCD would serve a shrimp burger. Mix of cocktail sauce and mayo with seasoned fries.,0.2462
2619,We boycott MCD because they serve Coca Cola. Get woke. Go broke.,-0.6635
2620,LIKE I SAID YESTERDAY:Mr14 hours agoCONGRATS IF YOU GOT THE STOCK/CALLS DIRT CHEAP. Maybe we take out $160 tomorrow or next week. Easy money. NO FEAR of buying MCD cheaper.BOOM!,0.6259
