,Recent headlines and conversations for MA,Polarity
1383,Ma will not reach a new high until cross border trade and travel get back closer to normal. That's where the money is for both MA and V,0.1169
1384,It could go back under 300$,0.0015
1385,This stock is no good goes down every day,0.1791
1386,On to $290 as the MasterCard Machine moves on.,0.1185
1387,"MANIPULATION is very clear today for MA stock. Only thing I want to know why SEC does not investigate this one. i believe it is manipulation for sure. I hope that the media will take serious about this one. Yahoo should investigate why the index is up but MA is down, while the other financial stocks do not move in the same direction of MA>.",0.4105
1388,How are we down today??,-0.2298
1389,MA reached a new All Time High at 156.23,0.1631
1390,BITCF and SING bitcoin,0.6738
1391,"I only have a small amount, want to buy more but should I wait for a pull back?",0.6208
1392,Cratering into oblivion. Garbage stock,0.0889
1393,whatever we supposed to gain today evaporated yesterday,0.6387
1394,"Dean, we are going to hit a price target of $300 before October. The wives and kids will be stoked about our new yacht. People that don't own MA either have problems or do not understand the demand of their position in the market.",-0.0693
1395,MA cannot go higher due to VWhy MA depends too much on V.I don't get it,-0.5339
1396,Here comes $ 215.00!!!,-0.262
1397,MA & V headed to green paydirt at the closing bell!!!,-0.6025
1398,Inflation on the rise. Prices going up. MA makes money based on transaction fees. Higher prices means a higher fee. Everything tells me MA should be going UP not DOWN.,0.2367
1399,"wow, even MA has discount on sale before holiday, anyone buying?",0.8329
1400,This stock keeps moving like a powerful machine. Awesome,0.9179
1401,"I guess some profit taking is almost done for MA this morning. I try to figure it out the geopolitic is still on or not. It has no issue with N KOREA, but local political issue just starts. Tax issue may be the one which Wall Street may pay attention the most, and I guess it is no issue because big corp. always contribute big amount of money to both parties.",0.9241
1402,"Earnings can't be just good, they're going to have to be great in order to get the bad taste out of everyone's mouth with all the previous days of selling",0.1338
1403,Stock is going towards $315,0.1432
1404,Europe CV mortality rate is 10%. US about 2%. Why such a large difference. CV is not showing any signs of slowing down.,0.7664
1405,"Good time to BUY, MA may see 175$ today or tommorrow.Market is due for a GOOD BOUNCE",0.8508
1406,Strong Green by the end of the day!,0.5687
1407,Im new to MA but I think is always a good stock to have. Whats the entrance price you would recommend me? I think this is going up but its always appreciated to have some other points of view. Thanks,0.9783
1408,"did i get ucky, or is more bad news sending this Market even lower; yesterday converted 300 shares of MA held in traditional IRA, into Roth IRA... the silver lining in this pullback is Tax Avoidance"" going forward when virus allow pent-up demand to launch economy back as it might do in Asia, South Korea... plus, with this $trillion Stimulus it highly probable governments will be forced to later raise ALL Tax rates to offset cost of Stimulus, losses business and the unemployed.",-0.6598
1409,can it touch 215let do it,-0.0965
1410,trash of the century's. not expecting a green but at least not down so much in a few days... this should be a very good stock,0.6209
1411,I’m sure it’ll hit new 52 week lows with the way markets are going! But point is it’ll bounce back and get new highs! Just have to be patient and calm!,0.8685
1412,If this breaks 265Can happen very quickly,-0.243
1413,MA & V are in full breakout mode!- The dynamic duo are strengthening their businesses for sustained growth over the long haul!,0.9624
1414,my comments keep disappearing...it was a bit long..but i need to understand if i feel the same or others are observing as well,0.4793
1415,"This is a gift down here, MA and other indicators stated Holiday sales was very strong. Should bode well for ER this quarter. I think we run up to $210 into ER.",0.9556
1416,Will reach all time high soon.....,0.179
1417,Te germaphobes afraid to touch cash and with the coin shortage should fuel earnings,0.091
1418,Calls or puts?,-0.0087
1419,"Where is Greg, fully negative minded",-0.5744
1420,"Before yesterday, this was down YOY. Not good for a supposed. Blue chipper.",0.544
1421,"MA...a dream for longs, a short's worst nightmare. 400 will be here soon and I would sure as hell not want to be caught with my pants down betting against it.",-0.8547
1422,190 AFTER ER??? WHAT DO U GUYS THINK?,0.7791
1423,Let's take out the 52 week high and blast through $400 by earnings!! Congrats Longs!,0.8671
1424,Thought we would see a better reaction from a great earnings report. Is this downturn coming from the rate decrease tomorrow?,0.7964
1425,These prices are a gift...loaded the boat today to compliment my shares at my $170 cost basis. Once the dust settles MA is gonna take out 400. MA shorts have a death wish. They will bleed from every orifice once the rally starts back up.,0.4166
1426,$300 today,0.0783
1427,Here we go amigos. India the next Fintech frontier owned by MasterCard.,-0.028
1428,"Every use Master and Visa in traction, it is gold opportunity . Load more share MA and V",0.64
1429,Going up to fast,0.1393
1430,"More and more people prefer to use digital payment now. Can $V or $MA still be popular in the future? From Finstead website, it indicates that Quarterly Revenue Growth of $V and $ MA are 25.8% and 13.3%, respectively. I also find that of $PYPL is about 18.3%, which is lower than that of $V, but higher than that of $MA. I think $V and $MA is losing market.",0.5035
1431,Another rough day for MA and V.,-0.3349
1432,Looks like scary ppl sold their shares,0.2105
1433,Starting to feel like Dec 2018 all over again,0.271
1434,Company reports 9% profit growth and the stock goes down? The financial institutions or forcing MA a down so they can make a big grab for if that a good price.,0.7136
1435,great company but overvalued.,0.0856
1436,200 AFTER ER??? WHAT DO U GUYS THINK?,0.7791
1437,280 and next new high,0.331
1438,MA terrible performance/sell up go to paypal,-0.4129
1439,just sold all shares. the earning is way lower than I expected and it will follow the current trend of V in the coming days.,0.3283
1440,Yellen just sweet talks to the market. The market responds by shooting up triple digits.,0.4796
1441,"Today MA should be on cloud 9, I am waiting for MA hit 135, then again I will hit with Sept 15, call 137",-0.4291
1442,Stellar report...congrats to all!,0.2332
1443,this is in sale Monday morning if not right here at 270. Jan or later calls look good imo,0.6165
1444,Going red,-0.2444
1445,"This is way overdone for MA............we are on the verge of getting through this shutdown, and MA (all credit cards) will be more required for the post-virus world like on-line buying, plastic vs dirty money, and needing credit for bills while households get back to earning; to name a few.MA should get back to $275 and see it topping around $300 once there are signs of parts of the country opening up.",0.7973
1446,Wish I had bought more on those dips.,0.4916
1447,On the call they warned about the European Commission Fees that could be couple of Billions.,-0.3966
1448,last time earnings beat revenue beat & guidance was positive & the stock went down for a whole week. let's see how it goes this time.,0.7767
1449,Going nowhere as the market bounces back. We've gone from darlings of Wall Street to being doubted by Wall Street.,0.4077
1450,MA needs to start having some Green Day’s!! Just too much red in a row and no uptrend!! Let’s get some positive news and move this sucker up!!,0.6578
1451,This is a good buy point for MA. MA will reach $ 205 in the next hour!!!,0.2264
1452,Looks like another buying opportunity in the works!,0.7707
1453,SO why is MasterCard crashing with all the good news coming out about MasterCard?,0.6718
1454,Cool,0.3182
1455,Time to load up MA.,0.2268
1456,sky's the limit,-0.0866
1457,Stock overvalued and overbought!!!,-0.2531
1458,Down down don’t stop let’s keep it going. Sell sell sell. I’m making so much money ,-0.483
1459,BOOM goes the dynamite!,0.5668
1460,Top and Bottom line beat. Awaiting guidance,0.2866
1461,"MA back on track guys, congrats ! ;-)",0.5955
1462,Looking at 644,-0.0068
1463,How rich is it that executive pay is tied in part to the environment considering their only product is made of plastic and they use a ton of electricity to produce their product. Corporate America has lost its freaking mind chasing the stupid woke item of the moment.,-0.2992
1464,temperature drops too,0.0412
1465,Almost recovered all the drop for the day. Setting up to open at $259 tomorrow morning and touch $265. That's almost $20 from today's close,-0.0045
1466,Mastercard is now banning people for being conservatives. Welcome to the new world of coorperate SJW'ism. Terrifying times ahead.,-0.2254
1467,Expect excellent 2nd Quarter earnings for MA!! Consumers are spending!!,0.5497
1468,Who uses Mastercard. Open your wallet or purse. EVERYONE,0.4581
1469,"If ma reports bad ER, market is going to tank along with Faang, doesn’t look good, everything is red",-0.3301
1470,WHAT'S GOING ON ? WHY THE DROP????,0.2881
1471,"As is said. 3% drop is minimum target for today, 4% is more likely and 5% isn't that far off either.",-0.3076
1472,"To quote Chauncey Gardner, flowers die in the Winter and bloom in Spring:)",-0.5947
1473,Don’t understand MA and V. Where is all of the upward movement. All other stocks keep flying and these are moving sideways at best. What’s the info about these two companies?,0.8852
1474,MA is rocking today!!! GO MA GO!!!,-0.75
1475,Tremendous stock - on a dollar basis rather volatile when trading options - if you are on the right side at the right time WHOA !! If not OUCH .,0.1715
1476,New all time highs comingFolks better get aboard $ma rates are rising $spy,0.7876
1477,"small investors should watch and stay away the big boys fight over stocks next week. $amzn ,$fb, nflx ,$goog,$ba, $ma",-0.0937
1478,up up and away,0.3576
1479,Anyone get MasterCard dividends on their account yesterday? Ameritrade did not show a payout.,0.404
1480,$MA Target Lowered by RBC Capital USD 350 » USD 372Target Lowered by JPMorgan Chase Overweight USD 372 » USD 342 Target Lowered by Smith Barney Citigroup Overweight USD 384 » USD 355 Maintains BMO Capital Markets Outperform USD 345 » USD 333,-0.9534
1481,look at pre market...hihi,0.1405
1482,Up 4% today @ $334.74.,0.259
1483,I would buy it if it’s pe goes down... not saying price should go down... maybe earnings go up? That’ll be better,0.8074
1484,"The action on MA and V is absolutely crazy, I understand a drop from its highs becaue of the world is shutting down for 15 days or so and people are self isolating. But todays drop is 30% gloom and doom pundits and 70% our idiot congress who cant get their act together to pass something.Even the loss of wealth and destruction of the people they serve does not motivate them to act quickly. If I had a choice I would vote them all out into the streets.",-0.9558
1485,When it drops as the open I'm going all in.,-0.0661
1486,Visa is a better buy,0.5425
1487,"have had ma for 10 months ,just about break even may as well take your money to vegas.this is a fools game",-0.286
1488,All time high soon,0.2386
1489,Looking to buy into a MA position. Any advice or important considerations for next 10 years? Seems like one of the best stocks to own and seems on sale,0.892
1490,Stocks to Watch Going into the Trading Day on 11.14.2019 - $PTON $AAPL $V $MA $FB $NKE $AMZNhttps://www.transparenttraders.me/2019/11/stocks-to-watch-going-into-trading-day_14.html,0.2893
1491,Earnings release after market close tomorrow?,0.0413
1492,Beats estimates and still negative? What gives?,-0.5672
1493,Why didn’t this go up on the American Express earnings report?,0.4684
1494,"Buying more V and MA this morning. They are well off the highs, had good quarters, and I think these recent downgrades focus on the short term, not the long term. I own SQ and PYPL as well. Those 4 are digital payments, which are the future. AXP I’m not as bullish on.",0.8615
1495,yes my best horse so far in covid19,0.7946
1496,This is good for MA... https://ca.finance.yahoo.com/news/mastercard-participate-upcoming-investor-conference-141700069.html,0.4639
1497,How low is she going to go?,-0.0574
1498,"seems like a great buy at these prices, anyone disagree?",0.6776
1499,Why is it going down??,-0.2807
1500,What a steal here,-0.5014
1501,MA is down 5.24% to $179.37,-0.4608
1502,Will see what happens tomorrow with the stock. Bet it goes down another 2/3% minimum,-0.0062
1503,Is this a solid stock to hold for the long term in my portfolio?,0.6919
1504,So if I buy now will everyone thank me for tanking it?,-0.0424
1505,MA has been very neutral since highs of 380. Let’s hope today is the start to a new path forward,0.3651
1506,THE Master of all credit cards. The de facto stock you want to own. Own it and forget it. Onwards to $300 amigos. :)),0.6674
1507,"Think...The BIG Short. Long way down from here. These will fall in half as people stop paying their bills. Second to housing, personal debt is is in the Trillions, AND it will not be bailed out when it goes bad. Some stores have already stopped accepting these cards because of their fees, and the trend will continue. Bitcoin is alive and well. Zero fees. V, MA, AXP, etc. all in BIG trouble.",0.3744
1508,why is mastercards gm% so much lower than visa?,-0.1739
1509,285 on the road,-0.0188
1510,Concerned about MA's p/e ratio and a lack of stimulus. We need to beat in 2 weeks by a considerable margin,-0.5019
1511,"Seems like Smart Money $BRK.A Berkshire Hathaway and Fisher Assets Management are in the $AXP (American Express)Buffet, will never sell $KO and $AXPProblem with American Express, some small vendors, do not want to take it, or charge extra $1 Recently I wanted to to buy coffee at small doughnuts shop, they would charge $1 extra . American Express, does not have volume, tentamont to $V - Visa and $MA- Master Card. And another low volume low circulations Discover card. American Express, charges higher processing fees, so vendors do not like it.$SQ will take over as a fintech. As soon as it gets Bank charter, it will take biz from all credit cards processing companies. I conjecture, American Express is a dieying breed.",0.9769
1512,Best money I've ever made in my life with investing.,0.7584
1513,Does MasterCard give loans?,0.0252
1514,The VIX is is at 40. Never seen that high before so hang on. It's gonna be rough.,0.4296
1515,"Here is my theory. $PYPL, $SQ, $MA and $V are all reporting this week or by the end of month. The big boys are pushing the price down because they anticipate bad reports for the payment sector. When the report gets released, retail investors and algos will sell at the already reduced price, pushing price even lower. Thats when the big boys can scoop up all the shares at a low price.",0.4089
1516,Doesn’t look good going into earnings.,0.4482
1517,"Tech section is on right now, which I disagree anyway particularly FB.",-0.0417
1518,"No job,no problem!use your credit card, don’t wanna carry cash? Use your credit card! Wanna but that fancy face mask online? Use your credit card! Don’t wanna go in the gas station because of germs? Use your credit card. Get the idea? This stock is a power house that will rise like fresh baked bread!",0.9714
1519,"Morgan Stanley AKA BigShort wants everyone to sell everything. Relax, don't give in.",0.4314
1520,I'm a little bullisch,0.0
1521,when can we see 370?,0.0864
1522,I bought some this morning thinking it will go up but didn’t know it was fake,-0.4804
1523,"easy money both V and MA....downside on MA is $193 upside is $225....do the math. It is SAD that the Fed is killing the market. They are not looking at all the factors in the economy, it looks to me they set the interest rate hikes and will not deviate. They just keep hiking regardless of recent issues both macro and micro, its the path to get to a certain rate.",-0.1126
1524,Double tops everywhere $cat $ma,0.6936
1525,"I like this company a lot , but the pe ratio is making me shy atm.",-0.2345
1526,"@Kevin H - There is a valid reason for MA's decline. It is still extremely overvalued. Remember, great companies make terrible investments when you overpay.",-0.005
1527,Downgrade means strong Sell!!!,0.5243
1528,Visa misses and Mastercard drops? Why?,-0.232
1529,Will find out big news against MA tomorrow in court. See what happens.,0.2105
1530,Look at MA rock!!!,0.4596
1531,"I wish I had more $ to buy now. Got some at 322, then kept going down!",0.4389
1532,"Benjo, you must be paid by the post you are on a lot of boards spreading doom and gloom. seems like a pretty pathetic life",-0.4198
1533,Great day for MasterCard the Rolls Royce of FinTech and within 1$ of all time high. Great company to be in and did I mention the China need. Hehe. On to $500.,0.9105
1534,Incredible day! Big day mañana !,0.5245
1535,"stock is a dog, goes nowhere",0.1276
1536,"Mastercard has an ROCE (return on capital employed), of 38%. In absolute terms is a outstanding return and it's even better than the IT industry average of 10%.!!!*** MA & V will be the point businesses — leading the U.S., and global Economy back to normalcy — as we emerge from the Pandemic!",0.9208
1537,Looks like $300 by Christmas ,0.5511
1538,"Stripe is the new big deal competing with Paypal. It will have no affect on V or MA as they work with both. It is not a bypass proticol for credit cards. It is also tiny compared to Paypal which is the online market leader by far. They have double digit eps growth and only a 22x PE vs 17x for the SPX. If V and MA are getting hurt by Stripe, it is amisconception. V is only selling at a 15% PE premium to the SPX and is growing at 16% vs 7% for the SPX. Go figure.",0.9197
1539,W,0.0
1540,"Looking to see another rally in the upper 280s or very low 290s. MA usually hits a resistance and falls for 2-3 days then rallies again on trade news. Over sold and Over bought, would have almost thought it was a extremely reliable pump and dump.",-0.7024
1541,What’s going on with MA? Stock is just getting beat up and killed. What is the legit bottom going to be? This and visa and been pretty pounded compared to the sector and rest of tech stocks. Crazy.,0.6123
1542,U guys are clueless by raising swipe fees $ma $v u will drive busineses to crypto $sq $pypl,-0.2375
1543,MA really struggling quickly here. Lost over $30 a share in a span of a few days. Not the trend we’re looking for! Need some positive news here.,0.309
1544,MA is sitting at a relatively good price on the eve of the launch into earnings season!*** Investors are actually looking at a MA stock that could soar way beyond current level over the next year with a U.S Economy that’s poised to boom- Today offers a great opportunity to get ahead of the crowd of buyers on the sidelines who will be chasing the MA & V surge for the rest of this year and beyond,0.9752
1545,It can’t hit the 390 I think it will never happen (lol),-0.0508
1546,i got back in at $260 :( are we in trouble already,-0.6451
1547,230 next level with lockdown,0.3411
1548,https://finance.yahoo.com/news/mastercard-incorporated-host-conference-call-201000039.html,0.0
1549,"I'm a long term share holder of Mastercard shares. I orginally got into Visa a few weeks after it's IPO (March 2008) then in 2014 decided to sell my Visa shares and buy Mastercard shares. If you look at the long term chart, Mastercard just keeps going up and up. On average $120 a year, excluding this past year due to the pandemic. Mastercards posted strong numbers this morning despite world economies bieng in a lockdown for almost a year now. Mastercard is always a buy whenever it dips in share price. With a 6 Billion dollar share buy back program underway, on top of the previous 6 Billion share buybask program, Mastercard will continue to propel upwards.Next year (January 2022) Mastercard will be approx. $445/share, give or take a few dollars up or down.Online shopping has accelerated due to Covid, and with the world still using approx. 85% cash transactions, the wind is in the sails of Mastercard (and Visa) for many decades more.",0.99
1550,New 52 week high today. With AXP earnings beating that should bold well for MA moving forward.,0.7031
1551,How is MA not up on the vaccine news? Nuts,0.6451
1552,"11:05 AM, 1 million shares purchased.",0.3636
1553,bought MA 315.45 Price is temptation and MasterCard earning most of the time is good,0.3038
1554,Why this is red?,-0.1846
1555,$225 B,0.0
1556,I'm still in puts. Down about 10 cents/contract. I'm waiting for MA to decisively pick a direction.,-0.3526
1557,This selloff is absolutely overdone.,-0.0226
1558,We seem to be hitting some resistance,0.1097
1559,MA trading in oversold territory!,-0.28
1560,pure manipulation look at all other credit cards,0.1529
1561,7 days left. Rumor is CC sales are down 50% in the last two months. Better hang on tight. It's not looking good.,0.8761
1562,What a buy under 200,0.1058
1563,BUY BUY!,0.3254
1564,"OWNING MASTERCARD MAKES ME FEEL LIKE I AM SITTING AT THE TABLE OF THE TRILATERAL COMMISSION AND NOW I HAVE THE 30000 FEET VIEW OF ALL THE ACTION, HOW MUCH MORE POWER CAN WE ASK FOR FROM OUR PORTFOLIO?",0.8073
1565,Stock trading in huge premium. Should temporarily be paused.,0.4727
1566,MA go go go,-0.2593
1567,Back up Monday...better cover,0.1778
1568,MA bought @ ipo was just a fantastic stock....a small ($2K) investment now worth over $100K,0.7578
1569,Was fun while it lasted. Bull market 2009-2018.,0.5942
1570,Wall Street gotta love them lol. MA down over $5 .... Meanwhile there are bidding up TGT and other retailers will no growth. No thank you. I will add again to my MA holdings.,0.8905
1571,The toilet continues,-0.2554
1572,"Just like the energizer bunny... it just keeps on going & going... up ,that is!! Love this stock!",0.9366
1573,"If you like Mastercard you should love the new small public company NXTD with the patents and tech behind the new Garmin announcement for garmin pay! Check it out! flyonthewall.com: Nxt-ID subsidiary to power Garmin Pay on new Garmin smartwatchNXT-ID's (NXTD) wholly-owned subsidiary FitPay is powering the payment capabilities for the vivoactive 3, a new smartwatch by Garmin (GRMN). The new feature, called Garmin Pay, enables consumers to make contactless payments at near-field communication-enabled point-of-sale locations. The vivoactive 3 will be available for purchase at Best Buy or on BestBuy.com. :theflyonthewall.com",0.9796
1574,would love to see them take out square. Would be a dream team. Two very innovative companies,0.913
1575,"Same pattern as last week, someones try to suppress MA again, exactly like last week. Last week MA was suppressed down more than 1 points, I think 1.03, then came back lost less than .10 at the close. I think MA will push back at the close and move to hit high this week.",-0.4316
1576,265 or 262.50 close?,-0.0812
1577,Ofc there will always be those who don't see it coming. Don't listen to those fools. This is the end. And it will be ugly.,-0.734
1578,It seems we are starting a nice climb up. Beginning with a 2.28% gain so far today. I think this will be back to $360 plus here very soon. Good luck to all!,0.9575
1579,MA embraces crypto I warned investors on here it would happen soon after V. Congrats to those of you that bought the dip. 400 will be here soon! Crypto is rocket fuel for digital payment names.,0.6663
1580,MA upgraded to OUTPERFORM by Daiwa Capital.,0.0559
1581,$189 last year end ...? momentum rotation,-0.1198
1582,"Opening up the economy, pent up demand, covid cases going away.....MA and V should be rocketing to new highs. This is all about political failures and the crushing of our country by incompetencies.",-0.4784
1583,Mastercard (MA) will be paying a $0.44 dividend that represents a yearly dividend yield of 0.48%.In order to be eligible for the dividend payment you need to own shares of Mastercard on 04/08/2021. The payment will take place on 05/07/2021.,0.8268
1584,Now we wait and see what tomorrow morning brings for earnings!!,0.4441
1585,"As a counterpoint to you dour and depressive forward outlook:- I present mine—I The FED is backstopping the U.S. Economy during the Pandemic!*** Rule 1 has been temporarily revised to: dDon’t Fight The FED during this COVID-19 Pandemic!- Plus, if History can serve as a “rhyme” — the aftermath of the “Spanish Flu” Pandemic of 100 years ago was an Economic  explosive boom known as the “Roaring 1920’s”!!",-0.6774
1586,MA reached an all time high at 346.66,0.0757
1587,"Question for the board what is the best online broker to use? As far as user friendly, cheap, no strings attached.",0.8361
1588,MA & V are in pure “parabolic growth surge” it’s time get on board!- Your patience is being handsomely rewarded!,0.8283
1589,MA breaking out today people!,-0.3256
1590,Most amazing stock I have ever owned. No where but up.,0.5456
1591,"This will keep going up,good mgmnt team with good ideas on how to make $",0.7398
1592,The whole Market is in correction so it has a lot more room to move up after the elections. All part of the game.,-0.0052
1593,"This drop across the board, turning all the up indices now in the red is BECAUSE the head of the Philly Fed needed to get on CNBC and hint at what Powell will say tomorrow. The drop came to the minute of this CNBC segment. The most concerning comment for me is that ""we are moving back to normal growth of 2%....."". Thats is the difference, the low expectations of the Fed being ""normal"" and ""ok"".Tomorrow could drop market again because it is inevitable Powell will reiterate the comments made today.",0.0237
1594,";;; A GAIN of 1,100 % in 3 months...AABB...for AABBG New GOLD-backed Cryptocurrency Token / wallet co with Profitable Gold / Silver mining co. Now the # 4 Most RESEARCH requested OTC market stock by INSTITUTIONAL TRADERS...."" newschain asia broadband """,0.9521
1595,The new target for Mastercard is $365.,0.0088
1596,Just bought in some but still have more cash for Monday,0.1017
1597,"UP, UP, and AWAY!!!",0.6239
1598,Time to buy more shares !!,0.5212
1599,Hoping for MA to hit 200$ to load up the truck!,0.7424
1600,Back to $250's soon. This stock has had such a run and is trading at loft historic levels. Market considerations will push this down further and give us another great buying opportunity. I will add in mid $240's.,0.8983
1601,price looking good  but cross border transactions still way off and that is where the biggest profits lie,0.6704
1602,I'm buying the dip. This price action is laughable.,0.5654
1603,"Greeting Long Term Mastercard Investors.I've been a shareholder of Mastercard for approx. 12 years. I was orginally invested in Visa yet decided to switch my portfolio to Mastercard as it is growing earnings at a slightly faster pace. Both companies are superior in my opinion. I am a retail investor like the rest of the crowd on this message board and I am a firm believer in both Visa & Mastercard long term growth prospects. I know there have been several other players in the payments space, yet, most rely on the infastructure and piggy back on MA & V network backbone. The barrier to entry is enormous, thus, no company has been able to penetrate what V & MA have created in terms of a worldwide processing network, which required billions of dollars of several decades. I have learned in my 12 years of owning both V & MA that they are a buy and hold on any dip in share price. Here are some things to ponder.1. 80% of the world still uses cash for transactions 2. Online Shopping is growing at an exponential rate.3. MA & V are just getting started, based on the #1 & #24. Both companies are shareholder freindly, buying back billions of dollars of shares on an annual basis. MA had 1.4 million a few years ago (afer a 10:1 slit) now share count id down significantly, which increases share price and EPS.5. If you look at historical figures going back over 30nyears, regardless of what the economy was performing on a yearly basis, MA & V always made a profit and grew eps. Even during the great recession (08/09) and Covid (20/21) both companies reported a profit and earnings growth. 6. MA and V have spent the last year consolidating (look at the one year graph), a huge basis was formed. Now that the economy is slowly recovering, fund managers and institutions have been buying back into both companies. Remeber 90% of share volume is by institutions, not retail investors. These institutions know, that once the economy is running on all 8 cylinders, Ma & V EPS will be exploding higher. This is why they have been buying shares and driving the share price up much higher, almost on a daily basis. 7. The more hotels rooms booker (airbnb) the better MA does, The more Apple phones are sold, the better MA does (most poeple pay with a credit card for a $1000 phone). The better Amazon does in online sales, the better MA does, the more houses sold (people buying furniture) the better MA does, the list goes on and on and on......etc......MA increase in value approx. 30-40% on yearly basis. Give or take a few points.Hold on to your shares and you will rewarded in the future.Peace & Cash to the Masses",0.9983
1604,Is MA stronger than V? Seems to be lately.,0.3738
1605,https://www.google.com/amp/s/seekingalpha.com/amp/article/4335712-visa-and-mastercard-minimal-covidminus-19-impact-inflation-resistant-and-attractive,0.0
1606,let's hold 311 eod and we will fly. contactless payment is the trend !!!!,0.696
1607,Buy Mastercard ,0.1332
1608,Should be by now 290.00 easy I don’t know what’s holding it back. It needs to get there today,0.7936
1609,Since when did MA become a wild roller-coaster?,-0.2489
1610,Anyone thinking MA will split again? Last time was in 2014 when it hit $330 or so...maybe it follows Apple with a 4:1 split at $400? Thoughts??,0.4072
1611,good to be back in.,0.454
1612,Haha Peter. Now what to you think?? Am I right again??,0.6677
1613,The last 5 minutes of today's trading action was pure #$%$! Up $2.50 this morning and down $4.68 at close on new that Apple has a credit card.,0.5187
1614,"I still don't understand why Mastercard and Visa are seen as ""Travel Stocks."" I never travel but use my credit cards all the time for everything.",0.5788
1615,"Mastercard reports earnings before the bell tomorrow (Oct. 29). Mastercard will blow away earnings, as did Visa and Paypal. Mastercard, as you are aware, is growing it's earnings and transactions at a faster pace than Visa, on a percentage basis. If you have not bought Mastercard shares, don't wait till the parade passes you by. Stellar earnings tomorrow along with positive market sentiment as of lately will propel Mastercard well over $290 per share......Mastercard will open up tomorrow around $278 per/share...and keep running.",0.9533
1616,V broke to the upside — MA should not be too far behind — from today’s mid-trading session to the closing bell (((  )))!,-0.4702
1617,I'm ready to get back into MasterCard. Buying the Dip . What's a good buy-in?,0.8219
1618,China news alone should propel MA into orbit. Anticipating fantastic gains going forward. IMHO. :)),0.8533
1619,"Wallstreet has been on a low P/E kick for the last 3 months. Give them time, eventually they'll come back to the stalwart earners, they always do.",-0.4105
1620,Just bought 500 shares,0.3856
1621,lts a set up! Follow the bouncing ball......,0.6198
1622,"Looks like it’s going to start the break and start heading over 300 by the EOD. I spent over 3,000 in my MC this holidays. I know this is going pass the 330.00 mark soon",0.4122
1623,MA will emerge to lead an be a big winner in the global economic rebound!*** These inflection type pullback in the stock are mere buying opportunities for the prudent and forward looking investors!,0.8738
1624,This thing's going ballistic!,0.0978
1625,One of the best stock ...on sale now !!,0.8331
1626,Just set a new 52 week high!!,0.6074
1627,Why did it do so poorly today?,-0.1007
1628,Buy Mastercard! ,0.2053
1629,buy the dip,0.3345
1630,The final hour before closing bell  belongs to MA & V!,-0.3625
1631,Shorts are moving!,0.4856
1632,325 coming,0.0537
1633,"If I had to go back 13 years and had to chose 1 stock to buy and hold for the rest of my life, MA would be the one.",0.8374
1634,This stock has really been weak of late. Looks to be breaking down.Meanwhile DFS goes up lol,-0.1417
1635,come on yahoo quit deleting,-0.0758
1636,Come Monday next week...this will be between $270 to $275 as long as the market is not too shabby,0.478
1637,"what a waste of energy from the majority here ,all the best for making a dollar",0.4514
1638,"Solid long-term hold, but it's pretty much bearish for months ahead. It's struggling even to be around 300.",-0.8444
1639,anyone know why the stock market is crashing? is Trump something to do with it?,0.437
1640,"I love this stock - I've been in since 2007 or so and it's the biggest home run I'll ever hit. And I'm not going anywhere - holding for another 20 years unless the story changes. Pullbacks / recessions across the market are just an opportunity to add to my position.With that said, this feels really overbought. PE, PEG, most other multiples are much higher than they have been historically here. It will be interesting to see what happens after earnings - we'll need to see some monster growth to justify these prices in the short term.Like I said, long term, this is still my jam.",0.973
1641,"Forget the crypto news, MasterCard send takes out PayPal?",0.1629
1642,More pain and losses are coming. This clown has 3 years left to continue destroying our country.,-0.801
1643,Please get rid and block junk posts,-0.4832
1644,what's wrong with MA?,-0.6049
1645,"Visa released earnings and so can now resume repurchasing stock, would think they begin here at these levels should help us until next week",0.6653
1646,Strong Sell. Profit taking today and continue tomorrow!,0.8117
1647,Is now a good time to jump in on MA?,0.4429
1648,Anyone who think this is the bottom has lost their minds this whole ordeal is just starting tighten your boot straps it’s going to get bumpy. Don’t get mad or @ me.,-0.6354
1649,MA & V — the dynamic duopoly — are getting rousing votes of confidence as travel recovers and fears recede that they could be threatened by new technologies.*** Look for MA & V to lead a roaring global Economy back from the shackles imposed by the Pandemic!Sent from Yahoo Mail for iPhone,-0.4853
1650,Never lose money. Do not fight the fed. Never doubt MA/V.,-0.8026
1651,Lots of people are asking why the fall but no-one seems to know. Is there anyone who does?!,0.2819
1652,"Low volume profit-taking in MA & V in the very early trading session should give way to bargain hunting later!*** The protracted basing period in MA & V gave rise to yesterday’s solid breakout move, and there is much more follow through and legs to yesterday’s bounce from the dynamic’s duo extensive basing period.",0.6777
1653,"I WILL WAIT FOR THE DIP TO BUY., JUST LOOK AT THE CHART, YOU CAN TELL.",0.4599
1654,"people are crazy. This virus is in the common cold family. The flu in U.S. in 2018 killed 85,000 and no one even worried.",-0.8711
1655,On to $300 Amigos,0.0227
1656,what happened to my commentt where i mentioned MA is a manipulated stock...anybody????,-0.6539
1657,Any clue as to why we're down today?,-0.0696
1658,Buy the dips,0.1179
1659,These are the best times to add on these “inflection-type” pullbacks in the MA / V dynamic duo!- Simply ignore the “noisemakers and trash talkers” on the town-square and be rewarded with huge gains for having the conviction to embrace a selective contrarian investing attitude with the great global businesses of our time.,0.9486
