,Recent headlines and conversations for UA,Polarity
2739,"For how long will the US Government continue to PUMP the US Stock Prices artificially? Everyone knows that the US Market is in the MEGA BUBBLE; it is even more overvalued than Tulip Mania Bubble! The US Stocks are INSANELY OVERVALUED and OVERBOUGHT! The Valuations are impossible to justify!For how long can the US Government run this fraudulent Stock BUBBLE, while Corporate revenues are tanking, Corporate and National Debt is Astronomical, the Valuations are beyond insanity, Political polarization is at max, there are ongoing and upcoming wars, the real resources are limited, Economy is Collapsing, Competition is intense, the Stock Dilutions are at record highs, everything is getting worse, China, Russia, and many other countries are set to ditch the US Dollar as an international reserve currency. Now there are 100,000s of companies worldwide competing for $1 revenue! The US Companies that barely generate revenue of $1-2 million are trading at $50-60 Billion Market values, while in Asia, the same companies with better fundamentals, 100 times more revenues, are trading at 99% less market value! The US Company valuations DO NOT MAKE Sense at all! Why would one invest in US Stock Tulip Mania while he/she can buy the 1000 times better company share for a 99% cheaper price? The US Stock Market is a MAJOR PONZI SCHEME designed to patch fraudulent pension systems in the US temporarily! There is NO PROPER Revenue Collection by the IRS since 2016. Taxes are extremely Low, and Nobody is paying custom duties! People want more free money without working, more free checks, more capital gains, more stock hypes every day! This fraudulent ""no need to work"" policy of the US Government will END TERRIBLY very soon! Inflation is skyrocketing, but the Government is lying about inflation! $AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9045
2740,This is going to 27 !This analysis not a request and presentation,0.2526
2741,"Retails have been down, folks were not careful",-0.0319
2742,back to 20 next week,0.084
2743,Going to $5 soon,-0.0035
2744,"Nice deep long bottom, getting weak hands outs, time for believers and smart money to accumulate for the long haul. Like if you agree UA will produce better returns than NKE",0.9586
2745,"trolls lulu forum is open for criticism, make your way over there.",-0.474
2746,Going to get a lot of market share from nike...this will help the brand back onto the long sustained groth path.We have seen the bottom and it will get progressively better from here forward...,0.8698
2747,Which is better buy UA or UAA?,0.5054
2748,Plank is a pig #$%$,-0.2652
2749,this will go to 28$ after the earningswe will see !,-0.2986
2750,For me this brand can compete with Adidas and Nike! It has its own brand essence and should continue to grow imo.,0.5294
2751,"love their shoes, great company, has great team of very capable people, needs some time....",0.9609
2752,"Tough sledding here with Curry brand launch. The Rock has a built in audience that is global and massive (6-7x of what Curry has on IG alone), so I think that is a really tough comparison. Best guess is this settles into a little niche type brand that has a few product capsules to keep SC satisfied, nothing more. They can't waste brand marketing dollars on something so small.",0.9414
2753,I can't believe that what I'm trying to post here in regards to the ongoing situation with Kevin Plank's position on Trump is being censured. BUT IT IS!!!!,0.5751
2754,New 52 week high!,0.4098
2755,Forget about getting in at $ 16.95 this thing has no foreseeable bottom.,-0.5726
2756,"I don't understand the hate that UA gets. I work out 6 days a week and see way more of their stuff than Nike (except shoes, I don't know if they can catch in shoes). I am 24 and all of my friends and I buy and wear 90% UA because of the fit and the fabric of the shirts. Aside from the awful CEO (which I don't see lasting another year) and the lack if international interest.. why is this stock struggling so much? They make a great product and I load up every time it dips, I'm banking on the (very) long term.",0.9602
2757,Im holding this baby this $8 - 5k shares.,0.7687
2758,Why is my posting of NFL Being deleted? This is the third time I have posted it!!,0.4805
2759,"UA has $165M in cash against $1.8B in debt. They are not making a profit. They are not growing. And they are valued (market cap) as much as Skechers (SKX) which has $800M in cash against $77M in debt, while earning a healthy profit, and growing at a 14% rate. What sane person would invest in UA when you could invest in SKX???",0.8328
2760,This will be up tomorrow mark my words,0.1308
2761,They should hire Goldman and explore strategic options NOW!,0.6546
2762,Accounting issues probably true due to plank using UA to fund his other business ventures now he?s getting out before the #$%$ really hits the fan. Also a change at CEO usually always cause alittle down fall until the new ceo gets his system and changes in place. Also most UA problem is that their products are over price not under priced like they are saying! This will go down to about 9.50-10/ share then creep back up to 22-24 over a year. This won?t be back up to 22-24 till this time next year and if it does it will only be due to pumping the stock. Just my opinion,0.9114
2763,Let’s goooooooo,0.0
2764,Neo and Selig must be Nike Executives.... They are wack...,0.0382
2765,Going be back up to to upper 20s this week,0.2712
2766,Just a lot of competetion in this space...don't know which one to choose...any advice?,-0.0713
2767,Under Armour is up 8.34% to 10.32,0.1223
2768,Didn't you find it strange that the WSJ found a memo from February just as the stock started to break out? I wonder who gave it to them?,0.279
2769,10 today!,0.1522
2770,Sad. So disappointed - such high hopes and sadly need to harvest a loss. Oh wait!!!,-0.6278
2771,This conference is a joke,0.6544
2772,iIt's going to $20 soon... start BUYING,0.452
2773,"UA at almost 20 bucks. I’ve got a boat load of July calls, $25 strike. *IF* earnings are good, we might see 22-25 next week & I will be in the money.",0.5993
2774,I think this will explode today...easy $15-$16,0.4463
2775,Be careful..!!! Next quarter earning is negative again...,-0.6752
2776,"I am truly enjoying the implosion of Under wAre. Just another company that tries to prey on the impressionable youth and sell them Chinese junk at inflated prices so they can, ""be cool."" Let me tell you predators something .. my kids are way cooler than those suburban toads who have to load up on the latest trend in order to fit in. I am fifty five years old, in top shape, ex-military and wouldn't even think about putting that metrosexual garb on. It's not the shirt, it's the countless hours on the bike and on the trail that make the person an athlete.",0.9667
2777,Under armor is like a gold brick in the future will be raining down money,-0.3949
2778,Time to wake up UAA,0.4101
2779,Always fade Goldman... They're working out losing positions on retail saps...,-0.3442
2780,"Soon all retailer stocks will be worthless,expect $12. to $13. range next!",-0.1956
2781,When this goes down in price y'all should know it's because Under Armor was recently charged by the SEC with misleading investors. They failed to disclose known uncertainties about it's future revenue prospects.,-0.7768
2782,"Sometimes you need to take your loss, i did.",-0.2677
2783,"not a bad bounce off of the 52 week low yesterday, time to buy more with the 4th qtr expecting to rise",-0.3855
2784,sold all my shrs to bagholders,0.0119
2785,"I dont understand why UA market cap is alot less than lulu and puma when UA still have a comparable gross revenue as puma and alot more than lulu at current time. I understand virus will affect the stock, but it seems it is oversold. some smart investor/institution may just pick up shares at this level and make huge profit later",0.9754
2786,Buy or not buy? How low do you think this will go?,0.181
2787,"2019 will be a good 3 to 4 dollar rise in stock for sure. U.S. military and elite colleges lime Notre Dame and Wisconsin are buying the sportswear. High Schools and police dept are also stocking up across U.S. Also, dead beat execs got fired and replaced with young ambitious execs. Get ready for a nice ride up!!! I called it last year and made 50pct on this bad boy!!!",0.9003
2788,UA is down -4.94% to 19.53,-0.2462
2789,Nice volume today this is going to breakout into the $20s real soon. WE KNOW,0.8967
2790,so cheap it to buy,0.4523
2791,opening bell on Wednesday crashing below $9 downgrade coming,-0.4045
2792,"How does it feel to be a bagholder for this awful stock? Seriously, you clowns have no idea whether this junk will go up or down on any given day. You have Jordan Spieth on the payola plan and he choked at the Masters' tournament. Yeah, he's a good guy and he had a good last round, but he lost and you are paying for that.Let me tell what it's like. Your company is evil and hires untold legions of MBAs and marketing analysts to try and brainwash my kids into buying your Chinese made junk. Your junk is no different from any other junk. Huge markup, big sweatshops in Asia, sexy marketing that tries to tell kids that they are inadequate unless they wear UnderwAre junk.This is a flea market junk company from top to bottom. Huge payoffs to professionals, the message being that, ""if you wear our junk, you can be Jordan Speith.""Do you not realize that this is a ten thousand year old marketing scam that tries to brainwash the young using simplistic and evil, predatory tactics?Is it really worth a few bucks to hawk this junk to impressionable young people and use their insecurities to enrich yourselves?Funny how longs in junk stocks such as this try to take the high road and pimp this stock as something worthwhile.I really, truly hope you lose huge amounts of money, first by using Asian slaves to produce your junk, and secondly for trying to brainwash my kids. I have millions of dollars in the bank, so don't try to paint me as a desperate short or a troll or a wannabee, or whatever.I hope you lose your entire investment. This is a sin stock, probably as bad as, or worse than cigarettes and/or alcohol. A genuinely reprehensible company bent on push marketing to the impressionable young.",-0.94
2793,"I see no comments/opinions about Kevin Plank making positive statements regarding sales being solid for 2016 but behind closed doors the writing was on the wall in red that the company's forecast would not meet the projected numbers and Plank sold his personal UA stock that in the end mislead the stockholders. My opinion on Kevin Plank has changed 100%. Not even sure I want to wear his clothes anymore. As of today, the company isn't paying their bills and they're holding onto cash. Another sign of trouble the company is selling their clothes at Kohls...in my opinion that's like selling their clothes in Walmart. The company is in trouble because greed took over.",0.0863
2794,sees 19 before 13,0.0254
2795,another problem for UA is durability of their clothes ...,-0.3576
2796,Don't know what is holding this up. Too many questions to hold onto this stock. Maybe pump and dump.,0.5012
2797,Investigation take a toll. Back to 7s,-0.1928
2798,"When will the board wake up and fire Kevin Plank. He thinks he can out talk all the problems, this guy never shuts up and listens.",0.3346
2799,"UnderArmour provides a totally different inventory at discount retailers as opposed to #$%$?s, etc. The ?not protecting their brand? argument is stupid. Nike, Reebok, and Adidas do the same #$%$...",-0.6308
2800,imho this will do great imho,0.5973
2801,John is just talking to himself at this point.,0.2488
2802,Steven Curry's actions on the court seem to reflect the values and actions of this company. Pitiful just pitiful!!,-0.2412
2803,"Reality always sets in, they reported a huge loss, estimates are estimates",-0.1367
2804,This should be trading north of 50 Let’s go,0.6109
2805,looking at next HMNY?,-0.015
2806,Not sure if it can pop above 18.5 but any 18(s) is fine.,0.6406
2807,More Downgrades! Ouch!,-0.7227
2808,I wish they could force him to sell his mansion,0.2763
2809,Not to mention cooking the books alegations,0.0393
2810,Jim Cramer: I Do Want to Own Under Armour's Stock,0.4036
2811,History will not be the same.....Stephen Curry will take NBA Championship 2017. UAA is set for the rest of the year. or perhaps next 10 years.,0.7969
2812,New high for a long time!!!!,0.7534
2813,Antarug000 be patient stock friend I'm in at 19 not worrying at all.. I still think Amazon going to buy this company,0.7467
2814,Done. Will go bankrupt.,-0.6055
2815,"Now that Plank is out, when the economy recovers, look out Nike...",0.0839
2816,"Any thoughts fellow shareholders on our guy ""Spaceman Plank"" after our 22% drop in share price???????",0.7072
2817,Holding 10k shares at $8. Let’s go UA!!!,0.6833
2818,Sure doesn't look very promising.Downgrade Macquarie: Neutral to Underperform 1/16/2018Downgrade Susquehanna: Neutral to Negative 1/9/2018,-0.5781
2819,Hate of NIKE wont make this stock a better option. I love people who make emotional decisions over intellectual ones. Just Do It Nike. NIKE UP Up and Away,0.917
2820,Today dumped all my 401K holdings ...,-0.3252
2821,no brainer SKLN. read tucson med ctr article,0.1845
2822,I’m in Paris right now and the truth is retail is booming here not dead like America. Seriously people are out buying buying buying. And UA is growing here seeing a lot more people wearing it this year then last winter.,0.7097
2823,gdhsgshshsbsbz Just sooooooo mad from 50 dollars to 20 When I invested I thought I would make my money back GUESS NOT I LOST SOO MUCH MONEY,0.5149
2824,RetiredR John is shorting the stock this why he post all the bad or negative opions,-0.7319
2825,"need this to break, to initiate long position.",0.4131
2826,How long before Plank sells this company?,0.5242
2827,UA headed to $10So overpriced!,-0.0798
2828,"like I said last month..all you Mo Mo's are looking at PE's and multiple's and earning all when everyone going to get it ...it's all about emotion..if they say "" Hey the Outlook looks grood ....even tho it's BS "" the stock goes up ! if they give conservative statement..the stock goes down ..UA not going anywhere either way...I bought I'm at 19 not even worried in the least ..I hope the goes down b/c hostile take over will come ...if plank thinks he can turn it around then will have to hang on to stock longer",0.7184
2829,UA reached a 52 Week low at 12.05,-0.1464
2830,I guess the good news was priced in. I can wait but Wall Street hates to see this company thrive,-0.0595
2831,http://www.businessinsider.com/steph-curry-exposes-under-armour-flaw-2017-10,0.0
2832,"SCARY SCARY CRASH CRASH BELOW $9 COMING DOWN GRADE COMING THEN WATCHTHIS FREEFALL OVER THECLIFFANDCRASHAND CRASH AND KEEP ON CRASHINGBELOW $ 9 ,GET OUTOUT BEFORE EVEYONESTAT TO SELL ANDDUMP DUMP THIERSHARES BELOW $9",-0.9801
2833,"Steph Curry wins the NBA Finals, Spieth wins two majors, Aaron Judge is the clear favorite for ROY. These are players who are elevating the brand. With its MLB deal coming into effect in a couple years, UA WILL go up!",0.9424
2834,I keep this stock only as reminder of my mistake in buying it a few years ago.,0.3225
2835,But it’s the truth.........,0.0222
2836,WAYYYYYYY too expensive Short at 20.40 GL,-0.0374
2837,UAA is down 6.28% to 13.74,-0.2462
2838,UA is an easy double by the end of the year,0.597
2839,"UA has an image problem and that problem is being corny. Let's look at two advertising campaigns that they flouted without shame which were/are cringe-inducing and embarrassing. Protect This HouseOkay, whose house? My house or Uncle Jesse's? What message is UA trying to convey with ""Protect this House?"" I'd protect Uncle Jesse's house but he's already got a shotgun and he's often drunk. In any case, this slogan is corny and confusing. The Only Way Is Through Another embarrassing slogan. The average consumer of UA products isn't going through anything unless it's the doors of a McDonald's restaurant. UA lacks the critical ability to identify its core consumer because they're not athletes. They're average Joes and Janes who just want something cool to wear. Unfortunately, UA as a brand is not cool when their branding is this corny. UA's sneakers are also corny. Listen to the kids on the street. No one buys UA sneakers for this reason. Why buy UA when Nike and Adidas are what's cool with aesthetic designs that don't look like they were designed by Romper Room kids?",0.6883
2840,Bank of America Lowered Under Armour Price Target From $21 To $12 In Conjunction With Downgrade From Neutral To Underperform On North America Weakness - we should ask him why,-0.3303
2841,Plank was cooking the books. Absolute solid quarter and that dimwit ruined it...,0.0769
2842,Starting to think our only hope is for someone to buy us out.,0.7129
2843,"Do know if anyone else has noticed, but I see UA apparel much more in the gym at the work place. It is obvious that sales ave to be up this quarter. Question is, did ASP go down to sell the merchandise?",0.6532
2844,Time to nibble.,0.2067
2845,UA is up 6.86% to 9.35,0.1818
2846,just added 10000 shares.. Easy money making,0.4514
2847,look out below. Not good.,0.3762
2848,PE 98-No Thanks.,0.5945
2849,"Revenue up, international sales up, North America sale up, the stock should be upgraded",0.8776
2850,loving ua not the stock but the fact that I can clothe my family for nothing with its discounted product line.,0.821
2851,"Stock will trade back down to $20, take your money while you can.",0.2221
2852,forward pe of 117 right now and they are expecting revenue to decline 50%!!!!,-0.3742
2853,"Estimates are just Guesstimates, have nothing to do revenues or company value!!",0.6334
2854,lots of Class Action Lawsuit against Under Armour. Stay away for now.,-0.3701
2855,Time to take my profits and wait on 16 to buy back in.,0.6569
2856,As long as Curry is running up and down the court in the NBA finals UA will continue to climb.,0.787
2857,ua is going to have a killer Q4,-0.6444
2858,Look out below!,-0.2042
2859,Hope UA sells scuba gear...Cauz its going under today,0.4725
2860,Sam Poser gave a $11 target ... amazing,0.5438
2861,manipulation expected,-0.296
2862,$19 in February.....,-0.0397
2863,Thanks NKE! ,0.4926
2864,"Under Armour doing what it does best, following instead of innovating. I'm done",0.7666
2865,with the price action today I am cautiously optimistic about tomorrow's earnings. going up when the market is going down leading into your earnings report feels like good news. a beat? a beat w/ a revision of future earnings upward? i'll take it. #fingerscrossed,0.946
2866,An activist investor needs to come in here. There is absolutely no reason or excuse for a company with the best technology in the industry to be losing money at this stage of the life cycle.,0.3413
2867,UA is still languishing in the teen's. I remember back in 2015/2016 I was trading UA stock options in the low 40s. This company is too inconsistent to seriously consider adding to an investment portfolio.,0.1641
2868,"This brand is a train wreck. Massive attrition of employees and leadership (both forced out and quietly leaving), zero product innovation and constant failure to ignite North America under the current MD. Frisk is not a brand guy, so looking at next Reebok.Too bad as they had a shot to be great; now just another athletic brand that has no energy nor real growth in next 18-24 months.",0.9143
2869,drip drip drip splash splash splash gush gush gush=money being sucked out of this stock,-0.1557
2870,Misty Copeland...what revenue stream does she create? Cut her loose!,-0.0761
2871,"The Dow might get back in the 23,000 mark by the end of next week. This might be a worse month than October.",-0.3387
2872,Closes around $17,-0.1181
2873,I think $35-$40 year end back in 60s next year,0.0055
2874,just a matter of time before ua/uaa turns around.. been to 3 ua outlet in nj and all of them have 50% off the entire store.. yes margin will shrink but offset by sales. many retail stocks took a beating last qrt and now only the top name brands (that aren t located in malls and depending of mall traffic) just a matter of time with ua.. i have slowly started to buy uaa .. glta,0.6443
2875,"Hey Mike, Heres an article for you!",0.66
2876,"Under Armour is closing all of their stores? No difference, they’re all empty anyways. Disclosure: I’m long 2,000 shares unfortunately.",-0.4924
2877,Worse Case scenario: if the investigation will find the company is at fault. Who will take the fall?1: CEO/former will be locked in jail2: Reinstatement of Earnings3: CPA firms that did could face penalties if they did in collaboration with management 4: Stock will fall another 20%. Probably to $12-$13 level It is high risk investments. But payoffs could be huge for long. These are scenarios that in my head now.,0.4702
2878,Stock price should be at 30$,0.3168
2879,"Love the risk/reward here. #$%$ and Nike both delivering blowout quarters bodes well. With a market cap at 4.6B vs. NKE at 200B you have to think this is getting attractive from an M&A perspective. Obviously there is a management issue but they still have the best products and no one is buying ""work"" clothes anymore. I recently purchased some items off their website and their new $80 T shirts (!!) are sold out. Loaded up on some call options for the quarter.",0.9726
2880,This is looking good we are building support at 22$.,0.7827
2881,"Gonna go to 12 like i said before, end of the year up",0.4737
2882,CFO is not up to the task of public co. Wholly unprepared for conf call. Still working on long term model and 'assessing' future profitability? hopefully lone pine has the wherewithal to replace this turkey asap. no reason to own uaa for 12-18 months absent some activism.,0.7968
2883,What is this down pre market,0.0051
2884,I would like to thank Mr Plank and star endorsers like Steph Curry who made my put position I closed this morning the most profitable trade of the year so far. Seldom have I been able to count on leadership to consistently work against the stock price the way these two have . . .,0.927
2885,Let’s go!!! $18-20,-0.2216
2886,Under Armour's Tom Brady tonight?$gme $amc $bb $doge,-0.0903
2887,"I lost over $500,000 a year ago when it went from the 40s to 20s and the drop has not stopped since. I bet it will go even lower to single digit.",-0.7821
2888,HOVRs - why don't they make more? I tried many times and couldn't get one !,-0.222
2889,funny when hits almost 15 bucks we get so excited lmao,0.859
2890,"Feb 08, 2021Tom Brady is one of the leading spokespeople for Under Armour, and he's not in the business of giving free PR to the brand's competitors.Brady and the Tampa Bay Buccaneers beat out Patrick Mahomes' Kansas City Chiefs to win Super Bowl LV Sunday night. As the 43-year-old quarterback hoisted the Vince Lombardi Trophy for the seventh time in his esteemed career, he caught a glimpse of himself on the stadium's video board.Tom Brady is an Under Armour ambassador, and he's fiercely loyal to the sports apparel brand.After he won Super Bowl LV, the Buccaneers QB acted shrewdly to snub one of Under Armour's competitors.Brady noticed a Nike swoosh visible on his undershirt, so he pulled up his championship T-shirt to cover it up.",0.9929
2891,Does UA have the MLB deal or not? I read that Nike has it.,0.2566
2892,"Just getting ready for the Big pullback, elevator going DOWN",0.345
2893,Seems cheap to me.,0.3422
2894,"So, on the day the DOW hits 21,000, Under Armor (stock symbol POS), is actually negative and in the red.Simply fricking unbelievable.Kevin Plan is simply the WORST CEO EVER of any American Company.Kevin - if you committed suicide TODAY, the stock price would jump 20%.....easy.Kevin - please consider taking care of your shareholders and doing the right thing.",0.3254
2895,Shorted the junk today ...,-0.2078
2896,cut losses now!!,-0.6465
2897,Stifel just Upgraded to Buy from Hold. Target moves to $17. Expect this to be the first of many. And institutional investors love to see re-rating opportunities like this. Each upgrade is a catalyst for the upside.,0.9447
2898,"When you look at Under Armour and Foot Locker they have high domestic exposure, Malls are dead,Kohl's is empty and more Sports Outlets are filing for Bankruptcy,just can't compete with likes of Amazon and other online retailers,more and more looking like the JCP and Sears story here which were both much bigger than UA!",0.7727
2899,I really expected this stock to surge this morning,0.4973
2900,What is the cost basis of the share of stock that was given as a result of a lawsuit? It surely can't be zero since it would be reducing the value of the company. I can't seem to figure it out. It won't amount to much.,0.7487
2901,Why is UA up when GDP is down. And unemployment up,-0.5898
2902,"Keep going down, bought some this morning...ready to buy more.",0.1301
2903,Im in,0.1391
2904,UA is up 6.72% to 8.89,0.1818
2905,ouch,-0.5371
2906,"After reading about their attempt to get out of the Cal praetorship, it's pretty clear on two fronts: to make that type of argument shows how little money they have on hand cause it is a massive reach in particular in the state of California, which probably explains how little marketing they do. Second, hire bad people, get bad results. Frisk and his team can't be this bad, but they keep proving it so.",0.5641
2907,Teens are abandoning Under Armour in droves — and it's turning into a huge crisis for the brand,-0.6816
2908,UA is correcting big time. i am watching until it hits below 6.,-0.334
2909,Went skiing this weekend and just about every other kid was wearing an under armour sweater.,0.3832
2910,A 100 DOLLAR A SHARE 2 YEARS AGO!!!!!!!!!!!!!!??????????????????NOW 11 BUCKS???????????????????????????????????????????????????????????????????????????????????????????????????????????????????????/////,0.6092
2911,"This stock was $ 100 in 2015... Now is $ 15. It is very cheap and with today's good earning, it can easy go up to $50.",0.8785
2912,Guidance will tell the story. I think they are still hurting from the downfall of Sports Authority and I don't expect top line numbers to come in where expected. I'm thinking a better entry position will occur after tomorrow's announcement.,0.4274
2913,Is UA going bankrupt?,-0.5574
2914,Time for UA to get rid of spoiled brat Curry,-0.0307
2915,Good point on Amazon buying UA never thought of that angle ... change tick from UA to UW ..Under Water,0.5036
2916,need to see close 23.5x-13.6x to be believer to 29-30 by EOY,0.3355
2917,Looking for some of the best stock picks on the market? You need to Goo_ogle .awe.some.stocks. right now then! .,0.7771
2918,"Unfortunately if you don't sell today you can count on a down day (Friday) in the Market before the weekend and you can expect to see $17.'s from UA,sorry for more bad news,just sayin'",-0.657
2919,"K Plank TALKs a good game .... but, kids and sports enthusiasts do not buy the stock(UAA/UA) nor do they buy expensive pajamas?? .... Place your bid on eBay, but don't overbid .... it's just clothinghttp://www.ebay.com/sch/i.html?_nkw=under+armour+pajamas",0.8912
2920,UAA is down 4.92% to 21.07,-0.2462
2921,Gong to be an interesting day. Read this article https://www.cnbc.com/2019/11/03/under-armour-is-the-subject-of-a-federal-accounting-probe-wsj-reports.htmlThe feds are looking into UA accounting practice. Nicely timed for Monday morning.,0.736
2922,missed this move...we'll see how December treats UA,-0.278
2923,"this is one of the worst boards I've seen..., just saying...",-0.4439
2924,"I'm playing UA, DIS, and M long term. Very long term. Hope I dont get burned.",0.8404
2925,"UAA), currently trading for $8.85, to continue having problems.Stay away from this stock and consider buying Nike Inc. (NYSE: NKE) instead.",0.6022
2926,"Holy goodness, someone at Motley Fool HATES Under Armour!! Either that or there are a lot of worried shorters of the stock out there who thought UA was going to bottom @ $15 and instead are losing a TON of $$$ because it's looking more likely to end up @ $25 as the months go on. Poetic justice for those who thought it was the longs who were ""holding the bag!""",0.841
2927,o still think Amazon going to buy them or partner up,0.7284
2928,"Seem to always beat the analysts, but will tank on big quarterly loss report",-0.5595
2929,Will test lows at close then slow drip downward into $14.'s! Not catching a falling knife here!,-0.8607
2930,"BAT Tax! If Plank is ready to embrace Trump, it’s not clear if his company is ready to fully embrace American manufacturing. Under Armour’s latest annual report shows that its products are mostly made elsewhere – primarily China, Jordan, Vietnam and Indonesia,that doesn't bode well for the new 20% Border Tax Trump just passed!",0.872
2931,"Buying opportunity girls!!Congressmen (both Democrats and Republicans), Independents, economists, Fortune 500 companies and Wall Street ALL agree that these tariffs are sheer stupidity!The only people on board with these tariffs are people in trailer parks, #$%$ rallies and the Kremlin.Just like everything else the Orange Buffoon in his personal and business life these tariffs will also fail ""bigly"".BUY! BUY! BUY!",0.9136
2932,"If it hits 23 again i'm a buy for the long. It has to go up 10+ over the next couple years, right?",0.5702
2933,"UCLA hit the SKID- First 3 Ballers shop lifted on the other side of the PLANET EARTH last week.This week UCLA associated with another LOOSER Kein Plank by honoring him with Anderson School of Business (MBA program) and John Wooden....LOS ANGELES, Nov. 14, 2017 /PRNewswire/ -- UCLA Anderson School of Management honored Under Armour founder, chairman and CEO Kevin Plank Monday with the 2017 John Wooden Global Leadership Award at a gala dinner at UCLA's Pauley Pavilion.Now marking its 10th year, the award is named for legendary UCLA basketball coach, author and leadership expert John Wooden (1910–2010). It is given each year to an exceptional U.S. business leader whose leadership style and service to the community reflect the same high standards of performance, integrity and ethical values set by Wooden.",0.9912
2934,"EVEN I THINK SPORT ACTIVE WEAR IS UGLY AND OUT OUT DATE NOW .SERIUOSLY YOU CALL THAT FASHIONABLE,I WEAR MY NICE PAIR OF JEANS OR PANTS (AND I DON'T MEAN SHORTS ) AND NICE SHIRT(A I DON'T MEAN T- SHIRT ) TO GO OUT NOW NOW .I WOULD NEVER EVER WEAR SPORT ACTIVE WEAR TO GO TO THE MALL LET ALONE GOING OUT TO EAT LUNCH OR DINNER. SPORT ACTICE WEAR AND RUUNING SHOE IS SO SO SO SO OLDFASHION OUT OF DATE OUT OF TREND FORTHELAST 2 TO 3 YEARS ONLY TIME I WEAR MY SPORT ACTIVE WEAR IS WHEN IM DOING MY EXERCISE AND ONLY MY EXERCISE, I WOULD NEVER BECAUGHT WEARNGMY SPORT ACTIVE EVEN GOING THE MALL.YOULOOK SO SO SO SO LOW CLASS.BIG BIG BIG OVER SIZE BAGGY T-SHIRT WITH BIG BIG OVER SIZE SHORTS OR PANTS AND STRAIGHT BASEBALL CAP,YOU LOOKAND DRESS LIKE LIKE YOUR FROM THE GHETTO",0.9857
2935,Women wearing lululemon are feeling much better while getting paid higher salaries $TSLA $CMG $AMZN $UA $ZM $NKE,0.7003
2936,"all retailers are in a downtrend (or in a best case scenario they are trading near the bottom), so earnings does not matter. Speaking seriously UA is a bit overvalued in 30-35 price range vs. average retailer. UA was priced for faster growth (not just for growth itelf but for a FASTER growth). It is a typical the WS game that difficult to comply for an ordinary joe. I consider buying UA in low $20s.",0.5859
2937,I bought UA @19.65. did i buy the wrong stock? what is this?,-0.2574
2938,Will the price shoot up Monday considering under armour makes the astronaut uniform for virgin galactic? Virgin Galactic had a successful test flight into space today.,0.3214
2939,i curse the #$%$ day i ever bought this piece of #$%$. bull#$%$!,-0.5122
2940,thanks to the CEO this company is tanking,0.1533
2941,"BuzzFeedNews : People Are Threatening To Boycott Under Armour After Its CEO Praised Trump,what's that gonna do for an already hurting business? Ouch!",-0.7846
2942,why is there only 1 analyst covering UA?,0.3257
2943,Like to buy Uaa in my rrif account any advice from long time investors I am 71,0.7283
2944,"buy. FRED. profits. 475 million sales 1.8 billion, 36 million shares. $18. trading below 3",0.6885
2945,going to tank hard tomorrow !!!,-0.5975
2946,if todays trading hasn't shown you that these upgrades are bogus to the thinking inv nothing but losses will,-0.5655
2947,"Watch for capitulation,dead cat bounces will come and go!",0.2149
2948,And Apple even beat expectations!!!,0.5195
2949,https://www.marketwatch.com/story/under-armours-the-rock-shoes-sell-out-in-30-mins-2018-06-05,0.0
2950,Now you must pay out of your own pocket for champagne room. Beeeee. jays!! Lol,0.8289
2951,UA shoes are amongst the ugliest hideous shoes on the market. I would never drop over $100 for them. Can these guys really not afford some good shoe designers to make their shoes? Shees Adidas is eating their lunch right now in the shoe game,-0.0779
2952,maybe someone finally said something good about the company,0.7007
2953,Macys will die gradually too,-0.6787
2954,Dumped all here ...,-0.4507
2955,"Just to tell some of you how much people like UA stuff. I sold a grandchild's polo type UA shirt on Ebay for $23. That is just about how much it cost new. I will be looking soon for some athletic shoes at Academy Sports. as mine are starting to look a little rusty. I love UA stuff. When I fell a few years ago and broke a rib and punctured a lung and the hospital asked if they should cut off my shirt or if I could pull it off, I told them I would get it off since I had ordered a jacket to match and hadn't received it yet. I am a devoted UA lover of UA stylish stuff and I always get compliments. Go Kevin Plank. This stock will rebound.",0.9808
2956,"I’m not in UA as of a couple of years ago. I do think it’ll come back. The bald guy on CNBC is regularly wrong. Five years ago: “I like UA because it’s a tech company, not a clothing company.” Today, he says it’s not a good investment. I just heard him say he likes Tesla because it’s, “not a car company, it’s a tech company.” Five years ago he hated Tesla. Don’t listen to that but. Learn to do technical analysis, pair it with fundamentals, and you’ll do fine.",0.7868
2957,UAA is down 4.92% to 22.33,-0.2462
