,Recent headlines and conversations for GS,Polarity
1835,Breaking News: Second Hunter Biden laptop seized by the FBI in February!,-0.5132
1836,"no stimulus.....McConnell and conservatives standing firm....will not agree to bailing out NY, CA, ILL, Ore.....and the airlines.....good....let people who waste money figure out away to get it back on their own....also, let airlines go bankrupt....the smart ones ALaska Air, S West will survive....if not...nationalize them like Britian, France, Italy, Isreal, et.....waiting for any dip below 200. to load up here...already long MS and AB.",0.3752
1837,"Fact-Checker Needed. I think this might be the first time in stock market history that you could have a Bear Market bookended by two 10%+ Corrections in a one year time span. If there is no Trade Deal w/China, or Trump slaps 25% tariffs on European autos in the next 2-3 weeks, it's probably a fait accompli. Trump's advisors are telling him the Trade toughness plays well w/his base, but I think he loses both Ohio and Michigan and probably Pennsylvania because of it. It will play well w/the die-hard portion of his base, but shrink his base overall to about 35% or slightly less IMO.",0.9068
1838,How does a Bidden win and more regulations help Banks ? Warren is going be a big problem....NO ?,0.8362
1839,"big troubleWorldIsrael will be destroyed in half an hour if America attacks Iran: senior Iranian MPReuters Reuters 1 hour 44 minutes ago Reactions Reblog on Tumblr Share Tweet EmailGENEVA (Reuters) - Israel will be destroyed in half an hour if the United States attacks Iran, a senior Iranian parliamentarian said on Monday, according to the semi-official Mehr news agency.Weeks of tensions culminated last month in U.S. President Donald Trump's last-minute decision to call off planned strikes on Iran after Tehran downed a U.S. drone. Washington also accused Iran of being behind attacks on ships in the Gulf, which Tehran denies.""If the U.S. attacks us, only half an hour will remain of Israel's lifespan,"" Mojtaba Zolnour, the chairman of the Iranian parliament's National Security and Foreign Policy commission said on Monday, according to Mehr.(Reporting By Babak Dehghanpisheh; Editing by Raissa Kasolowsky)",-0.9534
1840,"GAWD SHE IS SOMETHING""If people want to really blow up one figure here or one word there, I would argue that they're missing the forest for the trees,"" she said to Cooper. ""I think that there's a lot of people more concerned about being precisely, factually, and semantically correct than about being morally right.""Here's the thing: Being factually accurate and morally right isn't an either/or situation. You can do both!And as it relates to the broader point Ocasio-Cortez is raising, which is, essentially, you know what I meant, so stop obsessing over a single data point, I would respond this way: Would she -- or any Democrat -- say the same about the White House's made-up fact that upwards of 4,000 known or suspected terrorists have attempted to enter the US illegally through the southern border?",0.3774
1841,Getting closer to the $212-$214 buy point after head and shoulders pattern confirmation -that distance from top of head to neckline will equal fall from neckline. Will have a forward PE of 8.2 at $212. Guessing Buffett picking up more shares at this value price. Q3 Earning call coming soon.,0.3517
1842,Senile Joe stumbles again.,0.6017
1843,SHEP. HERE................... Unreal to beat by so much and have the stock be down 6.81. Traders were buying junk like those that don't make money like Doordash. All you need to deliver is a bike and a phone.,0.6794
1844,"No ONEAnd I do mean NO ONEBelieves The Donald's Empty ThreatsJust a BIG MOUTH talking from both sides""YUP, No more threat of Govt shutdown if Wall Money is not allocated""Any wonder why Kim Jung Un...Indeed the entire World CommunityDoes NOT take him seriouslyYESEven they are beginning to understand the EMPTY DONNIEAll EXCEPT his UNeducated White Supremacist supportersTHE EMPTY PROMISESWaiting for the DACA moment next weekFORE",-0.9088
1845,"What is really scary even after today's drop it is still extremely overvalued. I never understood how we got above Dow 18K. I voted for Mr. Trump but W.S.'s perception of him is largely based on hype not fact. Yes, we still make much of our autos in Mexico and China.",0.2659
1846,Treasury official: No recommendations made on tariffs,-0.1007
1847,"Investment banks like GS I believe are in the most fertile soil to thrive and grow right now out of all the industries in the stock universe. I have been rotating more and more capital into names in this industry as time has gone on. Rising rates are rocket fuel for banks in general. I think that GS is the best positioned investment bank out of all of them though to thrive right now. And they still trade at a significant discount to fair value even at these levels. I fully expect this name to go above 400 over the long haul and then on toward 500. For several years this name went nowhere for me but that is no longer the case and I'm glad I was patient enough to be rewarded. Bottom line, if you have no patience, you will never make money in the stock market. You have to absolutely have unwavering conviction in a name when you first buy into it. GS is a giant and very well suited to survive even the toughest times. This company is tough as nails. That's what I like to see in a name. Buy all the dips in this name.",0.9889
1848,Is there a way to find out how much they are shorting or how many shares they picked up of $NIO AFTER the downgrade report? they should be investigated for insider trading or blatant manipulation,0.2364
1849,RUMORS THERE ARE 4 HEDGE FUND THAT ARE MANIPULATING THE MARKET WITH BUY PROGRAM...I KNEW IT I KNEW IT!,-0.2385
1850,$NIOtestes 1-2-3,0.0
1851,Donnie voted IN-PERSON...Melania voted by MAILToo busy as she starts packing...For WH exit in January...Or even as early as November 4VOTE BIDEN-HARRISFor the sake of our countryAnd Return toGlobal Leadership,0.3972
1852,"160 by Christmas, trade accordingly",0.2727
1853,Elon Musk is the best CEO,0.796
1854,Mafia behind GS pump,0.0321
1855,"Think they are gonna keep the foot on the gas of forced liquidation until all the bad actor hedge funds w/excessive leverage are weeded out. They supposedly did that in 2008-2009, but it came back as funds have tried to outperform in years of low volatility since then fighting for mere basis point advantages over the index funds and other competitors. Gonna be interesting to see the names that fail, because this purge will have no mercy and no one will be saved like the airlines and oil industry will. It won't be the Lehman and Bear Stearns and Washington Mutuals, etc. It won't be GS or MS or BAC. It will be hedge funds, risk parity and those funds on the wrong side of Oil, The VIX, interest rates, high yield and junk debt, even equities, in an over-leveraged way. Think we are in about the second inning. Separately, big oil will be saved, but almost every oil driller and oil service firm will have to financially restructure outside of a handful of market leaders.",-0.0627
1856,$NIO make fei fang famous and get him fired,-0.4888
1857,"TRUMP TWEET, I ONLY CARE ABOUT THE STOCK MARKET FOR THE ELECTIONS",0.6437
1858,"Brought to you by none other than AOC, there now may be hope for those afflicted with terminal TDS:Rep. Alexandria Ocasio-Cortez. “I think we have a very real risk of losing the Presidency to Donald Trump.” I agree, and that is the only reason they play the impeach card, which cannot be legally used!""",0.5136
1859,245 tomorrow!,0.0775
1860,JP gone?,0.368
1861,TRUMP TWEET IAM THE MACHO MAN AND CLAIMS TOTAL AUTHORITY OVER STATESDECLARES 'MUTINY',-0.1721
1862,"Will Donnie bring up the Stock Marketin tonights SOTUDown 600 in 2 daysAnd headed lower...MUCH LOWEROH WELL...Keep jawboning the markets, Donnie",0.2087
1863,Gs gonna bring down the banking index next week?,-0.3845
1864,WE ARE THE WEIMAR REPUBLIC REVISITED! HAVE YOU LOOKED AT THE NATIONAL DEBT LATELEY?,-0.1494
1865,"MANIPULATION OF GS BY HIS TRADING DESK,GET THE SEC HERE",-0.2408
1866,"Mnuchen engaged in the worst kinds of practices on Wall Street and directly hurt thousands of working families,” said Warren. “And now, Donald Trump wants to literally hand him the keys to the Treasury where he can make big banks even richer at the expense of America’s families.”",0.495
1867,"Invest in Silver the poor peoples gold and, look into collectibles that are part of the worlds history. Undocumented should not be getting Social Net Benefits when, the poor and middle class citizen's can't have the same household income. So the Democrats are in charge of the House now, let's see if they fix this racial inequity between citizen's and undocumented MONEY. How about it NAACP and Other Civil Rights Legal Groups, isn't this what your all about the EQUALITY FOR ALL aspect of our country ?????. On the wall issue, how come O'Bama/Clinton/and most wealthy people can have them for safety reasons and our country can't (EXPLAIN THAT TO ALL ON NATIONAL TV) ????? Think about it. God Bless The USA.",0.899
1868,Fearing EVICTION...With TV crews presentMelania tells Donnie...Start packing for Mar-a-LagoDon't plan on returning...TO WHITE HOUSE,-0.5962
1869,The Lying Donald's hand-picked National Security Advisor...John Bolton was on TV...and cited the 'Libyan model'...For Kim Jong UnToday...Donnie disses the 'Libyan model'...Is Bolton now on a short leash...And MOUTH permamnently zippedUntil he becomes...THE NEXT CASUALTY of Lying Donald's Hand-picked Cabinet,-0.9073
1870,Victims are many,-0.3228
1871,"ProLife Is The New Cool!!!!! Get On Board The Trump Train Tiny Unborn Children For The Ride TO YOUR LIVES. Even BLM Has Just Realized They Had To Take Down Their ""What We Want"" Part Of Their Website Because Violence And PP Doesn't 'Play' Very Well Anymore To The Increasing ProLife Values Of The American Electorate. May President Trump's Strength Always Increase...",0.8701
1872,"SHARINGThanks in part to a historically successful night for the majority-Arab Joint List party, Netanyahu still lacks a clear path to forming a governing coalition. That’s the same position he was in both before and after the first two elections of the past year. In some ways, we’re right back where we started.The bad news: Even with Netanyahu on the brink of standing trial for corruption, his opponents were unable to deliver a political knockout blow. That means that, whether he succeeds in forming a government, whether his opponents somehow manage to form a government or whether Israel heads to an astounding fourth election, he likely will remain in power as prime minister for at least the next few months.It means that the chances are still very high that, with a green light from President Trump and in coordination with Ambassador Friedman, Netanyahu will take steps at some point in the coming weeks to advance illegal, unilateral annexations of Palestinian territory in the West Bank.That’s why our work leading the fight against annexation is now more important than ever. It’s why we’re pushing Congress, presidential candidates and Jewish leaders across the country to stand up against annexation and settlement expansion. It’s why we’re leading a campaign to make sure the Democratic platform commits to supporting Israeli security AND opposing the occupation.And it’s why we’re reaching out to ask for your support to make sure that we succeed. Please chip in what you can to help us build urgent opposition to any move by Netanyahu that could permanently damage prospects for Israeli-Palestinian peace.",0.995
1873,De Blasio Roasts AOC Over Her Naive Economic Mistakes in Logic and Arithmetic ... Not to Also Mention The Disastrous Fallout to NYC D' Politicians.https://www-foxnews-com.cdn.ampproject.org/v/s/www.foxnews.com/politics/de-blasio-ocasio-cortex-claim-spending-amazon-tax-break-money.amp?amp_js_v=a2&amp_gsa=1#referrer=https%3A%2F%2Fwww.google.com&amp_tf=From%20%251%24s&ampshare=https%3A%2F%2Fwww.foxnews.com%2Fpolitics%2Fde-blasio-ocasio-cortex-claim-spending-amazon-tax-break-money,-0.9061
1874,"CHASERS WILL BURN IN THIS STOCK BUBBLE!The US Stocks are EXTREMELY OVERVALUED and OVERBOUGHT!SELL ALL US Stocks in this TULIP MANIA BUBBLE! The Valuations are ABSURD and IMPOSSIBLE TO JUSTIFY!INFLATION IS SKYROCKETING as the FED continues to PUMP the Price of everything, stocks, oil, gold, home, land, commodities, utilities, food prices and everything!The World Economy is Collapsing, people are starving, but the US Market Makers are too busy in printing money and PUMPING the Stock prices Artificially to make insiders trillionaire without working!Enjoy Free Capital Gains in the US Stock Market while the Corporate Revenues are tanking and the Economy is Collapsing! US Stock Market is a “GET QUICK RICH” Scheme!Dow Jones Industrial Average (^DJI) was 17,000 in 2016, with better economic fundamentals and higher corporate earnings. However, thanks to the Collapsing Economy, Coronavirus Pandemic, Tanking Corporate revenues and earnings, Skyrocketing unemployment, Trade Wars, Record INFLATION levels, and Heavy Stock Dilutions, Dow Jones Industrial Average (^DJI) BUBBLE has almost Doubled! S&P 500 (^GSPC) was at 1600.00 with better fundamentals and higher corporate earnings in 2016. Now it is sitting at ABSURD 3800.00 with TERRIBLE Fundamentals, Collapsing Economy, HEAVIER Corporate and National Debt and way lower corporate revenues and earnings!The World Countries are refusing to accept the US Dollar as international reserve currency due to the HEAVY Dollar PRINTING!US Stocks are INSANELY OVERVALUED and OVERBOUGHT! US Stock Market is a MEGA BUBBLE right now!!!https://www.reuters.com/article/markets-survey-bofa-int/bitcoin-us-tech-stocks-seen-as-biggest-market-bubbles-investor-surveys-idUSKBN29O0UE$AMD $NVDA $AMZN $AAPL $SQ $SHOP $SNAP $TWLO $CRM $ROKU $ADBE $DB $BAC $JPM $MS $GS $TWTR $TSLA $IBM $INTC $MSFT $GOOG $LMT $BA $TXN $NXPI $LRCX $NKE $DIS $EBAY $X $MA $V $S $T $F $GM $NFLX $CSCO $CAT $MMM $SBUX $TGT $WMT $ATVI $EA $TTWO $MCD $AVGO $JNJ $BIDU $BZUN $BABA $MU $AMAT $QCOM $WFC $BBBY $PFE $GE $WDC $BLK $KO $UA $ABBV $GILD $BB $ORCL $RH $KEM $IQ $GRPN $PYPL $MA $MOMO $JD $WBA $CVS $FB $W $BBY $SKX $FL $EFX $ETSY $W $UNH $SAP $GPRO $KHC $DPZ $PEP $LYFT $UBER $BYND $ZM $OLED $XOM $CVX $DAL $UAL $AAL $LUV $SAVE $AXP $SPCE $NCLH $CCL $NKLA $NIO $ZM $XPEV $QS",-0.9898
1875,Tons of IPO. should bring a lot of revenue to GS.,0.3091
1876,"""Let other countries take care of Syria""! I'm so proud of Pres. Trump protecting taxpayer money. The stock mkt. can't help but go up as long as Trump is looking out for America's financial interests.",0.9261
1877,Now that the Goldman's and their friends have been properly bailed out will they have to make 'REPARATIONS' or will Trump let them off the hook for their crimes against America?,0.4725
1878,"The following is an excerpt from an Antrim County, Michigan forensic analysis of the Dominion Voting Machines: ""We conclude that the Dominion Voting System is intentionally and purposefully designed with inherent errors to create systemic fraud and influence election results. The system intentionally generates an enormously high number of ballot errors. The electronic ballots are then transferred for adjudication. The intentional errors lead to bulk adjudication of ballots with no oversight, no transparency, and no audit trail. This leads to voter or election fraud. Based on our study, we conclude that The Dominion Voting System should not be used in Michigan. We further conclude that the results of Antrim County should not have been certified.""...",-0.9047
1879,"Dump GS and buy what they rated as ""sell"" $NIO is better to invest in. https://www.reuters.com/article/us-malaysia-politics-1mdb-goldmansachs-idUSKCN24P14L",0.3277
1880,MYLASIA SETTLED...DOLLAR FIGURE NOW KNOWN...STOCK RALLIES NEXT WEEK!,0.3276
1881,"Donnie, Ross, Kudlow, the rest of WH Financial experts...AMAZON SHOULD and DOES collect Sales taxes for goods sold by AmazonAmazon CANNOT collect sales taxes from Merchants who sell on their platformIt is a trading platform that brings Sellers and Buyers togetherLike a stock exchange or Commodity ExchangeOr even a Commercial Real Estate propertyShould Stock Exchanges and/or Commodity Exchanges be responsibleFor Payments, Collections, Taxes, DeliveryShould Trump Organization be responsible for collecting taxes from Merchant tenants...In their real estate properties like Trump Tower and Trump International HotelDUH",0.9381
1882,President Donald Trump’s new European travel restrictions have a convenient side effect: They exempt nations where three Trump-owned golf resorts are located.,0.168
1883,"you get financial/market dislocations like this about every 10-12 years---so maybe 4 such investment opportunities like this in one's investment lifetime---of course it's all about the timing as to what you do w/them----1987, 2000, 2009, 2020---fortunes made or lost",0.9074
1884,"The ""downplay"" and ""mismanagement""...Has resulted in 200K deaths...AND COUNTINGThe HIGHEST in the world by sheer number...And among the TOP 5 as % of population...Exceeded only by Spain in developed worldAdmin takes credit for low ""mortality rate""...BUT,,,That credit ONLY goes to our dedicated health care professionals...And is...IN SPITE OF ADMINISTRATION ACTIONS LACK OF SUPPORTDonnie says, ""In the end It will all go away""...YES, INDEED""In the end we are ALL dead too""HOW PROFOUND",-0.3835
1885,UH OH...Folks should...NOT HAVE BOUGHT FRIDAYFutures DOWN 300+Lilah Tovלילה טוב,-0.572
1886,"Enough! Get long $NIO or short $NKLA & $KNDI, or do your own DD and pick your own favorites. But crying over an analyst, a common ordinary one in 10,000 Wall Street analysts. Have you ever heard about the dart study? Seriously. Look it up.Why do you folk obsess over Fei Fang analyst for Goldman Sachs. There are 1000’s of analysts. Throw a dart. Come on, unless you started trading recently you would know they average 50 or less in most cases. Mr. Fang’s call have been correct 42% of the time. So he is wrong 58% of the time.If you liked NIO, before his ratings what changed? For me, a lot. The market’s reaction to his comments was over done (since he said nothing negative or different from his last rating). Like I said he did a lot for me. He gave me a lower entry point. If you missed that big deal. Dwelling over it will not change it. This is still a tremendous buying opportunity. Loaded up on shares already, I tried to add more right before 2pm when it dipped to $13.15. Missed it, and said, what the heck and instead of paying penny ante games, canceled and replaced and picked up at $13.21. I added only because, all confirmations were there that it is going to run. And run for a while. But more importantly, I am thinking several years down the road, so I will not quibble over pennies, nor nickels or even dollars. They are a high end popular luxury EV that is started to have everything fall in place. They are the real deal and they just happen to reside and sell in the World’s largest EV market, China. China’s EV market dwarfs the United States. Then again we are energy independent and China isn’t. They also have a billion more people than us.If you are going to dwell over the past, or be nervous over every dip, then maybe the stock market is not for you. Is it worth upsetting yourself over.",0.9907
1887,We have not seen stocks so cheap since the Great Depression. We're offering millions of dollars free $TSLA $QQQ $AMZN $AAPL $TWTR $MU $NFLX $NVDA $GS https://blog.autonomoustrading.io/autonomous-trading-upgrades-tesla-to-333-after-stock-market-crash/,0.7966
1888,"I must have really hit a nerve somewhere, as three of my posts have been deleted within the last five minutes. It's most probably because 'whoever' can't deal with the realization that it was the D's who tried to push for the Ratification of their SCOTUS Nominee in 2016 in An Election Year...",-0.1268
1889,"FEAR LAND GRABWorldJordan halts film that refers to historical Jewish presenceAssociated Press MOHAMMED DARAGHMEH,Associated Press 9 hours ago Reactions Reblog on Tumblr Share Tweet EmailFILE - In this Feb. 13, 2017 file photo, tourists point at the Treasury, in the kingdom's Petra archaeological park, southern Jordan. A fictional caper about an antiquities heist set Petra has stirred widespread outrage over the film’s portrayal of historical Jewish ties to Jordan, shining a light on the tenuous peace with neighboring Israel and prompting the government to suspend the movie’s production. “Jaber” follows a Jordanian boy who uncovers a stone with a Hebrew inscription on it in the rose-colored, rock-hewn city of Petra. (AP Photo/Sam McNeil, File)RAMALLAH, West Bank (AP) — A fictional caper about an antiquities heist set in an ancient Jordanian city has stirred widespread outrage over the film's portrayal of historical Jewish ties to Jordan, shining a light on the tenuous peace with neighboring Israel and prompting the government to suspend the movie's production.Based on a book of the same name, the movie, ""Jaber,"" follows a Jordanian boy who uncovers a stone in the rose-colored, rock-hewn city of Petra with a Hebrew inscription on it. He sets off to sell it to the highest bidder, but interested parties in Israel catch wind of the find, dispatching a Russian organized crime group to pursue the boy and retrieve the stone at any cost.Opponents of the film say merely discussing a historical Jewish presence in Jordan could open the door to Israeli territorial claims to the Hashemite Kingdom. They point to Israel's claims over the West Bank and east Jerusalem — war-won territories sought by the Palestinians — which Israel says are rooted in millennia-old Jewish ties, backed up by archaeological finds.While such a scenario is unlikely in Jordan, the concerns reflect the hostility Jordanians feel toward Israel despite the two countries' 1994 peace agreement.""Any talk about Jewish history in Jordan could lead to political claims,"" said Ali Elayan, who was slated to play a Jordanian police officer in the movie but withdrew over his opposition to the plot. ""That is what happened in Palestine.""Israel captured the West Bank and east Jerusalem, then under Jordanian control, in the 1967 Mideast war. Spurred on by religious Jews hoping to restore a Jewish presence in the biblical land of Israel, repeated Israeli governments have erected settlements in the territories that are widely seen as obstacles to the establishment of a viable Palestinian state. The Palestinians seek the West Bank for their future state, along with east Jerusalem and the Gaza Strip.Since signing the landmark peace accord, Israel and Jordan have developed low-key yet strategic ties on energy, water and security. But the relationship has been tested in recent years. Last year, Jordan's King Abdullah II decided not to renew parts of the peace deal regarding access to farming land. And two years ago, a diplomatic crisis was sparked when a guard at the Israeli Embassy in Amman opened fire after he said he was attacked with a screw driver, killing two Jordanians. Israel swapped out its ambassador to the kingdom and expressed ""deep regret"" over the incident. The guard, who claimed self-defense, received a hero's welcome in Israel, infuriating the Jordanians.Israel's Foreign Ministry declined to comment on the controversy surrounding the film.While there is ample archaeological evidence of a Jewish presence in Jordan, only an extreme-right fringe of Israeli society seeks both banks of the Jordan River as part of Israel. An overwhelming majority of Israelis make no claim to Jordanian land and place high value on the peace accord.Ordinary Jordanians — many of whom are Palestinian refugees or have ties to Palestinians — view Israel with animosity.The movie was set to begin filming this month when actors began dropping out over the script and taking to social media to air their criticisms, sparking a public outcry. Seizing on the wave of public opinion against the movie, the government demanded that the director, Muhyiedeen Qandour, halt filming until an official commission studies the script and delivers recommendations on it. It is unclear how long that may take.Qandour told The Associated Press that the film bears no political undertones. He rejected criticism that it invites Israeli territorial claims.""Many civilizations passed through historical Jordan. You don't see them now returning to claim parts of the country because they were here once in the past,"" he said. ""The argument made by some about the movie is simply naive and even childish.""But opponents are still skeptical.""We are not against Jews as Jews but we are against Israel as an occupying power which uses religion to take others' land,"" said Sari al-Asaad, the former head of the Jordanian Actors Association, who opposed the movie and lobbied to derail it.",-0.9684
1890,READY SET.Kushner’s Financial Ties to Israel Deepen Even With Mideast Diplomatic Role,0.5191
1891,"--Analyst Actions: Wolfe Research Raises Price Target for Goldman Sachs to $300 From $283, Maintains Outperform Rating",0.3448
1892,"Trump is a lot like John Gotti. ""Teflon Don""",0.3146
1893,"Wow. Last fall, Buffet sold GS big time. Last fall, GS was 177 a share. Of course its possible he bought it back soon after the SEC filing told everyone he sold.",0.8477
1894,"George Soros live from Davos on Bloomberg TV just called Pres Elect Trump an ""IMPOSTER, CON MAN and would be DICTATOR""",0.7067
1895,When I was a boy I was told that anybody could become President. Now I'm beginning to believe it.,0.2719
1896,"JMO, but it looks like China is becoming more more realistic in its' Trade Negotiations with the U.S. so that both Nations can come to amicable overall win-win agreement not only on trade terms, but much more importantly on longer term Country to Country Future Political Relationships. Cheers to both sides...t",0.9749
1897,"Other big financials MS, JPM, BAC outperforming GS big time today. What's wrong?",0.2213
1898,"The Latest: Democrats unveil border plan, no wall money",0.479
1899,Who is their right mind would down vote Afrezza friendly invite to watch Roseanne?$MNKD $JCP $WFC $GS,0.7545
1900,DONNIE'S SEVENTH BANKRUPTCY...https://finance.yahoo.com/news/were-watching-trumps-7th-bankruptcy-unfold-171903858.html,0.0
1901,"The single best indicator that stocks are likely to intensify their near term decline is when CNBC says: ""Stocks are off their session lows"".",0.6647
1902,UN TO INSTIGATE MEASURES TO PRECLUDE ISRAEL FROM BORDER SLAUGHTER,-0.3767
1903,"“It takes 20 years to build a reputation and five minutes to ruin it. If you think about that, you’ll do things differently.” — Warren BuffettWarren Buffets and his Berkshire Hathaway team must be happy with their investment to see the back of 2018. It's been the worst rout since 1901, by Wells Fargo and Goldman Sach's reckoning, with almost every assest delivering losses. Life is finally catching up with Goldman Sachs, Wells Fargo, while Warren Buffett and his finest Berkshire Team have to deal with TEVA Pharmaceutical, Apple, and other more big losses in 2019.Despite Buffett's positive comments about Wells Fargo, Berkshire sold nearly 10 million shares of Wells Fargo during the third quarter, but that isn't the whole story. The Berkshire has been gradually selling millions of Wells Fargo shares for some time now.",0.9378
1904,"Several reasons you should liquidate 50% of your stocks and bonds now and go to cash. China and Russia are selling US debt. The FED is not repurchasing bonds. The US is out of cash and credit. Debt payments due in 5 weeks! Trade wars with several countries. Sanctions of several more. A possible try of impeachment of Donald Trump. The Democrats taking control of Congress and the House. The stock markets have been flashing warning signs, now throw Turkey into the mix. Don’t ignore the signs!",-0.9042
1905,Mueller Says His Probe Didn't Clear Trump on Obstruction Issue,-0.6723
1906,TOLD YOU YESTERDAY TO SHORT THIS TRUMP MANIPULATED MARKET,-0.661
1907,"The Global Trade War is going to make 2008-2009 look like a picnic by comparison, a summer picnic w/a nice bottle of red wine, a soft cotton blanket and a pretty girlfriend to cuddle up to. Release the Kraken!",0.5526
1908,I JUST DECIDED TO SELL EVERY THING OF GOLDMAN WITH A GOOD PROFIT. AND SEND TRUMP A FEW DOLLARS FOR HIS WALL,0.7737
1909,Goldman Sachs stock price target raised to $320 from $295 at UBS,0.2342
1910,See you at 245 by 07/17,0.0826
1911,"The firing of Andy McCabe...And The Donald tweets it as win for ""Democracy""Doesn't he mean ""AUTOCRACY""...Wherein the President gets involved...In the lynching of a Civil ServantAnd denies him his EARNED PENSIONFor 20+ years of serviceAndy should sue EVERYBODY...Especially The Donald personallyLET JUSTICE BE DONE",0.4727
1912,Absolutely Hypocrisy has now overtaken and become sacrosanct to the 'Progressive' Radical Left Anarchists. Gun Carrying Second Amendment Rights are now actually being championed by the Seattle's Progressive Radical Left Anarchists who are Officially 'Occupying' (hmmm...I thought 'Occupation' was a Violation of the U.N.'s Human Rights Mandate) Seattle's Capital Hill Zone. The Progressive RadicalbLeft has reportedly hired left leaning private citizens with gun permits to patrol and provide ARMED SECURITY for the Capital Hill Occupation Zone. Among the major hypocritical takeaway lessons here is that availability of guns to private citizens is absolutely ok as long as only the progressive radical liberal left are the only ones who have them...,-0.7263
1913,CON ARTIST TRUMPP Trump Asks Cabinet to Draft Possible Trade Deal With ChinaBECAUSE THE MID TERM ELECTION ARE COMING,-0.2552
1914,Italy buying advanced missiles from Israel.Micks won’t buy oranges.,0.0442
1915,The Senate will never allow W.S. banks to rip off the U.S. Treasury by lowering the tax base.,0.4145
1916,Valdemeer is such a player. He took me to red lobster last night. Now he taking out Afrezza?! He not getting away with this! $MNKD $WFC $GS,0.5956
1917,While the entire country honors and thanks...Retired Admiral William McRaven...The architect of the raid that got Bin LadenThe Lysing Blinking Amoral DonaldChooses instead to BASH himEven interrupting his host...Chris Wallace of Fox NewsSHAME ON DONNIEWe stand with McRavenWho is apolitical and served two presidentsBusheney and ObamaOf course...Donnie's heroes are likeThe Saudi Crown PrinceMohammed bin SalmanThe murderer of Khashoggi(Donnie doesn't even have the guts to listen to Turkey's recordings of his murder and dismemberment)WHAT A GUYYUP we should be proud,0.8067
1918,Mayday mayday mayday....Deutsche Bank Aktiengesellschaft (DB)10.50-0.28 (-2.56%)As of 11:45AM EDT. Market open.,-0.3513
1919,"GOPher Gov of Georgia threatens Delta Air To support NRA or lose tax benefitsHELLO...How many folks are employed by Delta in Atlanta and GA...HQ and MAJOR hub...Surely,.ANY state would love to take Delta's businessTakes TWO to tangoObviously GA Gov got his tango lessons fromThe Donald and NRADancing to AR-15 staccato",-0.1855
1920,Two state solution according to Trump Do you buy it???,0.6078
1921,Will this go upto $205 atleast??,-0.3584
1922,Here we go with China trade negotiations...China warning the Lying Blinking Amoral Donald...If he does not agree...The Stock Market will collapse...And there goes his 2020 election hopesDonnie speaks of China needing itChina talks of Donnie needing itON WHOSE TERMS?????,-0.4706
1923,"20X bagger Oral Vaccine stock ""VXRT""Significantly more Antibody adn more T-cell than Pfizer and Modorna-https://www.youtube.com/watch?v=xOR_MWvE3gI",0.7985
1924,"No stop no reasonmust answer ayeka.If we want to get up off the floor and end the mourning, if we want to finally end anti-Semitism, it is up to us to do what is necessary to heal our people, to repair the world, to love one another, and to earn the redemption from the Almighty.Click here for more inspiring articles and videos about Tisha B’Av.Share this article",0.7576
1925,IM GLAD TO SEE THE GANG IS BACK ON THE VRX MESSAGE BOARD $MNKD $NVDA $WFC $GS,0.7681
1926,Alexandria Ocasio-Cortez points out that McDonald’s workers in Denmark make $22 an hour,0.1979
1927,i warning everyone on mb! he name ken justkenok! he posting fromcreek of life ministries and he up to no good!$mnkd $wfc $arna $wmih,0.5989
1928,DID BENNETT EVER READ THE TALMUD?????????? WHERE IS HE COMING FROM??????????,0.4744
1929,Among the Litmus Tests as to whether the Pals can live side by side in Peace with Js is whether the Pals will be willing to Accept Both Js Prayer and the very 'Respectful' Construction of The Third Jerusalem Temple on the Jerusalem Temple Mount. Both these elements are part of President Trumps Israeli-Pal Peace Plan which will be Publicly Announced Soon...,0.8526
1930,Buy before earnings tomorrow ? Tough call. After I saw what the financials did after posting huge numbers. Although GS isn’t really a bank like JP is. Tough call,0.7616
1931,Donnie's FIRINGS have begun...Mark Esper...Fauci next...Many more PROFESSIONALS to comeEspecially those...WHO DID NOT ATTEND'ELECTION VICTORY CELEBRATION'Stay tuned,0.7427
1932,Michael Cohen caught at NYC restaurant — and it could land him back in prison. “New York Prime” steak is $55.,-0.4982
1933,I think Pelosi has it right...When she calls upon Donnie's family for INTERVENTIONFrank Graham also has it right...As he calls for the Nation to PRAY for Donnie this Sunday,0.703
1934,Crypto-currency market unravelling. 'Rat Poison' investigations will likely expand.https://finance.yahoo.com/news/bitcoin-rigging-criminal-probe-focused-090000028.html,-0.726
1935,GS-PA reached a new 52 Week Low at $19.35,-0.0585
1936,"To the average investor , do not put any money in this market, chances for an average investor of ever making a penny are o to nil booooyyyyaaa",0.4937
1937,Uranium and the Clinton FoundationGOPhers and The Donald...Try to divert from RussiagateEven as Sessions appears before before Congressional investigationBRING IT ONWill end as soon as the investigation begins,0.1883
1938,85% of BV? Seems like a pretty good deal to me.,0.871
