,Recent headlines and conversations for IBM,Polarity
2416,There's a reason why the dividend yield is high. The stock is like a bond. You lose money with bonds.,0.4948
2417,"what do you think of IBM stock tomorrow, at open and close ?",0.222
2418,Down again and again,-0.16
2419,"I like this for a long hold, dividend has always increased every year for decades now. Back to 200$ slowly",0.7749
2420,back to $130 next week,0.084
2421,If $INTC cannot get to a working and passable 7nm do you think $IBM can?,0.2077
2422,"I hope IBM is next to follow Exxon and exit DJI and also get away from the current MM's, Hedge funds and Institutional crooks who for some reasons are going out of their ways to whitewash all of IBM achievements and holding their share price as low as possible in order to deny IBM capacity to raise capital by issuing new shares to either reduce the corporate debt load and or to buy complementary technology companies to increase their competitiveness. I hope sooner or later IBM and SEC investigate this matter and take some action. Maybe it will be a blessing in disguise just to exit the DJI and may be NYSE! JMHO..........Tex",0.9769
2423,Today IBM will beatprice PS will be up 10,0.0964
2424,"""ARMONK, N.Y., March 11, 2021 /PRNewswire/ -- IBM (NYSE: IBM) today announced that global research firm Gartner has positioned IBM as a Leader in two newly published Gartner Magic Quadrant reports: the 2021 Magic Quadrant for Cloud AI Developer Services1 and the 2021 Magic Quadrant for Data Science and Machine Learning Platforms2.IBM Corporation logo. (PRNewsfoto/IBM)More""IBM is focused on AI for business and helping customers reclaim precious time through automation, generate critical insights through natural language processing, and foster trust in outcomes derived from AI,"" said Daniel Hernandez, General Manager, Data and AI, IBM. ""We believe these new recognitions from Gartner underscore the value we're bringing to businesses through our strategy and our strong innovation pipeline between IBM Research and IBM Watson.""",0.9899
2425,Does anyone think some of this bump may be Jim Chanoes and his followers covering their short positions? Good call Jim.,0.3535
2426,when the dividend?,0.1566
2427,"Strong growth and dominant in cloud services. Aware of the slower margin business units and plans to divest and focus. If it were a newer name, this would be the hype of the day. All things considered, there's reason for it to be up through the next days once the overreacted selling has cooled off.",-0.3604
2428,BIG BLUE is back. 2 nm is the game changer. 20 years of nothing burger is over.i just sold 75% holding in msft and put it into ibm on this news. i just wonder intc adapting 2nm for the plants they are building in u.s. ibm going over $200 in next 12months. buy on the dip,0.8789
2429,IBM have growth like MU???? NO but its might be started???,0.5035
2430,"ARMONK, N.Y., April 21, 2021 /PRNewswire/ -- IBM (NYSE: IBM) today announced new capabilities for IBM Watson designed to help businesses build trustworthy AI. These capabilities further expand Watson tools designed to help businesses govern and explain AI-led decisions, increase insight accuracy, mitigate risks and meet their privacy and compliance requirements.",0.9183
2431,IBM should considering buying Nokia before Microsoft grab it to open new front in 6G.,0.3285
2432,"CRAMER loves the IBM-RHT combo. Listen to the Mad Money interview with both CEO'S aired this evening. Jim Cramer was gushing over the future for this ""joint venture"".",0.6534
2433,"$125 lower level resistance level to close today, going forward would be nice. This will be in $140-150 by end of summer while paying a dividend.",0.7071
2434,Fire the CEO!,-0.2275
2435,"Even though we all agree it’s for the better ,, its still kind of sad to see Ginni go,, she should at least be given credit for some of the new business direction . Ginni was the big believer in Cloud and data analytics , unfortunately other companies beat her to the punch.. ",0.7665
2436,Buffett sold all his IBM Shares... that's sad because Buffett never sell stocks unless he thinks the company is heading the wrong direction.,-0.3802
2437,chart says shorts are in trouble here. cover now or pay me extra later,-0.1514
2438,IBM should be bought at this price level aggressively!,0.2398
2439,"bought a boatload for my IRA ... buy here and forget it ... before you know it, it is back at 120s and you get the nice dividend. RedHat alone is worth at least half of IBM's market cap.",0.6951
2440,More downgrades coming?,-0.2003
2441,Time to buy is NOW not after the big rebound! WHAT to buy? Not $nvda not $intc not $mu not $ibm not $tsla ... ONLY AMD! Do it ahead of the ER today for max gains as tomorrow you'll pay more if you buy with the herd...,0.9397
2442,Ginni Rometty - PLEASE RESIGN!!!! 20 Quarters (5 years) consecutive of Revenue Decline!!! Stock drops over $9 in after hours trading and more decline tomorrow. Ms. Rometty - Please resign before you destroy a once great company.,0.5479
2443,"MAYBE all you guys are right IBM will go under,, i guess i will lose a few hundred thousands if it does,,,BUT i doubt it,, in time someone will buy the stock,, right now IBM is shorted heavily,, TRUMP created a recession for a long time in the USA,,",-0.1605
2444,"The ultimate goal of A.I. is to make life better for humans. But how will they reduce the vast number of overpopulation in order to obtain that better life. Wonder who will be targeted, and how they will do it (hide it). It should be a law, that any A.I. programming, disclose the goal, and how its obtained. if population reduction is indeed a goal. then A.I. programmers could be guilty of murder, couldn't they ? Mass murder.",-0.6803
2445,"Best hope is for an activist to shake things up.....Rometty is past normal IBM retirement age, but young enough soshe will be hard to remove.",0.6518
2446,Use your proxy and VOTE THE BOD OUT! This has gone on too long and the BOD is SUPPOSED to be a fiduciary. The people making decisions will drive the company into the ground just like Immelt did to GE. VOTE YOUR SHARES,0.9729
2447,"IBM's Mayflower Autonomous Ship is going to change the world on September 06, 2020:https://www.ibm.com/blogs/think/2020/08/a-new-wave-transforming-our-understanding-of-ocean-health/?social_post=3658773861&linkId=99015881",0.2328
2448,New company spin off name is just nutty...,0.4839
2449,Sell of on earnings imho. No forward guidance plus face it with Corona virus as management said in the last cc companies are holding off using their products. Anyone long seeing any growth this year?,0.9089
2450,"Will the NewCo spin off get the multiple of Accenture, Wipro, Tata, or Cognizant? I see them all offer the same consulting services. Over time, the differentiation is essentially using global human resources, with IBM has the established contacts in almost all major fortune 500s, govt, and",0.0207
2451,"IBM cheapest stock period! Redhat would be worth over 105 billion dollars if it were a stand alone company! Love the NEW CEO, buying amazing cloud, compliance, AI, assets! IBM , will soon, be one of the best cloud software companies in the world!",0.9759
2452,"how can a stock drop 9 points on no real volume,,explain that",-0.3498
2453,"Everyone needs to balance the profits by yearned , IBM is the best candidate for it",0.7942
2454,XL C and IBM Java on every machine? Oh it's going to get monopolistic.,-0.1649
2455,It is really sad to watch a once great company die by a thousand cuts.,-0.4534
2456,"Any ideas what happens to the dividend when IBM divests the 19 billion dollar GTS business into ""NewCo"" - expected to happen before the end of this year (tick tick ticking).. Keep in mind that anyone still holding here will then magically have shares of both companies. - will the dividend be split between the two publicly traded entities - with each paying what they believe to be appropriate??- will NewCo even have a dividend ?? - most new age tech companies don't pay one.-Will IBM then just cut its dividend - as the remains of IBM will be only half of the cash machine it was before the split ??- will IBM automatically then loose it Dividend Aristocrat status ?? (A status which is also driving the current price)There is NO DOUBT that the current dividend and ratios are a part of what is holding up the current share price... So what happens if the dividend goes away or is decreased (across both OldCo & NewCo) and then all of the funds and holders that hold IBM for ""income"" bail out.. in search of safer and better yield dividends.Setting aside corporate profits, strategy, management, directions of BOTH future companies..... I seriously believe the Dividend is in some sort of serious jeopardy here..... and this factor ALONE can drive a major change in ownership/volume/price.thoughts???",0.8794
2457,I think the OCT report will put IBM in the 130S-Red Hat and new team will get big BLUE or should I say big RED moving.,0.3283
2458,"Remember this is all about fully understanding the TECHNOLOGY and how competition is like in this area. Complex yes. Not just TSMC and Global Foundries or even Samsung fabs vs Intel. It's about the ecosystem of software, applications, developers partners and even the ability of the CEO to form personal relationships with customers and partners and Wallstreet outside and employees inside. Yes not easy at all. But reviewing $intc $nvda $mu and giants like $msft $ibm $goog $fb etc, the focused highly growing technological advanced and trusted CEO is AMD only in my view. Do your own due diligence. If you don’t understand the technology you're investing blindly sorry. Not about analysts or posts here or articles on Seekonk Alpha or CNBC or Cramer. You must be deeply in the know personally to be long in AMD. Good luck all!",0.9946
2459,bought Aug 130 call last friday. it is going to be fun tomorrow,0.5782
2460,I still think IBM will go under ... $0,-0.0803
2461,How do you feel about IBM splitting company into two? Is that good for the stock owning a share in each?,0.7741
2462,"Pretty in line, 1.3% earnings beat, 1.5% revenue miss, on track to see what the Red Hat acquisition will do for them. To me doesn’t mean that this innovating, cutting edge company is worth any less. So they have a shrinking legacy business, we knew that already.",0.8076
2463,This is going to 200. Undervalued stock.,0.2071
2464,Warren Buffet might come back to buy IBM. AAPL is dropping,0.4568
2465,"Reliable dividend 5.6%undervalued PE should have higher pe in the tech sector ""cloud"" Potential price appreciation. 20%fair value 135+",0.8808
2466,still time to get onboard to enjoy the ride upward!!jg,0.7494
2467,"I cant wait til august 2nd when redhat earnings come in, and this thing skyrockets then all the analyst upgrades start coming in",0.125
2468,"Today (11 March) S&P up > 1%, NASDAQ up > 2.5%, XLK up > 2% and last and certainly will continue to be last, IBM, DOWN almost .6%!!! 'Nuf said ... !!!!",0.5891
2469,You might expect this reckless kind of money spending on a risky acquisition from a small cap bio-pharma stock. But a mega cap IBM? Risk controls anyone?,-0.8583
2470,Coffee delivering drones??? This must be a major business opportunity for IBM. Congratulations IBM on being the first technology company to seize upon this outstanding business opportunity overlooked by all the other technology companies. I wonder who will be named the VP of Coffee Delivery Service. Could GR also assume this role??Good God what has happened to this once leading edge company.,0.977
2471,Just a simple question please. Why CEO doesn't retire? Ginni is 61 breaking a long tradition of changing at IBM's top position at 61. She had 6 years and no sign of big revenues rise compared with competition during the time. Actually business got smaller and now major cuts in the workforce even the Watson health crown jewel. Not only Ginni has to go but all her sr exec team mismanagement IBM's strategy. How long she plans to hold on to her position for? I sold all my shares at $146. Took lose from $195 but there are way better investments out there.,0.9694
2472,I think good quarter with red hat! Sticking around another month,0.4214
2473,"wow,,,nice pop,, i think Morgan Stanley should be investigated for the so called down grade, they had no business with a down grade besides they wanted it down for someone, so its a scam they pulled, GO IBM",-0.8507
2474,It’s going red. Market and IBM stock is up too much. It was bound to correct no matter what the earnings were.,-0.0245
2475,"IBM will be in great position of they would be good at execution. this is no longer about what need to be planned rather they have all the tools to on board application and private clouds into theirs and become another platform similar to what Amazon or google offers, and red hat should provide them the reach",0.8864
2476,at least the bid/ask is close today means there is some support at this price level I believe for IBM,0.7108
2477,Come on IBM you're ruining my covered call strategy. You're supposed to go sideways - not up.,0.0844
2478,"Dow and most tech stocks doen slightly in the red, except the big blue seeing some green",-0.1665
2479,"This seems very promising to me.... 7% revenue increase in cloud and cognitive software, including a 20% gain in the cloud and data platforms subsector. Cloud-based sales soared 60% higher.",0.7832
2480,IBM's forward PE is 10.52. Stock price has to go up soon,0.5907
2481,I can't understand this stock....but today I like it./var/folders/jz/2lywsfg508l8vb2xh68nk_2m0000gn/T/com.apple.iChat/Messages/Transfers/IMG_7859.gif,0.3559
2482,"i am not complaining, it is moving in correct direction. would have liked to know what changed",0.5588
2483,"IBM is becoming the next AT&T, stagnant, no vision, complacent and no growth. Hopefully the break up will move this ship.",0.3164
2484,Today was a disaster except for the last half hour. If that trend continues we should open well above $120 in the morning. The volume today looked like a bit of panic selling. Maybe that will turn to panic buying tomorrow. It should at this low price. The Bollinger bands are wide apart with the lower one being at $115 so there is only a 10% chance it will go much lower.,-0.3458
2485,How $ibm is up 2.5% and ibm needs amd partnership for their new ceo strategy in cloud...? Think about it! Other semis should be red but amd is different will be deep green as the markets.,0.2828
2486,"Employees should be nervous, the only way IBM can recover is by cutting OH.. Investors should be nervous because IBM has outdated products, services and they are loosing Government clients to other providers. They are making decisions based on desperation and buying projects to try and keep the staff busy.",-0.4343
2487,big blue shall rise from the ashes,0.0184
2488,IBM has debt of $71B and cash $10B. Anything exciting for leadership products or simply a dividend play stock.,0.772
2489,When will the CEO be fired?,-0.4565
2490,"Buffet has sold a large chunk of stock which accounts for the weakness. Maybe he has sold the balance of his position and it will be in the next report. Frankly, this is good news. No more stock to sell. Now, EPS reports are increasing.",0.6103
2491,"Interesting that one does not see the BUNCH companies much anymore: Burroughs, Univac, NCR, Control Data and Honeywell in the technology space. Unisys (Burroughs + Sperry) are still in the mainframe space and have technologies that far surpass the IBM mainframe platforms, but the big-iron market does not exist anymore. It is sad because companies are paying a lot more for the ""new technology"" than they old mainframes, but nobody knows that. lol. It is called progress. All the banks and insurance companies and airlines and govt departments have IBM mainframes and to get off them will cost a fortune. So IBM will always be around, but like Unisys, they will be facing declining revenues.",0.8678
2492,Although ibm short term has been a Terrible preforming company in romettys tenure I believe the company is in the position to lead the next computing revolution with ibm Q and the omnipotent Watson,-0.3851
2493,Daimler Expands Relationship with IBMhttps://newsroom.ibm.com/2020-07-01-Daimler-Expands-Relationship-with-IBM-Adopts-IBM-public-cloud-for-its-security-capabilities,0.0811
2494,IBM bloodbath continues. Down at least 25% in the last week. Well.. at least I have a good dividend yield.,0.2199
2495,We are seeing some hope after a very long time!,0.7582
2496,Doesn't matter if it drops. Invest long term and collect dividends for years to come,0.2831
2497,"looks like if i hold IBM 10 more years i can get double my money,in dividends, but probably be losing in stock value still",0.5878
2498,"Amazon's looking to invest into cloud services. I thought ,a few weeks ago, that 1 of the big trillion dollar companies could possibly buy out big blue because of it's smaller cap size. I didn't think Amazon could be the suiter until now. It's not a far stretch to see big blue get swallowed into Amazon",-0.4972
2499,how did this company get so weak in the biggest bull run in history,-0.2234
2500,"IBM Gains After UBS Lifts Rating to 'Buy', Price Target to $180 https://www.thestreet.com/markets/ibm-gains-in-pre-market-after-ubs-lifts-rating-to-buy-price-target-to-180-14723866?puc=yahoo&cm_ven=YAHOO&yptr=yahoomarkets",0.2974
2501,I've done very well with IBM the past 12 months selling covered calls and collecting nice dividends. I hope there's a much needed and healthy correction soon for the whole market of 10 to 20%. I think IBM will fall 1.5 times the averages and I will buy a lot more! But I think it's too risky before then to put new money in.,0.5429
2502,"The new IBM CEO is a real genius, he thinks he will cut a rotten apple in 2 and the result will be 2 good apples.",0.2318
2503,Oh how I miss Lou Gertsner.,-0.1592
2504,"IBM is my favourite stock, will start buying under 115 and buy more every time it drops 2 dollar in price until 100.",0.4503
2505,WOW $tsla lost over half its recent top value. $intc $nvda $mu $ibm all lost a third of their recent highs! But only amd has better fundamentals and reconfirmed outlook last FAD confirming no much impact from corona seen and actually higher demand than forcast for datacenters that more than balance the consumers side. So actually a beat for Q1 and same outlook or beat for this year! Remember amd has disclosed yesterday its mobile processors 7nm APUs specs including desktop level performance in a laptop flagship 4900H and 4900HS! Microsoft gave the specs of the xBox X especially the raytracing rDNA 2 GPUs! More products coming. . Big Navi and 7nm+ datacenters Arcturus GPUs and Zen3 7nm+ EPYC Milan and Ryzen 4000 ! Yes even threadripper 4! Are you kidding me? AMD is the ONLY semi to own!,0.9876
2506,It's up on solid volume-KEY.,0.3485
2507,I was hoping IBM would stay under the 150 mark until I get my money for selling my house. I only got 190 shares,0.6107
2508,"Wow, this has moved up nicely recently. Looking forward to next earnings so it get's knocked down its usual peg or two.",0.8316
2509,"ok, I have owned IBM for a couple years at a cost basis of 159. Obviously have not been happy with the performance. My thought is that this old tech ship has made the turn in the right direction. Hence planning on adding to my position down here. Dont want to regret after earnings, but looks like a beat projected coming up again. Any constructive thoughts or analysis on this ? Good luck all longs !!!!",0.9705
2510,Nobody is interested in IBM even THE Warren Buffet the smartest investor of the century also selloff IBM. Get out before it goes down under $100 and chap11 filed.,0.7458
2511,You buy a company worth 3 billion for over 30 billion; that me buying a house worth 300000 for 3 million;,0.6618
2512,https://www.fool.com/investing/2020/07/15/forget-intel-ibm-is-a-better-dividend-stock.aspx,0.0
2513,The true price of this stock is somewhere around 60.,0.5468
2514,"From Zacks today: IBM (IBM) is expected to deliver a year-over-year decline in earnings on lower revenues when it reports results for the quarter ended December 2018. This widely-known consensus outlook gives a good sense of the company's earnings picture, but how the actual results compare to these estimates is a powerful factor that could impact its near-term stock price.",0.6374
2515,"After IBM hits 250, it will make a beeline to 500 and beyond. This is IBM 2.0. Investing in the future. Arvind Krishna and Jim Whitehurst leading the way in AI and hybrid cloud technology.",0.472
2516,According to FactSet IBM’s free cash flow came in at $2.3 billion which declined to 2001 levels. A business model with a multi year record of declining revenues is a losing proposition not to mention the chart looks horrible. I guess the dividend looks appealing but so do bank stocks - another dead end investment. As the old saying goes never fall in love with a stock. Time to move on from IBM ...,0.5813
2517,"Ah, the old playbook. When your job is in danger, you do a big acquisition and then tell your board that you are the only one who can make it work. Feel sorry for the Red Hat employees.",0.2324
2518,"The more you sell, the cheaper I can buy :-)",0.6062
2519,where is the bottom 99?,-0.2286
2520,"I still don't understand how IBM will compete with AWS , AZURE and Google Cloud .",-0.223
2521,momentum hard to break. good stuff tommorow,0.0834
2522,Good CC the cloud growth galore to come.,0.6671
2523,"If you're waiting to buy cheaper, good luck lol. Ain't happening.",0.8711
2524,https://finance.yahoo.com/m/5e6c5a5e-5f87-31f3-844a-95dd2ce567b9/red-hat-offers-few-details-as.htmlI wonder how long Whitehurst will stick around once he realizes Ginni has no plans to leave her $20 mil annual compensation by retiring.,0.6691
2525,IBM going to $155. There's a gap on the 1 year chart that needs to be filled at $155 and that's where the 50 day moving average is. I'm a buyer at $155.,0.4382
2526,imagine if the company declared not paying dividends ?,0.1996
2527,"Even if RHT revenue is up by 20%, and I don't really believe this, I think it has more to do with accounting rather than real growth, but even if ... it still only covers 15% of the hole created by the drop in IBM's legacy business. IBM is loosing $4b topline per year, 20% of RHT roughly $600M. They would need 7 RedHats to drive growth. Not going to happen. And as said, I would not be surprised if part of the growth is accounting driven.",0.9171
2528,The increase revenue and sales number xonfirms IBM is on the right track to grow and making sales across the enterprise market,0.3382
2529,"Some IBM technologies/assets may be slow in ramping up, but will translate into meaningful revenues in the future. I think IBM can be a turnaround story like MSFT. The risk reward ratio is just too attractive to pass.Walmart has been an IBM customer. Imagine all or most of Walmart's suppliers and partners also use IBM blockchain, cloud technologies and other services...https://www.supplychaindigital.com/technology/walmart-urges-its-suppliers-use-ibm-blockchain-technology",0.9522
2530,"Lower Revs, they've been buying back stock-some 10 shares this qtr. or so. Last several 4th qtr. had to many write downs to give a good comparisons on earnings but bottom line is IT'S A WEAK QTR.NO REAL GROWTHCLOUD INCOME NOT LOOKING GOODThe country and this company is still doing that NEGATIVE GROWTH THING. They just spin it.",0.2498
2531,"ginny has left IBM in terrible, terrible shape -- she should have been terminated a long time ago.difficult to catch -up , if not impossile . Too much talent left . Mercer, Peter Brown to name a couple who were into voice recognition. Both went to Renaissance . Huge area just wasted. Difficult to be a player, once you lost talent.",0.5515
2532,if you scan back you will see I said this will rise into earnings then appear to be shot out of a cannon. the prophecy has come true,0.6703
2533,Saudi and IBM are on blockchain news,0.1576
2534,I will buy more eventually.,0.0463
2535,Blockchain Technology will save IBM...,0.5243
2536,How many years in a row has IBM underperformed the S&P?,-0.2949
2537,Only way IBM goes up considerably is if they could lure Jensen Huang away from nvidia. Only way IBM tanks is if they hire Steve Ballmer or rehires Ginny rommety,0.8103
2538,More upgrades coming,0.0537
2539,"So typical for long-suffering IBM shareholders. After eight plus years waiting for a positive earnings report, one that will help regain long overdue rebound in share price, the market tanks 300 plus points the very next day!",0.9619
2540,VR training helps first responders respond to emergencies at any time,0.3505
2541,"RED HAT people sweeping control of IBM , IBM stock will be $175 before you know it",0.1431
2542,Well.. shorts. Are we having fun yet? See you at $150+,0.6038
2543,The downtrend continues. IBM will not survive with current leadership.,-0.1794
2544,"IBM market cap. 107bShopify market cap 115bSo forget about msft, we are comparing IBM with likes of Shopify now.",-0.6361
2545,buy buy IBM won't be any drop further. upside on January. $140,0.6145
2546,"The first time IBM reached $129 it was 22 years ago! They missed the boat 2 decades ago. Stop drinking the marketing bluff that keeps changing every 2 years without any proof of real product deliveries (it was IOT, Analytics, cloud, then AI, now blockchain is being deprioritized). Failures in all of these.",-0.8038
2547,The ‘bet the company’ comes down to success through RedHat. Similar to the Price Waterhouse Cooper services acquisition which did pan out well. A lot of synergy in the Raleigh area with IBM/Red Hat,0.4948
2548,When the negative sentiment on this board (or in general) is running 20 to 1 (20 negative for every 1 positive)... hmmmm.. signaling a bottom??,-0.861
2549,Bazarro world!! All major indexes down and IBM up! It's a miracle!,0.6706
2550,https://ca.finance.yahoo.com/news/ibms-cloud-selected-movius-improved-163604652.html,0.0
2551,"After buying, holding and selling IBM stock many times over the past 4 years and reading each quarter that success is just around the corner I'm beginning to come to the conclusion that this company is only a cash cow for the select few individuals who manage the company. I read about the the billions of dollars of company revenue spent each year buying back stock only to see it presented at no cost to these select managers who in turn then sell it back into the market and bank millions upon millions of dollars. None of these managers, from a financial standpoint, need these zero cost stock grants and would do better at this point to take that company equity and put it into something that might actually grow the company. IBM is world renowned for the thousands of patents that emanate from its research facilities around the world each year, yet when was the last time an IBM patent has truly shaken the industry and grown the company. Perhaps taking some of the millions of dollars in zero cost stock grants going to the managers of this under performing company and using those millions to do a more critical evaluation of the thousands of yearly patents grants might identify a patent likely to evolve into that one blockbuster patent IBM so sorely needs to grow the company and even reward poor stockholders like myself who have kept the faith and kept IBM shares in their portfolio.",0.9944
2552,"Smart, unlocking over 200 billion of value in cloud computing growth!! IBM should be an easy double!!",0.9299
2553,Cramer just gave IBM an upgrade. Very positive comments about the company's expansion into cloud and other hi tech areas. Profits were very strong and the dividend is amazing.,0.9627
2554,Back to even by open. The results speak for themselves.,-0.1195
2555,Like a two or three year recovery after Buffett bailed. He was so right. Valueline is not playing it for its dividend exclusively but equity growth. At 125 for 9 months hope they are right,0.8962
2556,"Former $csco datacenters CTO moved to AMD! In addition to $ibm key technical people moving and Lisa Su joining the Cisco Board of Directors. See the pattern here...?Raghu Nambiar said: ""I am the Corporate Vice President of Datacenter Ecosystems & Solutions at AMD. I was previously the CTO of the Cisco UCS business and played an instrumental role in accelerating the growth of the Cisco UCS to a top data center compute platform.""",0.9054
2557,IBM is down -5.49% to 152.08,-0.2462
2558,"Pls post anonymously: as of 12/31 NA had approximately 11,000 people in sales jobs and as of 1/1, there were only 8,000 seats available. The other 3,000 - primarily Client execs and middle management - were RA’ed.Source: Facebook Group: Watching IBM",0.8016
2559,Hmm. Why people are posting negative news under various names without valid evidence? Looks like they don’t have any other job or shorted the stocks early.,0.1659
2560,"I agree with many of you on here, the past few years, IBM has missed out on one of the biggest market booms in history. But I also know that they are currently positioned to be a leader for a very long time in Artificial Intelligence, Cloud Computing, Block Chain, Quantum Computing, etc. anyone selling IBM at this time may be missing out... there will likely be a major correction between 2019/2020 and I think IBM will be one of the best places to put money, will see more than double digit growth during that period.",0.9818
2561,We need help here from red hat and then up to $145. But it will take awhile,0.0872
2562,can everybody say: thank you dunderhead fast talking rometty and the BOD.....we the shareholders are ignorant bagholders and we dont care about our stock performance....,0.848
2563,IBM should be a classic Harvard Business case study on how a once tremendous company was brought to ruin by Palmisano and the current inept CEO. The study should also include a scathing rebuke of the clueless BOD. I don't think there is any more hope for IBM in that it is beyond repair.,0.8442
2564,"well, i can expect to buy this under 120 again LOL",0.7255
2565,"Q3 results crucial, not just for IBM but for entire market to see which direction are we headed. IBM’s cloud entry through Newco is a slow endeavor with many big companies already making great headway. IBMs P/E is just 14. There is lot of hope on cloud, but even after 2 yrs of buying RedHat there is lack of clarity on growth. The newco has added to confusion.!",0.9401
2566,"Same old story on this board...""time to load up the truck"". Although Im a LT holder, I wont buy more. Will keep what I have and enjoy the dividend. every time I hear someone say, ""it time to load the truck up"", I envision a truck getting loaded and then the axle breaks and the truck goes into the Rometty ditch...AGAIN. Everyone has a risk tolerance that is their own. Flushing once and watch your money go down a drain, doesn't excite me to do it again. VOTE YOUR SHARES and get rid of the BOD!",0.9743
2567,What is IBM good for today?,0.5227
2568,There is a declining argument to retain IBM in the DJI.,-0.5151
2569,IBM will drop through 100 when it is announced they are dropped from the Dow.,-0.455
2570,The buyer usually falls in mergers though in this bubble market the buyer sometimes rises if the deal is considered a good one but in this case I think they overpaid a desperation move...,-0.5823
2571,Ginnifer came to IBM from PWC buyout years ago. another BAD audition to expand consulting and devices that failed. a lot of folks in the end of the business were let go,-0.6382
2572,"IBM resisting the tech selloff better than AAPL, unbelievable.",0.5739
2573,stock can't hold 125..which is bad. IBM should at a minimum be 150. rometty need to go and the board as well if they fail to do their fuducary responsibilities.,-0.4515
2574,Good ol' pre-earnings trading computer power mind games... If tech is doing well... $IBM should be doing great. Back to $140's easy as under $120 is the insiders buy level.,0.954
2575,"The difference with MSFT under Balmer and IBM under Rometty is that MSFT had 2 anchor products, Office and Windows for which they basically had no competition. When Balmer finally saw the light and started with Azure and now with the current CEO, they had a solid base to build from. With IBM, other than the mainframe they have nothing left in which they are relevant.",0.926
2576,hopefully it pulls back to $120 -$125 for options expiration manipulation so i can get some more shares.,0.4951
2577,"This will be very short lived, 0.1% YoY, last year was w/o RHT revenue, barely making up for the loss in legacy. Look at how much their earnings dropped excluding the 1.9b one time tax provision from last year.",-0.691
2578,"Gross negligence by the BOD...only hope is an activist investor who would force Rometty's departure. Enough already.She is past normal IBM retirement age, and has an unmatched record of failure and BS promises.",-0.5298
2579,It's time IBM uses some of its Cash reserves and look into acquiring smart companies like NTNX who can help it tremendously in it's Cloud strategy.,0.7664
2580,And the split bump is completely gone,0.1669
2581,Time to replace the IBM CEO. 5 years is enough time for mediocre performance.,0.3435
2582,"It is long past due for a CEO change. Since Ginny took over in 2012 IBM has gone from $188 to $139, down 26%. During the same period the S&P went from 1999 to 2809 up 40%. During her tenure IBM has under preformed the S&P by 66%. Why are she and the BOD still in place?",0.8663
2583,Finally a new sheriff in town￼,0.1274
2584,"Wall St. walking the price down $2 before ""surprise"" upside earnings next week - then to the moon - bought more today!",0.5983
2585,IBM is the most depressed stock on the market and that was why the genius Billionaire Warren Buffet left IBM for good!,0.6801
2586,divi is save,0.7387
2587,The fact that it didn't habitually tumble 10% after earnings is a win.,0.7813
2588,"How is it that ibm was the biggest company in the world in the ‘80’s and now can’t seem to do anything right ? It’s market cap is like 6% of Apple or Microsoft’s, thanks Ginny. What a great “progressive” hire she was.",0.9093
2589,next week is the last week before financial results...good luck to everyone except the shorts and happy Easter to all those who celebrate it...!,0.9146
2590,Things must be worse than we thought. IBM is calling in the Pope.https://finance.yahoo.com/news/pope-endorse-principles-ai-ethics-080413949.html,-0.4935
2591,Ok great. Company looks to have deducted interest in stock price.. I got confused for minute why less $1.60 price after hrs. This week $143 back. Next quarter April is going to be awesome quarter FYI.,0.9429
2592,IBM should go ahead and pre-announce earnings just to get them out of the way and reduce the volatility over the next week… And get the stock back $200 where belongs and where is fairly value today!,0.4742
2593,I cant help feeling that buying IBM today is like buying Sears 30 years ago,0.5286
2594,"4 years ago, a relative unknown CEO took over a company on a verge of Chapter 11. Since its founding decades ago, a monster company destroyed every single conpetitor along the way. And yes this soon to be chapter 11 company , around for decades, is the monster pastry. No CEOs , No company ever took on this giant and survived. None . Zero.4 years afer Ginny took over IBM that was a 200b company then, Lisa Su took over a soon to be bankrupt AMD worth 2b. Yes 2b.In 4 years, AMD brought Intel to its knees (yes Intel jis in very serious trouble because AMD leapfrog so far Intc do not have any idea how to catch up). More imoirtantly AMD market cap went from 2b to 100 b !.Yes meanwhile IBM went from 140b to about 100b Who could have thought during Rio Oylumpic in 2016, that in 2020 , there would be no Tokyo Oylumpic, and that AMD = IBM.Yes AMD = IBM",0.4537
2595,"The pundits want to talk about sequential revenue decline— which, on the surface is absolutely true— but they don’t recognize the circumstantial complexion of their revenue mix. Yes, cloud is growing at a remarkable clip but IT/ infrastructure is down more because of Covid capex cuts. Pundits want to point to the sequential decline in it/inf and pronounce a greater rate of “secular decline”, but that’s simply not true. Don’t get me wrong, the segment appears to be in secular decline, its just not eroding as fast as the FY20 data will have you believe. In fact, I expect the segment to outperform in FY21-22 as enterprise spend and CAPEX budgets return— perfect time to spinoff. I’m a buyer of this algo-driven sell-off.",0.9465
2596,Pentagon 10 billion contract deal back on the table,-0.2069
2597,"Sellers are chicken little types. The goodness of new, effective leadership is just coming out of the gates. Buy hard under $150 imo.",0.8862
2598,"Unlike IBM, Boeing's BOD has done the right thing for its shareholders!",0.6738
2599,Never have I seen a company pump out so many positive news articles yet the stock price goes nowhere,0.7613
2600,"Ginny, Warren just voted against you!",0.1246
2601,"This is the place to be 80 bill total addressable market smoking intel...Advanced Micro Devices, Inc. (AMD)NasdaqCM - NasdaqCM Real Time Price. Currency in USDAdd to watchlist28.18+1.92 (+7.31%)At close: October 16 4:00PM EDT28.50 +0.32 (1.14%)Pre-Market: 5:48AM EDT",0.2059
