,Recent headlines and conversations for BA,Polarity
1606,"Be careful, Tesla earnings, which are not expected to be great, may trigger the correction taking BA and all other with it!!!",0.8141
1607,"It's not really ridiculous price action, it's fairly predictable. BA is going to remain under selling pressure as long as this Max electrical issue drags on. That's really the fundamental short-term thing right now that has the market more and more spooked. When the issue was first announced, it came with all kinds of reassurances from analysts and airlines that this was expected to be a short-term nothing-burger. A month has gone by without an approved fix. There will be a fix, no doubt of that, but every day this drags on gets the market more and more concerned about how much longer it will go on. Boeing can't deliver any Max aircraft until the fix is in, and that means that spigot of revenue has been shut off for a whole month now. That doesn't spell pretty things for April reporting, so what you're seeing now is the market pricing in very low delivery numbers. And now we're a week into May without a fix, so the market is pressuring BA stock into ranges that would reflect a significant hit to May deliveries as well. Once the service bulletins are out and BA can resume Max deliveries, the stock price will turn around, but until then, you're not going to see any kind of significant improvement in price. Ultimately, the situation has created a nice buying opportunity, but if you buy now, don't be surprised if the price continues to drift downward until the electrical fix is approved by the FAA.",0.9748
1608,Boeing Stock Is Rising. There Is Plenty of Good News.https://www.barrons.com/articles/boeing-stock-is-rising-there-is-plenty-of-good-news-51618416287,0.8472
1609,can we excused from the tablewe have a new game to playAre you boys going to get into trouble already told you no bailNo troublepicking apricots from the trees in orchardand throwing at passing cars down on the roadolder boy said better move down two rows of apricot orchard treesyou come make meding ding ding ding splat and dingwent the apricots from my hand onto brende new chvy corvette\boy weer they upset abpout somethhingcatch me/come and get me,0.7967
1610,Aeromexico buys 28 Boeing planes !,0.0
1611,"Just wait until restrictions and 14-day quarantines are removed. It's coming, and so is $500.",0.2904
1612,Way toooooo undervalued.,-0.0105
1613,"waiting to see if they let BA bulls out of the penalty box for yesterday's quarter today. sold some 245 calls expiring next week. have stops on them. get through today and tomorrow then i can probably look to ditch early next week for a nice profit. they're going to try and manipulate this nonsense up to pressure folks to cover this weeks calls today and tomorrow but this stock is a disaster. i have a small position, using good money management and i've also got stops on so they can play their games. the loss wont be big regardless. LET ME SAY THIS AGAIN: you want to play the recovery stocks then go with the cruise lines that had solid balance sheets and nothing wrong with the ships before the march 2020 fall instead of this disaster.",0.9098
1614,241.24 down to 220.00 in less than 2 days...LOL!! 9%....LOL!!,-0.4711
1615,Johnn what exactly are you doing here if u aren't an investor in BA? Who cares what you say. People here like BA and are investing in it. So go be big man on the forums where you invested. I don't get it. We all aren't to blame because you aren't tall. Blame your parents shorty.,0.9244
1616,276 by Thursday,0.0141
1617,"$AMZN $WIMI $BA Share prices fast up, have patience on the low replenishment",0.3123
1618,What a come back,0.1174
1619,The last time......three months ago...the momentum got behind Boeing it only took 5 trading days to go from 225 to almost 280.....and I don't recall what event lit a light under the stock. We are day two into this rally. We need to cross 244 for this rally to have teeth......,0.3269
1620,Buying Boeing Hand over Fist ! Boeing a Real Company !,0.7673
1621,BOEING will hit $450-$500 this year. Can't wait!,-0.2376
1622,$285 before earning $350 after earning,-0.0544
1623,Another important queiton-Why US watchdog is investigating the FAA's recertification of Max 737!!!!,-0.3823
1624,"The earlier start for the Boeing planes was possible as they had already been manufactured for other airlines that could not take delivery because of the impact of the coronavirus pandemic on the travel industry.Lufthansa said the new aircraft will consume about 2.5 liters of jet fuel per passenger and 100 kilometers flown, about 30 percent less than many current as well as previously operated long-haul aircraft models.",0.869
1625,227.00...yet??..............LOL!,0.0
1626,Breaking “Max 737 grounding may extend till end of June as FAA explores potential issues with landing “,-0.0254
1627,"ER before the market opens tomorrow, its not going to be about the results but all about the guidance and open trade. Hopefully they keep it positive with the resurgence of travel, business travel to start up soon, recent plane deliveries, future order book and the Max737 flying again. JUST DO NOT GO NEGATIVE!!",0.9532
1628,Boeing’s backlog was never in danger. By the time they get close they need to boost production. But good help is hard to find these days. They will have many more orders and increased production long before they get close to the backlog.,0.9668
1629,Where are all the bashers today Love to here from you and all the excuses you come up with why this stock isn't going anywhere but down.,0.3683
1630,china ever gonna approve the max?,0.4305
1631,Surging corona cases and renewed lockdown around globe have suppressed the travel stocks again.,-0.1265
1632,Interesting drop again today. I added again today as I will not miss the breakout,0.7395
1633,320 is within reach,0.0429
1634,"Iam and his 50+ accounts can post up to 300x in 24 hours, all from his basement.",0.2462
1635,"Cramer was right “ Exclusive: Boeing faces new hurdle in 737 MAX electrical grounding issue - sourcesEric M. Johnson, David Shepardson and Tracy RucinskiTue, May 4, 2021, 9:45 PM·3 min read”",-0.404
1636,Ted Cruz threatens to cut Ex-Im for Boeing if the don't contribute to Repubs.,-0.6936
1637,"just watching, got nadda on BA this week. finally broke that 232 mark from 4/20 with the occasional dips below that since then so interested to see if it can rebound to that 232 level by the close today. but really really not looking good at all here at 228 for that!!",0.7866
1638,Down more than double the market %...yet again!!...LOL ....Love this short!,-0.6284
1639,"Boeing Co. (Symbol: BA) options are showing a volume of 160,629 contracts thus far today. That number of contracts represents approximately 16.1 million underlying shares, working out to a sizeable 72.6% of BA's average daily trading volume over the past month, of 22.1 million shares. Particularly high volume was seen for the $260 strike call option expiring April 09, 2021, with 20,872 contracts trading so far today, representing approximately 2.1 million underlying shares",0.948
1640,up 3.00 in 1 hour thanks Weiss for Selling Boeing!!..LOL!!,0.6986
1641,"Dow futures rise as stocks point to strong open on Monday. It doesn't even really matter, BA goes up either way. And to think the pent-up travel crisis hasn't even begun",-0.0942
1642,What’s $278 to $220 in a month? 25% loss. I bet “Jin” took many many loads to the “chin”. Plane  crash  BA R.I.P. ,-0.604
1643,"Basically if you read the article with very negative head line…i believe this was a strong positive..Late last week, Boeing submitted service bulletins advising airlines on how to fix the problems with grounding, or the electrical paths designed to maintain safety in the event of a surge of voltage, the two people said.The FAA has approved the service bulletins but then, in ongoing discussions with Boeing, asked for additional analysis over whether other jet subsystems would be affected by the grounding issue, one of the sources said. The FAA will review Boeing’s analysis and any necessary revisions to the service bulletins before they can be sent to airlines.Boeing has proposed adding a bonding strap or cable that workers screw onto two different surfaces creating a grounding path, two people said. Boeing had initially told airlines a fix could take hours or a few days per jet.",0.9044
1644,"The blatant Manipulation of the US MarketNot even US stocks are safe.DOW, DAQ & SP - ""Intraday Record Highs"" yet the entire market is REDSuch BS Manipulation$NIO $XPEV $LI $TSLA $SAVE $AAL $BA",-0.525
1645,Holy cow! Going under $221 now,-0.1436
1646,"Albuquerque Mayor Slams Trump as He Refers $200K Unpaid Trump Debt to Collection Agency Trump has yet to pay an outstanding $200 thousand in security costs for a rally he held in Albuquerque, New Mexico back in 2019, KOB 4 reports.The city finally resorted to referring the debt to a collection agency, ""Given what else has happened, I mean in terms of, even his own campaign owing money to donors and lots of shady stuff there, so unfortunately I don't really expect us to get paid, but it's important that we do, and you know, we would do it for anyone else, so he's no different.""",0.4183
1647,I believe we will see BA $280-$300 in a month due to US & UK Look Past Covid-19 and Sees Economic Resurgence,0.1443
1648,for me to even think about going bullish you would have to change the pattern on the daily chart. news can change whats going in a day but will it change the bigger picture? gotta wait and see. gl bulls.,0.5504
1649,boeing still hasn't even fixed the white elephants they've had sitting on the ground that weren't grounded:https://simpleflying.com/boeing-100-dreamliner-deliveries/,0.0609
1650,"If you’re looking for a short and sweet guide to the day’s biggest news, I recommend (http://Thetraderguide.com). They breakdown the most important pre-market news and it only takes a few minutes to read.",0.7287
1651,Too many people are all of a sudden flying today. Let it catch up. I don't think the media can hide from the fact people are swarming airports again. Give it a few weeks.,0.3919
1652,BA is going to break $400 this summer.,-0.2615
1653,Come on #$%$ where R all the experts ?LOL,0.555
1654,Pent-Up Demand Releases: Hawaiian Airlines Faces Tech Crunchhttps://simpleflying.com/hawaiian-airlines-technology-crunch/,-0.1246
1655,love seeing shorts getting burned . yesterday was the day to load it,0.7081
1656,Wow! Fell $1.40 in like 30 seconds a couple moments ago,0.7205
1657,Must be the electrical issues weighing on the BA stock as FAA issues compliance order!,0.6353
1658,Trade volume slow all over - at market highs not lots of new money coming in until May -,-0.0441
1659,"Joe B., why the 500 point drop in the DOW? Answer me.",0.4029
1660,"If this piece of  is up tomorrow, and that’s a big if, it will be up no more than a $1 to close the day. The market isn’t going to propel the stock after earnings, no matter what. In fact, I’m going to bow out of my $250 strike calls tomorrow that expire May 21st and take a solid loss if the stock can somehow manage to be up $1.50 or so tomorrow",0.6957
1661,Spring break starting in 2 weeks and almost all our friends are traveling. Travel frenzy and media attention will bring BA back up to 270+.,0.4932
1662,$300 when earnings roll around,-0.2373
1663,March deliveries will send this stock 15 points higher next week.,0.2995
1664,Me Black Rock Want-Ta-Be(For sure)I actually admire U guysLol to my bank,0.7561
1665,This is a buy of a lifetime. Can’t fly without planes.,0.437
1666,Boeing will be $80 again at some point this year after another crash  or engine falls off,0.0798
1667,Wake me up when BA hits $2735.50 a share!,0.6508
1668,Time to buy more PUTs,0.1484
1669,"Hopeful to see BA at $350-400 by next year- with more debt and lack of Govt defense spending, I think a realistic bet. Only 100 shares but a good long term hold, hopefully no more glitches to fix with FAA etc.",0.9242
1670,Good buying opportunity for $BA $UAL $AAL $CCL.,0.7807
1671,"If the minimum wage had grown at the same rate as Wall Street bonuses since 1985, workers would be paid $44 an hour today providing for many, many more frequent flyers.",0.7136
1672,loaded up @ 234 earlier today~ now averaging out at 243~ it's going above 300,0.4785
1673,Long term investors will conquer all. Stay strong and invest in BA. It will happen. It will rise and pad your investment account. Long live long term investing!,0.9217
1674,"Bought 44 shares at $446 few years ago.. Bought more at $89 $120 and keep buying. up to 81 shares. Wish I'd bought more last week. Been a long term bag holder but it's all good,",0.8696
1675,TOTAL BACKLOG 364B. MARKET CAP 135B.,0.0105
1676,Get ready for some action. Purportedly a China order is coming this week.,0.7388
1677,"222.00 this morning....LOL!!,,,buy 225 puts will pay off big by friday",0.1989
1678,"Boeing could do well in May if it manages to break above a key level, Piper Sandler senior technical research analyst Craig Johnson said in the same “Trading Nation” interview.“This is a stock that has sold off 7% over the month of April,” he said.“It’s coming right back into a big area of support right around 300, and from our perspective, any sort of move above this ... 369 level is going to just open the door for a whole [new] leg higher,” Johnson said. “This is a stock that we think should be bought here and I think it will be a winner.”",0.925
1679,"Hey, Jinny an Jeanne...what's your pps prediction for Memorial Day, Independence Day, Labor Day, Thanksgiving Day, and End of year. I need a good laugh",0.8248
1680,Here comes the run up to earnings. Shorts better cover or lose it.,0.438
1681,"“Changing the equipment could take hours or days to fix, a modest disruption,” she said. Boeing’s leading alterations to aircraft “is not out of the norm, but would seem to get more attention given prior issues.”",0.4443
1682,$227.50 in AH. These hedge fund creeps are relentless.,0.3805
1683,"As far as I know, 16 airliners have been communicated with recommendations. They just need to verify the existence of ground path on electrical power system components!",0.8639
1684,Breaking news China just announced it is starting its own plane company and won’t need Boeing or airbus anymore! Just kidding,0.6046
1685,"Like what I'm reading on Boeing. When business is right, this is the biggest cash generator in the nation not to mention our largest exporter. This will go a long ways towards fixing what ails a company like GE as well who build the most popular engine for all of these new Boeing sales.",0.943
1686,How many 737 MAxs is there still in Boeing s backlog ???????,0.6525
1687,I feel ok about this one. Today's volume of buys were larger than yesterday's volume of sell. Friday is typically happy feeling.,0.889
1688,"Arizona Republicans are examining whether there is bamboo fiber in ballots that were used in the 2020 election, an activist assisting with the ongoing audit of the ballots told reporters this week. The latest claim underscores how rightwing conspiracy theories continue to fuel doubt about the results of the results.“There’s accusation that 40,000 ballots were flown in to Arizona and it was stuffed into the box and it came from the south-east part of the world, Asia, and what they’re doing is to find out whether there’s bamboo in the paper,” John Brakey, a longtime election audit advocate, told reporters.",-0.622
1689,iam is back to give us more money,0.0883
1690,Y’all know what happens when someone buys 4bil worth of stock in 5 minutes,0.5091
1691,"I own $BA $FB $ GE too but SQ is the big hit 4 me. I think igaming ,online casino, esport etc is gonna be so huge SQ should either start one or buy one. My target is 1000$ in 3 years mo.DD n GLTA.",0.9665
1692,The company with huge growth potential as its history indicates and a major player with high market share in the world,0.8474
1693,OMG OMG OMG she keeps going up.,-0.1785
1694,bout to be donzo with commie yahoo keep deleted my msgs.,0.4217
1695,Boeing price below 250 is a joke. Another chance to own this super undervalued company. BUY BUY BUY......,0.8998
1696,Roger only knows what he reads in the newspaper ! Hah !,0.5887
1697,"MAG to retire Airbus A380 fleet, takes delivery of Boeing 737 Max",0.4692
1698,$242 today? I think so.,0.1058
1699,"Johnn, here is when you say ""i guarantee it closes red""",0.1023
1700,"Breaking-BA doomed now ""Boeing extends 64-year-old CEO Calhoun’s mandatory retirement age to 70, CFO to retire""",-0.3583
1701,One positive with today's action is the volume wasn't high. No panic selling.,0.8399
1702,Breaking “Cramer gone mad at Boeing management; says shareholders will suffer this quarter because Boeing management doesn’t know how to execute; they made a mess of electrical issues”,-0.8197
1703,JB wore a mask in a zoom call. The only one in the panel. And you listen to this gut,0.6897
1704,United Airlines tells staff it’s hiring hundreds of pilots next month as carrier plans for a travel recovery,0.8331
1705,Can't pay you any dividends but Calhoun gets 21 million.,0.164
1706,Can we see 320 soon?,0.0499
1707,"Did anyone notice that Cramer has suddenly gone quite on Boeing; In fact, he has shown his disappointment with the ongoing QC problems and management!",-0.4187
1708,Looking even better Cramer's negative on BA. You know what that means.He was just having to say oh but my charitable trust owns it. Lol,0.9226
1709,which commercial plane does Boeing make that doesn't have any problems? its like every month there is something new showing how many corners this company takes.,0.7196
1710,It’s so beyond fun to short stocks 1000x better than being and if you buy weekly puts you can make 500% a week every week,0.7695
1711,The deal comes after a multi-year fleet evaluation by Southwest and means that Boeing and its suppliers could build more than 600 new 737 Max jets for the airline through to 2031.,0.3787
1712,She goes green later or gets close.. Let Calhoun speak. 10:30.,0.4174
1713,Looking very healthy,0.4019
1714,will buy even more next support level $202. Hopefully upside next week.,0.8421
1715,UAL got hammered yesterday. That tells me that even with a passenger volume 'recovery' it's going to be a challenge to turn that into profitability. There are still a lot of marketplace structural issues left. One thing I've noticed is ticket prices are going up. That may hurt the recovery because airplanes need to be packed to be profitable.,0.7422
1716,Jin and associates worried over the long weekend;,0.2017
1717,BOEING GOOD! $350 by Memorial Day!,0.6646
1718,"Air Transport Services Group, Inc. (NASDAQ: ATSG) announced the delivery by its Cargo Aircraft Management (CAM) subsidiary of a Boeing 767-200 converted freighter to Raya Airways of Malaysia under a five-year lease. This is the third Boeing 767-200 freighter CAM has leased to Raya Airways.",0.3101
1719,"United Airlines has announced a massive schedule boost this July. With over 400 more daily departures in the carrier’s schedule, the airline is clearly expecting passengers will take to the skies in large numbers after spending the last year away from friends, family, and tourist attractions.",0.9094
1720,"This stock is going to run up to $350 now, and then $400+ in the fall.",0.3093
1721,Boeing Stock – BA Stock: $306 Target By Baird,0.31
1722,"Do you think Amazon uses their blimp to send goods to customers? Nope, they use planes, many BA planes.",0.2637
1723,"At this Moment, LH A380, reg D-AIML on its way from FRA to Teruel graveyard in Spain. There are quite a few there already.",-0.0417
1724,"Southwest Airlines (LUV) - Get Report shares were higher after the carrier said it would add three new destinations to woo customers as travel demand rebounds.Shares of the Dallas company at last check rose 5.8% to $60.20.Chairman and CEO Gary Kelly told employees that the airline would add Myrtle Beach, S.C., Eugene, Ore., and Bellingham, Wash., to its schedule.Southwest continues to ""focus on putting our aircraft to work to pursue more customers and much-needed revenue,"" Kelly said in a statementSouthwest is planning to start flights to Myrtle Beach this summer. Service to Eugene and Bellingham will start in the second half, the company said.The airline said that including the three announced today, Southwest has either opened or announced 17 new airports since the pandemic began.""That's a lot of work, a lot of new destinations, and a lot of options for our customers,"" Kelly said. The new airports ""better [position] us to capture more customers as the travel demand rebounds,"" Kelly added.Last month, the company said it had seen an improvement in leisure passenger demand and bookings.A Deutsche Bank analyst, Michael Linenberg, late last month upgraded several carriers including Southwest to buy from hold, saying the sector was ""back on track.""""We are upgrading our investment stance on the sector as COVID cases, hospitalizations, and vaccination rates are all trending in the right direction,"" Linenberg said in an investor note.",0.9826
1725,They had some interesting insights about BA on (http://Stocks-tracker.com). Definitely made me think twice about the company.,0.7648
1726,Thank you may I have another... ,0.4677
1727,"Holy moly-this is landing at $220:""But the fundamental issues at Boeing remain an ongoing concern, and even as the company fixes aircraft problems as they come up, many are wondering just how deep these problems go, and whether we’ve now seen the end of them. This latest 737 MAX issue only feeds those concerns.""",-0.7819
1728,March deliveries should come this week. Thy will be HUGE. Would like to see $275 by Friday.,0.7384
1729,Whoa. What happened?!,0.3796
1730,Sw deal new coonfirmed order is atleast 15 billion and that should wipe out lot of debt from standing inventory. Stock should rise atleast 5-6% with yhis deal,0.4904
1731,"Almost 20% growth this year alone, CONGRATS LONGS! 200 more points to go by Christmas.",0.8
1732,https://simpleflying.com/philippine-airlines-cuts-fleet/,0.0
1733,https://www.aerotime.aero/27624-xiamen-airlines-boeing-737-max,0.0
1734,BA is number 1+ guys!go BA DKNG DQ TME BNTX....,0.1511
1735,The mighty Jin Dak says $300 here we come! It's over with the nonsense. Bad day for Wall St.Time to fly!,-0.7531
1736,Great news and hope they use GE engines,0.8312
1737,https://simpleflying.com/boeing-iran-air-order-potential/amp/,0.0
1738,Time to load more,0.2948
1739,Lawrence C Strauss of Barron's indicates that Boeing will be reinstating dividends as their sales increase.,0.2721
1740,Lotta GREEN today......but Not The Boeing (Death for Losses ( Lack of Profit 6 qts in a row) Company!LOL!,-0.2158
1741,Travel is returning and they are trying as hard as they can to steal shares before the pent up demand is fully understood.,-0.1331
1742,Another beautiful day in America. We make things here like planes. Proudly American made!,0.8887
1743,"Dave, 266.99 down 8.50 for the week....LOL!",-0.3712
1744,"Analysts at Wells Fargo & Company started coverage on shares of The Boeing (NYSE:BA) in a research report issued to clients and investors on Tuesday, Benzinga reports. The brokerage set an ""equal weight"" rating and a $244.00 price target on the aircraft producer's stock. Wells Fargo & Company's price objective would indicate a potential upside of 7.03% from the company's current price.",0.9392
1745,Powell is crashing market on purpose. He wants all day traders to go back to productive work.,0.2397
1746,"OMG, I am so scared: Market futures point to a brutal day; already Doe 200 points down. Boeing to report negative deliveries tomorrow-Holy Cow, I am so scared for Jin and associates!!!’",-0.9467
1747,"Joe Bidumn to the rescue, go Joe Bidumn, go, go. After I sunk $500K into this stock on Tuesday. My swing trade might have been premature",0.906
1748,"Over 1,000,000 TSA travelers a day for 3 weeks. Travel is going to burst wide open.",-0.2623
1749,"Debt almost reaching 70Bn, with Max approved since 4 months , still in loss like 2020 Q1 .",0.3312
1750,I don't feel bad because we a nd my girlfriend purchased Boeing at $44.00 dollars a share in 2009. Bought a nice house in Long Beach California and a YACHT..,0.8973
1751,RED DOW!! But BA shines green anyway! Tomorrow will close the gap and then embark for $400.,-0.3578
1752,BA is still up close to 10% in the last week. Normal adjustment. Nothing to worry about.,-0.1344
1753,"Boeing Good, $300 in 2 weeks! Jin knows best.",0.8041
1754,dropped another 1.00 in 1 minute!...LOL!!,-0.4256
1755,"Unbelievable! Cramer did say, it's ""BUY"" at $200!!!!",0.496
1756,"51 million shares are short and Hedge Funds drove the price down in the morning to shake out short term profit takers so they can cover to lower their losses.Someone bought 2300 shares in pre market trading at 249.25.That is smart money afraid of missing out on the run up to 300.And that is a 573,000 dollar bet that it will go to 300 and beyond.",0.5594
1757,$250 will be back within 5 working days.,-0.0306
1758,"2 WEEKS of 1,000,000+ TSA checkpoint, and this with half the world still playing the lock-down quarantine travel restrictions game. Only 12,000,000 vaccinated. Just wait what you see next, a travel-demand all at once with undersupplies.Can anyone say $500?",0.7072
1759,"Soo many days this opens green and turns red almost immediately. I sold all my shares close to the high today and bought back at $251. Sometimes it works and sometimes Boeing just keeps going up, today it worked.",0.7187
1760,Summer Vacations Are Selling Out Fast. Here’s How To Outsmart The Crowds.https://www.forbes.com/sites/suzannerowankelleher/2021/05/15/summer-travel-guide-2021-vacations-are-selling-out-fast-heres-how-to-outsmart-the-crowds-plan-b/?sh=5acd19ad11a3,0.0246
1761,"_______RECORD BREAKER______ TSA checkpoint yesterday > 1,850,531We will surpass all time highs soon!!! BA will be gain massively from these huge waves of returned air travel, you heard it here.",0.7762
1762,Turkey’s national flag carrier Turkish Airlines (THY) Thursday put one of its Boeing 737 Max planes back into service for the first time since it was grounded around the world following two deadly crashes.Turkish Airlines flight TK2138 took off from Istanbul Airport at around 10:10 a.m. with 96 passengers onboard and landed at Esenboğa Airport in the capital Ankara just before 11:00 a.m.,0.7981
1763,"Southwest Airlines expects aircraft capex of $5.1B through 2026 associated with its 169 Boeing 737 MAX orders. Even factoring in compensation and deposits, that works out at little over $30M per aircraft, providing insight into the level of discounts that big customers are securing for the MAX, with its list price of over $100M. Southwest removed 32 MAX jets from service because of the recently-surfaced electrical issue, and like other operators says it's still waiting for guidance from Boeing and the FAA on corrective guidance.",0.7066
1764,Any ideas why $SPR starts off strong and ends up down while $BA and the rest of the market reaches new heights?,0.8777
1765,Back to $250 by tomorrow close.,-0.0033
1766,Thanks for more nibbling opportunity!,0.7211
1767,"“ Most of the affected planes are still in storage and already face a lengthy check-up before they will be handed over to customers. Boeing wouldn’t disclose how many planes will need to be inspected for the manufacturing glitch.“We’re taking steps in production to correct this potential issue and ensure it has been addressed in every airplane we deliver,” said Boeing spokeswoman Jessica Kowal.”",-0.1427
1768,"Going to close in the green today, Smart money knows that good news is coming on Monday and more upgrades will follow.",0.7159
1769,Bought 35 shares. Happy.,0.7096
1770,"i just joined this forum.. it's funny to see when the stock goes down, the shorts come out and laugh. When the price goes up, there is no shorter to be found. I will stick with my viewpoint regardless of how the stock performs daily. I see it over $300 this year. And unless there is another crash, I'll be holding for years and years.",0.9211
1771,Cathie Wood's ARK Invest will be thrilled!!!,0.5599
1772,buy buy buy buy,0.4734
1773,"just Options expiration Friday....Someone with ""juice"" really needs to keep BA down on Fridays",-0.0348
1774,"hey i know, i don't know where BA gets its revenues from or what im doing so let me bet on a stock (or even worse) options to go a certain way and when the trade doesn't go my way, i'll blame everyone else and my dog for me not understanding what's going on fundamentally or on a chart. current ratio? that sounds like jibberish. i've got a ""feeling"" so this asset has to go my direction. and i know i can do this because i have no experience, no knowledge of what i'm doing but i have itchy hands and you know what that means!!! i'm going to pick a winner!!you can't make this up.",0.8639
1775,is will be the end of the $250 options game as BA will be over $300 soon.,-0.2468
1776,"Volume is not great because of new equity fear, which come at the close or on Monday!!!!",0.4949
1777,https://www.reuters.com/business/aerospace-defense/spirit-aerosystems-increase-737-max-parts-delivery-2021-2021-05-05/$BA $GE — . BULLISH!,0.4223
1778,$800 stock.,0.1899
1779,"Boeing Awarded Contract For Two New P-8 MPA For RAF And Nine P-8 For USN April 7, 2021 GDC Americas , Europe , Naval Platforms 0 New Zealand has become the fifth export customer for Boeing's P-8 Poseidon, with a $1.6 billion order for four aircraft.",0.2029
1780,"Yesterday, UPS Airlines took delivery of its 175th Boeing, a 747-8 Freighter. But Freighters weren't that important according to someone on the board.",0.484
1781,Johnn? Johnn? aren't you supposed to say something like it will be red by closing.. or something about how much it has dropped in the last 3 months? Or 5 years? or something.,-0.2817
1782,"Breaking: ""Equity analysts expect Boeing to propose significant equity raise in the range of $40 B to $60 B at the upcoming board meeting to deal with mounting debt challenge and cash crunch""",0.3885
1783,Yahoo after hours data is pretty screwy.,0.2648
1784,278 in a week,-0.0002
1785,220 in no time stay short be patient wont take long,-0.7029
1786,"Cramer likes Boeing, says $720 in 18 months.",0.4304
1787,"Breaking ""Boeing beefs up business to convert old 737 passenger planes into cargo jetsPUBLISHED WED, MAY 5 202111:59 AM EDTUPDATED 20 MIN AGO""",0.4349
1788,"United, Alaska stocks get upgrade on ‘clear path to reopening’ for air travel industry",0.6115
1789,hahahahahahahahaha big dropagain. ready to buy buuy buy buy,0.6703
1790,There once was an #IMPOTUS from QueensWho asked Ukraine to intervene A quid pro quo he soughtOh but he got caught Now he rage tweets from the latrine,-0.274
1791,Earnings and guidance will turn BA around for sure.,0.2588
1792,im holding. whatever is happening,0.5574
1793,"Boeing’s Board needs to hold Calhoun accountable for its poor operational and cash management. Quarter after quarter their CEO gives excuses with no real plans. All companies were impacted and even the weakest airlines have made progress. There are many better leaders out there, Calhoun had his chance, it’s time for change.",0.1425
1794,"Ryanair expects 16 Boeing 737 MAX deliveries by summer, says CEO",-0.0776
1795,Hey  Jin how many “loads” to the chin? When did yet another Boeing plane  crash off the Indonesian coast?,0.1927
1796,"Rolls-Royce is in talks with Boeing about powering a future commercial aircraft, following the UK manufacturer’s 2019 withdrawal from the race to provide an engine for the US airframer’s then-proposed New Mid-market Airplane.During Rolls-Royce’s annual general meeting on 13 May, chief executive Warren East said: “It is fairly well documented that Boeing is exploring the opportunity for a new aircraft… We are in dialogue with Boeing about that.”",0.9365
1797,"Yo unhappy, better jump on this: https://www.cnn.com/2021/05/05/entertainment/tiger-king-carole-baskin-crypto-coin/",0.3906
1798,"Oh, when I have bought my shares on Friday, now Jeffery’s analyst is saying that scope of the electrical issue may be significantly broader than initially thought and would extend to hundreds of plane in the storage incurring millions of repairs expenditures!",0.608
1799,going Much Lower!! Cant even get a 1% pop on this ...LOL!! this will be RED by 9.35AM...LOL on its way to 210,-0.668
1800,What will the shorts say when BA turns green by the end of the day?,0.0917
1801,GREEN again! The DOW is still deep red but BA cannot the this anymore.,0.0863
1802,Great shout out to all shorts on ba. I like to personally thank you for paying for my new 765 lt . Got word Friday car is built. Now for the track from jolly old England to Canada. Should have it 3-4 weeks. You all and everyone of contributed in paying As my shorts on her have to cover and pay every time they brought ba down I loaded and re loaded time after time after time all yr. Again I thank you,0.9635
1803,$235 tomorrow again.,0.0337
1804,machines at work,0.0013
1805,earnings and guidance on 4/28 must be fantastic because of all the good news lately!,0.8502
1806,"I had hoped that Boeing would provide some update over the weekend on nothing burger electrical issues, but it seems FAA is being very careful after the Senate Committee report that described FAA in the pocket of Boeing!!!!",0.7614
1807,Yesterday was flat. Stocks don't go up every day. $300 by end of week.,-0.1232
1808,Had to go away for a month. Is Boeing still $278????,0.3015
1809,I think BA will turn green today!Buy at opening to get discount!,0.2363
1810,This stock goes up a little every DARN DAY! BA never dips anymore. This is a long's dream come true.$500 sooner than you think!,0.8603
1811,Remember the Boeing stock price the day of & after 911 ? Somewhere around 20 bucks.I put everything I had into Boeing stock. History repeats itself...watch and learn LICKSTERS !,0.5497
1812,This isn’t fair; how much beating bulls can take!!!!!,-0.3946
1813,Just keep muting coco ad all of his aliases. You can spot the from a mile away. Illiteracy.,-0.3073
1814,"Australia’s Regional Express (Rex) will boost its Boeing 737-800 fleet over the coming months from six to ten planes. The airline only started flying jet services on selected Australian domestic routes in March. But already, the jet services are exceeding expectations, and the airline has secured more Boeings.",0.8302
1815,Air travel amd orders are exploding. Under $300 is a gift,0.2458
1816,Buying all that I can at these levels earnings and guidance next week!,0.4701
1817,"Compared to Airlines, Cruises, and Airbus,,,,,BA was really strong...Kudos Longs",0.02
1818,The stock will go up from here for the next 30 days at least.,0.2504
1819,https://www.msn.com/en-us/money/other/boeing-forecasts-india-e2-80-99s-air-passenger-demand-will-double-by-2030/ar-BB1fo3wl,0.0
1820,I think all re-opening stocks falling due to increasing covid cases worldwide,0.1877
1821,"Mon, March 29, 2021, 9:42 AM(Reuters) - American Airlines said on Monday it expects to fly most of its fleet in the coming months thanks to strong domestic and short-haul international bookings as COVID-19 infection rates and hospitalizations decline and more people receive vaccines.American said that as of March 26, average bookings for the next seven days had reached 90% of levels experienced before the pandemic upended air travel in 2019, with a domestic load factor of about 80%.",0.8803
1822,"10 billion deal is coming, I'm happy .",0.6459
1823,How much more money BA is going to loooooooose this quarter ? Planes selling at 50-60% discount. I am glad they have carryover losses hence no taxes for the next 10 years.,0.0343
