,Recent headlines and conversations for K,Polarity
385,"I've been adding small amounts , Thinking Defense",0.2127
386,Data shows that 93 percent of black homicide victims are killed by other blacks.,-0.7046
387,"50 million ""Deplorables"" just tossed their Kelloggs Corn Flakes from the kitchen and will be picking up Post Corn Flakes on their next trip to the store. This stock will tank in the next two quarters when earnings and sales plunge to new lows after this major screw up by management.",-0.5336
388,Former incompetent President Obama lied so many times I lost count. And Is now Lying about wiretapping Trump Tower. Obamas a pathological liar. https://m.youtube.com/watch?v=G7kmIWGUiO0&itct=CAoQpDAYByITCLmApdOvxdICFdHRqgodzrgGnTIGcmVsbWZ1SKm9k_zMk7fr7wE%3D,-0.9145
389,"Can't believe this stock isn't taking today. When they get the next two quarter's earnings and find out 50% of Americans (Trump Voters) will never buy another Kellogg product, this POS company will be under $40 per share. Kellogg competitors must be loving it since most of their products are pretty much the same quality and price. Sales will nosedive in the 1st Q of 2017.",0.9132
390,Needing some bb,0.1563
391,It aint be my fallthttps://www.youtube.com/watch?v=bavou_SEj1E,0.0921
392,️Obama in hiding after breaking news he was bugging Trump Towers now he is lying like when lied about Obamacare- if you like your doctor and your insurance company you can keep them. Obama is a pathological liar and excuse maker.,-0.5915
393,"President Trump in his first 6 weeks in office and already impacts on illegalls:Illegal border crossings decrease by 40 percent in Trump's first month, report says... President Trump keeping his promise ",0.5934
394,Thanks Michigan for help electing Trump,0.6798
395,Truth be known.https://www.washingtonpost.com/news/the-fix/wp/2017/02/08/ted-cruz-the-democrats-are-the-party-of-the-ku-klux-klan/?utm_term=.cfadbae69762,0.3231
396,"I wouldn't feed Kelloggs' sugar-laced slop to hogs, anyway.",0.2419
397,"They only sold the Keebler cookies, not the much larger cracker business which they still own outright.",0.2571
398,The short interest has hit all time high as of 10/31/17. Is the squeeze on?,0.3256
399,"Don't be a d*@#k, buy some AMD!",0.0801
400,What a great solid buy here,0.7332
401,Maybe K is feeling a little white guilt for destroying minorities health with processed foods.,-0.4556
402,Shareholders are becoming disappointed with the management team. The door is wide open for an activisit or takeover.,0.211
403,Take out coming this year,0.2321
404,LOL! At Crazy Hillary caught on tape saying guess what??? Watch it.https://m.youtube.com/watch?v=BcQwXZ60GFs,0.7432
405,"Hey, did you guys hear Trump said he was going to cut taxes to the coal industry and raise taxes and eliminate deductions for the solar industry.Sounds t me like A GREAT PLAN!",0.9543
406,Who said Hillary was not racists? Watch video and you decide.https://m.youtube.com/watch?v=xubN6ctNNv8,-0.3676
407,"I'm white so I don't like this company. If you're white, stop supporting these haters.",-0.4736
408,Nice to get two years of dividends in one day!,0.5957
409,I bet it's something in the water. http://www.fox2detroit.com/news/local-news/242458436-story,0.0051
410,We have not bought any Kellogg products since they decided to go political against President Trump.Bad choice people. I vote with my wallet. And I am the shopper in a house of 5.,0.4909
411,"trump turns cuckservative, to us a term most seen at breitbart: Trump bowed to the king... Trump refused to say ""radical islam""and instead sounded just like Obama...“This is a battle between barbaric criminals who seek to obliterate human life, and decent people of all religions who seek to protect it,” Trump said during the televised speechTrump had said that obama should resign if he wouldn't say ""radical islam""http://www.rawstory.com/2017/05/fox-host-jeanine-pirro-abruptly-cuts-video-of-trump-bowing-to-saudi-king-during-kellyanne-conway-interview/",-0.6086
412,Why does this company hate white people so much?,-0.4592
413,"Downside risk pretty much eliminated now I would guess, thoughts? I started receiving notifications from aw-esomeSTOCKS the other week and so far they have presented interesting new trade ideas.",0.7739
414,Look more red on the map as Democrats lose another election in Montana. Poor Democrat party of losers and the map says it all. https://m.youtube.com/watch?v=zZuPfs2DtWI&itct=CAwQpDAYBSITCMqitqjt8tMCFZYqqgodyWMPmDIHcmVsYXRlZEir8M7OrIez2vQB,-0.8463
415,Bill the dirty pervert and Hillary was the enabler.https://m.youtube.com/watch?v=eTfHqAxwbJc&itct=CBAQpDAYASITCIeilpDsstICFVh-qgod9EYEnDIHcmVsYXRlZEiO_9Xo1NSWyRc%3D,-0.7456
416,Fritz is proof -- Liberals are so freakin' gullible.Must be from all the inbreeding.,0.0557
417,"Most people eat three times a day, Food stocks are a No brainer",-0.0705
418,f,0.0
419,http://www.reuters.com/article/us-usa-saudi-security-idUSKCN11D2JQ,0.0
420,doesn't frankin graham want to grab this. move on her like a #$%$? then eat a little crACKER and ask for some money for jesus....http://nypost.com/2016/07/30/melania-trump-like-youve-never-seen-her-before/,0.6089
421,Not a loss-an earning beat at 91 cents--careful here.,0.1921
422,Post is better,0.4556
423,i'm in for 500 shares today. Great products. Great brand. Opportune market for the year. Div is strong. Keep it rolling.,0.9345
424,There is one thing I like about Donald TrumpHe's the POTUS!,0.6384
425,I think kellogs need a lesson in humility,-0.011
426, Most Americans agree President Trump is doing 10 times better job then incompetent Obama did. $10 Billion arm deal = Jobs jobs jobs for  USA,0.49
427, Comey testimony vindicated Trump. Hey liberal sore loser still NO EVIDENCE OF COLLUSION in 18 undisclosed contacts with Russia. Cry baby sore loser democrats have nothing and fake news has not one shred of evidence or proof. Pack of liars. http://thelibertarianrepublic.com/trump-campaign-18-undisclosed-contacts-russians-no-evidence-collusion/,-0.9557
428,"RX Bar helping, will break $60 within a week",0.3895
429,A bunch of corn flakes running this company! From $75 to under $55 in 6 months --great shareholder return! Keep up the cartoon performance!,0.6782
430,Great news but then why dropping today?,0.5317
431,Fritz- spamming lies 24/7 poor guy cannot find a real job. Can you say loser?,-0.8936
432,Mr. Magoo  loves Kellogg cereals and snack foods.,0.6077
433,Can anyone tell me why did devout Muslim Valerie Jarrett move in with Obama? Sure seems a little bazaar. https://m.youtube.com/watch?v=GzKnoOlncnE&itct=CBEQpDAYACITCLbm0s3Y0dICFYRkqgodxhcMczIHcmVsYXRlZEiJ7L2O47HBtLsB,0.4102
434,Berkshire Hathaway should Buy Kellog,0.1905
435,K is up 5.07% to 61.14,0.1818
436,fritz- says Check out Hillary video she is corrupt to the core. Thank God she lost.https://m.youtube.com/watch?v=8-vbqSLritY,0.7493
437,"Trump obstructed, lied and is obviously doing a coverup..Now there is the threat that he might fire the special prosecutor... even as it is now know that Russia election hackingwas real and wide spread........Trump is obviously worried that a investigation will ultimately net him or close associates,that is exactly how he acts",-0.8137
438,Coke would dominate the market if they had a hemp Coke and other hemp products. I have no idea what they're waiting for but they're going to miss out.,0.3408
439,Time for a change in management!,0.2005
440,159.3% earnings growth in 3 years.. What’s your opinion? $K https://simplywall.st/NYSE:K/kellogg,0.414
441,"Fake News source. The Biggest Fake Dishonest news network is CNN and NBC/ MSNBC is #2 Remember lying, dishonest CNN Donna Brazil feeding Hillary campaign debate questions in advance. One bias new story after another. Could be why the ratings are in the toilet.https://m.youtube.com/watch?v=YgNcvNfCeQY",-0.8151
442,"VERY misleading cereal box labelingKellogg is a reputable, iconic companySo, as a long term stockholder I am disappointedthat they would resort to extremely misleadingand borderline false advertising to sell a box of cerealThe Fruit and Yogurt cereal box shows pictures ofstrawberries, raspberries, and blackberries prominentlydisplayed on the front of the cereal box.It also shows a cereal bowl with some red colored fruit in it.However, the ONLY fruit that is shown in the list of ingredientsare dried apples Vegetable coloring is also listed as an ingredient.I guess they color the dried apples red to make it look likethe fruits shown on the front of the boxKellogg execs need to have a talk with their marketing dept.",0.7745
443, Dr. Ben Carson wipes the smirk off Obama's face. Great video watch it. https://m.youtube.com/watch?v=EHxJK_xSpcg&itct=CA4QpDAYAyITCPuG-KLP29MCFVh_qgodNusJxDIHcmVsYXRlZEjP14K13pqWvD8%3D,0.6923
444,Mr. Magoo  still loves Kellogg cereals and snack foods and eats them everyday. ,0.6299
445,Wonderful new products. High quality brand,0.7691
446,"Huge earnings beat, double digit organic growth, raised full year guidance and stock price is down. What gives? This should be up 4-5%. Much more to come in 2nd half of 2020.",0.901
447,"No more preachers, no more crooks,no more phony science schnooks .Thanks President Trump .Y.T. Unterman",0.0173
448,Sweet Trump gets to appoint supreme court judges for the next 4 to 8 years. May they all be conservatives,0.856
449,"Yes indeed a plurality of voters think Barack Obama is the worst president since World War II, a new Yahoo poll says.According to a Quinnipiac University poll released Wednesday, 33 percent of voters think the current president is the worst since 1945. I agree and Ronald Reagan was rated the best president since World War I",-0.5206
450,"Worried about being in an expensive stock? Take a look at AEO. They had a profit of over 39% last Q and BMO says channel checks show they are on track this Q. AEO trades at a discount to its peers. AEO 12.5X, ANF 18.5X, GES 16.8X and URBN 13.65X. All of its peers have missed multiple times while AEO guided higher. AEO has no debt, a 3% divi and a $28 mil buyback. Also 35 mil shares short are caught on the wrong side of this trade and on Mon AEO closed above breakout territory. Major squeeze coming!",0.9122
451," I know why Democrats are so angry do you? Answer:: Since 2010 Democrats lost 986 state legislature seats, 13 governors of states 69 House seats, 13 Senate seats. Oh, Democrats lost the White House, too. Now you know democrats and liberal Fake News Hate Trump so much. Sore losers. Oops try again in 2020 but run a honest person not a liar.",-0.7526
452,Think I am going to have to short this after Kelloggs stepped in it.,-0.5097
453, President Trump Making America great again getting us out of the Paris climate accord and the stock market loves it.,0.8588
454,Hillary Clinton do the democrats have anyone that can beat President Trump in 2020? Did you say NO! For once I agree.,0.3675
455,crotchgrabber sayI wish Monica would come see me,0.457
456, cry baby Hillary 2 time loser https://m.youtube.com/watch?v=PvxZI4XVrow&itct=CBEQpDAYACITCIST6Ke89NMCFYTNqgodE8AFSjIGcmVsbWZ1SNuw0PXZi4ziBQ%3D%3D,-0.6619
457,What a beautiful stock,0.6985
458,"Beyond meat puts out imposter meat products, but Kellogg's had morning star products on shelves for years. I don't get it",-0.2259
459,This is a super buy!,0.7005
460,Democratic Party self-destructing and burning up fast because they keep losing elections from coast-to-coast since 2010 and now are powerless.,-0.0555
461,"Nothing to see here today, v low volumeBack up next weekBought some 60 buck calls at bottom on Tuesday - up nicely so farJust came from KO where I made a nice 30% on calls alsoThis is a steal under 61, regardless of what the sentiment is",0.6941
462,"Fritz- now you can find a real Job . President Trump is doing a great job creating jobs over 275,000 in February. NY stock market keeps going up. Trump working on building wall. He is fixing the disaster Obamacare. So keep up the good work President Trump.",0.8942
463,http://ijr.com/2016/11/737617-why-donald-trump-will-be-the-most-pro-israel-president-in-a-generation/,0.0
464, Pocahontas a.k.a. Elizabeth Warren refused free DNA testing to prove her heritage. Another lying Democrat big mouth from Massachusetts. https://m.youtube.com/watch?v=bhIckNUeAq4,0.6053
465,Sick pervert democrat from New York. Let's hope this guy ends up with the general population at Rikers Island. Another democrat dirty pervert like Weiner. Fritz was that your neighbor?http://nypost.com/2017/05/26/de-blasio-staffer-arrested-for-child-pornography/,-0.5326
466,How much would Morningstar Farms gain Kellogg shsreholders with an IPO? The meatless vegan market is really thriving. What is it worth?,0.8034
467,"Generally speaking people dont want their breakfast cereal to be political. Kelloggs is smack in the middle of pushing a twisted ideology/philosophy that seems to be happy supporting a group that has openly called for the murder of our police force as well as wrongly label consumers of its products racist and ""phobic"" of the ""gender continuum"". The vast majority of current or yesterdays customers don't want to be told by a cereal maker how to define truth and reality... http://www.angrypatriotmovement.com/kelloggs-terror-group/.",-0.0165
468,"Trump will instruct State legislators across the nation to ban ""K"" products in the public school systems in theirdistricts. General Mills and other brands will do just fine. There is no need to endorse a racist Company thatpromotes the lefist lunatic disease of ""identity politics"" and worse, ""Black Supremacism"" as exhibited by ACORNand the BLACK LIES MATTER movement. NO RICE KRISPEES IN THE SCHOOLS!",-0.9435
469,Buy SPCE today ... They will store your product on the Rockets of SPCE. stock,0.3741
470,Rumor Warren Buffet adding to his long position,0.8033
471,I think K might have reached its upward limit and that a pullback may be possible. awe.some*sto-ck*s recently alerted this company i think. google them.,0.594
472,Pot smoking daughter just like daddy. https://m.youtube.com/watch?v=kSaPOPVaTo4&itct=CA4QpDAYAyITCOyNjbzgp9MCFYk6qgodx-cO5jIGcmVsbWZ1SNm28-SY2JmFXQ%3D%3D,0.7368
473,sup hommies?,0.1412
474,4% yield good buy,0.5884
475,Market makes little sense. BYND surges and K with same type of potential plus other significant food revenues and much larger languishes!,0.7242
476,"Plain and simple, boycott every company stands against the the ""deplorables"".These would be kelloggs, target, allstate, apple, starbucks, google, amazon",-0.3075
477,Yes We CAN!https://www.youtube.com/watch?v=fdTihf2_GGM,0.4769
478,Good for K for holding string against trumps trade lol,0.8607
479,Time To Dump This Master Maker Of Junk Breakfast Foods. They've Been Pushing Odious Amounts Of Highly Addictive White Powder & Crystal For Years On Our Youth. Now They Want To Poison Our Minds With Liberal Leanings And Insult Millions Of Hard Working Americans. Enough Is Enough. Put A Stop To This Madness. #BoycottKellog,-0.9018
480,Selling off on your own earnings makes sense. Then selling off on competitors earnings 2 days later when you did better than they did. That’s what makes stock trading very frustrating. Imagine 10 similar companies reported on a rolling 10 days and all reported a similar miss. So the first to report down 9x more than the last to report as each miss it gets hit over and over. That’s bonkers.,-0.1105
481,"Can anyone explain as Stan noted in previous question. How K is moving up with slowing sales y/y, large debt ie. the companies debt to equity ratio is 4.0, one of the most high price to book ratios on the market of 14.5 and a PEG of 10.0, and profit margins of only 4.0%. K is too highly valued for a takeover target, too expensive essentially with too much debt. They would wait for a pullback or correction. K is being pulled up by some kind of irrational K mania, as a value, fair value or growth investor would not buy K at these prices. The vast majority of analysts call the stock a hold. Any input would be welcome.",0.9372
482,"120k have signed the Breitbart petition. How much do those people spend $50/yr, $100/yr on Kelloggs products. How much have the dimwitted management cost Kelloggs shareholders?",0.3879
483,"k stock has been falling for 5 years during (perhaps) the biggest stock market rally of all time.Looks like its in route to the 40s Go stick your heads in the sand for another year, it will be low 40s then tell everyone how bullish you are again.possibly the easiest short of all time",0.1492
484,liar trump says he has 'tapes' that 'prove' what he says about Comey.But he won't show the 'tapes' to anyone .he also has proof Obama was born in Kenya,-0.0473
485,I hope they locked him up!https://www.youtube.com/watch?v=jgPs7S8CaDE,0.5199
486,Sell your shares fast...Kellogg sinking fast and about to really take a hit over bad management decision..,-0.1984
487,"Until Trump, we did not understand how stack the deck is against us. Its time to tear down the system by any means.",-0.0334
488,Not on Hillary's Facebook page. Nasty rude Hillary caught on video.https://m.youtube.com/watch?v=0Q3tjgaCBCU&itct=CBEQpDAYACITCNmCjPKCvdICFYPrqgodeusFNDIHcmVsYXRlZEjimZCB9POGwA0%3D,-0.6888
489,"Let's not forget Obama let millions of Mexicans,Hondurans, Guatemalans, Nicaraguans to come into US over our southern border and he let over 1-million Muslims into the country during his eight years of his failed presidency. Thank God he is gone. What a mess he left President Trump.",-0.0479
490,"Hey all you liberal posters :: if if's and butts where Canned as nuts Oh what victory Hillary would've had. But she lostand so did you. Trumps your new president January 20, 2017",0.6942
491,K is up 5.47% to 59.24,0.1818
492,One QUARTER MILLION have now signed the petition to NEVER buy Kellog products again. Add your name at Breitbar.,0.8234
493,Gorgeous stock,0.6955
494,"Why can't Democrats Win any election? When Obama won in 2008 they control all three houses. Now they control none and the Democratic Party is now a pile smoldering ashes. Here is the facts: Under President Obama, Democrats have lost 900+ state legislature seats, 12 governors, 69 House seats, 13 Senate seats. Oh, Democrats lost the White House, too. Democrats should despise Obama by now. Sad but all they do now is blame, excuse make and act like a bunch of crybabies.",0.1471
495,Notice that the Clinton Crime Family members have been keeping things on the down-low ever since the election. Clinton Foundation shut down as pay to play money flow stopped ,-0.5798
496,Watch and learn!https://www.youtube.com/watch?v=yW4IubMdqio&list=PLQif5IgK86YkWcvYFRe9-QqRX8NuhXqbf&index=22,0.2631
497,The inflation man commeth... sell,-0.0292
498,Wow it is true !!!!!  Muslim Valerie Jarrett moves into Obama's Washington DC rental home and now Obama declares he is a closet Muslim. https://m.youtube.com/watch?v=-QE51fnCnEs,0.8442
499,Obama now ranked as 5th worst President of all times. I think he is the worst. He divided the country and weakened the military for 8 years and lied more then any president I lived under. He makes Jimmy Carter now look good.,-0.8309
500,Corrupt dishonest Obama still up to his nasty tricks. Big lying slug. https://m.youtube.com/watch?v=AhULts_ErYw&itct=CAsQpDAYBiITCK2KwePwgdMCFdFnqgodwFwCKzIGcmVsbWZ1SIbyib7Nl9eBYg%3D%3D,-0.9071
501,the Coronavirus epidemic has saved Kellogg. Now people see the value in a good box of cereal once again.,0.8302
502,"I don't own any Kellogg stock yet, but one thing is for sure is that I would definitely put my money here before BYND at this point, especially seeing this is still near its 52 week low.",0.8629
503,Democrats party looking more like the SS Titanic every day...not a prayer for 2020 President Trump MAGA Win coming.,0.1939
504,Wow! Obama rated by Liberal Yahoo as worst President since World War ll,-0.465
505,"Yes indeed a plurality of voters think Barack Obama is the worst president since World War II, a new Yahoo poll says.According to a Quinnipiac University poll released Wednesday, 33 percent of voters think the current president is the worst since 1945. I agree and Ronald Reagan was rated the best president since World War II.",-0.6339
506,You lost 50% market in America lets see when the sales numbers start rolling in!You want to act like a communist company we will treat you that way!Stand behind BLM all you want!,0.5642
507,have drip since my 7th birthday (was a gift) in 2008. loyal customer then loyal now. I want them to spinoff the plant based segment. We need management to consider this,0.9078
508,I’m in for 1000 shares,0.2699
509,Buy order set for $56. Then add more if it goes below 52,0.5651
510,"Terry why do we have to ask for the link??Why have you hidden your little gem away? Cuz small gem, small thumb, small di#k",0.7776
511,Liberal Paul Krugman givesgay Rachel Maddow a dose of reality. Makes her look like the fool she is. https://m.youtube.com/watch?v=0W7BpPnCw4M&itct=CBAQpDAYASITCLCjxpOa-NICFQOdqgodCb4F3DIHcmVsYXRlZEjLtfO-tOXvwccB,-0.221
512,Drip drip drip  more proof Obama was a foreign citizen. https://m.youtube.com/watch?v=3Ib98zR01ys&itct=CAgQpDAYCSITCMyx1PCAwNICFQSIqgod4HQNXDIHcmVsYXRlZEjGs5bRorjw8O8B,0.0842
513,i agree,0.3612
514,Yes- I agree President Trump is making America great and rich again.https://m.youtube.com/watch?v=ImpJKHdRczE,0.9079
515, Classless Obama shames himself inside the White House https://m.youtube.com/watch?v=vpa9Kfafarw,-0.5688
516,But maybe they did not sell 100% of Keebler....,0.438
517,"""Kellogg Company Celebrates Frontline Workers in NYSE Closing Bell Ceremony""Management believes in the fake covid pandemic-hoax. Won't be long before politicians demand they pay their ""heros"" +$5/hr extra hero pay ""until the pandemic is over.""",-0.0548
518,https://www.bloomberg.com/politics/articles/2017-06-13/russian-breach-of-39-states-threatens-future-u-s-elections,0.0
519,PERVERT gary has been MUTED. Use the three dots in the upper right to MUTE.,-0.1207
520,"When it's time for a bowl of cereal I like some cold milk and I grab a box of Kelloggs, who's with me?",0.5427
521,"Boom: Best Economic Optimism in 16 Years, 50% ‘Better Off’ Under Trump-Washington Examiner“Public optimism in their personal economy has hit a 16-year high under President Trump, according to a new survey. Some 69 percent told Gallup that they expect their personal finances to be even better next year,” Paul Bedard reports. “What’s more, the survey company said that 50 percent believe they are ‘better off’ than just a year ago when the current economic surge was kicking in.”",0.9653
522,The drop in profit will show up soon. It is coming.,0.2932
523,Going out tonight for some BB,0.4358
524,"If Novitas, which has been paying for $K Medicare reimbursement since June 2016, just stopped in February 2017 it would make Novitas look totally incompetent as well as subject o many lawsuits.",-0.2082
525,Wow down almost 3percent in one day. Did humans stop eating food to survive? Must be the covid vax,0.3044
526,Yea the commodity inflation will drag this down. They better pass on the cost to consumer every 6months and raise divy. Otherwise this willl be sold hard,0.4881
527,Remember Michelle Obama said she hated America and she didn't like living in the White House because slaves helped build it well thank God she's out. Worst First Lady in my lifetime.,-0.1237
528,Kellogg SELLS POISON. Their sugar stuffed garbage CAUSES DIABETES. Time for a CLASS ACTION that SHUTS THEM DOWN. Are there any attorneys out there that can help?,0.2335
529,"I bought 1,000 shares of this stock a while ago. I am now regretting my decisions. On another note, I heard a rumor that Kellogs is buying Lucky Charms from General Mills for $13,000,000 in June. I wonder if this will help Kellogs long term or not?",0.9503
530,"If we are to go off the insider ownership which is 19.60%, then you could argue that a pull back on K next day or so could occur before rallying up. Yo you should really check out awesome-STOCKS, they seem on point with their stocks.",0.7505
531,Michelle Obama now rated the worst first lady in modern times. https://m.youtube.com/watch?v=nRuznKjNAcU&itct=CBAQpDAYASITCJTqtemgrNMCFQyvqgod_D0BgjIHcmVsYXRlZEjYq9fAjPPErjA%3D,-0.6519
532,Since the boycott I have not bought one thing they make. I plan to stick with it.,0.2917
533,Breaking News Muslim gang takes turns raping 13 year old girl. Sick animals. Trump travel halt on Moslems should be passed by supreme court immediately.http://www.dailymail.co.uk/news/article-4565862/Fears-Rochdale-West-Yorkshire-town.html,-0.1123
534,Nothing but upward momentum on this stock. Great yield,0.9104
535,Why would ANYONE think Obama is a Muslim?https://www.youtube.com/watch?v=bMUgNg7aD8M,0.2751
536, NFL in panic mode https://m.youtube.com/watch?v=NWWdIlpgKZo&itct=CBUQpDAYACITCKa5qPHeyNYCFQf2qgodtF8IyTIHYXV0b25hdkiN1fLU0YzwqH8%3D,-0.2547
537,WATCH MRS HOPE & Change Michelle Obama - LIE TO THE AMERICAN PEOPLE - THIS IS HOW THEY OPERATE - HERE'S FOR HOPE !!https://www.youtube.com/watch?v=mESHzW0arRo,0.797
538,Dump Kellogg's,-0.3818
539,http://www.infowars.com/lawsuit-obama-robbed-private-investors-to-fund-obamacare/ stoled $800 billion from Medicare. Mass redistribution of money people will not get it medicare coverage. The guy is a con artist,0.5265
540,K stock has only been falling for 5 years. Time to replace the entire board...,0.1559
541,"As one person commented ""Kellogg's is full of chemicals, you shouldn't be eating that #$%$ anyways. You're doing yourself a favour.?""",0.5713
542,https://m.youtube.com/watch?v=XQpmwYyc21k&itct=CA8QpDAYAiITCJbWlYunqtQCFVI9qgodsAAD0TIGcmVsbWZ1SI6d6aqP56OTkQE%3D,0.0
543,Like opportunity with Morningstar Farms. Like the product refresh of cereal and happy that the dividend increase has resumed. I also am happy that 2020 was such a good year to help solidify the balance sheet. I'll be buying more Kashi today.,0.9764
544,MSNBC New clown Show.Gay Rachel Maddow clown show now is the laughingstock of TV reporters and the Internet blogs. She's trying to help her ratings at any cost. https://m.youtube.com/watch?v=MbCXuHleC9k,0.7095
545,"I started following ""awesomestokcalerts"" (Gooogle it - off course without any space or dash in between the words) and their notifications are better than anyone else.",0.5762
546,"I love this company because the stock symbol is ""K""and that rhymes with gay.",0.7491
547,"I suppose if we all would just stopped eating we could save the world for future generations.There are 2 ways that greenhouse gas emissions enters our atmosphere. One of them is through human activities. The main human sources of greenhouse gas emissions are: fossil fuel use, deforestation (to raise livestock), intensive livestock farming, use of synthetic fertilizers and industrial processes. The other is through natural processes like animal (livestock) and plant respiration.http://whatsyourimpact.org/greenhouse-gas-emissions",0.9137
548,"K is more than cereal, it is Morning Star, Pringles, Eggo, etc. all solid brands and all that will be seeing an increase in sales due to everyone being stuck without schools and restaurants to eat at.",0.4011
549,very good price and divs to keep portfolio diversity,0.6409
550,I just had bowl full of cereals...this will go up,0.4987
551,Looks like A lot More trouble for Obama and his IRS stooges that may warrant a new investigation. Isn't it funny how all these documents are showing up as the Obama toadies are are being drained from the swamp?http://www.washingtonexaminer.com/irs-has-7000-unreleased-documents-related-to-conservative-and-tea-party-targeting/article/2616837,-0.7273
552,Coal is 31% and solar is 0.9%Any questions?https://www.eia.gov/tools/faqs/faq.php?id=427&t=3,0.5586
553,When the shorts want something lower best to move on. How they do it I’ll never understand,0.7329
554,Americans like a strong leader not a guy golfing all the time like Obama did. Obama play more golf than all past three presidents combined.,0.9062
555,Who are all these trolls on here? Or is this just another YAHOO meltdown?,0.2798
556,K is down 5.08% to 58.31,-0.2462
557,Kellogg is down 8.25% to 58.41,-0.2462
558,Hilarious and well done to expose Maxine Waters and her blatant hypocrisy.http://gotnews.com/maxine-waters-poverty-pimp-posters-home-district/,0.5225
559,"Does anyone believe given Trump's highly capitalist persona coupled with his need to make good on creating jobs, he'll move for federal MJ legalization early on? Despite his appointed A.G.'s opposition to the industry. He seems to not give a f&$k about anybody who opposes him, regardless of their standing in his camp. Any thoughts or variables I have not considered?",0.8108
560,First buy today. Vegan products will launch soon.,0.253
561,is this stock worth buying for a value investor (long hold 10+ years) . thanks!!,0.8674
562,"What happened in last 7 days, anyone can explain pls",0.0696
563,Crazy Joe Biden doesn't like Donald Trumps Twitter messages he told him to knock it off. Biden went on to say he would like to beat President elect Trump up. I always said Joe Biden was crazy he just proved it.,0.7598
564,Is Obama ? Watch video below you decide. https://m.youtube.com/watch?v=EFCQvvXSwx4&itct=CAsQpDAYAyITCK2jtLSiw9ICFQagqgodP-sI5TIHcmVsYXRlZEjos_-3rLe_h_EB,-0.1071
565,Just 13 days and Obama has to be weaned off the free stuff️free golffree vacations.Get your wallet out Mr. and Mrs. Obama,0.708
566,Just another day in paradise. http://www.chicagotribune.com/news/local/breaking/ct-chicago-shootings-violence-20170316-story.html,0.7047
567,"Thanks for the tip, I did some research and found more information about $K on http://cannabisthera.com/?symbol=K Day trading trading stocks. ""rht""",0.772
568,"Great news for prpo.cancer test expanded to dubai,india and others",0.6307
569,Nice to see all the bullishness on a stock that cant close above its it open in 14 sessions. Not to mention the 1/3rd hair cut in stock price over the past few months. Isn't SPY hitting ATH's ever other day?THOUSANDS OF FAKE COMPANIES WITH 3 EMPLOYEES HAVE BETTER STOCK ACTION...,0.735
570,Why did the Clintons have so many perverts surrounding them like dirt bag Anthony Weiner??? Shame on Clinton Crime Family https://m.youtube.com/watch?v=34vjzKUpodo,-0.8988
571,Will never buy a Kellogg product again in my life,0.3411
572,I believe with a correction this could drop to $48-50 based on low in 2012. Aren't we way overdue for a correction?,-0.6201
573,In the short-term K does not seem to be like a good trade. if you guys have questions you should ask awe-some*sto-ck*s. They often respond to my emails which is helpful.,0.8061
574,This stock will reprice higher next week to to the Morningstar (meatless meat) division.,0.3784
575,What does Frank B say?,0.0054
576,"Need some advice. I am on sidelines like the valuation but drifting lower.....believe next quarter will be home as CPG over delivers but that street may see more sell off as return to normal trade assumes CPG sell off. What to do? Thumbs up = buy, thumbs down = look somewhere else? Wisdom of crowds....",0.9293
577,https://www.youtube.com/watch?v=goNa3Xspk4Y,0.0
578,"Heard CEO hint to the direction k is going, sounds very sound! Moving the company closer to the frontier of healthy natural foods while avoiding extreme capital expenditure. Dropping old weaker brands while keeping and revitalizing the classics and launching new healthy brands. Also believe they are inspired by the reception beyond meat has received and will explore ways to monetize Morningstar before that market matures",0.8654
579,"Hey! Have you guys seen the New polls on Trumps approval ratings?I guess they're still calling all the people who said Hillary was going to be the next POTUS.....and posting it on the internet for the same morons who were crying on election night to post right here on the K message board. You know, the same people who tell you how rich they are but never say what stocks they own or buy. Sounds like you guys huh?",0.903
580,Mr. Magoo says- Does Bill belong in jail??? Bill saw ghost of his sinful past.Womanizing Bill see the faces of women he was accused of raping.Now is that A guilty face or what?https://m.youtube.com/watch?v=4PEqFQXZoFk,-0.9277
581,bullish 80 PT,-0.0271
582,Possible Morningstar Farms IPO and great dividend will reward patience in a big way. Wait and see,0.9079
583,"Surprised market been rallying this company keep going downhill, terrible! Probably will test $50s",-0.533
584,I think K might have reached its upward limit and that a pullback may be possible. google awesome-STOCKS - they offer pretty good trade alerrts. you dont have to trade their tickers but it definetly helps you recognize possible patterns for stocks you're trading.,0.9049
585,NOW What many leading scientists are saying about Global warming . Al Gore told us a big lie. Al Gore the Global Warming story teller Who said in 1986 the north and south pole would be ice free. Surprise the polls have more ice now than in 1976 NASA satellite photos. Fact check and see what a big liar he is. But he did make Millions tell that lie to liberals and California fruitcakes in Hollywood.,0.4413
586,THE CEREAL IS POISONED WITH TOO MUCH SUGAR....NOT FOR KIDS ESPECIALLY...DIABETES CAUSING...MALNUTRITION...,-0.4302
587,Damn good question!http://www.breitbart.com/video/2017/03/08/msnbcs-ruhle-to-warren-you-guys-were-in-power-why-didnt-things-improve-for-regular-americans/,0.126
588,Just think of where they would be had they stayed out of politics?,0.3923
589,"fitzroy, take a Valium.....or ten.",0.0086
590,the purchase of 4 year old - 75 employee rxbar for $600 million by K tells you something about the food trend. sugar and processed food is out,0.6828
591,Looking like the boycott has affected the bottom line!!,-0.4145
