,Recent headlines and conversations for COST,Polarity
2582,"BINGO!Analyst Actions: RBC Capital Adjusts Costco Wholesale's Price Target to $439 From $419, Maintains Outperform RatingMT Newswires–8:21 AM",0.2526
2583,Buy if you are investor. Two reasons. 1) People get really excited when a new Costco opens near them (compare that to a Walmart) and 2. Happy customers exiting the store with a huge loaded cart and a smile.,0.9133
2584,Definitely recession proof stock.$COST & $MSFT are both solid companies.IMHO,0.1976
2585,The COST parking lots are full and the carts are stacked high.,0.4166
2586,Honestly I’m just upset Costco isn’t going to give out free samples when the stores open back up. That’s the only reason I go.,0.7786
2587,Thank you! Time to build large,0.5692
2588,P/e of amazon has always been way higher than Costco’s for 15 years and would have made you rich if you invested early. P/E ratio is not a good indicator - Marc Cuban,0.8368
2589,"Amazon/ Whole Foods is a bust, Everybody is selling organic and WF is a third more expensive,",-0.0428
2590,anyone think we will have one of those Tesla earnings where we can go up $59,0.5124
2591,Most likely up or down no more than 3%.,-0.3404
2592,Huge over reaction by Costco sellers. Huge opportunity for Costco buyers!,0.7304
2593,"According to current NASDAQ analyst consensus estimates, COST currently trades for a very expensive ......27x.....(19E) of 7.67. Why is this concerning ? Analysts currently have COST growing earnings by only......13%.... from (18) to (19).On the other hand.....ATRS currently trades at just 2.62/sh and has the following analyst consensus estimates on NASDAQ:ATRS 2.62/sh (19) .06. (20) .24 (21) .43COST 208.71. (19) 7.67 (20)8.20 (21)9.01As you can see above, ATRS is a 80%+ grower trading for just ...10x....(20E) and at only...6x...(21E)COST is an excellent company but unfortunately is a bad stock based on current analyst consensus estimates on NASDAQ.Finally, if ATRS just trades for 20x forward estimates, ATRS is a $8-$9/sh dollar stock 2 years out.Good luck to all ",0.6701
2594,"This is a ""V-shaped recovery"" if I've ever seen one. I had faith. 2nd biggest holding, and I'll continue to add over time and hold regardless of what happens with the price or the markets.",0.8762
2595,"To all of you who sold yesterday, you have my permission to make a double martini this evening-and then have at least two of those. Yesterday at 280ish was a chance to get back in at some reasonable number. A year ago this in the 230's and even the CornoaVirus, Oil going to hell, China a mess and the DJ falling 8000 points didn't take it down to anything close to those levels. Is 400 out of the question in the next 24 months considering all e growth, store growth, expanding to China etc. etc. etc. Just asking??",0.9106
2596,"Cost share price up $4 more bucks pre market to $309.19, we'll see.",0.6095
2597,They announce this and there is a ten point pop. Tesla joins sP and jumps 50. Hmmm,0.3774
2598,"Costco Wholesale Q3 EPS $2.05 Beats $1.82 Estimate, Sales $34.74B Beat $34.67B Estimate, Total Comparable Sales Up 5.5% $COSTShould be going up!!",0.8545
2599,"UPDATE: Costco clears $4 billion in earnings for first time amid record growth, but the stock is falling",0.2416
2600,Costco hot dog at 10am?,0.133
2601,Food and gas sales will pickup soon. Get in today. good luck to all,0.7932
2602,Costco is building up on meat deliverys.Making sure they don't run out in case of a run on meat.,0.4527
2603,for those who don't think this is a big issue. how many share do you have? its a big paper loss for me today,0.4753
2604,"Between the Feds. very positive talk today and crude report also today stating of a glut basically has indeed fired a Santa Clause rally.Then to have Costco earnings next month.... this stock is set to go up up up. IMHOAs I'm typing we're up $10 in 2 days, oh yeah, glad I got back in @ $220 and hope to stay the long haul as lots of concerns/fears are lifting for the market, (up 540 points today) and of course Costco.",0.9689
2605,What's going on No after hour trading???,-0.3272
2606,"Unless Cost splits the stock, I highly doubt it will go below $300. That would have it go more than a 20% down. Can't see that happening. This selling will be done very soon. Like earnings day.",-0.3323
2607,Turned GREEN!,0.292
2608,Added on dip today50 units in total now,0.3297
2609,COST reported great holiday numbers. I reported this early on the board and yahoo removed my post. Why is that?,0.833
2610,COST is considered UNDERVALUED at todays prices !!!!Shorts gonna get burned..............................,-0.4402
2611,"Great time to add here , before nextBREAKOUT.",0.7144
2612,Look for increased Divi soon.,0.6027
2613,310.00 next res.,-0.0083
2614,Thank you for the dividend!,0.5572
2615,down .07 in after hours whats going on?,-0.3063
2616,"I was at Costco today. I shop there often. Usually multiple times per week. Today was one of the busiest days I have EVER seen. This includes holidays and event shopping. I’m not sure what was going on but if Costco can have this many people literally packed in their warehouses, there certainly isn’t a need for mail-in ballots (side point). Main point being, things sure are picking up wherever you go. People are tired of being tied down. Pent up demand is starting to show. IMHO Markets are going to pop soon! Hold on tight!!!",0.9317
2617,This stock only one worth 100$ max.,0.5533
2618,hahaha.. shorts loose again,-0.2149
2619,"Virus subsides,Costco reboundsVirus escalates,People don’t dine out or travel,potentially millions of kids home from school. People will eat at home. Costco will rebound.",0.8475
2620,need some support from fund managers here. decline too long.,0.6585
2621,"Now I understand...big investors like hedge funds like short term profits and if they don’t get the earnings report to their liking, they sell. If the earnings were as investors wanted, there would be no selling. So after they sell and put their money in other stocks, Costco will go up again and then they want back in. I’m in it for the long so not a bit concerned..great time to buy Costco now.",0.9365
2622,please let me know what time ER announcement ?,0.7739
2623,costco has what the consumer needs every day . the consumer is strong and costco will roll to new highs,0.3876
2624,It's the ghost of Warren Buffet now haunting this stock since he's sold. Downtrend will soon reverse. Bank on it.,-0.6002
2625,$350 by next month,0.0478
2626,Earnings are going to be great. They also made a ton of sales through e-commerce￼￼.,0.7323
2627,It’s Monday. 12 pm. At Costco. Been 15 minutes and still no parking.,-0.0786
2628,Costco is too big and great to succumb to amazon. The Loyalty will always prevail. Keep buying more shares you'll keep getting rewarded. I hope the bleeding isnt too bad this upcoming week.,0.959
2629,"Blue chip company to keep long term. People like me are just Costco addicts - it's a system that WORKS. Glad I bought it at the dip around $158 - what a bargain! Holding fast for now, may buy more if it dips under $180",0.9399
2630,Costco loosening its policy on entry. More ppl allowed in at one time. GOOD.,0.6346
2631,Crazy market going down for no reason,-0.6898
2632,It's moving with the NASDAQ today. Hopefully it breaks away and moves up.,0.6644
2633,stock market raging...costco down big again...nearly $40 down since the special dividend debacle..think about it $40...this is a broken stock.,0.1192
2634,The best stock in this and next year,0.7095
2635,"Solid stock with premium valuation, is what I can say. The big boys will buy or sell is depend on how bad the economy condition. If it slows down moderately COST will be the winner. I will buy COST around 250-260 which is I think it will be hard unless the market cracks.",-0.5064
2636,Shortie got killed listening to Cramer....LOL,-0.1218
2637,BUY andHold here .,0.2682
2638,I think there might be a special dividend coming next month,0.6486
2639,200 soon. needs to correct like all other stocks.stores packed but thin margin,0.5848
2640,1.15 report will come outUPCOMING EVENTS09/24/20 1:15 PM PDTQ4 2020 Earnings Results09/24/20 2:00 PM PDTQ4 2020 Earnings Call,0.7456
2641,"Now we know that how COST gets memberships. It is very genius marketing idea which I don't expect. SAMCLUB also did it too but I don't expect SAM'S will get memberships like COST, because SAM'S service is suck, and product line on the shelf can not match COST. COST moves merchandise so fast, if it does not move well, they just put them away.",0.5557
2642,nice bullish uptrend. one of the best stocks to own in coronavirus outbreak,0.9221
2643,"can someone with true knowledge just explain why the stock price is dropping? huge day yesterday, and its red...is it because it's expensive? The business seems to be there..",0.8867
2644,"Doesn't matter at what time I go, I always find the Costco parking lots full. So, I did what any sensible man would do. I purchased some COST shares. Good luck to longs. This should be 400+ by year end.",0.8845
2645,"Costco has always had a reason for avoiding forward splits but it's one subject they do not enjoy talking about. However, with the price nearing $300/shr. and a recession looming in the near future, they need to be seriously thinking about it. If they did decide to split, I don't think they can afford anything less than a 4-1. And, with their current future outlook, the time is ripe for a forward split. With a 4-1 right now they're still a $70/shr. stock. I can see that doubling to $140/shr. in less than one year. The value that provides to shareholders far exceeds any special dividend they could offer today. If you had 100 shrs. prior to the 4-1, after you would have 400/shrs. at $70/shr. a double in less than a year to $140/shr. would then produce an additional $28,000 value to your position. The strength of a forward split cannot (and should not) be under-estimated. It is an aggressive move and one that Costco is certainly in the right position to substantially increase shareholder's value.However, anything less than a 4-1 would really not be taking full advantage of the current (and future) position of this company. I certainly hope management takes a forward split into serious consideration. At this stage of the game, it's a win/win for all involved.Also, if they opt for a split and not a special dividend, they should at the very least increase their current dividend by a substantial number. For the purpose of this split analysis I have not considered the what this dividend should be.",0.998
2646,"The downturn in this stock has been nothing more than year-ending profit-taking after a substantial and very successful year for COST. Traders on the Street (for the most part) are already gone (with bonuses in-hand) for the holidays and will not be back before January 7th. Until then, all conclusions based on trading are simply artificial. This occurs every year during the holidays. The triple-bottom remains in-play.",0.9399
2647,Special dividend coming soon. You better buy the stock and get in or else you will regret it,0.7175
2648,TTM sales 178 billion. Market cap 138 billion. PE ratio of ~31. Am I missing something here? I feel the need to load up on calls with this one.,-0.1873
2649,@Stephen Do you have any idea what Costco employees have been thru the last year? Remember Costco?s mission statement TAKE CARE OF OUR EMPLOYEES! Thus REWARD THE SHAREHOLDERS!! The shareholders were rewarded a ten dollar dividend recently and the company is thriving. Sounds to me like you just like to #$%$ probably one of those idiots who complains about long lines in a store you?re invested in.,0.9731
2650,Guys I just got a hot dog at the local my Local Costco it tasted fantastic but caused a violent reaction in my stomach.Before I could even get home I had a explosion in my car of epic proportion all over the white seats of my tesla,0.6004
2651,"Here's to all you COST shorts, thanks for the pop. Now get back to buying.",0.6671
2652,Maybe the whisper number was higher. The stock is overvalued too.,0.5979
2653,"all of the stimulus talk is over, nothing left to boost the market..back to reality now",0.1772
2654,"""Hey, Mom, what’s for dinner? ShopRite has the answer!""That was ShopRite's slogan way back in the day, Grimmikins, and it sure holds true today (seeing as you had to move back in with your Mom after having failed in life trying to wear big-boy pants).Hey, you lovin' that drop today Grimmikins? Gonna cover that $113 short anytime soon?Fibbing, moochin' l'il sailor-suited sissy..............",0.3043
2655,"NOPE not a good beat, stock will drop soon",0.3411
2656,Baird & Co. just upgraded the retailer to a price target of $250 a share,0.4374
2657,Industry leading growth. More cash on hand than debt. Wide competitive moat. Solid company and investment,0.8838
2658,Friday sell off coming,0.2091
2659,Line started outside my Costco at 7am again,0.1366
2660,Looks like this stock is hitting $300 very soon,0.5468
2661,heading for green now!!!,0.2904
2662,this should be way up..people nervous,-0.202
2663,Just started my position at $342 today. I’m so late in the game! Hopefully this goes up. You think it will pop a bit after close from July sales ?,0.686
2664,COST forming a bottom...........................last chance to load on cheap shares............watch for upgrades !jmho,0.6235
2665,looks solid at this level,0.4432
2666,"In regards to this stock, I think we'll see a turnaround to the upside a lot sooner than we think. Something is being factored in, I think. Could it be the see senate race too?",0.8104
2667,costco closes above 250.,0.33
2668,"lots of time, it is il-logic, but peer pressure and global geopolitical make the anxious people to sell. however, the long term, it is a great stock. not a short term buy or sell, but long term to have.",0.9352
2669,Very disappointment with cost price. It seems never get back on anymore.,-0.3111
2670,$305 today,0.0783
2671,"James,You seems little nervous. Go ahead and sell your 20 shares and deposit into Local Bank CD account.",-0.3259
2672,I wonder if they are still going to issue a special dividend?,0.5702
2673,Store is packed on a Wednesday at 1:30pm.,-0.0009
2674,GLTA tomorrow. keep an eye on that cc though.,0.8528
2675,372.00 soon,0.0011
2676,It’s not normal,0.1565
2677,350.00 within reach................................,0.0172
2678,"330 next week, woohoo",0.5301
2679,COSTCO IS NOT LIKE ZOOM OR OTHER COMPANIES,0.3999
2680,New Target 242.00buy on any weakness.,-0.3685
2681,380.00+++++ coming boys.....................................,0.0537
2682,Amazon can be lot more profitable if they bought from Costco and sold online. Just saying..,0.7466
2683,Oversold.,0.047
2684,"Yippie, an up day for a change! Keep the Yule time spirit flowing.",0.522
2685,called it yesterday...cost been doing too good this week..gunna be down today,0.3699
2686,"COST stock has been very good to me for the last 7 or 8 years.Purchased the stock @ 40.00 and got a special Div. of 7.00 & 5.00.....For long term investing, my thoughts are 300.00 in 8 years.Trading is not for me, just buy and HOLD.....",0.8866
2687,With passage of the tax bill it goes through 200.,-0.1445
2688,the bull market is finished,-0.0545
2689,well those people all going from Costco to rite aid sure has not worked out. rite aid (RAD) just hit a new 5 year low $4.28. so Kenny is long RAD at $8 and short COST at $113. how does he do it?,0.6543
2690,technical indicators paints a bearish trend.,-0.4954
2691,"A decent report but a pretax charge on Cord-19 was not liked by the Street.Sept 24 (Reuters) - Costco Wholesale Corp ( COST ) reported a 27% jump in quarterly profit on Thursday, boosted by strong demand for foods, electronics and gardening and sporting products during the COVID-19 pandemic.Net income attributable to the company rose to $1.39 billion, or $3.13 per share, in the fourth quarter ended Aug. 30, from nearly $1.10 billion, or $2.47 per share, a year earlier.Total revenue rose to $53.38 billion from about $47.50 billion, exceeding the average expectation of $52.08 billion, according to IBES data from Refinitiv.",0.9891
2692,"Costco’s groceries are less expensive than other major players, according to a new report.http://www.barrons.com/articles/theres-one-unquestioned-leader-in-grocery-prices-1507927977?mod=yahoobarrons&ru=yahoo&yptr=yahoo",0.2176
2693,"Analyst Actions: UBS Adjusts Costco Wholesale's Price Target to $415 From $390, Citing 'Solid Growth Prospects;' Buy Rating KeptMT NEWSWIRES 10:21 AM ET 12/11/2020",0.5425
2694,Boy the selling just keeps crashing for this stock.. capitulation is at hand!!!,0.7647
2695,Take profits now. Remember what Walmart did after earnings. You’ll get it back at a lower price,0.5972
2696,What are the possible liabilities from their lawsuit?,-0.3684
2697,"Costco Wholesale Corp. (COST) said Thursday profit rose in the fiscal second quarter, lifted by rising sales, as the warehouse retail chain saw a boost from consumers stockpiling on items in light of coronavirus fears.Net income rose to $931 million during the quarter ended Feb. 16 from $889 million during the same period last year. On a per-share basis, Costco earned $2.10, compared with $2.01 a year earlier. Analysts polled by FactSet were expecting reported earnings of $2.05 a share.",0.9504
2698,"Believe yourself and hold, you can't loss more. 400 coming after ER",0.7124
2699,Waiting to add 299.00,0.2148
2700,Look for the sillllllly dipsthen pull trigger.......................................,0.0215
2701,"Fight all you want, lose all your money it will go up",-0.5268
2702,COST traffic increases by 28%,-0.0444
2703,POSITIVE THINKING: RISE RISE RISE RISE RISE,0.4768
2704,Another buy op...add a little.,0.1849
2705,TCo. should have declared a div. already. What's happening?,0.1549
2706,"sold everything, I really think this stock is going to drop...going to wslMNart and target",0.163
2707,"No of covid cases in europe: 5000, European stocks=-0.7%No of cases in usa: 100,American stocks=-5000%",-0.5147
2708,"PEOPLE ITS A GIFT HERE , it’s not a 1 time purchase people will continue to shop and hoard , wether it’s CV, earthquake, hurricane etc all over the WORLD .",0.9305
2709,Read my leap after ER it will 400 (average analysts estimate),0.5102
2710,next week when earnings come out Costco will be over 200 easily,0.4479
2711,Target raised !!!!!!!!!!!!!!!!!!!!!!!!!!!!!375-378.00,-0.3524
2712,can someone explain the drop today in COST?,-0.301
2713,"I don’t know why this is down. I am on vacation in Hawaii. People are doomsday shopping at Costco. So many people, wicked long lines with $1,000 cart full of food and water. It’s insane out here the fear! Panic shopping galore. Next quarter should be amazing",-0.5419
2714,Timber !!!!,-0.6517
2715,"We are getting in overpriced overbought territory here, be careful guys",0.0681
2716,The market cant make up its mind whether its a virus stock or not.,0.5156
2717,"Hey everyone,Costco stock was doing so well. Why did it dip so much this past week ?",0.7575
2718,Crazy swings,-0.34
2719,Costco raises their minimum wage for all entry employees to $15 an hr. Two years in a row with a dollar raise for entry level employees.,0.4446
2720,"The puzzlement expressed on this board about why a drop in Costco's share price occurs when Costco had an extraordinary $1.5 billion sales increase in March tells you one thing, the drop is irrational. When cooler heads return, the share price will rise.",0.7427
2721,I am in profit on my shares and calls. Should I sell before tomorrow afternoon?,0.7516
2722,"The stock itself is so boring, but after video clip, it is another bull stock that breaks out the trading range. On Friday it assures that the wild break out is confirmed. The only question is how high can COST go higher. I guess 15-20% from base 280s can be done with a few more clips from China and earnings report.",0.9355
2723,Crashing hard...this will be under $300 tonight for sure,0.1749
2724,HUGE beat on the top and bottom WOW,0.8586
2725,Wed. is the last day to collect the divvy. I expect investors to pile in tomorrow and to catch the wave to $300,-0.6161
2726,Good time to buy!,0.5822
2727,Costco is the perfect blend of a growth stock & dividend payer! I bought and held 300 at 73.99 in 2012 - it’s my best investment Got in and then out of amazon 189 to 1000I’ve been supremely disappointed in prime for at least two years - shipping is shoddy - mistakes galore - I keep having to email bezos to get any satisfaction - I dumped prime and get better shipping results!Love Costco- :),0.9707
2728,"New to this board (I follow MU). Interesting situation with COST. Down a bit now, earnings this week.. Our local store (in N.E.) was a mad house over the weekend. Shelves empty, lines to the back, etc. And yes; we bought extra bread! Buying op nowish or still going lower? Will watch as I don't know this stock.",0.7636
2729,how could this go.anywhere but down?,-0.3031
2730,hopefully she won't do a Kroger on us!,0.5767
2731,Don’t worry about this stock. It is a constant climber. Earnings will be good and it will continue its climb.,0.5434
2732,On the way to330.00 better cover shorties .....................,0.3913
2733,Costco is undervalued. What Costco should do is put a competing bid in for whole foods. Costco is already number 1 in organic food sales. this would beef up their exposure and crush Amazon now. 18.5 billion is so doable for this company.,0.2984
2734,"just want to share some info that most of you may not get. first of, i am long term holder since later 90s, started shopping at jeriche LI branch and bought stock then, along with HD and AMZN, all vendors that i used a lot when starting to work. live in muttontown. anyway, to say i appreciate cost is an understatement. since moved to NJ, still shopping at its plainfield branch, love the new building and gas. anyway, cost opened its first ever branch in shanghai china the past weekend. in one week, 110,000 members signed up. the first day the traffic was so intense into the lot, took 3 hours, eventually, has to close early by police because too many people. famous liquor from china Maitai was cheaper than anywhere in china. trade war affecting chinese consumer behavior? frog that!all is well, rock on.",0.9898
2735,Would appreciate your thoughts on the following... At what multiple does COST deserve to trade at and why? Full disclosure... I don't currently own shares and haven't for a few years now. I sold in the mid-$150's in 2015. Some might say that was early and I wouldn't argue (decision still made sense for me). I will consider buying again if/when it gets closer to a share price I feel is justified. Cheers!,0.9345
2736,"Wall Street concerned with Costco PE of 27 and says not a word about Amazon with a PE of 270, seems to be a disconnect. Costco is simply a buy and hold, still adding stores and customers.",0.6758
2737,"Stephen, all points well taken, some of us hold stocks for 10 to 20 years and dollar cost in, If I could tell you how much money I've made on cost since my first purchase in 1995, well you wouldn't believe me. Costco is one of the best run companies out there and i can almost assure you if you bought some today, tomorrow, or next week in 2035 you will be a happy camper",0.9688
2738,Would you recommend to buy COST shares for short-term or long-term? I love to shop walmart and want to purchase this stock but I am worrying about that it is possible to be going up more than now in future.,0.8232
2739,Definitely closing green today. Many upgrades with target boost.,0.5769
2740,Fund managers have been BUYING .............................................load up on any dip,0.7058
2741,Nice close above $300.Go Costco!,0.6327
2742,"How come people investing in stock without knowing basic things such as Dividend, Ex- Dividend day and record day. No wonder these Robinhooders will hit hard.",0.4595
2743,Any thoughts where it’s going ? Volume low. Keeping constantly under 296,0.0509
2744,Can someone tell me how you think Costco is overvalued. A lot of people have stated that its overvalued without facts to back it. Anybody?,-0.1747
2745,This would be well over $400 if Costco didn’t boost all the employees pay by $1 an hr.,0.4288
2746,I thinking it closes green today,0.1629
2747,I bought a call today did a big mistake seems like,0.2961
2748,should have bought walmart this stock is maxed out,0.6112
2749,Panic selling always works forCOST ! been investing for years.................................,-0.4937
2750,Tanked. Showed no strength at all today,0.2954
2751,Why is COST down? The stores are packed like never before. It just goes to show you the stock market is irrational and is more like a casino than anything else.,0.6009
2752,"The Mad Money interview tonight was outstanding. If you are a holder, make sure you find a replay. It does not take many minutes.",0.6183
2753,COST Pharmacies to start covid injections !!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!!,-0.4187
2754,E commerce up 75%%%,0.1862
2755,Not sure why the stock is down.,0.3337
2756,You people need to do your homework look at the day after earnings last May definitely down not up,0.5991
2757,I don’t see why people are overreacting we are literally at the same support 338 we bounced off at 10:30am. We are at 338 in AH It can easily go back to the 340-345 levels we been treading all week.,0.8043
2758,"What's the matter, Alvie?Nobody paying attention to you?",0.1867
2759,Bearish indicators . https://cweb.com/2018/03/08/costco-wholesale-misses-but-beats-on-revenue-cweb-com/,-0.6921
2760,"INTERESTING HOW LAST 12 MINUTES COSTCO DROPS NEARLY 3 POINTS. THATS 1 % TOTAL VALUE....GONE.... IN LESS THAN 12 MINUTES !!! THATS WHAT THE SHARKS SEE IN THIS COMPANY. WEAK. LOW PROFIT MARGINS. TIME FOR ANOTHER EMPLOYEE RAISE. YEAH, FORGET ABOUT TRYING TO CURB EXPENSES.",0.9147
2761,BOOOOMMMM!!,0.0
2762,"Come to Japan Costco is always so packed Every single day , it’s hard to enter cause there is a long queue",0.5081
2763,imagine if the earnings were bad....always surprised good earnings driving the stock down...,0.7593
2764,COST is a BBBBBUUUUUYYYYYY here going 238-240.00,-0.2319
2765,market is going to fall hard. so much debt from stock buybacks.,-0.4437
2766,"NOT MY WORDS... THE ANALYSTS ""Costco Wholesale Corp. stock fell in the extended session Thursday after the retailer reported lower-than-expected EPS, saying it had incurred in more costs with wages."" GET IT ? HIGHER EXPENSES. THE INCREASE IN WAGES TO $16 / HOUR. THATS THE REASON WHY THE STOCK IS TANKING",0.8313
2767,Just went to Costco for the deals. Oh my lord. Traffic and parking was insane. Saw two people punching each other in the parking lot. So many people. I wound up leaving. Not today.,0.3089
2768,"No hurry to buy, will be lower at closing Sold long over 202, waiting 201 to buy back",-0.2626
2769,costco booming,0.25
2770,Possibly the best retailer on the planet,0.627
2771,"More reasons to believe $400 is coming, the analyst action targeting $400 and more have been piling up! Analyst Actions: Loop Capital Adjusts Costco Wholesale's Price Target to $405 From $395, Reiterates Buy Rating",0.5588
2772,"I can't thank management enough for instituting the mask policy They are only trying to keep everybody safe and I can't believe some people are whining about the small inconvenience. Are people really that selfish that you don't care about others and want all to be safe. We wear ours when shopping in stores to keep others safe. To the whiners, stop acting like spoiled little children. The world doesn't revolve just around you. We are all in this together and its a small sacrifice to make until this blows over to help keep everybody safe.",0.8114
2773,"Ex-dividend Feb 4. Got a little ""fun money"" to pick up 100 shares that morning looking for short term profit.",0.8642
2774,Great entry here to put some $$$ to work !,0.7309
2775,"Amazing, all those non-regular nonsense posters are all gone and we're headed back over $300+ for good!",0.6659
2776,"Keep in mind folks, COST is not a day trading stock, it has strong fundamentals, due to recent ex-special div the day trading crowd has lost interest it in.But - it should come back roaring.",0.8333
2777,We need a stellar report cuz this ain’t cheap with PE of 35.,0.759
2778,Costco will beat estimate by HUGE in Q3.,0.5781
2779,"can you imagine if costco could be bought by anazon?...""if you have amazon prime..free admission to costco""..sales through the roof..costco would be huge!",0.6841
2780,EARNINGS WILL BE A NON EVENT,0.106
2781,I own Berkshire and Costco. I’m glad to be diversified further. I’m long on Berkshire and long on Costco.,0.863
2782,cost needs to go thIs week..pretty flat last week,-0.0625
2783,329.00-330.00 adding more,0.0
2784,we should touch 300$+ today !,0.0765
2785,"Waiting for 280""s to add some more.",0.3208
2786,I think I heard that Jim will do a COST interview today on Mad Money.,-0.5141
2787,"rise, consolidate, rise consolidate... go above $240 real soon. Just my opinion.",0.7438
2788,if Costco would only get toilet paper back in stock ,0.1406
2789,Walmart + COSTCO = competition for AMAZON !look out if that happens,0.62
2790,"Huge beat and we get sell off. If this was amazon, google they would all be up $10+ in AH. But nope, we get dropped",0.438
2791,"Actual earnings are 2.55 vs expected 2.44 it’s a beat !COVID wages are only temporary.Costco reported earnings per share of $2.14, which included 41 cents in costs incurred from COVID-19 premium wages, the retailer noted. This week, Costco boosted its starting minimum wage by $1 to $16 an hour.E-commerce surged 75.8% during the quarter versus a year ago.Comparable store sales came in at 13% for the quarter, with comp sales in the U.S. growing 11.4%, while Canada and other international grew 13.4% and 21.5%, respectively.",0.926
2792,The good news for Costco is $250 is the next support level which means you will not have to worry much.,0.6467
2793,be ready for under 200 this month,0.3764
2794,This thing is going long...without a doubt!,-0.3793
2795,"Check out the videos of today’s Costco opening in Shanghai! Chaos...five mile traffic jam, schools closed. Only opened 5 hours before security shut the place down due to traffic /safety concerns! Go Coastco",-0.3422
2796,cosco is making good money.. this is only down cause estimates were wrong.. not cause performance was bad,-0.0447
2797,Will COST issue a special dividend of $9/share like last year?,0.5348
2798,Even if it did great its still gonna go down,0.5306
2799,"Know what you own...from the earnings callThere were eight net new openings in Q1, so we're eight year-to-date. In the second half of the fiscal year, but this quarter, in the fourth fiscal quarter, we plan to open 13 more net new units. Five of those will be in the U.S., three will be in Canada, and five will be in overseas.",0.2562
2800,"Costco Stock Looks Like a Bargain in This Pricey Market. Here's How to Play It. -- Barrons.comBY Dow Jones & Company, Inc.— 6:59 AM ET 01/23/2020On Tuesday, Oppenheimer upgraded Costco's investment rating to Outperform from Perform, and said that the stock was one of the firm's top picks. It increased its target price to $335 from $300.Rupesh Parikh, who follows Costco for Oppenheimer, advised clients in a note that the retailer's ""more accommodative relative valuation"" creates an attractive entry point.Moreover, Parikh noted that speculation has lingered for several quarters that Costco would declare a special dividend, which Parikh estimates at about $10 per shar",0.9819
2801,"I'm officially a Costco shareholder. Should have bought the pullback closer to $300, but got greedy thinking it might dip into the $200's. I love the store experience, products, and value it offers. There is no store better. This will be a long term hold.",0.9462
2802,"I bet that you'd ""love that drop"" even more Grimmikins, if it dropped another $30/share.That way you could cover your imaginary short that you claimed that you made at $113.Gotta keep track of your fibs, Grimmikins.",0.0543
2803,Costco is the best why cant they take it down more so i can buy some.,0.6358
2804,Virtually no selling has occurred. Only one million shs traded so far. don't let MM crooks steal your shares. Going back to $245.,-0.3001
2805,As restrictions relax ... COST will soar .................................... to fresh highs.,0.6969
2806,Like this comment if $Cost gets above 310.00 this week. Downvote if you think I will get some niceAce this weekend while I’m in Pittsburgh visiting some friends.,0.9031
2807,the manipulation is insane lol. i feel sorry for people who sell,-0.2374
2808,target,-0.0748
2809,Los Angeles Costco’s have sold out of water bottle supply and cleaning and canned food supplies,0.0014
2810,550 shares! Let’s go!!!!,0.5216
2811,"""BREAKOUT"" to fresh new HIGHS soon.",0.3884
2812,pre market up over $5...im surprised..with the dividend new I thought it would be a lot higher,0.5747
2813,"Costco Wholesale Corp. said adjusted comparable net sales for the five weeks that ended Monday climbed almost 17% from the same period a year ago.The company logged $16.84 billion in net sales for the handful of weeks that ended Oct. 5 , it said.Comparable total company sales rose 15.5% for that five-week period, while comparable e-commerce sales rose 90.3%, Costco said. Comparable U.S. sales rose 14.5%, comparable Canada sales increased 17.5% and comparable other international sales increased 18.5%.Costco said comparable sales that don't include the effects of change in gas prices and foreign exchange were up 16.9% for the whole company and up 90.1% for e-commerce. Those sales rose 16.7% for the U.S., 18% for Canada and 17.5% for elsewhere internationally, Costco reported.The company said the shift in the Labor Day holiday in the U.S. and shift in the Moon Festival in Asia both helped results by slightly less than 100 basis points combined.",0.9667
2814,"Always funny to see COST marching along with a 31 p//e and a growth rate below 7%. Even most technology companies would die to get a PEG north of 2 and COST is at 4.5Even with pricing everything in frozen produce at $10 now and calling everything ""organic"" so they can charge more and have smaller packages, they still have a lousy growth rate.I'm sure all the cheerleaders here will pontificate about future growth and moving into China or India or wherever but is there any clear thinking person that thinks this company is not ridiculously overvalued?Even BJ's has a much higher growth rate and much lower p/e. The only logical reason I can see is that the same sheep you see lining up every Saturday afternoon to but toilet paper, paper towels, food and snacks for more than you can get them virtually anywhere (TGT,WMT, KR, etc.) without paying $60 to get in the door, are the same ones buying up the stock. Emperor's new clothes if I ever saw it. ""What do you want to do today honey?""""We'll I guess we should go spend $250 at COST since we paid $60 upfront and I'd like to somehow get that money back in tiny increments by the time we have to spend another $60 next year.""",0.9846
2815,"MM""s just trying to add more at Bargain prices, then they let it ride higher.",0.768
2816,Buy more 200.00,0.1332
2817,"OK, numbers were all good as could be expected, little drag from market shaking but this stock is going up real soon, will be time to possibly skim a little off for mamma. Make Room for the Money Truck.....|^^^^^^^^^^^^^^^|||___ | $$$$COST$$$$_||||__\,___ |_..__..___..__.===|=|__|__] ] ](@)'(@);;''''(@)*(@)******(@)+.",0.7001
2818,Bear Trap Before earnings to get cheaper calls/shares,-0.3498
2819,Look forFIRE SALE to add positions.............................290-298,0.4303
2820,This stock almost always sells off after earnings.,0.3107
2821,were there significant changes in costcos operating cash and if so why,0.2246
2822,when people complain about the price it reflects upon the person that purchased it. lol,0.2689
2823,Costco Earnings tomorrow. Easy +$20/share,0.4989
2824,could have sold this at the special dividend like most did...and bought back in...thats sad...investors took that special dividend and ran,0.853
