,Recent headlines and conversations for UNH,Polarity
1538,Cigna doesn’t hav ether same scammer specialist and market makers,0.0027
1539,Hard to predict today's close.... a tweet might be around the corner.,-0.2655
1540,It ran up more than 6 yesterday before earnings on a bad market day wonder what kind of run up we could see after a beat and on a Green Day... guess I’ll hold and wait for the market action I’m up either way so I’m happy,0.8611
1541,Every human being on earth should have some form of health care the only problem is finding a way to pay for it....Liberals would say just cut the defense budget by 50%......,0.5342
1542,Nice little bandaid on a stab wound today.,-0.1506
1543,"We look for some additional developments around the Trump Administration’s drug price initiatives in 2019. Efforts to encourage greater use of generics and biosimilars are positive for MCOs, as are removing protected drugs and drugs classes, as these steps allow health insurers to negotiate better discounts and rates. On November 26th, CMS released its CY20 proposed rule for Medicare Advantage and Part D drug pricing. CMS is proposing to give MA and Part D plans the option to limit coverage of drugs from formularies in the six categories known as the “protected classes”. One of the tools proposed would be to allow step therapy, similar to the policy allowed for Part B drugs in 2019. This move underscores our view that insurers (and potentially PBMs) are necessary partners in their efforts to lower drug costs. CMS is also considering for a future plan year, which may be as early as 2020, a policy that would ensure that enrollees pay the lowest cost for prescription drugs they pick up at a pharmacy, after taking into account back-end payments from pharmacies to plans through POS rebates. If the industry is given sufficient time to put in place the appropriate bids (implementation after Jan 1 2020) and other mechanisms to reflect the new POS rebate scheme, we believe there would be minimal financial impact to health plans and PBMs. Further, to the extent that Part B converges with Part D, as some Part B drugs are allowed to be negotiated under Part D, it would allow health insurers to bring PBM techniques into the Medicare Part B program (which currently is unmanaged). Additionally, there will continue to be considerable focus in 2019 on any developments out of Amazon’s foray into the pharmacy space, as well as its JV with Berkshire and JPMorgan. Is",0.9939
1544,Expect to hear more from Amazon on their Healthcare initiative during the Earnings conference call after hours today. More declines for UNH coming...,0.7833
1545,Rigged deck,-0.3612
1546,Earnings will beat tomorrow. Big buyback and dividend increase expected. This will be back up 245-250 range end of week.,0.7819
1547,"Now it looks like UNH will not go under 260. It is very disappointed that UNH goes down today. Look like health care sector should be OK now, but the market must sell off.",0.5733
1548,"question : stock price 252.6, why July 20,call option @252.50 is $1.20. Why the premium is so high",0.3884
1549,Health care stocks are now tanking the markets. Hope these crazy liberals like watching their 401K going down,0.3151
1550,"Pisani on cnbc says, the Bernie Sanders rehetoric shook 10% off stock price last week but looks to be played out as UNH rebounding Strong 2 days in a roll.",0.8863
1551,"I don't get it UNH keeps treading water for so long. The medical for all is already done, the company just raises dividends 20%, and the earnings will blow the estimates away again. I will hold the option until earnings come out.",0.8315
1552,I will short this stock on any pop untill elections are over 2020,-0.37
1553,"The downturn is insane. First, we will not see single payor for at least 6 to 10 years. Second, UNH is best of breed HMO. Third, the most profitable portion of their business is Medicare Advantage. If we have medicare for all, gov't will farm out populations to HMO at capitated rates per member per month. That is UNH specialty just like they do with their Senior Advantage plans. Fourth, both repubs and dems support lower drug prices which will also create a tailwind for all the HMOs. I am long to the tune of 100 shares but plan to buy 1000 more over the next few days. Think stock could go down to 231 the Dec. 24th low, but there is support at that level. After that predict a trip up to 300 by year's end. I challenge anyone reading this post to tell me why I am wrong. Good Luck to all.",0.974
1554,UNH just increased its dividend...,0.3879
1555,The market in generalHas lost its collective mind. Just irrational parabolic stock actionIn almost all stocks. Printing press rally,-0.1835
1556,This is not acting as quality stock,0.3538
1557,Price action looks strong. Went below 229 and closed higher! All those who has a stop sell at below 229 are gone. Could be time for a big move to the upside.,0.5632
1558,"I can not resist to step in to pick up April 18, 240 calls because I think UNH reserves more than this,.",0.3112
1559,All the healthcare insurance companies are ----ing in their pants over Medicare for all. It won't happen. Too much strength in the private lobby for the industry.,0.6919
1560,Really UNH. Why do you hate me so,-0.4818
1561,bought a little at 228,-0.0068
1562,"Healthcare system is broken. Drug companies, healthcare companies all needs to show 10% sales gains year after year. Wall Street demands that this they automatically raise prices on drugs, services year after year for the same drug and same service. This model is not sustainable. They simply collapse the system on their own doing.",0.614
1563,Here comes $300.00!,-0.1198
1564,Here is goes!!!!!!!GO UNH,-0.3277
1565,that Zack's article was written by a complete moron! Health Insurers want transparency as it is part of the consumerism philosophy. Health Insurers don't make profits by sending more dollars to hospitals.,-0.2868
1566,Walgreens and other companies ramping up to help America with the items and medical supplies need to help CDC and America with assisting the public. $WBA $TGT $WMT $FDA $CDC DOW $SAVE $NCLH $BA $ADBE $GOOGL $UNH $TLT $CLX,0.9049
1567,"It's pretty clear Bernie won Iowa. I watched C-Span which covered the West Des Moines caucus and Biden didn't even place in the first round as a ""viable"" candidate. Bernie will also win NH. Can anyone stop him now? Woe is me. Looking for another decline in UNH today on the way to the sub 250's on what looks to be an up day for the markets.",0.9119
1568,The ONLY reason this is down is due to morons who think 23 trillion $$ is ever going to fly. They will drag this HUM and ANTH for as long as possible.,0.2882
1569,"I don't like UNH price actions seriously, some low-ranking money managers should become more aggressive to bid up UNH:",-0.3901
1570,"Longs: what do you expect in earning tomorrow?And afterward, will price go up? down?",-0.1441
1571,No bottom in sight,-0.5675
1572,I'm not sure it's realistic to expect big fund money to come in to the stock before the 5th US District Court of Appeals makes a decision on the lower court decision. Every opinion I've read suggests the court will strike down the lower court ruling..........but you never know.,0.8891
1573,so much hate,-0.5675
1574,Why? Cause $UNH is a competitor and this is disruptive. Very simple $CLOV has market share,-0.077
1575,OVERSOLD AND OVERBLOWN,0.0715
1576,Healthcare will get SMOKED- but the serial underperformer cvS/HIT will get torchedJUST LIKE THE GREAT CLONE SAID,0.8339
1577,UNH is about to break out soon. See you at $270,0.0094
1578,Overvalued imho,-0.2584
1579,Why this is down so much ?,-0.1726
1580,"Given the success of Optum and the fact many, if not most, of United Health lives are self-funded by employers, I don't understand the panic. The possibility of Medicare for All (which is likely dead now) was much more troublesome to me.",0.1646
1581,Buy UNH earnings in a few days beats the street,0.2655
1582,231 231 231 231 231 231 231 lol on and on and on and on and on all day. Until the close then it drops like a rock,0.8482
1583,Crash and burn!,-0.4025
1584,"there will never be medicare for all. those politicians talking the talk would never accept medicare for themselves or their families. neither would all the rest of government workers, they have premium plans meaning access to any doctor, the best out there, medicare does not permit access to these whose patients are MOSTLY premium plan or out of pocket....dont believe medicare for ALL if it is not compulsory,",0.9534
1585,"Cherry pick is coming now. Buy UNH at this price, it should be safe.",0.7196
1586,The addiction for UNH may blow up any time now,0.3935
1587,"Pump n Dump Scheme, about to fall again, smh....",-0.5431
1588,"UNH along with the other healthcare insurance companies like Cigna and Humana has together suffered together in the stock market primarily due to political discussions about healthcare for all. It seems it doesn't matter what their current performance might be given the prospects that some major changes in the US healthcare system are being discussed by politicians. This isn't going to change until it becomes apparent that healthcare for all isn't sustainable as an idea and not be implemented. So, the decision is to hold or sell now. If we continue to hold UNH and others might be depressed until after the elections in 2020.",0.8679
1589,ISM SERVICES INDEX DROPPED UNEXPECTEDLY !Business activity fell to 58.9 vs 63.6 prior monthNew orders fell to 58.9 vs 61.2Employment fell to 51.6 vs 55.2Inventory change fell to 48.5 vs 52.0Prices paid fell to 53.5 vs 57.7Backlog of orders fell to 53.0 vs 54,-0.9018
1590,Thank for dropping UNH down over 2 points. I just don't believe it at all. Thanks with sincere.,0.7289
1591,That’s it Bernie Sanders and Elizabeth Warren stop your crazy idea Medicare for all unless you pay it yourself but if not no free Medicare for All.,0.2159
1592,Sorry but I’m totally not impressed. This isn’t real buying this is indexing buys. Nothing like real funds with active management deciding to buy,0.955
1593,OMG WE'RE ALL GOING TO LOSE IT ALL!!!!,-0.6098
1594,Jerome Powell is a sick man. It’s not his job to bail out stock and stock aren’t down that much. But it is Jerome Powell’s job to adjust the fed rate and for him to ignore the bond market and market rates and arbitrarily set the fed funds at some level that is higher than a not only a 10 year bond but a 30 year bond ? Seriously? The man is stubborn and needs to be fired for being a sick fool that makes up rates in his head,-0.9742
1595,Someone is holding this down for now,0.251
1596,Bernie now leading in the polls over Biden....,0.1216
1597,"Well, the #$%$ gave up another nice day.............as usual.",0.7433
1598,Can people sue UNH and the drug companies for overcharging in the past?,-0.1376
1599,Does max pain come into play tomorrow or is this beyond that?,-0.1014
1600,Do you think UNH will go for a stock split in near future.rpp,0.4457
1601,This is responsible for the entire dow gain this indicates how much the market is being sold off...Watch your 401k's evaporate !,0.6494
1602,who is this Eric guy who seems to have nothing else to do but bad mouth UNH? I'd like to see more of a balance in comments instead of 1 person posting almost hourly.,-0.365
1603,"Earnings a few weeks out, my guess is they continue to make a boat load of money while everyone worries about things that will never happen. Holding core shares and will add every 10 points down until I double my position.",0.8743
1604,https://finance.yahoo.com/news/unitedhealthcare-confronts-opioid-epidemic-introducing-161700726.html,0.0
1605,"Buy CI, it is cheap and undervalue. You will not be disappointed for this stock because it has the biggest PBM in United States.",0.8442
1606,Why UNH is down $7 today?,-0.1284
1607,This may go lower but I am rebalancing my portfolio adding more Health Care.,0.7551
1608,Democrats are coming and single payer option might become a possibility ; guess what will happen to companies like UNH; they will disappear,0.1635
1609,LOVE IT WHEN UNH TANK BIG. THEY ALL THIEVES,0.0047
1610,"Just keep buying UNH, because I believe that the earnings number should beat the estimate, otherwise, UNH will not increase dividends and buy back stock.",0.8663
1611,Can't believe how lucky I got. Sold half of my positions yesterday only to buy back today $5 cheaper. Thanks demoncraps,0.5936
1612,Nice comeback for UNH. I was getting worried.,0.3806
1613,8.32 - pretty good earning each year - hold this forever,0.7166
1614,when Bernie idiot sanders spoke unh was at $249 --that's where we could close today but after earnings over $300,-0.3286
1615,Bottomless,0.0
1616,finally the junk tanked ...,-0.296
1617,JUNK. Stock only goes down lately,-0.302
1618,"there wont be medicare for ALL, those with great plans would never give them up (tell postal and union their healthcare is gone..) BUT all the rest, medicaid, those without coverage, would go to medicare...and this means two classes of people, those on government health and those with great plans.. ....seniors would be thrown under the bus as the numbers of doctors accepting government payment would shrink with hospitals cutting costs...it looks ugly.",0.9718
1619,Give it a couple days. A new big story will come up about another company and this will be back to $250 within a month.,0.5848
1620,"nice to see...A federal judge in California has ordered United Behavioral Health into court-monitored supervision after ruling the health insurance company improperly denied mental health treatment claims to thousands of patients, according to a federal, class-action lawsuit.",0.6427
1621,Democrats r crazy,-0.34
1622,"So, is this overdone or just the beginning?",0.0858
1623,HEALTH CARE REFORM WILL CAUSE A $4 BILLION LOSS,0.2824
1624,Still looks cheap,0.3807
1625,Who is this clown with the USA moniker? Sounds like a 8 year old that just bought 1 share with his piggy bank money. Should be a great entry point and hope for a solid earnings report/guidance tomorrow morning. I’d be thrilled with $245 by the end of the week and $280 by the end of the year. GLTA,0.9713
1626,What happened to UNH. It was down so much. Bought back at 229. Looks like a big mistake,-0.0076
1627,GUYS THE MARKET COULD DROP 200 TO 300 POINTS TODAY --UNH COULD DROP BACK TO $245-----GOING TO BE A BAD DAY IN MARKET,-0.9357
1628,MM robbery from retail investors,0.3245
1629,What is going on? EU fines UNH or what? LOL. I step in to buy more now because I don't believe that UNH will down 4 points with Dow index downs only 100 points.,-0.3127
1630,UnitedHealth reached an all time high at 313.28,0.3228
1631,52 week low is $215.82. We're there! This is a turning point. This is when the calvary jumps in.,-0.1821
1632,Bernie Sanders - and the Dems worry about Trump being a Russian - Hope his dreams get flushed so that UNH flys again!,0.4999
1633,Classic...McDonald's and United Healthcare both hitting new highs.,0.7186
1634,any pullback soon lol?,0.6098
1635,"Like I keep saying, it's FOW.........fear of Warren.https://www.barrons.com/articles/unitedhealth-group-stock-is-falling-as-elizabeth-warrens-election-chances-are-rising-51569527200?siteid=yhoof2&yptr=yahoo",0.4463
1636,"Money does not go anywhere. Individual fools make hard earned money and give it to the analysts! A simple money movement from the loser to the gainer. Then the cycle is over. Once the bull market comes again, the cycle repeats! Anyone has opposite opinion? :-)",-0.6127
1637,"I was trying to account for the weakness in the HMO's and hospital stocks today and found this........Senate Majority Leader Mitch McConnell opened the door on Tuesday to votes on a bill cutting federal spending and a constitutional amendment requiring a balanced budget — efforts that face little prospect of passage but are aimed at mollifying fiscal conservatives outraged over rising deficits.House Majority Leader Kevin McCarthy is working in tandem with the White House on a “recissions” package that would ax some of the spending from last month’s government funding bill. President Donald Trump has expressed frustration about domestic spending increases Democrats won in the $1.3 trillion omnibus spending bill.“Our Republican colleagues ought to walk the walk not just talk the talk. After a huge deficit on a tax bill, they want to pass a Balanced Budget Amendment?” said Senate Minority Leader Chuck Schumer (D-N.Y.). “That means one of two things — A: They’re not serious. B: They want to cut Medicare and Social Security. We will fight them tooth and nail on that.”.......................which is taken from an article at Politico.I think this is one reason the stock is languishing when it should be a safety trade stock with talk of tariffs. The Repubs are in a bind after passing the budget busting tax bill and may look to claw back some money from SS and Medicare.",0.3336
1638,"Just got a bill for some minor surgery my wife had. The bill was originally just over 2100.00 and there was an adjustment of 1600.00. In other words 590.00 is what United Health Care considered a reasonable charge for the procedure and united Health Care paid $72.00 on a 2100.00 bill. My wife and I pay over $14,000.00 in insurance premiums to United Health Care per year. united Health Care paid 72.00 on a 2100.00 bill. Quite a profit margin I'd say. Some people would call that getting ripped off.",0.9879
1639,"What is the better buy ? UNH or HUM. Yahoo has HUM as undervalued, while UNH is fair value .",0.8581
1640,break-out continues...,0.3729
1641,I'm seeing a pattern of a couple of weeks before the dividend a stock tanks. And it tanks again after a stellar earnings report. What the ? The market is rigged.,0.2397
1642,"Real money will start buying around midday. imo, closes around 246.",0.0978
1643,Amy Klobuchar loves this company. Erika Zak. How many others.,0.616
1644,"Great buying opportunity! Going higher! Whenever I feel like selling, I need to hold on - it always goes up afterwards. Patience will be rewarded!",0.9527
1645,I wonder how the democratic debate tonight will affect this tomorrow,0.0802
1646,UNH will hit $300 soon $$$$$$$$$$$$$$$$$$$$$$$ GTLT,-0.1051
1647,"Glad it is up so I can get out. Look at graph, Everytime it goes up like this it's obvious what is next...don't have to be a fortune teller.",0.7862
1648,Another 52 week high today. $180 here we come!,0.4487
1649,Nice consolidation. Need that for the next move higher. Five year hold.,0.7103
1650,"So you are trying to convince us that because Bernie Sanders is looking less likely to be the Democratic candidate that a stock that is poised to get hammered with claims from the other thing that you are trying to tell me will sink the American economy, Corona Virus that all health insurers are reaching all time highs??? Firstly, it doesn't matter who the Democrats put up against Trump, he wins in a landslide unless what you are telling about Corona Virus really does happen, but it won't because all of the above are false narratives. The markets are rigged, end of story. Uber wealthy pulling the strings, must have had bought in after the health insurers dumped with Bernie so now they are pumping the stocks. Soon they will be dumping them.",0.3468
1651,Crazy Bernie will never make it to the white house. He is a socialist who wants to bankrupt USA through wacky Medicare for all.,-0.5886
1652,Amazing how they dipped this just enough to close below the 10 sma by 6 cents lol. Why? Why? Because closing above the 10 sma after a huge selloff is bullish and triggers buy programs and algos. So the compete jack@$$$$ that manages this stock and its chart pattern did this. Scam,0.8201
1653,"Like I said this morning, up over 2.5% now. The cons took lots of gullible peoples money that sold the last week, lol. Back to 260 next week.",0.5545
1654,Blow out quarter ahead. 340 after earnings,0.1424
1655,"time to BUY this solid moneycow with a low PE, and projected great earnings not affected by trade wars..",0.8077
1656,"*New* ALL TIME HIGH! Trump is really reigning in Big pharma and health insurers! Glad I voted for him! And glad that he has so many Goldman ""advisors""!",0.9284
1657,How long before they fade it today?,0.4807
1658,Noise creates fear...fear creates buying opportunities.,0.785
1659,"Yahoo, why is the major holders (20) missing for UNH? Insiders are OK, but no majors. Doing some research & analysis on health care equities.",0.7552
1660,Still massively under valued,0.4333
1661,-1.57% 15 mins into opening... I thought earnings report was good? What’s all the shorting about? Anyone know?,0.6707
1662,I worked for FHP in 1987 I started to buy at about 21.00 long story short after a number of acquisitions i ended up working for UNH I was able to retire very early thanks to UNH.,0.761
1663,UnitedHealth reached an all time high at 345.23,0.3228
1664,what am i missing here ??? aren`t they in same industry or business as HUM ?,0.259
1665,"They are definitely on a hiring spree in my county. I don’t see significant risk to holding this one or even JNJ, which I consider a bargain.",0.7793
1666,It seems the market makers can not hold this horse down today. I think every body expect that Jay Powell may not only hold the rate but he may hint that he will cut the rate in order to slow down the global slowdown that will hurt the US real bad.,-0.9452
1667,Is this thing going to stop acting like a bum stock and go up today? I sure hope so!!,0.5411
1668,"ANTM almost high again but UNH is about 15% more to hit high. It is so funny that UNH which is about double size of ANTM, PE is about the same, Dividends higher, still has undervalue.",0.9676
1669,"Markets up, UNH down, markets down UNH down even more. This stock is dead",-0.7728
1670,What's happening?,0.0
1671,$$300 let's go,-0.0011
1672,"I guess that UNH will announce some big news within this week. I just wonder that Dec 15, call 220 is still there, with the premium over 4.50, which I guess something is coming. that is why I bought UNH call 220 too. It will move over 225 before Friday. Now i believe there is a setup which average traders or investors do not know.",0.8866
1673,"It is so funny, UNH is still down.I hope that the game will not extend too far. Watch out, China will use the consumer boycott against American companies. Trump will come out and cries foul. Under belt punch, it will be loud and be heard all over the world because he is the one to start.",0.7785
1674,keeps dropping like its #$%$,0.3841
1675,"Can’t tell you how many times I have seen it....call it Groundhog DayUNH reports bright and early, crushing just about every metric. $400 by May",0.2989
1676,I'm buying into UNH...NO china exposure and a defensive play ......Sooner or later UNH will rally ....,0.6563
1677,UnitedHealth is up 10.82% to 289.69,0.1818
1678,How is this company not in the crosshairs of policy makers. UNH runs the Medicare and Medicaid insurance markets and they are the most profitable. Amazing,0.7022
1679,What we need is some good earnings tomorrow and a realization that medicare for all is a long ways away and that's if legislation could even pass it which is not probable.,0.7542
1680,The lower it goes the bigger the short squeeze will be once they crush earnings......,-0.6639
1681,I dont know why anyone questions me daily...,-0.055
1682,All the money flows into HEALTH CARE. It is about to BREAK OUT the whole sector.,0.713
1683,why surging after hours,-0.0187
1684,"Wow. Some big buying going on right now. Watched it jump from 213 to 217 in what seems like a minute. Went to 220+ Gotta be a big institution, I assume. Exciting stuff to watch, despite the pain of losing so much this year.",0.9095
1685,Short Squeeze imminent...,-0.3894
1686,"Almost all electronic platforms are blinking market crash coming. Now a days market is driven by this electronic platforms only, so take the profit and wait for it to drop to buy again",0.1789
1687,Top and bottom line beats with an incremental raise. That shouldn't surprise anyone. But now what? The stock decline was never about the immediate future. It was about uncertainty over the Optum biz and the long term viability of HMO's..........for which there will be noise for years to come. Both political parties have healthcare in their cross hairs but with approaches effecting HMO's very differently. I suspect the next few years will be a bumpy ride.,0.7976
1688,It is a common sense that 04 pages report of 300 Pages Investigation does not conclude anything in terms of collusion or OOJ. It’s a fabrication by AG Barr a Trump appointee. Are you kidding us!!,0.5314
1689,UNH bailed from ACA insurance long ago but is still pulled down by a law suit in TX that might kill the ACA. See the press today.,-0.9695
1690,UNH went up $4.50 the day a judge threw out one of the two cases by 18 states to cancel the Federal governments subsidies to insurance companies. Now that the second case was ruled on as Obama care payments to insurers doesn't have to be paid its up another $3 bucks. I guess the CVS deal has something to do with today's rise?,0.8375
1691,"XLV down 1.5%, IHF down 1.17%, UNH down 2.27%, HUM down 1.71%, ANTM down 2.91%, and the S&P was flat. I invite anyone to explain why a sector with reliably growing earnings would be down in a defensive market.",-0.6904
1692,This one will tank tomorrow and the rest of the week as Joe Biden is cratering in the polls. My price target is 230 by end of week,0.8139
1693,"Under normal conditions I would say that UNH was oversold. but with Trumpy the Clown running things in WDC I think the trend will continue once we get into the new year. I see a small January effect and then down, a lot more down. Good government makes all the difference. I'm missing Obama right now.",0.5169
1694,What did they blow it on the call again?,0.3187
1695,"it is another magic trick that UNH pull out again. Davita or Healthcare Partner is huge in the West, takes all the medicare patients that is very lucrative business in the west. UNH just breaks ANTM's back in its own backyard.",0.9067
1696,Anthem is RED AH !!!,0.2211
1697,don't sell!,-0.1266
1698,"Down again, this thing acts like it has a disease. It needs to see a doctor itself.",0.5052
1699,"The CEO of UNH said today that Bernie Sanders and so-called ""universal MediCare"" would be a disaster...",0.335
1700,this is disgusting,-0.5125
1701,UNH is down -22& for just 5 days. Too early panicking and over-reaction. Bought more.,-0.4736
1702,"This thing needs to see a doctor, total pc of junk.",-0.3139
1703,I was a buyer today,-0.144
1704,"I have been holding shares since spring 2009 It’s been a great run I think that the fear of Democratic Party healthcare plans is overblown But that doesn’t mitigate the damage that fear itself can do I would wager that there are many people waiting to sell a pop on Tuesday I am beginning to suspect that UNH’s earnings won’t really matter What good is earnings growth in a moment when populist Dems are saying insurers are evil? The PBM has become a target.. of both the Dems and the Trump administration The Dems see the insurance side profits as a well from which they can fund universal free health care.... the notion is ridiculous but it doesn’t matter.. If a significant portion of the population buys in we will spent 2-4 years with fat political fingers probing the books, looking for money to confiscate... I wish it were otherwise and I have bought in as the shares have dropped, looking for any sort of bounce but this is feeling more like a deflation than a test",0.9218
1705,I will really be telling everybody I know avoid Sanders n Warren and prob all femos,-0.0286
1706,There she goes...,0.3181
1707,Yes ch3,0.4019
1708,Elective surgeries and procedures picking back up...double whammy rest of year. Then biden takes over....,0.6861
1709,This could be the worst stock in the market the last 4 days,-0.5905
1710,"Healthcare stock that needs an examination of its own, because something is seriously wrong with it.",0.1254
1711,Wow this stock is hated so much. Up all day with Cigna although Cigna was up more than 2x percentage. Then this awful useless hated stock took another dump into the close. Down trend continues,-0.8102
1712,"Easy money, blew past $225 like it was nothing. Sold my calls for a 12k profit",0.8491
1713,I wonder if this is going down because boomers retiring. They will be on Medicare. They will not be buying from employer.,0.1354
1714,Dumb Joe or red Bernie.....hmm there is no intelligent life here.,0.315
1715,UNH is up 8.00% to 253.26,0.1818
1716,I am in. This is cheap!,0.393
1717,A heavy Correction is imminent!US Stocks are INSANELY OVERVALUED and OVERBOUGHT!The Valuations are impossible to justify! The US Stock indexes must fall by 65-70% to come down reasonable valuations.$UNH $BA,-0.9095
1718,Anthem and BIIB earnings in the morning will take us over $235,-0.1147
1719,Trader's are now taking full advantage of this.,0.6145
1720,"It is great to be part od this successful climb, just wish I had bought more.",0.9256
1721,"Long term, I would also add CVS Aetna at much reasonable under value price. You will be rewarded. ER is Wednesday",0.9244
1722,Just get in Jan 2019 call option because I can't resist to pick up UNH when it is down 6-7 points.,0.2239
1723,This stock is broke right now. Take out behind the barn and shoot it.,-0.3847
1724,close above 250 today...,0.2668
1725,At the bottom of the range. I'm on board. Undervalued.,-0.1294
1726,"Value stock like UNH still hold it today, it is very impressive. I thought it goes down to the toilet today.",0.7706
1727,"The market makers force the weak hand out today. Money flows out of health care to high tech today. But I think at the end, traders will come back into health care,particularly UNH, because it is a safe bet tomorrow.",0.8269
1728,does anyone know when that damn medicare for all bill be voted on?,-0.3368
1729,I’m a centrist Democrat hated trump. This proposals like Medicare for all & free higher education are mind boggling bc life doesn’t work that way. Why don’t all Americans just not work & get paid for every life’s necessities & desire. America & capitalism have always existed side by side like identical twin. To take one away is to destroy our founding fathers dream & goal. It’s not even about parties; it’s a proposal to destroy Americans culture & dreams.,0.8908
1730,Going to be interesting to see what happens with the VP selection.,0.5951
1731,"Health care sector is safe today. It is so scare that the tech sector got hit. FB is down over 7 points, but I believe it will come back. I still hold UNH, because I have confidence that earnings will beat estimate, because the company gives me the clue by increasing dividends 20% and raise the guidance..",0.9024
1732,Run shorts... Run...,0.2066
1733,This market is fixed. Only way to explain this price behavior for a large DOW stock.,0.2676
1734,Probably a glitch,0.2931
1735,"Insiders are buying MILLIONS and millions of dollars worth, you know it's gonna go up. Give it time, this will be like a Phoenix.",0.7729
1736,UNH is up 4.91% to 267.48,0.1818
1737,UNH has lots of things going and ready to hit the roof in no time. So watch out before you short and get burnt alive,0.1768
1738,"I thought UNH would have strong growth. What do you think is holding it down lately? Fear of Feds? I really cant see Amazon et al being a near term threat, do you? Something else?",0.6374
1739,This morning I sold off the extra shares I bought Monday for $286 .. for $295,0.4621
1740,Over $265 by 97/17,-0.0922
1741,So... what’s the diff between unh being at 270 and 261? Like... it’s still a low pe.... damn these traders following aimlessly,-0.4758
1742,"I just love a good manipulation by the market around TK. lol, don't sell your shares to the computers that trade with each other.",0.8081
1743,25PE ... it has to crash imho regardless what price now,-0.1585
1744,"Up 13% between the last trading day of 2017 and last trading day of 2018, not bad at all considering market conditions. Early in the year I'll be able to put more into my Roth and let it grow tax-free.",0.6303
1745,We'll be testing the January lows soon. 220 here we come.,-0.2421
1746,All metrics were good with upbeat guidance..how does this translate to a plummeting stock price?,0.6962
1747,Why is this down for no reason? Am i missing any news?,-0.6135
1748,"Just live off the dividend as Bernie sticks to UNH and overcharging drug companies, doctors and annoying lawyers?",-0.0436
1749,"Been a while since I have written but things are starting to look up. Have now built large position in UNH and have cost basis at about 240, so I am dead even at this point. I think this is still a wonderful opportunity and kick myself for not buying more at 210. UNH is best of breed in the HMO space. I have 30 years of experience as a physician and investor and I challenge anyone on this board to challenge me that UNH is not the best HMO. (Speaking as an investor, not as a patient or doctor). No other company does a better job managing care or costs. Period.HMO space has been unfairly punished by the medicare for all BS. Not going to happen. NO WAY. Even most dems shy away from the issue and it won't get past the current House. Political pressure now on Big Pharma, that's good for insurance cos.UNH has blown out earnings and revenue numbers on a consistent basis and raised guidance for 2019. Don't know what anyone else wants. Stock should be at 300 by year end and outperform the major indexes. Challenge anyone to disagree. Would love to hear other opinions and potential pitfalls going forward",0.9951
1750,Look at the UNH chart over the last 10 years. There has not been a drop like this in 10 years or ever. This is either going to 0 or the best buying opportunity in HC services ever.,0.868
1751,"ACA resolution will help the sector.Ana Gupte, senior health-care services analyst at Leerink Partners, said the health-care sell-off is mostly driven by the proposed legislative changes to the PBMs’ business model, which are paid so-called rebates by Big Pharma for getting their drugs covered by private and public insurance plans, like Medicare. These so-called backdoor deals are suspected by lawmakers of increasing drug costs for patients.It is “very likely” lawmakers force drug companies to give those rebates to consumers instead, starting as early as next year, Gupte said.Separately, a federal appeals court in New Orleans said Wednesday that it will hear arguments in July on a lawsuit backed by President Donald Trump to overturn Obamacare. Dismantling the health-care law would lead to 32 million more uninsured people in the U.S. by 2026, according to an estimate from the Congressional Budget Office.",-0.6262
1752,Made a killing on my puts today,-0.5921
1753,Bernie and socialism are now history...,0.051
1754,"Earning: 3.90 vs 3.78Revenue: shy of estimateAffirm EPS for the year...Overall, it's good earning...UNH should go higher...",0.2023
1755,"Well UNH is barely down today, much better than my CVS stock. I'm holding this until at least 4/16 ER. I think it will go back over $260 after 4/16.",0.8624
1756,Another bad close already. Down she goes,-0.5117
1757,Healthcare getting hammered today. Could just be news that has yet to hit the street or this whole thing could just be over done. Depends on your investing style I would say that when there's blood in the street... buy buy buy. One caution being that if some news does drop it would dramatically change the outlook on healthcare in the near term so play your hand carefully.,0.9273
1758,Trump won’t stop here,-0.3451
1759,UNH -is overvalued IMHO,-0.4155
1760,let's try to close above 250 today...,0.3256
1761,It is concerning Medicare for all supposed to eliminate all private healthcare providers. stock also is challenged on a technical chart considering that it just formed a death cross. despite all that I will never sell a stock on the RSI of 35 and then once you sell it we'll start going up because all sellers have sold their shares and buyers are stepping in,0.8941
1762,Damage Inc.,-0.4696
1763,Sell now before Bernie wins Iowa.,0.6339
1764,On Sale! Git you sum.,0.32
1765,it will close this friday at $260!! The swamp is live and well!,0.4206
1766,any news? why popping with big volume?,0.5131
1767,Buy lots more this stock will be going up Hugh from here,0.4625
1768,"Not funny, was up quite a bit and is gonna close negative. WTH",-0.6364
1769,Down 6 in a row with no buyers,-0.4752
1770,sell the rally.,-0.0378
1771,Since August 2015: UNH $126 to $336 UP $210 per share CVS $113 to $58 DOWN $55 per share NEWT LOSS FOR NOT LISTENING TO THE GREAT CLONE $265 per share,0.813
1772,LOOK FOE A RETRACEMENT TO $175 --MAY SEE A $10 DROP TODAY,-0.8803
1773,I bet the analysts come out with buy reiterations after the call.,0.3659
1774,All Goldman all naked all fraudulent all criminal,-0.7855
1775,Would you traders please understand that Medicare for all is a unicorn. It won’t happen. Ever. So stop acting like UNH is going under. Good grief.,0.4601
1776,does this stock have any exposure to Trade wars?,-0.3892
1777,Medicare for all will not happen Bernie and Elizabeth is proposing this to win the election it’s not in their heart so that’s not good.,0.8354
1778,It’s going to 243.50,-0.0046
