,Recent headlines and conversations for DAL,Polarity
2283,TSA numbers substantially ahead of last year when crash occurred and over fifty percent of 2019 numbers. Passenger counts are steadily growing.,-0.1886
2284,drop will be overdone as always here and create yet another great buying opportunity. Sell puts and make money.,0.8652
2285,Most of US is still currently blocked from international travel due to some hotspot states even with the travel ban lift. So in order for DAL to move higher we need to lower their infection rates and prove to other countries that we are generally safe from covid19 so they would open up air travel with the US again. I'm generally optimistic as we await a vaccine that is introduced to market and rates of infection to lower for air travel to be robust again.,0.93
2286,"Chances are the dip is going to go lower, so I'm going to buy more at the bottom and sell at the top. When the UE announces international flights from US are allowed again it will jump. All of this is just a temporary setback.",0.5434
2287,"I retired from Delta after 31 years as an aircraft maintenance technician and really happy not to have to put up with this nonsense. If I would have spoken out about Ed's comments, I would have been let go. kinda wonder if Ed is able to understand the new Ga law or just blinded by his Woke, leftist agenda??",0.8846
2288,"Need to watch American Airlines (AAL). Up 46% premarket on stock supply/demand mismatch. It could lead to Delta. It appears some believe as they have bid up DAL 6.4% to 41 in anticipation of a short squeeze. This phenonium has occured for a few days in stocks like GME, AMC, BBBY, etc.",0.809
2289,Has the paint shop started on updating the livery to include yellow bellies on the '37's yet?,0.3473
2290,you should sell UAL and BUY DAL!! Their outlook was way better.,0.7267
2291,I covered at $23.xx in AH and will once again short this on the spike today (Friday).,0.0642
2292,"Interesting statistical data here. Based on cdc only 26 out of 10,000 infected from covid die because of the virus. Now here is the interesting part. There are 687 assault victims per year out of 100,000 residents in nevada. Now that means youre more likely to become a victim of assault in nevada than die from the covid anywhere in the world. People still go out inspite of the fear of being assaulted and still go to work. Now why in the world is the whole world shut down in fear of 26 out of 10,000 chance of dying and thats AFTER you been infected?",-0.9756
2293,"Delta shirked their corporate responsibility by not putting pressure on Georgia's legislature to reject the un-American voting rights bill just signed. C'mon Management, get some backbone.",-0.271
2294,"Analyst Actions: UBS Adjusts Delta Air Lines' Price Target to $47 From $32, Maintains Neutral RatingBY MT Newswires— 9:50 AM ET 12/11/2020",-0.3354
2295,"wow 8.6 million shares traded to move 1 penny! Dal outperformed many stocks today, lots of red. That XAL NYSE arca airline index is now red 7 days in a row. look for some green soon! Dal to 60 by end of July.",0.7599
2296,"""sell when everyone is fearful""... or something like that- Warren Buffet.",0.662
2297,"Investors need to calm down and ignore the negative headlines for the actual facts. The daily passenger traffic trends plus the internal staffing plans of Delta support a far stronger recovery than the current state of the stock. With the stock now at $19 following an intra-day recovery off the $17.51 low, Delta still has over 150% upside to reach JPMorgan's original target on the stock and substantial upside to levels far below the analyst targets.",0.8854
2298,Do you know what stocks you should be in right now? Take a look at (http://buystox.net) to find out every single day.,0.3569
2299,Q1 earnings out on April 22nd at 10am ET http://www.prnewswire.com/news-releases/delta-air-lines-announces-webcast-of-march-quarter-2020-financial-results-301041015.html,0.0291
2300,"This goes on another 10 years and DAL will be out of business, guaranteed. Long term investors will be buried under DALs' mountain of debt.",0.1178
2301,Major upside today on good news they will start flying soon!,0.7166
2302,Jason. How many shares you shorting? 50?,0.4285
2303,tsa numbers nearing 900k. that is enough fire power to boost this baby up to 31 and then close this week at 34!go delta!,0.8081
2304,"guys dont get scared by the pre-market shorting. the rally will sustain as the we are passed the worst. this price has accounted for all the bad news and only good news lies ahead.more on vaccine front this monthmore travellers with timecases and deaths will go down in few hotspot states as they are stalling reopeningmany states mandating masks which will curb the spreaddelta best of the pack due to middle seat and best ceo and policies.stay strong, stay delta!30 here we go",0.9184
2305,"Fri, Sat, & Sun - Passenger counts likely to be up in the 600's. Also, futures just turned seriously green. Going to try and buy in another few hundred shares before DAL pops again. I believe in airlines, especially Delta. Good luck to you all.",0.8636
2306,Delta going under 15,-0.1504
2307,This stock is going up to $40+ in no time. Loaded up more.,0.1271
2308,BUY BUY BUY!!!!,0.4954
2309,"pretty good sign when Jeanne Jackson, Delta Director buys 25,000 shares @ 22.72.",0.9329
2310,Just heard 1010 news say wheelchair damage for Delta customers is extremely low vs American Airlines having the most issues in that department. Airlines will/may be forced to report there wheelchair damage issue.,-0.8523
2311,Ignore CNN. They are spreading panic and leaving out all positive developments around the infection. It’s astonishing to see how far a media company would go to derail an administration even if it will put a country on disarray. They should be hit with some sort of class action law suit.,0.6363
2312,Bet on management's aggressiveness and increase 25% of my shares!:),-0.0856
2313,"Mr. Jim Cramer, tonight on Mad Money, 1/13/2021 flaunted a ""I got my first shot"" sticker on his tie. Yes, he received his first vaccination. He traveled way out to a Staten Island NY vaccination center, and received his easily, he's over 65. I'm 68 and have no chance of getting my shot for months or even more than that. Seems like the more money and fame you have the better chance your going to live, now a days. Right here in the good old United States of America. There will be lots of rich people flying the airlines, so stay long Delta.",0.981
2314,"Warren Buffett has done a lot of great things, however, he has not been able to beat the S&P 500 for at least 15 years, selling Airline stocks when they are trading near multi-year lows is foolish, yes some employers will transition to working from home, millions of Americans do not FLY to and from work each day or each week, the value of airlines for leisure and vacation as well as work is way too discounted and in 5 to 10 years will be much higher",0.9715
2315,Buffet still has just under 10% of shares. Clearly still heavily invested. This creates a good buying opportunity... It's frankly what I've been waiting for to load up some airline stocks. Everyone is going to freak out and airlines are going to drop another 30% next week. The better question is what is Buffett doing with that cash now?,0.9455
2316,"told you DOW will jump 1000 points, probably 2000... get ready to fly",0.6401
2317,Losing support. Big drop off coming ,-0.0648
2318,Best airline with awesome earnings report loading up.,0.9059
2319,good. I hope the CEO and board stop dabbling in politics and get back to making money for investors.,0.7188
2320,Hmm paying people to stay off work (like teachers) and stimulating the economy like there's no tomorrow. And people don't think this is going to cause inflation? Anyone who doesn't think we're heading for trouble needs their head checked.. Just wait until teachers and others don't have endless time and government money to go on vacation and shopping.,0.2598
2321,TSA numbers back over 1 million. Need to start to push 1.2 then 1.5 in the next couple months. I will be disappointed if by 4th of July we are not seeing 1.5 million/day.,-0.5419
2322,"This one is shooting up over $41 no doubt about it, tons of analysts had claimed DAL has enough liquidity, no BK, Tier one, year after year profitable and best run major payer airline in America, still entry in at dirt cheap level, and it has huge potential to the up side folks",0.7742
2323,All airlines to suffer more losses in the next few weeks. I cant see Delta trading over 10-12 dollars. Give it a month!,-0.7809
2324,it was this price back in May. airline rally is gone.,0.1178
2325,looks like investors waiting on sidelines to push this up after DAL earnings next week,0.5364
2326,right when it picks up some steam....and its gone.,0.3394
2327,"Just picked my dad up from the airport. He told me the plane was packed. Sorry but people like to travel. It's just a matter of time before the patient folks on this board are rewarded. Please don't remind me that's it's the holiday season. I haven't been in an airport in months. As much as I love my dad, all I kept thinking about was how delicious it would be to go up the escalator and buy a ticket to Europe.",0.9902
2328,"Besides raising labor, oil prices, and cramped terminals (no more space).. did DAL figure in raising interest rates on 9.75 billion in long term debt. If I’m seeing this right.. foe each quarter point interest rate raise cost an additional $24.375 million in interest..and the fed is planning two more in the near future?",0.5212
2329,What is happening today? Why down over 5%?,-0.2833
2330,Run up to 58 by earnings and 60 after?? TIs what me thinking,0.5279
2331,government has funded DAL 2.7 billion each quarters till sep as grants. which means if they are burn rate is 30 million they are not adding additional debt.last we know was that their vurn rate was 40 million a day a week ago. in a week time with flyer growing their burn rate will not create additional debt.,0.8111
2332,"Don't do Panic Sales like they want u to do, do it only if it's ur own strategy",0.7818
2333,Last month I told you all that Buffett dumped all shares,0.2528
2334,JP Morgan analyst likes Delta as best positioned to benefit from the next round of re-opening.,0.9047
2335,"40$ in 3-4 days, mark my words.",-0.0397
2336,DAL & LUV best airlines in business that dont need loans,0.5548
2337,An improving TSA report this week after a reduced traveling public the week before when Covid Numbers started rising fast. Yesterday broke 1 million again. Hopefully 1 million + travelers continues this holiday week snubbing the suggestion to stay home alone by the self anointed pandemic scholars.,0.8846
2338,Sold half my shares last week when it was over $60. Will sell the rest when it hits $65.,0.779
2339,"Even at 40, don’t y’all think it is still grossly undervalued? It’s bound to return back to 60s in a year time. IMMA BUY AND HOLD",0.1709
2340,"No need for ID to fly on Delta? CEO should focus on the OLD aircraft fleet he has. I feel like I'm going back in time when I fly Delta...I mean his planes are ooooollllddddd...SO: Prioritize upgrading the fleet, stay out of political issues you don't understand and watch Soul Plane...great movie...kinda like Delta these days?",0.9139
2341,The gains to come here will be huge!!,0.5877
2342,you would think the large east coast storm would put more downward pressure on this stock coupled with the weakened dec numbers,0.0281
2343,This is the first time I've ever held Delta in the $21's. I think I'm pretty happy about that actually!,0.8045
2344,Delta cleared for takeoff.,0.5637
2345,"Russia Registers World's First COVID-19 Vaccine, Which Was Tested On Putin's Daughter.This is fuel that will launch DAL to the $40s!https://www.zerohedge.com/geopolitical/russia-registers-worlds-first-covid-19-vaccine-which-was-tested-putins-daughter",0.8018
2346,I'm gonna get in lower than Buffet!!!,-0.3553
2347,Just added 500 more shares,0.3856
2348,Delta adding 1000 flights and JetBlue adding 30I may be long the wrong airline,-0.0381
2349,"As much as I'd like for the airlines to recover, I think they are way overvalued. Pre covid, dal was in the low 50s. Right now it's in the low 40s with less than half the air travel. If anything I think oils stocks are undervalued.",-0.1005
2350,"My father always told me that investing in airline is one of the worst things that you can possibly do in life. Expensive pilots, planes, rent,employees and very little to no profit",-0.073
2351,Closing this week at 30-31 range,-0.2409
2352,why buffet triggered a sale off.. he's not the stock market . if anything airlines should be back and better than back in March now,0.7729
2353,Nice ending to the week! TSA numbers continue to rise and as states open back up we will continue to rise each week. This is a long journey back up but this is a solid company and an excellent investment. Have a great weekend everyone! ,0.9742
2354,Why I would dump DAL stock. I am a frequent sky miles member and I booked a ticket and was told today the flight was cancelled. I called back and hold time is 4 hours and 5 minutes!!! No they do not have a call back feature like MOST intelligently run companies. So no idea how we will resolve this as I have no idea how to get in touch with ANYONE at Delta Airlines. So do you think I will book a Delta flight again??,0.8701
2355,I'm thinking that It will get to 29.5 tomorrow and then 30.5 on Friday,0.0525
2356,"Forget Delta, going to AAA, Southwest, or United. Forget Coke, Switch to Pepsi. Forget Home Depot, Switch To Lowes, problem solved",-0.1011
2357,Sold @ $50 at open. I refuse to own stock in such an overtly racist airlines. Delta inadvertently admitted they demand an ID to fly just to disenfranchise black fliers.#BoycottDelta,-0.391
2358,This stock and all the airlines are going up because they are buying their stocks and pumping the price up. That way in the end they are taking your money...,0.7051
2359,oversold load up boys,0.4678
2360,me waiting for stimulus everyday lol,0.3227
2361,Dal is one of the most solid airlines out there and has their cash flow well in hand.,0.8232
2362,stimulus hopes are bidding this stock higher and higher. Lets get rich together longs and call holders,0.9172
2363,"I purchased 1000 shares of Delta at $27.60 in my son's name. He is 18 years old, and that's all I'm leaving him. As I believe when he enters college in a few years he will have the money to pay his own way",0.6194
2364,I mentioned last week dont get in any trade as long as it not below $28 which is fair price for delta.“Delta will suspend service at another New England airport next month”,0.544
2365,Ouch. Glad I don't travel,-0.0876
2366,No bailouts. Force these airlines to issue new stock to raise cash. Particularly the companies that have been buying their stock back for the past few years.,0.4299
2367,"1 year 300% return, no other stock in the market can give that return",-0.0001
2368,"Oh no ! If this keeps up its gonna show up in my account again. Honestly, I cant seem to get rid of it.",0.5256
2369,I will NOT fly Delta. Their CEO ended our relationship. Sorry.,0.2887
2370,"Delta is falsely and wrongly opposing Ga voter law which improves access and prevents fraud- protect your voter rights -demand a voter id in your state. No more illegal, dead person voting ! dont support delta -fly others !",-0.8903
2371,"What do you guys think, buy or no",-0.0166
2372,Too high... Keep selling..,0.1585
2373,"Those of you saying the losses are ""priced in"" lmfao how is it priced in.Pre corona Delta on December was undervalued at 60, true. Fair value was 70. That's with good revenue, good profits, decent dividend, low debt.How is 25 the real value with 90% less revenue, losses every single day and, cash on hand gone and 6 billion dollars of new debt.You guys are crazy. This will be a good stock again but not this yr. Buy the dips until they fall below 15 and hold for 3 yrs",0.8523
2374,I don't understand why NO new 52-week high??? YET,0.4734
2375,"Added 900 shares at Friday closing. S&P slid but DAL refused to go down at the end and finished strong. This means it was short-term bottom. If market goes up Monday, DAL will shoot up!",-0.4308
2376,Wait until after earnings and upgrades.,0.1383
2377,Probable $ 27.50 or more tomorrow though unknown how it will react in late day.,0.0735
2378,Delta soaring higher in premarket. Cash burn and liquidity is very good despite a mild loss will definitely open higher after market opens. 2021 will be a great year soon as leisure and business travel will return to some normalcy,0.8103
2379,"I’ll be buying more on the dips ahead, don’t get mad at me because it’s going to dip and I for one will take advantage of the dips. Inside 18 months when it’s up 50-100 percent will you really care about this short term volatility unless you take advantage of it that is. Good luck fellow investors",0.9095
2380,Summer travel will be BIG THIS SUMMER!!,0.2802
2381,This reminds me of Johnson and Johnson’s lawsuit . As soon as they were sued for millions the stock went up cuz it wasn’t as much as people thought it was going to be,0.0249
2382,Delta will most likely retest $21 once the data comes in. Probably won’t dip below it but it most likely will be retest. I just got out at $25. It’ll be a good stock to hold long term regardless though,0.9044
2383,"DAL on sale, it’s a great company. Will add to my position",0.8127
2384,The government will not allow Delta to fail. Buy on the dip and you will be awarded in a year.,0.143
2385,"To ALL the negative talking heads out there, you ain't getting my 1200 shares. To all longs <> Stay long !!",0.5
2386,CNBC just had analyst confirming Delta & United most agile airlines to weather today's markets.,0.7297
2387,Hope u bought thatDipGift,0.4404
2388,"Ummm... the stock price has nothing to do with ""boycotts."" Just like you want Ed Bastian to stay out of politics then you too should stay out of it. Stock price today is being driven by UAL...all airlines are down today...",0.859
2389,Just so you know the hotel stocks are now green before opening bell. I saw mgm down over 3% in premarket earlier its pushing 4% green right now before opening. Thats going to push this stock up too. Hospitality markets benefit together with airline markets in some ways.,0.8388
2390,hopefully everyone is having a merry christmas,0.8166
2391,WB left this stock in the misery. And me scratching my head,-0.5287
2392,going to reach 40 for sure,0.3445
2393,"Why does it keep losing steam in every trading session? I am bullish on the stock, and I think as soon as the economy reopens, it will take off (quite literally). However, what I am seeing from last few trading sessions is that it starts off well, but loses steam during the trading session and often ends up lower. This happened last week when DAL reported earnings. Stock was up 4.5% pre-market but ended up closing much lower. Other Covid impacted stocks aren’t doing that badly. CCL is up 10% today and God only knows when they’d start sailing again. MGM is also up 10%. I don’t know if it’s the “bots” pushing price lower or what else is at play.",0.893
2394,I think at the price WB brought I would’ve sold too. It me be a while before we see those prices again but if you brought in around the 20 dollar price there is a chance to make money with stock.,0.7493
2395,"I don't complain since I have shares, but I expected a 5-6 dollar drop on those miserable numbers. This proves the free market is a fake. Nothing counts anymore, real economy data is worthless, this is pure casino!",-0.838
2396,Short sellers today,-0.4314
2397,"Huge drop expected before close, becareful guys",0.0042
2398,"guys signs are good. march up to 30s is now imminent. jet now fueled, ready for take-off",0.8058
2399,"If it can hold at around $22 today, I can see 10-20% rebounce in the next few days. We will see...",-0.0818
2400,"this stock is so cheap, it makes my grundle sweaty",0.5336
2401,Market feels tired and ready for red. What do you think will happen to DAL $25.,-0.2563
2402,Only one place for airlines to go.....SKY HIGH! No reason to retreat at this point. Only Up days from here on out for at least the next 6 months,0.7416
2403,"I don't think WB is doing it to buy at lower. He would have just averaged down. Neither do I think he is quitting, he would have just sold off instead of going just below 10%. Perhaps there is some regulatory issues, like participating the deal negotiation among the company/wall street/US gov. Just think about it, he is 89 years old, it simply doesn't make send for him to damage his reputation just to save a few dollars.",0.7458
2404,No reason in the world this stock should be going up. Loading money missed revenue projections etc. nothing more than stock manipulation,0.2211
2405,"Me and Jimmys’ travel agent, Chip Chop, been dissgusting our honey moon and I say’s to Chip that we on a budget. Chip so good he got us 5 nights in Medeyeen, Comulbia for just over $38.00 all inclusion free drink’s and food. A course either Jimmy no me speak Spanish but for that price we all good. Flying on TWA so we sure to experienced the friendly skies!!!Captain BoOut!",0.9593
2406,"Buffett lied. People sell stocks for 2 reasons. Either they think it will go down further or because they need money. He claimed he sold not because it will go down more, but because he thought he made a wrong decision. Dumping in April at the bottom. Not so smart. I am on sideline. There will be flush out sell off tomorrow. I might jump in Tuesday. Patience, my friend.",0.7545
2407,"Glad that I sold my shares last week. Still predicting a bear market or at least a correction. between the awful earnings and a potential upcoming correction, thinking I can reenter around $20",0.2067
2408,https://finance.yahoo.com/news/exclusive-16-republican-senators-back-182534784.htmlApparently republicans are considering extending more stimulus for us airlines! Let’s go,-0.1758
2409,Airlines up 3% but Sabre ($SABR) the booking engine that benefits before the airlines do is barely up — any ideas why?,0.8859
2410,Anyone seeing this as a buying opportunity?,0.633
2411,Any predictions for how high this can get in a year from now,0.3624
2412,"If I buy DAL tomorrow 2/19/2020, do I get the dividend?",0.3018
2413,"(CNN) — Perhaps a sign of what the future holds for air travelers, Dubai-based airline Emirates has begun carrying out Covid-19 blood tests on passengers at the airport prior to flights.According to a statement released by the airline, the first rapid Covid-19 blood tests took place on Wednesday at Dubai International Airport, with passengers on a flight to Tunisia all reportedly tested before departure.The tests were conducted by the Dubai Health Authority at the Group Check-in area of Terminal 3 and results were available within 10 minutes.",0.5089
2414,"Buffett sure tricked you baggies. Said he would not sell airline stocks, then sold just enough to get under 10% and secretly dumped it all while people were unsure what he was up to.",0.5709
2415,How is this still above single digits? I am buying at $5.,0.5356
2416,"Billions of dollars in bailouts to the major US airlines means one thing is certain: OIL PRICES HAVE BOTTOMED OUT. At this point in time, airline survival is going to be tied to locking in the lowest costs for fuel for the past 40 years - or you're just not competing. Expect some long term fuel hedges to be placed by DAL and others in the coming days. Oh, and - BUY OIL FUTURES OR STOCKS! (in my humble opinion, of course!)",0.6554
2417,lawsuits on the way. revenue down 90%. will have to fly out without middle seats and thus eroding profit margin. losing 60 mill a day. some of these airline are going bk...good luck guys!,0.6537
2418,Should see 62.00- 64.00 in the morning,0.0216
2419,It will be interesting to see if Delta takes government money or tries to work out a deal with Buffett. I guess it depends on the specifics of the warrants and how much interest Buffett would want.,0.8961
2420,Buffet lost lol hahaha,0.6785
2421,Pansy died two week's ago yesterday. I was quiet about it. I've been in shock. Between the move to my new house and Pansy's death I've been in deep shock. I don't make it through any day without sobbing about him. I was working from home. Pansy was in his bed by my feet. He left his bed and jumped up on his favorite chair. Because I was on a call I didn't notice a thing. Nothing out of the ordinary. Since COVID hit I've been working from home and he's been so happy to have his dada home.My conf call ended. I went into the kitchen to heat up some pizza. I looked into the living room and pansy hadn't moved. Weird. He always came into the kitchen when he knew I was there because he knew treats were there and I spoiled him rotten. But this time? No movement.So I went into the living room and called his name as I walked toward him. No movement. Then I touched him and knew he was gone. Almost 13 years with him and just gone. No warning. No cancer. No stroke. No seizures. No noise. No pain. No warning. He just died in his sleep.I just wanted people to know that we all suffer. We all feel loss. Pansy's passing leaves me shattered. He was my rock. He was my constant companion and buddy. He was my little boy.Rest in peace my beautiful little baby boy.BoOut,-0.9672
2422,Watch for tomorrow... Big bounce up more than 15%...enjoy,0.4953
2423,Vacccine takes DAL to $36 immediately especially with so many shorts here.,0.0876
2424,https://www.flightglobal.com/us-airlines-take-jets-out-of-storage-add-flights-as-recovery-begins/138820.article,0.0
2425,I think now is the time to buy DAL. In my opinion $21 or $22 is about the price floor. Looking at the last month it fell to $21.35 then rebounded to $31.70 and is now back to $22. It is very unlikely that DAL will go bankrupt.,-0.2507
2426,What a great opportunity to join Delta. It will never have this price range again unless something like COVID happens again. But if that happens next time America and Airlines will be more prepared for it. Time to join Delta and check maybe 1.5 years later sounds like a great $$$$$ plan.,0.9743
2427,"My oh my, look at all the bad news ;) Get you cash ready to work soon...",0.0656
2428,Tomorrow will be a very very depressing day:(,-0.4426
2429,Airlines can start businesses soon when government have testing kit available on all airports .. all they need to do is train those airline agents how to use it.. 5 min testing while staying on line for 50min is OKAY ,0.6953
2430,Closing green,-0.2125
2431,backing up the truck on this dip.. buying $20k more... thank you,0.8102
2432,Delta exploring “strategic relationships” with other airlines. Merger mania this fall is in the cards.,-0.1674
2433,Pass port...check. Fuzzy thong...check. Depends for leakage...chaeck. Toy's and back up battery's...check. Still eto heals...check. Lace stoxings...check. Dom's Domination Dildeaux with the kick starter...check.Mexicho heare me and Frank come. Are you ready for he and I?Are you?ARE YOU???Captain BoFeeling ConquistadoricalOUt!!!,0.8144
2434,I actually think the airfrance bailout will drive all do the US airlines stocks higher today,0.3132
2435,is it a buy now?,0.1669
2436,Then you may sell your airlines and invest in cruises haha,0.5774
2437,Finally back to green!,0.2406
2438,My CFO flies to Dallas 2 or 3 times a week and the airports and planes are full.,0.5762
2439,"We all know this will eventually get back to its pre roni sp. the issue is, do you sell and buy back lower and get that double dip. Or hold for the long run. My thoughts this is just a short dip. Even with some states cases rising we are not going back in solitaire. My avg is 23.",0.9401
2440,"I have some for 28$, do you guys think, I should add today, or it will fall further?",0.2688
2441,Check out the rest of airlines and cruises....all down and with shorts due to increased fear of virus....let's see a pop in all$NCL$CCL$AAL$UAL$DALNo reason why not....,0.6485
2442,that was a weird days. no major bad news. people probly taking profit. good day to add more cheap shares. be greedy when others are fearful.,0.0687
2443,"I will respectfully hold my money before I jump on this ship after the earning announcement to see what direction this stock is going. If the news is positive and good which I doubt, then I wouldn't mine paying $30 a share for it. Good luck y'all.",0.953
2444,Do you think share price will go lower Monday after dividend cut ?,-0.1038
2445,Support socialism fly Delta.,0.4609
2446,Can I get on a delta flight next time with no ID? Go woke go broke,-0.0104
2447,Buy the opening dip; $30s coming this week.,0.4106
2448,Market down not good for airlines. Those that bought two days ago or yesterday might sell at the beginning to cover losses somewhere else,0.01
2449,CEO's getting involved with politics. Something is very wrong. I will never fly Delta or buy any of Coke's products.,-0.2277
2450,Bought 1000 Dal shares us 45 for income in my RRIF (Canada) account cause warren bought since then it is cut in half no dividend any advice from long time serious long investors I am 72,0.724
2451,I would sell all my DAL shares now if I had any. Alain Bellemare was my manager boss at Bombardier and I know him very well. His only skill is selling business to other corporations. Delta will remain much smaller even after the pandemic. I bet you'll here news about delta selling some division to competitors,0.6887
2452,"Short when over 23.10, cover at under 22.5.Buy under 22.4, sell at over 23.It has worked like 5 times in the last 10 days lol",-0.1136
2453,"You people, Buffett included, are higher than the friendly skies if you think demand for commercial flight is going anywhere but up up up in the macro sense. People will fly in plastic suits if they have to, but they will fly. You just watch what happens once the restrictions lift.",0.9255
2454,"I sold my PBI earlier than expected. Started positions in $BA, $LUV, $DAL, $AAL, and added to $NVDA. Good lucks folks. Im usually a bit early but in a few Years BA will be back at its highs. This is too easy just be patient. The market takes money from the impatient and gives to the patient.",0.8939
2455,"As long as the MAX 8 is grounded Delta will be picking up its competitors passengers, add in low fuel and you have a money machine. FYI Delta ground handlers are non union.",0.4384
2456,Shocked it held up at and around $25 AGAIN as long as it did. You all had ample time to get out....days in fat. $19 is coming fast.,0.5717
2457,What is your estimation of what will happen when earnings are released?,0.091
2458,All Americans will be vaccinated by July.... Summer travel will be in high demand....Buy the Airlines!!!!Heading back to pre COVID-19 levels...The TravelWar will be massive stimulus for all economic reforms....#AAL #UAL #BA #LUV #JBLU #DAL #MESA #ALK #SKYW #HA #^DJI #^IXIC #APPL #GOLD,-0.4398
2459,OMG GAP UP TODAY. Lol,0.5784
2460,"Warren Buffet, you lose and will lose more!",-0.5699
2461,Don't feel bad. Took me 15 years to get to the point of total mastery.,0.4567
2462,From what I read DAL has no Max 777 so I would think that would help I am long 1k shares,0.7633
2463,rising slowly from the pit,0.2907
2464,"The volume is crazy today, 90 million shares. I think whoever needs to get out has already gotten out.",0.5217
2465,"wow, nice quarter. analysts were quite far off. This will test $45 short term, goodluck",0.4072
2466,"With so many people in the hospitals on life support, forget going out or flying anywhere. I don't care how many survivors there are. When so many covid-19 patients are on life support, not only you have to think what are you chances of making it alive, you also have to think if you'll make it out with any permanent lung damage. Not to mention, getting covid-19 does not make you immune permanently. 2nd lockdown is definitely needed !",0.9401
2467,https://www.thegatewaypundit.com/2020/08/least-admit-black-lives-matter-marches-dc-chanting-protect-black-criminals-video/boycott,0.0
2468,"I ""believe"" (correct me if im wrong) that last quarter it took us a few days to surge higher...? if so, not worried here. next week we should pop a bit. great American company",0.7956
2469,To think Buffet sold at $24/share...haha. DAL reports their worst quarter in history and it's still 10% above his selling price. The Oracle of Omaha should have stuck to his strategy...buy when others are fearful. DAL's earnings will only get better from here. Next quarter will be slightly better and so on...give it 18 months to fully recover and you're looking at a 100% return. Where else can you get that type of return?,0.2345
2470,Afternoon rally coming - back up another couple of hundred points!!,0.4392
2471,I'm surprised no one mentioned the big drop in airline fuel cost. This will help mitigate the losses in passenger travel.,-0.0879
2472,take it to $30 in AH please.,0.6002
2473,"Buffet doesn’t like to go over 10% in any of his non-controlling equity positions, but was already at 11% before buying even more DAL. Plans to buy it all???",0.7121
2474,I think S17 tomorrow is fair value!:),0.4037
2475,How many are following daily TSA Checkpoint numbers? Seems like the best daily indicator to monitor flight traffic.,0.6973
2476,"yahoo editor busy making an article to make up an excuse as to why the market has shifted,",0.6433
2477,This week we’re doomed ! Airline earnings and projections are for 90% drop in revenues next few months...,-0.7078
2478,BTW I will leave my ID at home next time I fly first class.,0.8393
2479,$25 coming soon !!,0.2014
2480,How funny that Stacy “Buckwheat” Abrams has back peddled on her stance.,0.4394
2481,"The amount of political crybabies in this discussion is laughable. let me guess you only support companies that support ""freedom""",0.7755
2482,Plunged agayn. Yup Frank just did the Dixie Deep Six and now I'm am litterilly on the reclycling bin and all HE double NHLLLs is braking out.This may be worst then 9/11 eleven. More latter.BoTerrorfied,0.0974
2483,Volume not heavy. Looks like most hedgers not moving for the doors.,0.5822
2484,Only airliner @ CES. They are the clear leader and preferred airline by many organizations for biz travel,0.7283
2485,it is time for a v-shaped recovery.,0.1833
2486,Watch out on Monday. This would be the best season.,0.7862
2487,Back to 30 by the end of May,0.0558
2488,"TSA Travel numbers approaching 800K even during weekdays. This stock is way way underpriced. Airline trades are binary. If you don’t believe DAL will go bankrupt, then you need to consider that this stock will be worth 100% more than what it is today in 12 months.",0.0784
2489,"What's not to like!September Quarter Financial HighlightsAdjusted pre-tax income increased $361 million, or 22 percent versus prior year.Adjusted earnings per share were $2.32, a 29 percent increase year over year; Earnings per share and adjusted earnings per share reflect 6.5 percent top-line growth, 2.5 points of operating margin expansion and $1.4 billion of free cash flow.Total adjusted revenue, which excludes refinery sales, grew 6.5 percent to $12.6 billion; Total revenue and adjusted total revenue are a new quarterly record, as the company served a record 55.2 million passengers in the quarter.Total unit revenue, adjusted, increased 2.5 percent; Total unit revenue and total unit revenue adjusted increases were driven by healthy leisure and corporate demand and an approximate one point benefit from the amended American Express agreement.Consolidated operating cost per available seat mile (""CASM"") decreased 2.1 percent compared to the September 2018 quarter, primarily due to lower fuel costs and higher capacity. Non-fuel unit cost (CASM-Ex) increased 2.4 percent compared to the prior year period, driven by employee costs, record passenger volumes and weather.Returned $468 million to shareholders, comprised of $208 million of share repurchases and $260 million in dividends.Generated $7.5 billion of operating cash flow and $4.0 billion of free cash flow on a year-to-date basis, after investing $3.5 billion into the business, primarily for aircraft purchases and modifications.""Our powerful brand and competitive strengths drove another quarter of great results for our people, customers and owners. Our people bring our brand to life on every flight and I'm pleased to recognize their outstanding efforts with over $1 billion in profit sharing accrued so far this year,"" said Ed Bastian, Delta's chief executive officer. ""Demand for the Delta product remains healthy, positioning the company for a strong close to 2019 with expectations for more than 20% earnings growth, over $4 billion in free cash flow and a 5th year of pre-tax earnings over $5 billion.""",0.9983
2490,why this stock is falling? no China exposure but going down.,-0.2924
2491,"Airline stocks going to skyrocket next week. If I'm wrong, then don't hold back the brutality against me. But...I think I'm right",-0.6492
2492,So horrible passengers numbers during the holiday season. Reminding the TSA numbers are for all the airlines not just Delta's. With the CEO coming out stating a late recovery this year depending on vaccinations. Still Delta Daily loss of 25 million a day is a bloodbath for shareholders. The CEO is optimistic but money and revenues Don't lie. It is a devastating hill to climb no matter how he tries to dress it up. With these numbers and the New covid strand the outlook is bleak especially with domestic and European lockdown. Today investor ad does congress airlines including Delta needs a bailout to make it now for the foreseeable future. knowing this stock is speculative and is value no more than ten dollars a share. Take care and get as much for your investment as the ship starts to sink.,0.859
